Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage","Current"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-b/Bus_Ele_DS_1157_CCP.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/CCP-3-60CF.jpg,2041-1015-ND,CCP-3-60CF,Eaton - Bussmann Electrical Division,SWTCH COMP FUSE CARRIER 600V 60A,2,0,"225.49000","0","1","CCP","Active","Fuse Carrier","600V","60A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM31xxL-Y%5ER.jpg,1920-1462-ND,KEM3100L Y/R,Altech Corporation,SWITCH DISCT W/BOX 100A,4,4,"268.59000","0","1","KEM","Active","Switch","600V","100A"
http://www.altechcorp.com/PDFS/DiscoEnclosures.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KEM31xxL-Y%5ER.jpg,1920-1459-ND,KEM3125L Y/R,Altech Corporation,SWITCH DISCT W/BOX 125A,11,13,"332.67000","0","1","KEM","Active","Switch","600V","125A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2062-ND,KEM3125L,Altech Corporation,ENCLOSED DISC SWITCH 3P 125A600V,2,3,"332.67000","0","1","KEM","Active","Switch","600V","125A"
http://www.altechcorp.com/PDFS/Splits/mds20.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KER3xxUL-Y%5ER.jpg,1920-1440-ND,KER325UL Y/R,Altech Corporation,SWITCH DISCONNECT W/SS BOX 25A,3,0,"394.88000","0","1","KER","Active","Switch","600V","25A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2063-ND,KEM3150L,Altech Corporation,ENCLOSED DISC SWITCH 3P 150A600V,2,0,"401.48000","0","1","KEM","Active","Switch","600V","150A"
http://www.altechcorp.com/PDFS/Splits/mds20.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_KER3xxUL-Y%5ER.jpg,1920-1460-ND,KER340UL Y/R,Altech Corporation,SWITCH DISCT W/BOX 40A,2,49,"409.00000","0","1","KER","Active","Switch","600V","40A"
//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/19210-11.pdf,"//media.digikey.com/photos/American%20Elect%20Photos/19210-11,%2019211-11,%2019212-11,%2019213-11.jpg",288-1321-ND,19210-11,American Electrical Inc.,SWITCH DISCONNECT 16A 600V RED,10,0,"33.93000","0","1","SD1","Obsolete","Switch","600V","16A"
//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/19200-11.pdf,"//media.digikey.com/photos/American%20Elect%20Photos/19200-11,%2019201-11,%2019202-11,%2019203-11.jpg",288-1313-ND,19200-11,American Electrical Inc.,SWITCH DISCONNECT 16A 600V BLACK,6,0,"33.93000","0","1","SD1","Obsolete","Switch","600V","16A"
//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/19215-11.pdf,"//media.digikey.com/photos/American%20Elect%20Photos/19218-11,%2019217-11,%2019216-11,%2019215-11.jpg",288-1325-ND,19215-11,American Electrical Inc.,SWITCH DISCONNECT 63A 600V RED,25,0,"45.66000","0","1","SD2","Obsolete","Switch","600V","63A"
https://www.gavazzionline.com/pdf/GMSenclosure.pdf,-,1864-1874-ND,GEP32A65S,Carlo Gavazzi Inc.,ENCLOSURE FOR GMS-32H,8,0,"46.20000","0","1","-","Active","Handle","-","-"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2058-ND,K/KUE,Altech Corporation,COVERPLATE FOR TOGGLE SWITCH REC,20,1297,"3.27000","0","1","KUE","Active","Cover","-","-"
http://www.altechcorp.com/PDFS/DiscoToggle.pdf,-,1920-2102-ND,R/KUE,Altech Corporation,COVERPLATE FOR TOGGLE SWITCH CIR,20,0,"4.13000","0","1","KUE","Active","Cover","-","-"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22941005.jpg,288-1644-ND,22941005,American Electrical Inc.,SHROUD 1POLE FOR 16-40A VERSIONS,20,0,"4.83000","0","1","-","Active","Terminal Cover","-","40A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22941009.jpg,288-1646-ND,22941009,American Electrical Inc.,SHROUD 1POLE 63-100A VERSIONS,20,0,"6.04000","0","1","-","Active","Terminal Cover","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/14070515.jpg,288-1631-ND,14070515,American Electrical Inc.,SWITCH SHAFT EXTENSION 5.9"",14,0,"7.06000","0","1","-","Active","Shaft","-","-"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22943005.jpg,288-1645-ND,22943005,American Electrical Inc.,SHROUD 3POLE FOR 16-40A VERSIONS,17,0,"7.07000","0","1","-","Active","Terminal Cover","-","40A"
https://www.gavazzionline.com/pdf/ManMotStarters.pdf,-,1864-2504-ND,MSVB54,Carlo Gavazzi Inc.,3 POLE PROTECTIVE COVER FOR 63A,10,0,"7.39000","0","1","-","Active","Terminal Cover","-","63A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/14070515.jpg,288-1632-ND,14070520,American Electrical Inc.,SWITCH SHAFT EXTENSION 7.9"",8,0,"9.42000","0","1","-","Active","Shaft","-","-"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22993409.jpg,288-1648-ND,22993409,American Electrical Inc.,SWITCH DOOR MOUNTING KIT,22,0,"9.44000","0","1","-","Active","Door Mounting Kit","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22943009.jpg,288-1647-ND,22943009,American Electrical Inc.,SHROUD 3POLE 63-100A VERSIONS,20,0,"9.77000","0","1","-","Active","Terminal Cover","-","100A"
http://www.altechcorp.com/PDFS/Splits/mds8.pdf,//media.digikey.com/Photos/Altech-Corporation/MFG_K%5EKU3P-Y%5ER.jpg,1920-1463-ND,K/KU3P Y/R,Altech Corporation,SWITCH KNOB SQUARE RED/YELLOW,20,124,"10.56000","0","1","KU","Active","Handle, Red/Yellow","-","-"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,//media.digikey.com/Photos/Altech-Corporation/K%5EKU3P.jpg,1920-2057-ND,K/KU3P,Altech Corporation,DIRECT HANDLE BLK USE WITH KU325,20,7,"10.56000","0","1","KU","Active","Handle, Black","-","-"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/14070515.jpg,288-1633-ND,14070532,American Electrical Inc.,SWITCH SHAFT EXTENSION 12.6"",14,0,"12.36000","0","1","-","Active","Shaft","-","-"
http://www.altechcorp.com/PDFS/DiscoExtendedDirect.pdf,-,1920-1444-ND,LK10 UL,Altech Corporation,SWITCH KNOB ROUND BLACK,19,2082,"18.78000","0","1","UL","Active","Handle, Black","-","-"
http://www.altechcorp.com/pdfs/splits/abl14.pdf,-,1920-1512-ND,H10UL,Altech Corporation,CONTACTS AUX 1 NO,15,90,"22.34000","0","1","UL","Active","Auxiliary Contacts","240V","10A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/147D1111.jpg,288-1627-ND,14731111,American Electrical Inc.,SWITCH KNOB ROUND BLACK,1,0,"22.39000","0","1","-","Active","Handle, Black","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22001000.jpg,288-1641-ND,22001009,American Electrical Inc.,SWITCHED FOURTH POLE MODULE 100A,5,0,"23.42000","0","1","-","Active","Switched Pole","-","100A"
http://www.altechcorp.com/PDFS/Disco_2015.pdf,-,1920-2068-ND,KUE340,Altech Corporation,MOTOR DISCONNECT SWITCH 3P TOGGL,5,168,"30.22000","0","1","KUE","Active","Switch","600V","40A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22001000.jpg,288-1634-ND,22001000,American Electrical Inc.,SWITCHED FOURTH POLE MODULE 16A,5,0,"31.76000","0","1","-","Active","Switched Pole","-","16A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/147E1111.jpg,288-1630-ND,147E1111,American Electrical Inc.,SWITCH KNOB ROUND RED/YELLOW,4,0,"33.12000","0","1","-","Active","Handle, Red/Yellow","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/147D1111.jpg,288-1629-ND,147D1111,American Electrical Inc.,SWITCH KNOB ROUND BLACK,3,0,"33.12000","0","1","-","Active","Handle, Black","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22001000.jpg,288-1635-ND,22001001,American Electrical Inc.,SWITCHED FOURTH POLE MODULE 20A,5,0,"35.13000","0","1","-","Active","Switched Pole","-","20A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22990001.jpg,288-1642-ND,22990001,American Electrical Inc.,AUXILLARY CONTACTS 1NO 1NC,5,0,"35.69000","0","1","-","Active","Auxiliary Contacts","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22001000.jpg,288-1636-ND,22001002,American Electrical Inc.,SWITCHED FOURTH POLE MODULE 25A,5,0,"36.74000","0","1","-","Active","Switched Pole","-","25A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22990001.jpg,288-1643-ND,22990011,American Electrical Inc.,AUXILLARY CONTACTS 2 NO,5,0,"37.55000","0","1","-","Active","Auxiliary Contacts","-","100A"
http://catalog.americanelectrical.com/Asset/DIN%20RAIL%20mounted%20Disconnects.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/22001000.jpg,288-1637-ND,22001003,American Electrical Inc.,SWITCHED FOURTH POLE MODULE 32A,5,0,"38.05000","0","1","-","Active","Switched Pole","-","32A"
