Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Number of Positions","Index Stops","Number of Decks","Number of Poles per Deck","Circuit per Deck","Contact Timing","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Angle of Throw","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Depth Behind Panel"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56DP30-01-2-AJN.jpg,GH7279-ND,56DP30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 200MA 115V,835,0,"11.78000","0","1","56","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","30°","Brass","Silver","Panel Mount, Through Hole","PC Pin","-","9.58mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MRK112-A.JPG,360-2372-ND,MRK112-A,NKK Switches,SWITCH ROTARY 2-12POS 0.4VA 28V,971,908,"12.28000","0","1","MR","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Knob","13.00mm","30°","Phosphor Bronze","Gold","Panel Mount, Through Hole","PC Pin","Process Sealed","10.10mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MRK206-A.JPG,360-2373-ND,MRK206-A,NKK Switches,SWITCH ROTARY 2-6POS 0.4VA 28V,2027,1549,"12.56000","0","1","MR","Active","2 ~ 6","Adjustable","1","2","DP6T","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Knob","13.00mm","30°","Phosphor Bronze","Gold","Panel Mount, Through Hole","PC Pin","Process Sealed","10.10mm"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56D30-01-2-AJN.jpg,GH5601-ND,56D30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 200MA 115V,158,63,"13.95000","0","1","56","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","30°","Brass","Silver","Panel Mount","Solder Lug","-","12.19mm"
https://www.nkkswitches.com/pdf/MRlogicLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MRA206-A-RO.jpg,360-2369-ND,MRA206-A,NKK Switches,SWITCH ROTARY 2-6POS 250MA 125V,1299,1434,"13.97000","0","1","MR","Active","2 ~ 6","Adjustable","1","2","DP6T","Non-Shorting (BBM)","250mA (AC)","125V","-","Knob","13.00mm","30°","Copper","Silver","Panel Mount, Through Hole","PC Pin","Process Sealed","17.00mm"
http://www.grayhill.com/assets/1/7/Rotary_56.pdf,//media.digikey.com/Photos/Grayhill%20Photos/56D36-01-1-AJN.jpg,GH5604-ND,56D36-01-2-AJN,Grayhill Inc.,SWITCH ROTARY 2-5POS 200MA 115V,1256,0,"14.88000","0","1","56","Active","2 ~ 5","Adjustable","1","2","DP5T","Non-Shorting (BBM)","200mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","36°","Brass","Silver","Panel Mount","Solder Lug","-","12.19mm"
http://www.nkkswitches.com/pdf/MRpowerLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MRX108-A.jpg,360-2377-ND,MRX108-A,NKK Switches,SWITCH ROTARY 2-8POS 2A 125V,3668,1529,"15.34000","0","1","MR","Active","2 ~ 8","Adjustable","1","1","SP8T","Non-Shorting (BBM)","2A (AC), 1A (DC)","125V","30V","Knob","13.00mm","45°","Silver Alloy","-","Panel Mount, Through Hole","PC Pin","Sealed - Flux Protection","27.30mm"
http://www.nkkswitches.com/pdf/MRpowerLevel.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_MRX204-A.jpg,360-2378-ND,MRX204-A,NKK Switches,SWITCH ROTARY 2-4POS 2A 125V,438,824,"17.25000","0","1","MR","Active","2 ~ 4","Adjustable","1","2","DP4T","Non-Shorting (BBM)","2A (AC), 1A (DC)","125V","30V","Knob","13.00mm","45°","Silver Alloy","-","Panel Mount, Through Hole","PC Pin","Sealed - Flux Protection","27.30mm"
https://www.nkkswitches.com/pdf/hs_ps_ts.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_HS16-1N.jpg,360-2352-ND,HS16-1N,NKK Switches,SWITCH ROTARY 2-11POS 12A 125V,507,457,"18.69000","0","1","HS","Active","2 ~ 11","Adjustable","1","1","SP11T","Non-Shorting (BBM)","12A (AC)","125V","-","Flatted (6mm Dia)","15.00mm","30°","Phosphor Bronze","-","Panel Mount","Solder Lug","-","31.50mm"
"http://www.grayhill.com/assets/1/7/Rotary_50,51.pdf",//media.digikey.com/Photos/Grayhill%20Photos/50DP36-01-1-AJN.jpg,GH7275-ND,50DP36-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-10POS 150MA 115V,366,0,"18.96000","0","1","50","Active","2 ~ 10","Adjustable","1","1","SP10T","Non-Shorting (BBM)","150mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","9.53mm","36°","-","Gold","Panel Mount, Through Hole","PC Pin","-","13.64mm"
"http://www.grayhill.com/assets/1/7/Rotary_50,51.pdf",//media.digikey.com/Photos/Grayhill%20Photos/51DP30-01-1-AJN_1.jpg,GH7278-ND,51DP30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 150MA 115V,207,0,"20.35000","0","1","51","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","150mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","9.53mm","30°","-","Gold","Panel Mount, Through Hole","PC Pin","-","13.64mm"
http://www.grayhill.com/assets/1/7/Rotary_71.pdf,//media.digikey.com/photos/Grayhill%20Photos/71ADF30-01PAJN.JPG,GH7326-ND,71ADF30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 250MA 115V,677,0,"21.02000","0","1","71","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","250mA (AC/DC)","115V","30V","Flatted (3.17mm Dia)","9.53mm","30°","Silver Alloy","-","Panel Mount, Through Hole, Right Angle","PC Pin","-","19.33mm"
http://www.grayhill.com/assets/1/7/Rotary_71.pdf,//media.digikey.com/Photos/Grayhill%20Photos/71BDF30-01PAJN.jpg,GH7105-ND,71BDF30-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 250MA 115V,256,0,"21.02000","0","1","71","Active","2 ~ 12","Adjustable","1","1","SP12T","Non-Shorting (BBM)","250mA (AC/DC)","115V","30V","Flatted (6.35mm Dia)","9.53mm","30°","Silver Alloy","-","Panel Mount, Through Hole, Right Angle","PC Pin","-","19.33mm"
http://www.grayhill.com/assets/1/7/Rotary_71.pdf,//media.digikey.com/Photos/Grayhill%20Photos/71BDF30-01QAJN.jpg,GH7106-ND,71BDF30-01-2-AJN,Grayhill Inc.,SWITCH ROTARY 2-6POS 250MA 115V,366,0,"21.80000","0","1","71","Active","2 ~ 6","Adjustable","1","2","DP6T","Non-Shorting (BBM)","250mA (AC/DC)","115V","30V","Flatted (6.35mm Dia)","9.53mm","30°","Silver Alloy","-","Panel Mount, Through Hole, Right Angle","PC Pin","-","19.33mm"
http://www.grayhill.com/assets/1/7/Rotary_71.pdf,//media.digikey.com/Photos/Grayhill%20Photos/71BDF30-02PAJN.jpg,GH7107-ND,71BDF30-02-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-12POS 250MA 115V,488,0,"28.46000","0","1","71","Active","2 ~ 12","Adjustable","2","1","SP12T","Non-Shorting (BBM)","250mA (AC/DC)","115V","30V","Flatted (6.35mm Dia)","9.53mm","30°","Silver Alloy","-","Panel Mount, Through Hole, Right Angle","PC Pin","-","24.87mm"
https://www.nkkswitches.com/pdf/hs_ps_ts.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/TS1N.JPG,360-2356-ND,TS1N,NKK Switches,SWITCH ROTARY 2-11POS 6A 125V,256,71,"31.48000","0","1","TS","Active","2 ~ 11","Adjustable","1","1","SP11T","Non-Shorting (BBM)","6A (AC)","125V","-","Flatted (6mm Dia)","15.60mm","30°","Phosphor Bronze","-","Panel Mount","Screw Terminal","-","22.00mm"
http://www.grayhill.com/assets/1/7/Series_77_datasheet.pdf,//media.digikey.com/Photos/Grayhill%20Photos/77SP36-01-1-10N.jpg,GH7571-ND,77SPT36-01-1-10N-F,Grayhill Inc.,SWITCH ROTARY 10POS 50MA 115V,219,0,"37.36000","0","1","77","Active","10","Fixed","1","1","SP10T","Non-Shorting (BBM)","50mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","7.98mm","36°","Silver Cadmium Oxide (AgCdO)","Gold","Panel Mount, Through Hole","PC Pin","Shaft and Panel Sealed","4.57mm"
http://www.grayhill.com/assets/1/7/Series_77_datasheet.pdf,//media.digikey.com/Photos/Grayhill%20Photos/77SPT36-01-2-05N.jpg,GH7572-ND,77SP36-01-2-05N,Grayhill Inc.,SWITCH ROTARY 5POS 50MA 115V,174,0,"37.65000","0","1","77","Active","5","Fixed","1","2","DP5T","Non-Shorting (BBM)","50mA (AC), 200mA (DC)","115V","28V","Flatted (3.17mm Dia)","7.98mm","36°","Silver Cadmium Oxide (AgCdO)","Gold","Panel Mount, Through Hole","PC Pin","Shaft and Panel Sealed","4.57mm"
"http://www.grayhill.com/assets/1/7/Rotary_42,43,44,54.pdf",//media.digikey.com/Photos/Grayhill%20Photos/42D36-01-1-AJN.jpg,GH4201-ND,42D36-01-1-AJN,Grayhill Inc.,SWITCH ROTARY 2-10POS 1A 115V,278,0,"46.07000","0","1","42","Active","2 ~ 10","Adjustable","1","1","SP10T","Non-Shorting (BBM)","1A (AC/DC)","115V","28V","Flatted (6.35mm Dia)","11.10mm","36°","Silver Alloy","-","Panel Mount","Solder Lug","-","26.04mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM104002BCB.JPG,CKN10698-ND,RM104002BCB,C&K,SWITCH ROTARY 4POS 500MA 24V,1304,0,"2.27000","0","1","RM","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","500mA (DC)","-","24V","Screwdriver Slot","Flush","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1910/rm.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/RM105772BCB.JPG,CKN10701-ND,RM105772BCB,C&K,SWITCH ROTARY 5POS 500MA 24V,1034,0,"2.27000","0","1","RM","Active","5","Fixed","1","1","SP5T","Non-Shorting (BBM)","500mA (DC)","-","24V","Flatted (4.2mm Dia), Slotted","7.70mm","45°","Brass","Gold","Through Hole","PC Pin","-","7.37mm"
https://www.ckswitches.com/media/1351/r.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/R10307RN02Q.JPG,CKN9887-ND,R10307RN02Q,C&K,SWITCH ROTARY 3POS 5A 125V,116,0,"3.50000","0","1","R","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","5A (AC), 500mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","36°","Copper","Silver","Through Hole","PC Pin","-","10.29mm"
https://www.ckswitches.com/media/1351/r.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/r20307rn02q.JPG,CKN9888-ND,R20307RN02Q,C&K,SWITCH ROTARY 3POS 5A 125V,275,0,"4.63000","0","1","R","Active","3","Fixed","1","2","DP3T","Non-Shorting (BBM)","5A (AC), 500mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","36°","Copper","Silver","Through Hole","PC Pin","-","10.29mm"
https://www.ckswitches.com/media/1351/r.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/R20407RN02Q.jpg,CKN10134-ND,R20407RN02Q,C&K,SWITCH ROTARY 4POS 5A 125V,207,0,"4.86000","0","1","R","Active","4","Fixed","1","2","DP4T","Non-Shorting (BBM)","5A (AC), 500mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","36°","Copper","Silver","Through Hole","PC Pin","-","10.29mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/a10303rnzq.JPG,CKN11267-ND,A11503RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,257,0,"5.27000","0","1","A","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","45°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A10305RNZQ.JPG,CKN9823-ND,A10305RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,353,0,"5.38000","0","1","A","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/a10303rnzq.JPG,CKN9822-ND,A10303RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,308,0,"5.38000","0","1","A","Active","3","Fixed","1","1","SP3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A11405RNZQ.JPG,CKN9487-ND,A11405RNZQ,C&K,SWITCH ROTARY 2POS 2.5A 125V,165,0,"5.38000","0","1","A","Active","2","Fixed","1","1","SPDT","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
http://spec_sheets.e-switch.com/specs/G510450.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC26A30.001NPS.jpg,EG1953-ND,KC26A30.001NPS,E-Switch,SWITCH ROTARY 6POS 350MA 125V,3404,0,"6.06000","0","1","KC","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510470.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC43A30.001NPS.jpg,EG1957-ND,KC43A30.001NPS,E-Switch,SWITCH ROTARY 3POS 350MA 125V,1968,0,"6.06000","0","1","KC","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510440.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC52A30.001NPS.jpg,EG1951-ND,KC52A30.001NPS,E-Switch,SWITCH ROTARY 12POS 350MA 125V,1388,0,"6.06000","0","1","KC","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G530166.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC14A10.001NPS.jpg,KC14A10.001NPS-ND,KC14A10.001NPS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,1037,0,"6.06000","0","1","KC","Active","4","Fixed","1","1","SP4T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","10.00mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510277.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC24B30.001SLS.jpg,KC24B30.001SLS-ND,KC24B30.001SLS,E-Switch,SWITCH ROTARY 4POS 350MA 125V,540,0,"6.06000","0","1","KC","Active","4","Fixed","1","2","DP4T","Shorting (MBB)","350mA (AC)","125V","-","Round (6mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510240.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC52A30%5E001NLS.jpg,EG1952-ND,KC52A30.001NLS,E-Switch,SWITCH ROTARY 12POS 350MA 125V,386,0,"6.06000","0","1","KC","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G523729.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC26A9.501NLS.jpg,KC26A9.501NLS-ND,KC26A9.501NLS,E-Switch,SWITCH ROTARY 6POS 350MA 125V,364,0,"6.06000","0","1","KC","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","9.50mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G530161.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC18A9.501NPS.jpg,KC18A9.501NPS-ND,KC18A9.501NPS,E-Switch,SWITCH ROTARY 8POS 350MA 125V,261,0,"6.06000","0","1","KC","Active","8","Fixed","1","1","SP8T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","9.50mm","30°","Copper Alloy","Silver","Panel Mount, Through Hole","PC Pin","-","14.20mm"
http://spec_sheets.e-switch.com/specs/G510270.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC43A30.001NLS.JPG,EG1958-ND,KC43A30.001NLS,E-Switch,SWITCH ROTARY 3POS 350MA 125V,156,0,"6.06000","0","1","KC","Active","3","Fixed","1","4","4P3T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
http://spec_sheets.e-switch.com/specs/G510250.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KC26A30.001NLS.jpg,EG1954-ND,KC26A30.001NLS,E-Switch,SWITCH ROTARY 6POS 350MA 125V,120,0,"6.06000","0","1","KC","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","350mA (AC)","125V","-","Flatted (6.35mm Dia)","30.00mm","30°","Copper Alloy","Silver","Panel Mount","Solder Lug","-","18.50mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A12515RNCQ.jpg,CKN10205-ND,A12515RNCQ,C&K,SWITCH ROTARY 8POS 2.5A 125V,179,0,"6.26000","0","1","A","Active","8","Fixed","1","1","SP8T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","45°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/A12505RNZQ.jpg,CKN10204-ND,A12505RNZQ,C&K,SWITCH ROTARY 8POS 2.5A 125V,689,0,"6.58000","0","1","A","Active","8","Fixed","1","1","SP8T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","12.70mm","45°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/a10303rnzq.JPG,CKN10619-ND,A20303RNZQ,C&K,SWITCH ROTARY 3POS 2.5A 125V,164,0,"6.65000","0","1","A","Active","3","Fixed","1","2","DP3T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A11215RNCQ.JPG,CKC7001-ND,A11215RNCQ,C&K,SWITCH ROTARY 12POS 2.5A 125V,689,0,"6.66000","0","1","A","Active","12","Fixed","1","1","SP12T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A30415RNCQ.jpg,CKC7005-ND,A30415RNCQ,C&K,SWITCH ROTARY 4POS 2.5A 125V,137,0,"6.94000","0","1","A","Active","4","Fixed","1","3","3P4T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","38.10mm","30°","Silver (Ag)","Silver","Panel Mount, Through Hole","PC Pin","-","14.48mm"
https://www.ckswitches.com/media/1349/arotary.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/A20403RNZQ.JPG,CKN10206-ND,A20403RNZQ,C&K,SWITCH ROTARY 4POS 2.5A 125V,4717,0,"6.98000","0","1","A","Active","4","Fixed","1","2","DP4T","Non-Shorting (BBM)","2.5A (AC), 350mA (DC)","125V","125V","Flatted (6.35mm Dia)","9.53mm","30°","Silver (Ag)","Silver","Panel Mount","Solder Lug","-","20.83mm"
https://www.ckswitches.com/media/1354/rta.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/RTAP32S06W25NS.JPG,CKN9889-ND,RTAP32S06W25NS,C&K,SWITCH ROTARY 6POS 150MA 60V,645,0,"7.04000","0","1","RTA","Active","6","Fixed","1","2","DP6T","Non-Shorting (BBM)","150mA (AC/DC)","60V","60V","Round (6mm Dia), Slotted","25.00mm","30°","Brass","Silver","Through Hole","PC Pin","-","12.60mm"
