Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Circuit","Number of Positions","Switch Function","Contact Timing","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Key Removable Positions","Angle of Throw","Contact Material","Contact Finish","Mounting Type","Termination Style","Panel Cutout Dimensions","Features","Operating Temperature"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/Y201132C203NQ.jpg,CKN11519-ND,Y201132C203NQ,C&K,SWITCH KEYLOCK 2POS DPDT 4A 125V,917,0,"13.60000","0","1","Y","Active","DPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
http://www.nkkswitches.com/pdf/SK_PCBmountMiniature.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SK12BG30_RO.jpg,360-3211-ND,SK12BG30,NKK Switches,SWITCH KEYLK 2POS SPDT 0.4VA 28V,2067,2459,"13.76000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","1 only","90°","Beryllium Copper","Gold","Through Hole, Right Angle","PC Pin","-","Process Sealed","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CK-L1-FW01%20SERIES.jpg,360-3275-ND,CKL12BFW01-001,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,123,598,"13.86000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Flat Key","1 only","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 19.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-3893-ND,LK68NB126N3,APEM Inc.,SW KEYLOCK DPDT 4A 125V CHROME,1708,0,"14.64000","0","1","LK","Active","DPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK5xNB126N3.jpg,679-3892-ND,LK5ENB126N3,APEM Inc.,SW KEYLOCK SP3T 4A 125V CHROME,278,222,"14.69000","0","1","LK","Active","SP3T","3","Mom-On-Mom","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","45°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://industrial.omron.us/en/media/A22N_M22N_A30N_datasheet_A254-E1-01_tcm849-116892.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NK-Series.JPG,Z5483-ND,A22NK-2RM-01BA-G100,Omron Automation and Safety,SWITCH KEYLCK 2POS SPST 10A 120V,273,0,"15.65000","0","1","A22NK","Active","SPST-NO","2","Off-On","Not Specified","10A (AC), 8A (DC)","120V","24V","Flat Key","Left","90°","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66","-25°C ~ 70°C"
https://www.ckswitches.com/media/1379/hswitchlock.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/H1011U2F805NQ.JPG,CKC8004-ND,H1011U2F205NQ,C&K,SW KEY 2POS SPDT 12A 125V 5PC,1053,0,"15.76000","0","1","H","Active","SPDT","2","On-On","Not Specified","12A (AC), 1A (DC)","125V","125V","Flat Key","All","90°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","Circular - 19.30mm Dia","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/Y1011U2C2WCNQE.jpg,CKN10061-ND,Y1011U2C2WCNQE,C&K,SWITCH KEYLOCK 2POS SPDT 4A 125V,421,0,"15.78000","0","1","Y","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Wire Leads","Circular - 19.30mm Dia","Epoxy Sealed Terminals","-"
https://www.ckswitches.com/media/1382/yf.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/YF21132C203NQ.jpg,CKC1235-ND,YF21132C203NQ,C&K,SWITCH KEYLOCK 2POS DPDT 4A 125V,674,0,"16.18000","0","1","YF","Active","DPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 11.99mm Dia","Epoxy Sealed Terminals","-"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/Y1900S2C207NQ.JPG,CKN10062-ND,Y1900S2C207NQ,C&K,SWITCH KEYLOCK 4POS SP4T 4A 125V,905,0,"17.51000","0","1","Y","Active","SP4T","4","On-On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
https://www.ckswitches.com/media/1376/pm.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PM0613EBM05KQ22.jpg,CKC8021-ND,PM0613EBM05KQ22,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,528,0,"19.72000","0","1","PM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount, Snap-In","Quick Connect - 0.110"" (2.8mm)","Circular - 11.81mm Dia","-","-"
http://spec_sheets.e-switch.com/specs/K100301.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO105A1001.jpg,EG5139-ND,KO105A1001,E-Switch,SWITCH KEYLOCK 2POS SPST 1A 125V,192,0,"5.53000","0","1","KO","Active","SPST","2","Off-On","Not Specified","1A (AC)","125V","-","Tubular Key","All","90°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 12.00mm Dia","-","-"
http://spec_sheets.e-switch.com/specs/K200201.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO128B2007.jpg,EG5870-ND,KO128A2007,E-Switch,SWITCH KEYLOCK 2POS SPST 4A 125V,176,0,"9.41000","0","1","KO","Active","SPST","2","Off-On","Not Specified","4A (AC)","125V","-","Flat Key","1 only","90°","Copper Alloy","Silver","Panel Mount","Screw Terminal","Circular - 19.00mm Dia","-","-"
http://www.nkkswitches.com/pdf/SK_12mmBushingMount.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SK12AAW01.jpg,360-1935-ND,SK12AAW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 125V,2221,2705,"13.06000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","125V","-","Flat Key","All","90°","Silver (Ag)","-","Panel Mount","Solder Lug","Circular - 12.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/Y100AA2C203NQ.jpg,CKN11516-ND,Y100AA2C203NQ,C&K,SWITCH KEYLOCK 3POS SP3T 4A 125V,130,0,"13.33000","0","1","Y","Active","SP3T","3","On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","45°","Copper","Silver","Panel Mount","Solder Lug","Circular - 19.30mm Dia","-","-"
http://www.nkkswitches.com/pdf/SK_PCBmountSubmin.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SK13AEG30_RO.jpg,SK13AEG30-ND,SK13AEG30,NKK Switches,SWITCH KEYLK 3POS SP3T 0.4VA 28V,463,777,"13.60000","0","1","SK","Active","SP3T","3","On-On-On","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","All","45°","Beryllium Copper","Tin","Through Hole","PC Pin","-","Antistatic, Process Sealed","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CK-M1-FW01%20SERIES.jpg,360-1448-ND,CKM12BFW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,208,204,"13.60000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Flat Key","1 only","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 16.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CK-L1-TW01%20SERIES.jpg,360-3274-ND,CKL12ATW01-001,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,281,61,"13.86000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Tubular Key","All","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 19.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CK-L1-FW01%20SERIES.jpg,360-1454-ND,CKL12BFW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,140,268,"13.86000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Flat Key","1 only","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 19.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-6890-ND,LK6JNB126N3,APEM Inc.,SWITCH KEYLOCK 3POS DP3T 4A 125V,486,801,"14.10000","0","1","LK","Active","DP3T","3","On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","45°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/SK_PCBmountMiniature.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SK22BG30.JPG,360-3005-ND,SK22BG30,NKK Switches,SWITCH KEYLK 2POS DPDT 0.4VA 28V,112,630,"14.44000","0","1","SK","Active","DPDT","2","On-On","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","1 only","90°","Beryllium Copper","Gold","Through Hole, Right Angle","PC Pin","-","Process Sealed","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/SK_PCBmountMiniature.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SK22BG13-RO.jpg,360-3463-ND,SK22BG13,NKK Switches,SWITCH KEYLK 2POS DPDT 0.4VA 28V,478,19,"14.56000","0","1","SK","Active","DPDT","2","On-On","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","1 only","90°","Beryllium Copper","Gold","Through Hole","PC Pin","-","Process Sealed","-25°C ~ 70°C"
https://industrial.omron.us/en/media/A22N_M22N_A30N_datasheet_A254-E1-01_tcm849-116892.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NK-Series.JPG,Z5482-ND,A22NK-2RM-01AA-G100,Omron Automation and Safety,SWITCH KEYLCK 2POS SPST 10A 120V,958,0,"15.65000","0","1","A22NK","Active","SPST-NO","2","Off-On","Not Specified","10A (AC), 8A (DC)","120V","24V","Flat Key","All","90°","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66","-25°C ~ 70°C"
https://www.ckswitches.com/media/1383/ym.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/YM061U2C205NQ.jpg,CKC8008-ND,YM061U2C205NQ,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,152,0,"15.83000","0","1","YM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","Circular - 11.99mm Dia","-","-"
https://www.ckswitches.com/media/1381/y.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/Y1417U2C2WCNQE.jpg,CKC8026-ND,Y1417U2C2WCNQE,C&K,SWITCH KEYLOCK 3POS SP3T 4A 125V,130,0,"16.39000","0","1","Y","Active","SP3T","3","On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Wire Leads","Circular - 19.30mm Dia","Epoxy Sealed Terminals","-"
https://www.ckswitches.com/media/1383/ym.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/YM06132C2WCNQ.jpg,CKC8011-ND,YM06132C2WCNQ,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,593,0,"17.12000","0","1","YM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Wire Leads","Circular - 11.99mm Dia","-","-"
https://www.ckswitches.com/media/1383/ym.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/YM061U2C2WCNQ.jpg,CKC8009-ND,YM061U2C2WCNQ,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,392,0,"17.12000","0","1","YM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Wire Leads","Circular - 11.99mm Dia","-","-"
https://www.ckswitches.com/media/1379/hswitchlock.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/H2011U2F205NQ.jpg,CKC8005-ND,H2011U2F205NQ,C&K,SW KEY 2POS DPDT 12A 125V 5PC,130,0,"21.14000","0","1","H","Active","DPDT","2","On-On","Not Specified","12A (AC), 1A (DC)","125V","125V","Flat Key","All","90°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","Circular - 19.30mm Dia","Epoxy Sealed Terminals","-30°C ~ 85°C"
https://www.ckswitches.com/media/1376/pm.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PM0613EBMWCKQ22.jpg,PM0613EBMWCKQ22-ND,PM0613EBMWCKQ22,C&K,SWITCH KEYLOCK 2POS SPST 4A 125V,102,0,"21.53000","0","1","PM","Active","SPST","2","Off-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper","Silver","Panel Mount, Snap-In","Wire Leads","Circular - 11.81mm Dia","-","-"
https://www.ckswitches.com/media/1379/hswitchlock.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/H201132F205NQ.JPG,CKN11060-ND,H201132F205NQ,C&K,SWITCH KEYLCK 2POS DPDT 12A 125V,146,0,"21.63000","0","1","H","Active","DPDT","2","On-On","Not Specified","12A (AC), 1A (DC)","125V","125V","Flat Key","1 only","90°","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","Circular - 19.30mm Dia","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/SK_12mmBushingMount.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SK-DW01%20SERIES.jpg,360-1464-ND,SK12BDW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 125V,130,73,"22.32000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","125V","-","Flat Key","1 only","90°","Silver (Ag)","-","Panel Mount","Solder Lug","Circular - 12.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/2SWK,%20SKT,F,K.pdf",//media.digikey.com/Photos/TE%20Connectivity/SWK12%20SERIES.jpg,450-1010-ND,SWK121F315,TE Connectivity ALCOSWITCH Switches,SWITCH KEYLOCK 2POS SPST 5A 115V,295,0,"67.04000","0","1","SWK12","Active","SPST","2","On-Off","Non-Shorting (BBM)","5A (AC), 15A (DC)","115V","24V","Flat Key","2 only","90°","Silver (Ag)","-","Panel Mount","Screw Terminal","Circular - 19.20mm Dia","-","-30°C ~ 85°C"
https://industrial.omron.us/en/media/A22TK_manual_EN_A189-E1-01_tcm849-113980.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A22TK-2LR-12-K01.jpg,Z5890-ND,A22TK-2LR-12-K01,Omron Automation and Safety,SWITCH KEYLCK 2POS DPST 10A 110V,28,143,"157.50000","0","1","A22TK","Active","DPST-NC + SPST-NO","2","On-Off, Off-On","Not Specified","10A (AC/DC)","110V","24V","Tubular Key","Left","90°","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65","-20°C ~ 70°C"
http://spec_sheets.e-switch.com/specs/K100205.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO103%20SERIES.jpg,EG2624-ND,KO103D701,E-Switch,SWITCH KEYLOCK 2POS SPDT 1A 125V,119,0,"5.44000","0","1","KO","Active","SPDT","2","On-On","Not Specified","1A (AC)","125V","-","Tubular Key","All","90°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 12.00mm Dia","-","-"
http://spec_sheets.e-switch.com/specs/K200255.pdf,//media.digikey.com/Photos/E-Switch%20Photos/KO129B606.jpg,KO129B606-ND,KO129B606,E-Switch,SWITCH KEYLOCK 3POS SP3T 4A 125V,437,0,"13.01000","0","1","KO","Active","SP3T","3","On-On-Mom","Not Specified","4A (AC)","125V","-","Flat Key","1 and 3","45°, 90°","Copper Alloy","Silver","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-"
http://www.nkkswitches.com/pdf/SK_12mmBushingMount.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SK12BAW01-C-UL-RO.jpg,360-2919-ND,SK12BAW01/C-UL,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 125V,317,2446,"13.06000","0","1","SK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","125V","-","Flat Key","1 only","90°","Silver (Ag)","-","Panel Mount","Solder Lug","Circular - 12.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
http://www.nkkswitches.com/pdf/CKM_CKL.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/CK-M1-FW01%20SERIES.jpg,360-1447-ND,CKM12AFW01,NKK Switches,SWITCH KEYLOCK 2POS SPDT 3A 250V,119,0,"13.60000","0","1","CK","Active","SPDT","2","On-On","Non-Shorting (BBM)","3A (AC)","250V","-","Flat Key","All","90°","Silver (Ag)","Silver","Panel Mount","Solder Lug","Circular - 16.00mm Dia","Epoxy Sealed Terminals","-25°C ~ 70°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-3880-ND,LK6NNB126N3,APEM Inc.,SWITCH KEYLOCK 2POS SPDT 4A 125V,508,136,"13.82000","0","1","LK","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","90°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-3895-ND,LK6RNB126N3,APEM Inc.,SW KEYLOCK SPDT 4A 125V CHROME,133,0,"13.82000","0","1","LK","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/SK_PCBmountMiniature.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SK15BG13_RO.jpg,360-2704-ND,SK15BG13,NKK Switches,SWITCH KEYLK 2POS SPDT 0.4VA 28V,144,139,"14.50000","0","1","SK","Active","SPDT","2","On-Mom","Non-Shorting (BBM)","0.4VA (AC/DC)","28V","28V","Flat Key","1 only","90°","Beryllium Copper","Gold","Through Hole","PC Pin","-","Process Sealed","-25°C ~ 70°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-3887-ND,LK6SNB126N3,APEM Inc.,SWITCH KEYLOCK 2POS DPDT 4A 125V,1108,1000,"14.64000","0","1","LK","Active","DPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/photos/APEM%20Comp%20Photos/MFG_LK6xNB126N3.jpg,679-3894-ND,LK6HNB126N3,APEM Inc.,SW KEYLOCK DP3T 4A 125V CHROME,154,0,"14.92000","0","1","LK","Active","DP3T","3","On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","1 only","45°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=943,//media.digikey.com/Photos/APEM%20Comp%20Photos/MFG_LK6JGB126M3.jpg,679-3868-ND,LK6JGB126M3,APEM Inc.,SWITCH KEYLOCK 3POS DP3T 4A 125V,101,0,"14.94000","0","1","LK","Active","DP3T","3","On-On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","45°","Copper Alloy","Gold","Panel Mount","Solder Lug","Circular - 19.00mm Dia","-","-30°C ~ 85°C"
https://www.ckswitches.com/media/1382/yf.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/YF01132C203NQ,%20YF011U2C203NQ.jpg",CKC1236-ND,YF011U2C203NQ,C&K,SWITCH KEYLOCK 2POS SPDT 4A 125V,103,0,"15.88000","0","1","YF","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount","Solder Lug","Circular - 11.99mm Dia","Epoxy Sealed Terminals","-"
https://www.ckswitches.com/media/1380/pf.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/PF011UEBM03KQ22.JPG,PF011UEBM03KQ22-ND,PF011UEBM03KQ22,C&K,SWITCH KEYLOCK 2POS SPDT 4A 125V,105,0,"16.34000","0","1","PF","Active","SPDT","2","On-On","Not Specified","4A (AC/DC)","125V","28V","Flat Key","All","90°","Copper","Silver","Panel Mount, Snap-In","Solder Lug","Circular - 11.81mm Dia","Epoxy Sealed Terminals","-"
