Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Maximum Cable Length","Features","Operating Force","Ingress Protection","Operating Temperature"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-73/zs-73-1oe1s-w-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048224ZS73.jpg,1743-1098-ND,STE-1048224ZS73,Steute,STEUTE PULL-WIRE SWITCH,5,0,"381.06000","0","1","ZS73","Active","DPST-NO/NC","On-Mom, Off-Mom","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-80/zs-80-2oe2s-wvd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1177916ZS80.jpg,1743-1086-ND,STE-1177916ZS80,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,5,0,"417.18000","0","1","ZS80","Active","4PST-2NO/2NC","On-Off, Off-On","2A (AC/DC)","250V","24V","100m","Push Button Emergency Stop Switch, Position Indicator","10197gf","IP67 - Dust Tight, Waterproof","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-80/zs-80-3oe1s-wvd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1178758ZS80.jpg,1743-1087-ND,STE-1178758ZS80,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,5,0,"417.18000","0","1","ZS80","Active","4PST-3NC/1NO","On-Off, Off-On","2A (AC/DC)","250V","24V","100m","Push Button Emergency Stop Switch, Position Indicator","10197gf","IP67 - Dust Tight, Waterproof","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73-s/zs-73-s-1oe1s-vd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1053107ES73.jpg,1743-1088-ND,STE-1053107ES73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,5,0,"556.20000","0","1","ZS73","Active","DPST-NO/NC","On-Off, Off-On","6A (AC)","400V","-","100m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
http://sensing.honeywell.com/honeywell-sensing-cps-series-product-sheet-004785-2-en.pdf,-,480-6932-ND,1CPSA3,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION 4PST 10A 600V,2,0,"313.12000","0","1","CPS","Active","4PST-3NC/1NO","On-Off, Off-On","10A (AC/DC)","600V","250V","-","-","-","IP67 - Dust Tight, Waterproof","-40°C ~ 80°C"
http://sensing.honeywell.com/honeywell-sensing-cps-series-product-sheet-004785-2-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/2CPSC1A1.jpg,480-6304-ND,2CPSC1A1,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACT 4PST 50MA 250V,2,0,"515.33000","0","1","CPS","Active","4PST-2NO/2NC","On-Off, Off-On","50mA (AC/DC)","250V","60V","-","-","-","IP67 - Dust Tight, Waterproof","-40°C ~ 80°C"
http://sensing.honeywell.com/index.php?ci_id=142927,//media.digikey.com/Photos/Honeywell%20Photos/WLS1A11AQ-4P01.JPG,480-5654-ND,WLS1A11AQ-4P01,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION SPDT,3,0,"531.86000","0","1","WLS","Obsolete","SPDT","On-Mom","-","-","-","-","-","3175gf","IP67/68 - Dust Tight, Waterproof","-40°C ~ 85°C"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,//media.digikey.com/photos/Omron%20Auto/44506-4020.jpg,Z3866-ND,ER5018-021N,Omron Automation and Safety,SWITCH LIMIT 2NC 1NO 6A 120V,1,0,"201.96000","0","1","ER5018","Active","3PST-2NC/1NO","On-Off, Off-On","6A (AC), 2.5A (DC)","120V","24V","-","-","-","IP67 - Dust Tight, Waterproof","-25°C ~ 80°C"
https://www.steute.com/en/automation/products/pull-wire-switches/zs-70/zs-70-1oe1s.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1178448ZS70.jpg,1743-1093-ND,STE-1178448ZS70,Steute,STEUTE PULL-WIRE SWITCH,0,0,"132.68000","0","1","ZS70","Active","DPST-NO/NC","On-Mom, Off-Mom","6A (AC)","400V","-","10m","-","-","IP67 - Dust Tight, Waterproof","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-70/zs-70-1oe1s-vd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1178365ZS70.jpg,1743-1070-ND,STE-1178365ZS70,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"168.59000","0","1","ZS70","Active","DPST-NO/NC","On-Off, Off-On","6A (AC)","400V","-","10m","-","-","IP67 - Dust Tight, Waterproof","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-70/zs-70-2oe-vd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1178380ZS70.jpg,1743-1071-ND,STE-1178380ZS70,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"168.59000","0","1","ZS70","Active","DPST-NC","On-Off","6A (AC)","400V","-","10m","-","-","IP67 - Dust Tight, Waterproof","-25°C ~ 70°C"
https://cdn.sick.com/media/pdf/8/88/588/dataSheet_i110-RP223_6025077_en.pdf,//media.digikey.com/Photos/Sick%20Photos/MFG_602507x.jpg,1882-1155-ND,I110-RP223,"SICK, Inc.",SW SAFETY ROPE PULL 2NC/2NO,1,0,"218.89000","0","1","i110RP","Active","4PST-2NO/2NC (DB/DM)","On-Off, Off-On","3A (AC), 2A (DC)","240V","24V","-","-","-","IP66 - Dust Tight, Water Resistant","-25°C ~ 80°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-71/zs-71-2oe1s-vd-100-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1185002ZS71.jpg,1743-1072-ND,STE-1185002ZS71,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"265.05000","0","1","ZS71","Active","3PST-2NC/1NO","On-Off, Off-On","2A (AC)","250V","-","35m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-71/zs-71-2oe1s-wvd-100-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1185001ZS71.jpg,1743-1073-ND,STE-1185001ZS71,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"277.36000","0","1","ZS71","Active","3PST-2NC/1NO","On-Off, Off-On","2A (AC)","250V","-","35m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-71/zs-71-2oe1s-wvd-a-100-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1182987ZS71.jpg,1743-1074-ND,STE-1182987ZS71,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"296.50000","0","1","ZS71","Active","3PST-2NC/1NO","On-Off, Off-On","2A (AC)","250V","-","35m","Position Indicator","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-441/zs-441-1oe1s-vd-150-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048284ZS44.jpg,1743-1083-ND,STE-1048284ZS44,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"305.06000","0","1","ZS441","Active","DPST-NO/NC","On-Off, Off-On","6A (AC)","400V","-","60m","-","15295gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-441/zs-441-2oe-vd-150-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048301ZS44.jpg,1743-1084-ND,STE-1048301ZS44,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"305.06000","0","1","ZS441","Active","DPST-NC","On-Off","6A (AC)","400V","-","60m","-","15295gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73/zs-73-1oe1s-vd-120-180-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048218ZS73.jpg,1743-1075-ND,STE-1048218ZS73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"374.63000","0","1","ZS73","Active","DPST-NO/NC","On-Off, Off-On","6A (AC)","400V","-","130m","-","12236 ~ 18354gf","IP54 - Dust Protected, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73/zs-73-2oe-vd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048242ZS73.jpg,1743-1077-ND,STE-1048242ZS73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"374.63000","0","1","ZS73","Active","DPST-NC","On-Off","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP54 - Dust Protected, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73/zs-73-1oe1s-wvd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048225ZS73.jpg,1743-1076-ND,STE-1048225ZS73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"441.00000","0","1","ZS73","Active","DPST-NO/NC","On-Off, Off-On","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73/zs-73-2oe-wvd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048249ZS73.jpg,1743-1078-ND,STE-1048249ZS73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"441.00000","0","1","ZS73","Active","DPST-NC","On-Off","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-75/zs-75-2oe2s-vd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048414ZS75.jpg,1743-1079-ND,STE-1048414ZS75,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"536.13000","0","1","ZS75","Active","4PST-2NO/2NC","On-Off, Off-On","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP54 - Dust Protected, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-73-s/zs-73-s-2oe1s-vd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1184854ZS73.jpg,1743-1089-ND,STE-1184854ZS73,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"587.51000","0","1","ZS73","Active","3PST-2NC/1NO","On-Off, Off-On","2A (AC)","250V","-","100m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-75/zs-75-2oe2s-wvd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048429ZS75.jpg,1743-1080-ND,STE-1048429ZS75,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"602.49000","0","1","ZS75","Active","4PST-2NO/2NC","On-Off, Off-On","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-75/zs-75-2oe2s-wvd-120-180-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1048431ZS75.jpg,1743-1081-ND,STE-1048431ZS75,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"602.49000","0","1","ZS75","Active","4PST-2NO/2NC","On-Off, Off-On","6A (AC)","400V","-","130m","-","12236 ~ 18354gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-75/zs-75-4oe-wvd-295-390-n.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1053134ZS75.jpg,1743-1082-ND,STE-1053134ZS75,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"602.49000","0","1","ZS75","Active","4PST-NC","On-Off","6A (AC)","400V","-","130m","-","30081 ~ 39768gf","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://www.steute.com/en/automation/products/emergency-pull-wire-switches/zs-75-s/zs-75-s-2oe2s-vd.pdf,//media.digikey.com/Photos/Steute-Wireless-Photos/MFG_STE-1159425ZS75.jpg,1743-1090-ND,STE-1159425ZS75,Steute,STEUTE EMERGENCY PULL-WIRE SWITC,0,0,"789.41000","0","1","ZS75","Active","4PST-2NO/2NC","On-Off, Off-On","6A (AC)","400V","-","100m","-","-","IP65 - Dust Tight, Water Resistant","-25°C ~ 70°C"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,-,44506-4030-ND,ER5018-030M,Omron Automation and Safety,"ER5018-030M, 3 N/C, M20",0,0,"201.96000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,-,44506-4040-ND,ER5018-030N,Omron Automation and Safety,"ER5018-030N, 3 N/C, 1/2 IN. NPT",0,0,"201.96000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,-,44506-4110-ND,ER5018-021ME,Omron Automation and Safety,ER5018-021ME 2N/C+1N/O M20 E STO,0,0,"219.78000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,-,44506-4130-ND,ER5018-030ME,Omron Automation and Safety,"ER5018-030ME, 3N/C, M20, E STOP",0,0,"225.72000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/ER5018_datasheet_en_201503_C56I-E-01_tcm849-108892.pdf,//media.digikey.com/Photos/Omron%20Auto/44506-4140.jpg,44506-4140-ND,ER5018-030NE,Omron Automation and Safety,"ER5018-030NE, 3N/C, 1/2"" NPT, E",0,0,"225.72000","0","1","ER5018","Active","-","-","-","-","-","-","-","-","-","-"
-,-,I110-RP224-ND,I110-RP224,"SICK, Inc.",SWITCH ROPE PULL 30M M12,0,0,"235.22000","0","1","i110RP","Active","DPST-NC","On-Off","2A (DC)","-","24V","-","-","-","IP66 - Dust Tight, Water Resistant","-25°C ~ 80°C"
-,//media.digikey.com/photos/Honeywell%20Photos/CLSB4B.JPG,480-4803-ND,CLSB4B,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION DPST,0,0,"251.39333","0","3","CLS","Not For New Designs","DPST-NO/NC","On-Off, Off-On","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Honeywell%20Photos/CLSB4B-1.jpg,480-4804-ND,CLSB4B-1,Honeywell Sensing and Productivity Solutions,SWITCH SNAP ACTION DPST,0,0,"251.39333","0","3","CLS","Not For New Designs","DPST-NO/NC","On-Off, Off-On","-","-","-","-","Actuator Mounted Left Side","-","-","-"
