Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Switch Type","Number of Keys","Matrix (Columns x Rows)","Illumination","Legend Type","Key Type","Output Type","Legend","Legend Color","Key Color","Mounting Type","Termination Style","Panel Cutout Dimensions","Operating Temperature","Ingress Protection","Illumination Voltage (Nominal)","Contact Rating @ Voltage","Features"
//media.digikey.com/pdf/Data%20Sheets/Grayhill%20PDFs/96%20Series.pdf,//media.digikey.com/photos/Grayhill%20Photos/96AB2-102-F.jpg,GH5001-ND,96AB2-102-F,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.005A 12V,221,0,"17.89000","0","1","96","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","Black","White","Panel Mount, Front","Pin Header","-","-30°C ~ 80°C","IP40","-","0.005A @ 12VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Grayhill%20PDFs/96%20Series.pdf,//media.digikey.com/photos/Grayhill%20Photos/96BB2-006-R.jpg,GH5004-ND,96BB2-006-R,Grayhill Inc.,SWITCH KEYPAD 16 KEY 0.005A 12V,546,0,"19.92000","0","1","96","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format, A ~ D","Black","White","Panel Mount, Rear","Pin Header","Rectangular - 68.58mm x 63.50mm","-30°C ~ 80°C","IP40","-","0.005A @ 12VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Grayhill%20PDFs/96%20Series.pdf,//media.digikey.com/photos/Grayhill%20Photos/96BB2-056-F.jpg,GH5010-ND,96BB2-056-F,Grayhill Inc.,SWITCH KEYPAD 16 KEY 0.005A 12V,200,0,"19.92000","0","1","96","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format, A ~ D","White","Black","Panel Mount, Front","Pin Header","-","-30°C ~ 80°C","IP40","-","0.005A @ 12VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88AB2-152.jpg,GH5013-ND,88AB2-152,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.01A 24V,166,4,"32.51000","0","1","88","Active","Snap Dome","12","3 x 4","Non-Illuminated","Fixed","Polyester Overlay","Matrix","Telephone Format","Blue, White","Blue, White","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1439475975.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/3K12T103.jpg,MGR1526-ND,3K12T103,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,192,0,"33.96000","0","1","3000","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Rectangular - 83.00mm x 64.00mm","-10°C ~ 85°C","IP54 - Dust Protected, Water Resistant","-","0.05A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88BB2-072.jpg,GH5016-ND,88BB2-072,Grayhill Inc.,SWITCH KEYPAD 16 KEY 0.01A 24V,138,1,"37.56000","0","1","88","Active","Snap Dome","16","4 x 4","Non-Illuminated","Fixed","Polyester Overlay","Matrix","0 ~ 9, A ~ F","White","Blue","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88JB2.jpg,GH5020-ND,88JB2,Grayhill Inc.,SWITCH KEYPAD 20 KEY 0.01A 24V,348,14,"40.04000","0","1","88","Active","Snap Dome","20","5 x 4","Non-Illuminated","Interchangeable","Polyester Overlay","Matrix","Customizable (Sold Separate)","-","White","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396360023.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_7203-12TW203.jpg,MGR1656-ND,7203-12TW203,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,277,0,"40.40000","0","1","720 TFX-i","Active","Conductive Rubber","12","3 x 4","Illuminated - White","Fixed","Polymer","Matrix","Telephone Format","Black","White","Panel Mount, Front or Rear","Pin Header","-","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","5 VDC","0.05A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359302.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/70120203.jpg,MGR1112-ND,70120203,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,441,0,"40.43000","0","1","700","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Interchangeable","Rubber Overlay","Matrix","Customizable (Included)","White","Gray","Panel Mount, Front or Rear","Pin Header","-","-55°C ~ 125°C","IP67 - Dust Tight, Waterproof","-","0.05A @ 24VDC","Black Housing"
http://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396360200.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/PLX12T203.jpg,MGR1544-ND,PLX12T203,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,213,0,"60.46000","0","1","1000 PLX","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Metal","Matrix","Telephone Format","Black","Silver","Panel Mount, Front or Rear","Pin Header","Rectangular - 83.00mm x 64.00mm","-40°C ~ 100°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/419_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/419.jpg,1528-1136-ND,419,Adafruit Industries LLC,SWITCH KEYPAD 12 KEY NON-ILLUM,512,0,"3.95000","0","1","-","Active","Membrane (Snap Dome)","12","3 x 4","Non-Illuminated","Fixed","Polyester Overlay","Matrix","Telephone Format","White","Blue, Red","Panel Mount, Front","Cable with Connector","-","-","-","-","-","-"
http://www.grayhill.com/assets/1/7/Keypads_87.pdf,//media.digikey.com/Photos/Grayhill%20Photos/87CC3-201.jpg,GH7749-ND,87CC3-201,Grayhill Inc.,SWITCH KEYPAD 1 KEY 0.01A 24V,671,0,"5.49000","0","1","87","Active","Snap Dome","1","1 x 1","Non-Illuminated","Interchangeable","Transparent Key Cap","Independent Switches (SPST)","Customizable (Sold Separate)","-","White","Through Hole","PC Pin","-","-40°C ~ 80°C","-","-","0.01A @ 24VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1824_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1824.jpg,1528-2161-ND,1824,Adafruit Industries LLC,SWITCH KEYPAD 12 KEY NON-ILLUM,143,0,"7.50000","0","1","-","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","White","Black","Panel Mount, Front","Pin Header","-","-","-","-","-","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1439475975.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/3K041103.jpg,MGR1523-ND,3K041103,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,154,0,"23.02000","0","1","3000","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Arrows","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Rectangular - 82.50mm x 25.50mm","-10°C ~ 85°C","IP54 - Dust Protected, Water Resistant","-","0.05A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359302.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/70040103.jpg,MGR1101-ND,70040103,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,142,0,"30.34000","0","1","700","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Interchangeable","Rubber Overlay","Matrix","Customizable (Included)","White","Gray","Panel Mount, Front or Rear","Pin Header","-","-55°C ~ 125°C","IP67 - Dust Tight, Waterproof","-","0.05A @ 24VDC","Gray Housing"
http://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396360200.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/PLX042203.jpg,MGR1541-ND,PLX042203,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,128,0,"43.25000","0","1","1000 PLX","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Fixed","Metal","Matrix","F1 ~ F4","Black","Silver","Panel Mount, Front or Rear","Pin Header","Rectangular - 82.50mm x 25.50mm","-40°C ~ 100°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
-,//media.digikey.com/Photos/Storm%20Interface%20Photos/FT2K0503.JPG,MGR1628-ND,FT2K0503,Storm Interface,SWITCH KEYPAD 20 KEY 0.05A 24V,52,0,"122.83000","0","1","5000","Active","Conductive Rubber","20","4 x 5","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format, Function Keys","Black, White","Multiple","Panel Mount, Rear","Pin Header","Rectangular - 169.00mm x 111.00mm","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","-"
//media.digikey.com/pdf/Data%20Sheets/Storm%20Interface%20PDFs/EZ-Access.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_EZ08-23001.jpg,MGR1682-ND,EZ08-23001,Storm Interface,SWITCH KEYPAD 8 KEY NON-ILLUM,29,0,"200.87000","0","1","NAV-Pad™","Active","Conductive Rubber","8","-","Non-Illuminated","Fixed","Polymer","USB","Arrows, Help Button","Black, White","Multiple","Panel Mount, Front or Rear","USB Socket","Rectangular - 109.50mm x 95.50mm","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","-","-","Audio Enabled"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396360153.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/DE1KT103.jpg,MGR1565-ND,DE1KT103,Storm Interface,SWITCH KEYPAD 12 KEY NON-ILLUM,27,0,"208.53000","0","1","AXS","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Metal","Non-Standard (Controller Included)","Telephone Format","Black","Silver","Panel Mount, Front","Screw Terminal","-","-20°C ~ 70°C","IP65 - Dust Tight, Water Resistant","-","-","Vandal Resistant"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1420543271.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/MFG_EZ05.jpg,MGR1630-ND,EZ05-222013,Storm Interface,SWITCH KEYPAD 5 KEY NON-ILLUM,137,0,"162.33000","0","1","NAV-Pad™","Active","Conductive Rubber","5","-","Non-Illuminated","Fixed","Polymer","USB","Arrows, Help Button","Black, White","Multiple","Panel Mount, Front or Rear","Pin Header","Rectangular - 109.50mm x 95.50mm","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","-","-","Vandal Resistant"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396358420.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/1K16T103.jpg,MGR1514-ND,1K16T103,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,89,0,"83.40000","0","1","1000","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Metal","Matrix","Telephone Format, A ~ C","Black","Silver","Panel Mount, Front or Rear","Pin Header","Square - 83.00mm²","-40°C ~ 100°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
http://www.grayhill.com/assets/1/7/CAN_keypad_datasheet_SCREEN.pdf,//media.digikey.com/Photos/Grayhill%20Photos/3K208-2RN3AG.jpg,GH7922-ND,3K208-2RC3AG,Grayhill Inc.,"CAN-BUS KEYPAD, 8 BUTTON, HORIZO",9,0,"229.33000","0","1","3K","Active","Snap Dome","8","4 x 2","Illuminated","Fixed","Rubber Overlay","CAN Bus (J1939)","Targets","White","Black","Panel Mount, Front","Connector","Circular - 40.64mm Dia","-40°C ~ 85°C","IP67 - Dust Tight, Waterproof","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/COM-14662_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-14662.jpg,1568-1856-ND,COM-14662,SparkFun Electronics,KEYPAD - 12 BUTTON,98,0,"3.95000","0","1","-","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","White","Black","Panel Mount, Front","Card Edge/Solder Pad","-","-","-","-","-","-"
https://www.parallax.com/sites/default/files/downloads/27899-4x4-Matrix-Membrane-Keypad-v1.2.pdf,//media.digikey.com/Photos/Parallax%20Photos/27899.jpg,27899PAR-ND,27899,Parallax Inc.,SWITCH KEYPAD 16 KEY NON-ILLUM,75,0,"6.50000","0","1","-","Active","Membrane (Snap Dome)","16","4 x 4","Non-Illuminated","Fixed","Polyester Overlay","Matrix","Telephone Format, A ~ D","White","Blue, Red","Panel Mount, Front","Cable with Connector","-","-","-","-","-","-"
http://www.nkkswitches.com/pdf/FM-Membranes-3.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/FMBN04BE.jpg,360-2295-ND,FMBN04BE,NKK Switches,SWITCH KEYPAD 4 KEY 0.02A 24V,46,32,"20.48000","0","1","FM","Active","Membrane (Snap Dome)","4","1 x 4","Non-Illuminated","Interchangeable","Polyester Overlay","Matrix","Customizable (Included)","-","Transparent","Panel Mount, Front","Cable with Connector","-","-15°C ~ 55°C","-","-","0.02A @ 24VDC","-"
http://www.nkkswitches.com/pdf/FM-Membranes-3.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/MFG_FMBN04BD.jpg,360-2294-ND,FMBN04BD,NKK Switches,SWITCH KEYPAD 4 KEY 0.02A 24V,35,0,"20.48000","0","1","FM","Active","Membrane (Snap Dome)","4","1 x 4","Non-Illuminated","Interchangeable","Polyester Overlay","Matrix","Customizable (Included)","-","Transparent","Panel Mount, Front","Cable with Connector","-","-15°C ~ 55°C","-","-","0.02A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88AB2.jpg,GH5018-ND,88AB2,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.01A 24V,46,0,"25.80000","0","1","88","Active","Snap Dome","12","3 x 4","Non-Illuminated","Interchangeable","Polyester Overlay","Matrix","Customizable (Sold Separate)","-","White","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359459.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/GS040203.jpg,MGR1547-ND,GS040203,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,26,0,"28.85000","0","1","GFX","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Interchangeable","Transparent Key Cap","Matrix","Customizable (Sold Separate)","-","Transparent","Panel Mount, Front or Rear","Pin Header","Rectangular - 82.50mm x 25.50mm","-20°C ~ 60°C","IP54 - Dust Protected, Water Resistant","-","0.05A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_88.pdf,//media.digikey.com/photos/Grayhill%20Photos/88AB2-172.jpg,GH5014-ND,88AB2-172,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.01A 24V,26,0,"32.51000","0","1","88","Active","Snap Dome","12","3 x 4","Non-Illuminated","Fixed","Polyester Overlay","Matrix","Telephone Format","White","Blue","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP42","-","0.01A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_86.pdf,//media.digikey.com/Photos/Grayhill%20Photos/86JB2-201.jpg,GH7748-ND,86JB2-201,Grayhill Inc.,SWITCH KEYPAD 20 KEY 0.01A 24V,76,0,"32.91000","0","1","86","Active","Snap Dome","20","5 x 4","Non-Illuminated","Interchangeable","Transparent Key Cap","Matrix","Customizable (Sold Separate)","-","White","Panel Mount, Front or Rear","Pin Header","-","-40°C ~ 80°C","IP40","-","0.01A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359713.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/2K041103.jpg,MGR1516-ND,2K041103,Storm Interface,SWITCH KEYPAD 4 KEY 0.05A 24V,25,0,"36.07000","0","1","2000","Active","Conductive Rubber","4","1 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Arrows","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Rectangular - 82.50mm x 25.50mm","-25°C ~ 85°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1439475975.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/3K16T103.jpg,MGR1528-ND,3K16T103,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,15,0,"41.31000","0","1","3000","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format, A ~ C","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Square - 83.00mm²","-10°C ~ 85°C","IP54 - Dust Protected, Water Resistant","-","0.05A @ 24VDC","-"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359713.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/2K12T103.jpg,MGR1519-ND,2K12T103,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,42,0,"48.12000","0","1","2000","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Telephone Format","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Rectangular - 83.00mm x 64.00mm","-25°C ~ 85°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359713.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/2K120103.jpg,MGR1518-ND,2K120103,Storm Interface,SWITCH KEYPAD 12 KEY 0.05A 24V,36,0,"48.12000","0","1","2000","Active","Conductive Rubber","12","3 x 4","Non-Illuminated","Fixed","Polymer","Matrix","Calculator Format","Gray","Translucent","Panel Mount, Front or Rear","Pin Header","Rectangular - 83.00mm x 64.00mm","-25°C ~ 85°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359302.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/70160103.jpg,MGR1103-ND,70160103,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,55,0,"48.19000","0","1","700","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Interchangeable","Rubber Overlay","Matrix","Customizable (Included)","White","Gray","Panel Mount, Front or Rear","Pin Header","-","-55°C ~ 125°C","IP67 - Dust Tight, Waterproof","-","0.05A @ 24VDC","Gray Housing"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396361279.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_7207-161W203.jpg,MGR1651-ND,7207-161W203,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,77,0,"53.55000","0","1","720 GFX-i","Active","Conductive Rubber","16","4 x 4","Illuminated - White","Interchangeable","Transparent Key Cap","Matrix","Customizable (Included)","Black","Multiple","Panel Mount, Front or Rear","Pin Header","-","-20°C ~ 60°C","IP65 - Dust Tight, Water Resistant","5 VDC","0.05A @ 24VDC","-"
http://www.grayhill.com/assets/1/7/Keypads_84LS.pdf,//media.digikey.com/photos/Grayhill%20Photos/84LS-AB2-112-N.JPG,GH7449-ND,84LS-AB2-112-N,Grayhill Inc.,SWITCH KEYPAD 12 KEY 0.01A 24V,16,0,"58.38000","0","1","84LS","Active","Snap Dome","12","3 x 4","Non-Illuminated","Fixed","Rubber Overlay","Matrix","Telephone Format","White","Black","Panel Mount, Front","Pin Header","-","-55°C ~ 85°C","IP67 - Dust Tight, Waterproof","-","0.01A @ 24VDC","Shielded"
http://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396360200.pdf,//media.digikey.com/photos/Storm%20Interface%20Photos/PLX160203.jpg,MGR1545-ND,PLX160203,Storm Interface,SWITCH KEYPAD 16 KEY 0.05A 24V,79,0,"72.54000","0","1","1000 PLX","Active","Conductive Rubber","16","4 x 4","Non-Illuminated","Fixed","Metal","Matrix","Calculator Format, A ~ C","Black","Silver","Panel Mount, Front or Rear","Pin Header","Square - 83.00mm²","-40°C ~ 100°C","IP65 - Dust Tight, Water Resistant","-","0.05A @ 24VDC","Vandal Resistant"
