Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Actuator Type","Switch Function","Functions, Extra","Output","Voltage - Supply","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Contact Material","Contact Finish","Resistance","Mounting Type","Termination Style","Operating Temperature","Panel Cutout Dimensions","Ingress Protection","Features"
https://www.parallax.com/sites/default/files/downloads/27800-2-Axis-Joystick-Documentation-v1.2.pdf,//media.digikey.com/Photos/Parallax%20Photos/27800.JPG,27800-ND,27800,Parallax Inc.,JOYSTICK 10K OHM 2 AXIS TH 0.01W,397,0,"6.49000","0","1","-","Active","Joystick, 2 - Axis","Joystick","4-Way Directional","-","Analog (Resistive)","-","-","-","10V","-","-","10 kOhms","Through Hole","PC Pin","0°C ~ 70°C","-","-","-"
http://www.grayhill.com/assets/1/7/04A1.pdf,//media.digikey.com/photos/Grayhill%20Photos/04A.JPG,GH7453-ND,04A,Grayhill Inc.,SWITCH NAVIGATION 250MA 115V,274,0,"18.01000","0","1","04","Active","Navigation Switch, 2 - Axis","Plunger for Cap","4-Way Directional","-","Digital (Mechanical Switch)","-","250mA (AC)","115V","-","Phosphor Bronze","Gold","-","Through Hole","PC Pin","-40°C ~ 85°C","-","-","-"
http://www.grayhill.com/assets/1/7/04A1.pdf,//media.digikey.com/photos/Grayhill%20Photos/04A-B01.JPG,GH7455-ND,04A-B01,Grayhill Inc.,SWITCH NAVIGATION BAT 250MA 115V,515,0,"19.47000","0","1","04","Active","Navigation Switch, 2 - Axis","Bat","4-Way Directional","-","Digital (Mechanical Switch)","-","250mA (AC)","115V","-","Phosphor Bronze","Gold","-","Through Hole","PC Pin","-40°C ~ 85°C","-","-","-"
http://www.grayhill.com/assets/1/7/04J_datasheet.pdf,//media.digikey.com/Photos/Grayhill%20Photos/04J-BS-T01.JPG,GH7649-ND,04J-BS-T01,Grayhill Inc.,SWITCH NAVIGATION CASTLE 2A 115V,230,7,"135.03000","0","1","04J","Active","Navigation Switch, 2 - Axis","Castle","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","2A (AC/DC)","115V","28V","Nickel","Gold","-","Panel Mount","Solder Lug","-55°C ~ 85°C","-","IP68 - Dust Tight, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=101,//media.digikey.com/Photos/APEM%20Comp%20Photos/Barrel%20Handle.jpg,1040-1154-ND,SN101SS,APEM Inc.,SWITCH JOYSTICK T-HANDLE HALL,26,0,"311.37000","0","1","SN","Active","Joystick, 1 - Axis","T-Handle","2-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Solder Turret","-20°C ~ 70°C","Rectangular - 56.00mm x 7.00mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2765_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2765.jpg,1528-1730-ND,2765,Adafruit Industries LLC,JOYSTICK 10K OHM 2 AXIS TH,136,0,"2.50000","0","1","-","Active","Thumbstick, 2 - Axis","Puck","4-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","10 kOhms","Through Hole","PC Pin","-","-","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1087,//media.digikey.com/Photos/APEM%20Comp%20Photos/HF10S10.jpg,1040-1018-ND,HF10S10,APEM Inc.,SWITCH JOYSTICK BALL TIP HALL,29,0,"138.38000","0","1","HF","Active","Joystick, 2 - Axis","Ball Tip","360° Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP68 - Dust Tight, Waterproof","-"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/5000_Series_Joystick.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/5S251S0F1000.jpg,679-1411-ND,5S251S0F1000,APEM Inc.,JOYSTICK 5K OHM 2 AXIS PNL MT,27,0,"157.45000","0","1","5000","Active","Joystick, 2 - Axis","Joystick","4-Way Directional","-","Analog (Resistive)","-","-","-","10V","-","-","5 kOhms","Panel Mount","Pin Header","-10°C ~ 55°C","Square - 33.50mm²","-","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/HFX-11S10.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/HFX-11S10.jpg,679-2262-ND,HFX11S10,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,83,0,"169.13000","0","1","HFX Series I","Active","Joystick, 2 - Axis","Joystick","360° Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 85°C","Circular - 41.66mm Dia","IP65 - Dust Tight, Water Resistant","-"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=924,//media.digikey.com/Photos/APEM%20Comp%20Photos/1D16M1500.jpg,1040-1160-ND,1D16M1500,APEM Inc.,SWITCH JOYSTICK 6A 250V,27,0,"170.51000","0","1","1000","Active","Joystick, 2 - Axis","Joystick","8-Way Directional","1 Pushbutton","Digital (Mechanical Switch)","-","6A (AC)","250V","-","Silver (Ag)","Gold","-","Panel Mount","Solder Lug","-20°C ~ 50°C","Circular - 22.00mm Dia","IP65 - Dust Tight, Water Resistant","Includes Limiter and Bezel Set"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=97,//media.digikey.com/Photos/APEM%20Comp%20Photos/M31L081.jpg,1040-1127-ND,M31L081M,APEM Inc.,JOYSTICK 5K OHM 3 AXIS PNL MT,110,0,"172.83000","0","1","M","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 4-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","5 kOhms","Panel Mount","Solder Lug","-25°C ~ 70°C","Circular - 39.70mm Dia","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1207,//media.digikey.com/photos/APEM%20Comp%20Photos/HS6T22SA.jpg,679-3584-ND,HS6T22SA,APEM Inc.,SWITCH THMBSTK PUSHBTN 100MA 30V,44,0,"220.05000","0","1","HS","Active","Thumbstick, 1 - Axis","Pushbutton","2-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","100mA (DC)","-","30V","-","Silver","-","Panel Mount","Wire Leads with Connector","-25°C ~ 80°C","Circular - 25.02mm Dia","IP68/69K - Dust Tight, Water Resistant, Waterproof","-"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/HFX-33R13.pdf,//media.digikey.com/Photos/APEM%20Comp%20Photos/HFX-33R13.jpg,679-2503-ND,HFX33R13,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,27,0,"221.49000","0","1","HFX Series I","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 85°C","Circular - 41.66mm Dia","IP65 - Dust Tight, Water Resistant","-"
https://www.apem.com/int/index.php?controller=attachment&id_attachment=826,//media.digikey.com/Photos/APEM%20Comp%20Photos/HRL202E0.jpg,679-3655-ND,HRL202E0,APEM Inc.,SWITCH THUMBWHEEL HALL EFFECT,63,0,"142.36000","0","1","HR","Active","Thumbwheel, 1 - Axis","Thumbwheel","2-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads with Connector","-30°C ~ 70°C","-","IP68 - Dust Tight, Waterproof","-"
https://www.e-switch.com/system/asset/product_line/data_sheet/22/JS1400.pdf,-,EG5857-ND,JS1400AFQ,E-Switch,SWITCH NAVIGATION 50MA 12V,1122,0,"3.48000","0","1","JS1400","Active","Navigation Switch, 2 - Axis","Plunger for Cap","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","50mA (DC)","-","12V","-","-","-","Surface Mount","J Lead","-20°C ~ 70°C","-","-","-"
https://www.e-switch.com/system/asset/product_line/data_sheet/22/JS1400.pdf,-,EG5858-ND,JS1400BFQ,E-Switch,SWITCH NAVIGATION 50MA 12V,1560,0,"3.65000","0","1","JS1400","Active","Navigation Switch, 2 - Axis","Plunger for Cap","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","50mA (DC)","-","12V","-","-","-","Surface Mount","Gull Wing","-20°C ~ 70°C","-","-","-"
https://www.ckswitches.com/media/2471/sam.pdf,-,CKN12087-ND,SAM-H2-LR10SPA,C&K,"NAVIGATIONAL SWITCH, HIGH CURREN",3597,0,"3.75000","0","1","SAM","Active","Navigation Switch, 1 - Axis","Plunger for Cap","2-Way Directional","-","Digital (Mechanical Switch)","-","15A (DC)","-","14V","Silver Alloy","-","-","Through Hole","PC Pin","-40°C ~ 85°C","-","IP30","-"
https://www.ckswitches.com/media/2471/sam.pdf,-,CKN12088-ND,SAM-H2-LR14SPA,C&K,"NAVIGATIONAL SWITCH, HIGH CURREN",3580,0,"3.88000","0","1","SAM","Active","Navigation Switch, 1 - Axis","Plunger for Cap","2-Way Directional","-","Digital (Mechanical Switch)","-","15A (DC)","-","14V","Silver Alloy","-","-","Through Hole","PC Pin","-40°C ~ 85°C","-","IP30","-"
https://www.ckswitches.com/media/2471/sam.pdf,-,CKN12089-ND,SAM-H2-MR14SPA,C&K,"NAVIGATIONAL SWITCH, HIGH CURREN",3777,0,"4.00000","0","1","SAM","Active","Navigation Switch, 1 - Axis","Plunger for Cap","2-Way Directional","-","Digital (Mechanical Switch)","-","15A (DC)","-","14V","Silver Alloy","-","-","Through Hole","PC Pin","-40°C ~ 85°C","-","IP30","-"
https://www.ckswitches.com/media/2471/sam.pdf,-,CKN12090-ND,SAM-H4-MR11SPA,C&K,"NAVIGATIONAL SWITCH, HIGH CURREN",3691,0,"7.92000","0","1","SAM","Active","Navigation Switch, 2 - Axis","Plunger for Cap","4-Way Directional","-","Digital (Mechanical Switch)","-","15A (DC)","-","14V","Silver Alloy","-","-","Through Hole","PC Pin","-40°C ~ 85°C","-","IP30","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVQQ3.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-Q3AA15.jpg,P12330STR-ND,EVQ-Q3AA15,Panasonic Electronic Components,SWITCH NAVIG TACTILE 20MA 15V,2000,0,"1.12080","0","2000","EVQQ3","Obsolete","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","20mA (DC)","-","15V","-","-","-","Surface Mount","J Lead","-40°C ~ 85°C","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVQQ3.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-Q3AA15.jpg,P12330SCT-ND,EVQ-Q3AA15,Panasonic Electronic Components,SWITCH NAVIG TACTILE 20MA 15V,3917,0,"2.50000","0","1","EVQQ3","Obsolete","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","20mA (DC)","-","15V","-","-","-","Surface Mount","J Lead","-40°C ~ 85°C","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVQQ3.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-Q3AA15.jpg,P12330SDKR-ND,EVQ-Q3AA15,Panasonic Electronic Components,SWITCH NAVIG TACTILE 20MA 15V,3917,0,"Digi-Reel","0","1","EVQQ3","Obsolete","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","20mA (DC)","-","15V","-","-","-","Surface Mount","J Lead","-40°C ~ 85°C","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/JS1300AQ_Dwg.pdf,//media.digikey.com/photos/E-Switch%20Photos/JS1300AQ.jpg,EG4408TR-ND,JS1300AQ,E-Switch,SWITCH NAVIG TACTILE 50MA 12V,0,0,"1.12000","0","2500","JS1300","Active","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","50mA (DC)","-","12V","-","-","-","Surface Mount","J Lead","-20°C ~ 70°C","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/JS1300AQ_Dwg.pdf,//media.digikey.com/photos/E-Switch%20Photos/JS1300AQ.jpg,EG4408CT-ND,JS1300AQ,E-Switch,SWITCH NAVIG TACTILE 50MA 12V,2370,56,"2.38000","0","1","JS1300","Active","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","50mA (DC)","-","12V","-","-","-","Surface Mount","J Lead","-20°C ~ 70°C","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/JS1300AQ_Dwg.pdf,//media.digikey.com/photos/E-Switch%20Photos/JS1300AQ.jpg,EG4408DKR-ND,JS1300AQ,E-Switch,SWITCH NAVIG TACTILE 50MA 12V,2370,56,"Digi-Reel","0","1","JS1300","Active","Navigation Switch, 2 - Axis","Tactile (5 Button)","4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","50mA (DC)","-","12V","-","-","-","Surface Mount","J Lead","-20°C ~ 70°C","-","-","-"
https://www.ctscorp.com/wp-content/uploads/254.pdf,//media.digikey.com/Photos/CTS%20Photos/254SA103B50B.JPG,254SA103B50B-ND,254SA103B50B,CTS Electrocomponents,JOYSTICK 10K OHM 2 AXIS SMD,467,0,"5.95000","0","1","254","Obsolete","Joystick, 2 - Axis","Joystick","360° Directional","-","Analog (Resistive)","-","-","50V","5V","-","-","10 kOhms","Surface Mount","SMD (SMT) Tab","-10°C ~ 80°C","-","-","-"
https://www.ckswitches.com/media/1346/tsw.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/TSWB3NCB222LFS.jpg,CKN10345-ND,TSWB3NCB222LFS,C&K,SWITCH NAVIGATION SCROLL 1MA 10V,3022,0,"6.26000","0","1","TSW","Obsolete","Navigation Switch, 2 - Axis","Scroll Wheel and Directional Ring","360° Rotational, 4-Way Directional, Center Select","-","Digital (Mechanical Switch)","-","1mA (DC)","-","10V","-","-","-","Through Hole","PC Pin","0°C ~ 40°C","-","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=134,//media.digikey.com/Photos/APEM%20Comp%20Photos/TW0xBLK.jpg,1040-1079-ND,TW08BLK12,APEM Inc.,SWITCH THUMBWHEEL HALL EFFECT,99,0,"151.32000","0","1","TW","Active","Thumbwheel, 1 - Axis","Thumbwheel","2-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads","-40°C ~ 85°C","Rectangular - 36.60mm x 16.30mm","IP67 - Dust Tight, Waterproof","-"
//media.digikey.com/PDF/Data%20Sheets/APEM%20Components%20PDFs/500-526.pdf,//media.digikey.com/photos/APEM%20Comp%20Photos/500-526.jpg,679-2289-ND,500-526,APEM Inc.,SWITCH JOYSTICK CONICAL 50MA 24V,56,0,"45.37000","0","1","500","Active","Joystick, 2 - Axis","Conical","4-Way Directional","-","Digital (Mechanical Switch)","-","50mA (DC)","-","24V","-","-","-","Panel Mount","PC Pin","-","-","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1229,//media.digikey.com/Photos/CH%20Products/TS-AA1.jpg,1040-1056-ND,TSAA1U02A,APEM Inc.,SWITCH THMBSTK MULTI HALL EFFECT,67,0,"122.64000","0","1","TS","Active","Thumbstick, 1 - Axis","Multiple","2-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads","-40°C ~ 85°C","Circular - 25.65mm Dia","IP67/69K - Dust Tight, Water Resistant, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=97,//media.digikey.com/Photos/APEM%20Comp%20Photos/M11L0A1M.jpg,1040-1122-ND,M11L0A1M,APEM Inc.,JOYSTICK 5K OHM 2 AXIS PNL MT,60,0,"125.26000","0","1","M","Active","Joystick, 2 - Axis","Joystick","4-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","5 kOhms","Panel Mount","Solder Lug","-25°C ~ 70°C","Circular - 39.70mm Dia","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=97,//media.digikey.com/photos/APEM%20Comp%20Photos/M11L061P.jpg,679-2257-ND,M11L061P,APEM Inc.,JOYSTICK 5K OHM 2 AXIS PNL MT,21,0,"125.26000","0","1","M","Active","Joystick, 2 - Axis","Joystick","4-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","5 kOhms","Panel Mount","Solder Lug","-25°C ~ 70°C","Circular - 39.70mm Dia","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1229,//media.digikey.com/Photos/APEM%20Comp%20Photos/TSAT1G02A.jpg,679-3659-ND,TSAT1G02A,APEM Inc.,SWITCH THMBSTK MULTI HALL EFFECT,21,0,"155.60000","0","1","TS","Active","Thumbstick, 2 - Axis","Multiple","4-Way Directional","-","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Wire Leads","-40°C ~ 85°C","Circular - 25.02mm Dia","IP67/69K - Dust Tight, Water Resistant, Waterproof","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=97,//media.digikey.com/Photos/APEM%20Comp%20Photos/M31L081.jpg,679-2504-ND,M31L081P,APEM Inc.,JOYSTICK 5K OHM 3 AXIS PNL MT,15,0,"172.83000","0","1","M","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 4-Way Directional","-","Analog (Resistive)","-","-","-","-","-","-","5 kOhms","Panel Mount","Solder Lug","-25°C ~ 70°C","Circular - 39.70mm Dia","-","-"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1087,//media.digikey.com/Photos/APEM%20Comp%20Photos/HF-44.jpg,1040-1102-ND,HF44S10,APEM Inc.,SWITCH JOYSTICK HALL EFFECT,23,0,"194.43000","0","1","HF","Active","Joystick, 3 - Axis","Joystick","2-Way Rotational, 360° Directional","1 Pushbutton","Analog (Hall Effect)","5VDC","-","-","-","-","-","-","Panel Mount","Connector","-40°C ~ 70°C","Circular - 41.28mm Dia","IP68 - Dust Tight, Waterproof","-"
