Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Circuit","Number of Positions","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Mounting Type","Termination Style","Panel Cutout Dimensions","Ingress Protection","Features","Operating Temperature"
http://us.idec.com/Common/Download.aspx?d=44671,//media.digikey.com/Photos/IDEC/MFG_AS6M-2Y2P.jpg,1885-1062-ND,AS6M-2Y2P,IDEC,16MM SELECTOR SWITCH,139,0,"34.63000","0","1","A6","Active","Standard","DPDT","2","On-On","1A (AC/DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.20mm Dia","IP65 - Dust Tight, Oil and Water Resistant","-","-25°C ~ 55°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA1__Frontpl_.pdf,//media.digikey.com/Photos/Schurter%20Photos/MFG_0033.4514.jpg,486-3384-ND,0033.4514,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,2237,0,"7.49000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 12.70mm Dia","IP40","No Marking","-40°C ~ 85°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA1__Frontpl_.pdf,//media.digikey.com/Photos/Schurter%20Photos/MFG_0033.4503.jpg,486-3901-ND,0033.4518,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,381,0,"7.49000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","Solder Lug","Circular - 12.70mm Dia","IP40","Marking: 0-1","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/A22R_M22R.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_A22RW-2MG-24A-10.jpg,SW1352-ND,A22RW-2MG-24A-10,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,196,0,"25.53000","0","1","A22RW","Obsolete","Standard","SPST-NO","2","Off-On","10A (AC)","120V","-","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65 - Dust Tight, Water Resistant","Bezel - Round","-20°C ~ 50°C"
https://www.carlingtech.com/sites/default/files/700_800-Series_Details_%26_COS.pdf,//media.digikey.com/Photos/Carling%20Technologies%20Photos/700-A-BL.jpg,432-1260-ND,700-A-BL,Carling Technologies,SWITCH SELECT 4POS SP3T 4A 125V,83,0,"9.94000","0","1","700","Active","Standard","SP3T","4","Off-On-On-On","4A (AC), 1A (DC)","125V","125V","Non-Illuminated","-","-","Panel Mount","Quick Connect - 0.250"" (6.3mm)","Circular - 11.88mm Dia","-","Bezel - Round, Long Lever","-"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-2BM-NBA-G100-NN.JPG,Z6183-ND,A22NS-2BM-NBA-G100-NN,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,66,0,"10.87000","0","1","A22NS","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NS-3BB-NBA-G102-NN.JPG,Z6401-ND,A22NS-2RM-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 2POS DPST 10A 120V,30,0,"17.72000","0","1","A22NS","Active","Standard","DPST-NO/NC","2","On-Off, Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-3RM-NBA-G101-NN.JPG,Z5663-ND,A22NS-3RM-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST-NO 10A,63,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-2Rx-TAA-G100-Ax.jpg,Z6198-ND,A22NW-2RM-TAA-G100-AC,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,48,0,"22.26000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Blue","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Blue Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TGA-G100-Gx.JPG,Z6199-ND,A22NW-2RM-TGA-G100-GC,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,35,0,"22.26000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-3RM-TGA-G101-GC.JPG,Z6774-ND,A22NW-2RM-TGA-G101-GC,Omron Automation and Safety,SWITCH SELECT 2POS DPST-NO 10A,12,0,"27.04000","0","1","A22NW","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/A165S-T2M-1,%20A165S-T2A-1.jpg",Z1387-ND,A165S-T2M-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,42,0,"39.69000","0","1","A165S","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165S-A3M-2.jpg,Z1365-ND,A165S-A3M-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,67,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Square","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165S-T3M-2.jpg,Z1389-ND,A165S-T3M-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,37,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_SWA2__Print_.pdf,//media.digikey.com/Photos/Schurter%20Photos/0033.4604.JPG,486-1995-ND,0033.4604,Schurter Inc.,SWITCH SELECT 2POS SERIES 6.3A,90,0,"7.49000","0","1","SWA","Active","Line Voltage Selector","Series, Parallel Connections","2","On-On","6.3A (AC)","250V","-","Non-Illuminated","-","-","Panel Mount","PC Pin","-","IP40","Marking: 115-230","-40°C ~ 85°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NS-3MM-NBA-G101-NN.jpg,Z6115-ND,A22NS-3MM-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST-NO 10A,52,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NS-3BM-NBA-G102-NN.JPG,Z6185-ND,A22NS-3BM-NBA-G102-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,35,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO/NC","3","On-Off-Off, On-On-Off","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TGA-G100-Gx.JPG,Z5664-ND,A22NW-2RL-TGA-G100-GB,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,18,0,"20.98000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","12 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TRA-G100-Rx.JPG,Z5666-ND,A22NW-2RL-TRA-G100-RB,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,6,0,"20.98000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Red","12 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Red Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TRA-G100-Rx.JPG,Z6200-ND,A22NW-2RM-TRA-G100-RC,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,22,0,"22.26000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Red","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Red Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-2MM-TYA-G100-YC.JPG,Z6191-ND,A22NW-2MM-TYA-G100-YC,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,14,0,"22.26000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Yellow","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Yellow Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TGA-G100-Gx.JPG,Z5665-ND,A22NW-2RL-TGA-G100-GC,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,7,0,"22.26000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
https://www.carlingtech.com/sites/default/files/documents/V-Series-Rotary_Details_%26_COS.pdf,//media.digikey.com/Photos/Carling%20Technologies%20Photos/MFG_V-Series.JPG,432-1327-ND,RV21D2BC00B-K4C,Carling Technologies,SWITCH SELECT 2POS DPST 20A 12V,22,0,"26.29000","0","1","V-Series Contura","Active","Standard","DPST","2","On-Off","20A (DC)","-","12V","Illuminated","LED, Red","12 VDC","Panel Mount, Snap-In","Quick Connect - 0.250"" (6.3mm)","Rectangular - 36.83mm x 21.08mm","IP67 - Dust Tight, Waterproof","Bezel - Rectangular","-"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NW-2RL-TGA-G100-Gx.JPG,Z6194-ND,A22NW-2RL-TGA-G100-GD,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,26,0,"26.88000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Green","100 ~ 120 VAC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Green Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-3RM-TRA-G102-RC.jpg,Z6204-ND,A22NW-3RM-TRA-G102-RC,Omron Automation and Safety,SWITCH SELECT 3POS DPST 10A 120V,23,0,"27.88000","0","1","A22NW","Active","Standard","DPST-NO/NC","3","On-Off-Off, On-On-Off","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Red","24 VAC/DC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Red Knob","-25°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A165S-J2M-1.JPG,Z1375-ND,A165S-J2M-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,18,0,"39.69000","0","1","A165S","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Rectangular","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165S-J3M-2.jpg,Z1377-ND,A165S-J3M-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,11,0,"43.00000","0","1","A165S","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Non-Illuminated","-","-","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Rectangular","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T2MR-24D-1.jpg,Z1394-ND,A165W-T2MR-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,7,0,"48.51000","0","1","A165W","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Red","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T3MG-24D-2.jpg,Z6397-ND,A165W-T2MG-24D-2,Omron Automation and Safety,SWITCH SELECT 2POS DPDT 5A 125V,58,0,"51.82000","0","1","A165W","Active","Standard","DPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Green","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T2MY-24D-1.jpg,Z1395-ND,A165W-T2MY-24D-1,Omron Automation and Safety,SWITCH SELECT 2POS SPDT 5A 125V,13,0,"51.82000","0","1","A165W","Active","Standard","SPDT","2","On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Yellow","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
https://assets.omron.com/m/2b22af8565a287d3/original/A165S-W_Datasheet-pdf.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A165W-T3MG-24D-2.jpg,Z1396-ND,A165W-T3MG-24D-2,Omron Automation and Safety,SWITCH SELECT 3POS DPDT 5A 125V,11,0,"51.82000","0","1","A165W","Active","Standard","DPDT","3","On-On-On","5A (AC), 3A (DC)","125V","30V","Illuminated","LED, Green","24 VDC","Panel Mount","Solder, Quick Connect - 0.110"" (2.8mm)","Circular - 16.00mm Dia","IP65 - Dust Tight, Oil and Water Resistant","Bezel - Round","-10°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/Photos/Omron%20Auto/A22NW-2Rx-TYA-G100-Yx.jpg,Z6197-ND,A22NW-2RL-TYA-G100-YD,Omron Automation and Safety,SWITCH SELECT 2POS SPST-NO 10A,29,0,"26.88000","0","1","A22NW","Active","Standard","SPST-NO","2","Off-Mom","10A (AC), 8A (DC)","120V","24V","Illuminated","LED, Yellow","100 ~ 120 VAC","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Yellow Knob","-25°C ~ 55°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,//media.digikey.com/photos/Omron%20Auto/A22NS-3BM-NBA-G101-NN.jpg,Z11150-ND,A22NS-3BM-NBA-G101-NN,Omron Automation and Safety,SWITCH SELECT 3POS DPST-NO 10A,38,0,"18.07000","0","1","A22NS","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a22n_m22n_a30n_a254-e1_4_5_csm1045427.pdf,-,Z11402-ND,A22NS-2BM-NBA-G111-NN,Omron Automation and Safety,SWITCH SELECT 2POS 3PST-NO 10A,25,0,"20.61000","0","1","A22NS","Active","Standard","3PST-NO","2","Off-On","10A (AC), 8A (DC)","120V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP66 - Dust Tight, Water Resistant","Bezel - Round, Black Knob","-25°C ~ 70°C"
http://us.idec.com/Common/Download.aspx?d=193354,//media.digikey.com/photos/IDEC/HW1S-2T.JPG,1885-1392-ND,HW1S-2TF20,IDEC,22MM SELECTOR SWITCH,88,0,"20.76000","0","1","HW","Active","Standard","DPST-NO","2","Off-On","10A (AC), 8A (DC)","110V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65 - Dust Tight, Water Resistant","-","-25°C ~ 50°C"
http://us.idec.com/Common/Download.aspx?d=193354,//media.digikey.com/Photos/IDEC/MFG_HW1S.jpg,1885-1081-ND,HW1S-3TF20,IDEC,22MM SELECTOR SWITCH,78,0,"20.76000","0","1","HW","Active","Standard","DPST-NO","3","On-Off-Off, Off-Off-On","10A (AC), 8A (DC)","110V","24V","Non-Illuminated","-","-","Panel Mount","Screw Terminal","Circular - 22.30mm Dia","IP65 - Dust Tight, Water Resistant","-","-25°C ~ 50°C"
