Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB1313-ND,SR6B6K24,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 24V,789,0,"25.04000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","24VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB1312-ND,SR6A6K24,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 24V,250,0,"25.70000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","24VDC","6PST-3NO/3NC (3 Form A, 3 Form B)","8A","400VAC - Max","-","PC Pin","18 VDC","2.4 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www3.panasonic.biz/ac/e_download/control/relay/safety/catalog/mech_eng_sfw.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SF2D-%20SERIES.jpg,255-1745-ND,SF2D-DC12V,Panasonic Electric Works,RELAY SAFETY 4PST 6A 12V,981,0,"33.32000","0","1","Bulk","SF2D","Active","Through Hole","12VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","440VAC, 30VDC - Max","-","PC Pin","9 VDC","1.2 VDC","17ms","7ms","-40°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www3.panasonic.biz/ac/e_download/control/relay/safety/catalog/mech_eng_sfw.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SF2D-%20SERIES.jpg,255-1746-ND,SF2D-DC24V,Panasonic Electric Works,RELAY SAFETY 4PST 6A 24V,290,0,"33.32000","0","1","Bulk","SF2D","Active","Through Hole","24VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","440VAC, 30VDC - Max","-","PC Pin","14.4 VDC","2.4 VDC","17ms","7ms","-40°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://industrial.omron.us/en/media/G7SA_P7SA_Datasheet_en_201701_J73I-E-02_rev10_9_tcm849-113555.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/G7SA-2A2B-DC24.JPG,Z3290-ND,G7SA-2A2B-DC24,Omron Automation and Safety,RELAY SAFETY 4PST 6A 24V,2598,0,"42.77000","0","1","Bulk","G7SA","Active","Socketable","24VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","250VAC, 125VDC - Max","Sealed - Flux Protection","Plug In","18 VDC","2.4 VDC","20ms","10ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)"
https://industrial.omron.us/en/media/G7SA_P7SA_Datasheet_en_201701_J73I-E-02_rev10_9_tcm849-113555.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G7SA-3A1B-DC24.JPG,Z2943-ND,G7SA-3A1B-DC24,Omron Automation and Safety,RELAY SAFETY 4PST 6A 24V,582,6108,"44.35000","0","1","Bulk","G7SA","Active","Socketable","24VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","6A","250VAC, 125VDC - Max","Sealed - Flux Protection","Plug In","18 VDC","2.4 VDC","20ms","10ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)"
http://www.altechcorp.com/PDFS/RELACAT.PDF,//media.digikey.com/photos/Altech-Corporation/56.OA01.2431C.JPG,1920-1103-ND,56.OA01.2431C,Altech Corporation,RELAY SAFETY 4PST 10A 24V,271,60,"50.92000","0","1","Bulk","OA","Active","Through Hole","24VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","10A","400VAC, 250VDC - Max","-","PC Pin","16.8 VDC","-","27ms","5ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO), Gold (Au)"
https://industrial.omron.us/en/media/G7SA_P7SA_Datasheet_en_201701_J73I-E-02_rev10_9_tcm849-113555.pdf,//media.digikey.com/photos/Omron%20Auto/G7SA-3A3B-DC24.JPG,Z2625-ND,G7SA-3A3B-DC24,Omron Automation and Safety,RELAY SAFETY 6PST 6A 24V,249,2328,"52.27000","0","1","Bulk","G7SA","Active","Socketable","24VDC","6PST-3NO/3NC (3 Form A, 3 Form B)","6A","250VAC, 125VDC - Max","Sealed - Flux Protection","Plug In","18 VDC","2.4 VDC","20ms","10ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)"
https://industrial.omron.us/en/media/G7SA_P7SA_Datasheet_en_201701_J73I-E-02_rev10_9_tcm849-113555.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G7SA-4A2B%20DC24.JPG,Z2626-ND,G7SA-4A2B DC24,Omron Automation and Safety,RELAY SAFETY 6PST 6A 24V,231,1199,"52.67000","0","1","Bulk","G7SA","Active","Socketable","24VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","6A","250VAC, 125VDC - Max","Sealed - Flux Protection","Plug In","18 VDC","2.4 VDC","20ms","10ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)"
https://industrial.omron.us/en/media/G7SA_P7SA_Datasheet_en_201701_J73I-E-02_rev10_9_tcm849-113555.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G7SA-5A1B-DC24.JPG,Z2944-ND,G7SA-5A1B-DC24,Omron Automation and Safety,RELAY SAFETY 6PST 6A 24V,119,628,"52.67000","0","1","Bulk","G7SA","Active","Socketable","24VDC","6PST-5NO/1NC (5 Form A, 1 Form B)","6A","250VAC, 125VDC - Max","Sealed - Flux Protection","Plug In","18 VDC","2.4 VDC","20ms","10ms","-40°C ~ 85°C","Silver (Ag), Gold (Au)"
-,//media.digikey.com/photos/Phoenix%20Photos/2963763.JPG,277-2945-ND,2963763,Phoenix Contact,RELAY SAFETY DPST 6A 24V,85,366,"164.00000","0","1","Bulk","-","Active","DIN Rail","24VAC/DC","DPST-NO (2 Form A)","6A","250VAC, 250VDC - Max","-","Screw Terminal","-","-","100ms","45ms","-20°C ~ 55°C","Silver Tin Oxide (AgSnO), Gold (Au)"
-,//media.digikey.com/Photos/Phoenix%20Photos/2963776.JPG,277-2976-ND,2963776,Phoenix Contact,RELAY SAFETY 3PST 6A 24V,38,31,"164.00000","0","1","Bulk","-","Active","DIN Rail","24VAC/DC","3PST-NO (3 Form A)","6A","250VAC, 250VDC - Max","-","Screw Terminal","-","-","20ms","45ms","-20°C ~ 55°C","Silver Tin Oxide (AgSnO), Gold (Au)"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/PSR-MC40_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700569.jpg,277-11736-ND,2700569,Phoenix Contact,RELAY SAFETY 3PST 6A 24V,26,154,"185.00000","0","1","Bulk","PSR","Active","DIN Rail","24VDC","3PST-NO (3 Form A)","6A","250VAC, 250VDC - Max","Lighted Indicator","Screw Terminal","-","-","250ms","20ms","-40°C ~ 55°C","Silver Tin Oxide (AgSnO)"
https://www.fa.omron.com.cn/upload/doc/product/SR103AM.pdf,//media.digikey.com/photos/Omron%20Auto/44510-1031.JPG,Z3895-ND,SR103AM01,Omron Automation and Safety,RELAY SAFETY 3PST 3A 24V,122,0,"259.78000","0","1","Bulk","SR103AM","Active","DIN Rail","24VAC/DC","3PST-NO (3 Form A)","3A","230VAC, 24VDC - Max","Lighted Indicator","Screw Terminal","-","-","-","-","-15°C ~ 40°C","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB1294-ND,V23047-A1036-A501,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPDT 6A 36V,234,0,"11.25000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","36VDC","DPDT (2 Form C)","6A","400VAC - Max","Sealed - Fully","PC Pin","27 VDC","3.6 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-3097-ND,SFS4-DC24V,Panasonic Electric Works,RELAY SAFETY 6PST 6A 24V,127,0,"20.34000","0","1","Bulk","SFS","Active","Through Hole","24VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","-","PC Pin","18 VDC","2.4 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-5352-ND,SFS3-DC12V,Panasonic Electric Works,RELAY SAFETY 4PST 6A 12V,1535,0,"20.99000","0","1","Tube","SFS","Active","Through Hole","12VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","6A","250VAC, 30VDC - Max","-","PC Pin","9 VDC","1.2 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
http://www.altechcorp.com/PDFS/RELACAT.PDF,-,1920-1107-ND,56.OW69.2400N,Altech Corporation,RELAY SAFETY DPDT 8A 24V,191,2330,"21.34000","0","1","Bulk","OW","Active","Through Hole","24VDC","DPDT (2 Form C)","8A","400VAC, 250VDC - Max","Sealed - Fully","PC Pin","19.2 VDC","-","15ms","12ms","-40°C ~ 70°C","Silver Nickel (AgNi), Gold (Au)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,PB1311-ND,V23050-A1110-A551,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 110V,459,0,"21.39000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","110VDC","6PST-5NO/1NC (5 Form A, 1 Form B)","8A","400VAC - Max","-","PC Pin","82.5 VDC","11 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB998-ND,SR4D4005,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 5V,814,0,"22.52000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","5VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","3.8 VDC","0.5 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www3.panasonic.biz/ac/e_download/control/relay/safety/catalog/mech_eng_sfw.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SF4D-%20SERIES.jpg,255-1441-ND,SF4D-DC24V,Panasonic Electric Works,RELAY SAFETY 8PST 6A 24V,121,0,"43.60000","0","1","Bulk","SF4D","Active","Through Hole","24VDC","8PST-4NO/4NC (4 Form A, 4 Form B)","6A","440VAC, 30VDC - Max","-","PC Pin","14.4 VDC","3.6 VDC","18ms","7ms","-40°C ~ 70°C","Silver Tin Oxide (AgSnO)"
http://www.ia.omron.com/data_pdf/cat/g9sa_ds_e_11_6_csm1281.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/G9SA301ACDC24.JPG,Z6051-ND,G9SA-301 AC/DC24,Omron Automation and Safety,RELAY SAFETY 3P 24V,43,204,"261.36000","0","1","Bulk","G9SA","Active","DIN Rail","24VAC/DC","3PST-NO (3 Form A)","5A","250VAC, 30VDC - Max","-","Screw Terminal","-","-","30ms","10ms","-25°C ~ 55°C","-"
https://industrial.omron.us/en/media/G9SE_Safety_Relay_Bro_EN_201506_J77IE02_tcm849-111072.pdf,//media.digikey.com/Photos/Omron%20Auto/G9SE-221-T05.jpg,Z8381-ND,G9SE-221-T05,Omron Automation and Safety,SAFETY UNIT 2+2+1 INST+TD O/P,40,33,"356.40000","0","1","Bulk","G9SE","Active","DIN Rail","24VDC","DPST-NO (2 Form A)","5A","250VAC, 30VDC - Max","-","Screw Terminal","-","-","100ms","15ms","-10°C ~ 55°C","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB1291-ND,V23047-A1018-A501,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPDT 6A 18V,480,0,"14.05000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","18VDC","DPDT (2 Form C)","6A","400VAC - Max","Sealed - Fully","PC Pin","13.5 VDC","1.8 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-3096-ND,SFS4-DC12V,Panasonic Electric Works,RELAY SAFETY 6PST 6A 12V,610,0,"20.34000","0","1","Bulk","SFS","Active","Through Hole","12VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","-","PC Pin","9 VDC","1.2 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-3095-ND,SFS2-DC24V,Panasonic Electric Works,RELAY SAFETY 4PST 6A 24V,157,0,"20.99000","0","1","Bulk","SFS","Active","Through Hole","24VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","-","PC Pin","18 VDC","2.4 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-5348-ND,SFS2-L-DC12V-D,Panasonic Electric Works,RELAY SAFETY 4PST 6A 12V,996,0,"21.28000","0","1","Bulk","SFS","Active","Through Hole","12VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","Diode, Lighted Indicator","PC Pin","9 VDC","1.2 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB999-ND,SR4D4012,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 12V,1940,0,"22.52000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","12VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","9 VDC","1.2 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB1299-ND,SR4D4048,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 48V,348,0,"22.80000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","48VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","36 VDC","4.8 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://industrial.panasonic.com/ac/cdn/e/control/relay/safety/catalog/mech_eng_sf.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/SFS2-DC24V.jpg,255-5358-ND,SFS4-L-DC24V-D,Panasonic Electric Works,RELAY SAFETY 6PST 6A 24V,275,0,"23.14000","0","1","Bulk","SFS","Active","Through Hole","24VDC","6PST-4NO/2NC (4 Form A, 2 Form B)","6A","250VAC, 30VDC - Max","Diode, Lighted Indicator","PC Pin","18 VDC","2.4 VDC","20ms","20ms","-40°C ~ 85°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR6&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23050-A1110-A533.JPG,V23050A1021A533-ND,V23050-A1021-A533,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 6PST 8A 21V,500,0,"24.50000","0","1","Tube","SR6, SCHRACK","Active","Through Hole","21VDC","6PST-3NO/3NC (3 Form A, 3 Form B)","8A","400VAC - Max","-","PC Pin","15.8 VDC","2.1 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB1308-ND,SR4M4110,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 110V,706,0,"24.52000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","110VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","8A","400VAC - Max","-","PC Pin","83 VDC","11 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www3.panasonic.biz/ac/e_download/control/relay/safety/catalog/mech_eng_sfw.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SF4D-%20SERIES.jpg,255-1440-ND,SF4D-DC12V,Panasonic Electric Works,RELAY SAFETY 8PST 6A 12V,173,0,"43.60000","0","1","Tube","SF4D","Active","Through Hole","12VDC","8PST-4NO/4NC (4 Form A, 4 Form B)","6A","440VAC, 30VDC - Max","-","PC Pin","9 VDC","1.8 VDC","18ms","7ms","-40°C ~ 70°C","Silver Tin Oxide (AgSnO)"
-,//media.digikey.com/Photos/Omron%20Auto/44510-1271.jpg,Z3899-ND,SR125SMS4501,Omron Automation and Safety,REL SAFETY DPST-NO/NC 1.5A 24V,31,0,"587.66000","0","1","Bulk","SR125SMS45","Active","DIN Rail","24VDC","DPST-NO/NC (1 Form A, 1 Form B)","1.5A","24VDC - Max","Lighted Indicator","Screw Terminal","-","-","-","-","-10°C ~ 55°C","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB1292-ND,V23047A1021A501,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPDT 6A 21V,475,0,"9.54000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","21VDC","DPDT (2 Form C)","6A","400VAC - Max","Sealed - Fully","PC Pin","15.8 VDC","2.1 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR2M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/V23047-A1110-A501.JPG,PB1293-ND,V23047-A1021-A511,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY DPST 6A 21V,107,0,"10.92000","0","1","Tube","SR2M, SCHRACK","Active","Through Hole","21VDC","DPST-NO/NC (1 Form A, 1 Form B)","6A","400VAC - Max","Sealed - Fully","PC Pin","15.8 VDC","2.1 VDC","-","-","-25°C ~ 70°C","Silver Nickel (AgNi)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB1303-ND,SR4M4006,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 6V,249,0,"22.86000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","6VDC","4PST-3NO/1NC (3 Form A, 1 Form B)","8A","400VAC - Max","-","PC Pin","4.5 VDC","0.6 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SR4_D/M&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SR4%20SERIES.JPG,PB1300-ND,SR4D4060,TE Connectivity Potter & Brumfield Relays,RELAY SAFETY 4PST 8A 60V,113,0,"22.86000","0","1","Tube","SR4, SCHRACK","Active","Through Hole","60VDC","4PST-2NO/2NC (2 Form A, 2 Form B)","8A","400VAC - Max","-","PC Pin","45 VDC","6 VDC","-","-","-25°C ~ 70°C","Silver Tin Oxide (AgSnO)"
