Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Style","Voltage - Input","Current - Input","Voltage - Output","Current - Output","Turn On Time","Turn Off Time","Features"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,"//media.digikey.com/photos/Grayhill%20Photos/70G-ODC15,%2070G-ODC5.jpg",GH3040-ND,70G-ODC5,Grayhill Inc.,DC OUTPUT MODULE 3.5A,441,207,"18.45000","0","1","70","Active","DC Output Module","Red","G5","5VDC","13mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw, Fused, Status LED(s)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_OAC&DocType=DS&DocLang=English,-,PB539-ND,OAC-5,TE Connectivity Potter & Brumfield Relays,AC OUTPUT MODULE 3A,372,0,"19.76000","0","1","OAC","Active","AC Output Module","Black","Standard","5VDC","20mA","24 ~ 280VAC","3A","8.33ms","8.33ms","Hold Down Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_ODC&DocType=DS&DocLang=English,-,PB541-ND,ODC-5,TE Connectivity Potter & Brumfield Relays,DC OUTPUT MODULE 3A,497,0,"22.44000","0","1","ODC","Active","DC Output Module","Red","Standard","5VDC","18mA","3 ~ 60VDC","3A","0.10ms","0.75ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/Dry_Contact.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70DC-RED-MINI.JPG,GH7441-ND,70G-ODC5R,Grayhill Inc.,DC OUTPUT MODULE 500MA,124,0,"29.39000","0","1","70","Active","DC Output Module","Red","G5","5VDC","10mA","0 ~ 120VAC, 0 ~ 100VDC","500mA","1ms","1ms","Hold Down Screw, Fused, Status LED(s)"
http://www.crydom.com/en/products/catalog/sm_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_SM-ODC15.jpg,CC1633-ND,SM-ODC5,Sensata-Crydom,DC OUTPUT MODULE 3A,138,0,"30.28000","0","1","SM","Active","DC Output Module","Red","Mini","5VDC","18mA","3 ~ 60VDC","3A","0.10ms","0.75ms","-"
"//media.digikey.com/pdf/Data%20Sheets/Crydom%20PDFs/ODC,%20(S)MODC,%20X4ODC%20Series.pdf",//media.digikey.com/Photos/Crydom%20Photos/MFG_ODC24.jpg,CC1205-ND,ODC5,Sensata-Crydom,DC OUTPUT MODULE 3A,132,0,"30.28000","0","1","ODC","Active","DC Output Module","Red","Standard","5VDC","18mA","3 ~ 60VDC","3A","0.10ms","0.75ms","Hold Down Screw"
https://industrial.omron.us/en/media/G3R_I-O_Datasheet_J25I-E-01_tcm849-113244.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/SOLID%20STATE%20RELAY%20FIG5%20TO61-1483.jpg,Z1192-ND,G3R-OA202SZN DC5-24,Omron Automation and Safety,AC OUTPUT MODULE 2A,113,491,"32.32000","0","1","G3R-I/O","Active","AC Output Module","Black","QC","5 ~ 24VDC","15mA","75 ~ 264VAC","2A","1/2 Cycle + 1ms","1/2 Cycle + 1ms","Status LED(s)"
https://industrial.omron.us/en/media/G3R_I-O_Datasheet_J25I-E-01_tcm849-113244.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/SOLID%20STATE%20RELAY%20FIG5%20TO61-1483.jpg,Z1193-ND,G3R-ODX02SN DC5-24,Omron Automation and Safety,DC OUTPUT MODULE 2A,124,734,"34.03000","0","1","G3R-I/O","Active","DC Output Module","Black","QC","5 ~ 24VDC","8mA","4 ~ 60VDC","2A","1ms","2ms","Status LED(s)"
http://www.crydom.com/en/products/catalog/g_ms_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_84130105.jpg,646-1068-ND,84130105,Sensata-Crydom,AC OUTPUT MODULE 5A,206,0,"63.52000","0","1","17.5MM","Active","AC Output Module","Black","DIN Rail Mount","4 ~ 32VDC","22mA","12 ~ 280VAC","5A","8.33ms","8.33ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/photos/Grayhill%20Photos/70M-ODC5B.JPG,GH7421-ND,70M-ODC5B,Grayhill Inc.,DC OUTPUT MODULE 3A,366,200,"14.42000","0","1","70","Active","DC Output Module","Red","Mini","5VDC","14mA","3 ~ 60VDC","3A","0.075ms","0.50ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70-IAC5.jpg,GH7020-ND,70-IAC5,Grayhill Inc.,AC INPUT MODULE 120V,103,0,"15.14000","0","1","70","Active","AC Input Module","Yellow","Standard","120VAC","8mA","5VDC","10mA","20ms","20ms","Hold Down Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_IACM&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/IACM-5.JPG,PB1778-ND,IACM-5,TE Connectivity Potter & Brumfield Relays,AC INPUT MODULE 120V,655,0,"20.18000","0","1","IACM","Active","AC Input Module","Yellow","Mini","120VAC","6mA","5VDC","18mA","20ms","30ms","-"
-,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/IAC-5.jpg,PB537-ND,IAC-5,TE Connectivity Potter & Brumfield Relays,AC INPUT MODULE 120V,386,0,"20.18000","0","1","IAC","Active","AC Input Module","Yellow","Standard","120VAC","6mA","5VDC","18mA","20ms","30ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/Dry_Contact.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-DRY-STANDARD.JPG,GH7414-ND,70-ODC5R,Grayhill Inc.,DC OUTPUT MODULE 500MA,135,0,"25.13000","0","1","70","Active","DC Output Module","Red","Standard","5VDC","10mA","0 ~ 120VAC, 0 ~ 100VDC","500mA","1ms","1ms","Hold Down Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_OAC&DocType=DS&DocLang=English,-,PB701-ND,OAC-5H,TE Connectivity Potter & Brumfield Relays,AC OUTPUT MODULE 5A,478,0,"26.32000","0","1","OAC","Active","AC Output Module","Black","Standard","5VDC","20mA","24 ~ 280VAC","5A","8.33ms","8.33ms","Hold Down Screw"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_OACM&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/OACM-5,%20OACM-5H.jpg",PB705-ND,OACM-5H,TE Connectivity Potter & Brumfield Relays,AC OUTPUT MODULE 5A,410,0,"26.32000","0","1","OACM","Active","AC Output Module","Black","Mini","5VDC","20mA","24 ~ 280VAC","5A","8.33ms","8.33ms","-"
http://www.crydom.com/en/products/catalog/standard_output.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_OAC24.jpg,CC1204-ND,OAC5A,Sensata-Crydom,AC OUTPUT MODULE 3.5A,122,0,"31.35000","0","1","OAC","Active","AC Output Module","Black","Standard","5VDC","20mA","24 ~ 280VAC","3.5A","8.33ms","8.33ms","Hold Down Screw"
http://www.crydom.com/en/products/catalog/m_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_M-OAC24.jpg,CC1225-ND,M-OAC5A,Sensata-Crydom,AC OUTPUT MODULE 3.5A,118,0,"31.35000","0","1","M","Active","AC Output Module","Black","Mini","5VDC","20mA","24 ~ 280VAC","3.5A","8.33ms","8.33ms","-"
http://www.crydom.com/en/products/catalog/m_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_M-IDC24.jpg,CC2362-ND,M-IDC5N,Sensata-Crydom,DC INPUT MODULE 10-48V,155,0,"37.75000","0","1","M","Active","DC Input Module","White","Mini","10 ~ 48VDC","34mA","5VDC","16mA","8ms","7ms","-"
http://www.crydom.com/en/products/catalog/c4_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_C4OAC.jpg,646-1051-ND,C4OACA,Sensata-Crydom,AC OUTPUT MODULE 3A,263,0,"38.88000","0","1","C4","Active","AC Output Module","Black","C4","4 ~ 32VDC","22mA","12 ~ 280VAC","3A","8.33ms","8.33ms","Hold Down Screw, Fused, Status LED(s)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_OACM&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/OACM-5,%20OACM-5H.jpg",PB1989-ND,OACM-U,TE Connectivity Potter & Brumfield Relays,AC OUTPUT MODULE 3A,166,0,"20.94000","0","1","OACM","Active","AC Output Module","Black","Mini","15VDC","44mA","24 ~ 280VAC","3A","8.33ms","8.33ms","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_ODC&DocType=DS&DocLang=English,-,PB1856-ND,ODC-24A,TE Connectivity Potter & Brumfield Relays,DC OUTPUT MODULE 1A,400,0,"22.44000","0","1","ODC","Active","DC Output Module","Red","Standard","24VDC","13mA","3 ~ 250VDC","1A","0.10ms","0.75ms","Hold Down Screw"
http://www.crydom.com/en/products/catalog/dr_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DR-ODC24.jpg,646-1066-ND,DR-ODC5,Sensata-Crydom,DC OUTPUT MODULE 3A,60,0,"56.17000","0","1","DR","Active","DC Output Module","Red","DIN Rail Mount","5VDC","18mA","3 ~ 60VDC","3A","0.10ms","0.75ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70G-IDC5.jpg,GH3043-ND,70G-IDC5,Grayhill Inc.,DC INPUT MODULE 3-32V,46,169,"16.91000","0","1","70","Active","DC Input Module","White","G5","3 ~ 32VDC","18mA","5VDC","10mA","0.20ms","0.40ms","Hold Down Screw, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-BLACK-STANDARD.JPG,GH7413-ND,70-OAC5A,Grayhill Inc.,AC OUTPUT MODULE 3.5A,75,413,"17.31000","0","1","70","Active","AC Output Module","Black","Standard","5VDC","16mA","24 ~ 280VAC","3.5A","8.33ms","8.33ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70G-ODC24x.JPG,GH7428-ND,70G-ODC24,Grayhill Inc.,DC OUTPUT MODULE 3.5A,51,48,"18.45000","0","1","70","Active","DC Output Module","Red","G5","24VDC","9mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw, Fused, Status LED(s)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_OAC&DocType=DS&DocLang=English,-,PB698-ND,OAC-5A,TE Connectivity Potter & Brumfield Relays,AC OUTPUT MODULE 3A,95,0,"19.76000","0","1","OAC","Active","AC Output Module","Black","Standard","5VDC","20mA","24 ~ 280VAC","3A","8.33ms","8.33ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/Dry_Contact.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-DRY-MINI.JPG,GH7422-ND,70M-ODC5R,Grayhill Inc.,DC OUTPUT MODULE 500MA,59,157,"24.20000","0","1","70","Active","DC Output Module","Red","Mini","5VDC","10mA","0 ~ 120VAC, 0 ~ 100VDC","500mA","1ms","1ms","-"
http://www.grayhill.com/assets/1/7/Dry_Contact.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70G-OAC5RLY.JPG,GH7703-ND,70G-OAC5RLY,Grayhill Inc.,AC OUTPUT MODULE 3A,15,0,"45.91000","0","1","70","Active","AC Output Module","Black","G5","5VDC","26mA","0 ~ 250VAC, 0 ~ 110VDC","3A","11ms","11ms","Hold Down Screw, Fused, Status LED(s)"
http://www.crydom.com/en/products/catalog/dr_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DR-ODC24.jpg,CC1907-ND,DRODC24,Sensata-Crydom,DC OUTPUT MODULE 3A,22,0,"61.92000","0","1","DR","Active","DC Output Module","Red","DIN Rail Mount","24VDC","13mA","3 ~ 60VDC","3A","0.10ms","0.75ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/photos/Grayhill%20Photos/70M-ODC24.JPG,GH7436-ND,70M-ODC24,Grayhill Inc.,DC OUTPUT MODULE 3A,34,0,"14.44000","0","1","70","Active","DC Output Module","Red","Mini","24VDC","9mA","3 ~ 60VDC","3A","0.02ms","0.05ms","-"
http://www.omron.com.vn/data_pdf/cat/g7t_ds_e_4_4_csm51.pdf,//media.digikey.com/Photos/Omron%20Auto/G7T-1012S-DC24.jpg,Z6337-ND,G7T-1012S DC24,Omron Automation and Safety,DC OUTPUT MODULE 5A,55,283,"14.83000","0","1","G7T","Active","DC Output Module","-","-","24VDC","21mA","24VDC","5A","15ms","15ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-RED-STANDARD.JPG,GH7415-ND,70-ODC15,Grayhill Inc.,DC OUTPUT MODULE 3.5A,44,46,"15.12000","0","1","70","Active","DC Output Module","Red","Standard","15VDC","9mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-RED-STANDARD.JPG,GH7416-ND,70-ODC24,Grayhill Inc.,DC OUTPUT MODULE 3.5A,31,0,"15.12000","0","1","70","Active","DC Output Module","Red","Standard","24VDC","9mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw"
http://www.omron.com.vn/data_pdf/cat/g7t_ds_e_4_4_csm51.pdf,//media.digikey.com/Photos/Omron%20Auto/G7T-1112S-DC24V.JPG,Z5604-ND,G7T-1112S-DC24V,Omron Automation and Safety,DC OUTPUT MODULE 5A,74,138,"15.49000","0","1","G7T","Active","DC Output Module","-","-","24VDC","21mA","24VDC","5A","15ms","15ms","-"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70g-iac5a.JPG,GH7429-ND,70G-IAC5A,Grayhill Inc.,AC INPUT MODULE 240V,31,60,"17.05000","0","1","70","Active","AC Input Module","Yellow","G5","240VAC","6mA","5VDC","10mA","20ms","20ms","Hold Down Screw, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70G-IAC24.JPG,GH7442-ND,70G-IAC24,Grayhill Inc.,AC INPUT MODULE 120V,80,39,"17.08000","0","1","70","Active","AC Input Module","Yellow","G5","120VAC","8mA","24VDC","10mA","20ms","20ms","Hold Down Screw, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Input.pdf,//media.digikey.com/photos/Grayhill%20Photos/70G-IAC5.jpg,GH3042-ND,70G-IAC5,Grayhill Inc.,AC INPUT MODULE 120V,74,771,"17.08000","0","1","70","Active","AC Input Module","Yellow","G5","120VAC","8mA","5VDC","10mA","20ms","20ms","Hold Down Screw, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,"//media.digikey.com/photos/Grayhill%20Photos/70G-ODC15,%2070G-ODC5.jpg",GH3041-ND,70G-ODC15,Grayhill Inc.,DC OUTPUT MODULE 3.5A,38,3,"18.45000","0","1","70","Active","DC Output Module","Red","G5","15VDC","9mA","3 ~ 60VDC","3.5A","0.02ms","0.05ms","Hold Down Screw, Fused, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,"//media.digikey.com/photos/Grayhill%20Photos/70G-OAC5,%2070G-OAC5A,%2070G-OAC15.jpg",GH7440-ND,70G-OAC24,Grayhill Inc.,AC OUTPUT MODULE 3.5A,90,0,"18.99000","0","1","70","Active","AC Output Module","Black","G5","24VDC","8mA","24 ~ 140VAC","3.5A","8.33ms","8.33ms","Hold Down Screw, Fused, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,"//media.digikey.com/photos/Grayhill%20Photos/70G-OAC5,%2070G-OAC5A,%2070G-OAC15.jpg",GH3037-ND,70G-OAC5,Grayhill Inc.,AC OUTPUT MODULE 3.5A,42,822,"18.99000","0","1","70","Active","AC Output Module","Black","G5","5VDC","20mA","24 ~ 140VAC","3.5A","8.33ms","8.33ms","Hold Down Screw, Fused, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_AC_Output.pdf,"//media.digikey.com/photos/Grayhill%20Photos/70G-OAC5,%2070G-OAC5A,%2070G-OAC15.jpg",GH3038-ND,70G-OAC5A,Grayhill Inc.,AC OUTPUT MODULE 3.5A,94,418,"20.77000","0","1","70","Active","AC Output Module","Black","G5","5VDC","20mA","24 ~ 280VAC","3.5A","8.33ms","8.33ms","Hold Down Screw, Fused, Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70-RED-STANDARD.JPG,GH7710-ND,70-ODC5A,Grayhill Inc.,DC OUTPUT MODULE 3.5A,57,20,"22.10000","0","1","70","Active","DC Output Module","Red","Standard","5VDC","18mA","4 ~ 200VDC","3.5A","0.075ms","0.75ms","Hold Down Screw"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/photos/Grayhill%20Photos/70G-ODC5A.JPG,GH7426-ND,70G-ODC5A,Grayhill Inc.,DC OUTPUT MODULE 3.5A,32,106,"25.15000","0","1","70","Active","DC Output Module","Red","G5","5VDC","13mA","4 ~ 200VDC","3.5A","0.075ms","0.75ms","Hold Down Screw, Fused, Status LED(s)"
https://industrial.omron.us/en/media/G3R_I-O_Datasheet_J25I-E-01_tcm849-113244.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/SOLID%20STATE%20RELAY%20FIG5%20TO61-1483.jpg,Z1190-ND,G3R-IDZR1SN DC5,Omron Automation and Safety,DC INPUT MODULE 5V,12,0,"28.93000","0","1","G3R-I/O","Active","DC Input Module","Black","QC","5VDC","8mA","4 ~ 32VDC","100mA","0.10ms","0.10ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Input.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70L-IDC.JPG,GH3062-ND,70L-IDC,Grayhill Inc.,DC INPUT MODULE 0-32V,10,28,"29.80000","0","1","70","Active","DC Input Module","Gray","OpenLine®","0 ~ 32VDC","18mA","5VDC","6mA","0.20ms","0.40ms","2 Channel, Status LED(s)"
http://www.crydom.com/en/products/catalog/standard_output.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_OAC24.jpg,CC1203-ND,OAC5,Sensata-Crydom,AC OUTPUT MODULE 3.5A,47,0,"30.28000","0","1","OAC","Active","AC Output Module","Black","Standard","5VDC","20mA","12 ~ 140VAC","3.5A","8.33ms","8.33ms","Hold Down Screw"
http://www.crydom.com/en/products/catalog/sm_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_SM-IDC24.jpg,CC1629-ND,SM-IDC5,Sensata-Crydom,DC INPUT MODULE 24V,45,0,"30.28000","0","1","SM","Active","DC Input Module","White","Mini","24VDC","34mA","5VDC","16mA","1ms","1ms","-"
http://www.crydom.com/en/products/catalog/m_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_M-ODC15.jpg,CC1226-ND,M-ODC5,Sensata-Crydom,DC OUTPUT MODULE 3A,36,0,"30.28000","0","1","M","Active","DC Output Module","Red","Mini","5VDC","18mA","3 ~ 60VDC","3A","0.10ms","0.75ms","-"
http://www.crydom.com/en/products/catalog/m_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_M-IAC24.jpg,CC1222-ND,M-IAC5,Sensata-Crydom,AC INPUT MODULE 120V,29,0,"30.28000","0","1","M","Active","AC Input Module","Yellow","Mini","120VAC","6mA","5VDC","16mA","20ms","20ms","-"
http://www.crydom.com/en/products/catalog/sm_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_SM-IAC15.jpg,CC1628-ND,SM-IAC5,Sensata-Crydom,AC INPUT MODULE 120V,25,0,"30.28000","0","1","SM","Active","AC Input Module","Yellow","Mini","120VAC","6mA","5VDC","16mA","20ms","20ms","-"
http://www.crydom.com/en/products/catalog/standard_input.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_IDC24.jpg,CC1202-ND,IDC5,Sensata-Crydom,DC INPUT MODULE 24V,17,0,"30.28000","0","1","IDC","Active","DC Input Module","White","Standard","24VDC","34mA","5VDC","16mA","1ms","1ms","Hold Down Screw"
http://www.crydom.com/en/products/catalog/sm_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_SM-OAC15.jpg,CC1632-ND,SM-OAC5A,Sensata-Crydom,AC OUTPUT MODULE 3.5A,23,0,"31.35000","0","1","SM","Active","AC Output Module","Black","Mini","5VDC","20mA","24 ~ 280VAC","3.5A","8.33ms","8.33ms","-"
http://www.crydom.com/en/products/catalog/c4_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_C4IDC.jpg,646-1050-ND,C4IDC,Sensata-Crydom,DC INPUT MODULE 10-32V,96,0,"32.78000","0","1","C4","Active","DC Input Module","White","C4","10 ~ 32VDC","20mA","4.5 ~ 30VDC","25mA","5ms","5ms","Hold Down Screw, Status LED(s)"
http://www.crydom.com/en/products/catalog/c4_input_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_C4IAC.jpg,646-1048-ND,C4IAC,Sensata-Crydom,AC INPUT MODULE 120V,28,0,"32.78000","0","1","C4","Active","AC Input Module","Yellow","C4","120VAC","14mA","4.5 ~ 30VDC","25mA","20ms","20ms","Hold Down Screw, Status LED(s)"
https://industrial.omron.us/en/media/G3R_I-O_Datasheet_J25I-E-01_tcm849-113244.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/SOLID%20STATE%20RELAY%20FIG5%20TO61-1483.jpg,Z6323-ND,G3R-ODX02SN-UTU DC5-24,Omron Automation and Safety,DC OUTPUT MODULE 2A,32,146,"36.04000","0","1","G3R-I/O","Active","DC Output Module","Black","QC","5 ~ 24VDC","8mA","4 ~ 60VDC","2A","1ms","2ms","Status LED(s)"
http://www.grayhill.com/assets/1/7/IO_Mod_DC_Output.pdf,//media.digikey.com/Photos/Grayhill%20Photos/70L-ODC.JPG,GH3055-ND,70L-ODC,Grayhill Inc.,DC OUTPUT MODULE 2A,17,80,"37.74000","0","1","70","Active","DC Output Module","Gray","OpenLine®","5VDC","7mA","3 ~ 60VDC","2A","0.02ms","0.05ms","2 Channel, Fused, Status LED(s)"
http://www.crydom.com/en/products/catalog/c4_output_modules.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_C4OAC.jpg,646-1052-ND,C4OAC,Sensata-Crydom,AC OUTPUT MODULE 3A,52,0,"37.75000","0","1","C4","Active","AC Output Module","Black","C4","4 ~ 32VDC","22mA","12 ~ 140VAC","3A","8.33ms","8.33ms","Hold Down Screw, Fused, Status LED(s)"
