Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mounting Type","Relay Type","Function","Circuit","Delay Time","Contact Rating @ Voltage","Voltage - Supply","Termination Style","Timing Adjustment Method","Timing Initiate Method"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3CR-A-11PIN%20SERIES.JPG,Z997-ND,H3CR-A AC24-48/DC12-48,Omron Automation and Safety,RELAY TIME DELAY 300HRS 5A 250V,289,452,"114.76000","0","1","H3CR-A","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 300 Hrs","5A @ 250VAC","24 ~ 48VAC, 12 ~ 48VDC","Plug In, 11 Pin (Octal)","Hand Dial","-"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/SyrlineDigital_TMR48D_DS.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_TMR48D-Series.jpg,966-1883-ND,MDF1R10MV2,Crouzet,RELAY TIME DELAY 9999HR 10A 250V,38,0,"194.12000","0","1","TMR48D","Active","Socketable","-","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 9999 Hrs","10A @ 250VAC","24 ~ 240VAC/DC","Plug In, 8 Pin (Octal)","Up/Down Digit Keys","Input Voltage"
http://www.ia.omron.com/data_pdf/cat/h3ca_ds_e_4_4_csm84.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3CA-11PIN%20SERIES.JPG,Z2359-ND,H3CA-A,Omron Automation and Safety,RELAY TIME DELAY 9990HRS 3A 250V,36,1030,"205.13000","0","1","H3CA","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 9990 Hrs","3A @ 250VAC","24 ~ 240VAC, 12 ~ 240VDC","Plug In, 11 Pin (Octal)","Thumbwheel Switches","Input Voltage"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/tmr_eng_pm4h.pdf,//media.digikey.com/Photos/Panasonic%20Photos/PM4HS-H-DC12VW.JPG,1110-3415-ND,PM4HS-H-DC12VW,Panasonic Industrial Automation Sales,RELAY TIME DELAY 500HRS 5A 250V,106,0,"37.00000","0","1","PM4H","Active","Socketable","Mechanical Relay","On-Delay","DPDT (2 Form C)","0.1 Sec ~ 500 Hrs","5A @ 250VAC","12VDC","Plug In, 8 Pin (Octal)","Hand Dial","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/q-timers.pdf,//media.digikey.com/Photos/Crouzet%20Photos/QASP.JPG,966-1180-ND,QASP10S24ADL,Crouzet,RELAY TIME DELAY 10SEC CHASSIS,127,0,"40.22000","0","1","QAS","Active","Chassis Mount","Solid State Relay","On-Delay","-","0.1 Sec ~ 10 Sec","-","24VAC/DC","Quick Connect - 0.250"" (6.3mm)","Screwdriver Slot","Input Voltage"
http://us.idec.com/Common/Download.aspx?d=32030,//media.digikey.com/Photos/IDEC/MFG_RTE-P2AD24.jpg,1885-1003-ND,RTE-P1AF20,IDEC,RELAY TIME DELAY 600HRS 10A 240V,202,0,"48.18000","0","1","RTE","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.1 Sec ~ 600 Hrs","10A @ 240VAC/30VDC","100 ~ 240VAC","Plug In, 8 Pin (Octal)","Hand Dial","Input Voltage"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/tmr_eng_pm4h.pdf,//media.digikey.com/Photos/Panasonic%20Photos/PM4HA-H-AC240VSW.JPG,255-1199-ND,PM4HA-H-AC240VSW,Panasonic Industrial Automation Sales,RELAY TIME DELAY 500HRS 5A 250V,447,0,"51.00000","0","1","PM4H","Active","Panel Mount","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.1 Sec ~ 500 Hrs","5A @ 250VAC","100 ~ 240VAC","Screw Terminal","Hand Dial","Input Voltage, Trigger Signal"
http://www.crydom.com/en/products/catalog/s1_dr_timer.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DRT-Series.jpg,CC2042-ND,DRTU06D06,Sensata-Crydom,RELAY TIME DELAY 6A 48V DIN RAIL,105,0,"66.82000","0","1","DRT","Active","DIN Rail","Solid State Relay","Programmable (Multi-Function)","SPST-NO (1 Form A)","-","6A @ 48VDC","12 ~ 24VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/BM2R_DS.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_BM2R08MV1.jpg,966-1828-ND,BM2R08MV1,Crouzet,RELAY TIME DELAY 240HRS 8A 250V,130,0,"104.99000","0","1","BM2R","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.5 Sec ~ 240 Hrs","8A @ 250VAC","12 ~ 240VAC/DC","Screw Terminal","Hand Dial","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/8647720000.pdf,//media.digikey.com/Photos/Weidmuller/MFG_8647720000.jpg,281-3347-ND,8647720000,Weidmüller,RELAY TIME DELAY 120HRS 5A 250V,139,37,"106.29000","0","1","BT","Active","DIN Rail","Mechanical Relay","On-Delay","SPDT (1 Form C)","0.1 Sec ~ 120 Hrs","5A @ 250VAC","24 ~ 230VAC, 24 ~ 48VDC","Screw Terminal","Screwdriver Slot","Input Voltage"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3CR-A-8PIN%20SERIES.JPG,Z2380-ND,H3CR-A8 AC24-48/DC12-48,Omron Automation and Safety,RELAY TIME DELAY 300HRS 5A 250V,42,233,"112.27000","0","1","H3CR-A","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 300 Hrs","5A @ 250VAC","24 ~ 48VAC, 12 ~ 48VDC","Plug In, 8 Pin (Octal)","Hand Dial","-"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3CR-A-8PIN%20SERIES.JPG,Z2379-ND,H3CR-A8 AC100-240/DC100-125,Omron Automation and Safety,RELAY TIME DELAY 300HRS 5A 250V,26,675,"114.76000","0","1","H3CR-A","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 300 Hrs","5A @ 250VAC","100 ~ 240VAC, 100 ~ 125VDC","Plug In, 8 Pin (Octal)","Hand Dial","-"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Auto/H3CR-F8N%20AC24-48%5EDC12-48.JPG,Z2385-ND,H3CR-F8N AC100-240/DC100-125,Omron Automation and Safety,RELAY TIME DELAY 30HRS 5A 250V,73,558,"130.98000","0","1","H3CR-F","Active","Socketable","Mechanical Relay","Repeat Cycle, Twin Timer","DPDT (2 Form C)","0.05 Sec ~ 30 Hrs","5A @ 250VAC","100 ~ 240VAC, 100 ~ 125VDC","Plug In, 8 Pin (Octal)","Hand Dial","Input Voltage"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Auto/H3CR-FN%20AC100-240%5EDC100-125.JPG,Z4300-ND,H3CR-FN AC100-240/DC100-125,Omron Automation and Safety,RELAY TIME DELAY 30HRS 5A 250V,39,0,"130.98000","0","1","H3CR-F","Active","Socketable","Mechanical Relay","Repeat Cycle, Twin Timer","DPDT (2 Form C)","0.05 Sec ~ 30 Hrs","5A @ 250VAC","100 ~ 240VAC, 100 ~ 125VDC","Plug In, 11 Pin (Octal)","Hand Dial","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2866161.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2866161.JPG,277-9371-ND,2866161,Phoenix Contact,RELAY TIME DELAY 100HRS 3A 250V,100,75,"135.30000","0","1","ETD","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 100 Hrs","3A @ 250VAC","24 ~ 240VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage"
http://select.phoenixcontact.com/phoenix/dwld/db_en_etd_fl_2t_dti_102570_en_04.pdf?cp=y&asid2=6839859785307,//media.digikey.com/Photos/Phoenix%20Photos/2866187.JPG,277-5121-ND,2866187,Phoenix Contact,RELAY TIME DELAY 10HRS 3A 250V,26,48,"166.69000","0","1","ETD","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 10 Hrs","3A @ 250VAC","24 ~ 240VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/SyrlineDigital_TMR48D_DS.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_TMR48D-Series.jpg,966-1885-ND,GDS2R10MV2,Crouzet,RELAY TIME DELAY 9999HR 10A 250V,25,0,"217.65000","0","1","TMR48D","Active","Socketable","-","Programmable (Multi-Function)","DPDT (2 Form C)","0.001 Sec ~ 9999 Hrs","10A @ 250VAC","24 ~ 240VAC/DC","Plug In, 11 Pin (Octal)","Up/Down Digit Keys","Input Voltage"
-,//media.digikey.com/Photos/Crouzet%20Photos/88827044.JPG,966-1560-ND,88827044,Crouzet,RELAY TIME DELAY 100HRS DIN RL,191,0,"54.48000","0","1","MHS2","Active","DIN Rail","Solid State Relay","Interval","-","0.1 Sec ~ 100 Hrs","-","24 ~ 240VAC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
http://us.idec.com/Common/Download.aspx?d=14515,//media.digikey.com/Photos/IDEC/MFG_GT5Y-2SN1A100.jpg,1885-1006-ND,GT5Y-2SN3D24,IDEC,RELAY TIME DELAY 30MIN 5A 220V,188,0,"39.48000","0","1","GT5Y","Active","Socketable","Mechanical Relay","On-Delay","DPDT (2 Form C)","0.1 Sec ~ 30 Min","5A @ 220VAC/30VDC","24VDC","Plug In","Screwdriver Slot","Input Voltage"
-,-,2066-80.01.0.240.0000-ND,80.01.0.240.0000,"Finder Relays, Inc.",TIMER RLY SPDT 10A 12V-240VAC/DC,200,0,"60.69000","0","1","80","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 24 Hrs","16A @ 250VAC","12 ~ 240VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage"
https://www.gavazzionline.com/pdf/DMB51CM.eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/DMB51-Series_DMB51Cx24.jpg,1864-1131-ND,DMB51CW24,Carlo Gavazzi Inc.,RELAY TIME DELAY 100HRS 5A 250V,32,0,"97.02000","0","1","DMB51","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","5A @ 250VAC","12 ~ 240VAC/DC","Screw Terminal","Screwdriver Slot","Input Voltage"
https://www.gavazzionline.com/pdf/FAA01DWeng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/FAA08DW24.jpg,1864-1132-ND,FAA08DW24,Carlo Gavazzi Inc.,RELAY TIME DELAY 300HRS 8A 250V,37,0,"99.99000","0","1","FAA08","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.05 Sec ~ 300 Hrs","8A @ 250VAC","12 ~ 240VAC/DC","Plug In, 8 Pin (Octal)","Hand Dial","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/CL%20CU.pdf,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/CL%20RELAY%20SERIES.jpg,PB763-ND,CUF-41-70120,TE Connectivity Potter & Brumfield Relays,RELAY TIME DELAY 120SEC 10A 277V,40,0,"189.78000","0","1","CU","Obsolete","Socketable","Mechanical Relay","On-Delay","DPDT (2 Form C)","1 Sec ~ 120 Sec","10A @ 277VAC","120VAC","Plug In","External Resistor","Input Voltage"
-,//media.digikey.com/Photos/TE%20Connectivity/1437473-1.jpg,A105147-ND,VTM-1,"TE Connectivity Aerospace, Defense and Marine",RELAY TIME DELAY 1000SEC 5A 120V,106,0,"196.59000","0","1","VTM-1, AGASTAT","Last Time Buy","Chassis Mount","Solid State Relay","On-Delay","SPST-NO (1 Form A)","1 Sec ~ 1000 Sec","5A @ 120VAC","24 ~ 240VAC/DC","Quick Connect - 0.250"" (6.3mm)","External Resistor","Input Voltage"
http://select.phoenixcontact.com/phoenix/dwld/db_en_etd_bl_1t_on__103615_en_02.pdf?cp=y&asid2=006724841914523,//media.digikey.com/Photos/Phoenix%20Photos/2917379.jpg,277-4940-ND,2917379,Phoenix Contact,RELAY TIME DELAY 10SEC 6A 250V,78,0,"73.06000","0","1","ETD-BL-1T","Active","DIN Rail","Mechanical Relay","On-Delay","SPDT (1 Form C)","0.1 Sec ~ 10 Sec","6A @ 250VAC","24VDC","Screw Terminal","Screwdriver Slot","Input Voltage"
http://select.phoenixcontact.com/phoenix/dwld/db_en_etd_bl_1t_off_cc__103617_en_02.pdf?cp=y&asid2=955854940974722,//media.digikey.com/photos/Phoenix%20Photos/2917463.JPG,277-4992-ND,2917463,Phoenix Contact,RELAY TIME DELAY 300SEC 6A 250V,20,155,"73.06000","0","1","ETD-BL-1T","Active","DIN Rail","Mechanical Relay","Off-Delay","SPDT (1 Form C)","3 Sec ~ 300 Sec","6A @ 250VAC","24VDC","Screw Terminal","Screwdriver Slot","Input Voltage"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/H3FA%20Series.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H3FA%20SERIES.JPG,Z3010-ND,H3FA-A-DC24,Omron Automation and Safety,RELAY TIME DELAY 10MIN 3A 250V,47,131,"79.00000","0","1","H3FA","Active","Through Hole","Mechanical Relay","On-Delay","DPST-NO/NC (1 Form A and B)","0.1 Sec ~ 10 Min","3A @ 250VAC","24VDC","PC Pin","Screwdriver Slot","Input Voltage, Trigger Signal"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/88827zzz.pdf,//media.digikey.com/Photos/Crouzet%20Photos/MFG_88827155.jpg,966-1552-ND,88827155,Crouzet,RELAY TIME DELAY 100HRS 8A 250V,56,0,"84.12000","0","1","MLR1","Active","DIN Rail","Mechanical Relay","Repeat Cycle, Twin Timer","SPDT (1 Form C)","0.1 Sec ~ 100 Hrs","8A @ 250VAC","24 ~ 240VAC, 24VDC","Screw Terminal","Screwdriver Slot","Input Voltage"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_63010_0010_en_lt4h.pdf,//media.digikey.com/photos/Panasonic%20Photos/LT4H%2011%20PIN%20OCTAL.jpg,255-1214-ND,LT4H-AC240V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 999.9HR 5A 250V,96,60,"92.00000","0","1","LT4H","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 999.9 Hrs","5A @ 250VAC","100 ~ 240VAC","Plug In, 11 Pin (Octal)","Up/Down Digit Keys","Input Voltage, Trigger Signal"
https://www.panasonic-electric-works.com/pew/eu/downloads/ds_63010_0010_en_lt4h.pdf,//media.digikey.com/photos/Panasonic%20Photos/LT4H%2011%20PIN%20OCTAL.jpg,255-1217-ND,LT4H-DC24VS,Panasonic Industrial Automation Sales,RELAY TIME DELAY 999.9HR 5A 250V,56,31,"92.00000","0","1","LT4H","Active","Panel Mount","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 999.9 Hrs","5A @ 250VAC","12 ~ 24VDC","Screw Terminal","Up/Down Digit Keys","Input Voltage, Trigger Signal"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Auto/H3CR-F8N%20AC24-48%5EDC12-48.JPG,Z4299-ND,H3CR-F8 AC100-240/DC100-125,Omron Automation and Safety,RELAY TIME DELAY 30HRS 5A 250V,23,75,"130.98000","0","1","H3CR-F","Active","Socketable","Mechanical Relay","Repeat Cycle, Twin Timer","DPDT (2 Form C)","0.05 Sec ~ 30 Hrs","5A @ 250VAC","100 ~ 240VAC, 100 ~ 125VDC","Plug In, 8 Pin (Octal)","Hand Dial","Input Voltage"
-,//media.digikey.com/Photos/Omron%20Elect%20Photos/H5CX-A-N_AC100-240.jpg,Z3211-ND,H5CX-AD-N AC24/DC12-24,Omron Automation and Safety,RELAY TIME DELAY 9999HRS 5A 250V,25,93,"260.57000","0","1","H5CX","Active","Panel Mount","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 9999 Hrs","5A @ 250VAC","24VAC, 12 ~ 24VDC","Screw Terminal","Up/Down Digit Keys","Input Voltage, Trigger Signal"
http://www.ia.omron.com/data_pdf/cat/h5cx-_-n_l111-e1_5_2_csm2122.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H5CX-A-N_AC100-240.jpg,Z2997-ND,H5CX-A-N AC100-240,Omron Automation and Safety,RELAY TIME DELAY 9999HRS 5A 250V,24,188,"260.57000","0","1","H5CX","Active","Panel Mount","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.001 Sec ~ 9999 Hrs","5A @ 250VAC","100 ~ 240VAC","Screw Terminal","Up/Down Digit Keys","Input Voltage, Trigger Signal"
http://www.ia.omron.com/data_pdf/cat/h5cx-_-n_l111-e1_5_2_csm2122.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/H5CX-A-N_AC100-240.jpg,Z3001-ND,H5CX-ASD-N-DC12-24/AC24,Omron Automation and Safety,RELAY TIME DELAY 9999HRS PANEL,17,58,"260.57000","0","1","H5CX","Active","Panel Mount","Solid State Relay","Programmable (Multi-Function)","-","0.001 Sec ~ 9999 Hrs","-","24VAC, 12 ~ 24VDC","Screw Terminal","Up/Down Digit Keys","Input Voltage, Trigger Signal"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/s1dxm_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/S1DXM-A2C10M-DC24V.jpg,1110-2514-ND,S1DXM-A2C10M-DC24V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 10MIN 7A 250V,13,6,"37.00000","0","1","S1DXM","Active","Socketable","Mechanical Relay","On-Delay","DPDT (2 Form C)","0.05 Sec ~ 10 Min","7A @ 250VAC","24VDC","Plug In","Hand Dial","Input Voltage"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/s1dxm_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/S1DXM-A2C30M-AC120V.JPG,1110-2515-ND,S1DXMA2C30MAC120V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 30MIN 7A 250V,53,0,"37.74000","0","1","S1DXM","Active","Socketable","Mechanical Relay","On-Delay","DPDT (2 Form C)","0.2 Sec ~ 30 Min","7A @ 250VAC","100 ~ 120VAC","Plug In","Hand Dial","Input Voltage"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/tmr_eng_pm4h.pdf,//media.digikey.com/Photos/Panasonic%20Photos/PM4HA-H-DC12V.JPG,1110-3217-ND,PM4HA-H-DC12V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 500HRS 5A 250V,74,8,"38.00000","0","1","PM4H","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.1 Sec ~ 500 Hrs","5A @ 250VAC","12VDC","Plug In, 11 Pin (Octal)","Hand Dial","Input Voltage, Trigger Signal"
https://www3.panasonic.biz/ac/e_download/fasys/component/timer/catalog/tmr_eng_pm4h.pdf,//media.digikey.com/Photos/Panasonic%20Photos/PM4HA-H-24V.JPG,1110-3166-ND,PM4HA-H-24V,Panasonic Industrial Automation Sales,RELAY TIME DELAY 500HRS 5A 250V,44,0,"39.00000","0","1","PM4H","Active","Socketable","Mechanical Relay","Programmable (Multi-Function)","DPDT (2 Form C)","0.1 Sec ~ 500 Hrs","5A @ 250VAC","24VAC/DC","Plug In, 11 Pin (Octal)","Hand Dial","Input Voltage, Trigger Signal"
http://www.altechcorp.com/ProcessControllers/ProcessControllers.pdf,//media.digikey.com/Photos/Altech-Corporation/600XU-A-1-CU.JPG,1920-1731-ND,600XU-A-1-CU,Altech Corporation,RELAY TIME DELAY 3HRS 3A 250V,28,0,"42.01000","0","1","600XU","Active","DIN Rail","Mechanical Relay","Programmable (Multi-Function)","SPDT (1 Form C)","0.1 Sec ~ 3 Hrs","3A @ 250VAC","20 ~ 240VAC, 12 ~ 240VDC","Screw Terminal","Screwdriver Slot","Input Voltage, Trigger Signal"
https://www.littelfuse.com/~/media/protection-relays/datasheets/time-delay-relays/littelfuse_timedelayrelays_tdu_tduh_tdul_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_TDUL3000A.jpg,F10683-ND,TDUL3000A,Littelfuse Inc.,RELAY TIME DELAY 102.3SEC CHAS,15,0,"46.44000","0","1","TDUL","Active","Chassis Mount","Solid State Relay","On-Delay","SPST-NO (1 Form A)","0.1 Sec ~ 102.3 Sec","-","24 ~ 120VAC/DC","Quick Connect - 0.250"" (6.3mm)","DIP Switches","Input Voltage"
https://www.littelfuse.com/~/media/protection-relays/datasheets/time-delay-relays/littelfuse_timedelayrelays_tdu_tduh_tdul_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_TDU3000A.jpg,F10677-ND,TDU3000A,Littelfuse Inc.,RELAY TIME DELAY 1023SEC CHASSIS,10,0,"46.44000","0","1","TDU","Active","Chassis Mount","Solid State Relay","On-Delay","SPST-NO (1 Form A)","1 Sec ~ 1023 Sec","-","24 ~ 120VAC/DC","Quick Connect - 0.250"" (6.3mm)","DIP Switches","Input Voltage"
