Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Plating","Pitch","Circuit Pattern","Edge Contacts","Hole Diameter","Size / Dimension","Board Thickness"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/8015_Web.pdf,//media.digikey.com/photos/Vector%20Photos/8015.jpg,V2009-ND,8015,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,982,0,"11.71000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","6.00"" L x 4.00"" W (152.4mm x 101.6mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/2mmgriddevbd.PDF,//media.digikey.com/photos/Vector%20Photos/8017.jpg,V2013-ND,8017,Vector Electronics,PLUGBOARD HARD METRIC PTH,151,0,"17.82000","0","1","Vectorbord® Plugbord™","Active","Plugboard, Hard Metric","Plated Through Hole (PTH)","0.079"" (2.00mm)","Pad Per Hole (Round)","-","0.025"" (0.64mm)","6.30"" L x 3.94"" W (160.0mm x 100.1mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Vectorbord%20Round%20pads.pdf,//media.digikey.com/photos/Vector%20Photos/8016.jpg,V2011-ND,8016,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,291,0,"19.26000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","9.00"" L x 6.00"" W (228.6mm x 152.4mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Square%20Vectorbord%20Pads.pdf,//media.digikey.com/Photos/Vector%20Photos/8023.JPG,V2040-ND,8023,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,131,0,"20.70000","0","1","Vectorbord® Plugbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","3 Hole Pad (Both Sides)","-","0.042"" (1.07mm)","6.50"" L x 4.50"" W (165.1mm x 114.3mm)","0.062"" (1.57mm) 1/16"""
http://nebula.wsimg.com/25f671ff8edf924bc8ec53421f2b36fd?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/8021.jpg,V2017-ND,8021,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,1641,0,"33.66000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.050"" (1.27mm)","Pad Per Hole (Round)","-","0.024"" (0.61mm)","6.30"" L x 3.94"" W (160.0mm x 100.1mm)","0.062"" (1.57mm) 1/16"""
http://www.chipquik.com/datasheets/SBBTH1506-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBBTH1506-1.jpg,SBBTH1506-1-ND,SBBTH1506-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,2089,0,"1.09000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","Pad Per Hole (Round)","-","0.039"" (1.00mm)","1.75"" L x 0.70"" W (44.5mm x 17.8mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBBTH1508-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBBTH1508-1.jpg,SBBTH1508-1-ND,SBBTH1508-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,1862,0,"1.59000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.039"" (1.00mm)","1.75"" L x 0.90"" W (44.5mm x 22.9mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBB136.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SBB136.jpg,SBB136-ND,SBB136,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,307,0,"1.99000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","-","0.062"" (1.58mm)"
http://www.chipquik.com/datasheets/SBB170.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SBB170.jpg,SBB170-ND,SBB170,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,257,0,"1.99000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","-","0.062"" (1.58mm)"
http://www.chipquik.com/datasheets/SBBTH1510-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBBTH1510-1.jpg,SBBTH1510-1-ND,SBBTH1510-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,361,0,"2.09000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.039"" (1.00mm)","1.75"" L x 1.10"" W (44.5mm x 27.9mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBB1602-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBB1602-1.jpg,SBB1602-1-ND,SBB1602-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE NPTH,146,0,"2.09000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","-","3 Hole Pad (Single Side)","-","0.039"" (1.00mm)","2.00"" L x 1.10"" W (50.8mm x 27.9mm)","-"
http://www.budind.com/pdf/hbexn23400pcb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_EXN-23400-PCB.jpg,377-2623-ND,EXN-23400-PCB,Bud Industries,BREADBOARD GENERAL PURPOSE NPTH,601,294,"2.20000","0","1","EXN","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.051"" (1.30mm)","2.10"" L x 1.26"" W (53.3mm x 32.0mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBB206.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SBB206.jpg,SBB206-ND,SBB206,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,221,0,"2.49000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","2.30"" L x 2.10"" W (58.4mm x 53.3mm)","0.062"" (1.58mm)"
http://www.chipquik.com/datasheets/SBB1605-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBB1605-1.jpg,SBB1605-1-ND,SBB1605-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE NPTH,321,0,"2.69000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","3 Hole Pad (Single Side)","-","0.039"" (1.00mm)","2.60"" L x 2.40"" W (66.0mm x 61.0mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBBTH1512-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBBTH1512-1.jpg,SBBTH1512-1-ND,SBBTH1512-1,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,137,0,"2.69000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.039"" (1.00mm)","1.75"" L x 1.30"" W (44.5mm x 33.0mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1608_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/1608.JPG,1528-1101-ND,1608,Adafruit Industries LLC,BREADBOARD GENERAL PURPOSE PTH,1376,0,"2.95000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","2.17"" L x 1.73"" W (55.0mm x 44.0mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0193_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0193.jpg,1738-1005-ND,FIT0193,DFRobot,BREADBOARD GENERAL PURPOSE PTH,175,0,"3.24000","0","1","-","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","-","-","-","3.94"" L x 2.95"" W (100.0mm x 75.0mm)","-"
http://www.budind.com/pdf/hb4770cb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/DMB-4770-CB.JPG,377-2076-ND,DMB-4770-CB,Bud Industries,BREADBOARD DIN RAIL MOUNT PTH,323,1014,"3.60000","0","1","DMB","Active","Breadboard, Din Rail Mount","Plated Through Hole (PTH)","0.100"" (2.54mm), 0.200"" (5.08mm)","Pad Per Hole (Square)","-","0.051"" (1.30mm)","3.42"" L x 1.29"" W (86.9mm x 32.8mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBB400.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBB400.jpg,SBB400-ND,SBB400,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,107,0,"3.99000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Single Side)","-","0.039"" (1.00mm)","3.60"" L x 2.30"" W (91.4mm x 58.4mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBBSM2120-1.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBBSM2120-1.jpg,SBBSM2120-1-ND,SBBSM2120-1,Chip Quik Inc.,BREADBOARD SMD PLATED SMD,375,0,"4.19000","0","1","Proto-Advantage","Active","Breadboard, Surface Mount","Plated Surface Mount","0.100"" (2.54mm)","Pad (Square)","-","-","2.30"" L x 2.10"" W (58.4mm x 53.3mm)","0.063"" (1.60mm)"
http://www.budind.com/pdf/hbexn23400pcb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_EXN-23401-PCB.jpg,377-2624-ND,EXN-23401-PCB,Bud Industries,BREADBOARD GENERAL PURPOSE NPTH,318,543,"4.25000","0","1","EXN","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.051"" (1.30mm)","2.83"" L x 2.10"" W (71.9mm x 53.3mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1609_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1609.JPG,1528-1195-ND,1609,Adafruit Industries LLC,BREADBOARD GENERAL PURPOSE PTH,1198,0,"4.50000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","3.20"" L x 2.00"" W (81.3mm x 50.8mm)","0.063"" (1.60mm)"
http://schmartboard.com/content/Brochures/201-0001-01.pdf,"//media.digikey.com/Photos/Schmartboard,%20Inc/201-0001-01.jpg",1988-1000-ND,201-0001-01,"Schmartboard, Inc.",T.H. 0.1"" SPACING WITH 0.05"" OFF,138,0,"5.00000","0","1","-","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.05"" (1.27mm), 0.1"" (2.54mm), Grid","Pad Per Hole (Round)","-","0.038"" (0.97mm)","2.00"" L x 2.00"" W (50.8mm x 50.8mm)","-"
http://www.budind.com/pdf/hbexn23403pcb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_EXN-23403-PCB.jpg,377-2626-ND,EXN-23403-PCB,Bud Industries,BREADBOARD GENERAL PURPOSE NPTH,138,361,"5.40000","0","1","EXN","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.051"" (1.30mm)","2.05"" L x 3.87"" W (52.1mm x 98.3mm)","0.063"" (1.60mm)"
http://www.budind.com/pdf/hb4771cb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/DMB-4771-CB.jpg,377-2079-ND,DMB-4771-CB,Bud Industries,BREADBOARD DIN RAIL MOUNT PTH,121,377,"5.75000","0","1","DMB","Active","Breadboard, Din Rail Mount","Plated Through Hole (PTH)","0.100"" (2.54mm), 0.200"" (5.08mm)","Pad Per Hole (Square)","-","0.051"" (1.30mm)","3.42"" L x 1.97"" W (86.9mm x 50.0mm)","0.063"" (1.60mm)"
http://www.chipquik.com/datasheets/SBB830.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_SBB830.jpg,SBB830-ND,SBB830,Chip Quik Inc.,BREADBOARD GENERAL PURPOSE PTH,104,0,"6.49000","0","1","Proto-Advantage","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","5 Hole Pad (Single Side)","-","0.039"" (1.00mm)","6.60"" L x 2.30"" W (167.6mm x 58.4mm)","0.063"" (1.60mm)"
http://www.budind.com/pdf/hbexn23406pcb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_EXN-23406-PCB.jpg,377-2629-ND,EXN-23406-PCB,Bud Industries,BREADBOARD GENERAL PURPOSE NPTH,128,166,"8.90000","0","1","EXN","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.051"" (1.30mm)","5.11"" L x 2.87"" W (129.8mm x 72.9mm)","0.063"" (1.60mm)"
http://www.busboard.com/documents/datasheets/BPS-DAT-(KIT-1593L-BK)-Datasheet.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593LPCB.jpg,HM1253-ND,1593LPCB,Hammond Manufacturing,BREADBRD DRILLED COPP CLAD NPTH,166,0,"9.28000","0","1","1593","Active","Breadboard, Drilled Copper Clad","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Custom","-","0.042"" (1.07mm)","3.25"" L x 2.23"" W (82.6mm x 56.6mm)","-"
http://www.budind.com/pdf/hbexn23410pcb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_EXN-23410-PCB.jpg,377-2633-ND,EXN-23410-PCB,Bud Industries,BREADBOARD GENERAL PURPOSE NPTH,136,164,"10.40000","0","1","EXN","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.051"" (1.30mm)","5.00"" L x 2.84"" W (127.0mm x 72.0mm)","0.063"" (1.60mm)"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1553BPCB.jpg,HM1254-ND,1553BPCB,Hammond Manufacturing,BREADBRD PREPUNCHED INSULAT NPTH,112,170,"12.41000","0","1","1553","Active","Breadboard, Prepunched Insulating","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","2 Hole Pad (Single Side)","-","0.042"" (1.07mm)","4.30"" L x 2.80"" W (109.2mm x 71.1mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/571_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_571.jpg,1528-1143-ND,571,Adafruit Industries LLC,BREADBOARD GEN PURP PTH 1=3,341,0,"12.50000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","3.20"" L x 2.00"" W (81.3mm x 50.8mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/2mmgriddevbd.PDF,//media.digikey.com/Photos/Vector%20Photos/8028.jpg,V1256-ND,8028,Vector Electronics,PLUGBOARD HARD METRIC PTH,104,0,"19.93000","0","1","Vectorbord® Plugbord™","Active","Plugboard, Hard Metric","Plated Through Hole (PTH)","0.050"" (1.27mm), 0.079"" (2.00mm), 1.00"" (2.54mm)","Pad Per Hole (Round)","-","0.025"" (0.64mm), 0.042"" (1.07mm)","6.30"" L x 3.94"" W (160.0mm x 100.1mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Vectorbord%20Round%20pads.pdf,//media.digikey.com/photos/Vector%20Photos/106P180-4.jpg,V1116-ND,106P180-4,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,31,0,"94.86000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","18.00"" L x 10.50"" W (457.2mm x 266.7mm)","0.062"" (1.57mm) 1/16"""
http://nebula.wsimg.com/b72dfd99c986dc4cbaa1b2c84186382f?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/106P180-4.jpg,V2062-ND,8013,Vector Electronics,BREADBOARD GENERAL PURPOSE PTH,26,0,"100.62000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","18.00"" L x 10.50"" W (457.2mm x 266.7mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2670_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2670.jpg,1528-2171-ND,2670,Adafruit Industries LLC,BREADBOARD GEN PURP NPTH 10PK,261,0,"4.95000","0","1","-","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.1"" (2.54mm) Grid","Pad Per Hole (Round)","-","-","3.60"" L x 2.80"" W (91.4mm x 71.1mm)","0.047"" (1.19mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/723_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_723.jpg,1528-1797-ND,723,Adafruit Industries LLC,BREADBOARD GENERAL PURPOSE PTH,150,0,"5.95000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","3.60"" L x 2.24"" W (91.4mm x 56.9mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1606_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1606.jpg,1528-1100-ND,1606,Adafruit Industries LLC,BREADBOARD GENERAL PURPOSE PTH,413,0,"6.95000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","6.18"" L x 2.01"" W (157.0mm x 51.0mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1214_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1214.jpg,1528-1796-ND,1214,Adafruit Industries LLC,BREADBOARD GENERAL PURPOSE PTH,147,0,"7.95000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","2.10"" L x 1.30"" W (53.3mm x 33.0mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/589_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/589.JPG,1528-1080-ND,589,Adafruit Industries LLC,BREADBOARD GEN PURP PTH 3PK,144,0,"8.50000","0","1","Perma-Proto","Active","Breadboard, General Purpose","Plated Through Hole (PTH)","-","5 Hole Pad (Both Sides)","-","0.047"" (1.19mm)","2.17"" L x 1.73"" W (55.0mm x 44.0mm)","0.063"" (1.60mm)"
//media.digikey.com/pdf/Data%20Sheets/Twin%20Industries%20PDFs/8300SB1.pdf,//media.digikey.com/Photos/Twin%20Industries%20Photos/MFG_8300SB1.jpg,438-1132-ND,8300SB1,Twin Industries,BREADBOARD GENERAL PURPOSE NPTH,236,0,"9.25000","0","1","-","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","5 Hole Pad (Both Sides)","-","-","6.00"" L x 3.00"" W (152.4mm x 76.2mm)","0.031"" (0.79mm) 1/32"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Vectorbord.pdf,//media.digikey.com/photos/Vector%20Photos/169P79.jpg,V1006-ND,169P79,Vector Electronics,BREADBRD PREPUNCHED INSULAT NPTH,232,0,"36.41000","0","1","Vectorbord®","Active","Breadboard, Prepunched Insulating","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","-","-","0.042"" (1.07mm)","17.00"" L x 8.00"" W (431.8mm x 203.2mm)","0.062"" (1.57mm) 1/16"""
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0576_Web.pdf,-,1738-1428-ND,FIT0576,DFRobot,BREADBRD PREPNCH FLEXIBLE NPTH,230,0,"12.26000","0","1","-","Active","Breadboard, Prepunched Insulating","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.039"" (1.00mm)","11.80"" L x 7.00"" W (299.7mm x 177.8mm)","0.015"" (0.40mm) 1/64"""
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Vectorbord%20Round%20pads.pdf,//media.digikey.com/photos/Vector%20Photos/8016-1.jpg,V2012-ND,8016-1,Vector Electronics,BREADBOARD GENERAL PURPOSE NPTH,90,0,"10.77000","0","1","Vectorbord® Circbord™","Active","Breadboard, General Purpose","Non-Plated Through Hole (NPTH)","0.100"" (2.54mm)","Pad Per Hole (Round)","-","0.042"" (1.07mm)","6.00"" L x 6.00"" W (152.4mm x 152.4mm)","0.062"" (1.57mm) 1/16"""
