Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","For Measuring","Technology","Rotation Angle - Electrical, Mechanical","Linear Range","Output","Output Signal","Actuator Type","Linearity","Resistance","Resistance Tolerance","Voltage - Supply","Mounting Type","Termination Style","Operating Temperature","Package / Case","Supplier Device Package"
https://www.micronas.com/en/system/files/downloads/files/HAL83x_Robust_multi-purpose_programmable_linear_Hall-effect_sensor_3DS_final.pdf,//media.digikey.com/Photos/Micronas/HAL835UT-A.jpg,HAL830UT-ACT-ND,HAL830UT-A,TDK-Micronas GmbH,SENSOR ANGLE 89DEG PC PIN,11663,0,"3.50000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Active","Angle, Linear, Rotary","Hall Effect","0° ~ 89°","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Through Hole","PC Pin","-40°C ~ 170°C","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92UT-1"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1501-TR.JPG,342-1008-2-ND,HMC1501-TR,Honeywell Aerospace,SENSOR ANGLE 90DEG 8MM SMD,22000,0,"1.42500","0","1000","Tape & Reel (TR)","-","Active","Angle, Linear, Rotary","Magnetoresistive","90° (±45°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","6.5 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1501-TR.JPG,342-1008-1-ND,HMC1501-TR,Honeywell Aerospace,SENSOR ANGLE 90DEG 8MM SMD,22077,0,"3.55000","0","1","Cut Tape (CT)","-","Active","Angle, Linear, Rotary","Magnetoresistive","90° (±45°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","6.5 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://aerospace.honeywell.com/en/~/media/aerospace/files/technical-articles/sensors_product_catalog.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HMC1501-TR.JPG,342-1008-6-ND,HMC1501-TR,Honeywell Aerospace,SENSOR ANGLE 90DEG 8MM SMD,22077,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle, Linear, Rotary","Magnetoresistive","90° (±45°)","0 ~ 8.00mm (0 ~ 0.31"")","Wheatstone Bridge","-","External Magnet, Not Included","-","6.5 kOhms","-","1V ~ 25V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOTTR-ND,AS5601-ASOT,ams,SENSOR ANGLE SMD,5000,0,"1.60930","0","2500","Tape & Reel (TR)","-","Active","Angle","Hall Effect","-","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOTCT-ND,AS5601-ASOT,ams,SENSOR ANGLE SMD,5924,0,"3.49000","0","1","Cut Tape (CT)","-","Active","Angle","Hall Effect","-","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOTDKR-ND,AS5601-ASOT,ams,SENSOR ANGLE SMD,5924,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle","Hall Effect","-","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOTTR-ND,AS5600-ASOT,ams,IC SENSOR MAG ROTARY 12BIT 8SOIC,2500,0,"1.60930","0","2500","Tape & Reel (TR)","-","Active","Angle","Hall Effect","0° ~ 360°","-","Analog Voltage","Clockwise Increase","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOTCT-ND,AS5600-ASOT,ams,IC SENSOR MAG ROTARY 12BIT 8SOIC,2500,0,"3.49000","0","1","Cut Tape (CT)","*","Active","-","-","-","-","-","-","-","-","-","-","-","Surface Mount","Gull Wing","-","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOTDKR-ND,AS5600-ASOT,ams,IC SENSOR MAG ROTARY 12BIT 8SOIC,2500,0,"Digi-Reel","0","1","Digi-Reel®","*","Active","-","-","-","-","-","-","-","-","-","-","-","Surface Mount","Gull Wing","-","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.micronas.com/en/system/files/downloads/files/HAL371x_HAL372x_HAL%20373x_Programmable_2D_Position_Sensors_with_Arbitrary_Output_Function_1DSH_final.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,HAL3726DJ-ATR-ND,HAL3726DJ-A,TDK-Micronas GmbH,SENSOR ANGLE 360DEG SMD,3500,0,"1.67860","0","3500","Tape & Reel (TR)","Automotive, AEC-Q100, Hal® 37","Active","Angle, Linear, Rotary","Hall Effect","0° ~ 360°","-","Analog Voltage","-","External Magnet, Not Included","±0.1%","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 170°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC-1"
https://www.micronas.com/en/system/files/downloads/files/HAL371x_HAL372x_HAL%20373x_Programmable_2D_Position_Sensors_with_Arbitrary_Output_Function_1DSH_final.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,HAL3726DJ-ACT-ND,HAL3726DJ-A,TDK-Micronas GmbH,SENSOR ANGLE 360DEG SMD,3500,0,"4.48000","0","1","Cut Tape (CT)","Automotive, AEC-Q100, Hal® 37","Active","Angle, Linear, Rotary","Hall Effect","0° ~ 360°","-","Analog Voltage","-","External Magnet, Not Included","±0.1%","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 170°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC-1"
https://www.micronas.com/en/system/files/downloads/files/HAL371x_HAL372x_HAL%20373x_Programmable_2D_Position_Sensors_with_Arbitrary_Output_Function_1DSH_final.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,HAL3726DJ-ADKR-ND,HAL3726DJ-A,TDK-Micronas GmbH,SENSOR ANGLE 360DEG SMD,3500,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100, Hal® 37","Active","Angle, Linear, Rotary","Hall Effect","0° ~ 360°","-","Analog Voltage","-","External Magnet, Not Included","±0.1%","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 170°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC-1"
//media.digikey.com/pdf/Data%20Sheets/AKM%20Semiconductor%20Inc.%20PDFs/EM3242.pdf,//media.digikey.com/Photos/AKM%20Semiconductor/EM3242.JPG,974-1044-2-ND,EM3242,AKM Semiconductor Inc.,SENSOR ANGLE 360DEG SMD,5000,0,"1.72800","0","5000","Tape & Reel (TR)","-","Active","Angle","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.3V","Surface Mount","SMD (SMT) Tab","-30°C ~ 85°C","6-SMD, Gull Wing","6-SOP"
//media.digikey.com/pdf/Data%20Sheets/AKM%20Semiconductor%20Inc.%20PDFs/EM3242.pdf,//media.digikey.com/Photos/AKM%20Semiconductor/EM3242.JPG,974-1044-1-ND,EM3242,AKM Semiconductor Inc.,SENSOR ANGLE 360DEG SMD,6357,0,"4.79000","0","1","Cut Tape (CT)","-","Active","Angle","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.3V","Surface Mount","SMD (SMT) Tab","-30°C ~ 85°C","6-SMD, Gull Wing","6-SOP"
//media.digikey.com/pdf/Data%20Sheets/AKM%20Semiconductor%20Inc.%20PDFs/EM3242.pdf,//media.digikey.com/Photos/AKM%20Semiconductor/EM3242.JPG,974-1044-6-ND,EM3242,AKM Semiconductor Inc.,SENSOR ANGLE 360DEG SMD,6357,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","2.7V ~ 3.3V","Surface Mount","SMD (SMT) Tab","-30°C ~ 85°C","6-SMD, Gull Wing","6-SOP"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOMTR-ND,AS5601-ASOM,ams,SENSOR ANGLE SMD,32000,0,"1.96850","0","500","Tape & Reel (TR)","-","Active","Angle","Hall Effect","-","-","I²C, Quadrature","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOMCT-ND,AS5601-ASOM,ams,SENSOR ANGLE SMD,32449,0,"4.75000","0","1","Cut Tape (CT)","-","Active","Angle","Hall Effect","-","-","I²C, Quadrature","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5601_DS000395_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/8SOIC.jpg,AS5601-ASOMDKR-ND,AS5601-ASOM,ams,SENSOR ANGLE SMD,32449,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle","Hall Effect","-","-","I²C, Quadrature","-","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.allegromicro.com/~/media/Files/Datasheets/A1335-Datasheet.ashx,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,620-1766-2-ND,A1335LLETR-T,"Allegro MicroSystems, LLC",SENSOR ANGLE 360DEG SMD,8000,0,"1.98800","0","4000","Tape & Reel (TR)","-","Active","Angle","Hall Effect","0° ~ 360°","-","I²C, SENT, SPI","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
https://www.allegromicro.com/~/media/Files/Datasheets/A1335-Datasheet.ashx,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,620-1766-1-ND,A1335LLETR-T,"Allegro MicroSystems, LLC",SENSOR ANGLE 360DEG SMD,8931,0,"5.31000","0","1","Cut Tape (CT)","-","Active","Angle","Hall Effect","0° ~ 360°","-","I²C, SENT, SPI","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
https://www.allegromicro.com/~/media/Files/Datasheets/A1335-Datasheet.ashx,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14-TSSOP.jpg,620-1766-6-ND,A1335LLETR-T,"Allegro MicroSystems, LLC",SENSOR ANGLE 360DEG SMD,8931,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle","Hall Effect","0° ~ 360°","-","I²C, SENT, SPI","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOMTR-ND,AS5600-ASOM,ams,SENSOR ANGLE 360DEG SMD,58000,0,"2.10820","0","500","Tape & Reel (TR)","-","Active","Angle","Hall Effect","0° ~ 360°","-","Analog Voltage","Clockwise Increase","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOMCT-ND,AS5600-ASOM,ams,SENSOR ANGLE 360DEG SMD,58519,0,"3.66000","0","1","Cut Tape (CT)","-","Active","Angle","Hall Effect","0° ~ 360°","-","Analog Voltage","Clockwise Increase","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://ams.com/documents/20143/36005/AS5600_DS000365_5-00.pdf,//media.digikey.com/Renders/AMS%20Renders/8-SOIC.jpg,AS5600-ASOMDKR-ND,AS5600-ASOM,ams,SENSOR ANGLE 360DEG SMD,58519,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Angle","Hall Effect","0° ~ 360°","-","Analog Voltage","Clockwise Increase","External Magnet, Not Included","-","-","-","3.3V, 5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365KDC-ABD-000-RETR-ND,MLX90365KDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,6000,0,"2.17814","0","3000","Tape & Reel (TR)","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365KDC-ABD-000-RECT-ND,MLX90365KDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,6802,0,"4.59000","0","1","Cut Tape (CT)","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365KDC-ABD-000-REDKR-ND,MLX90365KDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,6802,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365LDC-ABD-000-RETR-ND,MLX90365LDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,9000,0,"2.26034","0","3000","Tape & Reel (TR)","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365LDC-ABD-000-RECT-ND,MLX90365LDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,10888,0,"4.76000","0","1","Cut Tape (CT)","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.melexis.com/-/media/files/documents/datasheets/mlx90365-datasheet-melexis.pdf,//media.digikey.com/Renders/Melexis%20Renders/8-SOIC.jpg,MLX90365LDC-ABD-000-REDKR-ND,MLX90365LDC-ABD-000-RE,Melexis Technologies NV,SENSOR ROTARY 360DEG SMD,10888,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100, Triaxis®","Active","Linear, Rotary Position","Hall Effect","0° ~ 360°, Continuous","-","Analog Voltage","-","External Magnet, Not Included","-","-","-","4.5V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 150°C","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.infineon.com/dgdl/Infineon-TLI5012B+E1000-DS-v01_01-EN.pdf?fileId=5546d4624fb7fef2014ff423fcd077a8,//media.digikey.com/Renders/Infineon%20Renders/PG-DSO-8.jpg,TLI5012BE1000XUMA1TR-ND,TLI5012BE1000XUMA1,Infineon Technologies,SENSOR ANGLE 360DEG SMD,2500,0,"2.70760","0","2500","Tape & Reel (TR)","Automotive, AEC-Q100","Active","Angle","Magnetoresistive","0° ~ 360°, Continuous","-","Wheatstone Bridge","-","External Magnet, Not Included","-","-","-","3V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8"
https://www.infineon.com/dgdl/Infineon-TLI5012B+E1000-DS-v01_01-EN.pdf?fileId=5546d4624fb7fef2014ff423fcd077a8,//media.digikey.com/Renders/Infineon%20Renders/PG-DSO-8.jpg,TLI5012BE1000XUMA1CT-ND,TLI5012BE1000XUMA1,Infineon Technologies,SENSOR ANGLE 360DEG SMD,2641,0,"7.23000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Active","Angle","Magnetoresistive","0° ~ 360°, Continuous","-","Wheatstone Bridge","-","External Magnet, Not Included","-","-","-","3V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8"
https://www.infineon.com/dgdl/Infineon-TLI5012B+E1000-DS-v01_01-EN.pdf?fileId=5546d4624fb7fef2014ff423fcd077a8,//media.digikey.com/Renders/Infineon%20Renders/PG-DSO-8.jpg,TLI5012BE1000XUMA1DKR-ND,TLI5012BE1000XUMA1,Infineon Technologies,SENSOR ANGLE 360DEG SMD,2641,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100","Active","Angle","Magnetoresistive","0° ~ 360°, Continuous","-","Wheatstone Bridge","-","External Magnet, Not Included","-","-","-","3V ~ 5.5V","Surface Mount","Gull Wing","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8"
https://www.bourns.com/docs/Product-Datasheets/3382.pdf,//media.digikey.com/Photos/Bourns%20Photos/3382H.JPG,3382H-1-103-ND,3382H-1-103,Bourns Inc.,SENSOR ROTARY 330DEG PC PIN,13114,0,"2.73000","0","1","Tube","-","Active","Rotary Position","Resistive","0° ~ 330°, Continuous","-","Resistive","Clockwise Increase","Hole for Shaft","±2%","10 kOhms","±30%","-","Through Hole","PC Pin","-40°C ~ 120°C","Module, PC Pins","-"
