Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Output","Resolution (Bits)","Features","Voltage - Supply","Current - Supply (Max)","Operating Temperature","Package / Case"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34725FNCT-ND,TCS34725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,19488,0,"4.11000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34725FNDKR-ND,TCS34725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,19488,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34717-FNTR-ND,TCS34717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,3500,0,"1.27600","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34717-FNCT-ND,TCS34717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,3649,0,"3.39000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3471_DS000109_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_TCS34717-FN.jpg,TCS34717-FNDKR-ND,TCS34717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,3649,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37727FN.jpg,TCS37727FNTR-ND,TCS37727FN,ams,CLR LIGHT/DIGITAL CNVRTR,3500,0,"1.47000","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37727FN.jpg,TCS37727FNCT-ND,TCS37727FN,ams,CLR LIGHT/DIGITAL CNVRTR,3528,0,"3.93000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37727FN.jpg,TCS37727FNDKR-ND,TCS37727FN,ams,CLR LIGHT/DIGITAL CNVRTR,3528,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
http://www.kingbrightusa.com/images/catalog/SPEC/APS5130PD7C-P22.pdf,//media.digikey.com/Photos/Kingbright%20Photos/MFG_APS5130PD7C-P22.jpg,754-2215-2-ND,APS5130PD7C-P22,Kingbright,3.2X1.6MM RGB COLOR SENSOR,0,0,"0.89375","0","1500","-","Active","-","-","-","-","-","-40°C ~ 85°C","4-SMD, No Lead"
http://www.kingbrightusa.com/images/catalog/SPEC/APS5130PD7C-P22.pdf,//media.digikey.com/Photos/Kingbright%20Photos/MFG_APS5130PD7C-P22.jpg,754-2215-1-ND,APS5130PD7C-P22,Kingbright,3.2X1.6MM RGB COLOR SENSOR,1119,0,"2.50000","0","1","-","Active","-","-","-","-","-","-40°C ~ 85°C","4-SMD, No Lead"
http://www.kingbrightusa.com/images/catalog/SPEC/APS5130PD7C-P22.pdf,//media.digikey.com/Photos/Kingbright%20Photos/MFG_APS5130PD7C-P22.jpg,754-2215-6-ND,APS5130PD7C-P22,Kingbright,3.2X1.6MM RGB COLOR SENSOR,1119,0,"Digi-Reel","0","1","-","Active","-","-","-","-","-","-40°C ~ 85°C","4-SMD, No Lead"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34727FNTR-ND,TCS34727FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,0,0,"1.47000","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34727FNCT-ND,TCS34727FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,4061,0,"3.93000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3472_DS000390_2-00.pdf,//media.digikey.com/Renders/AMS%20Renders/TCS34725FN.jpg,TCS34727FNDKR-ND,TCS34727FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,4061,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37725FN.jpg,TCS37725FNTR-ND,TCS37725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,0,0,"1.47000","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37725FN.jpg,TCS37725FNCT-ND,TCS37725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,2629,0,"3.93000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3772_DS000175_3-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37725FN.jpg,TCS37725FNDKR-ND,TCS37725FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,2629,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3210-D-TRTR-ND,TCS3210D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,0,0,"Obsolete","0","1000","-","Obsolete","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3210-D-TRCT-ND,TCS3210D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,598,0,"4.56000","0","1","-","Obsolete","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3210-D-TRDKR-ND,TCS3210D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,598,0,"Digi-Reel","0","1","-","Obsolete","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
https://www.rohm.com/datasheet/BH1749NUC/bh1749nuc-e,//media.digikey.com/Photos/Rohm%20Photos/BH1749NUC-E2.JPG,BH1749NUC-E2TR-ND,BH1749NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,0,0,"1.21940","0","4000","-","Active","I²C","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
https://www.rohm.com/datasheet/BH1749NUC/bh1749nuc-e,//media.digikey.com/Photos/Rohm%20Photos/BH1749NUC-E2.JPG,BH1749NUC-E2CT-ND,BH1749NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,7,0,"3.35000","0","1","-","Active","I²C","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
https://www.rohm.com/datasheet/BH1749NUC/bh1749nuc-e,//media.digikey.com/Photos/Rohm%20Photos/BH1749NUC-E2.JPG,BH1749NUC-E2DKR-ND,BH1749NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,7,0,"Digi-Reel","0","1","-","Active","I²C","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3200D-TRTR-ND,TCS3200D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,0,0,"1.85600","0","1000","-","Active","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3200D-TRCT-ND,TCS3200D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,93,0,"4.79000","0","1","-","Active","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/TCS3200,210.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,TCS3200D-TRDKR-ND,TCS3200D-TR,ams,IC COLOR SENSOR LIGHT-FREQ 8SOIC,93,0,"Digi-Reel","0","1","-","Active","Frequency","-","Auto Power Down","2.7V ~ 5.5V","2mA @ 5V","-40°C ~ 85°C","8-SOIC (0.154"", 3.90mm Width)"
https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37717FN.jpg,TCS37717FNTR-ND,TCS37717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,0,0,"1.45600","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37717FN.jpg,TCS37717FNCT-ND,TCS37717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,0,0,"3.89000","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/TCS37717FN.jpg,TCS37717FNDKR-ND,TCS37717FN,ams,IC COLOR CONV LIGHT-DGTL 6-DFN,0,0,"Digi-Reel","0","1","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.6V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
http://rohmfs.rohm.com/en/products/databook/catalog/common/sf/SFC2018_E_AllPage.pdf#page=104,-,BH1747NUC-E2TR-ND,BH1747NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,0,0,"1.21800","0","4000","-","Not For New Designs","-","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
http://rohmfs.rohm.com/en/products/databook/catalog/common/sf/SFC2018_E_AllPage.pdf#page=104,-,BH1747NUC-E2CT-ND,BH1747NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","-","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
http://rohmfs.rohm.com/en/products/databook/catalog/common/sf/SFC2018_E_AllPage.pdf#page=104,-,BH1747NUC-E2DKR-ND,BH1747NUC-E2,Rohm Semiconductor,DIGITAL 16BIT SERIAL OUTPUT TYPE,0,0,"Digi-Reel","0","1","-","Discontinued at Digi-Key","-","16 b","-","2.3V ~ 3.6V","295µA","-40°C ~ 85°C","8-UFDFN Exposed Pad"
https://ams.com/documents/20143/36005/TCS3771_DS000341_2-00.pdf,-,TCS37715FN-ND,TCS37715FN,ams,IC LIGHT TO DGTL CONV 6DFN,0,0,"1.45600","0","3500","-","Active","I²C","16 b","Gain Control, Interrupt, Proximity Detection, Sleep Mode","2.7V ~ 3.3V","330µA @ 3V","-30°C ~ 70°C","6-SMD Module"
http://www.intersil.com/content/dam/Intersil/documents/isl2/isl29125.pdf,//media.digikey.com/Renders/Fox%20Elect%20Renders/FXO-PC735RGB.jpg,ISL29125IROZ-T7-ND,ISL29125IROZ-T7,Renesas Electronics America Inc.,IC SENSOR LIGHT-DGTL I2C 6-ODFN,0,0,"1.48400","0","3000","-","Active","I²C","16 b","Interrupt, Auto Power Down","2.25V ~ 3.63V","85µA @ 3V","-40°C ~ 85°C","6-WFDFN"
//media.digikey.com/pdf/Data%20Sheets/~No%20Display/Intersil%20PDFs/ISL29124.pdf,-,ISL29124IROZ-T7-ND,ISL29124IROZ-T7,Renesas Electronics America Inc.,IC SENSOR LIGHT-DGTL I2C,0,0,"1.53700","0","1000","-","Active","I²C","16 b","Interrupt, Auto Power Down","2.25V ~ 3.63V","85µA @ 3V","-40°C ~ 85°C","6-VFDFN"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG21-ND,E3M-VG21,Omron Automation and Safety,COLOR MARK W/TEACH NPN HORZ,0,0,"374.14000","0","1","-","Active","NPN","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG11-ND,E3M-VG11,Omron Automation and Safety,COLOR MARK W/TEACH NPN VERT,0,0,"391.84000","0","1","-","Active","NPN","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG12-ND,E3M-VG12,Omron Automation and Safety,CONVERGENT PNP CABLE 1 X 4MM,0,0,"391.84000","0","1","-","Active","PNP","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG16-ND,E3M-VG16,Omron Automation and Safety,COLOR MARK W/TEACH PNP VERT,0,0,"391.84000","0","1","-","Active","PNP","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG17-ND,E3M-VG17,Omron Automation and Safety,CONVERGENT NPN CABLE 1 X 4MM,0,0,"391.84000","0","1","-","Active","NPN","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG22-ND,E3M-VG22,Omron Automation and Safety,CONVERGENT PNP CABLE 4 X 1MM,0,0,"391.84000","0","1","-","Active","PNP","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG26-ND,E3M-VG26,Omron Automation and Safety,COLOR MARK W/TEACH PNP HORZ,0,0,"391.84000","0","1","-","Active","PNP","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3M-V.pdf,-,E3M-VG27-ND,E3M-VG27,Omron Automation and Safety,CONVERGENT NPN CABLE 4 X 1MM,0,0,"391.84000","0","1","-","Active","NPN","-","-","10V ~ 30V","100mA @ 10V ~ 30V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3ML.pdf,-,E3ML-M8F4-G-ND,E3ML-M8F4-G,Omron Automation and Safety,PHOTO COLOR MARK,0,0,"451.96000","0","1","-","Active","PNP","-","-","10V ~ 30V","40mA @ 10V ~ 30V","-10°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3ML.pdf,-,E3ML-XE4-G-ND,E3ML-XE4-G,Omron Automation and Safety,PHOTO MARK SENSOR,0,0,"451.96000","0","1","-","Active","NPN","-","-","10V ~ 30V","40mA @ 10V ~ 30V","-10°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3ML.pdf,-,E3ML-S2E4-G-ND,E3ML-S2E4-G,Omron Automation and Safety,PHOTO MARK SENSOR,0,0,"461.96000","0","1","-","Active","NPN","-","-","10V ~ 30V","40mA @ 10V ~ 30V","-10°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3ML.pdf,-,E3ML-XF4-G-ND,E3ML-XF4-G,Omron Automation and Safety,PHOTO MARK SENSOR,0,0,"480.95000","0","1","-","Active","PNP","-","-","10V ~ 30V","40mA @ 10V ~ 30V","-10°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3ML.pdf,-,E3ML-S2F4-G-ND,E3ML-S2F4-G,Omron Automation and Safety,PHOTO MARK SENSOR,0,0,"622.01000","0","1","-","Active","PNP","-","-","10V ~ 30V","40mA @ 10V ~ 30V","-10°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-A11-ND,E3MC-A11,Omron Automation and Safety,RGB BUILT-IN AMP NPN OUTPUT TYP,0,0,"1271.71000","0","1","-","Active","NPN","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-A41-ND,E3MC-A41,Omron Automation and Safety,RGB BUILT-IN AMP PNP OUTPUT TYP,0,0,"1271.71000","0","1","-","Active","PNP","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-Y11-ND,E3MC-Y11,Omron Automation and Safety,COLOR 1-CHANNEL GP FIBER NPN,0,0,"1271.71000","0","1","-","Active","NPN","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3MC%20RGB%20Color%20Sensor.pdf,-,E3MC-MA11-NR-ND,E3MC-MA11-NR,Omron Automation and Safety,RGB BUILT-IN APM NPN 4 OUTPUT,0,0,"1411.13000","0","1","-","Active","NPN","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-MA41-ND,E3MC-MA41,Omron Automation and Safety,RGB BUILT-IN AMP PNP 4 OUTPUT,0,0,"1411.13000","0","1","-","Active","PNP","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-MY11-ND,E3MC-MY11,Omron Automation and Safety,COLOR 4-CHANNEL GP FIBER NPN,0,0,"1411.13000","0","1","-","Active","NPN","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
https://downloads.omron.eu/IAB/Products/Sensing/Photoelectric%20Sensors/Special%20Models/E3MC/E256/E256-E2-04A-X+E3MC+Datasheet.pdf,-,E3MC-MY41-ND,E3MC-MY41,Omron Automation and Safety,COLOR 4-CHANNEL GP FIBER PNP,0,0,"1411.13000","0","1","-","Active","PNP","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E3MC%20RGB%20Color%20Sensor.pdf,-,E3MC-Y812M-ND,E3MC-Y81 2M,Omron Automation and Safety,ANALOG COLOR PES GENERAL,0,0,"1901.90000","0","1","-","Active","Voltage, RGB","-","-","12V ~ 24V","100mA @ 12V ~ 24V","-20°C ~ 55°C","Box"
