Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Output Type","Output Configuration","Current","Minimum Liquid Specific Gravity","Switch Actuation Level","Mounting Type","Material - Housing & Prism","Operating Temperature","Voltage Rating"
https://www.cynergy3.com/sites/default/files/TSF40%202016_1.pdf,"//media.digikey.com/photos/Crydom%20Photos/RSF44Y100RF,%20RSF84Y100R.jpg",725-1151-ND,TSF44Y100DF,Cynergy 3,THERMISTOR FLOAT SWITCH PP .6A,940,0,"24.61000","0","1","TSF40","Active","Liquid, Temperature","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.3149"", 0.4641"" (8mm, 20mm)","Panel Mount, M16x2 Thread","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF40%202016_3.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_RSF47Y100Gx.jpg,725-1543-ND,RSF47Y100GF,Cynergy 3,FLOAT SENS LIQ SPST-NC/NO .6A,105,0,"35.73000","0","1","RSF40","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","1.654"" (42mm)","Panel Mount, M16x2 Thread","Polyvinylidene Fluoride (PVDF)","-10°C ~ 105°C","300VAC, 300VDC"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/safety/catalog/sq4_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SQ4-A22-N.jpg,1110-4031-ND,SQ4-A22-N,Panasonic Industrial Automation Sales,SENSOR FOR CHEMICAL LIQUID NPN,91,0,"240.00000","0","1","SQ4","Active","Liquid","-","NPN","-","-","-","Bracket Mount","PFA","-10°C ~ 55°C","12 ~ 24 V"
https://www.pic-gmbh.com/files/pls041a3pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PAI.jpg,2010-1043-ND,PLS-041A-3PAI,PIC GmbH,STANDARD LEVEL SENSOR,500,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NO","1A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls051b3ppi_ds_e_1.3.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-051A-3PPI.jpg,2010-1057-ND,PLS-051B-3PPI,PIC GmbH,STANDARD LEVEL SENSOR,500,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NC","1A","-","1.811"" (46mm)","Threaded","Polyoxymethylene (POM)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls031b3pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PAI.jpg,2010-1039-ND,PLS-031B-3PAI,PIC GmbH,MINIATURE LEVEL SENSOR,499,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NC","1A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls051a3ppi_ds_e_1.5.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-051A-3PPI.jpg,2010-1055-ND,PLS-051A-3PPI,PIC GmbH,STANDARD LEVEL SENSOR,499,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NO","500mA","-","1.811"" (46mm)","Threaded","Polyoxymethylene (POM)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls031a3pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PAI.jpg,2010-1035-ND,PLS-031A-3PAI,PIC GmbH,MINIATURE LEVEL SENSOR,498,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NO","1A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls020a3ppi_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-020A-3PPI.jpg,2010-1033-ND,PLS-020A-3PPI,PIC GmbH,WORLD'S SMALLEST MAGNETIC LEVEL,497,0,"4.42000","0","1","-","Active","Liquid, Powder","Switch","SPST-NO","700mA","-","0.768"" (19.5mm)","Panel Mount, M8x1.25 Thread","Polypropylene (PP)","-20°C ~ 80°C","180V"
https://www.pic-gmbh.com/files/pls041b3pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PAI.jpg,2010-1047-ND,PLS-041B-3PAI,PIC GmbH,STANDARD LEVEL SENSOR,497,0,"4.42000","0","1","-","Active","Liquid","Switch","SPST-NC","1A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","200V"
https://www.pic-gmbh.com/files/pls020b3ppi_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-020B-3PPI.jpg,2010-1034-ND,PLS-020B-3PPI,PIC GmbH,WORLD'S SMALLEST MAGNETIC LEVEL,495,0,"4.42000","0","1","-","Active","Liquid, Powder","Switch","SPST-NC","700mA","-","0.768"" (19.5mm)","Panel Mount, M8x1.25 Thread","Polypropylene (PP)","-20°C ~ 80°C","180V"
https://www.pic-gmbh.com/files/pls041b6ppi_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PPI.jpg,2010-1050-ND,PLS-041B-6PPI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.10000","0","1","-","Active","Liquid, Powder","Switch","SPST-NC","1.5A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polypropylene (PP)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls041a6ppi_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PPI.jpg,2010-1046-ND,PLS-041A-6PPI,PIC GmbH,POWER LEVEL SENSOR,499,0,"5.10000","0","1","-","Active","Liquid, Powder","Switch","SPST-NO","1.5A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polypropylene (PP)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls031b6ppi_ds_e_5.3.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PPI.jpg,2010-1042-ND,PLS-031B-6PPI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.44000","0","1","-","Active","Liquid, Powder","Switch","SPST-NC","1.5A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polypropylene (PP)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls031a6ppi_ds_e_5.3.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PPI.jpg,2010-1038-ND,PLS-031A-6PPI,PIC GmbH,POWER LEVEL SENSOR,499,0,"5.44000","0","1","-","Active","Liquid","Switch","SPST-NO","1.5A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polypropylene (PP)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls041a6pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PAI.jpg,2010-1045-ND,PLS-041A-6PAI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.61000","0","1","-","Active","Liquid","Switch","SPST-NO","1.5A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls041b6pai_ds_e_5.1.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-041A-3PAI.jpg,2010-1049-ND,PLS-041B-6PAI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.61000","0","1","-","Active","Liquid","Switch","SPST-NC","1.5A","-","1.614"" (41mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls051a6ppi_ds_e_1.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-051A-3PPI.jpg,2010-1056-ND,PLS-051A-6PPI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.61000","0","1","-","Active","Liquid","Switch","SPST-NO","1.5A","-","1.811"" (46mm)","Threaded","Polyoxymethylene (POM)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls051b6ppi_ds_e_1.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-051A-3PPI.jpg,2010-1058-ND,PLS-051B-6PPI,PIC GmbH,POWER LEVEL SENSOR,500,0,"5.61000","0","1","-","Active","Liquid","Switch","SPST-NC","1.5A","-","1.811"" (46mm)","Threaded","Polyoxymethylene (POM)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls031a6pai_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PAI.jpg,2010-1037-ND,PLS-031A-6PAI,PIC GmbH,POWER LEVEL SENSOR,500,0,"6.12000","0","1","-","Active","Liquid","Switch","SPST-NO","1.5A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","250VAC"
https://www.pic-gmbh.com/files/pls031b6pai_ds_e_5.2.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-031A-3PAI.jpg,2010-1041-ND,PLS-031B-6PAI,PIC GmbH,POWER LEVEL SENSOR,500,0,"6.12000","0","1","-","Active","Liquid","Switch","SPST-NC","1.5A","-","1.22"" (31mm)","Panel Mount, M8 Thread","Polyamide (PA)","-20°C ~ 80°C","250VAC"
https://www.littelfuse.com/~/media/electronics/datasheets/reed_sensors/littelfuse_reed_sensors_59630_datasheet.pdf.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/59630-1-T-02-A.jpg,F8100-ND,59630-4-T-02-F,Littelfuse Inc.,REED SENSOR W/INTEGRAL FLOAT,357,0,"7.13000","0","1","59630","Active","Liquid","Switch (Single Float)","SPST-NC","500mA","-","0.2"" (5.08 mm)","Panel Mount, M8 Thread","-","-40°C ~ 105°C","200VDC"
https://www.pic-gmbh.com/files/pls092a3pph_ds_e_1.7.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-092A-3PPH.jpg,2010-1067-ND,PLS-092A-3PPH,PIC GmbH,HORIZONTAL LEVEL SENSOR,249,0,"8.16000","0","1","-","Active","Liquid","Switch","SPST-NO","1A","-","2.126"" (54mm)","Panel Mount, M16 Thread","Polypropylene (PP)","-20°C ~ 65°C","200V"
https://www.pic-gmbh.com/files/pls092a6pph_ds_e_1.0.pdf,//media.digikey.com/photos/PIC-GMBH/MFG_PLS-092A-3PPH.jpg,2010-1068-ND,PLS-092A-6PPH,PIC GmbH,HORIZONTAL POWER LEVEL SENSOR,248,0,"9.18000","0","1","-","Active","Liquid","Switch","SPST-NO","1.5A","-","2.126"" (54mm)","Panel Mount, M16 Thread","Polypropylene (PP)","-20°C ~ 65°C","250VAC"
https://www.cynergy3.com/sites/default/files/RSF80%202016.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_RSF80%20Series.jpg,725-1130-ND,RSF84H100R,Cynergy 3,FLOATSWITCH HORZ 1A NO/NC POLY,418,0,"19.58000","0","1","RSF80","Active","Liquid","Switch (Single Float)","SPST-NC/NO","1A","0.85","0.787"" (20mm)","Male 1/2"" (12.7mm) NPT","Polypropylene (PP)","-20°C ~ 100°C","300VAC, 300VDC"
-,//media.digikey.com/Photos/Cynergy%203/MFG_RSF70%20Series.jpg,725-1635-ND,RSF78Y100RM,Cynergy 3,FLOATSWITCH HORZ .6A NO/NC NYLON,3231,0,"23.81000","0","1","RSF70","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.8","0.787"" (20mm)","Panel Mount, M16x2 Thread","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF50%202016_1.pdf,//media.digikey.com/Photos/Cynergy%203/RSF56Y064K1%5E8-004.jpg,725-1610-ND,RSF56Y064K1/8-004,Cynergy 3,FLOATSWITCH VERT .6A NO/NC PPS,102,0,"30.36000","0","1","RSF50","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.807"" (20.5mm)","Male 1/8"" (3.18mm) NPT","Polyphenylene Sulphide (PPS)","-10°C ~ 120°C","120VDC, 240VAC"
//media.digikey.com/pdf/Data%20Sheets/Audiowell%20PDFs/UM0034-000.pdf,//media.digikey.com/Photos/Audiowell-International-LLC/MFG_UM0034.JPG,1922-1001-ND,UM0034,Audiowell International LLC,ULTRASONIC TOP LEVEL SENSOR,108,0,"44.00000","0","1","-","Active","Liquid","Resistive","-","12mA","-","-","Panel Mount","-","0°C ~ 85°C","5V"
https://www.cynergy3.com/sites/default/files/LITTLE-EX-2015.pdf,//media.digikey.com/Photos/Cynergy%203/Little%20EX%20SERIES.JPG,725-1275-ND,LITTLE-EX-10M,Cynergy 3,FLT SW FOR HAZARD AREA 10M CABLE,30,0,"179.57000","0","1","Little EX","Active","Liquid","Switch (Single Float)","SPDT","21.4mA","-","-","Cable Mount","High Density Polyethylene (PEHD)","0°C ~ 55°C","9.6V"
https://radiobridge.com/documents/Wireless%20Water%20Sensor%20User%20Guide.pdf,//media.digikey.com/photos/Radio-Bridge-Inc/RBS301-WAT-US.jpg,2027-1012-ND,RBS301-WAT-US,Radio Bridge Inc.,LORAWAN WATER SENSOR,92,0,"94.40000","0","1","-","Active","Liquid","-","-","-","-","-","-","-","-30°C ~ 70°C","-"
https://www.cynergy3.com/sites/default/files/RSF80%202016.pdf,"//media.digikey.com/photos/Crydom%20Photos/RSF43Y100RF,%20RSF83Y100R.jpg",725-1008-ND,RSF83Y100R,Cynergy 3,FLOATSWITCH HORZ .6A NYLON,78,0,"14.86000","0","1","RSF80","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.787"" (20mm)","Male 1/2"" (12.7mm) NPT","Nylon","-20°C ~ 75°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF40%202016_3.pdf,"//media.digikey.com/photos/Crydom%20Photos/RSF43Y100RF,%20RSF83Y100R.jpg",725-1002-ND,RSF43Y100RF,Cynergy 3,FLOATSWITCH HORZ .6A NYLON,29,0,"16.32000","0","1","RSF40","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.787"" (20mm)","Panel Mount, M16x2 Thread","Nylon","-20°C ~ 75°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF40%202016_3.pdf,"//media.digikey.com/photos/Crydom%20Photos/RSF44Y100RF,%20RSF84Y100R.jpg",725-1110-ND,RSF48Y100RF,Cynergy 3,FLOATSWITCH HORZ .6A NO/NC PP,91,0,"17.26000","0","1","RSF40","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.8","0.787"" (20mm)","Panel Mount, M16x2 Thread","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF40%202016_3.pdf,"//media.digikey.com/photos/Crydom%20Photos/RSF44Y100RF,%20RSF84Y100R.jpg",725-1003-ND,RSF44Y100RF,Cynergy 3,FLOATSWITCH HORZ .6A POLYPROP,68,0,"17.26000","0","1","RSF40","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.787"" (20mm)","Panel Mount, M16x2 Thread","Polypropylene (PP)","-20°C ~ 100°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF80%202016.pdf,//media.digikey.com/Photos/Cynergy%203/RSF86Y100R.JPG,725-1010-ND,RSF86Y100R,Cynergy 3,FLOATSWITCH HORZ .6A NO/NC PPS,94,0,"18.74000","0","1","RSF80","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.945"" (24mm)","Male 1/2"" (12.7mm) NPT","Polyphenylene Sulphide (PPS)","-10°C ~ 120°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/RSF40%202016_3.pdf,//media.digikey.com/photos/Cynergy%203/RSF46Y100RF.JPG,725-1004-ND,RSF46Y100RF,Cynergy 3,FLOATSWITCH HORZ .6A NC/NO PPS,95,0,"19.55000","0","1","RSF40","Active","Liquid","Switch (Single Float)","SPST-NC/NO","600mA","0.85","0.945"" (24mm)","Panel Mount, M16x2 Thread","Polyphenylene Sulphide (PPS)","-10°C ~ 120°C","120VDC, 240VAC"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS7.pdf,//media.digikey.com/Photos/Cynergy%203/OLS7%20SERIES%20Open%20Drain.JPG,725-1289-ND,OLS700D3SH,Cynergy 3,OPT LIQ LVL SENS 1/4 NPT MNT HI,85,0,"38.64000","0","1","OLS7","Active","Liquid","Push-Pull","High-Dry","2.5mA","-","-","1/4"" NPT and 3/8"" Conduit","Polysulfone","-25°C ~ 80°C","5 V ~ 15 V"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS5.pdf,//media.digikey.com/Photos/Cynergy%203/OLS5%20SERIES.JPG,725-1285-ND,OLS500D3L,Cynergy 3,OPT LIQUID LVL SENSOR M10 MNT LW,7,0,"38.64000","0","1","OLS5","Active","Liquid","Push-Pull","Low-Dry","2.5mA","-","-","Threaded","Polysulfone (PES)","-25°C ~ 80°C","5 V ~ 15 V"
https://www.cynergy3.com/sites/default/files/OLS2%202015.pdf,//media.digikey.com/Photos/Cynergy%203/OLS2%20SERIES%20Voltage.JPG,725-1506-ND,OLS210D3SH,Cynergy 3,FLOAT SENS LIQ PUSH-PULL 2.5MA,0,0,"44.78000","0","1","OLS2","Active","Liquid","Push-Pull","High-Dry","2.5mA","-","-","Threaded","Polysulfone","-40°C ~ 125°C","5 V ~ 15 V"
https://www.cynergy3.com/sites/default/files/RSF66%202017.pdf,//media.digikey.com/Photos/Cynergy%203/RSF66A25B75.jpg,725-1076-ND,RSF66A25B75,Cynergy 3,FLOATSWITCH VERT 25VA SGL 120MM,23,0,"44.81000","0","1","RSF66","Active","Liquid","Switch (2) (Single Float)","SPST-NC/NO","600mA","0.85","1.181"", 2.953"" (30mm, 75mm)","Panel Mount, M16x2 Thread","Polypropylene Sulphide (PPS)","-10°C ~ 85°C","120VDC, 240VAC"
http://www.sstsensing.com/wp-content/uploads/2017/08/DS0143rev3_LLHoneywell-Alternatives-StdTemp.pdf,//media.digikey.com/Photos/SST-Sensing/MFG_Optomax-Digital.jpg,1921-1001-ND,LLC102000,SST Sensing Ltd.,LIQUID LEVEL SENSOR,83,0,"50.00000","0","1","-","Active","Liquid","Digital","Push-Pull","2.5mA","-","-","Threaded","Polysulfone (PES)","-25°C ~ 80°C","4.5 V ~ 15.4 V"
http://www.sstsensing.com/product/honeywell-lle-series-liquid-level-switches/,//media.digikey.com/Photos/SST-Sensing/LLC101101.JPG,1921-1004-ND,LLC101101,SST Sensing Ltd.,LIQUID LEVEL SENSOR,42,0,"56.00000","0","1","-","Active","Liquid","Digital","Push-Pull","2.5mA","-","-","Threaded","Polysulfone (PES)","-40°C ~ 125°C","4.5 V ~ 15.4 V"
https://www.cynergy3.com/sites/default/files/product-data-sheets/OLS7.pdf,//media.digikey.com/Photos/Cynergy%203/OLS7%20SERIES%20Open%20Drain.JPG,725-1291-ND,OLS710D3L24-003,Cynergy 3,OPT LIQ LVL SENS 1/4 NPT MNT LW,26,0,"81.21000","0","1","OLS7","Active","Liquid","Open Drain","Low-Dry","2.5mA","-","-","1/4"" NPT and 3/8"" Conduit","Polysulfone","-40°C ~ 125°C","10 ~ 28 VDC"
