Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Amplifier Type","Voltage - Supply","Output Type","Current - Supply","Operating Temperature","Mounting Type"
http://www.redlion.net/files/213/5154,//media.digikey.com/photos/Red%20Lion%20Photos/ASTC0000.jpg,RLC207-ND,ASTC0000,Red Lion Controls,IN-LINE AMPLIFIER NPN O.C.,8,0,"86.11000","0","1","-","Active","Standard","9V ~ 30V","NPN - Open Collector","25mA","-18°C ~ 60°C (TA)","Through Hole"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-100_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-102-CC2.JPG,1110-1904-ND,FX-102-CC2,Panasonic Industrial Automation Sales,SENSOR OPTIC NPN 12-24VDC 2M CBL,27,16,"87.60000","0","1","-","Active","Standard","12V ~ 24V","NPN - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fiberguide_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-101P-CC2.JPG,1110-2185-ND,FX-101P-CC2,Panasonic Industrial Automation Sales,SENSOR FIBER PNP W/CONN CABLE 2M,23,10,"87.60000","0","1","-","Active","Standard","12V ~ 24V","PNP - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
http://downloads.omron.eu/IAB/Products/Sensing/Fiber%20Optic%20Sensors/Digital%20Fiber%20Optic%20Amplifiers/E3X-HD/E88E/E3X-HD_DS_E_6_1_(E88E).pdf,-,Z3763-ND,E3X-HD11 2M,Omron Automation and Safety,"SMART PWR, HI LED, CBL, NPN",11,118,"191.52000","0","1","E3X-HD","Active","Standard","12V ~ 24V","NPN - Open Collector","60mA","-25°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-505P-C2.jpg,1110-1661-ND,FX-505P-C2,Panasonic Industrial Automation Sales,DGTL FIBER SENS ANALOG 2-PNP OUT,8,0,"210.00000","0","1","FX-500","Active","Fiber Amp","12V ~ 24V","Analog","40mA","-10°C ~ 55°C (TA)","DIN Rail"
http://www.ia.omron.com/data_pdf/cat/e3c_ds_e_11_2_csm418.pdf,//media.digikey.com/Photos/Omron%20Auto/E3C-JC4P.jpg,Z12082-ND,E3C-JC4P,Omron Automation and Safety,AMPLIF TIMER NPN OUTPUT RAIL-MT,5,30,"236.88000","0","1","E3C","Active","Standard","12V ~ 24V","NPN","50mA","-10°C ~ 55°C (TA)","DIN Rail"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fiberguide_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-101P.JPG,1110-1901-ND,FX-101P,Panasonic Industrial Automation Sales,SENSOR OPTIC PNP 12-24VDC,58,2,"84.70000","0","1","-","Active","Standard","12V ~ 24V","PNP - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-100_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-102P-CC2.JPG,1110-1905-ND,FX-102P-CC2,Panasonic Industrial Automation Sales,SENSOR OPTIC PNP 12-24VDC 2M CBL,6,0,"87.60000","0","1","-","Active","Standard","12V ~ 24V","PNP - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/GA-2D.JPG,1110-2689-ND,GA-2D,Panasonic Industrial Automation Sales,INDUCTIVE AMP FOR GS 90-260VAC,3,0,"98.10000","0","1","-","Active","Analog Output","10V ~ 28V","Analog","-","-10°C ~ 60°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fiberguide_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-101-Z.JPG,1110-1903-ND,FX-101-Z,Panasonic Industrial Automation Sales,SENSOR OPTIC NPN 12-24VDC,9,0,"105.20000","0","1","-","Active","Standard","12V ~ 24V","NPN - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fiberguide_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-101P-Z.JPG,1110-1902-ND,FX-101P-Z,Panasonic Industrial Automation Sales,SENSOR OPTIC PNP 12-24VDC,5,0,"105.20000","0","1","-","Active","Standard","12V ~ 24V","PNP - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-100_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-102-Z.JPG,1110-1906-ND,FX-102-Z,Panasonic Industrial Automation Sales,SENSOR OPTIC NPN 12-24VDC,3,0,"105.20000","0","1","-","Active","Standard","12V ~ 24V","NPN - Open Collector","30mA","-10°C ~ 55°C (TA)","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/GA-2R.JPG,1110-2690-ND,GA-2R,Panasonic Industrial Automation Sales,INDUCT AMP GS 10-28VDC NPN/PNP,4,0,"115.70000","0","1","-","Active","Analog Output","90V ~ 260V","NPN / PNP","-","-10°C ~ 60°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/su-7_sh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SU-7PJ.jpg,1110-2870-ND,SU-7PJ,Panasonic Industrial Automation Sales,PNP AUTO-TEACHING AMP Q.D,10,0,"146.00000","0","1","SU-7/SH","Active","Standard","12V ~ 24V","PNP","35mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/su-7_sh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SU-7J.jpg,1110-2868-ND,SU-7J,Panasonic Industrial Automation Sales,NPN AUTO-TEACHING AMP Q.D,4,0,"146.00000","0","1","SU-7/SH","Active","Standard","12V ~ 24V","NPN","35mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/su-7_sh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SU-7P.jpg,1110-2869-ND,SU-7P,Panasonic Industrial Automation Sales,PNP AUTO-TEACHING AMP,4,0,"146.00000","0","1","SU-7/SH","Active","Standard","12V ~ 24V","PNP","35mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fx-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FX-502P.jpg,1110-1659-ND,FX-502P,Panasonic Industrial Automation Sales,DIGITAL FIBER AMP PNP 2 OUTPUTS,13,0,"180.00000","0","1","FX-500","Active","Fiber Amp","12V ~ 24V","Analog","40mA","-10°C ~ 55°C (TA)","DIN Rail"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/su-7_sh_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/SU-77.jpg,1110-2867-ND,SU-77,Panasonic Industrial Automation Sales,NPN AUTO-TEACHING REMOTE AMP,19,0,"186.90000","0","1","SU-7/SH","Active","Remote Sensitivity","12V ~ 24V","NPN","35mA","-10°C ~ 55°C (TA)","-"
http://downloads.omron.eu/IAB/Products/Sensing/Fiber%20Optic%20Sensors/Digital%20Fiber%20Optic%20Amplifiers/E3X-HD/E88E/E3X-HD_DS_E_6_1_(E88E).pdf,//media.digikey.com/Photos/Omron%20Auto/E3X-HD8.JPG,Z3766-ND,E3X-HD8,Omron Automation and Safety,"SMART PWR, CONNECTOR, NPN",16,0,"191.52000","0","1","E3X-HD","Active","Standard","12V ~ 24V","PNP - Open Collector","60mA","-25°C ~ 55°C (TA)","-"
http://downloads.omron.eu/IAB/Products/Sensing/Fiber%20Optic%20Sensors/Digital%20Fiber%20Optic%20Amplifiers/E3X-HD/E88E/E3X-HD_DS_E_6_1_(E88E).pdf,//media.digikey.com/Photos/Omron%20Auto/E3X-HD44.jpg,SW1854-ND,E3X-HD44,Omron Automation and Safety,E3X-HD44 WITH M8 CONNECTOR,11,71,"191.52000","0","1","E3X-HD","Active","Standard","12V ~ 24V","PNP - Open Collector","60mA","-25°C ~ 55°C (TA)","-"
http://downloads.omron.eu/IAB/Products/Sensing/Fiber%20Optic%20Sensors/Digital%20Fiber%20Optic%20Amplifiers/E3X-HD/E88E/E3X-HD_DS_E_6_1_(E88E).pdf,//media.digikey.com/Photos/Omron%20Auto/E3X-HD14.jpg,SW1853-ND,E3X-HD14,Omron Automation and Safety,E3X-HD11 WITH M8 CONNECTOR,3,85,"191.52000","0","1","E3X-HD","Active","Standard","12V ~ 24V","PNP - Open Collector","60mA","-25°C ~ 55°C (TA)","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/FX-11A.JPG,1110-1907-ND,FX-11A,Panasonic Industrial Automation Sales,SENSOR ANALOG 1-5V 12-24VDC,6,0,"196.30000","0","1","-","Active","Standard","12V ~ 24V","Analog","35mA","-10°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/ls-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LS-501-C2.jpg,1110-3464-ND,LS-501-C2,Panasonic Industrial Automation Sales,DIGITAL LASER AMP CBL TYPE NPN,5,0,"270.00000","0","1","LS","Active","General Purpose","12V ~ 24V","NPN - Open Collector","50mA","-10°C ~ 55°C (TA)","Bracket Mount"
http://www.beisensors.com/pdfs/antidither.pdf,//media.digikey.com/Photos/BEI%20Sensors/EM-DR1-AD-24-TB-28V%5EV.jpg,1724-1155-ND,EM-DR1-AD-24-TB-28V/V,Sensata-BEI Sensors,OPTICAL ISOLATOR MODULE DUAL,7,0,"365.04000","0","1","-","Active","External Input","28V","Digital","-","-","DIN Rail"
http://www.beisensors.com/pdfs/intrinsic_safety_barrier.pdf,//media.digikey.com/Photos/BEI%20Sensors/EM-DR1-IS-5-RTB-28V%5EOC.jpg,1724-1154-ND,EM-DR1-IS-5-RTB-28V/OC,Sensata-BEI Sensors,OPTICAL ISOLATOR MODULE DUAL,8,0,"698.28000","0","1","-","Active","External Input","28V","NPN - Open Collector","-","-","DIN Rail"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fz-10_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FZ-11.jpg,1110-2686-ND,FZ-11,Panasonic Industrial Automation Sales,FIBER SENSOR AMPLIFIER PNP,4,0,"723.80000","0","1","FZ-10","Active","Analog Output","12V ~ 24V","NPN - Open Collector","45mA","-10°C ~ 55°C (TA)","Chassis Mount"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/fiber/catalog/fz-10_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FZ-11P.jpg,1110-2687-ND,FZ-11P,Panasonic Industrial Automation Sales,FIBER SENSOR AMPLIFIER NPN,4,0,"723.80000","0","1","FZ-10","Active","Analog Output","12V ~ 24V","PNP - Open Collector","45mA","-10°C ~ 55°C (TA)","Chassis Mount"
-,//media.digikey.com/Photos/Panasonic%20Photos/GA-2.JPG,1110-2688-ND,GA-2,Panasonic Industrial Automation Sales,INDUCTIVE AMP FOR GS 90-260VAC,11,0,"107.50000","0","1","-","Active","Analog Output","90V ~ 260V","Analog","-","-10°C ~ 60°C (TA)","-"
http://www.beisensors.com/pdfs/broadcaster.pdf,//media.digikey.com/Photos/BEI%20Sensors/MFG_60011-0xx.jpg,1724-1062-ND,BX-5-IC/5-IC/5-IC/5-IC/5,Sensata-BEI Sensors,BROADCASTER WITH OPTICAL ISOLATO,3,0,"725.76000","0","1","-","Active","External Input","5V ~ 28V","Analog","125mA","-","DIN Rail"
http://www.vishaypg.com/docs/11042/mr-series.pdf,//media.digikey.com/Photos/Micro-Measurements/MMF011362.JPG,1033-1040-ND,MMF011362,Micro-Measurements (Division of Vishay Precision Group),MR1-10C-129 BRIDGE COMP MODULE(1,34,0,"95.38000","0","1","MR","Active","General Purpose","0.5V ~ 30V","-","-","-45°C ~ 120°C","-"
https://industrial.panasonic.com/ac/cdn/e/fasys/sensor/fiber/catalog/iolink_sensor_e_cata.pdf,-,1110-4324-ND,FX-551L3-P-C2,Panasonic Industrial Automation Sales,DIGITAL FIBER AMP I/O LINK PNP,4,0,"125.97000","0","1","FX-550L","Active","Fiber Amp","12V ~ 24V","PNP - Open Collector","40mA","-10°C ~ 55°C","Bracket Mount"
https://industrial.panasonic.com/ac/cdn/e/fasys/sensor/fiber/catalog/iolink_sensor_e_cata.pdf,-,1110-4325-ND,FX-551L3-P-J,Panasonic Industrial Automation Sales,DIGITAL FIBER AMP I/O LINK PNP,3,0,"130.82000","0","1","FX-550L","Active","Fiber Amp","12V ~ 24V","PNP - Open Collector","40mA","-10°C ~ 55°C","Bracket Mount"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/5521393_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/5521393.JPG,277-16913-ND,5521393,Phoenix Contact,7004932MCRCUBE,5,146,"141.96000","0","1","-","Active","General Purpose","12V ~ 26V","Analog","-","-20°C ~ 85°C","-"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E32%20Series.pdf,//media.digikey.com/Photos/Omron%20Auto/E32-T11N-2M.jpg,Z9276-ND,E32-T11N 2M,Omron Automation and Safety,SENSOR FIBER OPTIC AMP FLEX 2M,7,31,"164.43000","0","1","E3X-DA-S","Active","Standard","12V ~ 24V","NPN","50mA","-25°C ~ 55°C (TA)","DIN Rail"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/E32%20Series.pdf,-,Z9275-ND,E32-T11 5M,Omron Automation and Safety,SENSOR FIBER AMP FLEX 5M,3,0,"176.40000","0","1","E3X-DA-S","Active","Standard","12V ~ 24V","NPN","50mA","-25°C ~ 55°C (TA)","-"
http://www.ia.omron.com/data_pdf/cat/e3nx-fa_ds_e_16_3_csm1010440.pdf,//media.digikey.com/Photos/Omron%20Auto/E3NX-FA11-2M.jpg,Z7383-ND,E3NX-FA41 2M,Omron Automation and Safety,FIBER AMP 1-OUT PNP PW,4,0,"236.88000","0","1","E3NX","Active","Standard","10V ~ 30V","-","-","-25°C ~ 55°C (TA)","-"
http://www.ia.omron.com/data_pdf/cat/e3nx-fa_ds_e_16_3_csm1010440.pdf,//media.digikey.com/Photos/Omron%20Auto/E3NX-FA11-2M.jpg,Z9302-ND,E3NX-FA11 2M,Omron Automation and Safety,FIBER AMP 1-OUT NPN PW,3,31,"236.88000","0","1","E3NX","Active","Standard","10V ~ 30V","-","-","-25°C ~ 55°C (TA)","-"
https://www3.panasonic.biz/ac/e_download/fasys/sensor/photoelectric/catalog/ls-500_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LS-501P.jpg,1110-3465-ND,LS-501P,Panasonic Industrial Automation Sales,DIGITAL LASER AMP CONN TYPE PNP,4,0,"250.00000","0","1","LS","Active","General Purpose","12V ~ 24V","PNP - Open Collector","50mA","-10°C ~ 55°C (TA)","Bracket Mount"
http://www.ia.omron.com/data_pdf/cat/e3nx-fa_ds_e_16_3_csm1010440.pdf,//media.digikey.com/Photos/Omron%20Auto/MFG_E3NX-FA51-2M.jpg,Z9303-ND,E3NX-FA51 2M,Omron Automation and Safety,FIBER AMP 2-OUT 1-IN PNP PW,2,0,"257.04000","0","1","E3NX","Active","Standard","10V ~ 30V","-","-","-25°C ~ 55°C (TA)","-"
https://www.gavazzionline.com/pdf/S142ARNN924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/S142ARNN024.jpg,1864-1024-ND,S142ARNN924,Carlo Gavazzi Inc.,PHOTO SENS AMP 1CH 2NPN SPDT,10,0,"331.76000","0","1","-","Active","General Purpose","24VAC/DC","NPN","100mA","-20°C ~ 50°C","-"
https://www.gavazzionline.com/pdf/S142ARNN924.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/S142ARNT924.jpg,1864-1025-ND,S142ARNT924,Carlo Gavazzi Inc.,PHOTO SENS AMP 1CH NPN SPDT,9,0,"331.76000","0","1","-","Active","General Purpose","24VAC/DC","NPN","100mA","-20°C ~ 50°C","-"
https://www.gavazzionline.com/pdf/S142ARNN924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/S142ARNN024.jpg,1864-1023-ND,S142ARNN024,Carlo Gavazzi Inc.,PHOTO SENS AMP 1CH 2NPN,5,0,"331.76000","0","1","-","Active","General Purpose","24VAC","NPN","100mA","-20°C ~ 50°C","-"
https://www.gavazzionline.com/pdf/S142ARNN924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_S142.jpg,1864-2168-ND,S142ARNN115,Carlo Gavazzi Inc.,PHT AMP 1 CH 2NPN SPDT,3,0,"331.76000","0","1","-","Active","General Purpose","115V","Relay / NPN","450mA","-20°C ~ 50°C","DIN Rail"
https://www.gavazzionline.com/pdf/S142BRNN924.pdf,-,1864-2169-ND,S142BRNN115,Carlo Gavazzi Inc.,PHT AMP 1 CH 2NPN SPDT TIMER,2,0,"346.72000","0","1","-","Active","General Purpose","115V","Relay / NPN","450mA","-20°C ~ 50°C","DIN Rail"
https://www.gavazzionline.com/pdf/S142BRNN924.pdf,-,1864-2170-ND,S142BRNN924,Carlo Gavazzi Inc.,PHT AMP 1 CH 2NPN SPDT TIMER,2,0,"346.72000","0","1","-","Active","General Purpose","24V","Relay / NPN","450mA","-20°C ~ 50°C","DIN Rail"
https://www.gavazzionline.com/pdf/S142CRXM924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_S142.jpg,1864-2171-ND,S142CRXA924,Carlo Gavazzi Inc.,PHT AMP 1 CH SPDT MULTIPLEX,2,0,"363.66000","0","1","-","Active","General Purpose","24V","Relay","450mA","-20°C ~ 50°C","DIN Rail"
https://www.gavazzionline.com/pdf/S142CRXM924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_S142.jpg,1864-2172-ND,S142CRXM115,Carlo Gavazzi Inc.,PHT AMP 1 CH SPDT MULTIPLEX,2,0,"363.66000","0","1","-","Active","General Purpose","115V","Relay","450mA","-20°C ~ 50°C","DIN Rail"
https://www.gavazzionline.com/pdf/S142CRXM924.pdf,//media.digikey.com/photos/Carlo-Gavazzi-Inc/MFG_S142.jpg,1864-2173-ND,S142CRXM924,Carlo Gavazzi Inc.,PHT AMP 1 CH SPDT MULTIPLEX,2,0,"363.66000","0","1","-","Active","General Purpose","24V","Relay","450mA","-20°C ~ 50°C","DIN Rail"
http://www.ia.omron.com/data_pdf/cat/e3nx-ma_e467-e1_1_4_csm1060689.pdf,-,Z11555-ND,E3NX-MA41,Omron Automation and Safety,FIBER AMP 2CH STD PNP 2M CBL,3,0,"378.00000","0","1","E3NX","Active","Fiber Amp","10V ~ 30V","PNP","75mA","-25°C ~ 40°C","-"
http://www.ia.omron.com/data_pdf/cat/e3nx-ma_e467-e1_1_4_csm1060689.pdf,//media.digikey.com/Photos/Omron%20Auto/E3NX-MA6.jpg,Z11556-ND,E3NX-MA6,Omron Automation and Safety,FIBER AMP 2CH STD NPN CONN,3,30,"378.00000","0","1","E3NX","Active","Fiber Amp","10V ~ 30V","NPN","75mA","-25°C ~ 50°C","-"
-,//media.digikey.com/Photos/Honeywell%20Photos/MFG_060-6881-01.jpg,480-6099-ND,060-6881-01,Honeywell Sensing and Productivity Solutions T&M,AMPLIFIER FOR MV/V INPUT 5 V OUT,3,0,"469.37000","0","1","DV-05","Active","Analog Output","11V ~ 28V","Analog","60mA","-29°C ~ 82°C (TA)","DIN Rail"
http://www.beisensors.com/pdfs/dual-encoder-USB-converter.pdf,//media.digikey.com/Photos/Sensata-BEI%20Sensors/EM-DR1-QS-24-TB-USB.jpg,1724-1402-ND,EM-DR1-QS-24-TB-USB,Sensata-BEI Sensors,OPTICAL ISOLATOR QUAD TO USB 24V,3,0,"655.46000","0","1","-","Active","External Input","5V ~ 24V","NPN","100mA","0°C ~ 70°C (TA)","DIN Rail"
