Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Pressure Type","Operating Pressure","Output Type","Output","Accuracy","Voltage - Supply","Port Size","Port Style","Features","Termination Style","Maximum Pressure","Operating Temperature","Package / Case","Supplier Device Package"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5607-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MS560702BA03-50.jpg,223-1198-1-ND,MS560702BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,25857,0,"3.78000","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5607-02BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MS560702BA03-50.jpg,223-1198-6-ND,MS560702BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,25857,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","8-SMD"
http://www.st.com/content/ccc/resource/technical/document/datasheet/9a/4c/aa/72/1f/45/4e/24/DM00141379.pdf/files/DM00141379.pdf/jcr:content/translations/en.DM00141379.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-15070-2-ND,LPS25HBTR,STMicroelectronics,IC MEMS PRESSURE SENSOR 10HCLGA,15000,0,"1.77920","0","5000","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.003PSI (±0.02kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-30°C ~ 105°C","10-VFLGA","10-LLGA (2.5x2.5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/9a/4c/aa/72/1f/45/4e/24/DM00141379.pdf/files/DM00141379.pdf/jcr:content/translations/en.DM00141379.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-15070-1-ND,LPS25HBTR,STMicroelectronics,IC MEMS PRESSURE SENSOR 10HCLGA,20459,0,"3.79000","0","1","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.003PSI (±0.02kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-30°C ~ 105°C","10-VFLGA","10-LLGA (2.5x2.5)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/9a/4c/aa/72/1f/45/4e/24/DM00141379.pdf/files/DM00141379.pdf/jcr:content/translations/en.DM00141379.pdf,//media.digikey.com/Renders/STMicro%20Renders/10HCLGA.jpg,497-15070-6-ND,LPS25HBTR,STMicroelectronics,IC MEMS PRESSURE SENSOR 10HCLGA,20459,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","3.77PSI ~ 18.27PSI (26kPa ~ 126kPa)","I²C, SPI","24 b","±0.003PSI (±0.02kPa)","1.7V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","290.08PSI (2000kPa)","-30°C ~ 105°C","10-VFLGA","10-LLGA (2.5x2.5)"
https://www.infineon.com/dgdl/KP235_DS_Rev_1.0.pdf?folderId=db3a30431d8a6b3c011dd8fc5a954267&fileId=db3a30432ad629a6012af67ba47c0b0f,//media.digikey.com/Photos/Infineon%20Photos/KP235.JPG,KP235XTMA1TR-ND,KP235XTMA1,Infineon Technologies,IC ANLG BAROMETRIC SNSR DSOF8-16,1500,0,"2.83620","0","1500","Automotive, AEC-Q100","Active","Board Mount","Absolute","5.8PSI ~ 16.68PSI (40kPa ~ 115kPa)","Analog Voltage","0.5 V ~ 4.5 V","±0.348PSI (±2.4kPa)","4.5V ~ 5.5V","-","No Port","Amplified Output, Temperature Compensated","SMD (SMT) Tab","21.76PSI (150kPa)","-40°C ~ 125°C","8-SMD Module","-"
https://www.infineon.com/dgdl/KP235_DS_Rev_1.0.pdf?folderId=db3a30431d8a6b3c011dd8fc5a954267&fileId=db3a30432ad629a6012af67ba47c0b0f,//media.digikey.com/Photos/Infineon%20Photos/KP235.JPG,KP235XTMA1CT-ND,KP235XTMA1,Infineon Technologies,IC ANLG BAROMETRIC SNSR DSOF8-16,1879,0,"7.32000","0","1","Automotive, AEC-Q100","Active","Board Mount","Absolute","5.8PSI ~ 16.68PSI (40kPa ~ 115kPa)","Analog Voltage","0.5 V ~ 4.5 V","±0.348PSI (±2.4kPa)","4.5V ~ 5.5V","-","No Port","Amplified Output, Temperature Compensated","SMD (SMT) Tab","21.76PSI (150kPa)","-40°C ~ 125°C","8-SMD Module","-"
https://www.infineon.com/dgdl/KP235_DS_Rev_1.0.pdf?folderId=db3a30431d8a6b3c011dd8fc5a954267&fileId=db3a30432ad629a6012af67ba47c0b0f,//media.digikey.com/Photos/Infineon%20Photos/KP235.JPG,KP235XTMA1DKR-ND,KP235XTMA1,Infineon Technologies,IC ANLG BAROMETRIC SNSR DSOF8-16,1879,0,"Digi-Reel","0","1","Automotive, AEC-Q100","Active","Board Mount","Absolute","5.8PSI ~ 16.68PSI (40kPa ~ 115kPa)","Analog Voltage","0.5 V ~ 4.5 V","±0.348PSI (±2.4kPa)","4.5V ~ 5.5V","-","No Port","Amplified Output, Temperature Compensated","SMD (SMT) Tab","21.76PSI (150kPa)","-40°C ~ 125°C","8-SMD Module","-"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=160,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,235-1492-2-ND,NPP-301A-100AT,Amphenol Advanced Sensors,SENSOR PRES 15PSIA SO8 SMD,2000,0,"5.15200","0","2000","NPP-301","Active","Board Mount","Absolute","15PSI (103.42kPa)","Wheatstone Bridge","0 mV ~ 60 mV (3V)","±0.2%","3V ~ 10V","-","No Port","-","Gull Wing","45PSI (310.26kPa)","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","-"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=160,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,235-1492-1-ND,NPP-301A-100AT,Amphenol Advanced Sensors,SENSOR PRES 15PSIA SO8 SMD,2896,0,"11.54000","0","1","NPP-301","Active","Board Mount","Absolute","15PSI (103.42kPa)","Wheatstone Bridge","0 mV ~ 60 mV (3V)","±0.2%","3V ~ 10V","-","No Port","-","Gull Wing","45PSI (310.26kPa)","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","-"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=160,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,235-1492-6-ND,NPP-301A-100AT,Amphenol Advanced Sensors,SENSOR PRES 15PSIA SO8 SMD,2896,0,"Digi-Reel","0","1","NPP-301","Active","Board Mount","Absolute","15PSI (103.42kPa)","Wheatstone Bridge","0 mV ~ 60 mV (3V)","±0.2%","3V ~ 10V","-","No Port","-","Gull Wing","45PSI (310.26kPa)","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MFG_MS561101BA03-50.JPG,223-1622-2-ND,MS561101BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,7200,0,"6.36625","0","3600","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MFG_MS561101BA03-50.JPG,223-1622-1-ND,MS561101BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,9381,0,"12.48000","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English,//media.digikey.com/Photos/Measurement%20Specialties%20Photos/MFG_MS561101BA03-50.JPG,223-1622-6-ND,MS561101BA03-50,TE Connectivity Measurement Specialties,BAROMETRIC PRESSURE SENSOR,9381,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 17.4PSI (1kPa ~ 120kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","87.02PSI (600kPa)","-40°C ~ 85°C","8-SMD","-"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=160,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,235-1288-ND,NPP-301A-200A,Amphenol Advanced Sensors,SENSOR PRES 30PSIA SO8 SMD,7796,0,"12.34000","0","1","NPP-301","Active","Board Mount","Absolute","30PSI (206.84kPa)","Wheatstone Bridge","0 mV ~ 60 mV (3V)","±0.2%","3V ~ 10V","-","No Port","-","Gull Wing","90PSI (620.53kPa)","-40°C ~ 125°C","8-SOIC (0.154"", 3.90mm Width)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5803-02BA&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1624-5-ND,MS580302BA01-00,TE Connectivity Measurement Specialties,MINIATURE ALTIMETER MODULE,972,0,"10.72000","0","1","-","Active","Board Mount","Absolute","4.35PSI ~ 15.95PSI (30kPa ~ 110kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","145.04PSI (1000kPa)","-40°C ~ 85°C","8-SMD Module","-"
https://sensing.honeywell.com/honeywell-sensing-basic-board-mount-pressure-sensors-tbp-datasheet-50092900-b-en3.pdf,//media.digikey.com/Photos/Honeywell%20Photos/TBPLLNxxxxPGUCV.JPG,480-5847-ND,TBPLLNN030PGUCV,Honeywell Sensing and Productivity Solutions,SENSOR PRESSURE GAUGE,632,0,"11.72000","0","1","TBP","Active","Board Mount","Vented Gauge","30PSI (206.84kPa)","Wheatstone Bridge","0 mV ~ 27.5 mV (5V)","±0.15%","1.5V ~ 12V","Male - 0.13"" (3.18mm) Tube","Barbless","Temperature Compensated","SMD (SMT) Tab","115PSI (792.9kPa)","-40°C ~ 125°C","6-SMD, No Lead, Top Port","6-SMT"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5837-30BA&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS583730BA03-50.jpg,223-1704-2-ND,MS583730BA01-50,TE Connectivity Measurement Specialties,SENSOR PRESSURE UNDERWATER,5000,0,"11.74390","0","2500","-","Active","Board Mount","Absolute","435.1PSI (3000kPa)","I²C","24 b","±0.022PSI (±0.15kPa)","1.5V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","725.19PSI (5000kPa)","-20°C ~ 85°C","4-SMD, No Lead","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5837-30BA&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS583730BA03-50.jpg,223-1704-1-ND,MS583730BA01-50,TE Connectivity Measurement Specialties,SENSOR PRESSURE UNDERWATER,6394,0,"23.80000","0","1","-","Active","Board Mount","Absolute","435.1PSI (3000kPa)","I²C","24 b","±0.022PSI (±0.15kPa)","1.5V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","725.19PSI (5000kPa)","-20°C ~ 85°C","4-SMD, No Lead","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5837-30BA&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS583730BA03-50.jpg,223-1704-6-ND,MS583730BA01-50,TE Connectivity Measurement Specialties,SENSOR PRESSURE UNDERWATER,6394,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","435.1PSI (3000kPa)","I²C","24 b","±0.022PSI (±0.15kPa)","1.5V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","725.19PSI (5000kPa)","-20°C ~ 85°C","4-SMD, No Lead","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5540C&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5540-CM.JPG,223-1098-2-ND,325540009-50,TE Connectivity Measurement Specialties,MODULE BAROMETER MINITURE SENSOR,2000,0,"13.06250","0","1000","-","Active","Board Mount","Absolute","0.15PSI ~ 15.95PSI (1kPa ~ 110kPa)","Digital","16 b","±0.022PSI (±0.15kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","145.04PSI (1000kPa)","-40°C ~ 85°C","Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5540C&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5540-CM.JPG,223-1098-1-ND,325540009-50,TE Connectivity Measurement Specialties,MODULE BAROMETER MINITURE SENSOR,2093,0,"22.99000","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 15.95PSI (1kPa ~ 110kPa)","Digital","16 b","±0.022PSI (±0.15kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","145.04PSI (1000kPa)","-40°C ~ 85°C","Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5540C&DocType=DS&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5540-CM.JPG,223-1098-6-ND,325540009-50,TE Connectivity Measurement Specialties,MODULE BAROMETER MINITURE SENSOR,2093,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 15.95PSI (1kPa ~ 110kPa)","Digital","16 b","±0.022PSI (±0.15kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","145.04PSI (1000kPa)","-40°C ~ 85°C","Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5541C&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1099-2-ND,325541009-50,TE Connectivity Measurement Specialties,MODULE 14 BAR PRESSURE MINI SNSR,2000,0,"13.06250","0","1000","-","Active","Board Mount","Absolute","203.05PSI (1400kPa)","Digital","16 b","±0.232PSI (±1.6kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","435.11PSI (3000kPa)","-40°C ~ 85°C","8-SMD Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5541C&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1099-1-ND,325541009-50,TE Connectivity Measurement Specialties,MODULE 14 BAR PRESSURE MINI SNSR,2860,0,"22.99000","0","1","-","Active","Board Mount","Absolute","203.05PSI (1400kPa)","Digital","16 b","±0.232PSI (±1.6kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","435.11PSI (3000kPa)","-40°C ~ 85°C","8-SMD Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5541C&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1099-6-ND,325541009-50,TE Connectivity Measurement Specialties,MODULE 14 BAR PRESSURE MINI SNSR,2860,0,"Digi-Reel","0","1","-","Active","Board Mount","Absolute","203.05PSI (1400kPa)","Digital","16 b","±0.232PSI (±1.6kPa)","2.2V ~ 3.6V","-","No Port","Temperature Compensated","SMD (SMT) Tab","435.11PSI (3000kPa)","-40°C ~ 85°C","8-SMD Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5803-14BA&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1626-5-ND,MS580314BA01-00,TE Connectivity Measurement Specialties,MINIATURE ALTIMETER MODULE,1868,0,"13.82000","0","1","-","Active","Board Mount","Absolute","203.05PSI (1400kPa)","I²C, SPI","24 b","-","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","435.11PSI (3000kPa)","-40°C ~ 85°C","8-SMD Module","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5803-01BA&DocType=Data+Sheet&DocLang=English,//media.digikey.com/photos/Measurement%20Specialties%20Photos/MS5541-CM.JPG,223-1623-5-ND,MS580301BA01-00,TE Connectivity Measurement Specialties,MINIATURE ALTIMETER MODULE,880,0,"13.82000","0","1","-","Active","Board Mount","Absolute","0.15PSI ~ 18.85PSI (1kPa ~ 130kPa)","I²C, SPI","24 b","±0.022PSI (±0.15kPa)","1.8V ~ 3.6V","-","No Port","-","SMD (SMT) Tab","145.04PSI (1000kPa)","-40°C ~ 85°C","8-SMD Module","8-SMD"
