Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Pixel Size","Active Pixel Array","Frames per Second","Voltage - Supply","Package / Case","Supplier Device Package","Operating Temperature"
https://ams.com/documents/20143/36005/CMV2000_DS000434_1-00.pdf,//media.digikey.com/Photos/AMS-Taos%20USA%20Photos/MFG_CMV2000-3E12M1PP.jpg,CMV2000-3E12M1PP-ND,CMV2000-3E12M1PP,ams,IMAGE SENSORS & COLOR SENSORS AR,59,0,"376.99000","0","1","Tray","-","Active","CMOS","5.5µm x 5.5µm","2048H x 1088V","340","1.8V, 3.3V","-","95-MicroPGA","-30°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OV5640_PB_3-4-11.pdf,//media.digikey.com/Photos/OmniVision%20Tech/MFG_OV05640-A71A.jpg,884-1048-ND,OV05640-A71A,OmniVision Technologies Inc,IC IMAGE SENSOR 5MP 71-CSP3,1993,0,"12.84000","0","1","Tray","OmniBSI™","Active","CMOS with Processor","1.4µm x 1.4µm","2592H x 1944V","15","2.8V","Module","Module","-30°C ~ 70°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIV1SN5000A-D.PDF,//media.digikey.com/photos/On%20Semi%20Photos/NOIV1SE5000A-QDC.JPG,NOIV1SE5000A-QDCOS-ND,NOIV1SE5000A-QDC,ON Semiconductor,IC IMAGE SENSOR 5.3MP 68LLC,45,0,"527.90000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","2592H x 2048V","75","1.8V, 3.3V","68-PLCC","68-PLCC","0°C ~ 70°C (TJ)"
http://www.ovt.com/download/sensorpdf/83/OmniVision_OV7740.pdf,//media.digikey.com/photos/OmniVision%20Tech/OV07740-A32A.jpg,884-1005-ND,OV07740-A32A,OmniVision Technologies Inc,SENSOR IMAGE CMOS VGA 32-CSP3,1520,0,"5.95000","0","1","Tray","CameraChip™, OmniPixel3-HS™","Active","CMOS","4.2µm x 4.2µm","656H x 488V","30","3.3V","32-CSP3","-","-30°C ~ 70°C (TJ)"
http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF,-,AR0130CSSC00SPBA0-DROS-ND,AR0130CSSC00SPBA0-DR,ON Semiconductor,IMAGE SENSOR MONO CMOS,1515,0,"9.32000","0","1","-","Automotive, AEC-Q100","Active","CMOS","3.75µm x 3.75µm","1280H x 960V","45","1.8V ~ 2.8V","48-LCC","48-PLCC (11.43x11.43)","-30°C ~ 70°C (TA)"
http://www.onsemi.com/pub/Collateral/AR0330CS-D.PDF,-,AR0330CS1C12SPKA0-CROS-ND,AR0330CS1C12SPKA0-CR,ON Semiconductor,IMAGE SENSOR,1994,0,"9.98000","0","1","-","-","Active","CMOS","2.2µm x 2.2µm","2304H x 1536V","30","1.7V ~ 1.9V, 2.4V ~ 3.1V","64-VFBGA, CSPBGA","61-ODCSP (6.28x6.65)","-30°C ~ 70°C (TJ)"
http://www.onsemi.com/PowerSolutions/product.do?id=ASX340AT&pdf,-,ASX340CS2C00SPED0-DRBROS-ND,ASX340CS2C00SPED0-DRBR,ON Semiconductor,IMAGE SENSOR,2600,0,"11.18000","0","1","-","-","Active","CMOS","5.6µm x 5.6µm","728H x 560V","60","1.71V ~ 1.89V, 2.66V ~ 2.94V","63-LFBGA","63-IBGA (7.5x7.5)","-30°C ~ 70°C (TA)"
http://www.onsemi.com/pub/Collateral/ASX340AT-D.PDF,-,ASX340AT2C00XPED0-DRBROS-ND,ASX340AT2C00XPED0-DRBR,ON Semiconductor,SENSOR IMAGE MONO CMOS 48-ILCC,2396,0,"13.57000","0","1","-","-","Active","CMOS","5.6µm x 5.6µm","728H x 560V","60","1.8V ~ 2.8V","63-LFBGA","63-IBGA (7.5x7.5)","-40°C ~ 105°C (TA)"
http://www.onsemi.com/pub/Collateral/ASX340AT-D.PDF,-,ASX340AT2C00XPED0-DPBR1OS-ND,ASX340AT2C00XPED0-DPBR1,ON Semiconductor,SENSOR IMAGE MONO CMOS 48-ILCC,260,1040,"17.30000","0","1","Tray","-","Active","CMOS","5.6µm x 5.6µm","720H x 560V","60","1.8V, 2.8V","63-LFBGA","63-IBGA (7.5x7.5)","-40°C ~ 105°C"
http://www.onsemi.com/PowerSolutions/product.do?id=AR0230CS&pdf=Y,-,AR0230CSSC00SUEA0-DRBROS-ND,AR0230CSSC00SUEA0-DRBR,ON Semiconductor,IMAGE SENSOR,2400,0,"19.22000","0","1","-","-","Active","CMOS","3µm x 3µm","1928H x 1088V","60","1.7V ~ 1.95V, 2.5V ~ 3.1V","80-BGA","80-IBGA (10x10)","-30°C ~ 85°C (TA)"
http://www.onsemi.com/pub/Collateral/MT9V034-D.PDF,-,MT9V034C12STM-DROS-ND,MT9V034C12STM-DR,ON Semiconductor,SENSOR IMAGE VGA MONO 48-CLCC,1507,0,"23.95000","0","1","-","Automotive, AEC-Q100","Active","CMOS","6µm x 6µm","752H x 480V","60","3V ~ 3.6V","48-CLCC","48-CLCC (11.43x11.43)","-30°C ~ 70°C (TA)"
https://www.melexis.com/-/media/files/documents/datasheets/mlx75023-datasheet-melexis.pdf,-,MLX75023STF-BAA-000-TR-ND,MLX75023STF-BAA-000-TR,Melexis Technologies NV,"TOF SENSOR, WITHOUT COVER TAPE",1271,0,"27.95000","0","1","Tray","-","Active","3D Time of Flight","15µm x 15µm","320H x 240V","600","3V ~ 3.6V","44-UFBGA, WLBGA","44-WLBGA (6.6x5.5)","-20°C ~ 85°C"
http://www.onsemi.com/pub/Collateral/MT9P031-D.PDF,-,MT9P031I12STC-DPOS-ND,MT9P031I12STC-DP,ON Semiconductor,SENSOR IMAGE COLOR CMOS 48-LCC,205,18480,"30.54000","0","1","-","-","Active","CMOS","2.2µm x 2.2µm","2592H x 1944V","53","1.7V ~ 1.9V, 2.6V ~ 3.1V","48-LCC","48-iLCC (10x10)","-30°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/AR0132AT.pdf,-,AR0132AT6C00XPEA0-DPBROS-ND,AR0132AT6C00XPEA0-DPBR,ON Semiconductor,IMAGE SENSOR RGB CMOS,249,0,"35.50000","0","1","Tray","Automotive, AEC-Q100","Active","CMOS","3.75µm x 3.75µm","1280H x 960V","45","1.8V ~ 2.8V","63-LBGA","63-iBGA (9x9)","-40°C ~ 105°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/OPT8320.pdf,//media.digikey.com/Renders/Texas%20Instr%20Renders/OPT8320NBP.jpg,296-43355-ND,OPT8320NBP,Texas Instruments,IC IMAGE SENSOR TOF 3D 56COG,883,9900,"51.85000","0","1","Tray","-","Active","3D Time of Flight","30µm x 30µm","80H x 60V","1000","1.7V ~ 3.6V","56-VFBGA","56-COG (8.07x5.36)","0°C ~ 70°C (TA)"
http://www.onsemi.com/pub/Collateral/NOIP1SN1300A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIP1SN1300A-QxI.jpg,NOIP1SN1300A-QDIOS-ND,NOIP1SN1300A-QDI,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LCC,63,128,"138.51000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.8µm x 4.8µm","1280H x 1024V","43","1.8V ~ 3.3V","48-LCC","48-LCC (14.22x14.22)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIP1SN1300A-D.PDF,-,NOIP2SN1300A-QDIOS-ND,NOIP2SN1300A-QDI,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LCC,62,192,"138.51000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.8µm x 4.8µm","1280H x 1024V","43","1.8V ~ 3.3V","48-LCC","48-LCC (14.22x14.22)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIP1SN1300A-D.PDF,-,NOIP1SE1300A-QDIOS-ND,NOIP1SE1300A-QDI,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LCC,64,128,"144.34000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.8µm x 4.8µm","1280H x 1024V","43","1.8V ~ 3.3V","48-LCC","48-LCC (14.22x14.22)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIP1SN5000A-D.PDF,-,NOIP1SN5000A-QDIOS-ND,NOIP1SN5000A-QDI,ON Semiconductor,IC IMAGE SENSOR 5MP 84LCC,37,168,"399.33000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.8µm x 4.8µm","2592H x 2048V","100","1.8V ~ 3.3V","84-LCC","84-LCC (19x19)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIP1SN5000A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIP1SE2000A-QDI.jpg,NOIP1SE5000A-QDIOS-ND,NOIP1SE5000A-QDI,ON Semiconductor,IC IMAGE SENSOR 5MP 84LCC,42,462,"488.07000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.8µm x 4.8µm","2592H x 2048V","100","1.8V ~ 3.3V","84-LCC","84-LCC (19x19)","-40°C ~ 85°C (TJ)"
http://www.onsemi.com/pub/Collateral/AR0330CM-D.PDF,-,488-AR0330CM1C00SHAA0-DP1-ND,AR0330CM1C00SHAA0-DP1,ON Semiconductor,IMAGE SENSOR 3MP 1/3 CIS SO,102,2432,"12.42000","0","1","Tray","*","Active","-","-","-","-","-","48-CLCC","48-CLCC (11.43x11.43)","-"
http://www.onsemi.com/pub/Collateral/MT9P031-D.PDF,-,MT9P031I12STM-DP-ND,MT9P031I12STM-DP,ON Semiconductor,SENSOR IMAGE 5MP COL CMOS 48LCC,2157,2400,"30.54000","0","1","-","-","Active","CMOS","2.2µm x 2.2µm","2592H x 1944V","53","1.7V ~ 1.9V, 2.6V ~ 3.1V","48-LCC","48-iLCC (10x10)","-30°C ~ 70°C"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopt8241,//media.digikey.com/Renders/Texas%20Instr%20Renders/78-COG-(8.75x15.71).jpg,296-42354-ND,OPT8241NBN,Texas Instruments,IC TOF SENSOR 78COG,1311,9840,"55.93000","0","1","Tray","-","Active","3D Time of Flight","-","320H x 240V","150","1.5V ~ 3.3V","78-BGA Module","78-COG (8.75x15.71)","0°C ~ 70°C (TA)"
https://www.intel.com/content/dam/support/us/en/documents/emerging-technologies/intel-realsense-technology/realsense-sr300-datasheet1-0.pdf,-,544-3613-ND,82535IVCHVM,Intel,REALSENSE CAMERA SR300,100,0,"114.00000","0","1","-","SR300","Active","Thermal","-","1920H x 1080V","30","4.5V ~ 5.5V","Module","Module","0°C ~ 35°C"
https://www.intel.com/content/dam/support/us/en/documents/emerging-technologies/intel-realsense-technology/Intel-RealSense-D400-Series-Datasheet.pdf,-,544-3604-ND,82635AWGDVKPMP,Intel,REALSENSE DEPTH CAMERA D435,27,0,"254.40000","0","1","-","D400","Active","Thermal","-","1280H x 720V","30","4.75V ~ 5.25V","Module","Module","0°C ~ 50°C (TC)"
http://www.onsemi.com/pub/Collateral/NOIV1SN2000A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIV1SE2000A-QDC.jpg,NOIV1SE2000A-QDCOS-ND,NOIV1SE2000A-QDC,ON Semiconductor,IC IMAGE SENSOR 2.3MP 52LLC,42,0,"273.60000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","1920H x 1080V","92","1.8V, 3.3V","52-LCC","52-PLCC","0°C ~ 70°C (TJ)"
http://www.onsemi.com/pub/Collateral/NOIP1SN5000A-D.PDF,//media.digikey.com/Photos/On%20Semi%20Photos/NOIP1SE2000A-QDI.jpg,NOIP1SE2000A-QDI-ND,NOIP1SE2000A-QDI,ON Semiconductor,IC IMAGE SENSOR 2MP 84LCC,42,84,"285.12000","0","1","Tray","PYTHON","Active","CMOS with Processor","4.5µm x 4.5µm","1920H x 1200V","230","1.8V ~ 3.3V","84-LCC","84-LCC (19x19)","-40°C ~ 85°C (TJ)"
http://www.ovt.com/download/sensorpdf/46/OmniVision_OVM7692.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7692-RYAA.JPG,884-1027-2-ND,OVM7692-RYAA,OmniVision Technologies Inc,SENSOR IMAGE,0,0,"4.40000","0","2500","Tape & Reel (TR)","CameraCubeChip™, OmniPixel3-HS™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","25-CSP","-","-30°C ~ 70°C (TJ)"
http://www.ovt.com/download/sensorpdf/46/OmniVision_OVM7692.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OVM7692-RYAA.JPG,884-1027-1-ND,OVM7692-RYAA,OmniVision Technologies Inc,SENSOR IMAGE,1394,0,"10.03000","0","1","Cut Tape (CT)","CameraCubeChip™, OmniPixel3-HS™","Active","CMOS with Processor","1.75µm x 1.75µm","640H x 480V","30","2.8V","25-CSP","-","-30°C ~ 70°C (TJ)"
//media.digikey.com/pdf/Data%20Sheets/OmniVision%20PDFs/OV14825.pdf,//media.digikey.com/Photos/OmniVision%20Tech/OV14825-A16A.jpg,884-1030-ND,OV14825-A16A,OmniVision Technologies Inc,SENSOR IMAGE,217,0,"22.76000","0","1","Tray","OmniBSI™","Active","CMOS with Processor","1.4µm x 1.4µm","4416H x 3312V","15","2.8V","-","116-CSP3","-30°C ~ 70°C (TA)"
http://www.onsemi.com/pub/Collateral/NOIV1SN1300A-D.PDF,//media.digikey.com/photos/On%20Semi%20Photos/NOIV2SN1300A-QDC.JPG,NOIV2SN1300A-QDCOS-ND,NOIV2SN1300A-QDC,ON Semiconductor,IC IMAGE SENSOR 1.3MP 48LLC,5,128,"160.40000","0","1","Tray","-","Active","CMOS","4.8µm x 4.8µm","1280H x 1024V","150","1.8V, 3.3V","168-CPGA","168-PGA","-40°C ~ 85°C (TJ)"
https://www.flir.com/globalassets/imported-assets/document/flir-lepton-engineering-datasheet.pdf,//media.digikey.com/Photos/FLIR/500-0763-01.JPG,500-0763-01-ND,500-0763-01,FLIR Lepton,THERMAL IMAGE SENSOR 80HX60V,16,0,"199.00000","0","1","Tray","Lepton®","Active","Thermal","17µm x 17µm","80H x 60V","8.6","2.5V ~ 3.1V","Module","Module","-10°C ~ 65°C"
http://www.onsemi.com/pub/Collateral/AR0130CS-D.PDF,-,AR0130CSSC00SPBA0-DP1OS-ND,AR0130CSSC00SPBA0-DP1,ON Semiconductor,IMAGE SENSOR 1.2MP 1/3 CIS,47,304,"12.75000","0","1","Tray","-","Active","CMOS","3.75µm x 3.75µm","1280H x 960V","45","1.7V ~ 1.95V, 2.5V ~ 3.1V","48-PLCC","48-PLCC (11.43x11.43)","-30°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/Positioning_IR_Camera_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_SEN0158.jpg,1738-1250-ND,SEN0158,DFRobot,IR POSITIONING CAMERA FOR ARDUIN,30,0,"24.26000","0","1","-","-","Active","CMOS","-","-","-","3.3V ~ 5V","Module","Module","-"
https://cdn-learn.adafruit.com/downloads/pdf/ttl-serial-camera.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_397.jpg,1528-1401-ND,397,Adafruit Industries LLC,TTL SERIAL JPEG CAMERA NTSC VID,64,0,"39.95000","0","1","Bulk","-","Active","CMOS","5.6µm x 5.6µm","640H x 480V","30","5V","Module","Module","-"
