Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Output Type","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/2JCIE_DS.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_2JCIE-BL01.jpg,Z11674-ND,2JCIE-BL01-P1,Omron Electronics Inc-EMC Div,SENSOR ENVIRONMENT BLUETOOTH,26,0,"68.00000","0","1","-","Active","Accelerometer, Light, Humidity, Pressure, Sound, Temperature","Bluetooth","-10°C ~ 60°C"
http://www.dlpdesign.com/DLP-TH1C-DS-V10.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-TH1C.JPG,813-1056-ND,DLP-TH1C,DLP Design Inc.,SENSOR MODULE USB-BASED,7,0,"99.95000","0","1","-","Active","Humidity, Light, Pressure, Sound, Temperature, Tilt, Vibration","USB","0°C ~ 65°C (TA)"
https://www.siretta.co.uk/download.php?id=1049&cmd=view,//media.digikey.com/photos/Siretta%20Ltd/EM01B-FLD.jpg,EM01BFLD-ND,EM01B FLD,Siretta Ltd,"TEMPERATURE, HUMIDITY & LIGHT WE",2,0,"350.45000","0","1","-","Active","Humidity, Temperature, Light","Ethernet","-40°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/VersaSense%20PDFs/S03_S04.pdf,//media.digikey.com/Photos/VersaSense/MFG_S03.jpg,1737-1004-ND,S03/S04,VersaSense,TEMP HUMIDITY SENSOR MODULE,10,0,"47.86000","0","1","-","Active","Humidity, Temperature","I²C","-40°C ~ 125°C"
https://www.digi.com/pdf/ds_xbeesensors.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/XS-Z16-CB1R.jpg,602-1175-ND,XS-Z16-CB1R,Digi International,SENSOR TEMP/LIGHT XBEE BATT,2,0,"99.00000","0","1","XBee®","Obsolete","Temperature and Light","ZigBee™","-18°C ~ 55°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/Ligh_Intensity_Trans_Op_Instr_V1.3.pdf,-,1597-1604-ND,314990249,"Seeed Technology Co., Ltd",LIGHT INTENSITY TRANSMITTER (0-2,37,0,"43.76000","0","1","-","Active","Light Intensity","RS-485","-20°C ~ 60°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS8607-02BA01&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS8607-02BA01.jpg,223-1701-2-ND,MS860702BA01-50,TE Connectivity Measurement Specialties,PRESSURE TEMP HUMIDITY SENSOR,0,0,"3.71250","0","3600","-","Active","Humidity, Pressure, Temperature","I²C","-40°C ~ 85°C (TA)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS8607-02BA01&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS8607-02BA01.jpg,223-1701-1-ND,MS860702BA01-50,TE Connectivity Measurement Specialties,PRESSURE TEMP HUMIDITY SENSOR,0,0,"8.46000","0","1","-","Active","Humidity, Pressure, Temperature","I²C","-40°C ~ 85°C (TA)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS8607-02BA01&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_MS8607-02BA01.jpg,223-1701-6-ND,MS860702BA01-50,TE Connectivity Measurement Specialties,PRESSURE TEMP HUMIDITY SENSOR,0,0,"Digi-Reel","0","1","-","Active","Humidity, Pressure, Temperature","I²C","-40°C ~ 85°C (TA)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/95/04/a1/12/d7/8c/4f/f5/DM00431727/files/DM00431727.pdf/jcr:content/translations/en.DM00431727.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;-8365767;-;-12.jpg,497-17727-2-ND,ISM303DACTR,STMicroelectronics,HIGH PERFORMANCELOW POWER COMPAC,0,0,"2.04800","0","8000","-","Active","Accelerometer and Magnetometer","I²C, SPI","-40°C ~ 85°C"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/95/04/a1/12/d7/8c/4f/f5/DM00431727/files/DM00431727.pdf/jcr:content/translations/en.DM00431727.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;-8365767;-;-12.jpg,497-17727-1-ND,ISM303DACTR,STMicroelectronics,HIGH PERFORMANCELOW POWER COMPAC,19,0,"4.37000","0","1","-","Active","Accelerometer and Magnetometer","I²C, SPI","-40°C ~ 85°C"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/95/04/a1/12/d7/8c/4f/f5/DM00431727/files/DM00431727.pdf/jcr:content/translations/en.DM00431727.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;-8365767;-;-12.jpg,497-17727-6-ND,ISM303DACTR,STMicroelectronics,HIGH PERFORMANCELOW POWER COMPAC,19,0,"Digi-Reel","0","1","-","Active","Accelerometer and Magnetometer","I²C, SPI","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/a281_e1.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_2JCIE-BU01.jpg,Z11673-ND,2JCIE-BU01,Omron Electronics Inc-EMC Div,SENSOR ENVIRONMENT USB AND BT,0,0,"118.10000","0","1","-","Active","Accelerometer, Light, Humidity, Pressure, Sound, Temperature","Bluetooth, USB","-10°C ~ 60°C"
http://www.azoteq.com/images/stories/pdf/iqs625_datasheet.pdf,-,1790-1067-2-ND,IQS625-0-TSR,Azoteq (Pty) Ltd,SENSOR PROXIMITY MISC,0,0,"0.45248","0","4000","IQ Switch®, ProxFusion™","Active","Capacitive, Hall Effect","I²C","-20°C ~ 85°C (TA)"
http://www.azoteq.com/images/stories/pdf/iqs625_datasheet.pdf,-,1790-1067-1-ND,IQS625-0-TSR,Azoteq (Pty) Ltd,SENSOR PROXIMITY MISC,0,0,"1.29000","0","1","IQ Switch®, ProxFusion™","Active","Capacitive, Hall Effect","I²C","-20°C ~ 85°C (TA)"
http://www.azoteq.com/images/stories/pdf/iqs625_datasheet.pdf,-,1790-1067-6-ND,IQS625-0-TSR,Azoteq (Pty) Ltd,SENSOR PROXIMITY MISC,0,0,"Digi-Reel","0","1","IQ Switch®, ProxFusion™","Active","Capacitive, Hall Effect","I²C","-20°C ~ 85°C (TA)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FHPC221_3%7FA%7Fpdf%7FEnglish%7FENG_DS_HPC221_3_A.pdf%7F10142032-01,-,223-1913-ND,10142032-01,TE Connectivity Measurement Specialties,TRICAN HTD2800 RH/TEMP/PRES PROB,0,0,"162.00000","0","1","-","Active","Humidity, Pressure, Temperature","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FHPC221_3%7FA%7Fpdf%7FEnglish%7FENG_DS_HPC221_3_A.pdf%7FHPP816E031,-,223-1914-ND,HPP816E031,TE Connectivity Measurement Specialties,TRICAN HTD2800P1B11C6 RH/TEMP/PR,0,0,"162.00000","0","1","-","Active","Humidity, Pressure, Temperature","CAN Bus","-40°C ~ 125°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/TK020AM00.pdf,-,445-180370-ND,TK020AM00/BS,TDK Corporation,WRISTBAND TYPE VITAL SENSOR SILM,0,0,"398.27000","0","1","Silmee W20","Active","Accelerometer, Pulse, Temperature, UV","Bluetooth","5°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/TK020AM00.pdf,-,445-180371-ND,TK020AM00/BL,TDK Corporation,WRISTBAND TYPE VITAL SENSOR SILM,0,0,"398.27000","0","1","Silmee W20","Active","Accelerometer, Pulse, Temperature, UV","Bluetooth","5°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/TK010HMxx.pdf,-,445-180373-ND,TK010HM00,TDK Corporation,ECG SENSOR SILMEE BARTYPE LITE,0,0,"867.69000","0","1","Silmee Bar Type Lite","Active","Accelerometer, ECG, Pulse, Temperature","Bluetooth, USB","10°C ~ 40°C"
-,-,ESTHW50A-ND,ESTHW50A,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT,0,0,"279.84000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTHW50V-ND,ESTHW50V,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT,0,0,"279.84000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
http://advdownload.advantech.com/productfile/PIS/ADAM-2031Z/Product%20-%20Datasheet/ADAM-2031Z20160920112942.pdf,-,ADAM-2031Z-AE-ND,ADAM-2031Z-AE,"B&B SmartWorx, Inc.",TEMPERATURE AND HUMIDITY SENSOR,0,0,"299.00000","0","1","-","Active","Humidity, Temperature","-","-20°C ~ 70°C"
-,-,ESTHD50A-ND,ESTHD50A,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT,0,0,"302.72000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTHD50V-ND,ESTHD50V,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT,0,0,"302.72000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTDD50AM-ND,ESTDD50AM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 4-20MA OUT W/COM,0,0,"371.64000","0","1","-","Active","Humidity, Temperature","RS-485","-20°C ~ 60°C (TA)"
-,-,ESTDD50VM-ND,ESTDD50VM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 0-10V OUT W/COM,0,0,"371.64000","0","1","-","Active","Humidity, Temperature","RS-485","-20°C ~ 60°C (TA)"
-,-,ESTHD50AM-ND,ESTHD50AM,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT W/COM,0,0,"371.64000","0","1","-","Active","Humidity, Temperature","RS-485","-20°C ~ 60°C (TA)"
-,-,ESTHD50VM-ND,ESTHD50VM,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT W/COM,0,0,"371.64000","0","1","-","Active","Humidity, Temperature","RS-485","-20°C ~ 60°C (TA)"
-,-,ESTDW50AM-ND,ESTDW50AM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 4-20MA OUT W/COM,0,0,"394.24000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTDW50VM-ND,ESTDW50VM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 0-10V OUT W/COM,0,0,"394.24000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHW50AM-ND,ESTHW50AM,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT W/COM,0,0,"394.24000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHW50VM-ND,ESTHW50VM,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT W/COM,0,0,"394.24000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTD20A-ND,ESAVTD20A,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"442.61000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTD20V-ND,ESAVTD20V,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"442.61000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTDW50ADM-ND,ESTDW50ADM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 4-20MA OUT W/COM,0,0,"458.56000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTDW50VDM-ND,ESTDW50VDM,Carlo Gavazzi Inc.,SEN TEMP/DP TX 0-10V OUT W/COM,0,0,"458.56000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHW50ADM-ND,ESTHW50ADM,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT W/COM/DIS,0,0,"458.56000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHW50VDM-ND,ESTHW50VDM,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT W/COM/DIS,0,0,"458.56000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTR20A-ND,ESAVTR20A,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"492.06000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTR20V-ND,ESAVTR20V,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"492.06000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTD20AM-ND,ESAVTD20AM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT W/COM,0,0,"495.25000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTD20VM-ND,ESAVTD20VM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT COM,0,0,"495.25000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTD20AD-ND,ESAVTD20AD,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"534.33000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTD20VD-ND,ESAVTD20VD,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"534.33000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTR20AM-ND,ESAVTR20AM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"547.88000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTR20VM-ND,ESAVTR20VM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"547.88000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTR20AD-ND,ESAVTR20AD,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"583.77000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESAVTR20VD-ND,ESAVTR20VD,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"583.77000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESCO2THW2VDM-ND,ESCO2THW2VDM,Carlo Gavazzi Inc.,SEN TEMP/RH/CO2 2000PPM TX,0,0,"590.15000","0","1","-","Active","Humidity, Temperature","RS-485","5°C ~ 50°C (TA)"
-,-,ESAVTD20ADM-ND,ESAVTD20ADM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT W/COM,0,0,"593.34000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTD20VDM-ND,ESAVTD20VDM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT COM,0,0,"593.34000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESCO2THW5VDM-ND,ESCO2THW5VDM,Carlo Gavazzi Inc.,SEN TEMP/RH/CO2 5000PPM TX,0,0,"638.80000","0","1","-","Active","Humidity, Temperature","RS-485","5°C ~ 50°C (TA)"
-,-,ESAVTR20ADM-ND,ESAVTR20ADM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 4-20MA OUT,0,0,"645.98000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESAVTR20VDM-ND,ESAVTR20VDM,Carlo Gavazzi Inc.,AIR-SPD/TEMP 0-10V OUT,0,0,"645.98000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTC2WA-ND,ESTC2WA,Carlo Gavazzi Inc.,SEN TEMP/CO2 2000PPM 4-20MA OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTC2WV-ND,ESTC2WV,Carlo Gavazzi Inc.,SEN TEMP/CO2 2000PPM 0-10V OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTC5WA-ND,ESTC5WA,Carlo Gavazzi Inc.,SEN TEMP/CO2 5000PPM 4-20MA OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTC5WV-ND,ESTC5WV,Carlo Gavazzi Inc.,SEN TEMP/CO2 5000PPM 0-10V OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTHWA-ND,ESTHWA,Carlo Gavazzi Inc.,SEN TEMP RH 4-20MA OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTHWV-ND,ESTHWV,Carlo Gavazzi Inc.,SEN TEMP RH 0-10V OUT,0,0,"867.56000","0","1","-","Active","Humidity, Temperature","-","0°C ~ 50°C (TA)"
-,-,ESTC2WAM-ND,ESTC2WAM,Carlo Gavazzi Inc.,SEN TEMP/CO2 2000PPM 4-20MA OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTC2WVM-ND,ESTC2WVM,Carlo Gavazzi Inc.,SEN TEMP/CO2 2000PPM 0-10V OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTC5WAM-ND,ESTC5WAM,Carlo Gavazzi Inc.,SEN TEMP/CO2 5000PPM 4-20MA OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTC5WVM-ND,ESTC5WVM,Carlo Gavazzi Inc.,SEN TEMP/CO2 5000PPM 0-10V OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHWAM-ND,ESTHWAM,Carlo Gavazzi Inc.,SEN TEMP/RH/SEN CO2 4-20MA OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
-,-,ESTHWVM-ND,ESTHWVM,Carlo Gavazzi Inc.,SEN TEMP/RH/SEN CO2 0-10V OUT,0,0,"972.16000","0","1","-","Active","Humidity, Temperature","RS-485","0°C ~ 50°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Quantum%20PDFs/qt300.pdf,-,427-1057-ND,QT300-D,Microchip Technology,SENSOR IC CONT 16BIT DATA 8-DIP,0,0,"Obsolete","0","500","Quantum, QProx™","Obsolete","Capacitive","PWM","-"
//media.digikey.com/pdf/Data%20Sheets/Quantum%20PDFs/qt300.pdf,-,427-1058-ND,QT300-IS,Microchip Technology,SENSOR IC CONT 16BIT DATA 8-SOIC,0,0,"Obsolete","0","2000","Quantum, QProx™","Obsolete","Capacitive","PWM","-"
http://www.dlpdesign.com/usb/images/dlp-th1-ds-v15.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-TH1B.JPG,813-1016-ND,DLP-TH1B,DLP Design Inc.,MODULE SENSOR USB-BASED TEMP/HUM,0,0,"Obsolete","0","25","-","Obsolete","Temperature, Humidity, Dew Point","USB","0°C ~ 100°C (TA)"
https://www.digi.com/pdf/ds_xbeesensors.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/xs-b14-cb1rb.JPG,602-1128-ND,XS-B14-CB1RB,Digi International,SENSOR TEMP/LIGHT BATTERY XBEE,0,0,"Obsolete","0","1","XBee®","Obsolete","Temperature and Light","ZigBee™","-18°C ~ 55°C (TA)"
-,-,NEON110-ND,NEON 110,Siretta Ltd,REMOTE TEMPERATURE AND HUMIDITY,0,0,"Obsolete","0","10","*","Obsolete","-","-","-"
-,-,ADXC1500WBRGZ-RL-ND,ADXC1500WBRGZ-RL,Analog Devices Inc.,YAW GYRO AND XY LOW-G COMBO,0,0,"Obsolete","0","0","-","Obsolete","Accelerometer, Gyroscope, 3 Axis","SPI","-40°C ~ 105°C"
