Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensor Type","Response Time","Output Type","Termination Style","Voltage - Supply","Operating Temperature"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-3460PC01.jpg,1816-1006-ND,NN AMC 3460PC01,Neonode Inc.,INFRARED TOUCH SENSOR,150,0,"72.00000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00022.jpg,1027-1024-ND,34-00022,Interlink Electronics,SENSOR FORCE SENS RES 0-2.2LBS,240,0,"24.26000","0","1","-","Active","Resistive","3µs","Analog","-","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/Interlink%20Electronics.PDF/4-Zone_Mouse_Sensor_RevB.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_30-72718.jpg,1027-1025-ND,30-72718,Interlink Electronics,SENSOR FORCE SENS RES 0-2.2LBS,203,0,"29.04000","0","1","-","Active","Resistive","3µs","Analog","-","-","-25°C ~ 70°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-0007x.jpg,1027-1032-ND,34-00072,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,117,0,"26.51000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-0007x.jpg,1027-1033-ND,34-00073,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,128,0,"28.60000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-1220PC01.jpg,1816-1000-ND,NN AMC 1220PC01,Neonode Inc.,INFRARED TOUCH SENSOR,179,0,"52.60000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-1220PC01.jpg,1816-1001-ND,NN AMC 1580PC01,Neonode Inc.,INFRARED TOUCH SENSOR,178,0,"56.60000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-1800PC01.jpg,1816-1002-ND,NN AMC 1800PC01,Neonode Inc.,INFRARED TOUCH SENSOR,190,0,"60.20000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-1800PC01.jpg,1816-1004-ND,NN AMC 2300PC01,Neonode Inc.,INFRARED TOUCH SENSOR,181,0,"64.20000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,//media.digikey.com/Photos/Neonode-Inc/NN-AMC-2950PC01.jpg,1816-1005-ND,NN AMC 2950PC01,Neonode Inc.,INFRARED TOUCH SENSOR,182,0,"69.00000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00069.JPG,1027-1029-ND,34-00069,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,60,0,"18.38000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/MFG_FSR02CE.jpg,FSR02CE-ND,FSR02CE,Ohmite,FORCE SENSING RESISTOR,31,0,"20.55000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/34-00070.JPG,1027-1030-ND,34-00070,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,78,0,"22.05000","0","1","FSR™ 408","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-PS2.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/54-00045-primary.jpg,1027-1035-ND,54-00045,Interlink Electronics,MICROMODULE PS@2- BLACK BUTTON,9,0,"174.24000","0","1","-","Active","Resistive","-","Analog","-","5V","-25°C ~ 70°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_30-81794.jpg,1027-1001-ND,30-81794,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,0,0,"8.64000","0","1","FSR™400","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_FSR.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/MFG_30-73258.jpg,1027-1002-ND,30-73258,Interlink Electronics,SENSOR FORCE RES 0.04-4.5LBS,0,0,"12.40000","0","1","FSR™400","Active","Resistive","3µs","Analog","Solder Tab","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0297_Web.pdf,-,1738-SEN0297-ND,SEN0297,DFRobot,RP-C7.6-ST THIN FILM PRESSURE SE,0,0,"3.09000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0298_Web.pdf,-,1738-SEN0298-ND,SEN0298,DFRobot,RP-C7.6-LT THIN FILM PRESSURE SE,0,0,"4.02000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0294_Web.pdf,-,1738-SEN0294-ND,SEN0294,DFRobot,RP-C18.3-ST THIN FILM PRESSURE S,0,0,"5.15000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0293_Web.pdf,-,1738-SEN0293-ND,SEN0293,DFRobot,RP-L-170 THIN FILM PRESSURE SENS,0,0,"6.70000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0295_Web.pdf,-,1738-SEN0295-ND,SEN0295,DFRobot,RP-C18.3-LT THIN FILM PRESSURE S,0,0,"7.11000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR04BE-ND,FSR04BE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.17000","0","1","FSR","Active","Resistive","-","Analog","Solder Tab","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR05BE-ND,FSR05BE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.23000","0","1","FSR","Active","Resistive","-","Analog","Solder Tab","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR06BE-ND,FSR06BE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.42000","0","1","FSR","Active","Resistive","-","Analog","Solder Tab","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR07BE-ND,FSR07BE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.62000","0","1","FSR","Active","Resistive","-","Analog","Solder Tab","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR04CE-ND,FSR04CE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.90000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR05CE-ND,FSR05CE,Ohmite,FORCE SENSING RESISTOR,10,0,"7.95000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0296_Web.pdf,-,1738-SEN0296-ND,SEN0296,DFRobot,RP-S40-ST THIN FILM PRESSURE SEN,0,0,"8.14000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR06CE-ND,FSR06CE,Ohmite,FORCE SENSING RESISTOR,10,0,"8.62000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
http://www.ohmite.com/assets/docs/res_fsr.pdf?r=false,-,FSR07CE-ND,FSR07CE,Ohmite,FORCE SENSING RESISTOR,9,0,"8.82000","0","1","FSR","Active","Resistive","-","Analog","Connector","-","-20°C ~ 85°C"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SEN0299_Web.pdf,-,1738-SEN0299-ND,SEN0299,DFRobot,RP-L-400 THIN FILM PRESSURE SENS,0,0,"11.23000","0","1","-","Active","Resistive","10ms","Analog","Solder Tab","-","-40°C ~ 85°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,-,1816-1016-ND,NN AMC 1150 PC01,Neonode Inc.,INFRARED TOUCH SENSOR,0,0,"52.00000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://support.neonode.com/docs/download/attachments/1671912/zForce%20AIR%E2%84%A2%20Touch%20Sensor%20Specifications.pdf,-,1816-1018-ND,NN AMC 3100 PC01,Neonode Inc.,INFRARED TOUCH SENSOR,0,0,"70.00000","0","1","zForce AIR Touch Sensor","Active","Infrared","10ms","I²C, USB","Card Edge/Solder Pad","4.75V ~ 5.25V","-20°C ~ 65°C"
https://cdn.sparkfun.com/assets/1/f/7/6/9/PrintedSensors_TechDataSheet_AW2.pdf,-,SEN-14696-ND,SEN-14696,SparkFun Electronics,BARE CONDUCTIVE PRINTED SENSORS,0,0,"16.25000","0","1","-","Active","Resistive","-","Analog","Tab","-","-"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_VersaPad-USB.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/54-00031.JPG,1027-1011-ND,54-00031,Interlink Electronics,VERSAPAD USB - 8-PIN HEADER,0,0,"27.55000","0","405","-","Active","Resistive","-","Analog","Connector","5V","-20°C ~ 60°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_VersaPad-USB.pdf,//media.digikey.com/Photos/Interlink%20Electronics%20Photos/54-00030.JPG,1027-1010-ND,54-00030,Interlink Electronics,VERSAPAD USB - FFC CONNECTOR,0,0,"47.74000","0","405","-","Active","Resistive","-","Analog","Flex Cable","5V","-20°C ~ 60°C"
https://cdn2.hubspot.net/hubfs/3899023/Interlinkelectronics%20November2017/Docs/Datasheet_MicroModule-PS2.pdf,-,54-00055-ND,54-00055,Interlink Electronics,USB MICRO MODULE GRAY,0,0,"174.24000","0","1","*","Active","Resistive","-","Analog","Connector","5V","-25°C ~ 70°C"
-,-,08430211103-ND,08430211103,Altech Corporation,TOUCH SENSOR M10 P10DB-10,0,0,"311.22000","0","1","*","Active","-","-","-","-","-","-"
https://cdn-learn.adafruit.com/downloads/pdf/force-sensitive-resistor-fsr.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_166.jpg,1528-2335-ND,166,Adafruit Industries LLC,ROUND FORCE-SENSITIVE RESISTOR,0,0,"7.00000","0","1","-","Active","Resistive","-","Analog","Solder Tab","4.9V","-30°C ~ 70°C"
