Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Color","CCT (K)","Wavelength","Configuration","Flux @ Current/Temperature - Test","Current - Test","Temperature - Test","Voltage - Forward (Vf) (Typ)","Lumens/Watt @ Current - Test","Current - Max","CRI (Color Rendering Index)","Viewing Angle","Features","Size / Dimension","Height","Light Emitting Surface (LES)","Lens Type"
https://www.bridgelux.com/sites/default/files/resource_media/DS31%20Vero%2013%20Array%20Datasheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXRC.jpg,976-1245-ND,BXRC-27G2000-C-23,Bridgelux,LED ARRAY 2000LM WARM WHITE COB,920,0,"5.87000","0","1","Tray","Vero® 13 Array","Active","Chip On Board (COB)","White, Warm","2700K 3-Step MacAdam Ellipse","-","Round","1461lm (Typ)","500mA","85°C","31.3V","93 lm/W","1.05A","90","120°","With Connector","36.20mm Dia","1.90mm","13.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS31%20Vero%2013%20Array%20Datasheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXRC.jpg,976-1278-ND,BXRC-50C2000-C-24,Bridgelux,LED ARRAY 2000LM COOL WHITE COB,863,0,"5.87000","0","1","Tray","Vero® 13 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Round","2037lm (Typ)","500mA","85°C","31.3V","130 lm/W","1.05A","70","120°","With Connector","36.20mm Dia","1.90mm","13.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS31%20Vero%2013%20Array%20Datasheet%20Rev%20L%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXRC.jpg,976-1258-ND,BXRC-30G2000-C-23,Bridgelux,LED ARRAY 2000LM WARM WHITE COB,142,0,"5.87000","0","1","Tray","Vero® 13 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","1434lm (Typ)","500mA","85°C","31.3V","92 lm/W","1.05A","90","120°","With Connector","36.20mm Dia","1.90mm","13.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS91%20Vero%2013%20Gen%207%20Array%20Data%20Sheet%2020181104%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-13-Array.JPG,976-1372-ND,BXRC-40E2000-C-73,Bridgelux,LED COB VERO 13 4000K ROUND,653,0,"6.84000","0","1","Tray","Gen 7 Vero® 13 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","3170lm (Typ)","630mA","85°C","34.1V","148 lm/W","1.26A","80","-","With Connector","36.20mm Dia","1.90mm","13.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS131%20Bridgelux%20EB%20Series%20Gen2%20Data%20Sheet%2020171020%20Rev%20A.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXEB-L0560Z-35E2000-C-B3.jpg,976-1734-ND,BXEB-L0560Z-35E2000-C-B3,Bridgelux,2000 LM NEUTRAL WHITE LINEAR MOD,1241,0,"7.06000","0","1","Bulk","EB Series™ Gen 2","Active","LED Module","White, Warm","3500K 3-Step MacAdam Ellipse","-","Linear Light Strip","2390lm (Typ)","700mA","25°C","19.5V","175 lm/W","1.4A","80","120°","-","560.00mm L x 24.00mm W","6.10mm","-","Flat"
https://cdn.samsung.com/led/file/resource/2019/02/2019_Q1_LinearUS_Leaflet_190131.pdf,//media.digikey.com/Photos/Samsung%20Photos/SI-B8R05128HUS.JPG,1510-1584-ND,SI-B8V05128HUS,"Samsung Semiconductor, Inc.",LED MOD LTH282D WARM WHT STRIP,611,0,"7.49000","0","1","Bulk","LT-H282D","Active","LED Module","White, Warm","3000K","-","Linear Light Strip","970lm (Typ)","240mA","50°C","22.5V","180 lm/W","-","80","-","With Connector","275.00mm L x 18.00mm W","5.80mm","-","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS122%20Vero%20SE%2018%20Array%20Data%20Sheet%2020181105%20Rev%20K.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_SE18_Array.jpg,976-1572-ND,BXRC-40E4000-D-73-SE,Bridgelux,LED COB VERO SE 4000K ROUND,1931,0,"7.63000","0","1","Tray","Vero® SE 18 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","4345lm (Typ)","1.05A","85°C","28.3V","146 lm/W","2.1A","80","120°","-","36.20mm Dia","3.60mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS122%20Vero%20SE%2018%20Array%20Data%20Sheet%2020181105%20Rev%20K.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_SE18_Array.jpg,976-1556-ND,BXRC-30E4000-B-73-SE,Bridgelux,LED COB VERO SE 3000K ROUND,949,0,"7.63000","0","1","Tray","Vero® SE 18 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","4337lm (Typ)","900mA","85°C","34.1V","141 lm/W","1.8A","80","120°","-","36.20mm Dia","3.60mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS122%20Vero%20SE%2018%20Array%20Data%20Sheet%2020181105%20Rev%20K.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_SE18_Array.jpg,976-1558-ND,BXRC-40E4000-B-73-SE,Bridgelux,LED COB VERO SE 4000K ROUND,609,0,"7.63000","0","1","Tray","Vero® SE 18 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","4469lm (Typ)","900mA","85°C","34.1V","146 lm/W","1.8A","80","120°","-","36.20mm Dia","3.60mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS102%20V18%20Gen%207%20Array%20Datasheet%2020181105%20Rev%20M.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-V18-Array.JPG,976-1470-ND,BXRE-50C4001-B-74,Bridgelux,LED COB V18 5000K SQUARE,3184,0,"7.71000","0","1","Tube","Gen 7 V18 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Square","4963lm (Typ)","900mA","85°C","34V","162 lm/W","1.8A","70","-","-","24.00mm L x 24.00mm W","1.70mm","19.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS92%20Vero%2018%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-18-Array.JPG,976-1414-ND,BXRC-30G4000-D-73,Bridgelux,LED COB VERO 18 3000K ROUND,2042,0,"9.22000","0","1","Tray","Gen 7 Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","3513lm (Typ)","1.05A","85°C","28.3V","118 lm/W","2.1A","90","-","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS92%20Vero%2018%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-18-Array.JPG,976-1431-ND,BXRC-40E4000-D-73,Bridgelux,LED COB VERO 18 4000K ROUND,2010,0,"9.22000","0","1","Tray","Gen 7 Vero® 18 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","4402lm (Typ)","1.05A","85°C","28.3V","148 lm/W","2.1A","80","-","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS92%20Vero%2018%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-18-Array.JPG,976-1404-ND,BXRC-30E4000-D-73,Bridgelux,LED COB VERO 18 3000K ROUND,1242,0,"9.22000","0","1","Tray","Gen 7 Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","4248lm (Typ)","1.05A","85°C","28.3V","143 lm/W","2.1A","80","-","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS92%20Vero%2018%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-18-Array.JPG,976-1486-ND,BXRC-50C4001-D-74,Bridgelux,LED COB VERO 18 5000K ROUND,1125,0,"9.22000","0","1","Tray","Gen 7 Vero® 18 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Round","4826lm (Typ)","1.05A","85°C","28.3V","162 lm/W","2.1A","70","-","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS92%20Vero%2018%20Gen%207%20Array%20Data%20Sheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-Vero-18-Array.JPG,976-1660-ND,BXRC-27G4000-D-73,Bridgelux,LED COB VERO 18 2700K ROUND,789,0,"9.22000","0","1","Tray","Gen 7 Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","2700K 3-Step MacAdam Ellipse","-","Round","3387lm (Typ)","1.05A","85°C","28.3V","114 lm/W","2.1A","90","-","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS102%20V18%20Gen%207%20Array%20Datasheet%2020181105%20Rev%20M.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-V18-Array.JPG,976-1469-ND,BXRE-50C4001-C-74,Bridgelux,LED COB V18 5000K SQUARE,154,0,"9.67000","0","1","Tube","Gen 7 V18 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Square","6453lm (Typ)","1.17A","85°C","34V","162 lm/W","2.34A","70","-","-","24.00mm L x 24.00mm W","1.70mm","19.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS32%20Vero%2018%20Array%20Data%20Sheet%20Rev%20K%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_18_Series.jpg,976-1266-ND,BXRC-35E4000-F-23,Bridgelux,LED ARRAY 4000LM WARM WHITE COB,3758,0,"10.77000","0","1","Tray","Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","3500K 3-Step MacAdam Ellipse","-","Round","3770lm (Typ)","1.05A","85°C","28.6V","126 lm/W","2.1A","80","120°","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS32%20Vero%2018%20Array%20Data%20Sheet%20Rev%20K%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_18_Series.jpg,976-1255-ND,BXRC-30E4000-F-23,Bridgelux,LED ARRAY 4000LM WARM WHITE COB,3585,0,"10.77000","0","1","Tray","Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","3662lm (Typ)","1.05A","85°C","28.6V","122 lm/W","2.1A","80","120°","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS32%20Vero%2018%20Array%20Data%20Sheet%20Rev%20K%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_18_Series.jpg,976-1271-ND,BXRC-40E4000-F-23,Bridgelux,LED ARRAY 4000LM NEU WHITE COB,3070,0,"10.77000","0","1","Tray","Vero® 18 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","3793lm (Typ)","1.05A","85°C","28.6V","126 lm/W","2.1A","80","120°","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS32%20Vero%2018%20Array%20Data%20Sheet%20Rev%20K%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_18_Series.jpg,976-1279-ND,BXRC-50C4000-F-24,Bridgelux,LED ARRAY 4000LM COOL WHITE COB,2037,0,"10.77000","0","1","Tray","Vero® 18 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Round","3898lm (Typ)","1.05A","85°C","28.6V","130 lm/W","2.1A","70","120°","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/DS32%20Vero%2018%20Array%20Data%20Sheet%20Rev%20K%2020160606.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero_18_Series.jpg,976-1259-ND,BXRC-30G4000-F-23,Bridgelux,LED ARRAY 4000LM WARM WHITE COB,408,0,"10.77000","0","1","Tray","Vero® 18 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","2842lm (Typ)","1.05A","85°C","28.6V","95 lm/W","2.1A","90","120°","With Connector","36.20mm Dia","1.90mm","18.40mm Dia","Flat"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Optoelectronics/Datasheets/OVQ.pdf,//media.digikey.com/photos/TT%20Electronics-Optek%20Photos/LED%20LT%20Strip.jpg,365-1504-2-ND,OVQ12S30W7,TT Electronics/Optek Technology,LED LT STRIP FLEX 12V WHT 5500K,4700,0,"10.87000","0","10","Tape & Reel (TR)","-","Active","LED Engine","White, Cool","5500K","-","Linear Light Strip, Flexible","68lm (Typ)","133mA","25°C","-","-","133mA","-","120°","-","500.00mm L x 8.00mm W","2.29mm","-","Flat"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Optoelectronics/Datasheets/OVQ.pdf,//media.digikey.com/photos/TT%20Electronics-Optek%20Photos/LED%20LT%20Strip.jpg,365-1504-1-ND,OVQ12S30W7,TT Electronics/Optek Technology,LED LT STRIP FLEX 12V WHT 5500K,4705,0,"10.87000","0","1","Cut Tape (CT)","-","Active","LED Engine","White, Cool","5500K","-","Linear Light Strip, Flexible","68lm (Typ)","133mA","25°C","-","-","133mA","-","120°","-","500.00mm L x 8.00mm W","2.29mm","-","Flat"
http://www.ledengin.com/files/products/LZ1/LZ1-00G102.pdf,//media.digikey.com/Photos/LEDEngin/LZ1-10G102-0000.jpg,1537-1113-ND,LZ1-10G102-0000,LED Engin Inc.,LED MCPCB LZ1-2 GREEN,283,0,"11.21000","0","1","Tray","LZ1","Active","LED Module","Green","-","525nm","Starboard","164lm (145lm ~ 182lm)","1A","25°C","4.5V","36 lm/W","1.2A","-","80°","-","19.90mm Dia","4.50mm","3.20mm","Domed"
https://cdn.samsung.com/led/file/resource/2018/04/Data_Sheet_T_Series_Rev.1.0.pdf,-,1510-2308-ND,SI-B8A131560WW,"Samsung Semiconductor, Inc.",LINEAR TYPE,530,0,"11.37000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.bridgelux.com/sites/default/files/resource_media/DS131%20Bridgelux%20EB%20Series%20Gen2%20Data%20Sheet%2020171020%20Rev%20A.pdf,//media.digikey.com/Photos/Bridgelux/MFG_BXEB-L1120Z-35E4000-C-B3.JPG,976-1732-ND,BXEB-L1120Z-35E4000-C-B3,Bridgelux,4000 LM NEUTRAL WHITE LINEAR MOD,200,0,"12.54000","0","1","Bulk","EB Series™ Gen 2","Active","LED Module","White, Warm","3500K 3-Step MacAdam Ellipse","-","Linear Light Strip","4780lm (Typ)","700mA","25°C","39V","175 lm/W","1.4A","80","120°","-","1120.00mm L x 24.00mm W","6.10mm","-","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS103%20V22%20Gen%207%20Array%20Datasheet%2020181105%20Rev%20N.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Gen-7-V22-Array.JPG,976-1467-ND,BXRE-40E6500-C-73,Bridgelux,LED COB V22 4000K SQUARE,180,0,"14.64000","0","1","Tube","Gen 7 V22 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Square","10885lm (Typ)","1.44A","85°C","50.7V","149 lm/W","2.88A","80","120°","-","28.00mm L x 28.00mm W","1.70mm","22.60mm Dia","Flat"
https://cdn.samsung.com/led/file/resource/2017/11/Data_Sheet_F_Series_G3_Rev.1.0.pdf,//media.digikey.com/Photos/Samsung%20Photos/MFG_F-SERIES.jpg,1510-2218-ND,SI-B8U261560WW,"Samsung Semiconductor, Inc.",LED MOD FSERIES GEN3 3500K STRIP,1018,0,"15.19000","0","1","Bulk","F-Series Gen3","Active","LED Module","White, Warm","3500K","-","Linear Light Strip","4400lm (Typ)","1.12A","65°C","23V","171 lm/W","-","80","-","With Connector","560.00mm L x 18.00mm W","5.20mm","-","Flat"
https://cdn.samsung.com/led/file/resource/2017/11/Data_Sheet_F_Series_G3_Rev.1.0.pdf,//media.digikey.com/Photos/Samsung%20Photos/MFG_F-SERIES.jpg,1510-2217-ND,SI-B8V261560WW,"Samsung Semiconductor, Inc.",LED MOD FSERIES GEN3 3000K STRIP,858,0,"15.19000","0","1","Bulk","F-Series Gen3","Active","LED Module","White, Warm","3000K","-","Linear Light Strip","4335lm (Typ)","1.12A","65°C","23V","168 lm/W","-","80","-","With Connector","560.00mm L x 18.00mm W","5.20mm","-","Flat"
http://www.ledengin.com/files/products/LZ4/LZ4-00B208.pdf,//media.digikey.com/Photos/LEDEngin/LZ4-40B208-0000.jpg,1537-1037-ND,LZ4-40B208-0000,LED Engin Inc.,LED EMITTER BLUE 460NM MCPCB,606,0,"15.90000","0","1","Tray","LZ4","Active","LED Module","Blue","-","460nm","Starboard","161lm (93lm ~ 228lm)","700mA","25°C","12.8V","18 lm/W","1A","-","100°","-","19.90mm Dia","5.40mm","5.60mm","Domed"
https://www.jkllamps.com/pdfs/ZRS-8480_MULTI.pdf,//media.digikey.com/Photos/JKL/ZRS-8480-WW.jpg,289-1205-ND,ZRS-8480-WW,JKL Components Corp.,LED WARM WHITE LIGHT BAR STRIP,2160,0,"16.69000","0","1","Tube","-","Active","LED Engine","White, Warm","-","-","Linear Light Strip","70lm (Typ)","200mA","25°C","12V","29 lm/W","200mA","-","120°","With Connector","485.00mm L x 8.00mm W","3.60mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/Luminus%20PDFs/CXM-27_Gen1_Rev09_2016.pdf,//media.digikey.com/Photos/Luminus%20Devices%20Photo/MFG_CXM-27-50-80-36-AB00-F2-5.jpg,1214-1525-ND,CXM-27-50-80-36-AB00-F2-5,Luminus Devices Inc.,LED COB,2994,0,"17.77000","0","1","-","CXM-27 GEN1","Not For New Designs","Chip On Board (COB)","White, Cool","5000K 3-Step MacAdam Ellipse","-","Square","8310lm (Typ)","1.8A","85°C","35V","132 lm/W","3.6A","80","120°","-","27.89mm L x 27.89mm W","1.37mm","26.42mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS123%20Vero%20SE%2029%20Array%20Data%20Sheet%2020180403%20Rev%20H.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero-SE-29_Array-Series.jpg,976-1590-ND,BXRC-30E10K0-D-73-SE,Bridgelux,LED COB VERO SE 3000K ROUND,563,0,"19.52000","0","1","Tray","Vero® SE 29 Array","Active","Chip On Board (COB)","White, Warm","3000K 3-Step MacAdam Ellipse","-","Round","11309lm (Typ)","2.1A","85°C","36.6V","147 lm/W","4.2A","80","120°","-","49.20mm Diameter","3.60mm","29.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS123%20Vero%20SE%2029%20Array%20Data%20Sheet%2020180403%20Rev%20H.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero-SE-29_Array-Series.jpg,976-1594-ND,BXRC-40E10K0-D-73-SE,Bridgelux,LED COB VERO SE 4000K ROUND,558,0,"19.52000","0","1","Tray","Vero® SE 29 Array","Active","Chip On Board (COB)","White, Neutral","4000K 3-Step MacAdam Ellipse","-","Round","11418lm (Typ)","2.1A","85°C","36.6V","149 lm/W","4.2A","80","120°","-","49.20mm Diameter","3.60mm","29.20mm Dia","Flat"
https://www.bridgelux.com/sites/default/files/resource_media/Bridgelux%20DS123%20Vero%20SE%2029%20Array%20Data%20Sheet%2020180403%20Rev%20H.pdf,//media.digikey.com/Photos/Bridgelux/MFG_Vero-SE-29_Array-Series.jpg,976-1582-ND,BXRC-50C10K1-B-74-SE,Bridgelux,LED COB VERO SE 5000K ROUND,449,0,"19.52000","0","1","Tray","Vero® SE 29 Array","Active","Chip On Board (COB)","White, Cool","5000K 4-Step MacAdam Ellipse","-","Round","14854lm (Typ)","1.8A","85°C","50.7V","163 lm/W","3.6A","70","120°","-","49.20mm Diameter","3.60mm","29.20mm Dia","Flat"
