Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Output Type","Direction","Frequency Range","Sensitivity","S/N Ratio","Impedance","Voltage - Rated","Voltage Range","Current - Supply","Port Location","Ratings","Termination","Size / Dimension","Height (Max)","Shape"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-PB.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410HR5H-PB.jpg,423-1138-2-ND,SPU0410HR5H-PB,Knowles,SPU-TOP MIC IOT FOCUSED MIC,319200,0,"0.47051","0","5700","Tape & Reel (TR)","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","300 Ohms","-","1.5V ~ 3.6V","250µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-PB.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410HR5H-PB.jpg,423-1138-1-ND,SPU0410HR5H-PB,Knowles,SPU-TOP MIC IOT FOCUSED MIC,319459,0,"0.82000","0","1","Cut Tape (CT)","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","300 Ohms","-","1.5V ~ 3.6V","250µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-PB.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410HR5H-PB.jpg,423-1138-6-ND,SPU0410HR5H-PB,Knowles,SPU-TOP MIC IOT FOCUSED MIC,319459,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","300 Ohms","-","1.5V ~ 3.6V","250µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spq1410hr5h-b-revb.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPQ1410HR5H-B.jpg,423-1213-2-ND,SPQ1410HR5H-B,Knowles,MIC MEMS  ANALOG OMNI -42DB,142500,0,"0.49259","0","5700","Tape & Reel (TR)","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.088"" W (3.76mm x 2.24mm)","0.047"" (1.20mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spq1410hr5h-b-revb.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPQ1410HR5H-B.jpg,423-1213-1-ND,SPQ1410HR5H-B,Knowles,MIC MEMS  ANALOG OMNI -42DB,148148,0,"0.86000","0","1","Cut Tape (CT)","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.088"" W (3.76mm x 2.24mm)","0.047"" (1.20mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spq1410hr5h-b-revb.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPQ1410HR5H-B.jpg,423-1213-6-ND,SPQ1410HR5H-B,Knowles,MIC MEMS  ANALOG OMNI -42DB,148148,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.088"" W (3.76mm x 2.24mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0641LM4H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0641LM4H-1.jpg,423-1395-2-ND,SPH0641LM4H-1,Knowles,MORELLO MIC MULTIMODE DGT BOT PT,59000,0,"0.49300","0","5900","Tape & Reel (TR)","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±1dB @ 94dB SPL","64.3dB","-","-","1.62V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0641LM4H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0641LM4H-1.jpg,423-1395-1-ND,SPH0641LM4H-1,Knowles,MORELLO MIC MULTIMODE DGT BOT PT,60782,0,"1.01000","0","1","Cut Tape (CT)","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±1dB @ 94dB SPL","64.3dB","-","-","1.62V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0641LM4H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0641LM4H-1.jpg,423-1395-6-ND,SPH0641LM4H-1,Knowles,MORELLO MIC MULTIMODE DGT BOT PT,60782,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±1dB @ 94dB SPL","64.3dB","-","-","1.62V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPK0833LM4H-B.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPK0833LM4H-B.JPG,423-1162-2-ND,SPK0833LM4H-B-7,Knowles,MIC SISONIC ZERO HEIGHT DIGITAL,17100,0,"0.57225","0","5700","Tape & Reel (TR)","SiSonic™ SP","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±3dB @ 94dB SPL","63dB","-","-","1.6V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.157"" L x 0.118"" W (4.00mm x 3.00mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPK0833LM4H-B.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPK0833LM4H-B.JPG,423-1162-1-ND,SPK0833LM4H-B-7,Knowles,MIC SISONIC ZERO HEIGHT DIGITAL,18186,0,"1.22000","0","1","Cut Tape (CT)","SiSonic™ SP","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±3dB @ 94dB SPL","63dB","-","-","1.6V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.157"" L x 0.118"" W (4.00mm x 3.00mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPK0833LM4H-B.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPK0833LM4H-B.JPG,423-1162-6-ND,SPK0833LM4H-B-7,Knowles,MIC SISONIC ZERO HEIGHT DIGITAL,18186,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SP","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-26dB ±3dB @ 94dB SPL","63dB","-","-","1.6V ~ 3.6V","700µA","Bottom","-","Solder Pads","0.157"" L x 0.118"" W (4.00mm x 3.00mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0644LM4H-1_DS.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH0644LM4H-1.JPG,423-1424-2-ND,SPH0644LM4H-1,Knowles,CORNELL MIC MULTIMODE DGT BOT PT,23600,0,"0.60100","0","5900","Tape & Reel (TR)","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","20Hz ~ 10kHz","-37dB ±1dB @ 94dB SPL","65.5dB","-","-","1.6V ~ 3.6V","1.4mA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.08mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0644LM4H-1_DS.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH0644LM4H-1.JPG,423-1424-1-ND,SPH0644LM4H-1,Knowles,CORNELL MIC MULTIMODE DGT BOT PT,26243,0,"1.31000","0","1","Cut Tape (CT)","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","20Hz ~ 10kHz","-37dB ±1dB @ 94dB SPL","65.5dB","-","-","1.6V ~ 3.6V","1.4mA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.08mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0644LM4H-1_DS.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH0644LM4H-1.JPG,423-1424-6-ND,SPH0644LM4H-1,Knowles,CORNELL MIC MULTIMODE DGT BOT PT,26243,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPH","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","20Hz ~ 10kHz","-37dB ±1dB @ 94dB SPL","65.5dB","-","-","1.6V ~ 3.6V","1.4mA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.08mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0611LR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0611LR5H-1.jpg,423-1209-2-ND,SPH0611LR5H-1,Knowles,MIC MEMS  ANALOG OMNI -38DB,29500,0,"0.61449","0","5900","Tape & Reel (TR)","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","400 Ohms","-","1.5V ~ 3.6V","185µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0611LR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0611LR5H-1.jpg,423-1209-1-ND,SPH0611LR5H-1,Knowles,MEMS MICROPHONE,40818,0,"1.31000","0","1","Cut Tape (CT)","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","400 Ohms","-","1.5V ~ 3.6V","185µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH0611LR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPH0611LR5H-1.jpg,423-1209-6-ND,SPH0611LR5H-1,Knowles,MIC MEMS  ANALOG OMNI -38DB,40818,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","400 Ohms","-","1.5V ~ 3.6V","185µA","Bottom","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH1642HT5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH1642HT5H-1.jpg,423-1409-2-ND,SPH1642HT5H-1,Knowles,HARDY V2 MIC WD BANDWIDTH TOP PT,29500,0,"0.62401","0","5900","Tape & Reel (TR)","SiSonic™ SPH","Active","MEMS (Silicon)","Analog","Omnidirectional","50Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH1642HT5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH1642HT5H-1.jpg,423-1409-1-ND,SPH1642HT5H-1,Knowles,HARDY V2 MIC WD BANDWIDTH TOP PT,32855,0,"1.36000","0","1","Cut Tape (CT)","SiSonic™ SPH","Active","MEMS (Silicon)","Analog","Omnidirectional","50Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPH1642HT5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPH1642HT5H-1.jpg,423-1409-6-ND,SPH1642HT5H-1,Knowles,HARDY V2 MIC WD BANDWIDTH TOP PT,32855,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPH","Active","MEMS (Silicon)","Analog","Omnidirectional","50Hz ~ 10kHz","-38dB ±1dB @ 94dB SPL","65dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","Solder Pads","0.138"" L x 0.104"" W (3.50mm x 2.65mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPM1423HM4H-B.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/SPM0423HM4H-WB.jpg,423-1164-2-ND,SPM1423HM4H-B,Knowles,SISONIC MIC DGTL HI SNR TOP PORT,4800,0,"0.62797","0","4800","Tape & Reel (TR)","SiSonic™ SPM","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-22dB ±3dB @ 94dB SPL","61.5dB","-","-","1.6V ~ 3.6V","600µA","Top","-","Solder Pads","0.186"" L x 0.148"" W (4.72mm x 3.76mm)","0.055"" (1.40mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPM1423HM4H-B.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/SPM0423HM4H-WB.jpg,423-1164-1-ND,SPM1423HM4H-B,Knowles,SISONIC MIC DGTL HI SNR TOP PORT,5456,0,"1.22000","0","1","Cut Tape (CT)","SiSonic™ SPM","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-22dB ±3dB @ 94dB SPL","61.5dB","-","-","1.6V ~ 3.6V","600µA","Top","-","Solder Pads","0.186"" L x 0.148"" W (4.72mm x 3.76mm)","0.055"" (1.40mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPM1423HM4H-B.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/SPM0423HM4H-WB.jpg,423-1164-6-ND,SPM1423HM4H-B,Knowles,SISONIC MIC DGTL HI SNR TOP PORT,5456,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPM","Not For New Designs","MEMS (Silicon)","Digital, PDM","Omnidirectional","100Hz ~ 10kHz","-22dB ±3dB @ 94dB SPL","61.5dB","-","-","1.6V ~ 3.6V","600µA","Top","-","Solder Pads","0.186"" L x 0.148"" W (4.72mm x 3.76mm)","0.055"" (1.40mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spk0641ht4h-1-rev-a.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPK0641HT4H-1-top.jpg,423-1425-2-ND,SPK0641HT4H-1,Knowles,RAMIS MIC MULTIMODE DGT TOP PORT,17100,0,"0.63200","0","5700","Tape & Reel (TR)","SiSonic™ SPK","Active","MEMS (Silicon)","Digital, PDM","Omnidirectional","20Hz ~ 10kHz","-26dB ±1dB @ 94dB SPL","64.5dB","-","-","1.6V ~ 3.6V","800µA","Top","-","Solder Pads","0.157"" L x 0.118"" W (4.00mm x 3.00mm)","0.043"" (1.10mm)","Rectangular"
