Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Number of Ports","Voltage - Output","Current - Output","Power (Watts) - Per Port","Compliance","Data Rate","Features","Operating Temperature","Efficiency","Mounting Type","Size / Dimension"
http://www.midspans.com/pdf/POE576U-AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE576U-16ATN.jpg,993-1167-ND,POE576U-16AT-N,Phihong USA,POE INJECTOR 30W RACK,26,0,"502.04000","0","1","POE576U","Active","Midspan Injector","90 ~ 264 VAC","16","-","-","30W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.20"" L x 9.06"" W x 1.73"" H (437.0mm x 230.0mm x 44.0mm)"
http://www.midspans.com/pdf/POE576U-8UP.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE576U-8UPN.jpg,993-1173-ND,POE576U-8UP-N,Phihong USA,POE INJECTOR 72W 56V RACK,74,0,"640.50000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","8","56V","1.29A","72W","-","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.20"" L x 9.06"" W x 1.73"" H (437.0mm x 230.0mm x 44.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3785_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3785.jpg,1528-2616-ND,3785,Adafruit Industries LLC,POE SPLITTER WITH MICROUSB PLUG,309,0,"10.95000","0","1","-","Active","Splitter","44 ~ 57V","1","5V","2.4A","12W","IEEE802.3af","10/100 Mbps","-","-20°C ~ 45°C","-","Desktop","3.00"" L x 1.00"" W x 0.80"" H (76.2mm x 25.4mm x 20.3mm)"
https://www.phihong.com/admin/uploads/POE29x-560.pdf,//media.digikey.com/Photos/Phihong%20USA/POE29U-560.JPG,993-1371-ND,POE29U-560,Phihong USA,POE INJECTOR DESKTOP 56V,148,0,"26.20000","0","1","-","Active","Passive Injector","90 ~ 264 VAC","1","56V","540mA","30W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 50°C","Level VI","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://globtek.force.com/spec?id=01ta0000006xDHz,"//media.digikey.com/Photos/Globtek,%20Inc/GT96300-3656-T3-APOE.jpg",1939-1048-ND,GT96300-3656-T3-APOE,"GlobTek, Inc.","36W, 56V 0.64A, DESKTOP/EXTERNAL",198,0,"28.08000","0","1","GT-96300-3656-T3-AP","Active","Midspan Injector","90 ~ 264 VAC","1","56V","640mA","36W","IEEE802.3at","10/100/1000 Mbps","OCP, OVP, SCP","-10°C ~ 40°C","Level VI","Desktop","4.21"" L x 1.57"" W x 1.41"" H (107.0mm x 40.0mm x 35.7mm)"
https://www.phihong.com/admin/uploads/POE29X-1AT.pdf,-,993-1416-ND,POE29U-1AT,Phihong USA,POE INJECTOR 30W 56V DESKTOP,310,0,"28.20000","0","1","POE29U","Active","Passive Injector","90 ~ 264 VAC","1","56V","535mA","30W","IEEE802.3at","-","OCP, OVP, SCP","-20°C ~ 40°C","80%","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE14.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE14.jpg,993-1077-ND,POE14-120,Phihong USA,POE SPLITTER 14W 12V DESKTOP,168,0,"30.90000","0","1","POE14","Active","Splitter","36 ~ 56V","1","12V","1.17A","14W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP","0°C ~ 40°C","72%","Desktop","3.94"" L x 2.21"" W x 1.10"" H (100.0mm x 56.0mm x 28.0mm)"
http://midspans.com/pdf/POE20D-1AF.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE20D-1AF.jpg,993-1078-ND,POE20D-1AF,Phihong USA,POE INJECTOR 19.6W 56V DESKTOP,303,0,"46.69000","0","1","-","Active","Midspan Injector","18 ~ 72V","1","56V","350mA","19.6W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 50°C","80%","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE61x.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE61X.jpg,993-1093-ND,POE61W-560DG,Phihong USA,POE INJECTOR 60W 56V DESKTOP,123,0,"50.04000","0","1","POE61","Active","Passive Injector","90 ~ 264 VAC","1","56V","1.1A","60W","-","10/100/1000 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level VI","Desktop","6.40"" L x 2.56"" W x 1.42"" H (163.0mm x 65.0mm x 36.0mm)"
https://www.phihong.com/admin/uploads/POE45.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE45.jpg,993-1089-ND,POE45-120,Phihong USA,POE SPLITTER 45W 12V DESKTOP,1013,0,"58.38000","0","1","POE45","Active","Splitter","47 ~ 57V","1","12V","3.75A","45W","IEEE802.3at","10/100/1000 Mbps","OCP, OVP","0°C ~ 40°C","83%","Desktop","6.45"" L x 3.35"" W x 1.42"" H (163.8mm x 85.0mm x 36.0mm)"
https://www.phihong.com/admin/uploads/POE16R-560L6.pdf,//media.digikey.com/Photos/Phihong%20USA/POE16R-560.JPG,993-1370-ND,POE16R-560L6,Phihong USA,POE INJECTOR WALL MOUNT 56V,213,0,"18.95000","0","1","POE16R","Active","Passive Injector","90 ~ 264 VAC","1","56V","286mA","16W","IEEE802.3af","10/100 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level VI","Wall Mount","3.39"" L x 1.98"" W x 1.31"" H (86.0mm x 50.2mm x 33.2mm)"
http://www.midspans.com/pdf/POE80U.pdf,//media.digikey.com/Photos/Phihong%20USA/POE80U-560(G).JPG,993-1096-ND,POE80U-560(G),Phihong USA,POE INJECTOR 80W 56V DESKTOP,38,0,"114.50000","0","1","-","Active","Midspan Injector","85 ~ 264 VAC","1","56V","720mA","80W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-40°C ~ 55°C","75%","Desktop","8.00"" L x 5.20"" W x 2.49"" H (203.4mm x 132.0mm x 63.2mm)"
http://www.midspans.com/pdf/POE75U-1UP.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE75U-1UPN.jpg,993-1153-ND,POE75U-1UP-N,Phihong USA,POE INJECTOR 75W 56V DESKTOP,40,0,"114.93000","0","1","POE75x","Active","Midspan Injector","90 ~ 264 VAC","1","56V","670mA","75W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 40°C","80%","Desktop","6.53"" L x 3.15"" W x 2.02"" H (166.0mm x 80.0mm x 51.2mm)"
http://www.midspans.com/pdf/POE240U-4UP.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE240U-4UPN.jpg,993-1158-ND,POE240U-4UP-N,Phihong USA,POE INJECTOR 60W 56V DESKTOP,50,0,"294.00000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","4","56V","1.1A","60W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Desktop","17.26"" L x 9.06"" W x 1.75"" H (438.5mm x 230.0mm x 44.5mm)"
https://www.phihong.com/admin/uploads/POE15M-1AF.pdf,-,993-1418-ND,POE15M-1AF,Phihong USA,IEEE802.3AF - POE INJECTOR DESKT,136,0,"19.00000","0","1","POE15M","Active","Midspan Injector","90 ~ 264 VAC","1","56V","275mA","15.4W","IEEE802.3af","-","OCP, OVP, SCP","-20°C ~ 50°C","-","Desktop","4.18"" L x 1.56"" W x 1.07"" H (106.2mm x 39.5mm x 27.3mm)"
http://midspans.com/pdf/POE16R-1AF.pdf,//media.digikey.com/Photos/Phihong%20USA/POE16R-560.JPG,993-1138-ND,POE16R-1AF,Phihong USA,POE INJECTOR 15.4W 56V WALL,546,0,"19.71000","0","1","POE16R","Obsolete","Midspan Injector","90 ~ 264 VAC","1","56V","275mA","15.4W","IEEE802.3af","10/100 Mbps","OCP, OVP, SCP","0°C ~ 40°C","Level V","Wall Mount","3.39"" L x 1.77"" W x 1.30"" H (86.0mm x 45.0mm x 33.0mm)"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/AWPOE.jpg,AWPOE-ND,AWPOE,Digi International,POE INJECTOR,122,0,"20.00000","0","1","-","Obsolete","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.midspans.com/pdf/POE576U-AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE576U-16AT.jpg,993-1168-ND,POE576U-16AT,Phihong USA,POE INJECTOR 30W RACK,24,0,"435.10000","0","1","POE576U","Active","Midspan Injector","90 ~ 264 VAC","16","-","-","30W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.20"" L x 9.06"" W x 1.73"" H (437.0mm x 230.0mm x 44.0mm)"
https://assets.lairdtech.com/home/brandworld/files/IAS-BRO-Telecom-Backhaul%200115.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/POE-12S-AFI.jpg,994-1047-ND,POE-12S-AFI,Laird Technologies IAS,POE SPLITTER 8W 12V DESKTOP,53,0,"33.78000","0","1","-","Active","Splitter","36 ~ 60V","1","12V","1A","8W","IEEE802.3af","-","OCP, SCP","-10°C ~ 60°C","-","Desktop","3.25"" L x 3.00"" W x 1.50"" H (82.6mm x 76.2mm x 38.1mm)"
https://assets.tripplite.com/product-pdfs/en/npoe30w1g.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_NPOE-30W-1G.jpg,TL1926-ND,NPOE-30W-1G,Tripp Lite,GIGABIT POE+ MIDSPAN ACTIVE INJE,9,0,"46.30000","0","1","-","Active","Midspan Injector","100 ~ 240 VAC","1","-","-","30W","IEEE802.3at","10/100/1000 Mbps","OCP, SCP","0°C ~ 50°C","-","Desktop","5.40"" L x 2.60"" W x 1.40"" H (137.2mm x 66.0mm x 35.6mm)"
http://catalog.americanelectrical.com/Asset/PoE-24%20Datasheet.pdf,//media.digikey.com/Photos/American%20Elect%20Photos/MFG_PoE-24.jpg,288-1662-ND,POE-24,American Electrical Inc.,POE INJECTOR 33W,5,0,"164.94000","0","1","-","Active","Midspan Injector","10 ~ 30V","1","-","-","33W","IEEE802.3af, IEEE802.3at","10/100/1000 Mbps","OCP","-40°C ~ 65°C","-","DIN Rail","2.95"" L x 1.26"" W x 4.53"" H (75.00mm x 32.0mm x 115.00mm)"
http://www.midspans.com/pdf/POE33U-1AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE33U-1AT.jpg,993-1145-ND,POE33U-1AT,Phihong USA,POE INJECTOR 33.6W 56V BRACKET,15,0,"185.00000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","56V","600mA","33.6W","IEEE802.3at","10/100/1000 Mbps","IP67, OCP, OVP, SCP","-40°C ~ 60°C","70%","Bracket Mount","9.93"" L x 6.93"" W x 3.07"" H (252.1mm x 176.0mm x 78.0mm)"
http://www.midspans.com/pdf/POE370U.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE370U-480-16.jpg,993-1160-ND,POE370U-480-16,Phihong USA,POE INJECTOR 15.4W RACK,7,0,"312.38000","0","1","POE370U","Active","Midspan Injector","90 ~ 264 VAC","16","-","-","15.4W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.26"" L x 9.06"" W x 1.75"" H (438.5mm x 230.0mm x 44.5mm)"
http://www.midspans.com/pdf/POE370U.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE370U-480-24.jpg,993-1162-ND,POE370U-480-24,Phihong USA,POE INJECTOR 15.4W RACK,3,0,"379.31000","0","1","POE370U","Active","Midspan Injector","90 ~ 264 VAC","24","-","-","15.4W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.26"" L x 9.06"" W x 1.75"" H (438.5mm x 230.0mm x 44.5mm)"
http://www.midspans.com/pdf/POE480U.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE480U-8UP.jpg,993-1166-ND,POE480U-8UP,Phihong USA,POE INJECTOR 60W RACK,6,0,"483.00000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","8","-","-","60W","-","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.26"" L x 8.94"" W x 1.73"" H (438.5mm x 227.0mm x 44.0mm)"
http://www.midspans.com/pdf/POE60D-560G.pdf,//media.digikey.com/Photos/Phihong%20USA/POE60D-560(G).JPG,993-1090-ND,POE60D-560(G),Phihong USA,POE SPLITTER 60W 50-57V DESKTOP,27,0,"29.21000","0","1","POE60","Active","Splitter","50 ~ 57V","1","50 ~ 57V","1.1A","60W","IEEE802.3af","10/100/1000 Mbps","OCP, SCP","0°C ~ 40°C","98%","Desktop","3.94"" L x 2.25"" W x 1.42"" H (100.0mm x 56.0mm x 36.0mm)"
http://www.midspans.com/pdf/POE14-137.pdf,//media.digikey.com/Photos/Phihong%20USA/POE14-137.jpg,993-1175-ND,POE14-137,Phihong USA,POE SPLITTER 13.7W 13.7V DESKTOP,43,0,"30.90000","0","1","POE14","Active","Splitter","36 ~ 57V","1","13.7V","1A","13.7W","IEEE802.3af","10/100/1000 Mbps","OVP, SCP","0°C ~ 40°C","72%","Desktop","3.94"" L x 2.21"" W x 1.10"" H (100.0mm x 56.0mm x 28.0mm)"
https://assets.lairdtech.com/home/brandworld/files/IAS-BRO-Telecom-Backhaul%200115.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/POE-24I.jpg,994-1049-ND,POE-24I,Laird Technologies IAS,POE INJECTOR 19.2W 24V DESKTOP,15,0,"32.36000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","24V","800mA","19.2W","IEEE802.3af","-","OCP, SCP","-10°C ~ 60°C","70%","Desktop","3.25"" L x 3.00"" W x 1.50"" H (82.6mm x 76.2mm x 38.1mm)"
https://assets.lairdtech.com/home/brandworld/files/IAS-BRO-Telecom-Backhaul%200115.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/POE-18I.jpg,994-1048-ND,POE-18I,Laird Technologies IAS,POE INJECTOR 16.2W 18V DESKTOP,9,0,"33.78000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","18V","900mA","16.2W","IEEE802.3af","-","OCP, SCP","-10°C ~ 60°C","70%","Desktop","3.25"" L x 3.00"" W x 1.50"" H (82.6mm x 76.2mm x 38.1mm)"
http://www.midspans.com/pdf/POE21-120H.pdf,//media.digikey.com/Photos/Phihong%20USA/POE21%20SERIES.JPG,993-1177-ND,POE21-120H,Phihong USA,POE SPLITTER 12W 12V DESKTOP,80,0,"40.85000","0","1","POE21","Active","Splitter","45 ~ 57V","1","12V","1A","12W","IEEE802.3af","10/100/1000 Mbps","OVP, SCP","0°C ~ 40°C","75%","Desktop","3.94"" L x 2.21"" W x 1.10"" H (100.0mm x 56.0mm x 28.0mm)"
http://www.midspans.com/pdf/POE125U-8.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE125U-4ATN.jpg,993-1150-ND,POE125U-8-C,Phihong USA,POE INJECTOR 15.4W DESKTOP,5,0,"122.73000","0","1","POE125U","Active","Midspan Injector","90 ~ 264 VAC","8","-","-","15.4W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Desktop","8.85"" L x 7.87"" W x 1.91"" H (224.9mm x 200.0mm x 48.5mm)"
http://www.midspans.com/pdf/POE30S-1ATG.pdf,//media.digikey.com/photos/Phihong%20USA/POE30S-1ATG-R.JPG,993-1213-ND,POE30S-1ATG-R,Phihong USA,POE EXTENDER 30W 56V DESKTOP,7,0,"172.15000","0","1","POE30","Active","Extender","50 ~ 57V","1","56V","550mA","30W","IEEE802.3at","10/100/1000 Mbps","OCP, SCP","0°C ~ 40°C","75%","Desktop","5.91"" L x 2.36"" W x 1.06"" H (150.0mm x 60.0mm x 27.0mm)"
http://www.midspans.com/pdf/POE370U.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE370U-480-8.jpg,993-1164-ND,POE370U-480-8,Phihong USA,POE INJECTOR 15.4W RACK,15,0,"245.44000","0","1","POE370U","Active","Midspan Injector","90 ~ 264 VAC","8","-","-","15.4W","IEEE802.3af","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.26"" L x 9.06"" W x 1.75"" H (438.5mm x 230.0mm x 44.5mm)"
http://www.midspans.com/pdf/POE480U.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE480U-4UP.jpg,993-1165-ND,POE480U-4UP,Phihong USA,POE INJECTOR 60W RACK,8,0,"290.06000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","4","-","-","60W","-","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.26"" L x 8.94"" W x 1.73"" H (438.5mm x 227.0mm x 44.0mm)"
http://www.midspans.com/pdf/POE576U-AT.pdf,//media.digikey.com/Photos/Phihong%20USA/MFG_POE576U-8ATN.jpg,993-1171-ND,POE576U-8AT-N,Phihong USA,POE INJECTOR 30W RACK,7,0,"379.31000","0","1","POE576U","Active","Midspan Injector","90 ~ 264 VAC","8","-","-","30W","IEEE802.3at","10/100/1000 Mbps","OCP, OTP, OVP, SCP","0°C ~ 40°C","75%","Rack Mount","17.20"" L x 9.06"" W x 1.73"" H (437.0mm x 230.0mm x 44.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3239_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3239-Contents.JPG,1528-1770-ND,3239,Adafruit Industries LLC,802.3AF POE OUTPUT DATA & POWER,34,0,"24.95000","0","1","-","Active","Splitter","44 ~ 57V","1","5V, 9V, 12V","1A","-","IEEE802.3af","10/100 Mbps","-","-","-","Desktop","3.15"" L x 2.17"" W x 1.18"" H (80.0mm x 55.0mm x 30.0mm)"
https://www.phihong.com/admin/uploads/POE29x-560.pdf,-,993-1372-ND,POE29W-560,Phihong USA,POE INJECTOR DESKTOP 56V,49,0,"26.20000","0","1","-","Active","Passive Injector","90 ~ 264 VAC","1","56V","540mA","30W","IEEE802.3af","10/100/1000 Mbps","OCP, OVP, SCP","-20°C ~ 50°C","Level VI","Desktop","5.51"" L x 2.55"" W x 1.42"" H (140.0mm x 65.0mm x 36.0mm)"
https://assets.lairdtech.com/home/brandworld/files/IAS-BRO-Telecom-Backhaul%200115.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/POE-24IR.jpg,994-1050-ND,POE-24IR,Laird Technologies IAS,POE INJECTOR 19.2W 24V DESKTOP,6,0,"35.46000","0","1","-","Active","Midspan Injector","90 ~ 264 VAC","1","24V","800mA","19.2W","IEEE802.3af","-","OCP, SCP","-10°C ~ 60°C","70%","Desktop","3.25"" L x 3.00"" W x 1.50"" H (82.6mm x 76.2mm x 38.1mm)"
