Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","User Configuration","Type","Number of Positions","Voltage - Input","Power (Watts)","Voltage - Isolation","Efficiency","Features","Operating Temperature","Size / Dimension","Height"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1004-ND,XCB-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 700W 6 SLOT,71,0,"306.02000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","700W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1029-ND,XCD-00,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,260,0,"391.35000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1200W","3kV","90%","-","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1006-ND,XCD-01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,254,0,"391.35000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1200W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1031-ND,XCE-01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1340W 6 SLOT,128,0,"421.87000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1340W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1030-ND,XCE-00,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1340W 6 SLOT,26,0,"421.87000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1340W","3kV","90%","-","-20°C ~ 70°C","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
//media.digikey.com/pdf/Data%20Sheets/Excelsys%20PDFs/XF_Family.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/XFCS01.JPG,633-1289-ND,XFCS01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1000W 6 SLOT,27,0,"790.05000","0","1","Xgen, XF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","High Reliability, COTS","6","85 ~ 264 VAC","1000W","3kV","89%","Fan Fail, Ruggedized, Temperature Alarm","-55°C ~ 70°C (With Derating)","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1322-ND,CX06S-0000-N-A,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,60,0,"252.45000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","-","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XR_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1257-ND,XRC-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,26,0,"325.88000","0","1","Xgen, XR","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical, Low Noise","4","85 ~ 264 VAC","600W","4kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1284-ND,XCDC01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,27,0,"408.18000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1200W","3kV","90%","Conformal Coating, Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1287-ND,XCEC01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1340W 6 SLOT,29,0,"438.19000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1340W","3kV","90%","Conformal Coating, Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1089-ND,XLD-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 750W 4 SLOT,8,0,"278.42000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","750W","3kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 3.50"" W (268.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1005-ND,XCC-01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1000W 6 SLOT,22,0,"352.50000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1000W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XQ_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1263-ND,XQC-00,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,2,0,"425.22000","0","1","Xgen, XQ","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Low Noise","6","85 ~ 264 VAC","1200W","3kV","90%","-","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1024-ND,XLB-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 4 SLOT,22,0,"227.42000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","400W","3kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1327-ND,CX06S-0000-S-A,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,6,0,"294.53000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","Conformal Coating, Ruggedized","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1027-ND,XCB-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 700W 6 SLOT,11,0,"306.02000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","700W","3kV","90%","-","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XC_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1028-ND,XCC-00,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1000W 6 SLOT,23,0,"352.50000","0","1","Xgen, XC","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","6","85 ~ 264 VAC","1000W","3kV","90%","-","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/08/XL-4-Page-2nd.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1023-ND,XLA-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 200W 4 SLOT,22,0,"223.47000","0","1","Xgen, XL","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard","4","85 ~ 264 VAC","200W","3kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.advancedenergy.com/globalassets/resources-root/data-sheets/en-lv-ultimod-data-sheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/UX4C.jpg,633-1338-ND,UX4C,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,15,0,"250.18000","0","1","UltiMod, UX","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","600W","4kV","90%","Conformal Coating","-40°C ~ 70°C (With Derating)","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1323-ND,CX06S-0000-N-B,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,17,0,"252.45000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","-","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1326-ND,CX06S-0000-C-A,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,9,0,"252.45000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","Conformal Coating","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XM_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1008-ND,XMB-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 4 SLOT,19,0,"263.02000","0","1","Xgen, XM","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","400W","4kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XK_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1275-ND,XKB-00,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 4 SLOT,7,0,"269.92000","0","1","Xgen, XK","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Low Noise","4","85 ~ 264 VAC","400W","3kV","89%","-","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1325-ND,CX06M-0000-N-B,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,10,0,"302.94000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","-","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XM_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1256-ND,XMD-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 750W 4 SLOT,7,0,"327.85000","0","1","Xgen, XM","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","750W","4kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 3.50"" W (268.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XB_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1251-ND,XBC-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 800W 6 SLOT,8,0,"434.32000","0","1","Xgen, XB","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Standard, Ultra Quiet","6","85 ~ 264 VAC","800W","3kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 5.00"" W (260.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XV_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1013-ND,XVD-01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1200W 6 SLOT,10,0,"452.60000","0","1","Xgen, XV","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","6","85 ~ 264 VAC","1200W","4kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XV_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPac-6-postion%2010.62%20long.jpg,633-1271-ND,XVE-01,Excelsys Technologies Ltd,CONFIG PWR CHASSIS 1340W 6 SLOT,17,0,"490.91000","0","1","Xgen, XV","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","6","85 ~ 264 VAC","1340W","4kV","90%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
//media.digikey.com/pdf/Data%20Sheets/Excelsys%20PDFs/XF_Family.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/XFAS01.JPG,633-1291-ND,XFAS01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 400W 6 SLOT,7,0,"600.22000","0","1","Xgen, XF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","High Reliability, COTS","6","85 ~ 264 VAC","400W","3kV","89%","Fan Fail, Ruggedized, Temperature Alarm","-55°C ~ 70°C (With Derating)","10.55"" L x 5.00"" W (268.0mm x 127.0mm)","1.59"" (40.40mm)"
http://www.allegromicro.com/~/media/Files/Sanken/C-Series/C-Series-Datasheet.pdf,//media.digikey.com/Photos/Sanken%20Photos/C300H.jpg,C300H-ND,C300H,Sanken,CONFIG POWER CHASSIS 300W 4 SLOT,9,0,"133.11000","0","1","C","Active","-","Standard","4","85 ~ 264 VAC","300W","4kV","89%","-","-20°C ~ 70°C (With Derating)","10.00"" L x 4.06"" W (254.0mm x 103.0mm)","2.5"" (63.5mm)"
http://www.allegromicro.com/~/media/Files/Sanken/C-Series/C-Series-Datasheet.pdf,//media.digikey.com/Photos/Sanken%20Photos/C450H.jpg,C450H-ND,C450H,Sanken,CONFIG POWER CHASSIS 450W 5 SLOT,7,0,"150.80000","0","1","C","Active","-","Standard","5","85 ~ 264 VAC","450W","4kV","91%","-","-20°C ~ 70°C (With Derating)","10.00"" L x 5.00"" W (254.0mm x 127.0mm)","2.5"" (63.5mm)"
http://www.allegromicro.com/~/media/Files/Sanken/C-Series/C-Series-Datasheet.pdf,//media.digikey.com/Photos/Sanken%20Photos/C650H.jpg,C650H-ND,C650H,Sanken,CONFIG POWER CHASSIS 650W 5 SLOT,2,0,"175.45000","0","1","C","Active","-","Standard","5","85 ~ 264 VAC","650W","4kV","92%","-","-20°C ~ 70°C (With Derating)","10.98"" L x 5.00"" W (279.0mm x 127.0mm)","2.5"" (63.5mm)"
http://www.excelsys.com/wp-content/uploads/2012/07/Excelsys_Xgen_XM_Datasheet.pdf,//media.digikey.com/Photos/Excelsys%20Tech%20Photos/powerPacs-4-Slot-10.62%20Long.jpg,633-1007-ND,XMA-01,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 200W 4 SLOT,2,0,"257.08000","0","1","Xgen, XM","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical","4","85 ~ 264 VAC","200W","4kV","89%","Fan Fail, Temperature Alarm","-20°C ~ 70°C","10.24"" L x 3.50"" W (260.0mm x 89.0mm)","1.59"" (40.40mm)"
https://www.excelsys.com/wp-content/uploads/2017/11/CoolX_with_CME_2.0.1.pdf,//media.digikey.com/photos/Excelsys%20Tech%20Photos/CX06M-0000-N-A.jpg,633-1324-ND,CX06M-0000-N-A,Excelsys Technologies Ltd,CONFIG POWER CHASSIS 600W 4 SLOT,3,0,"302.94000","0","1","CoolX™600 NFF","Active","<a href='http://ordering.digikey.com/ProductGuides/Excelsys.aspx'>Configurator</a>","Medical, Ultra Quiet","4","85 ~ 264 VAC","600W","4kV","93%","-","-40°C ~ 70°C (With Derating)","8.50"" L x 4.50"" W (215.9mm x 114.3mm)","1.54"" (39.1mm)"
