Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Outputs","Voltage - Input","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Applications","Voltage - Isolation","Efficiency","Operating Temperature","Features","Mounting Type","Size / Dimension"
https://www.artesyn.com/power/assets/nps40-m_ds_05-09-2014_0c782fd991.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/NPS43-M.jpg,454-1481-ND,NPS43-M,Artesyn Embedded Technologies,AC/DC CONVERTER 12V 45W,728,0,"21.29000","0","1","NPS40-M (60W)","Active","Open Frame","1","90 ~ 264 VAC","12V","-","-","-","3.75A","45W (60W Forced Air)","ITE (Commercial), Medical","-","87%","0°C ~ 80°C (With Derating)","Adjustable Output, DC Input Capable, Remote Sense, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.00"" H (101.6mm x 50.8mm x 21.8mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS50-15.JPG,285-1820-ND,LS50-24,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 50W,1074,0,"21.64000","0","1","LS (50W)","Active","Enclosed","1","88 ~ 264 VAC","24V","-","-","-","2.2A","50W","ITE (Commercial)","3kV","86%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.90"" L x 3.80"" W x 1.40"" H (99.1mm x 96.5mm x 35.6mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS50-15.JPG,285-1818-ND,LS50-12,TDK-Lambda Americas Inc.,AC/DC CONVERTER 12V 50W,462,0,"21.64000","0","1","LS (50W)","Active","Enclosed","1","88 ~ 264 VAC","12V","-","-","-","4.2A","50W","ITE (Commercial)","3kV","84%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.90"" L x 3.80"" W x 1.40"" H (99.1mm x 96.5mm x 35.6mm)"
http://deltapsu.com/products/download/Datasheet/MDS-065APS12-B,//media.digikey.com/Photos/Delta%20Photos/MDS-065APS12%20BA.JPG,1145-1019-ND,MDS-065APS12 BA,Delta Electronics,AC/DC CONVERTER 12V 65W,579,0,"22.85000","0","1","MDS-065 (65W)","Active","Open Frame","1","90 ~ 264 VAC","12V","-","-","-","5A","65W","ITE (Commercial), Medical","4kV","85%","-10°C ~ 70°C","Standby Output, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.20"" H (101.6mm x 50.8mm x 30.5mm)"
http://www.deltapsu.com/products/download/Datasheet/PMT-24V50W1AA,//media.digikey.com/Photos/Delta%20Photos/PMT-24V50W1AA.jpg,1145-1079-ND,PMT-24V50W1AA,Delta Electronics,AC/DC CONVERTER 24V 50W,641,0,"21.86000","0","1","PMT (50W)","Active","Enclosed","1","85 ~ 264 VAC","24V","-","-","-","2.09A","50W","ITE (Commercial)","3kV","86%","-10°C ~ 70°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","3.86"" L x 3.86"" W x 1.50"" H (98.0mm x 98.0mm x 38.0mm)"
http://www.deltapsu.com/products/download/Datasheet/PMT-12V50W1AA,//media.digikey.com/Photos/Delta%20Photos/PMT-12V50W1AA.jpg,1145-1073-ND,PMT-12V50W1AA,Delta Electronics,AC/DC CONVERTER 12V 50W,520,0,"21.86000","0","1","PMT (50W)","Active","Enclosed","1","90 ~ 264 VAC","12V","-","-","-","4.17A","50W","ITE (Commercial)","3kV","83%","-10°C ~ 70°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","3.86"" L x 3.86"" W x 1.50"" H (98.0mm x 98.0mm x 38.0mm)"
https://www.xppower.com/Portals/0/pdfs/SF_VCS.pdf,//media.digikey.com/Photos/XP%20Power/MFG_VCS70.jpg,1470-2290-ND,VCS70US24,XP Power,AC/DC CONVERTER 24V 70W,589,0,"22.00000","0","1","VCS (70W)","Active","Enclosed","1","85 ~ 264 VAC","24V","-","-","-","2.92A","70W","ITE (Commercial)","3kV","87%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.12"" L x 3.88"" W x 1.61"" H (130.0mm x 98.5mm x 41.0mm)"
http://www.deltapsu.com/products/download/Datasheet/MDS-065APS18-B,//media.digikey.com/Photos/Delta%20Photos/MDS-065APS18%20BA.JPG,1145-1017-ND,MDS-065APS18 BA,Delta Electronics,AC/DC CONVERTER 18V 65W,261,0,"22.85000","0","1","MDS-065 (65W)","Active","Open Frame","1","90 ~ 264 VAC","18V","-","-","-","3.6A","65W","ITE (Commercial), Medical","4kV","85%","-10°C ~ 70°C","Standby Output, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.20"" H (101.6mm x 50.8mm x 30.5mm)"
https://www.us.tdk-lambda.com/ftp/Specs/zpsa.pdf,//media.digikey.com/photos/Lambda%20Americas%20Photos/MFG_ZPSA20%20SERIES.jpg,285-1746-ND,ZPSA20-9,TDK-Lambda Americas Inc.,AC/DC CONVERTER 9V 20W,415,0,"23.31000","0","1","ZPSA20 (14-20W)","Active","Open Frame","1","85 ~ 264 VAC, 120 ~ 370 VDC","9V","-","-","-","2.45A","20W","ITE (Commercial)","3kV","82%","0°C ~ 70°C","DC Input Capable, Universal Input","Chassis Mount","3.50"" L x 2.00"" W x 0.79"" H (88.9mm x 50.8mm x 20.0mm)"
https://www.us.tdk-lambda.com/ftp/Specs/zpsa.pdf,//media.digikey.com/photos/Lambda%20Americas%20Photos/MFG_ZPSA20%20SERIES.jpg,285-1745-ND,ZPSA20-5,TDK-Lambda Americas Inc.,AC/DC CONVERTER 5V 20W,249,0,"23.31000","0","1","ZPSA20 (14-20W)","Active","Open Frame","1","85 ~ 264 VAC, 120 ~ 370 VDC","5V","-","-","-","4.4A","20W","ITE (Commercial)","3kV","82%","0°C ~ 70°C","DC Input Capable, Universal Input","Chassis Mount","3.50"" L x 2.00"" W x 0.79"" H (88.9mm x 50.8mm x 20.0mm)"
https://www.artesyn.com/power/assets/nps60-m_ds_25jun2015_3ca389f902.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/NPS24-M.jpg,454-1423-ND,NPS65-M,Artesyn Embedded Technologies,AC/DC CONVERTER 24V 60W,5639,0,"23.50000","0","1","NPS60-M (60W)","Active","Open Frame","1","90 ~ 264 VAC","24V","-","-","-","2.5A","60W","ITE (Commercial), Medical","-","87%","0°C ~ 80°C (With Derating)","Adjustable Output, DC Input Capable, Remote Sense, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.00"" H (101.6mm x 50.8mm x 21.8mm)"
https://www.artesyn.com/power/assets/nps60-m_ds_25jun2015_3ca389f902.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/NPS24-M.jpg,454-1422-ND,NPS63-M,Artesyn Embedded Technologies,AC/DC CONVERTER 12V 60W,528,0,"23.50000","0","1","NPS60-M (60W)","Active","Open Frame","1","90 ~ 264 VAC","12V","-","-","-","5A","60W","ITE (Commercial), Medical","-","87%","0°C ~ 80°C (With Derating)","Adjustable Output, DC Input Capable, Remote Sense, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.00"" H (101.6mm x 50.8mm x 21.8mm)"
https://www.us.tdk-lambda.com/ftp/Specs/dsp.pdf,//media.digikey.com/Photos/TDK%20Photos/DSP18%20SERIES.JPG,285-1227-ND,DSP10-24,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 10W,4138,0,"24.44000","0","1","DSP (7.5-100W)","Active","Enclosed","1","90 ~ 264 VAC, 120 ~ 370 VDC","24V","-","-","-","420mA","10W","ITE (Commercial)","3kV","80%","-25°C ~ 71°C (With Derating)","DC Input Capable, Universal Input","DIN Rail","2.19"" L x 0.71"" W x 3.58"" H (55.6mm x 18.0mm x 90.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/dsp.pdf,//media.digikey.com/Photos/TDK%20Photos/DSP18%20SERIES.JPG,285-1225-ND,DSP10-12,TDK-Lambda Americas Inc.,AC/DC CONVERTER 12V 10W,662,0,"24.44000","0","1","DSP (7.5-100W)","Active","Enclosed","1","90 ~ 264 VAC, 120 ~ 370 VDC","12V","-","-","-","830mA","10W","ITE (Commercial)","3kV","78%","-25°C ~ 71°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","DIN Rail","2.19"" L x 0.71"" W x 3.58"" H (55.6mm x 18.0mm x 90.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/dsp.pdf,//media.digikey.com/Photos/TDK%20Photos/DSP18%20SERIES.JPG,285-1228-ND,DSP10-5,TDK-Lambda Americas Inc.,AC/DC CONVERTER 5V 10W,646,0,"24.44000","0","1","DSP (7.5-100W)","Active","Enclosed","1","90 ~ 264 VAC, 120 ~ 370 VDC","5V","-","-","-","1.5A","10W","ITE (Commercial)","3kV","74%","-25°C ~ 71°C (With Derating)","DC Input Capable, Universal Input","DIN Rail","2.19"" L x 0.71"" W x 3.58"" H (55.6mm x 18.0mm x 90.9mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS75-3.3.JPG,285-1827-ND,LS75-24,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 75W,1292,0,"25.14000","0","1","LS (75W)","Active","Enclosed","1","88 ~ 264 VAC","24V","-","-","-","3.2A","75W","ITE (Commercial)","3kV","86%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.10"" L x 3.80"" W x 1.50"" H (129.5mm x 96.5mm x 38.1mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS75-3.3.JPG,285-1830-ND,LS75-48,TDK-Lambda Americas Inc.,AC/DC CONVERTER 48V 75W,828,0,"25.14000","0","1","LS (75W)","Active","Enclosed","1","88 ~ 264 VAC","48V","-","-","-","1.6A","75W","ITE (Commercial)","3kV","87%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.10"" L x 3.80"" W x 1.50"" H (129.5mm x 96.5mm x 38.1mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS75-3.3.JPG,285-1825-ND,LS75-12,TDK-Lambda Americas Inc.,AC/DC CONVERTER 12V 75W,728,0,"25.14000","0","1","LS (75W)","Active","Enclosed","1","88 ~ 264 VAC","12V","-","-","-","6A","75W","ITE (Commercial)","3kV","84%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.10"" L x 3.80"" W x 1.50"" H (129.5mm x 96.5mm x 38.1mm)"
https://www.us.tdk-lambda.com/ftp/Specs/ls.pdf,//media.digikey.com/photos/TDK%20Photos/LS75-3.3.JPG,285-1826-ND,LS75-15,TDK-Lambda Americas Inc.,AC/DC CONVERTER 15V 75W,158,0,"25.14000","0","1","LS (75W)","Active","Enclosed","1","88 ~ 264 VAC","15V","-","-","-","5A","75W","ITE (Commercial)","3kV","85%","-25°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.10"" L x 3.80"" W x 1.50"" H (129.5mm x 96.5mm x 38.1mm)"
https://www.cui.com/product/resource/digikeypdf/vof-30.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-30.jpg,102-3346-ND,VOF-30-12,CUI Inc.,AC/DC CONVERTER 12V 30W,2399,0,"25.18000","0","1","VOF-30 (30W)","Active","Open Frame","1","90 ~ 277 VAC","12V","-","-","-","2.5A","30W","ITE (Commercial)","3kV","84%","-20°C ~ 60°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.54"" L x 2.00"" W x 0.83"" H (90.0mm x 50.8mm x 21.1mm)"
https://www.cui.com/product/resource/digikeypdf/vof-30.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-30.jpg,102-3348-ND,VOF-30-24,CUI Inc.,AC/DC CONVERTER 24V 30W,1450,0,"25.18000","0","1","VOF-30 (30W)","Active","Open Frame","1","90 ~ 277 VAC","24V","-","-","-","1.3A","30W","ITE (Commercial)","3kV","86%","-20°C ~ 60°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.54"" L x 2.00"" W x 0.83"" H (90.0mm x 50.8mm x 21.1mm)"
https://www.xppower.com/Portals/0/pdfs/SF_ECS25-60.pdf,//media.digikey.com/Photos/XP%20Power/MCG_ECS25.jpg,1470-1282-ND,ECS25US12,XP Power,AC/DC CONVERTER 12V 25W,938,0,"25.75000","0","1","ECS (25W)","Active","Open Frame","1","80 ~ 264 VAC","12V","-","-","-","2.08A","25W","ITE (Commercial), Medical","4kV","90%","-20°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.00"" L x 2.00"" W x 0.95"" H (76.2mm x 50.8mm x 24.2mm)"
https://www.cui.com/product/resource/digikeypdf/vsk-s5-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VSK-S5-T.jpg,102-2666-ND,VSK-S5-12UA-T,CUI Inc.,AC/DC CONVERTER 12V 5W,366,0,"26.18000","0","1","VSK-S5-T (5.5W)","Active","Enclosed","1","85 ~ 264 VAC","12V","-","-","-","420mA","5W","ITE (Commercial)","4kV","76%","-25°C ~ 70°C","Universal Input","Chassis Mount","2.99"" L x 1.24"" W x 0.94"" H (76.0mm x 31.5mm x 23.4mm)"
http://www.deltapsu.com/products/download/Datasheet/PMC-24V075W1AA,//media.digikey.com/Photos/Delta%20Photos/PMC128%20SERIES.JPG,603-1638-ND,PMC-24V075W1AA,Delta Electronics,AC/DC CONVERTER 24V 75W,243,0,"26.66000","0","1","PMC (75W)","Active","Enclosed","1","85 ~ 264 VAC","24V","-","-","-","3.125A","75W","ITE (Commercial)","3kV","86%","-20°C ~ 70°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","5.04"" L x 3.82"" W x 1.50"" H (128.0mm x 97.0mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/vof-50.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-50.jpg,102-3349-ND,VOF-50-12,CUI Inc.,AC/DC CONVERTER 12V 50W,3255,0,"27.98000","0","1","VOF-50 (50W)","Active","Open Frame","1","90 ~ 277 VAC","12V","-","-","-","4.2A","50W","ITE (Commercial)","3kV","87%","-20°C ~ 60°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.32"" H (101.6mm x 50.8mm x 33.6mm)"
https://www.cui.com/product/resource/digikeypdf/vof-50.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-50.jpg,102-3351-ND,VOF-50-24,CUI Inc.,AC/DC CONVERTER 24V 50W,1046,0,"27.98000","0","1","VOF-50 (50W)","Active","Open Frame","1","90 ~ 277 VAC","24V","-","-","-","2.1A","50W","ITE (Commercial)","3kV","89%","-20°C ~ 60°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.32"" H (101.6mm x 50.8mm x 33.6mm)"
https://www.cui.com/product/resource/digikeypdf/vof-50.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_VOF-50.jpg,102-3350-ND,VOF-50-15,CUI Inc.,AC/DC CONVERTER 15V 50W,562,0,"27.98000","0","1","VOF-50 (50W)","Active","Open Frame","1","90 ~ 277 VAC","15V","-","-","-","3.4A","50W","ITE (Commercial)","3kV","88%","-20°C ~ 60°C (With Derating)","Adjustable Output, Universal Input","Chassis Mount","4.00"" L x 2.00"" W x 1.32"" H (101.6mm x 50.8mm x 33.6mm)"
http://www.deltapsu.com/products/download/Datasheet/DRC-24V30W1AZ,//media.digikey.com/Photos/Delta%20Photos/MFG_DRC-24V30W1AZ.jpg,1145-1102-ND,DRC-24V30W1AZ,Delta Electronics,AC/DC CONVERTER 24V 30W,587,0,"28.22000","0","1","Chrome (30W)","Active","Enclosed","1","90 ~ 264 VAC","24V","-","-","-","1.25A","30W","ITE (Commercial)","3kV","87%","-25°C ~ 71°C (With Derating)","Adjustable Output, DC Input Capable, IP20, Universal Input","DIN Rail","3.58"" L x 2.09"" W x 2.19"" H (91.0mm x 53.0mm x 55.6mm)"
https://www.cui.com/product/resource/digikeypdf/vgd-30.pdf,//media.digikey.com/Photos/CUI%20Photos/VGD-30.jpg,102-2527-ND,VGD-30-D512,CUI Inc.,AC/DC CONVERTER 5V 12V 30W,465,0,"28.48000","0","1","VGD-30 (30W)","Active","Enclosed","2","85 ~ 264 VAC","5V","12V","-","-","4A, 2A","30W","ITE (Commercial)","-","79%","-10°C ~ 60°C (With Derating)","Adjustable Output, DC Input Capable, Universal Input","Chassis Mount","3.90"" L x 3.82"" W x 1.42"" H (99.0mm x 97.0mm x 36.0mm)"
https://www.us.tdk-lambda.com/ftp/Specs/zpsa40-60.pdf,//media.digikey.com/photos/TDK%20Photos/ZPSA4048.JPG,285-1835-ND,ZPSA4024,TDK-Lambda Americas Inc.,AC/DC CONVERTER 24V 40W,440,0,"28.74000","0","1","ZPSA40 (40W)","Active","Open Frame","1","90 ~ 264 VAC","24V","-","-","-","1.67A","40W","ITE (Commercial)","3kV","86%","0°C ~ 70°C","-","Chassis Mount","4.00"" L x 2.00"" W x 1.07"" H (101.6mm x 50.8mm x 27.1mm)"
