Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Topology","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Dimming","Features","Ratings","Operating Temperature","Efficiency","Termination Style","Size / Dimension"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-12.jpg,1121-1069-ND,LED40W-036-C1100,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 1.1A,191,0,"24.26000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","1.1A","40W","-","-","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","86%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-024-C1670-D.jpg,1121-1363-ND,LED40W-024-C1670-D,Thomas Research Products,LED DRIVER CC AC/DC 8-24V 1.67A,699,0,"26.70000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","8 ~ 24V","1.67A","40W","-","Analog","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","86%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-024-C1300-D.JPG,1121-1067-ND,LED40W-024-C1400-D,Thomas Research Products,LED DRIVER CC AC/DC 8-24V 1.4A,560,0,"26.70000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","8 ~ 24V","1.4A","40W","-","Analog","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","86%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-024-C1300-D.JPG,1121-1070-ND,LED40W-036-C1100-D,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 1.1A,460,0,"26.70000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","1.1A","40W","-","Analog","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","86%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-024-C1300-D.JPG,1121-1076-ND,LED40W-114-C0350-D,Thomas Research Products,LED DRIVR CC AC/DC 38-114V 350MA,398,0,"26.70000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","38 ~ 114V","350mA","40W","-","Analog","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","87%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-030-C1400-D.jpg,1121-1308-ND,LED40W-030-C1400-D,Thomas Research Products,LED DRIVER CC AC/DC 10-30V 1.4A,345,0,"26.70000","0","1","LED-40W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","10 ~ 30V","1.4A","42W","-","Analog","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","85%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1019-ND,ESS015W-0300-42,"ERP Power, LLC",LED DRIVER CC AC/DC 28-42V 300MA,655,0,"26.88000","0","1","ESS (30W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","28 ~ 42V","300mA","13W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://hubbellcdn.com/specsheet/LED-25W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-25W%20SERIES.JPG,1121-1052-ND,LED25W-72-C0350,Thomas Research Products,LED DRIVER CC AC/DC 24-72V 350MA,241,0,"27.29000","0","1","LED-25W","Active","Constant Current","AC DC Converter","1","100VAC","277VAC","24 ~ 72V","350mA","25W","-","-","OCP, OVP, SCP","IP66","-","86%","Wire Leads","3.15"" L x 3.07"" W x 0.99"" H (80.0mm x 78.0mm x 25.2mm)"
https://hubbellcdn.com/specsheet/LED-30W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED30W-24-C1250-D.jpg,1121-1058-ND,LED30W-42-C0700-D,Thomas Research Products,LED DRIVER CC AC/DC 14-42V 700MA,1049,0,"28.02000","0","1","LED-30W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","14 ~ 42V","700mA","30W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 60°C","87%","Wire Leads","4.92"" L x 1.69"" W x 0.98"" H (125.0mm x 43.0mm x 25.0mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1012-ND,ESS020W-0700-24,"ERP Power, LLC",LED DRIVER CC AC/DC 14-24V 700MA,575,0,"28.54000","0","1","ESS (20W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","14 ~ 24V","700mA","17W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1023-ND,ESS020W-0450-42,"ERP Power, LLC",LED DRIVER CC AC/DC 28-42V 450MA,472,0,"28.54000","0","1","ESS (20W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","28 ~ 42V","450mA","19W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://www.erp-power.com/wp-content/series-assets/vlm-series/datasheet-short/vlm-series-1-pager.zip,//media.digikey.com/Photos/ERP-Power/MFG_VLM40-60-100-Series.jpg,1800-1104-ND,VLM60W-48,"ERP Power, LLC","120 TO 277 VAC, 93% EFF., RECTAN",190,0,"28.73000","0","1","VLM60 (60W)","Active","Constant Voltage","AC DC Converter","1","120VAC","277VAC","48V","1.25A","60W","-","-","-","IP20","90°C","93%","Wire Leads","5.12"" L x 0.77"" W x 0.78"" H (130.0mm x 19.7mm x 19.8mm)"
https://hubbellcdn.com/specsheet/LED-40W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED40W-12.jpg,1121-1062-ND,LED40W-012,Thomas Research Products,LED DRIVER CV AC/DC 12V 3.33A,267,0,"28.78000","0","1","LED-40W","Active","Constant Voltage","AC DC Converter","1","90VAC","305VAC","12V","3.33A","40W","-","-","OCP, OVP, SCP","IP66, NEMA 4","-30°C ~ 60°C","84%","Wire Leads","3.74"" L x 2.76"" W x 1.26"" H (95.0mm x 70.0mm x 32.0mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1003-ND,ESS030W-0500-42,"ERP Power, LLC",LED DRIVER CC AC/DC 28-42V 500MA,303,0,"30.23000","0","1","ESS (30W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","28 ~ 42V","500mA","21W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1000-ND,ESS030W-0700-42,"ERP Power, LLC",LED DRIVER CC AC/DC 28-42V 700MA,184,0,"30.23000","0","1","ESS (30W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","28 ~ 42V","700mA","29W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://hubbellcdn.com/specsheet/S040W-056C1500.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/S040W-056C1500-C02-UN-D2.jpg,1121-1611-ND,S040W-056C1500-C02-UN-D2,Thomas Research Products,LED DVR CC AC/DC 12-56V 1.5A,268,0,"33.85000","0","1","SelectSYNC™ Intelligent (40W)","Active","Constant Current","AC DC Converter","1","108VAC","305VAC","12 ~ 56V","0.3 ~ 1.5 A (700mA Default)","40W","-","Analog","OCP, OTP, OVP, SCP","IP20","-30°C ~ 85°C","84%","Terminal Block","4.22"" L x 2.36"" W x 0.95"" H (107.2mm x 59.9mm x 24.1mm)"
https://www.erp-power.com/wp-content/series-assets/datasheets/constant-current/ess-esst/ess-esst-series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESS-Series.jpg,1800-1067-ND,ESST040W-1400-24,"ERP Power, LLC",LED DRIVER CC AC/DC 14-24V 1.4A,622,0,"35.25000","0","1","ESST (40W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","14 ~ 24V","1.4A","34W","-","Analog, ELV, Triac","OCP, OTP, SCP","IP64","-","87%","Wire Leads","3.30"" L x 1.57"" W x 0.99"" H (83.8mm x 39.9mm x 25.1mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-50W-D.jpg,1121-1303-ND,LED50W-048-C1050-D,Thomas Research Products,LED DRIVER CC AC/DC 16-48V 1.05A,780,0,"35.67000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","16 ~ 48V","1.05A","50W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 60°C","88%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-50W-D.jpg,1121-1301-ND,LED50W-042-C1190-D,Thomas Research Products,LED DRIVER CC AC/DC 14-42V 1.19A,548,0,"35.67000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","14 ~ 42V","1.19A","50W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 60°C","87%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-50W-D.jpg,1121-1079-ND,LED50W-142-C0350-D,Thomas Research Products,LED DRIVR CC AC/DC 47-142V 350MA,441,0,"35.67000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","47 ~ 142V","350mA","50W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 65°C","89%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-50W-D.jpg,1121-1088-ND,LED50W-036-C1400-D,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 1.4A,210,0,"35.67000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","1.4A","50W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 65°C","87%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED-50W-D.jpg,1121-1082-ND,LED50W-024-C2100-D,Thomas Research Products,LED DRIVER CC AC/DC 8-24V 2.1A,188,0,"35.67000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","8 ~ 24V","2.1A","50W","-","Analog","OCP, OVP, SCP","IP66","-30°C ~ 65°C","87%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED50W-12.jpg,1121-1085-ND,LED50W-072-C0700,Thomas Research Products,LED DRIVER CC AC/DC 24-72V 700MA,139,0,"40.95000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","24 ~ 72V","700mA","50W","-","-","OCP, OVP, SCP","IP66","-30°C ~ 65°C","88%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/LED-50W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/LED50W-12.jpg,1121-1078-ND,LED50W-142-C0350,Thomas Research Products,LED DRIVR CC AC/DC 47-142V 350MA,248,0,"44.09000","0","1","LED-50W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","47 ~ 142V","350mA","50W","-","-","OCP, OVP, SCP","IP66","-30°C ~ 65°C","89%","Wire Leads","7.64"" L x 1.69"" W x 0.98"" H (194.0mm x 43.0mm x 25.0mm)"
https://hubbellcdn.com/specsheet/PLED-75W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/PLED-75W-SERIES.jpg,1121-1208-ND,PLED75W-027-C2800-D,Thomas Research Products,LED DRIVER CC AC/DC 9-27V 2.8A,798,0,"45.79000","0","1","PLED75W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","9 ~ 27V","2.8A","75W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-30°C ~ 65°C","88%","Wire Leads","5.00"" L x 2.32"" W x 1.47"" H (140.2mm x 58.9mm x 37.3mm)"
https://hubbellcdn.com/specsheet/PLED-75W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/PLED-75W-SERIES.jpg,1121-1202-ND,PLED75W-214-C0350-D,Thomas Research Products,LED DRIVR CC AC/DC 72-214V 350MA,456,0,"45.79000","0","1","PLED75W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","72 ~ 214V","350mA","75W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-30°C ~ 65°C","92%","Wire Leads","5.00"" L x 2.32"" W x 1.47"" H (140.2mm x 58.9mm x 37.3mm)"
https://hubbellcdn.com/specsheet/PLED-75W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/PLED-75W-SERIES.jpg,1121-1207-ND,PLED75W-036-C2100-D,Thomas Research Products,LED DRIVER CC AC/DC 12-36V 2.1A,283,0,"45.79000","0","1","PLED75W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","12 ~ 36V","2.1A","75W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-30°C ~ 65°C","89%","Wire Leads","5.00"" L x 2.32"" W x 1.47"" H (140.2mm x 58.9mm x 37.3mm)"
https://hubbellcdn.com/specsheet/PLED-75W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/PLED-75W-SERIES.jpg,1121-1222-ND,PLED75W-054-C1400-D,Thomas Research Products,LED DRIVER CC AC/DC 18-54V 1.4A,278,0,"45.79000","0","1","PLED75W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","18 ~ 54V","1.4A","75W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-30°C ~ 65°C","91%","Wire Leads","5.00"" L x 2.32"" W x 1.47"" H (140.2mm x 58.9mm x 37.3mm)"
https://hubbellcdn.com/specsheet/PLED-60W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/MFG_PLED60W-0xx-Cxxxx-D.jpg,1121-1530-ND,PLED60W-054-C1050-D,Thomas Research Products,LED DRIVER CC AC/DC 18-54V 1.05A,241,0,"45.79000","0","1","PLED60W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","18 ~ 54V","1.05A","60W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-","88%","Wire Leads","5.12"" L x 2.33"" W x 1.47"" H (130.0mm x 59.2mm x 37.3mm)"
https://hubbellcdn.com/specsheet/PLED-75W.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/PLED-75W-SERIES.jpg,1121-1204-ND,PLED75W-108-C0700-D,Thomas Research Products,LED DRIVR CC AC/DC 36-108V 700MA,209,0,"45.79000","0","1","PLED75W","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","36 ~ 108V","700mA","75W","-","Analog","OCP, OVP, SCP","IP66, NEMA 6","-30°C ~ 65°C","92%","Wire Leads","5.00"" L x 2.32"" W x 1.47"" H (140.2mm x 58.9mm x 37.3mm)"
https://www.erp-power.com/wp-content/uploads/2017/05/EVM-Series-1-pager.pdf,//media.digikey.com/Photos/ERP-Power/ESM030W-0900-26.JPG,1800-1013-ND,EVM080W-1900-42,"ERP Power, LLC",LED DRIVER CC AC/DC 30-42V 1.9A,223,0,"49.74000","0","1","EVM (120W)","Active","Constant Current","AC DC Converter","1","120VAC","277VAC","30 ~ 42V","1.9A","80W","-","ELV, Triac","OCP, OTP, SCP","IP20, NEMA 410","-30°C ~ 90°C","89%","Wire Leads","5.67"" L x 2.76"" W x 1.57"" H (144.0mm x 70.0mm x 40.0mm)"
https://www.cree.com/led-components/media/documents/LMD_300.pdf,//media.digikey.com/Photos/Cree%20Photos/LMD600-0100-C1A7-7030000.JPG,LMD600-0100-C1A7-7030000-ND,LMD600-0100-C1A7-7030000,Cree Inc.,LED DRIVER CC AC/DC 25-52V 1.7A,145,0,"57.29000","0","1","LMD600","Active","Constant Current","AC DC Converter","1","90VAC","305VAC","25 ~ 52V","1.7A","88W","-","Analog","-","IP20, NEMA 410","0°C ~ 90°C","87%","Wire Leads","6.30"" L x 2.48"" W x 1.84"" H (160.0mm x 63.0mm x 46.6mm)"
https://cdn.samsung.com/led/file/data/pmd/Data_Sheet_PMD-35A-S_SLP-DUA4350AUS.pdf,//media.digikey.com/Photos/Samsung%20Photos/MFG_SLP-DUA4350AUS.jpg,1510-2297-ND,SLP-DUA4350AUS,"Samsung Semiconductor, Inc.",LED DVR 2CH TUNABLE WHITE,473,0,"58.44000","0","1","PMD","Active","Constant Current","AC DC Converter","2","120VAC","277VAC","20 ~ 50V","1.4A","35W","-","Analog","OTP, OVP, SCP","IP20","-20°C ~ 50°C","88%","Terminal Block","4.21"" L x 3.01"" W x 1.17"" H (107.0mm x 76.4mm x 29.8mm)"
https://cdn.samsung.com/led/file/data/pmd/Data_Sheet_PMD-55A-S_SLP-DUA4550AUS.pdf,//media.digikey.com/Photos/Samsung%20Photos/MFG_SLP-DUA4550AUS.jpg,1510-2300-ND,SLP-DUA4550AUS,"Samsung Semiconductor, Inc.",LED DVR 2CH TUNABLE WHITE,467,0,"59.79000","0","1","PMD","Active","Constant Current","AC DC Converter","2","120VAC","277VAC","20 ~ 50V","1.4A","55W","-","Analog","OTP, OVP, SCP","IP20","-20°C ~ 50°C","88%","Terminal Block","4.21"" L x 3.01"" W x 1.17"" H (107.0mm x 76.4mm x 29.8mm)"
https://cdn.samsung.com/led/file/data/pmd/Data_Sheet_PMD-55A-L_SLP-DUA45501US.pdf,//media.digikey.com/Photos/Samsung%20Photos/MFG_SLP-DUA45501US.jpg,1510-2299-ND,SLP-DUA45501US,"Samsung Semiconductor, Inc.",LED DVR 2CH TUNABLE WHITE,808,0,"60.49000","0","1","PMD","Active","Constant Current","AC DC Converter","2","120VAC","277VAC","20 ~ 50V","1.4A","55W","-","Analog","OTP, OVP, SCP","IP20","-20°C ~ 50°C","88%","Terminal Block","11.81"" L x 1.30"" W x 0.98"" H (300.0mm x 33.0mm x 25.0mm)"
