Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Voltage - Input (Min)","Voltage - Input (Max)","Number of Outputs","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Efficiency","Operating Temperature","Mounting Type","Size / Dimension"
https://www.cui.com/product/resource/digikeypdf/pyb10-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-T.jpg,102-3147-ND,PYB10-Q48-S12-T,CUI Inc.,DC/DC CONVERTER 12V 10W,430,0,"33.35000","0","1","Tray","PYB10-T (10W)","Active","Enclosed","18V","75V","1","12V","-","-","-","833mA","10W","-","-","86%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-T.jpg,102-3146-ND,PYB10-Q48-S5-T,CUI Inc.,DC/DC CONVERTER 5V 10W,146,0,"33.35000","0","1","Tray","PYB10-T (10W)","Active","Enclosed","18V","75V","1","5V","-","-","-","2A","10W","-","-","82%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-T.jpg,102-3139-ND,PYB10-Q24-S12-T,CUI Inc.,DC/DC CONVERTER 12V 10W,401,0,"33.53000","0","1","Tray","PYB10-T (10W)","Active","Enclosed","9V","36V","1","12V","-","-","-","833mA","10W","-","-","86%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-U.jpg,102-3201-ND,PYB15-Q24-S12-U,CUI Inc.,DC/DC CONVERTER 12V 15W,449,0,"37.28000","0","1","Tray","PYB15-U (15W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.25A","15W","-","-","89%","-40°C ~ 85°C","Chassis Mount","2.16"" L x 2.06"" W x 0.75"" H (54.9mm x 52.3mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-U.jpg,102-3200-ND,PYB15-Q24-S5-U,CUI Inc.,DC/DC CONVERTER 5V 15W,321,0,"37.28000","0","1","Tray","PYB15-U (15W)","Active","Enclosed","9V","36V","1","5V","-","-","-","3A","15W","-","-","90%","-40°C ~ 85°C","Chassis Mount","2.16"" L x 2.06"" W x 0.75"" H (54.9mm x 52.3mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-T.jpg,102-3194-ND,PYB15-Q48-S12-T,CUI Inc.,DC/DC CONVERTER 12V 15W,545,0,"38.40000","0","1","Tray","PYB15-T (15W)","Active","Enclosed","18V","75V","1","12V","-","-","-","1.25A","15W","-","-","88%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-T.jpg,102-3185-ND,PYB15-Q24-S5-T,CUI Inc.,DC/DC CONVERTER 5V 15W,509,0,"38.40000","0","1","Tray","PYB15-T (15W)","Active","Enclosed","9V","36V","1","5V","-","-","-","3A","15W","-","-","90%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-DIN.jpg,102-3123-ND,PYB10-Q24-S12-DIN,CUI Inc.,DC/DC CONVERTER 12V 10W,316,0,"44.88000","0","1","Tray","PYB10-DIN (10W)","Active","Enclosed","9V","36V","1","12V","-","-","-","833mA","10W","-","-","84%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-DIN.jpg,102-3125-ND,PYB10-Q24-S24-DIN,CUI Inc.,DC/DC CONVERTER 24V 10W,178,0,"44.88000","0","1","Tray","PYB10-DIN (10W)","Active","Enclosed","9V","36V","1","24V","-","-","-","416mA","10W","-","-","85%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb10-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB10-DIN.jpg,102-3122-ND,PYB10-Q24-S5-DIN,CUI Inc.,DC/DC CONVERTER 5V 10W,331,0,"44.89000","0","1","Tray","PYB10-DIN (10W)","Active","Enclosed","9V","36V","1","5V","-","-","-","2A","10W","-","-","80%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DDC15.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DDC15.jpg,1470-2830-ND,DDC1524S12,XP Power,DC/DC CONVERTER 12V 15W,235,0,"47.00000","0","1","-","DDC15 (15W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.25A","15W","-","ITE (Commercial)","82%","-40°C ~ 70°C","DIN Rail","2.22"" L x 0.71"" W x 3.58"" H (56.4mm x 18.0mm x 91.0mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DDC15.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DDC15.jpg,1470-2828-ND,DDC1524S05,XP Power,DC/DC CONVERTER 5V 15W,230,0,"47.00000","0","1","-","DDC15 (15W)","Active","Enclosed","9V","36V","1","5V","-","-","-","2.7A","15W","-","ITE (Commercial)","80%","-40°C ~ 70°C","DIN Rail","2.22"" L x 0.71"" W x 3.58"" H (56.4mm x 18.0mm x 91.0mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-DIN.jpg,102-3170-ND,PYB15-Q24-S5-DIN,CUI Inc.,DC/DC CONVERTER 5V 15W,253,0,"47.99000","0","1","Tray","PYB15-DIN (15W)","Active","Enclosed","9V","36V","1","5V","-","-","-","3A","15W","-","-","88%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb15-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB15-DIN.jpg,102-3171-ND,PYB15-Q24-S12-DIN,CUI Inc.,DC/DC CONVERTER 12V 15W,136,0,"47.99000","0","1","Tray","PYB15-DIN (15W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.25A","15W","-","-","87%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-U.jpg,102-3248-ND,PYB20-Q24-S12-U,CUI Inc.,DC/DC CONVERTER 12V 20W,231,0,"52.24000","0","1","Tray","PYB20-U (20W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.667A","20W","-","-","89%","-40°C ~ 85°C","Chassis Mount","2.16"" L x 2.06"" W x 0.75"" H (54.9mm x 52.3mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-T.jpg,102-3231-ND,PYB20-Q24-S5-T,CUI Inc.,DC/DC CONVERTER 5V 20W,770,0,"52.80000","0","1","Tray","PYB20-T (20W)","Active","Enclosed","9V","36V","1","5V","-","-","-","4A","20W","-","-","90%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-T.jpg,102-3232-ND,PYB20-Q24-S12-T,CUI Inc.,DC/DC CONVERTER 12V 20W,288,0,"52.80000","0","1","Tray","PYB20-T (20W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.667A","20W","-","-","89%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-t.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-T.jpg,102-3234-ND,PYB20-Q24-S24-T,CUI Inc.,DC/DC CONVERTER 24V 20W,232,0,"52.80000","0","1","Tray","PYB20-T (20W)","Active","Enclosed","9V","36V","1","24V","-","-","-","834mA","20W","-","-","90%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb30-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB30-U.jpg,102-3263-ND,PYB30-Q24-S12-U,CUI Inc.,DC/DC CONVERTER 12V 30W,1365,0,"57.71000","0","1","Tray","PYB30-U (30W)","Active","Enclosed","9V","36V","1","12V","-","-","-","2.5A","30W","-","-","88%","-40°C ~ 85°C","Chassis Mount","2.66"" L x 2.16"" W x 0.75"" H (67.5mm x 55.0mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb30-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB30-U.jpg,102-3269-ND,PYB30-Q48-S12-U,CUI Inc.,DC/DC CONVERTER 12V 30W,943,0,"57.71000","0","1","Tray","PYB30-U (30W)","Active","Enclosed","18V","75V","1","12V","-","-","-","2.5A","30W","-","-","88%","-40°C ~ 85°C","Chassis Mount","2.66"" L x 2.16"" W x 0.75"" H (67.5mm x 55.0mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb30-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB30-U.jpg,102-3262-ND,PYB30-Q24-S5-U,CUI Inc.,DC/DC CONVERTER 5V 30W,762,0,"57.71000","0","1","Tray","PYB30-U (30W)","Active","Enclosed","9V","36V","1","5V","-","-","-","6A","30W","-","-","88%","-40°C ~ 85°C","Chassis Mount","2.66"" L x 2.16"" W x 0.75"" H (67.5mm x 55.0mm x 19.1mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DTE20.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DTE20-Series.JPG,1470-3356-ND,DTE2024S12,XP Power,DC/DC CONVERTER 12V 20W,149,0,"58.00000","0","1","Bulk","DTE20 (20W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.67A","20W","-","ITE (Commercial)","90%","-40°C ~ 85°C","Chassis Mount","3.78"" L x 2.13"" W x 0.92"" H (96.0mm x 54.0mm x 23.3mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DDC30.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DDC30.jpg,1470-2835-ND,DDC3024S12,XP Power,DC/DC CONVERTER 12V 30W,231,0,"59.00000","0","1","-","DDC30 (30W)","Active","Enclosed","9V","36V","1","12V","-","-","-","2.5A","30W","-","ITE (Commercial)","83%","-40°C ~ 70°C","DIN Rail","2.22"" L x 1.38"" W x 3.58"" H (56.4mm x 35.0mm x 91.0mm)"
https://www.cui.com/product/resource/digikeypdf/pyb30-u.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB30-U.jpg,102-3274-ND,PYB30-Q24-T512-U,CUI Inc.,DC/DC CONVERTER 5V +/-12V 30W,138,0,"59.33000","0","1","Tray","PYB30-U (30W)","Active","Enclosed","9V","36V","3","5V","12V","-12V","-","3A, 625mA, 625mA","30W","-","-","88%","-40°C ~ 85°C","Chassis Mount","2.66"" L x 2.16"" W x 0.75"" H (67.5mm x 55.0mm x 19.1mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-DIN.jpg,102-3215-ND,PYB20-Q24-S5-DIN,CUI Inc.,DC/DC CONVERTER 5V 20W,254,0,"64.49000","0","1","Tray","PYB20-DIN (20W)","Active","Enclosed","9V","36V","1","5V","-","-","-","4A","20W","-","-","88%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-DIN.jpg,102-3216-ND,PYB20-Q24-S12-DIN,CUI Inc.,DC/DC CONVERTER 12V 20W,182,0,"64.49000","0","1","Tray","PYB20-DIN (20W)","Active","Enclosed","9V","36V","1","12V","-","-","-","1.667A","20W","-","-","87%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-DIN.jpg,102-3213-ND,PYB20-Q24-D15-DIN,CUI Inc.,DC/DC CONVERTER +/-15V 20W,168,0,"64.49000","0","1","Tray","PYB20-DIN (20W)","Active","Enclosed","9V","36V","2","15V","-15V","-","-","667mA, 667mA","20W","-","-","86%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.cui.com/product/resource/digikeypdf/pyb20-din.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_PYB20-DIN.jpg,102-3226-ND,PYB20-Q48-S24-DIN,CUI Inc.,DC/DC CONVERTER 24V 20W,126,0,"64.49000","0","1","Tray","PYB20-DIN (20W)","Active","Enclosed","18V","75V","1","24V","-","-","-","834mA","20W","-","-","88%","-40°C ~ 85°C","DIN Rail","2.99"" L x 1.24"" W x 0.87"" H (76.0mm x 31.5mm x 22.2mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DTE40.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DTE40-Series.JPG,1470-3365-ND,DTE4024S12,XP Power,DC/DC CONVERTER 12V 40W,214,0,"68.00000","0","1","Bulk","DTE40 (40W)","Active","Enclosed","9V","36V","1","12V","-","-","-","3.33A","40W","-","ITE (Commercial)","90%","-40°C ~ 85°C","Chassis Mount","4.41"" L x 2.51"" W x 1.01"" H (112.0mm x 63.8mm x 25.6mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DTE60.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DTE60-Series.JPG,1470-3374-ND,DTE6024S24,XP Power,DC/DC CONVERTER 24V 60W,245,0,"80.00000","0","1","Bulk","DTE60 (60W)","Active","Enclosed","9V","36V","1","24V","-","-","-","2.5A","60W","-","ITE (Commercial)","91%","-40°C ~ 85°C","Chassis Mount","4.41"" L x 2.67"" W x 1.50"" H (112.0mm x 67.8mm x 38.0mm)"
https://www.xppower.com/Portals/0/pdfs/SF_DTE60.pdf,//media.digikey.com/Photos/XP%20Power/MFG_DTE60-Series.JPG,1470-3375-ND,DTE6024S48,XP Power,DC/DC CONVERTER 48V 60W,179,0,"80.00000","0","1","Bulk","DTE60 (60W)","Active","Enclosed","9V","36V","1","48V","-","-","-","1.25A","60W","-","ITE (Commercial)","91%","-40°C ~ 85°C","Chassis Mount","4.41"" L x 2.67"" W x 1.50"" H (112.0mm x 67.8mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/pqa50-t.pdf,//media.digikey.com/photos/CUI%20Photos/PQA50-T%20SERIES.jpg,102-3292-ND,PQA50-D24-S12-T,CUI Inc.,DC/DC CONVERTER 12V 50W,259,0,"108.68000","0","1","Tray","PQA50-T (50W)","Active","Enclosed","18V","36V","1","12V","-","-","-","4.17A","50W","1.5kV","-","91%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pqa50-t.pdf,//media.digikey.com/photos/CUI%20Photos/PQA50-T%20SERIES.jpg,102-3294-ND,PQA50-D24-S24-T,CUI Inc.,DC/DC CONVERTER 24V 50W,149,0,"108.68000","0","1","Tray","PQA50-T (50W)","Active","Enclosed","18V","36V","1","24V","-","-","-","2.08A","50W","1.5kV","-","91%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
https://www.cui.com/product/resource/digikeypdf/pqa50-t.pdf,//media.digikey.com/photos/CUI%20Photos/PQA50-T%20SERIES.jpg,102-3291-ND,PQA50-D24-S5-T,CUI Inc.,DC/DC CONVERTER 5V 50W,36,0,"108.68000","0","1","Tray","PQA50-T (50W)","Active","Enclosed","18V","36V","1","5V","-","-","-","10A","50W","1.5kV","-","91%","-40°C ~ 85°C","Chassis Mount","2.99"" L x 1.24"" W x 0.84"" H (76.0mm x 31.5mm x 21.2mm)"
http://www.deltaww.com/filecenter/Products/download/01/0102/datasheet/DS_B40SR12424.pdf,//media.digikey.com/Photos/Delta%20Photos/B62SR24125A.JPG,941-1650-ND,B40SR12424A,Delta Electronics,DC/DC CONVERTER 12.4V 300W,108,0,"135.45000","0","1","Bulk","B40SR (200W)","Active","Enclosed","18V","60V","1","12.4V","-","-","-","24A","300W","-","ITE (Commercial)","88.8%","-40°C ~ 85°C","Chassis Mount","7.48"" L x 2.99"" W x 1.69"" H (190.0mm x 76.0mm x 43.0mm)"
https://www.cui.com/product/resource/digikeypdf/vhk50w.pdf,//media.digikey.com/Photos/CUI%20Photos/VHK50W%20SERIES.JPG,102-1823-ND,VHK50W-Q24-S24,CUI Inc.,DC/DC CONVERTER 24V 50W,286,0,"121.23000","0","1","Bulk","VHK50W (50W)","Active","Enclosed","9V","36V","1","24V","-","-","-","2.08A","50W","-","-","82%","-40°C ~ 85°C","Chassis Mount","4.23"" L x 4.01"" W x 1.50"" H (107.5mm x 101.8mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/vhk50w.pdf,//media.digikey.com/Photos/CUI%20Photos/VHK50W%20SERIES.JPG,102-1827-ND,VHK50W-Q48-S12,CUI Inc.,DC/DC CONVERTER 12V 50W,241,0,"121.23000","0","1","Bulk","VHK50W (50W)","Active","Enclosed","18V","75V","1","12V","-","-","-","4.16A","50W","-","-","83%","-40°C ~ 85°C","Chassis Mount","4.23"" L x 4.01"" W x 1.50"" H (107.5mm x 101.8mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/vhk50w.pdf,//media.digikey.com/Photos/CUI%20Photos/VHK50W%20SERIES.JPG,102-1824-ND,VHK50W-Q24-S48,CUI Inc.,DC/DC CONVERTER 48V 50W,213,0,"121.23000","0","1","Bulk","VHK50W (50W)","Active","Enclosed","9V","36V","1","48V","-","-","-","1.04A","50W","-","-","82%","-40°C ~ 85°C","Chassis Mount","4.23"" L x 4.01"" W x 1.50"" H (107.5mm x 101.8mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/vhk50w.pdf,//media.digikey.com/Photos/CUI%20Photos/VHK50W%20SERIES.JPG,102-1821-ND,VHK50W-Q24-S12,CUI Inc.,DC/DC CONVERTER 12V 50W,170,0,"121.23000","0","1","Bulk","VHK50W (50W)","Active","Enclosed","9V","36V","1","12V","-","-","-","4.16A","50W","-","-","82%","-40°C ~ 85°C","Chassis Mount","4.23"" L x 4.01"" W x 1.50"" H (107.5mm x 101.8mm x 38.0mm)"
https://www.cui.com/product/resource/digikeypdf/vhk75w.pdf,//media.digikey.com/Photos/CUI%20Photos/VHK75W%20SERIES.JPG,102-2266-ND,VHK75W-Q24-S12,CUI Inc.,DC/DC CONVERTER 12V 75W,107,0,"139.32000","0","1","Bulk","VHK75W (75W)","Active","Enclosed","9V","36V","1","12V","-","-","-","6.25A","75W","-","-","81.5%","-40°C ~ 85°C","Chassis Mount","4.25"" L x 4.00"" W x 1.50"" H (108.0mm x 101.6mm x 38.1mm)"
http://www.deltaww.com/filecenter/Products/download/01/0102/datasheet/DS_B62SR12424.pdf,//media.digikey.com/Photos/Delta%20Photos/B62SR24125A.JPG,941-1649-ND,B62SR12424A,Delta Electronics,DC/DC CONVERTER 12.4V 298W,71,0,"143.33000","0","1","Bulk","B62SR (240W)","Active","Enclosed","18V","106V","1","12.4V","-","-","-","24A","298W","2.25kV","ITE (Commercial)","89%","-40°C ~ 75°C","Chassis Mount","7.48"" L x 2.99"" W x 1.73"" H (190.0mm x 75.9mm x 43.9mm)"
http://www.deltaww.com/filecenter/Products/download/01/0102/datasheet/DS_B62SR24125.pdf,//media.digikey.com/Photos/Delta%20Photos/B62SR24125A.JPG,941-1738-ND,B62SR24125A,Delta Electronics,DC/DC CONVERTER 24V 300W,360,0,"162.75000","0","1","Bulk","B62SR (240W)","Active","Enclosed","18V","106V","1","24V","-","-","-","12.5A","300W","2.25kV","ITE (Commercial)","92%","-40°C ~ 75°C","Chassis Mount","7.48"" L x 2.99"" W x 1.73"" H (190.0mm x 75.9mm x 43.9mm)"
