Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Includes","Blade Size","Features"
http://www.jonard.com/~/media/AC4EB69769E842A8BDF12B5D53A2896F.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPD-914KR.jpg,EPD-914KR-ND,EPD-914KR,Jonard Tools,PUNCHDOWN KRONE W/BLADE,0,0,"36.36000","0","10","EPD","Active","Punchdown","Blade","Krone®","Blade Storage, Impact Adjustment, Interchangeable Blades"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_EPD-914630.JPG,EPD-914630-ND,EPD-914630,Jonard Tools,PUNCHDOWN 630 W/BLADE,0,0,"37.62000","0","1","EPD","Active","Punchdown","Blade","630","Blade Storage, Impact Adjustment, Interchangeable Blades"
http://www.panduit.com/heiler/PartDrawings/C-COPDT110M--ENG.pdf,-,PDB110M-ND,PDB110M,Panduit Corp,REPLACEMENT BLADE FOR FIVE PAIR,0,0,"39.65000","0","1","-","Active","Blade","-","110 5-Pair","-"
https://www.jonard.com/~/media/9E1287D407E54D73AA9F61157E8F633C.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_EPD-9KRONE.JPG,EPD-9KRONE-ND,EPD-9KRONE,Jonard Tools,PUNCHDOWN KRONE W/BLADE,0,0,"51.15700","0","10","EPD","Active","Punchdown","Blade","Krone®","Blade Storage, Impact Adjustment, Interchangeable Blades"
http://www.panduit.com/heiler/CatalogCutSheets/PDT110M%20product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PDTH110.jpg,PDTH110-ND,PDTH110,Panduit Corp,REPLACE BLADE SINGLE PAIR PUNCHD,0,0,"73.99000","0","1","Pan-Punch®","Active","Blade","-","110","-"
-,-,PA3535-ND,PA3535,Greenlee Communications,TOOL PUNCHDOWN IMPACT 630 BLADE,0,0,"75.46000","0","1","-","Active","Punchdown","Blade","630","Blade Storage, Impact Adjustment, Interchangeable Blades, Reversible"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Crimping%20Tools.pdf,-,9013970000-ND,9013970000,Weidmüller,PUNCH DOWN TOOL PDT IMPACT,0,0,"95.57000","0","1","-","Active","Punchdown","Blade","-","Blade Storage, Impact Adjustment, Interchangeable Blades"
http://www.jonard.com/~/media/011B51C30A97423696360A51DC4BF208.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-1000.jpg,EPB-1000-ND,EPB-1000,Jonard Tools,PUNCHDOWN GUN W/O BLADE,0,0,"133.67000","0","1","EPB","Active","Punchdown, Gun","-","-","Impact Adjustment, Interchangeable Blades"
http://www.jonard.com/~/media/011B51C30A97423696360A51DC4BF208.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_EPB-1000KR.jpg,EPB-1000KR-ND,EPB-1000KR,Jonard Tools,PUNCHDOWN GUN KRONE W/BLADE,0,0,"219.42000","0","1","EPB","Active","Punchdown, Gun","Battery, Battery Charger, Blade, Light","Krone®","Impact Adjustment, Interchangeable Blades, Reversible"
http://www.switchcraft.com/Documents/switchcraft_pab6.pdf#page=5,-,PT2B-ND,PT2B,Switchcraft Inc.,TOOL REPLACEMENT TIP FOR PT1LA,0,0,"220.04000","0","1","PPT","Active","Blade","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-COGPST-GPSTB--ENG.pdf,-,GPST-ND,GPST,Panduit Corp,PUNCHDOWN 110 W/BLADE,0,0,"272.50000","0","1","GP6™PLUS","Active","Punchdown","Blade","110","Reversible"
http://www.switchcraft.com/Documents/switchcraft_pab6.pdf#page=5,-,PT1LA-ND,PT1LA,Switchcraft Inc.,TOOL PUNCH W/LITE ATTACH PPT/IDC,0,0,"409.50000","0","1","PPT","Active","Punchdown","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/Tooling%20Solutions.pdf,-,1583609-1-ND,1583609-1,TE Application Tooling,BLADE IMPACT TOOL (110 BLADE),0,0,"21.12000","0","10","AMP","Active","Blade","-","110","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/Tooling%20Solutions.pdf,-,1583609-2-ND,1583609-2,TE Application Tooling,BLADE IMPACT TOOL (66 BLADE),0,0,"21.12000","0","10","AMP","Active","Blade","-","66","-"
-,-,1583608-2-ND,1583608-2,TE Application Tooling,IMPACT TOOL W/OUT BLADE,0,0,"76.29667","0","3","AMP","Active","Punchdown","-","-","Blade Storage, Impact Adjustment"
-,-,1583608-4-ND,1583608-4,TE Application Tooling,"IMPACT TOOL,W/COMBO BLADE",0,0,"97.35000","0","1","-","Active","-","-","-","-"
-,-,1725062-1-ND,1725062-1,TE Application Tooling,TOOL HAND 4-PAIR PUNCH DOWN,0,0,"321.50000","0","1","AMP, 610XC","Active","Punchdown, Multi-Pair","Blade","110 4-Pair","-"
-,//media.digikey.com/photos/Paladin%20Tools%20Photos/1913.1.jpg,PA1913.1-ND,PA1913.1,Greenlee Communications,TOOL UTP STRIPPER/110PUNCHDOWN,0,0,"Obsolete","0","1","-","Obsolete","Punchdown","Blade, Wire Stripper","110","Fixed Blade"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/3570.1.jpg,PA3570-ND,PA3570,Greenlee Communications,HANDLE SUREPUNCH PDT,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","-","-","Blade Storage, Impact Adjustment, Interchangeable Blades"
-,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_3580.1.jpg,PA3580.1-ND,PA3580.1,Greenlee Communications,TOOL PUNCHDOWN NON-IMP 110 BLADE,0,0,"Obsolete","0","1","-","Obsolete","Punchdown","-","110","Fixed Blade"
-,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_3581.1.jpg,PAL3581.1-ND,3581.1,Greenlee Communications,TOOL PUNCHDOWN NON-IMP 66 BLADE,0,0,"Obsolete","0","1","-","Obsolete","Punchdown","-","66","-"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/4572.1.jpg,PA4572-ND,PA4572,Greenlee Communications,BLADE SUREPUNCH 110 REVERSIBLE,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Blade","-","110","-"
-,//media.digikey.com/photos/Paladin%20Tools%20Photos/4573.1.jpg,PA4573.1-ND,PA4573.1,Greenlee Communications,BLADE SUREPUNCH 66 REVERSIBLE,0,0,"Obsolete","0","1","SurePunch®","Obsolete","Blade","-","66","-"
-,-,PAL3538-ND,3538,Greenlee Communications,TOOL PUNCHDWN NOIMPACT KRONE BLD,0,0,"Obsolete","0","1","-","Obsolete","Punchdown","Blade","Krone®","-"
-,-,3541.1-ND,3541.1,Greenlee Communications,TOOL PUNCHDWN 66/88/110/KRON/BIX,0,0,"Obsolete","0","1","-","Obsolete","Punchdown","Blade, Handle","66, 88, 110, Krone®, BIX™","-"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,-,PA3572-ND,PA3572,Greenlee Communications,TOOL SUREPUNCH PDT 110 REVERSBLE,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","Blade","110","Blade Storage, Impact Adjustment, Interchangeable Blades"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,-,PA3573-ND,PA3573,Greenlee Communications,TOOL SUREPUNCH PDT 66 REVERSIBLE,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","Blade","66","Blade Storage, Impact Adjustment, Interchangeable Blades"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,-,PA3575-ND,PA3575,Greenlee Communications,TOOL SUREPUNCH PDT KRONE LSA BLD,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","Blade","Krone®","Blade Storage, Impact Adjustment, Interchangeable Blades"
-,-,PA3577-ND,PA3577,Greenlee Communications,TOOL SUREPUNCH 110/66 W/POUCH,0,0,"Obsolete","0","1","SurePunch®","Obsolete","Punchdown","Blade, Holster, Scissors","66/110","Blade Storage"
-,//media.digikey.com/photos/Greenlee%20Communications/PA3579.jpg,PA3579-ND,PA3579,Greenlee Communications,TOOL SUREPUNCH 110/66 REVERSIBLE,0,0,"Discontinued at Digi-Key","0","1","SurePunch®","Discontinued at Digi-Key","Punchdown","Blade, Handle","66, 110","Blade Storage, Impact Adjustment, Interchangeable Blades, Reversible"
-,-,PA4530-ND,PA4530,Greenlee Communications,BLADE BIX REPLCMNT PUNCHDWN TOOL,0,0,"Obsolete","0","1","BIX®","Obsolete","Blade","-","BIX™","-"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_4531.jpg,PA4531-ND,PA4531,Greenlee Communications,BLADE KRONE REPLACEMENT,0,0,"Discontinued at Digi-Key","0","1","Krone®","Discontinued at Digi-Key","Blade","-","Krone® LSA","Reversible"
