Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Rechargeability","Battery Cell Size","Number of Cells","Voltage - Rated","Capacity","Structure","Termination Style","Size / Dimension"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/F021.jpg,N106-F021-ND,EN93F2,Energizer Battery Company,BATTERY PACK ALKALINE 3V C,0,0,"3.56000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","2","3V","-","Side to Side, 1 Row x 2 Cells","Solder Tab","2.06"" L x 1.03"" W x 1.97"" H (52.3mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Sanyo%20Photos/L021.jpg,N106-L021-ND,EN93L2,Energizer Battery Company,BATTERY PACK ALKALINE 3V C,0,0,"3.58000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","2","3V","-","Front to Back, 1 Row x 2 Cells","Solder Tab","1.03"" L x 1.03"" W x 3.94"" H (26.2mm x 26.2mm x 100.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F051.jpg,P646-F051-ND,LR6XWA/BF5,Panasonic - BSG,BATTERY PACK ALKALINE 7.5V AA,0,0,"3.99000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","5","7.5V","-","Side to Side, 1 Row x 5 Cells","Solder Tab","2.85"" L x 0.57"" W x 1.99"" H (72.5mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F022.jpg,N107-F022-ND,EN91F2X2,Energizer Battery Company,BATTERY PACK ALKALINE 6V AA,0,0,"4.38000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Side to Side, 2 Rows x 2 Cells","Solder Tab","1.14"" L x 1.14"" W x 1.99"" H (29.0mm x 29.0mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F041.jpg,N107-F041-ND,EN91F4,Energizer Battery Company,BATTERY PACK ALKALINE 6V AA,0,0,"4.41000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Side to Side, 1 Row x 4 Cells","Solder Tab","2.28"" L x 0.57"" W x 1.99"" H (57.9mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/L022.jpg,N107-L022-ND,EN91L2X2,Energizer Battery Company,BATTERY PACK ALKALINE 6V AA,0,0,"4.42000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Front to Back, 2 Rows x 2 Cells","Solder Tab","1.14"" L x 0.57"" W x 3.98"" H (29.0mm x 14.5mm x 101.0mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/Photos/Energizer%20Photos/L041.jpg,N107-L041-ND,EN91L4,Energizer Battery Company,BATTERY PACK ALKALINE 6V AA,0,0,"4.49000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","4","6V","-","Front to Back, 1 Row x 4 Cells","Solder Tab","0.57"" L x 0.57"" W x 7.95"" H (14.5mm x 14.5mm x 202.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F023.jpg,P646-F023-ND,LR6XWA/BF2X3,Panasonic - BSG,BATTERY PACK ALKALINE 9V AA,0,0,"4.66000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Side to Side, 3 Rows x 2 Cells","Solder Tab","1.71"" L x 1.14"" W x 1.99"" H (43.5mm x 29.0mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L023.jpg,P646-L023-ND,LR6XWA/BL2X3,Panasonic - BSG,BATTERY PACK ALKALINE 9V AA,0,0,"4.66000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Front to Back, 3 Rows x 2 Cells","Solder Tab","1.71"" L x 0.57"" W x 3.98"" H (43.5mm x 14.5mm x 101.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L032.jpg,P646-L032-ND,LR6XWA/BL3X2,Panasonic - BSG,BATTERY PACK ALKALINE 9V AA,0,0,"4.72000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Front to Back, 2 Rows x 3 Cells","Solder Tab","1.14"" L x 0.57"" W x 5.96"" H (29.0mm x 14.5mm x 151.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F061.jpg,P646-F061-ND,LR6XWA/BF6,Panasonic - BSG,BATTERY PACK ALKALINE 9V AA,0,0,"4.73000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Side to Side, 1 Row x 6 Cells","Solder Tab","3.43"" L x 0.57"" W x 1.99"" H (87.0mm x 14.5mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P643-F021-ND,LR20XWA/BF2,Panasonic - BSG,BATTERY PACK ALKALINE 3V D,0,0,"4.85000","0","1","LR20","Active","Alkaline Manganese Dioxide","No","D","2","3V","-","Side to Side, 1 Row x 2 Cells","Solder Tab","2.69"" L x 1.35"" W x 2.42"" H (68.4mm x 34.2mm x 61.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F031.jpg,P644-F031-ND,LR14XWA/BF3,Panasonic - BSG,BATTERY PACK ALKALINE 4.5V C,0,0,"5.04000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","3","4.5V","-","Side to Side, 1 Row x 3 Cells","Solder Tab","3.09"" L x 1.03"" W x 1.97"" H (78.6mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/F031.jpg,N106-F031-ND,EN93F3,Energizer Battery Company,BATTERY PACK ALKALINE 4.5V C,0,0,"5.20000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","3","4.5V","-","Side to Side, 1 Row x 3 Cells","Solder Tab","3.09"" L x 1.03"" W x 1.97"" H (78.6mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/Photos/Energizer%20Photos/L031.jpg,N106-L031-ND,EN93L3,Energizer Battery Company,BATTERY PACK ALKALINE 4.5V C,0,0,"5.23000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","3","4.5V","-","Front to Back, 1 Row x 3 Cells","Solder Tab","1.03"" L x 1.03"" W x 5.91"" H (26.2mm x 26.2mm x 150.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F071.jpg,P646-F071-ND,LR6XWA/BF7,Panasonic - BSG,BATTERY PACK ALKALINE 10.5V AA,0,0,"5.42000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","7","10.5V","-","Side to Side, 1 Row x 7 Cells","Solder Tab","4.00"" L x 0.57"" W x 1.99"" H (101.5mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F051.jpg,N107-F051-ND,EN91F5,Energizer Battery Company,BATTERY PACK ALKALINE 7.5V AA,0,0,"5.44000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","5","7.5V","-","Side to Side, 1 Row x 5 Cells","Solder Tab","2.85"" L x 0.57"" W x 1.99"" H (72.5mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/Photos/Energizer%20Photos/L051.jpg,N107-L051-ND,EN91L5,Energizer Battery Company,BATTERY PACK ALKALINE 7.5V AA,0,0,"5.49000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","5","7.5V","-","Front to Back, 1 Row x 5 Cells","Solder Tab","0.57"" L x 0.57"" W x 9.94"" H (14.5mm x 14.5mm x 252.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F024.jpg,P646-F024-ND,LR6XWA/BF2X4,Panasonic - BSG,BATTERY PACK ALKALINE 12V AA,0,0,"6.07000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Side to Side, 4 Rows x 2 Cells","Solder Tab","2.28"" L x 1.14"" W x 1.99"" H (58.0mm x 29.0mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L024.jpg,P646-L024-ND,LR6XWA/BL2X4,Panasonic - BSG,BATTERY PACK ALKALINE 12V AA,0,0,"6.07000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Front to Back, 4 Rows x 2 Cells","Solder Tab","2.28"" L x 0.57"" W x 3.98"" H (58.0mm x 14.5mm x 101.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L042.jpg,P646-L042-ND,LR6XWA/BL4X2,Panasonic - BSG,BATTERY PACK ALKALINE 12V AA,0,0,"6.14000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Front to Back, 2 Rows x 4 Cells","Solder Tab","1.14"" L x 0.57"" W x 7.95"" H (29.0mm x 14.5mm x 202.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F081.jpg,P646-F081-ND,LR6XWA/BF8,Panasonic - BSG,BATTERY PACK ALKALINE 12V AA,24,0,"6.15000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Side to Side, 1 Row x 8 Cells","Solder Tab","4.57"" L x 0.57"" W x 1.99"" H (116.0mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F023.jpg,N107-F023-ND,EN91F2X3,Energizer Battery Company,BATTERY PACK ALKALINE 9V AA,0,0,"6.37000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Side to Side, 3 Rows x 2 Cells","Solder Tab","1.71"" L x 1.14"" W x 1.99"" H (43.5mm x 29.0mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/L023.jpg,N107-L023-ND,EN91L2X3,Energizer Battery Company,BATTERY PACK ALKALINE 9V AA,0,0,"6.37000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Front to Back, 3 Rows x 2 Cells","Solder Tab","1.71"" L x 0.57"" W x 3.98"" H (43.5mm x 14.5mm x 101.0mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F061.jpg,N107-F061-ND,EN91F6,Energizer Battery Company,BATTERY PACK ALKALINE 9V AA,0,0,"6.41000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Side to Side, 1 Row x 6 Cells","Solder Tab","3.43"" L x 0.57"" W x 1.99"" H (87.0mm x 14.5mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/L032.jpg,N107-L032-ND,EN91L3X2,Energizer Battery Company,BATTERY PACK ALKALINE 9V AA,0,0,"6.43000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","6","9V","-","Front to Back, 2 Rows x 3 Cells","Solder Tab","1.14"" L x 0.57"" W x 5.96"" H (29.0mm x 14.5mm x 151.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F022.jpg,P644-F022-ND,LR14XWA/BF2X2,Panasonic - BSG,BATTERY PACK ALKALINE 6V C,0,0,"6.54000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Side to Side, 2 Rows x 2 Cells","Solder Tab","2.06"" L x 2.06"" W x 1.97"" H (52.3mm x 52.3mm x 50.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L022.jpg,P644-L022-ND,LR14XWA/BL2X2,Panasonic - BSG,BATTERY PACK ALKALINE 6V C,0,0,"6.56000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Front to Back, 2 Rows x 2 Cells","Solder Tab","2.06"" L x 1.03"" W x 3.94"" H (52.3mm x 26.2mm x 100.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F041.jpg,P644-F041-ND,LR14XWA/BF4,Panasonic - BSG,BATTERY PACK ALKALINE 6V C,0,0,"6.57000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Side to Side, 1 Row x 4 Cells","Solder Tab","4.13"" L x 1.03"" W x 1.97"" H (104.8mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/F022.jpg,N106-F022-ND,EN93F2X2,Energizer Battery Company,BATTERY PACK ALKALINE 6V C,0,0,"6.73000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Side to Side, 2 Rows x 2 Cells","Solder Tab","2.06"" L x 2.06"" W x 1.97"" H (52.3mm x 52.3mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/L022.jpg,N106-L022-ND,EN93L2X2,Energizer Battery Company,BATTERY PACK ALKALINE 6V C,0,0,"6.77000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Front to Back, 2 Rows x 2 Cells","Solder Tab","2.06"" L x 1.03"" W x 3.94"" H (52.3mm x 26.2mm x 100.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/F041.jpg,N106-F041-ND,EN93F4,Energizer Battery Company,BATTERY PACK ALKALINE 6V C,0,0,"6.78000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Side to Side, 1 Row x 4 Cells","Solder Tab","4.13"" L x 1.03"" W x 1.97"" H (104.8mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/Photos/Energizer%20Photos/L041.jpg,N106-L041-ND,EN93L4,Energizer Battery Company,BATTERY PACK ALKALINE 6V C,0,0,"6.81000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","4","6V","-","Front to Back, 1 Row x 4 Cells","Solder Tab","1.03"" L x 1.03"" W x 7.87"" H (26.2mm x 26.2mm x 200.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F091.jpg,P646-F091-ND,LR6XWA/BF9,Panasonic - BSG,BATTERY PACK ALKALINE 13.5V AA,0,0,"6.88000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","9","13.5V","-","Side to Side, 1 Row x 9 Cells","Solder Tab","5.14"" L x 0.57"" W x 1.99"" H (130.5mm x 14.5mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F031.jpg,P643-F031-ND,LR20XWA/BF3,Panasonic - BSG,BATTERY PACK ALKALINE 4.5V D,0,0,"7.07000","0","1","LR20","Active","Alkaline Manganese Dioxide","No","D","3","4.5V","-","Side to Side, 1 Row x 3 Cells","Solder Tab","4.04"" L x 1.35"" W x 2.42"" H (102.6mm x 34.2mm x 61.5mm)"
http://eu.industrial.panasonic.com/sites/default/pidseu/files/downloads/files/id_ni-mh_1104_e.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P213-F021-ND,HHR70AAAB8F2,Panasonic - BSG,BATTERY PACK NIMH 2.4V AAA,0,0,"7.17000","0","1","HHR","Active","Nickel Metal Hydride","Yes","AAA","2","2.4V","700mAh","Side to Side, 1 Row x 2 Cells","Solder Tab","0.83"" L x 0.41"" W x 1.75"" H (21.0mm x 10.5mm x 44.5mm)"
http://data.energizer.com/pdfs/carbonzinc_appman.pdf,//media.digikey.com/photos/Energizer%20Photos/F023.jpg,N103-F023-ND,1215F2X3,Energizer Battery Company,BATTERY PACK ZINC 9V AA,1,0,"7.21000","0","1","Eveready®","Discontinued at Digi-Key","Zinc Carbon","No","AA","6","9V","1.1Ah","Side to Side, 3 Rows x 2 Cells","Solder Tab","1.71"" L x 1.14"" W x 1.99"" H (43.5mm x 29.0mm x 50.5mm)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_nimh_hhr60aaah.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P634-F021-ND,HHR-60AAAHF2,Panasonic - BSG,BATTERY PACK NIMH 2.4V AAA,0,0,"7.39000","0","1","HHR","Active","Nickel Metal Hydride","Yes","AAA","2","2.4V","500mAh","Side to Side, 1 Row x 2 Cells","Solder Tab","0.83"" L x 0.41"" W x 1.75"" H (21.0mm x 10.5mm x 44.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F071.jpg,N107-F071-ND,EN91F7,Energizer Battery Company,BATTERY PACK ALKALINE 10.5V AA,0,0,"7.43000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","7","10.5V","-","Side to Side, 1 Row x 7 Cells","Solder Tab","4.00"" L x 0.57"" W x 1.99"" H (101.5mm x 14.5mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F025.jpg,P646-F025-ND,LR6XWA/BF2X5,Panasonic - BSG,BATTERY PACK ALKALINE 15V AA,0,0,"7.51000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","10","15V","-","Side to Side, 5 Rows x 2 Cells","Solder Tab","2.85"" L x 1.14"" W x 1.99"" H (72.5mm x 29.0mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L025.jpg,P646-L025-ND,LR6XWA/BL2X5,Panasonic - BSG,BATTERY PACK ALKALINE 15V AA,0,0,"7.51000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","10","15V","-","Front to Back, 5 Rows x 2 Cells","Solder Tab","2.85"" L x 0.57"" W x 3.98"" H (72.5mm x 14.5mm x 101.0mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/L052.jpg,P646-L052-ND,LR6XWA/BL5X2,Panasonic - BSG,BATTERY PACK ALKALINE 15V AA,0,0,"7.60000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","10","15V","-","Front to Back, 2 Rows x 5 Cells","Solder Tab","1.14"" L x 0.57"" W x 9.94"" H (29.0mm x 14.5mm x 252.5mm)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_nimh_hhr75aaab.pdf,//media.digikey.com/photos/Panasonic%20Photos/F021.jpg,P008-F021-ND,HHR-75AAA/BF2,Panasonic - BSG,BATTERY PACK NIMH 2.4V AAA,0,0,"7.61000","0","1","HHR","Active","Nickel Metal Hydride","Yes","AAA","2","2.4V","700mAh","Side to Side, 1 Row x 2 Cells","Solder Tab","0.83"" L x 0.41"" W x 1.75"" H (21.0mm x 10.5mm x 44.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F101.jpg,P646-F101-ND,LR6XWA/BF10,Panasonic - BSG,BATTERY PACK ALKALINE 15V AA,0,0,"7.62000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","No","AA","10","15V","-","Side to Side, 1 Row x 10 Cells","Solder Tab","5.71"" L x 0.57"" W x 1.99"" H (145.0mm x 14.5mm x 50.5mm)"
http://na.industrial.panasonic.com/sites/default/pidsa/files/1.5vseries_datasheets_merged.pdf,//media.digikey.com/photos/Panasonic%20Photos/F051.jpg,P644-F051-ND,LR14XWA/BF5,Panasonic - BSG,BATTERY PACK ALKALINE 7.5V C,0,0,"8.07000","0","1","LR14","Active","Alkaline Manganese Dioxide","No","C","5","7.5V","-","Side to Side, 1 Row x 5 Cells","Solder Tab","5.16"" L x 1.03"" W x 1.97"" H (131.0mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN93.pdf,//media.digikey.com/photos/Energizer%20Photos/F051.jpg,N106-F051-ND,EN93F5,Energizer Battery Company,BATTERY PACK ALKALINE 7.5V C,0,0,"8.33000","0","1","EN93","Active","Alkaline Manganese Dioxide","No","C","5","7.5V","-","Side to Side, 1 Row x 5 Cells","Solder Tab","5.16"" L x 1.03"" W x 1.97"" H (131.0mm x 26.2mm x 50.0mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/F024.jpg,N107-F024-ND,EN91F2X4,Energizer Battery Company,BATTERY PACK ALKALINE 12V AA,0,0,"8.33000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Side to Side, 4 Rows x 2 Cells","Solder Tab","2.28"" L x 1.14"" W x 1.99"" H (58.0mm x 29.0mm x 50.5mm)"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/L024.jpg,N107-L024-ND,EN91L2X4,Energizer Battery Company,BATTERY PACK ALKALINE 12V AA,0,0,"8.33000","0","1","EN91","Active","Alkaline Manganese Dioxide","No","AA","8","12V","-","Front to Back, 4 Rows x 2 Cells","Solder Tab","2.28"" L x 0.57"" W x 3.98"" H (58.0mm x 14.5mm x 101.0mm)"
