Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Primary","Voltage - Secondary (Full Load)","Current - Output (Max)","Primary Winding(s)","Secondary Winding(s)","Center Tap","Power - Max","Mounting Type","Termination Style","Size / Dimension","Height - Seated (Max)","Voltage - Isolation","Weight"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-3XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-324.jpg,MT2102-ND,3FD-312,Tamura,XFRMR LAMINATED 2.4VA THRU HOLE,2856,0,"6.45000","0","1","3FD-3xx","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 400mA, Series 200mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","35.56mm L x 31.00mm W","32.10mm","2500Vrms","-"
http://catalog.triadmagnetics.com/Asset/VPP28-090.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%202.50VA%20TO61-1617.jpg,237-1065-ND,VPP28-090,Triad Magnetics,XFRMR LAMINATED 2.5VA THRU HOLE,1116,0,"7.43000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 14V, Series 28V","Parallel 180mA, Series 90mA","Dual","Dual","No","2.5VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","28.58mm","4000Vrms","0.25 lb (113.4g)"
http://catalog.triadmagnetics.com/Asset/F24-250-C2.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/FSxx-xxx-C2-B%2033.32mm.JPG,237-1532-ND,F24-250-C2,Triad Magnetics,XFRMR LAMINATED 6VA THRU HOLE,2688,1400,"7.45000","0","1","Split Pack™, Class 2/3, F","Active","Laminated Core","115V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Single","Dual","No","6VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","33.32mm","2500Vrms","0.7 lb (317.51g)"
http://catalog.triadmagnetics.com/Asset/VPP12-400.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%205.0VA%20TO61-1617.jpg,237-1082-ND,VPP12-400,Triad Magnetics,XFRMR LAMINATED 5VA THRU HOLE,1678,1985,"7.69000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 800mA, Series 400mA","Dual","Dual","No","5VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","34.93mm","4000Vrms","0.37 lb (167.83g)"
http://catalog.triadmagnetics.com/Asset/VPP36-140.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%205.0VA%20TO61-1617.jpg,237-1087-ND,VPP36-140,Triad Magnetics,XFRMR LAMINATED 5VA THRU HOLE,1122,0,"7.69000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 280mA, Series 140mA","Dual","Dual","No","5VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","34.93mm","4000Vrms","0.37 lb (167.83g)"
http://catalog.triadmagnetics.com/Asset/VPP24-210.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%205.0VA%20TO61-1617.jpg,237-1085-ND,VPP24-210,Triad Magnetics,XFRMR LAMINATED 5VA THRU HOLE,842,476,"7.69000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 420mA, Series 210mA","Dual","Dual","No","5VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","34.93mm","4000Vrms","0.37 lb (167.83g)"
http://catalog.triadmagnetics.com/Asset/FS24-250.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%20SPLIT%206.0VA%20TO61-1618.jpg,237-1042-ND,FS24-250,Triad Magnetics,XFRMR LAMINATED 6VA THRU HOLE,367,0,"9.42000","0","1","Split Pack™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.28mm L x 33.32mm W","33.32mm","2500Vrms","0.44 lb (199.58g)"
https://belfuse.com/resources/PC.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DUAL%20XFORMER%201.2VA%20TO63-1811.jpg,595-1131-ND,DPC-12-100,Signal Transformer,XFRMR LAMINATED 1.2VA THRU HOLE,443,0,"9.46000","0","1","DPC","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 200mA, Series 100mA","Dual","Dual","No","1.2VA","Through Hole","PC Pin","34.90mm L x 28.60mm W","30.15mm","1500Vrms","0.188 lb (85.28g)"
http://catalog.triadmagnetics.com/Asset/VPP24-420.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%2010.0VA%20TO61-1617.jpg,237-1057-ND,VPP24-420,Triad Magnetics,XFRMR LAMINATED 10VA THRU HOLE,3371,556,"9.61000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 840mA, Series 420mA","Dual","Dual","No","10VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","34.93mm","4000Vrms","0.53 lb (240.4g)"
http://catalog.triadmagnetics.com/Asset/VPP12-800.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%2010.0VA%20TO61-1617.jpg,237-1054-ND,VPP12-800,Triad Magnetics,XFRMR LAMINATED 10VA THRU HOLE,1529,1865,"9.61000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 1.6A, Series 800mA","Dual","Dual","No","10VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","34.93mm","4000Vrms","0.53 lb (240.4g)"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-3-12.jpg,595-1195-ND,DST-3-12,Signal Transformer,XFRMR LAMINATED 2.4VA THRU HOLE,214,0,"9.73000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 6.3V, Series 12.6V","Parallel 400mA, Series 200mA","Dual","Dual","No","2.4VA","Through Hole","PC Pin","34.90mm L x 28.60mm W","30.80mm","2500Vrms","0.25 lb (113.4g)"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-2.5R%20SERIES.jpg,595-1018-ND,14A-2.5R-24,Signal Transformer,XFRMR LAMINATED 2.5VA THRU HOLE,837,0,"9.92000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 200mA, Series 100mA","Dual","Dual","No","2.5VA","Through Hole","PC Pin","41.30mm L x 36.50mm W","34.90mm","4000Vrms","0.25 lb (113.4g)"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/ST-4-36.jpg,595-1178-ND,ST-4-24,Signal Transformer,XFRMR LAMINATED 6VA THRU HOLE,1100,0,"10.02000","0","1","ST","Active","Laminated Core","115V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Single","Dual","No","6VA","Through Hole","PC Pin","41.30mm L x 33.30mm W","33.30mm","2500Vrms","0.44 lb (199.58g)"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-2.5R%20SERIES.jpg,595-1012-ND,14A-2.5R-20,Signal Transformer,XFRMR LAMINATED 2.5VA THRU HOLE,999,0,"10.08000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 240mA, Series 120mA","Dual","Dual","No","2.5VA","Through Hole","PC Pin","41.30mm L x 36.50mm W","28.60mm","4000Vrms","0.25 lb (113.4g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-4XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-424.jpg,MT2115-ND,3FD-424,Tamura,XFRMR LAMINATED 6VA THRU HOLE,3497,0,"10.62000","0","1","3FD-4xx","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.50mm L x 34.83mm W","38.00mm","2500Vrms","-"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-4-12.jpg,595-1225-ND,DST-4-36,Signal Transformer,XFRMR LAMINATED 6VA THRU HOLE,338,0,"10.67000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 340mA, Series 170mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.30mm L x 33.30mm W","33.30mm","2500Vrms","0.44 lb (199.58g)"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-4-12.jpg,595-1201-ND,DST-4-16,Signal Transformer,XFRMR LAMINATED 6VA THRU HOLE,2783,0,"10.82000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 800mA, Series 400mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.30mm L x 33.30mm W","33.30mm","2500Vrms","0.44 lb (199.58g)"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-4-12.jpg,595-1213-ND,DST-4-24,Signal Transformer,XFRMR LAMINATED 6VA THRU HOLE,833,0,"10.82000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.30mm L x 33.30mm W","33.30mm","2500Vrms","0.44 lb (199.58g)"
http://catalog.triadmagnetics.com/Asset/FS24-500-C2.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/FSxx-xxx-C2-B%2036.50mm.JPG,237-1482-ND,FS24-500-C2,Triad Magnetics,XFRMR LAMINATED 12VA THRU HOLE,702,2888,"10.85000","0","1","Split Pack™, Class 2/3, FS","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 1A, Series 500mA","Dual","Dual","No","12VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","36.50mm","4200Vrms","0.7 lb (317.51g)"
http://catalog.triadmagnetics.com/Asset/FS20-600.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%20SPLIT%2012.0VA%20TO61-1618.jpg,237-1048-ND,FS20-600,Triad Magnetics,XFRMR LAMINATED 12VA THRU HOLE,1015,206,"10.92000","0","1","Split Pack™","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 1.2A, Series 600mA","Dual","Dual","No","12VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","36.50mm","2500Vrms","0.7 lb (317.51g)"
http://catalog.triadmagnetics.com/Asset/FS16-800.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%20SPLIT%2012.0VA%20TO61-1618.jpg,237-1047-ND,FS16-800,Triad Magnetics,XFRMR LAMINATED 12VA THRU HOLE,881,800,"10.92000","0","1","Split Pack™","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 1.6A, Series 800mA","Dual","Dual","No","12VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","36.50mm","2500Vrms","0.7 lb (317.51g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-4XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-410.jpg,MT2111-ND,3FD-420,Tamura,XFRMR LAMINATED 6VA THRU HOLE,6616,0,"10.95000","0","1","3FD-4xx","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 600mA, Series 300mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.50mm L x 34.83mm W","34.55mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-4XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-410.jpg,MT2123-ND,3FD-436,Tamura,XFRMR LAMINATED 6VA THRU HOLE,2504,0,"10.95000","0","1","3FD-4xx","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 340mA, Series 170mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.50mm L x 34.83mm W","34.55mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-4XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-424.jpg,MT2107-ND,3FD-416,Tamura,XFRMR LAMINATED 6VA THRU HOLE,1223,0,"10.95000","0","1","3FD-4xx","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 800mA, Series 400mA","Dual","Dual","No","6VA","Through Hole","PC Pin","41.50mm L x 34.83mm W","38.00mm","2500Vrms","-"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-10R%20SERIES.jpg,595-1014-ND,14A-10R-20,Signal Transformer,XFRMR LAMINATED 10VA THRU HOLE,264,0,"11.10000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 1A, Series 500mA","Dual","Dual","No","10VA","Through Hole","PC Pin","47.60mm L x 39.70mm W","34.90mm","4000Vrms","0.53 lb (240.4g)"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-10R%20SERIES.jpg,595-1020-ND,14A-10R-24,Signal Transformer,XFRMR LAMINATED 10VA THRU HOLE,8763,0,"11.38000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 840mA, Series 420mA","Dual","Dual","No","10VA","Through Hole","PC Pin","47.60mm L x 39.70mm W","34.90mm","4000Vrms","0.53 lb (240.4g)"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-10R%20SERIES.jpg,595-1031-ND,14A-10R-36,Signal Transformer,XFRMR LAMINATED 10VA THRU HOLE,2630,0,"11.38000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 560mA, Series 280mA","Dual","Dual","No","10VA","Through Hole","PC Pin","47.60mm L x 39.70mm W","34.90mm","4000Vrms","0.53 lb (240.4g)"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-5-36.jpg,595-1202-ND,DST-5-16,Signal Transformer,XFRMR LAMINATED 12VA THRU HOLE,409,0,"11.40000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 1.6A, Series 800mA","Dual","Dual","No","12VA","Through Hole","PC Pin","47.80mm L x 39.60mm W","36.90mm","2500Vrms","0.7 lb (317.51g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FL34-170.pdf,//media.digikey.com/photos/Tamura%20Photos/3FL34-170.jpg,MT1126-ND,3FL34-170,Tamura,XFRMR LAMINATED 6VA THRU HOLE,293,0,"11.52000","0","1","3FL","Active","Laminated Core","115V, 230V","Parallel 17V, Series 34V","Parallel 340mA, Series 170mA","Dual","Dual","No","6VA","Through Hole","PC Pin","47.60mm L x 39.60mm W","21.60mm","1500Vrms","-"
http://catalog.triadmagnetics.com/Asset/FP24-250.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%206.0VA%20TO61-1618.jpg,237-1020-ND,FP24-250,Triad Magnetics,XFRMR LAMINATED 6VA THRU HOLE,1421,410,"11.53000","0","1","FP","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","47.63mm L x 39.67mm W","22.22mm","2000Vrms","0.438 lb (198.67g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FL24-250.pdf,//media.digikey.com/photos/Tamura%20Photos/3FL12-475.jpg,MT1118-ND,3FL24-250,Tamura,XFRMR LAMINATED 6VA THRU HOLE,2712,0,"11.54000","0","1","3FL","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","47.60mm L x 39.60mm W","21.60mm","1500Vrms","-"
https://belfuse.com/resources/241.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DP-241-4-Series.jpg,595-1090-ND,DP-241-5-24,Signal Transformer,XFRMR LAMINATED 12VA CHAS MOUNT,324,0,"11.60000","0","1","Two-4-One™","Active","Laminated Core","115V, 230V","24V","500mA","Dual","Single","Yes","12VA","Chassis Mount","Solder, Quick Connect","71.40mm L x 36.30mm W","42.80mm","2500Vrms","0.7 lb (317.51g)"
https://belfuse.com/resources/datasheets/signaltransformer/ds-st-lp-series.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/SIGNAL%20TRANSFORMERS-%20LP-24-250.jpg,595-1328-ND,LP-24-250,Signal Transformer,XFRMR SEMI-TORO 6VA THRU HOLE,291,0,"11.99000","0","1","LP","Active","Semi-Toroidal","115V, 230V","Parallel 12V, Series 24V","Parallel 500mA, Series 250mA","Dual","Dual","No","6VA","Through Hole","PC Pin","47.50mm L x 39.60mm W","21.60mm","1500Vrms","0.438 lb (198.67g)"
http://catalog.triadmagnetics.com/Asset/VPP24-830.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%2020.0VA%20TO61-1617.jpg,237-1071-ND,VPP24-830,Triad Magnetics,XFRMR LAMINATED 20VA THRU HOLE,2628,95,"12.00000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 1.66A, Series 830mA","Dual","Dual","No","20VA","Through Hole","PC Pin","57.15mm L x 47.63mm W","41.28mm","4000Vrms","0.9 lb (408.23g)"
http://catalog.triadmagnetics.com/Asset/VPP28-720.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%2020.0VA%20TO61-1617.jpg,237-1072-ND,VPP28-720,Triad Magnetics,XFRMR LAMINATED 20VA THRU HOLE,1968,691,"12.00000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 14V, Series 28V","Parallel 1.44A, Series 720mA","Dual","Dual","No","20VA","Through Hole","PC Pin","57.15mm L x 47.63mm W","41.28mm","4000Vrms","0.9 lb (408.23g)"
http://catalog.triadmagnetics.com/Asset/VPP36-560.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/XFORMER%2020.0VA%20TO61-1617.jpg,237-1073-ND,VPP36-560,Triad Magnetics,XFRMR LAMINATED 20VA THRU HOLE,775,0,"12.00000","0","1","PC Mount: World Series™","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 1.12A, Series 560mA","Dual","Dual","No","20VA","Through Hole","PC Pin","57.15mm L x 47.63mm W","41.28mm","4000Vrms","0.9 lb (408.23g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FS-5XX.pdf,//media.digikey.com/Photos/Tamura%20Photos/3FS-5.jpg,MT2220-ND,3FS-524,Tamura,XFRMR LAMINATED 12VA THRU HOLE,1476,0,"13.05000","0","1","3FS-5xx","Active","Laminated Core","115V","Parallel 12V, Series 24V","Parallel 1A, Series 500mA","Single","Dual","No","12VA","Through Hole","PC Pin","48.50mm L x 41.52mm W","38.00mm","2500Vrms","-"
https://belfuse.com/resources/ST.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/DST-6-36.jpg,595-1209-ND,DST-6-20,Signal Transformer,XFRMR LAMINATED 20VA THRU HOLE,433,0,"13.41000","0","1","DST","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 2A, Series 1A","Dual","Dual","No","20VA","Through Hole","PC Pin","57.20mm L x 47.60mm W","36.90mm","2500Vrms","0.8 lb (362.87g)"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-5XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-556.jpg,MT2120-ND,3FD-528,Tamura,XFRMR LAMINATED 12VA THRU HOLE,2688,0,"13.57000","0","1","3FD-5xx","Active","Laminated Core","115V, 230V","Parallel 14V, Series 28V","Parallel 840mA, Series 420mA","Dual","Dual","No","12VA","Through Hole","PC Pin","48.50mm L x 41.52mm W","38.00mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-5XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-556.jpg,MT2116-ND,3FD-524,Tamura,XFRMR LAMINATED 12VA THRU HOLE,1336,0,"13.99000","0","1","3FD-5xx","Active","Laminated Core","115V, 230V","Parallel 12V, Series 24V","Parallel 1A, Series 500mA","Dual","Dual","No","12VA","Through Hole","PC Pin","48.50mm L x 41.52mm W","38.00mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-5XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-556.jpg,MT2108-ND,3FD-516,Tamura,XFRMR LAMINATED 12VA THRU HOLE,904,0,"13.99000","0","1","3FD-5xx","Active","Laminated Core","115V, 230V","Parallel 8V, Series 16V","Parallel 1.6A, Series 800mA","Dual","Dual","No","12VA","Through Hole","PC Pin","48.50mm L x 41.52mm W","38.00mm","2500Vrms","-"
http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/3FD-5XX.pdf,//media.digikey.com/photos/Tamura%20Photos/3FD-556.jpg,MT2112-ND,3FD-520,Tamura,XFRMR LAMINATED 12VA THRU HOLE,213,0,"13.99000","0","1","3FD-5xx","Active","Laminated Core","115V, 230V","Parallel 10V, Series 20V","Parallel 1.2A, Series 600mA","Dual","Dual","No","12VA","Through Hole","PC Pin","48.50mm L x 41.52mm W","38.00mm","2500Vrms","-"
https://belfuse.com/resources/14A.pdf,//media.digikey.com/photos/Signal%20Transformers%20Photos/14A-20-%20SERIES.jpg,595-1032-ND,14A-20-36,Signal Transformer,XFRMR LAMINATED 20VA THRU HOLE,571,0,"14.12000","0","1","One-4-All™","Active","Laminated Core","115V, 230V","Parallel 18V, Series 36V","Parallel 1.12A, Series 560mA","Dual","Dual","No","20VA","Through Hole","PC Pin","57.20mm L x 47.60mm W","41.30mm","4000Vrms","0.9 lb (408.23g)"
