Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
https://www.versalogic.com/Products/PDF/DS-Cougar.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-14H.jpg,1241-1069-ND,VL-EPM-14H,VersaLogic Corporation,SBC GEODE LX800 500 MHZ 256 MB,181,0,"690.00000","0","1","Cougar","Active","Geode LX 800","500MHz","1","4.5W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus","256MB/256MB","ATA66, CompactFlash","VGA, LVDS","10/100 Mbps (2)","USB 2.0 (2)","3","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPM-31-BayCat.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-31ECP.jpg,1241-1341-ND,VL-EPM-31ECP,VersaLogic Corporation,SBC BAYCAT ATOM QUAD 1.9GHZ,37,0,"886.00000","0","1","BayCat","Active","Atom E3845","1.91GHz","4","6.5W","Heat plate","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PC/104-Plus","8GB/0GB","SATA, mSATA, SD","HDMI, VGA","10/100/1000 Mbps (2)","USB 2.0 (4), USB 3.0 (1)","2","24","-","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-3311.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-3311-EDP.jpg,1241-1346-ND,VL-EPU-3311-EBP,VersaLogic Corporation,SBC ATOM BAY TRAIL DUAL 1.75GZ,46,0,"1062.01000","0","1","Osprey","Active","Atom E3827","1.75GHz","2","6.8W","Heat plate","2.17"" x 3.74"" (55mm x 95mm)","-","-","2GB/2GB","SATA, eMMC, MicroSD, Mini PCIe","LVDS","GbE","USB 2.0 (4), USB 3.0 (1)","2","8","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-3312.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/Raven-Series.jpg,1241-1353-ND,VL-EPU-3312-EDP,VersaLogic Corporation,RAVEN BOARD QUAD 1.91GHZ,27,0,"1267.01000","0","1","Raven","Active","Atom E3845","1.91GHz","4","7.60W","Heat plate","3.74"" x 3.74"" (95mm x 95mm)","-","-","4GB/4GB","SATA, eMMC, MicroSD, Mini PCIe","LVDS","GbE","USB 2.0 (4), USB 3.0 (1)","4","8","8:0","Yes","-40°C ~ 85°C"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/MFG_SA69-0200-1100-C0.jpg,1485-1014-ND,SA69-0200-1100-C0,UDOO,UDOO NEO FULL SBC 1GB RAM,694,0,"68.03000","0","1","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","1GB/1GB","SD/SDIO, SPI","HDMI, LVDS","10/100 Mbps (1)","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
https://s3-us-west-2.amazonaws.com/technexion-downloads/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/WB-IMX6U-BW_Bottom.jpg,1406-0008-ND,WB-IMX6U-BW,Wandboard.Org,WB-IMX6U-BW KIT,73,0,"123.93000","0","1","-","Active","ARM® Cortex®-A9, i.MX6DualLite","1.0GHz","2","-","-","3.74"" x 3.74"" (95mm x 95mm)","-","GPIO, I²C, SPI, TTL, UART","1GB/1GB","microSD","HDMI","1 Gbps","USB 2.0 (1)","1","-","-","-","0°C ~ 50°C"
https://www.udoo.org/docs/Introduction/Introduction.html,//media.digikey.com/Photos/UDOO/MFG_UDOO-QUAD.jpg,1485-1001-ND,UDOO QUAD,UDOO,UDOO QUAD CORE SBC OPENSOURCE,98,0,"140.00000","0","1","-","Active","ARM® Cortex®-A9, i.MX6Quad","1.0GHz","4","-","-","4.33"" x 3.35"" (109.98mm x 85.09mm)","-","-","1GB/1GB","SATA, SD","HDMI, LVDS","RJ45 (10/100/1000)","USB 2.0 (1), USB 2.0 Type A (2), USB Micro (2)(1 OTG)","-","76","-","-","-"
https://s3-us-west-2.amazonaws.com/technexion-downloads/datasheets/wb-imx6.pdf,//media.digikey.com/Photos/Wandboard%20Org%20Photos/WB-IMX6Q-BW_Bottom.JPG,1406-0010-ND,WB-IMX6Q-BW,Wandboard.Org,WB-IMX6Q-BW KIT,53,0,"172.13000","0","1","-","Active","ARM® Cortex®-A9, i.MX6Quad","1.0GHz","4","-","-","3.74"" x 3.74"" (95mm x 95mm)","-","GPIO, I²C, SPI, TTL, UART","2GB/2GB","microSD","HDMI","1 Gbps","USB 2.0 (1)","1","-","-","-","0°C ~ 50°C"
https://www.digi.com/pdf/ds_op7200.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_20-101-0536.JPG,602-1649-ND,20-101-0536,Digi International,INTERFACE INTELL OPERATOR OP7210,37,0,"399.00000","0","1","OP7210","Active","Rabbit 2000","22MHz","1","4W","-","4.41"" x 5.67"" (112mm x 144mm)","-","-","128KB/128KB","-","-","10/100 Mbps (1)","-","4","16/8","-","Yes","-10°C ~ 65°C"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/MFG_SA69-0100-0100-C0.jpg,1485-1012-ND,SA69-0100-0100-C0,UDOO,UDOO NEO BASIC SBC 512MB RAM,124,0,"51.44000","0","1","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","512MB/512MB","SD/SDIO, SPI","HDMI, LVDS","10/100 Mbps (1)","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
http://www.udoo.org/download/files/datasheets/datasheet_udoo_neo.pdf,//media.digikey.com/Photos/UDOO/SA69-0200-1000-C0-%28top%29.jpg,1485-1013-ND,SA69-0200-1000-C0,UDOO,UDOO NEO EXTND SBC 1GB RAM,252,0,"63.69000","0","1","NEO","Active","ARM® Cortex®-A9 + M4, i.MX6Solo","1.0GHz","3","-","-","2.2"" x 2.7"" (56mm x 68.6mm)","-","-","1GB/1GB","SD/SDIO, SPI","HDMI, LVDS","-","USB 2.0 type A (1), USB Micro (1)(1 OTG)","-","36","6:0","-","-"
-,//media.digikey.com/Photos/Wandboard%20Org%20Photos/MFG_PICO-IMX6UL-KIT.jpg,1405-0017-ND,PICO-IMX6UL-KIT,Wandboard.Org,I.MX6UL BOARD,37,0,"70.23000","0","1","PICO","Active","ARM® Cortex®-A7, i.MX6Ultralite","528MHz","1","-","-","-","-","CAN, GPIO, I²C, SPI, UART","1GB/0GB","eMMC/SD","PXP","10/100 Mbps (2)","USB 2.0 (1), USB 2.0 OTG (1)","-","-","-","-","-"
https://www.udoo.org/docs/Introduction/Introduction.html,//media.digikey.com/Photos/UDOO/MFG_UDOO-DUAL.jpg,1485-1000-ND,UDOO DUAL,UDOO,UDOO DUAL CORE SBC OPENSOURCE,37,0,"118.75000","0","1","-","Active","ARM® Cortex®-A9, i.MX6Dual","1.0GHz","2","-","-","4.33"" x 3.35"" (109.98mm x 85.09mm)","-","-","1GB/1GB","SATA, SD","HDMI, LVDS","RJ45 (10/100/1000)","USB 2.0 (1), USB 2.0 Type A (2), USB Micro (2)(1 OTG)","-","76","-","-","-"
https://www.versalogic.com/Products/PDF/DS-EPM-19-Fox.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_VL-EPM-19.jpg,1241-1331-ND,VL-EPM-19EBK,VersaLogic Corporation,SINGLE BOARD COMPUTER,31,0,"754.00000","0","1","FOX","Active","Vortex86DX2","800MHz","1","6.8W","Heat Sink","3.77"" x 4.23"" (96mm x 108mm)","PC/104","PC/104-Plus","1GB/1GB","SATA (1), Mini PCIe/mSATA, microSD","VGA, LVDS","10/100 Mbps (2)","USB 2.0 (4)","4","8","0:0","Yes","-40°C ~ 85°C"
https://versalogic.com/Products/PDF/DS-Lion%20EPMe-42.pdf,//media.digikey.com/photos/VersaLogic%20Photos/VL-EPME-42EAP-04.jpg,1241-1369-ND,VL-EPME-42EAP-04,VersaLogic Corporation,SINGLE BOARD COMPUTER,29,0,"1739.01000","0","1","Lion","Active","Intel Core i3","2.4GHz","2","12.0W","Heat plate","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PCIe/104","4GB/4GB","SATA, mSATA, MicroSD","Mini Display Port","10/100/1000 Mbps (2)","USB 2.0 (4), USB 3.0 (2)","4","8","-","Yes","-40°C ~ 85°C"
https://developer.solid-run.com/download/cubox-i-datasheet/?wpdmdl=3603&ind=1545909811633,-,SRMX6QDWT1D02GE008X00CE-ND,SRMX6QDWT1D02GE008X00CE,SolidRun LTD,SBC PRO CARRIER WIFI/BT REV. 1.5,41,0,"146.88000","0","1","CuBox-i Pro","Active","ARM® Cortex®-A9, i.MX6Quad","1GHz","4","-","-","1.97"" x 1.97"" (50mm x 50mm)","-","-","2GB/-","eMMC, eSATA, uSD","HDMI, SPDIF","10/100/1000 Mbps","USB 2.0 (2), USB Micro (1)","-","-","-","No","0°C ~ 70°C"
https://versalogic.com/Products/PDF/DS-SandCat%20EPM-39.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_SandCat.jpg,1241-1442-ND,VL-EPM-39EBK,VersaLogic Corporation,SANDCAT SBC ATOM E3825 1.33GHZ M,53,0,"430.00000","0","1","SandCat","Active","Atom E3825","1.33GHz","2","5.3W","Heat Sink","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PC/104-Plus","8GB/0GB","mSATA, SATA","HDMI","10/100/1000 Mbps (1)","USB 2.0 (2)","1","16","-","Yes","-40°C ~ 85°C"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-B-002-ND,KVIM2-B-002,Khadas,VIM2 BASIC SINGLE BOARD COMPUTER,50,0,"112.00000","0","1","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","2GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-B-005-ND,KVIM2-B-005,Khadas,VIM2 BASIC SINGLE BOARD COMPUTER,50,0,"119.34000","0","1","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","2GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-P-002-ND,KVIM2-P-002,Khadas,"VIM2 PRO SINGLE BOARD COMPUTER,",50,0,"140.76000","0","1","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","3GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://dl.khadas.com/Hardware/VIM2/Specs/Khadas_VIM2_Specs_190403.pdf,//media.digikey.com/Photos/Khadas/MFG_KVIM2.jpg,2064-KVIM2-M-002-ND,KVIM2-M-002,Khadas,"VIM2 MAX SINGLE BOARD COMPUTER,",50,0,"152.25000","0","1","-","Active","Amlogic S912","1.5GHz","8","-","-","3.23"" x 2.28"" x 0.45"" (82mm x 58mm x 11.5mm)","-","40-Pin GPIO Header","3GB","eMMC V5.1","HDMI 2.0a","GbE","USB 2.0 (1)","-","-","-","Yes","-"
https://www.versalogic.com/Products/PDF/DS-Tiger.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPM-24EN.jpg,1241-1175-ND,VL-EPM-24EN,VersaLogic Corporation,TIGER 1.3 GHZ EXT TEMP,292,0,"963.00000","0","1","Tiger","Obsolete","Atom Z520PT","1.33GHz","1","5.9W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus noPassThru","2GB/0GB","ATA100, IDE DOM","LVDS","10/100 Mbps (1)","USB 2.0 (7)","4","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Tiger.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_Tiger.jpg,1241-1042-ND,VL-EPM-24EU,VersaLogic Corporation,SBC ATOM Z520PT 1.33 GHZ MAX 2GB,116,0,"966.01000","0","1","Tiger","Obsolete","Atom Z520PT","1.33GHz","1","5.9W","Heat Sink","3.6"" x 3.8"" (90mm x 96mm)","PC/104","PC/104-Plus noPassThru","2GB/0GB","ATA100, IDE DOM","LVDS","10/100 Mbps (1)","USB 2.0 (7)","4","0","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Falcon.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-2610-EBPx.jpg,1241-1235-ND,VL-EPU-2610-ECPN,VersaLogic Corporation,"SWAP SYSTEM 1.6 GHZ, 1GB",45,0,"1284.00000","0","1","Falcon","Obsolete","Atom E680T","1.6GHz","1","10.6W","Heat plate","2.17"" x 3.31"" (55mm x 84mm)","EPU","-","1GB/1GB","SATA2, mSATA, MicroSD (2)","LVDS","GbE","USB 2.0 (4)","4","4","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Copperhead.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EBXE-41SJF.JPG,1241-1118-ND,VL-EBXE-41SJF,VersaLogic Corporation,SBC COPPERHEAD 4 CORE I7 2.3GHZ,41,0,"3272.02000","0","1","Copperhead","Last Time Buy","Intel Core i7","2.3GHz","4","37.2W","Fan + Heat Sink","5.75"" x 8"" (146mm x 203mm)","EBX","PCIe/104","16GB/0GB","SATA3 (2), SATA6 (2), mSATA, eUSB","VGA, LVDS","10/100/1000 Mbps (2)","USB 2.0 (10), USB 3.0 (2)","4","32","16:8","Yes","0°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/ConnectCore_%206UL_SBC_Express_1-2-18.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_CC-SBE-WMX-JN58.jpg,602-2174-ND,CC-SBE-WMX-JN58,Digi International,CONNECTCORE,14,0,"124.00000","0","1","ConnectCore® 6UL","Active","ARM® Cortex®-A7, i.MX6Ultralite","528MHz","1","-","-","3.43"" x 2.48"" (87mm x 63mm)","SBC","GPIO, I²C, SPI, TTL, UART","256MB/256MB","microSD","RGB","10/100 Mbps (1)","USB 2.0 (2)","-","8","-","-","-40°C ~ 85°C"
https://www.digi.com/pdf/ds_bl4s100.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-1258.JPG,316-1171-ND,20-101-1258,Digi International,COMPUTER SINGLE-BOARD BL4S160,21,0,"150.00000","0","1","SBC BL4S100","Active","Rabbit 4000","40MHz","1","2W","-","3.75"" x 5.75"" (96mm x 146mm)","-","-","1.5MB/1.5MB","-","-","10 Mbps (1)","-","3","20","8:0","Yes","-40°C ~ 85°C"
https://wiki.solid-run.com/lib/exe/fetch.php?media=imx6:hummingboard:docs:sr-imx6-hummingboard-edge-datasheet.pdf,-,SRMX6QDW00D02GE008E00CH-ND,SRMX6QDW00D02GE008E00CH,SolidRun LTD,SOM IMX6 QUAD HUMMINGBOARD EDGE,17,0,"228.52000","0","1","HummingBoard Edge","Active","ARM® Cortex®-A9, i.MX6Quad","1.2GHz","4","-","-","2.717"" x 4.016"" (69mm x 102mm)","-","mPCIe","4GB/2GB","eSATA, M.2, uSD","HDMI, LVDS, MIPI","10/100/1000 Mbps (1)","USB 2.0 (4)","-","36","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/ConnectCore_%206UL_SBC_Express_1-2-18.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_CC-SBP-WMX-JN58.jpg,602-2090-ND,CC-SBP-WMX-JN58,Digi International,"CONNECTCORE 6UL SBC PRO, I.MX6UL",23,0,"249.33000","0","1","ConnectCore® 6UL","Active","ARM® Cortex®-A7, i.MX6Ultralite","528MHz","1","-","-","2.83"" x 3.94"" (72mm x 100mm)","Pico-ITX","CAN, GPIO, I²C, SPI, UART","256MB/256MB","microSD","LVDS, RGB","10/100 Mbps (2)","USB 2.0 (3), USB 2.0 OTG (1)","2","8","-","-","-40°C ~ 85°C"
https://wiki.solid-run.com/lib/exe/fetch.php?media=ibx:carrierboard:docs:sr-ibx-solidpc-datasheet.pdf,//media.digikey.com/Photos/SolidRun/MFG_SRI8000S00D04GE008Q00CE.jpg,SRI8000S00D04GE008Q00CE-ND,SRI8000S00D04GE008Q00CE,SolidRun LTD,"SOLIDPC Q4 IB8000 4GB RAM, 8GB E",14,0,"266.80000","0","1","SolidPC Q4","Active","Atom E8000","-","4","-","-","-","-","-","8GB/0GB","eMMC, M.2, uSD","HDMI","RJ45 (2)","USB 3.0 (3)","-","-","-","-","-"
http://ftp1.digi.com/support/documentation/0190094_o.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_20-101-0430.JPG,602-1876-ND,20-101-0430,Digi International,COMPUTER SGL-BOARD FULL BL2000,9,0,"269.00000","0","1","Wildcat","Active","Rabbit 2000","22.1MHz","1","1.5W","-","3.43"" x 4.15"" (87mm x 105mm)","-","-","128KB/128KB","-","-","10 Mbps (1)","-","4","28","4:2","Yes","-40°C ~ 70°C"
https://www.digi.com/pdf/ds_bl2600.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-101-0889%20VIEW%201%20OF%202.JPG,316-1199-ND,20-101-0889,Digi International,COMPUTER SGL-BRD 44.2MHZ BL2600,17,0,"312.00000","0","1","Wolf","Active","Rabbit 3000","44.2MHz","1","25W","-","4.85"" x 4.96"" (123mm x 126mm)","-","-","512KB/512KB","-","-","10/100 Mbps (1)","-","5","36","8:4","Yes","-40°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Digi%20International%20PDFs/CC-SB-WMX-L87C_Web.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/MFG_CC-SB-WMX-L87C.jpg,602-2237-ND,CC-SB-WMX-L87C,Digi International,CONNECTCORE WI-I.MX6DUAL,13,0,"334.67000","0","1","ConnectCore® 6","Active","ARM® Cortex®-A9, i.MX6Dual","800MHz","2","-","-","3.937"" x 2.835"" (100mm x 72mm)","Pico-ITX","CAN, I²C, SPI, Wi-Fi/Bluetooth, XBee RF, Cellular","1GB/-","eMMC/SD","HDMI, LCD, LVDS, MIPI-DSI","GbE","USB 2.0 (4)","1","12","-","-","-40°C ~ 85°C (TA)"
http://advdownload.advantech.com/productfile/PIS/MIO-5251/Product%20-%20Datasheet/MIO-5251_DS(09.13.18)20180913112605.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/MFG_MIO-5251J-U0A1E.jpg,MIO-5251J-U0A1E-ND,MIO-5251J-U0A1E,Advantech Corp,SBC CELERON J1900 2.0GHZ SODIMM,12,0,"365.75000","0","1","-","Active","Celeron J1900","2.0GHz","4","7.44W","Heat Sink","5.7"" x 4"" (146mm x 102mm)","MIO-Compact","Mini-PCIe, MIOe","8GB/0GB","SATA, mSATA, SD","DP, HDMI, LVDS, VGA","10/100/1000 Mbps","USB 2.0 (4), USB 3.0 (1)","4","8","-","Yes","0°C ~ 60°C"
https://www.digi.com/pdf/ds_op7200.pdf,//media.digikey.com/Photos/Rabbit%20Semi%20Photos/20-101-0537.jpg,316-1197-ND,20-101-0537,Digi International,INTERFACE OP7200 W/TCHSCRN&512K,12,0,"489.00000","0","1","OP7200","Active","Rabbit 2000","22MHz","1","4W","-","4.41"" x 5.67"" (112mm x 144mm)","-","-","128KB/128KB","-","-","10/100 Mbps (1)","-","4","19/8","8:0","Yes","-"
https://versalogic.com/Products/PDF/DS-EPMe-30-Bengal.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_EPMe-30.jpg,1241-1248-ND,VL-EPME-30ECP,VersaLogic Corporation,BENGAL BOARD QUAD CORE 1.91GHZ,15,0,"1036.01000","0","1","Bengal","Active","Atom E3845","1.91GHz","4","8.75W","Heat plate","4.23"" x 3.77"" (108mm x 96mm)","PC/104","PCIe/104","8GB/0GB","mSATA, SATA","VGA, Mini Display Port","10/100/1000 Mbps (2)","USB 2.0 (5), USB 3.0 (1)","2","18","-","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-EPU-3311.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/VL-EPU-3311-EDP.jpg,1241-1347-ND,VL-EPU-3311-EDP,VersaLogic Corporation,SBC ATOM BAY TRAIL QUAD 1.91GZ,19,0,"1237.01000","0","1","Osprey","Active","Atom E3845","1.91GHz","4","7.3W","Heat plate","2.17"" x 3.74"" (55mm x 95mm)","-","-","4GB/4GB","SATA, eMMC, MicroSD, Mini PCIe","LVDS","GbE","USB 2.0 (4), USB 3.0 (1)","2","8","0:0","Yes","-40°C ~ 85°C"
https://www.versalogic.com/Products/PDF/DS-Viper%20EBX-38.pdf,//media.digikey.com/photos/VersaLogic%20Photos/VL-EBX-38ECP.JPG,1241-1375-ND,VL-EBX-38ECP,VersaLogic Corporation,SINGLE BOARD COMPUTER,21,0,"1345.01000","0","1","Viper","Active","Atom E3845","1.91GHz","4","7.7W","Heat plate","5.75"" x 8"" (146mm x 203mm)","EBX","PC/104-Plus","16GB/0GB","SATA, mSATA, MicroSD","LVDS, VGA, Mini Display Port","10/100/1000 Mbps (2)","USB 2.0 (6), USB 3.0 (1)","4","32","8:4","Yes","-40°C ~ 85°C"
