Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","For Use With/Related Products","Contents"
http://ww1.microchip.com/downloads/en/DeviceDoc/00002618A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_PG164140.jpg,PG164140-ND,PG164140,Microchip Technology,PROGRAMMER MCU PICKIT 4,487,0,"47.95000","0","1","PICkit™ 4","Active","Debugger, Programmer (In-Circuit/In-System)","PIC Micro® MCU","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/JTAG-SMT2-NC_MSL_3_RevA_11-21-17.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_410-308P.jpg",1286-1192-ND,410-308-B,"Digilent, Inc.",MOD PROGRAMMING JTAG-SMT2-NC,2010,0,"49.00000","0","1","-","Active","Programmer (In-Circuit/In-System)","FPGA","Board(s)"
http://www.terasic.com.tw/cgi-bin/page/archive_download.pl?Language=English&No=46&FID=2f5906c1ffce76384d6564a1c75b959c,//media.digikey.com/photos/Terasic%20Tech%20Photos/P0302.JPG,P0302-ND,P0302,Terasic Inc.,USB BLASTER CABLE,1007,0,"50.00000","0","1","-","Active","Programmer (In-Circuit/In-System)","Altera","Board(s), Cable(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-ICE_UserGuide.pdf,//media.digikey.com/Photos/Atmel%20Photos/MFG_ATATMEL-ICE-PCBA.jpg,ATATMEL-ICE-PCBA-ND,ATATMEL-ICE-PCBA,Microchip Technology,EMU FOR SAM AND AVR MCU PCB ONLY,286,0,"50.38000","0","1","-","Active","Debugger, Emulator, Programmer (In-Circuit/In-System)","ARM®, AVR®","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Microsemi%20PDFs/FlashPro5%20Quickstart.pdf,//media.digikey.com/Photos/Microsemi%20Photos/FLASHPRO5.jpg,1100-1179-ND,FLASHPRO5,Microsemi Corporation,HARDWARE PROGRAMMER SOC/FPGA,450,0,"51.25000","0","1","-","Active","Programmer","FPGA","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/JTAG-SMT3-NC_MSL3_RevA_9-6-18.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_410-357-B.jpg",1286-1196-ND,410-357-B,"Digilent, Inc.",JTAG-SMT3-NC: SURFACE-MOUNT PROG,111,0,"52.48000","0","1","-","Active","Programmer (In-Circuit/In-System)","FPGA","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Digilent%20PDFs/JTAG-SMT2_MSL_3_RevD_11-21-17.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_410-251-B.jpg",1286-1218-ND,410-251-B,"Digilent, Inc.",JTAG-SMT2 SURFACE-MOUNT PROGRAMR,800,0,"54.00000","0","1","-","Active","Programmer (In-Circuit/In-System)","FPGA","Board(s)"
https://reference.digilentinc.com/_media/jtag_hs3:jtag-hs3_rm.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_JTAG-HS3-kit.jpg",1286-1047-ND,410-299,"Digilent, Inc.",PROGRAMMING CABLE JTAG HS3,655,0,"59.00000","0","1","-","Active","Programmer (In-Circuit/In-System)","FPGA","Board(s)"
https://reference.digilentinc.com/_media/jtag_hs2:jtag-hs2_rm.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/410-249.JPG",1286-1019-ND,410-249,"Digilent, Inc.",JTAGHS2 FPGA PROGRAMMING CABLE,2754,0,"59.99000","0","1","-","Active","Programmer (In-Circuit/In-System)","FPGA","Board(s)"
https://www.infineon.com/dgdl/ug-usb005.pdf?fileId=5546d462533600a40153568485d32985,//media.digikey.com/Photos/Infineon%20Photos/USB005.jpg,USB005-ND,USB005,Infineon Technologies,ISOLATED USB TO I2C PROGRAMMER,243,0,"73.64000","0","1","-","Active","Programmer","PowIRCenter","Board(s)"
http://www.ccsinfo.com/pdfs/CCS_Brochure_2008.pdf,//media.digikey.com/Photos/Custom%20Computer%20Photos/MFG_53505-852.jpg,429-1012-ND,53505-852,Custom Computer Services Inc. (CCS),PIC IN-CIRCUIT DEBUGGER USB,53,0,"73.75000","0","1","-","Active","Emulator (In-Circuit/In-System)","PIC Micro® MCU","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/80/76/2b/dc/45/c5/46/90/DM00027105.pdf/files/DM00027105.pdf/jcr:content/translations/en.DM00027105.pdf,//media.digikey.com/Photos/STMicro%20Photos/ST-LINK%5EV2-ISOL.jpg,497-15961-ND,ST-LINK/V2-ISOL,STMicroelectronics,DEBUGGER/PROGRAMMER STM8/32,89,0,"78.75000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","STM8, STM32","Board(s), Cable(s)"
https://www.infineon.com/dgdl/Infineon-XMC_Link_Board_Users_Manual.pdf-UM-v01_00-EN.pdf?fileId=5546d462518ffd850152451695e45edc,//media.digikey.com/Photos/Infineon%20Photos/KITXMCLINKSEGGERV1TOBO1.jpg,KITXMCLINKSEGGERV1TOBO1-ND,KITXMCLINKSEGGERV1TOBO1,Infineon Technologies,ISOLATED DEBUG PROBE FOR XMC WIT,47,0,"90.85000","0","1","-","Active","Debugger","XMC","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-ICE_UserGuide.pdf,//media.digikey.com/Photos/Atmel%20Photos/MFG_ATATMEL-ICE-BASIC.jpg,ATATMEL-ICE-BASIC-ND,ATATMEL-ICE-BASIC,Microchip Technology,EMU FOR SAM AND AVR MCU BASIC,266,0,"90.89000","0","1","-","Active","Debugger, Emulator, Programmer (In-Circuit/In-System)","ARM®, AVR®","Board(s), Cable(s)"
http://www.cypress.com/file/44091/download,//media.digikey.com/photos/Cypress%20Semi%20Photos/CY8CKIT-002.JPG,428-2975-ND,CY8CKIT-002,Cypress Semiconductor Corp,KIT PSOC MINIPROG3 PROGRAM DEBUG,225,0,"92.81000","0","1","PSOC® CapSense","Active","Programmer","PSoC 1, PSoC 3 and PSoC 5","Board(s), Cable(s)"
https://www.silabs.com/documents/public/user-guides/ClockBuilderPro-Dongle-UG.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/CBPROG-DONGLE.jpg,336-3255-ND,CBPROG-DONGLE,Silicon Labs,DEV BOARD CLOCK,83,0,"98.03000","0","1","ClockBuilderPro™","Active","Programmer","Si534x, Si538x","Board(s), Cable(s)"
http://www.ti.com/lit/pdf/sprui94,//media.digikey.com/photos/Texas%20Instr%20Photos/TMDSEMU110-U.jpg,296-46954-ND,TMDSEMU110-U,Texas Instruments,XDS110 JTAG DEBUG PROBE,258,0,"102.80000","0","1","-","Active","Emulator","DSP, MCU","Board(s)"
-,//media.digikey.com/Photos/Micronas/HAL-USB-PROGRAMMER-TOOL-V.1.jpg,HALUSBPROGRAMMERTOOLV.1.0-ND,HAL USB PROGRAMMER TOOL V.1.0,TDK-Micronas GmbH,BOARD USB PROGRAMMER HALL SENSOR,53,0,"116.00000","0","1","-","Active","Programmer","Magnetic Position Sensors","Board(s)"
http://www.ti.com/lit/pdf/slau278,//media.digikey.com/Photos/Texas%20Instr%20Photos/MSP-FET.jpg,296-37897-ND,MSP-FET,Texas Instruments,FLASH EMULATION TOOL FOR MSP430,665,0,"119.42000","0","1","-","Active","Emulator","MSP430","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-ICE_UserGuide.pdf,//media.digikey.com/Photos/Atmel%20Photos/MFG_ATATMEL-ICE.jpg,ATATMEL-ICE-ND,ATATMEL-ICE,Microchip Technology,EMU FOR SAM AND AVR MCU KIT,1195,0,"130.00000","0","1","-","Active","Debugger, Emulator, Programmer (In-Circuit/In-System)","ARM®, AVR®","Board(s), Cable(s)"
http://www.xilinx.com/support/documentation/data_sheets/ds300.pdf,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_6003-410-011P-KIT.JPG",1286-1100-ND,6003-410-011,"Digilent, Inc.",XUP USB-JTAG PROGRAMMING CABLE,59,0,"150.00000","0","1","-","Active","Programmer (In-Circuit/In-System)","EEPROM, FPGA, PLD","Board(s), Cable(s)"
https://www.renesas.com/en-us/doc/products/tool/doc/004/r20ut0541ej0603_e8a.pdf,//media.digikey.com/photos/Renesas%20Tech%20Photos/R0E00008AKCE00.JPG,R0E00008AKCE00-ND,R0E00008AKCE00,Renesas Electronics America,EMULATOR E8A FOR H8 AND M16C,58,0,"156.25000","0","1","-","Active","Debugger (In-Circuit/In-System)","740, H8, H8S, M16C, R8C","Board(s), Cable(s)"
https://www.analog.com/media/en/dsp-documentation/evaluation-kit-manuals/ICE_emu_1000_2000_rev_manual.pdf,//media.digikey.com/Photos/Analog%20Devices%20Photos/MFG_ADZS-ICE-1000.jpg,ADZS-ICE-1000-ND,ADZS-ICE-1000,Analog Devices Inc.,EMULATOR BLACKFIN,36,0,"164.76000","0","1","-","Active","Emulator (In-Circuit/In-System)","Blackfin®","Board(s)"
http://www.latticesemi.com/~/media/LatticeSemi/Documents/UserManuals/MQ/ProgrammingCableUsersGuide.pdf,//media.digikey.com/Photos/Lattice%20Semi%20Photos/MFG_HW-USBN-2B.jpg,220-1934-ND,HW-USBN-2B,Lattice Semiconductor Corporation,ACCY USB DOWNLOAD CABLE,318,0,"170.69000","0","1","ispDOWNLOAD®","Active","Programmer (In-Circuit/In-System)","Lattice","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Custom%20Computer%20Services%20PDFs/53503-814.pdf,//media.digikey.com/Photos/Custom%20Computer%20Photos/MFG_53503-814.jpg,429-1024-ND,53503-814,Custom Computer Services Inc. (CCS),DEBUGGER/PROGRAMMER LOAD/GO ICSP,41,0,"186.25000","0","1","LOAD-n-GO","Active","Programmer (In-Circuit/In-System)","PIC Micro® MCU","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/50002596A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_DV164045.jpg,DV164045-ND,DV164045,Microchip Technology,MPLAB ICD 4 IN-CIRCUIT DEBUGGER,196,0,"249.95000","0","1","MPLAB® ICD4","Active","Debugger, Programmer (In-Circuit/In-System)","PIC Micro® MCU","Board(s), Cable(s)"
http://www.xilinx.com/support/documentation/data_sheets/ds593.pdf,//media.digikey.com/photos/Xilinx%20Photos/HW-USB-II-G.JPG,122-1572-ND,HW-USB-II-G,Xilinx Inc.,PLATFORM CABLE USB II DLC10,1802,0,"269.10000","0","1","-","Active","Programmer (In-Circuit/In-System)","EEPROM, FPGA, PLD","Board(s)"
http://www.keil.com/product/brochures/mdk_2010.pdf,//media.digikey.com/photos/Keil%20Photos/ULINK2.jpg,ULINK2-ND,ULINK2,ARM,USB-JTAG ADAPTER PLUG AND PLAY,48,0,"395.00000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","8051, ARM7®, ARM9®, C166, Cortex®-M","Board(s), Cable(s)"
-,//media.digikey.com/Photos/IAR%20Systems%20Software%20Inc/I-JET.JPG,I-JET-ND,I-JET,IAR Systems Software Inc.,JTAG ARM DEBUGGING PROBE,85,0,"436.25000","0","1","-","Active","Debugger (In-Circuit/In-System)","ARM7®, ARM9®, ARM11®, Cortex®","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Micronas/HAL%20APV%20V5.1.pdf,//media.digikey.com/Photos/Micronas/HAL-APV-V5.1.jpg,HALAPVV5.1-ND,HAL APV V5.1,TDK-Micronas GmbH,BOARD PROGRAMR HAL8 HAL100 CUR31,57,0,"576.00000","0","1","-","Active","Programmer","Magnetic Position Sensors","Board(s)"
https://www.xilinx.com/support/documentation/boards_and_kits/smartlynq/ug1258-smartlynq-cable.pdf,//media.digikey.com/photos/Xilinx%20Photos/MFG_HW-SMARTLYNQ-G.jpg,122-2106-ND,HW-SMARTLYNQ-G,Xilinx Inc.,SMARTLYNQ DATA CABLE,78,0,"591.50000","0","1","-","Active","Programmer (In-Circuit/In-System)","PLD","Board(s), Cable(s), Power Supply"
//media.digikey.com/pdf/Data%20Sheets/Microchip%20PDFs/MPLAB%20PM3%20Universal%20Device%20Programmer.pdf,//media.digikey.com/photos/Microchip%20Tech%20Photos/DV007004.JPG,DV007004-ND,DV007004,Microchip Technology,PROGRAMMER UNIVERSAL PM3,37,0,"895.00000","0","1","MPLAB® PM3","Active","Programmer (In-Circuit/In-System, Universal Out-of-Circuit)","PIC Micro® MCU","Board(s), Cable(s), Power Supply"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2548_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_2548.JPG,1528-1982-ND,2548,Adafruit Industries LLC,ST-LINK STM8/STM32 V2 PROGRAMMER,510,0,"12.50000","0","1","-","Active","Debugger, Emulator, Programmer (In-Circuit/In-System)","STM8, STM32","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-12924_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-12924.jpg,1568-1078-ND,DEV-12924,SparkFun Electronics,MICROVIEW USB PROGRAMMER,177,0,"15.95000","0","1","-","Active","Programmer (In-Circuit/In-System)","MicroView","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/J-Link,_J-Trace_User_Manual_Web.pdf",//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/8.08.91-J-LINK-EDU-MINI.jpg,899-1061-ND,8.08.91 J-LINK EDU MINI,Segger Microcontroller Systems,J-LINK EDU MINI,521,0,"20.35000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","ARM® Cortex®-M","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14747_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14747.jpg,1568-1901-ND,DEV-14747,SparkFun Electronics,PI AVR PROGRAMMER HAT,111,0,"21.95000","0","1","-","Active","Programmer","Raspberry Pi","Board(s), Cable(s)"
https://www.olimex.com/Products/AVR/Programmers/AVR-ISP-MK2/resources/AVR-ISP-MK2.pdf,//media.digikey.com/Photos/Olimex%20LTD/AVR-ISP-MK2.jpg,1188-1008-ND,AVR-ISP-MK2,Olimex LTD,ATAVRISP2 COMPATIBLE PROGRAMMER,165,0,"24.65000","0","1","-","Active","Programmer (In-Circuit/In-System)","AVR®","Board(s), Cable(s)"
https://www.olimex.com/Products/ARM/JTAG/_resources/ARM-USB-TINY_and_TINY_H_manual.pdf,//media.digikey.com/Photos/Olimex%20LTD/ARM-USB-TINY-H.jpg,1188-1013-ND,ARM-USB-TINY-H,Olimex LTD,ARM JTAG DEBUGGER,553,0,"49.60000","0","1","-","Active","Debugger","ARM®","Board(s)"
http://www.segger.com/cms/admin/uploads/productDocs/UM08001_JLink.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_8.08.90-J-LINK-EDU.jpg,899-1008-ND,8.08.90 J-LINK EDU,Segger Microcontroller Systems,JTAG EMULATOR FOR ARM CORES,117,0,"63.75000","0","1","-","Active","Emulator","ARM7®, ARM9®, Cortex®","Board(s)"
https://www.olimex.com/Products/ARM/JTAG/_resources/ARM-USB-OCD_and_OCD_H_manual.pdf,//media.digikey.com/Photos/Olimex%20LTD/ARM-USB-OCD-H.jpg,1188-1014-ND,ARM-USB-OCD-H,Olimex LTD,ARM JTAG DEBUGGER,384,0,"67.02000","0","1","-","Active","Debugger","ARM®","Board(s)"
https://www.olimex.com/Products/DSP/Emulators/TMS320-XDS100-V3/resources/TMS320-XDS100v3_UM.pdf,//media.digikey.com/Photos/Olimex%20LTD/TMS320-XDS100-V3.jpg,1188-1099-ND,TMS320-XDS100-V3,Olimex LTD,USB XDS100 V3 JTAG DEBUGGER,104,0,"67.67000","0","1","-","Active","Debugger, Emulator, Programmer (In-Circuit/In-System)","TMS320 Series","Board(s)"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DV243003.jpg,DV243003-ND,DV243003,Microchip Technology,KIT STARTER FOR SRL MEM PRODUCTS,47,0,"79.98000","0","1","MPLAB®","Active","Programmer","EEPROM","Board(s)"
https://www.iotize.com/tzr/scripts/downloader2.php?filename=T020/media/00/5c/4m3glq9t962o&mime=application/pdf&originalname=RaisonanceTools-STM8-ST7.pdf,//media.digikey.com/Photos/IoTize/MFG_RLINK-STD.jpg,2087-RLINK-STD-ND,RLINK-STD,IoTize,MCU IN-CIRCUIT DEBUG/PROGRAM BRD,44,0,"95.99000","0","1","-","Active","Debugger, Programmer (In-Circuit/In-System)","STM8, ST7, uPSD, STM32, STR7 and STR9","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Spectrum%20Digital/702302_Web.pdf,//media.digikey.com/photos/Spectrum%20Digital%20Photos/702302.jpg,702302-ND,702302,Spectrum Digital Inc,EMULATOR JTAG XDS100V2 USB,61,0,"111.38000","0","1","-","Active","Emulator","DSP, MCU","Board(s), Cable(s)"
https://www.nxp.com/docs/en/supporting-information/USBMLUNIVERSALFX.pdf,//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_U-MULTILINK.jpg,U-MULTILINK-ND,U-MULTILINK,NXP USA Inc.,USB MULTILINK PROGRAMMER,196,0,"211.44000","0","1","USB Multilink","Active","Debugger, Programmer (In-Circuit/In-System)","ARM®, ARM® Cortex® and Other Devices","Board(s), Cable(s)"
https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/ug/ug_usb_blstr.pdf,//media.digikey.com/Photos/Altera%20Photos/PL-USB2-BLASTER.jpg,544-3170-ND,PL-USB2-BLASTER,Intel,CABLE PROGRAMMING USB,387,0,"225.00000","0","1","Intel® FPGA Download Cable II","Active","Programmer (In-Circuit/In-System)","Altera","Board(s)"
https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/ug/ug_usb_blstr.pdf,//media.digikey.com/Photos/Altera%20Photos/PL-USB-BLASTER-RCN.jpg,544-1775-ND,PL-USB-BLASTER-RCN,Intel,CABLE PROGRAMMING USB,369,0,"300.00000","0","1","Intel® FPGA Download Cable","Active","Programmer (In-Circuit/In-System)","Altera","Board(s)"
http://www.segger.com/cms/admin/uploads/productDocs/UM08001_JLink.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_8.08.00-J-LINK-BASE.jpg,899-1004-ND,8.08.00 J-LINK BASE,Segger Microcontroller Systems,JTAG EMULATOR FOR ARM CORES,177,0,"401.63000","0","1","-","Active","Emulator","ARM7®, ARM9®, ARM11®, Cortex®","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/J-Link,_J-Trace_User_Manual_Web.pdf",//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/8.19.00-J-LINK-BASE-COMPACT.jpg,899-1059-ND,8.19.00 J-LINK BASE COMPACT,Segger Microcontroller Systems,J-LINK BASE COMPACT,103,0,"401.63000","0","1","-","Active","Emulator","-","Board(s), Cable(s)"
https://www.nxp.com/docs/en/supporting-information/USBMLUNIVERSALFX.pdf,//media.digikey.com/Photos/Freescale%20Photos/U-MULTILINK-FX.jpg,U-MULTILINK-FX-ND,U-MULTILINK-FX,NXP USA Inc.,USB MULTILINK FX PROGRAMMER,107,0,"423.94000","0","1","USB Multilink","Active","Debugger, Programmer (In-Circuit/In-System)","ARM®, ARM® Cortex® and Other Devices","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Altera%20PDFs/PL-ETH2-BLASTER.pdf,//media.digikey.com/Photos/Altera%20Photos/PL-ETH2-BLASTER.jpg,544-2646-ND,PL-ETH2-BLASTER,Intel,CABLE PROGRAMMING ETHERNET,82,0,"450.00000","0","1","Intel® FPGA Ethernet Cable","Active","Programmer (In-Circuit/In-System)","Altera","Board(s)"
http://www.segger.com/cms/admin/uploads/productDocs/UM08001_JLink.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/8.08.28-J-LINK-PLUS.jpg,899-1017-ND,8.08.28 J-LINK PLUS,Segger Microcontroller Systems,EMULATOR JTAG/SWD USB CPU,146,0,"635.38000","0","1","-","Active","Emulator","ARM®","Board(s)"
http://www.segger.com/cms/admin/uploads/productDocs/UM08001_JLink.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_8.16.28-J-LINK-ULTRA+.jpg,899-1010-ND,8.16.28 J-LINK ULTRA+,Segger Microcontroller Systems,EMULATOR JTAG/SWD ARM/CORTEX M3,116,0,"794.75000","0","1","-","Active","Emulator","ARM®","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/Flasher_Portable,_Flasher_Portable_PLUS_Web.pdf",//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_5.16.02-FLASHER-PORTABLE-PLUS.jpg,899-1037-ND,5.16.02 FLASHER PORTABLE PLUS,Segger Microcontroller Systems,FLASHER PORTABLE PLUS,37,0,"847.88000","0","1","-","Active","Programmer (In-Circuit/In-System)","ARM®, Cortex®, PowerPC, RX","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Segger%20PDFs/Flasher-ARM%20Brief.pdf,//media.digikey.com/Photos/Segger%20Microcontroller%20Systems/MFG_5.07.01-FLASHER-ARM.jpg,899-1002-ND,5.07.01 FLASHER ARM,Segger Microcontroller Systems,PROGRAMMER JTAG FOR ARM CORES,37,0,"847.88000","0","1","-","Active","Programmer (In-Circuit/In-System)","ARM7®, ARM9®, Cortex®","Board(s)"
https://www.nxp.com/docs/en/user-guide/CYCLONE-User-Manual.pdf,//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_U-CYCLONE.jpg,U-CYCLONE-ND,U-CYCLONE,NXP USA Inc.,CYCLONE UNIVERSAL PROGRAMMER,36,0,"848.94000","0","1","Cyclone","Active","Programmer (In-Circuit/In-System)","ARM®, ARM® Cortex® and Other Devices","Board(s), Cable(s), Power Supply, Accessories"
https://www.nxp.com/docs/en/user-guide/CYCLONE_FX-User-Manual.pdf,//media.digikey.com/Photos/NXP%20Semi%20Photos/MFG_U-CYCLONE_FX.jpg,U-CYCLONE-FX-ND,U-CYCLONE-FX,NXP USA Inc.,CYCLONE UNIVERSAL FX PROGRAMMER,29,0,"1273.94000","0","1","Cyclone","Active","Programmer (In-Circuit/In-System)","ARM®, ARM® Cortex® and Other Devices","Board(s), Cable(s), Power Supply, Accessories"
http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-6206-SAM-ICE_UserGuide.pdf,//media.digikey.com/photos/Atmel%20Photos/AT91SAM-ICE.jpg,AT91SAM-ICE-ND,AT91SAM-ICE,Microchip Technology,EMULATOR JTAG FOR ARM-BASED MCU,171,0,"150.00000","0","1","AT91SAM Smart ARM","Last Time Buy","Emulator (In-Circuit/In-System)","ARM®","Board(s)"
https://www.renesas.com/en-us/doc/products/tool/doc/004/r20ut0398ej0401_e1e20.pdf,//media.digikey.com/Photos/Renesas%20Tech%20Photos/R0E000010KCE00.jpg,R0E000010KCE00-ND,R0E000010KCE00,Renesas Electronics America,EMULATOR DEBUGGER E1,33,0,"159.38000","0","1","-","Obsolete","Emulator","Renesas","Board(s), Cable(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/MPLAB_ICD3_UG_51766a.pdf,//media.digikey.com/photos/Microchip%20Tech%20Photos/DV164035.jpg,DV164035-ND,DV164035,Microchip Technology,MPLAB ICD3 DEBUGGER/PROGRAMMER,575,0,"199.95000","0","1","MPLAB® ICD3","Last Time Buy","Debugger, Programmer (In-Circuit/In-System)","PIC Micro® MCU","Board(s), Cable(s)"
