Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Embedded","Utilized IC / Part","Primary Attributes","Supplied Contents"
http://ww1.microchip.com/downloads/en/DeviceDoc/50002282A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_ADM00559.jpg,ADM00559-ND,ADM00559,Microchip Technology,BOARD EVAL FOR MCP2221,177,0,"19.99000","0","1","-","Active","Interface","USB 2.0 to UART","-","MCP2221","-","Board(s), Cable(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_UM232R.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/UM232R.JPG,768-1019-ND,UM232R,"FTDI, Future Technology Devices International Ltd",MOD USB UART DEV FT232R,301,0,"20.00000","0","1","-","Active","Interface","USB 2.0 to UART (RS232) Bridge","No","FT232R","Full Speed, Rates of 300 ~ 3 MBaud, Security ID Number","Board(s)"
http://www.4dsystems.com.au/productpages/uUSB-PA5/downloads/uUSB-PA5_datasheet_R_2_0.pdf,//media.digikey.com/Photos/4D-Systems-Pty-Ltd/UUSB-PA5-II.jpg,1613-1118-ND,UUSB-PA5-II,4D Systems Pty Ltd,MICROUSB PROGRAMMING ADAPTER,194,0,"20.40000","0","1","-","Active","Interface","USB 2.0 to UART","-","CP2104","Full Speed (12Mbps)","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_UM232H.pdf,//media.digikey.com/Photos/FTDI%20%28Future%20Tech%20Devices%29/MFG_UM232H.jpg,768-1103-ND,UM232H,"FTDI, Future Technology Devices International Ltd",MOD USB HS FT232H EVAL,559,0,"21.81000","0","1","-","Active","Interface","USB 2.0 to Serial FIFO Bridge","No","FT232H","High Speed (480Mbps) Transceiver","Board(s)"
http://wizwiki.net/wiki/doku.php?id=osh:w5500_ethernet_shield:start&do=export_pdf,//media.digikey.com/Photos/WIZnet/W5500-ETHERNET-SHIELD.jpg,1278-1028-ND,W5500 ETHERNET SHIELD,WIZnet,ETHERNET SHIELD FOR W5500,145,0,"23.00000","0","1","-","Active","Interface","Ethernet","-","W5500","-","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_VDIP1.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/VDIP1.jpg,768-1001-ND,VDIP1,"FTDI, Future Technology Devices International Ltd",MOD VINCULUM DEV 1 PORT,1008,0,"25.09000","0","1","Vinculum","Active","Interface","USB 2.0 Host/Controller","Yes, ASIC","VNC1L-1A","Single A-Type Connector, UART / Parallel FIFO / SPI Interfaces","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_FT2232H_Mini_Module.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/FT2232HQ_MINI%20MOD.JPG,768-1030-ND,FT2232H MINI MODULE,"FTDI, Future Technology Devices International Ltd",MOD USB HS FT2232H EVAL,765,0,"27.00000","0","1","-","Active","Interface","USB 2.0 to UART, JTAG, SPI, I²C","No","FT2232H","High Speed, Asynch Serial Data from 300 baud ~ 12 Mbaud at TTL Levels","Board(s)"
http://www.echelon.com/assets/blt896253f1424397be/Control-Point-Module-5000-datasheet.pdf,//media.digikey.com/Photos/Echelon%20Photos/55040R-10.JPG,1499-1026-ND,55040R-10,Echelon Corporation,FT 5000 SMART TXRX CONTROL MODUL,68,0,"28.73000","0","1","-","Active","Interface","LonWorks","-","FT 5000","Twisted Pair","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_FT4232H_Mini_Module.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/FT2232HQ_MINI%20MOD.JPG,768-1031-ND,FT4232H MINI MODULE,"FTDI, Future Technology Devices International Ltd",MOD USB HS FT4232H EVAL,507,0,"29.90000","0","1","-","Active","Interface","USB 2.0 to UART (RS232) Bridge","Yes, ASIC","FT4232H","High-Speed, 300baud ~ 12Mbaud, Security ID Number","Board(s)"
http://www.dlpdesign.com/usb/dlp-io8-ds-v17.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-IO8-G.JPG,813-1010-ND,DLP-IO8-G,DLP Design Inc.,MODULE DATA-ACQUISITION 8-CH,158,0,"29.95000","0","1","-","Active","Interface","Data Capture","-","-","Data Acquisition System (DAS)","Board(s)"
http://www.dlpdesign.com/usb/dlp2232h-ds-v12.pdf,//media.digikey.com/Photos/DLP%20Design%20Inc/DLP-2232H.jpg,813-1032-ND,DLP-2232H,DLP Design Inc.,MODULE USB ADAPTER FOR FT2232H,1227,0,"32.95000","0","1","-","Active","Interface","USB 2.0 to UART (RS232) Bridge","No","FT2232H","Full Speed USB to High-Speed UART","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB_HI-SPEED_SERIAL_HUB_MODULE.pdf,//media.digikey.com/Photos/Future%20Designs%20Photos/FT-MOD-4232HUB.jpg,768-1091-ND,FT-MOD-4232HUB,"FTDI, Future Technology Devices International Ltd",MOD USB HS HUB & SERIAL I/F,128,0,"38.13000","0","1","-","Active","Interface","USB 2.0 Hub","No","FT4232H","USB Hi-Speed Hub, Up to 3 Downstream USB Ports","Board(s)"
http://www.cypress.com/file/133836/download,//media.digikey.com/Photos/Cypress%20Semi%20Photos/CYUSB3KIT-003.jpg,428-3347-ND,CYUSB3KIT-003,Cypress Semiconductor Corp,KIT DEV EZ-USB FX3 USB3.0,175,0,"45.94000","0","1","EZ-USB FX3™","Active","Interface","USB 3.0 Host/Controller","-","CYUSB301x","-","Board(s), Cable(s), Accessories"
https://www.silabs.com/documents/public/user-guides/Si5338-EVB.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/SI5338-EVB.JPG,336-1556-ND,SI5338-EVB,Silicon Labs,BOARD EVALUATION SI5338,115,0,"62.50000","0","1","-","Active","Timing","Clock Generator","No","Si5338","160kHz to 700MHz in LVPECL/LVDS, <1 ps RMS Typ Jitter, Zero ppm Freq Error","Board(s), Cable(s), Accessories"
//media.digikey.com/pdf/Data%20Sheets/Trinamic%20Motion%20Control%20PDFs/TMC-Landungsbr%C3%BCcke.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMC2660-EVAL.jpg,1460-1160-ND,TMC2660-EVAL,Trinamic Motion Control GmbH,EVAL BOARD FOR TMC2660,42,0,"68.75000","0","1","Landungsbrücke, Startrampe","Active","Power Management","Motor Controller/Driver, Stepper","No","TMC2660","-","Board(s)"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc5130-eval%2F_datasheet%2FTMC5130_Eval_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMC5130-EVAL_1460-1152.jpg,1460-1152-ND,TMC5130-EVAL,Trinamic Motion Control GmbH,EVAL BOARD FOR TMC5130,29,0,"68.75000","0","1","Landungsbrücke, Startrampe","Active","Power Management","Motor Controller/Driver, Stepper","No","TMC5130","-","Board(s)"
https://www.silabs.com/documents/public/user-guides/Si5xx-PROG-EVB.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/SI570-PROG-EVB.jpg,336-3018-ND,SI570-PROG-EVB,Silicon Labs,KIT DEV SI570 I2C PROGR OSC,27,0,"68.75000","0","1","-","Active","Timing","Reconfigurable Oscillators","Yes, MCU, 8-Bit","Si570","10MHz ~ 1.417GHz Frequency Range","Board(s), Cable(s)"
http://www.linear.com/docs/52981,//media.digikey.com/Photos/Linear%20Tech%20Photos/DC1941D.jpg,DC1941D-ND,DC1941D,Linear Technology/Analog Devices,EVAL BOARD FOR LTC6820,37,84,"75.00000","0","1","isoSPI","Active","Interface","Transceiver","No","LTC6820","Isolated","Board(s)"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_UMFT60xx%20module%20datasheet.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_UMFT601X-B.jpg,768-1303-ND,UMFT601X-B,"FTDI, Future Technology Devices International Ltd",DEV BOARD FT601 USB3 32BIT FIFO,112,0,"77.05000","0","1","-","Active","Interface","USB 3.0 to Parallel FIFO Bridge","-","FT601","-","Board(s)"
http://www.ti.com/lit/pdf/snau198,//media.digikey.com/Photos/Texas%20Instr%20Photos/TDC7201-ZAX-EVM.JPG,296-44450-ND,TDC7201-ZAX-EVM,Texas Instruments,EVAL BOARD FOR TDC7201,69,815,"77.88000","0","1","-","Active","Interface","Time-to-Digital Converter","-","TDC7201","-","Board(s)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en572331,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_DM330018.jpg,DM330018-ND,DM330018,Microchip Technology,STARTER KIT DSPIC33EV 5V CAN-LIN,53,0,"79.99000","0","1","dsPIC®","Active","Power Management","Motor Controller/Driver","Yes, DSC","dsPIC33EV","-","Board(s), Cable(s)"
http://infocenter.nordicsemi.com/pdf/PPK_User_Guide_v1.0.pdf,//media.digikey.com/Photos/Nordic%20Semiconductor%20ASA/NRF6707.JPG,1490-1058-ND,NRF6707,Nordic Semiconductor ASA,POWER PROFILER KIT,147,0,"81.25000","0","1","-","Active","Power Management","Energy/Power Meter","-","nRF51, nRF52","-","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/group0/5a/72/9c/a0/02/95/44/67/DM00307815/files/DM00307815.pdf/jcr:content/translations/en.DM00307815.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/MFG_STEVAL-MKI109V3.JPG,497-16720-ND,STEVAL-MKI109V3,STMicroelectronics,MOTHERBOARD MEMS ADAPTER STM32,56,0,"87.50000","0","1","MEMS","Active","Interface","-","Yes, MCU, 32-Bit","STM32 and MEMS Demo Boards","DIL24 Socket for ST MEMS Adapter Boards","Board(s)"
http://www.linear.com/docs/43996,//media.digikey.com/Photos/Analog%20Devices%20Photos/MFG_DC2093A.jpg,DC2093A-A-ND,DC2093A-A,Linear Technology/Analog Devices,DEV BOARD FOR LT4275A/LT4321,30,659,"95.00000","0","1","-","Active","Power Management","Power over Ethernet (PoE)","No","LT4275A, LT4321","-","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Microchip%20PDFs/DM320109_Web.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/DM320109.jpg,DM320109-ND,DM320109,Microchip Technology,CRYPTO AUTHENTICATION SOIC XPRO,28,0,"98.00000","0","1","CryptoAuthentication™","Active","Interface","Anti Tamper and Security","Yes, MCU, 32-Bit","ATAES132A, ATECC108A, ATECC508A, ATECC608A, ATSHA204A","-","Board(s), Cable(s), Accessories"
http://www.puiaudio.com/pdf/PMM-3738-VM1010-EB-R.pdf,//media.digikey.com/Photos/PUI%20Audio/MFG_PMM-3738-VM1010-EB-R.jpg,668-1587-ND,PMM-3738-VM1010-EB-R,"PUI Audio, Inc.",MEMS PIEZO MICROPHONE EVALUATION,78,0,"98.75000","0","1","Vesper","Active","Audio","MEMS Omnidirectional Microphones","-","PMM-3738-VM1010-R","Analog Output","Board(s)"
https://wiki.analog.com/university/tools/m2k,//media.digikey.com/Photos/Analog%20Devices%20Photos/MFG_ADALM2000.jpg,ADALM2000-ND,ADALM2000,Analog Devices Inc.,ADVANCED ACTIVE LEARNING MODULE,75,2103,"99.00000","0","1","-","Active","Test and Measurement","*","-","-","2-Channel (Dual)","Board(s)"
http://www.ti.com/lit/ug/dlpu049c/dlpu049c.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/DLPDLCR2000EVM.JPG,296-47119-ND,DLPDLCR2000EVM,Texas Instruments,DLP LIGHTCRAFTER DISPLAY 2000 EV,87,0,"102.80000","0","1","-","Active","Reference Design","Projection DLP","Yes, DSP","DLP2000, DLPA1000, DLPC2607","Graphical User Interface (GUI)","Board(s)"
http://www.ti.com/lit/pdf/sllu093,//media.digikey.com/photos/Texas%20Instr%20Photos/usb-to-gpio.JPG,296-23114-ND,USB-TO-GPIO,Texas Instruments,ADAPTER USB INTERFACE EVM,80,3250,"102.80000","0","1","-","Active","Interface","USB 2.0 to I²C/GPIO Bridge","No","TUSB3210","USB 2.0 to I²C/GPIO Bridge","Board(s), Cable(s)"
http://www.ti.com/lit/pdf/sluuaa7,//media.digikey.com/Photos/Texas%20Instr%20Photos/BQ25570EVM-206.jpg,296-37773-ND,BQ25570EVM-206,Texas Instruments,EVAL BOARD ENERGY HARV BAT CTLR,29,138,"102.80000","0","1","-","Active","Power Management","Energy Harvesting","No","BQ25570","Boost Converter/Charger with Battery Management","Board(s)"
https://www.trinamic.com/fileadmin/assets/Products/ICs_Documents/TMC5160_Datasheet_V1.01.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMC5160-EVAL.jpg,1460-1251-ND,TMC5160-EVAL,Trinamic Motion Control GmbH,EVAL BOARD FOR TMC5160,46,0,"108.00000","0","1","-","Active","Power Management","Motor Controller/Driver, Stepper","-","TMC5160","Motors (Stepper)","Board(s)"
http://ww1.microchip.com/downloads/en/DeviceDoc/50002604A.pdf,//media.digikey.com/Photos/Microchip%20Tech%20Photos/EVB-LAN9252-SPI.jpg,EVB-LAN9252-SPI-ND,EVB-LAN9252-SPI,Microchip Technology,EVAL BOARD FOR LAN9252,33,0,"110.00000","0","1","-","Active","Interface","Ethernet","-","LAN9252","EtherCAT Slave Controller","Board(s)"
https://www.semtech.com/uploads/technology/LinkCharge-CT-Installation-Guide.pdf,//media.digikey.com/Photos/Semtech%20Photos/DMTX-19V15W-EZ-SYS.jpg,DMTX-19V15W-EZ-SYS-ND,DMTX-19V15W-EZ-SYS,Semtech Corporation,DUAL MODE TRANSMITTER MODULE 19V,635,0,"111.00000","0","1","LinkCharge™ CT","Active","Power Management","Wireless Power Supply/Charging","-","TS80000","Transmitter","Board(s)"
http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en573610,//media.digikey.com/Photos/Microchip%20Tech%20Photos/EVB-LAN9252-ADD-ON.jpg,EVB-LAN9252-ADD-ON-ND,EVB-LAN9252-ADD-ON,Microchip Technology,EVAL ADD-ON EL9800 DEV PLATFORM,46,0,"112.00000","0","1","-","Active","Interface","Ethernet","-","LAN9252","EtherCAT Slave Controller","Board(s)"
http://epc-co.com/epc/Portals/0/epc/documents/guides/EPC9086_qsg.pdf,//media.digikey.com/Photos/EPC/MFG_EPC9086.jpg,917-1176-ND,EPC9086,EPC,EVAL BOARD FOR EPC2111,40,0,"118.75000","0","1","eGaN®","Active","Power Management","Half H-Bridge Driver (External FET)","-","EPC2111","-","Board(s)"
https://www.semtech.com/uploads/documents/TSDMTX-19V2-EVM.pdf,//media.digikey.com/Photos/Semtech%20Photos/TSDMTX-19V3-EVM.jpg,TSDMTX-19V3-EVM-ND,TSDMTX-19V3-EVM,Semtech Corporation,EVAL BOARD TSDMTX-19,41,0,"150.00000","0","1","-","Active","Power Management","Wireless Power Supply/Charging","-","TS80000","Transmitter","Board(s)"
http://www.linear.com/docs/43656,//media.digikey.com/Photos/Linear%20Tech%20Photos/DC1894B.jpg,DC1894B-ND,DC1894B,Linear Technology/Analog Devices,BD DEMO FOR LTC6804-1,30,117,"150.00000","0","1","-","Active","Power Management","Battery Monitor","No","LTC6804-1","Isolated","Board(s)"
http://epc-co.com/epc/Portals/0/epc/documents/guides/EPC9126_qsg.pdf,//media.digikey.com/Photos/EPC/EPC9126.JPG,917-1162-ND,EPC9126,EPC,DEMO BOARD LIDAR 100V EPC2016C,80,0,"181.25000","0","1","eGaN®","Active","Power Management","Laser Driver","No","EPC2016C","-","Board(s)"
https://www.wolfspeed.com/media/downloads/823/CGD15HB62P1.pdf,//media.digikey.com/Photos/Cree%20Photos/CGD15HB62P1.jpg,CGD15HB62P1-ND,CGD15HB62P1,Cree/Wolfspeed,EVAL MODULE 1200V SIC MOSFET,58,0,"199.00000","0","1","-","Active","Power Management","Gate Driver","-","CAS120M12BM2, CAS300M12BM2","Isolated","Partially Populated Board(s) - Main IC Not Included"
//media.digikey.com/pdf/Data%20Sheets/Semtech%20PDFs/TSDMRX-19V20W-EVM_UG.pdf,//media.digikey.com/photos/Semtech%20Photos/TSDMRX-19V-20W-EVM.JPG,TSDMRX-19V-20W-EVM-ND,TSDMRX-19V-20W-EVM,Semtech Corporation,"WP DUAL MODE RX UP TO 20W, 19V",175,0,"200.00000","0","1","LinkCharge™ 20","Active","Power Management","Wireless Power Supply/Charging","-","TS30042, TS81000, TS94033","Receiver","Board(s)"
http://www.ti.com/lit/pdf/sluu446,//media.digikey.com/Photos/Texas%20Instr%20Photos/EV2400.jpg,296-34805-ND,EV2400,Texas Instruments,EVAL MODULE INTERFACE BOARD,139,3,"206.64000","0","1","-","Active","Interface","USB 2.0 to SMBus Bridge","Yes, MCU, 16-Bit","MSP430F5529","-","Board(s), Cable(s)"
http://www.ti.com/lit/pdf/sbau171,//media.digikey.com/Photos/Texas%20Instr%20Photos/ADS1298ECGFE-PDK.jpg,296-30132-ND,ADS1298ECGFE-PDK,Texas Instruments,KIT PERFORMANCE DEMO FOR ADS1298,35,263,"206.64000","0","1","-","Active","Interface","Analog Front End (AFE) for ECG, EKG","No","ADS1298","-","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/user_manual/group0/0b/ae/fa/b6/82/a5/4e/9a/DM00434688/files/DM00434688.pdf/jcr:content/translations/en.DM00434688.pdf,//media.digikey.com/Photos/STMicro%20Photos/MFG_STEVAL-ISB042V1.jpg,497-17652-ND,STEVAL-ISB042V1,STMicroelectronics,EVAL BOARD STWLC33,39,0,"220.00000","0","1","-","Active","Power Management","Wireless Power Supply/Charging","No","STWLC33","-","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/CREE%20Power/KIT8020CRD8FF1217P-1_UM.pdf,//media.digikey.com/Photos/Cree%20Photos/MFG_KIT8020-CRD-8FF1217P-1.jpg,KIT8020-CRD-8FF1217P-1-ND,KIT8020-CRD-8FF1217P-1,Cree/Wolfspeed,EVAL KIT PCB 2-MOSFET 2-SIC DRVR,148,0,"248.75000","0","1","-","Active","Power Management","Half H-Bridge Driver (External FET)","-","C2M0280120D, C4D20120D","-","Board(s)"
http://www.xmos.com/published/xcore-200-microphone-array-platform-product-brief?version=latest,//media.digikey.com/Photos/XMOS%20Photos/XK-USB-MIC-UF216.jpg,880-1120-ND,XK-USB-MIC-UF216,XMOS,XCORE MICROPHONE ARRAY EVALUATIO,28,0,"249.00000","0","1","-","Active","Audio","MEMS Omnidirectional Microphones","Yes, MCU, 32-Bit","XUF216","USB Powered","Board(s)"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotioncookies%2Ftmcc160%2F_datasheet%2FTMCC160_datasheet.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCC160-EVAL.jpg,1460-1157-ND,TMCC160-EVAL,Trinamic Motion Control GmbH,EVAL BOARD FOR TMCC160,36,0,"250.00000","0","1","motionCookie™","Active","Power Management","Motor Controller/Driver","-","TMCC160","Motors (BLDC, PMSM)","Board(s)"
https://www.wolfspeed.com/downloads/dl/file/id/968/product/205/cgd15hb62lp.pdf,//media.digikey.com/Photos/Cree%20Photos/CGD15HB62LP-%28top%29.jpg,CGD15HB62LP-ND,CGD15HB62LP,Cree/Wolfspeed,GATE DRVR 150C FOR 1.2KV 325A HI,74,0,"260.00000","0","1","-","Active","Power Management","Gate Driver","-","CAS325M12HM2","2-Channel (Dual)","Partially Populated Board(s) - Main IC Not Included"
http://www.xmos.com/published/xcore-200-multichannel-audio-platform-hardware-manual?version=latest,//media.digikey.com/Photos/XMOS%20Photos/MFG_XK-AUDIO-216-MC-AB.jpg,880-1091-ND,XK-AUDIO-216-MC-AB,XMOS,XE216 AUDIO PLATFORM W/ DEBUGGER,81,0,"280.00000","0","1","XCore™","Active","Audio","Audio Processing","Yes, MCU, 32-Bit","XE216","-","Board(s), Cable(s), Power Supply, Accessories"
http://epc-co.com/epc/Portals/0/epc/documents/guides/EPC9507_qsg.pdf,//media.digikey.com/Photos/EPC/MFG_EPC950x.jpg,917-1052-ND,EPC9507,EPC,EVAL BOARD GAN ZVS CLASS D AMP,56,0,"378.00000","0","1","eGaN®","Active","Power Management","Wireless Power Supply/Charging","No","EPC2007","Transmitter","Board(s)"
