Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Current - Leakage","Dissipation Factor","Mounting Type","Package / Case","Manufacturer Size Code","Height - Seated (Max)","Features","Operating Temperature","Supplier Device Package","Size / Dimension"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3215-2-ND,NOJB336M006RWJ,AVX Corporation,CAP NIOB OXID 33UF 20% 6.3V 1210,26000,482000,"0.21090","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","33µF","±20%","6.3V","1.7 Ohms","4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3215-1-ND,NOJB336M006RWJ,AVX Corporation,CAP NIOB OXID 33UF 20% 6.3V 1210,26382,482000,"0.77000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","33µF","±20%","6.3V","1.7 Ohms","4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-3215-6-ND,NOJB336M006RWJ,AVX Corporation,CAP NIOB OXID 33UF 20% 6.3V 1210,26382,482000,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","33µF","±20%","6.3V","1.7 Ohms","4µA","6%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","-","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-3126-2-ND,NOJC476M010RWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,8500,537000,"0.25400","0","500","Tape & Reel (TR)","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-3126-1-ND,NOJC476M010RWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,8973,537000,"0.70000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-3126-6-ND,NOJC476M010RWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,8973,537000,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-7517-2-ND,NOJC476M010SWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,6000,0,"0.26775","0","3000","Tape & Reel (TR)","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-7517-1-ND,NOJC476M010SWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,8646,0,"0.88000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,//media.digikey.com/Photos/AVX%20Photos/OxiCapNOS60%20SERIES.JPG,478-7517-6-ND,NOJC476M010SWJ,AVX Corporation,CAP NIOB OXIDE 47UF 20% 10V 2312,8646,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","47µF","±20%","10V","400 mOhms","9.4µA","6%","Surface Mount","2312 (6032 Metric)","C","0.110"" (2.80mm)","-","-55°C ~ 105°C","2312 (6032 Metric)","0.236"" L x 0.126"" W (6.00mm x 3.20mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8861-2-ND,NOJB107M004RWJ,AVX Corporation,CAP NIOB OXIDE 100UF 20% 4V 1210,8000,0,"0.26825","0","2000","Tape & Reel (TR)","OxiCap® NOJ","Active","100µF","±20%","4V","1.4 Ohms","8µA","16%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8861-1-ND,NOJB107M004RWJ,AVX Corporation,CAP NIOB OXIDE 100UF 4V 1210,9656,0,"0.91000","0","1","Cut Tape (CT)","OxiCap® NOJ","Active","100µF","±20%","4V","1.4 Ohms","8µA","16%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
http://datasheets.avx.com/NOJ.pdf,"//media.digikey.com/photos/AVX%20Photos/OxiCap%20NOJ%20SERIES%201.9H,3.5L,2.8W.jpg",478-8861-6-ND,NOJB107M004RWJ,AVX Corporation,CAP NIOB OXIDE 100UF 4V 1210,9656,0,"Digi-Reel","0","1","Digi-Reel®","OxiCap® NOJ","Active","100µF","±20%","4V","1.4 Ohms","8µA","16%","Surface Mount","1411 (3528 Metric), 1210","B","0.083"" (2.10mm)","Low ESR","-55°C ~ 105°C","1210 (3528 Metric)","0.138"" L x 0.110"" W (3.50mm x 2.80mm)"
