Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shape","Length","Width","Diameter","Mounting Type","Features","Material","Color"
http://multimedia.3m.com/mws/media/142923O/scotchmate-hook-loop-dual-lock-reclosable-fasteners.PDF,-,3M161865-ND,MP-3560-CLEAR,3M,DUAL LOCK PN06463 1 X 5YD 2 RLS,10,0,"166.06000","0","1","Dual Lock™  MP3560","Active","Interlocking Stems","-","14.70' (4.48m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density, UV Resistant","Polyolefin (PO)","Clear"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/Photos/3M%20Photos/SJ-3541%20(BLACK)%2012%5E.JPG,SJ354112-100-ND,SJ-3541 (BLACK) 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,8,0,"178.66500","0","2","Dual Lock™  SJ3541","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Rubber","400 Stem Density","Polyolefin (PO)","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener%20blk.jpg,3M162221-ND,SJ-3572-1""X50YD-BLACK,3M,BLACK HOOK,15,0,"192.79000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","-","Polyamide (PA66), Nylon 6/6","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ3540.jpg,3M157183-150-ND,SJ3540,3M,BLACK DUAL LOCK 2""x150' BLK 150,21,0,"595.36000","0","1","Dual Lock™  SJ3540","Active","Interlocking Stems","-","150.00' (45.72m)","2.000"" (50.80mm)","-","Adhesive - Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3551%201^2^.JPG,SJ355112-100-ND,SJ-3551 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,2,0,"254.34500","0","2","Dual Lock™  SJ3551","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Acrylic","400 Stem Density","Polyolefin (PO)","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Dual%20Lock%20Selection%20Guide.pdf,//media.digikey.com/photos/3M%20Photos/sj3252.JPG,SJ3261-ND,SJ3261,3M,DUAL LOCK FASTENER 1.5"" SQ,829,0,"1.43000","0","1","Dual Lock™  SJ3261","Active","Interlocking Stems","Square","1.500"" (38.10mm)","1.500"" (38.10mm)","-","Screw Mount","400 Stem Density","Polyolefin (PO)","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener.jpg,SJ340110W-50-ND,SJ-3401 (WHITE) 1"",3M,LOOP PLAIN BACK 1"" X 50YD WHITE,9,0,"47.55000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Sew On","-","Polyamide (PA), Nylon","White"
http://tapecasecom.blob.core.windows.net/product/download/70070939866.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3552%201^2^.JPG,SJ355212-100-ND,SJ-3552 1/2"",3M,DUAL LOK ADH 1/2""X50YD 2REEL BLK,2,0,"254.34500","0","2","Dual Lock™  SJ3552","Active","Interlocking Stems","-","300.00' (91.44m)","0.500"" (12.70mm)","-","Adhesive - Acrylic","170 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/108783O/scotchmate-reclosable-fasteners-sj3506-sj3507.pdf,-,3M156928-ND,1-10-SJ3507,3M (TC),3M SJ3507 RECLOSABLE FASTENER -,9,0,"35.61000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","30.00' (9.14m)","1.000"" (25.40mm)","-","Adhesive - Acrylic","-","Polyester","White"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/Photos/3M%20Photos/SJ4575-1'XxxYD.jpg,3M16701-ND,2-3-10-SJ3540,3M (TC),RCLSBLE FSTNR 2""X3"" RCTNGL 10PK,6,0,"38.91000","0","1","Dual Lock™  SJ3540","Active","Interlocking Stems","Rectangular","3.000"" (76.20mm)","2.000"" (50.80mm)","-","Adhesive - Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/738289O/3mtm-reclosable-fasteners-design-selection-guide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener%20black.jpg,3M162154-ND,SJ3418FR,3M,BLACK LOOP,30,0,"47.41000","0","1","SJ3418","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","0.625"" (15.88mm)","-","Sew On","Flame Retardant","Polyamide (PA), Nylon","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3402%20(WHITE)%201^.JPG,SJ340210W-50-ND,SJ-3402 (WHITE) 1"",3M,HOOK PLAIN BACK 1"" X 50YD WHITE,11,0,"50.41000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Sew On","-","Polyamide (PA), Nylon","White"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/photos/3M%20Photos/SJ-3402%20(BLACK)%201^.JPG,3M162149-ND,SJ-3402 (BLACK) 1"",3M,HOOK PLAIN BACK 1"" X 50YD BLACK,7,0,"50.41000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Sew On","-","Polyamide (PA), Nylon","Black"
http://multimedia.3m.com/mws/media/108783O/scotchmate-reclosable-fasteners-sj3506-sj3507.pdf,-,3M156937-ND,1-3-100-SJ3506/SJ3507,3M (TC),RECLOSABLE FSTNR 3""x1"" 1=100PC,15,0,"52.80000","0","1","Scotchmate™","Active","Hook and Loop","-","3.000"" (76.20mm)","1.000"" (25.40mm)","-","Adhesive - Acrylic","-","Polypropylene (PP)","White"
https://multimedia.3m.com/mws/media/603320O/3m-dual-lock-reclosable-fasteners-trial-bags.pdf,//media.digikey.com/Photos/3M%20Photos/TB3540-BLACK-1.jpg,3M156329-ND,TB3540-BLACK-1"",3M,DUAL LOCK PRESS 1/2"" x 1"" BLACK,9,0,"54.93000","0","1","Dual Lock™  TB3540","Active","Interlocking Stems","-","10.00' (3.05m)","1.000"" (25.40mm)","-","Adhesive - Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/738289O/3mtm-reclosable-fasteners-design-selection-guide.pdf,//media.digikey.com/Photos/3M%20Photos/1-1-100-SJ3550.JPG,3M156596-ND,1-1-100-SJ3550,3M (TC),3M SJ3550 RECLOSABLE FASTENER -,14,0,"56.46000","0","1","Dual Lock™  SJ3550","Active","Interlocking Stems","Square","1.000"" (25.40mm)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/187249O/dual-lock-reclosable-fasteners-sj3560-sj3561-sj3562-data-page.pdf,-,3M156597-ND,1-1-100-SJ3560,3M (TC),3M SJ3560 DUAL LOCK RECLOSAB,15,0,"64.19000","0","1","Dual Lock™  SJ3560","Active","Interlocking Stems","Square","1.000"" (25.40mm)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density, UV Resistant","Polyolefin (PO)","Clear"
-,-,3M162151-ND,SJ3418FR BGE 1""X50YD,3M,FASTENER LOOP FLAME RESISTANT,12,0,"67.71000","0","1","-","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Sew On","Flame Resistant","Nylon","Beige"
-,-,3M162196-ND,SJ3530 BK 5/8""X50YD,3M,FASTENER HOOK,8,0,"71.27000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener%20blk.jpg,3M162200-ND,SJ3531,3M,3/4""X50YD BLACK LOOP,7,0,"76.07000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","0.750"" (19.05mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
-,-,3M162194-ND,SJ3530 BK 1""X50YD,3M,FASTENER HOOK,3,0,"95.08000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3M162198-ND,SJ3530 WHT 1""X50YD,3M,FASTENER HOOK,3,0,"95.08000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,3M162201-ND,SJ3531 WHT 1""X50YD,3M,FASTENER LOOP,2,0,"95.08000","0","1","-","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","White"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ340x.jpg,3M162150-ND,SJ3402-2""X50YD,3M,BLACK HOOK,5,0,"100.78000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","2.000"" (50.80mm)","-","Sew On","-","Polyamide (PA), Nylon","Black"
http://multimedia.3m.com/mws/media/738289O/3mtm-reclosable-fasteners-design-selection-guide.pdf,//media.digikey.com/photos/3M%20Photos/1-2-100-SJ3550.JPG,3M156606-ND,1-2-100-SJ3550,3M (TC),3M SJ3550 RECLOSABLE FASTENER -,5,0,"102.11000","0","1","Dual Lock™  SJ3550","Active","Interlocking Stems","Rectangular","2.000"" (50.80mm)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,//media.digikey.com/photos/3M%20Photos/1-3-100-SJ3540.JPG,3M156609-ND,1-3-100-SJ3540,3M (TC),3M SJ3540 RECLOSABLE FASTENER -,5,0,"107.36000","0","1","Dual Lock™","Active","Interlocking Stems","Rectangular","3.000"" (76.20mm)","1.000"" (25.40mm)","-","Adhesive, Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://multimedia.3m.com/mws/media/187249O/dual-lock-reclosable-fasteners-sj3560-sj3561-sj3562-data-page.pdf,//media.digikey.com/photos/3M%20Photos/1-2-100-SJ3560.JPG,3M156607-ND,1-2-100-SJ3560,3M (TC),3M SJ3560 DUAL LOCK RECLOSAB,5,0,"116.70000","0","1","Dual Lock™  SJ3560","Active","Interlocking Stems","Rectangular","2.000"" (50.80mm)","1.000"" (25.40mm)","-","Adhesive - Acrylic","250 Stem Density, UV Resistant","Polyolefin (PO)","Clear"
http://multimedia.3m.com/mws/media/182981O/dual-lock-reclosable-fasteners-sj3540-sj3541-and-sj3542.pdf,-,3M156599-ND,1-10-SJ3540,3M (TC),3M SJ3540 RECLOSABLE FASTENER -,5,0,"117.39000","0","1","Dual Lock™","Active","Interlocking Stems","Rectangular","30.00' (9.14m)","1.000"" (25.40mm)","-","Adhesive, Rubber","250 Stem Density","Polyolefin (PO)","Black"
http://tapecasecom.blob.core.windows.net/product/download/70070938793.PDF,-,3M156939-ND,1-3-100-SJ3526N/SJ3527N,3M (TC),3M SJ3526N/SJ3527N RECLOSABLE FA,3,0,"123.97000","0","1","Scotchmate™","Active","Hook and Loop","-","9.00' (2.74m)","1.000"" (25.40mm)","-","Adhesive - Rubber","300 Stem Density","Polyamide (PA6), Nylon 6; Polyamide (PA66), Nylon 6/6","-"
http://multimedia.3m.com/mws/media/385624O/scotchmatetm-reclosable-fasteners-sj3522-sj3523.pdf,-,3M156938-ND,1-3-100-SJ3522/SJ3523,3M (TC),3M SJ3522/SJ3523 RECLOSABLE FAST,2,0,"126.56000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","Rectangular","3.000"" (76.20mm)","1.000"" (25.40mm)","-","Adhesive, Acrylic","-","Polyamide (PA66), Nylon 6/6","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener.jpg,3M162207-ND,SJ3533N,3M,WHITE LOOP,3,0,"127.93000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","White"
-,-,3M162204-ND,SJ3532N WHT 1""X50YD,3M,FASTENER HOOK,3,0,"127.93000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener%20blk.jpg,3M162203-ND,SJ-3532N-HOOK-BLACK-1"",3M,BLACK HOOK,2,0,"127.93000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
https://multimedia.3m.com/mws/media/1582656O/3m-fastener-sj3571.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_hook%20and%20loop%20fastener%20blk.jpg,3M162206-ND,SJ-3533N-LOOP-BLACK-1"",3M,BLACK LOOP,2,0,"127.93000","0","1","Scotchmate™","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","1.000"" (25.40mm)","-","Adhesive - Rubber","-","Polyamide (PA66), Nylon 6/6","Black"
http://multimedia.3m.com/mws/media/142919O/dual-lock-low-profile-reclosable-fastener-sj4570-sj4575.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_dual%20lock%20recloseable%20fastener.jpg,3M162230-ND,SJ4570-5/8""X50YD-CLEAR,3M,CLEAR LOW PROFILE FASTENERS,5,0,"130.77000","0","1","Dual Lock™  SJ4570","Active","Interlocking Stems","-","150.00' (45.72m)","0.625"" (15.88mm)","-","Adhesive - Acrylic","-","Polypropylene (PP)","Clear"
http://multimedia.3m.com/mws/media/738289O/3mtm-reclosable-fasteners-design-selection-guide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_SJ3419FR.jpg,3M162160-ND,SJ3419FR,3M,FASTENER HOOK 2""X50YD BEIGE,13,0,"135.45000","0","1","Scotchmate™","Active","Hook and Loop - Hook Only","-","150.00' (45.72m)","2.000"" (50.80mm)","-","Sew On","Flame Retardant","Polyamide (PA), Nylon","Beige"
-,-,3M162152-ND,SJ3418FR BGE 2""X50YD,3M,FASTENER LOOP FLAME RESISTANT,6,0,"135.45000","0","1","-","Active","Hook and Loop - Loop Only","-","150.00' (45.72m)","2.000"" (50.80mm)","-","Sew On","Flame Resistant","Nylon","Beige"
