Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Style","Includes"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5133-ND,TT5133,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT GREEN,0,0,"1.92000","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5135-ND,TT5135,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT WHITE,0,0,"1.97800","0","10","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5138-ND,TT5138,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT YELLOW,0,0,"2.06400","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=239,-,TT5155-ND,TT5155,Switchcraft Inc.,PLUG DUMMY MINI 2-3 COND WHITE,0,0,"2.09600","0","100","-","Active","Dummy Plug, Plastic","Phone, 0.173"" Dia","-"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT5152%20or%20TT206.jpg,TT5152-ND,TT5152,Switchcraft Inc.,PLUG DUMMY MINI 2-3 COND BLACK,0,0,"2.09600","0","100","-","Active","Dummy Plug, Plastic","Phone, 0.173"" Dia","-"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT515.jpg,TT5151-ND,TT5151,Switchcraft Inc.,PLUG DUMMY MINI 2-3 COND RED,0,0,"2.09600","0","100","-","Active","Dummy Plug, Plastic","Phone, 0.173"" Dia","-"
//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/TT%20Bantam%20Circuit%20Guard%20Plugs.pdf,-,TT5132-ND,TT5132,Switchcraft Inc.,PANEL PLUG GUARD CIRCUIT BLACK,0,0,"2.16000","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=221,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT93602.jpg,TT93602-ND,TT93602,Switchcraft Inc.,PANEL MOD JACK TT 4OPENING BLACK,0,0,"2.17000","0","10","TT93","Active","Module Insert","Phone, 0.173"" Dia","Hardware"
http://www.switchcraft.com/Documents/EDG4.pdf#page=221,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT93302.jpg,TT93302-ND,TT93302,Switchcraft Inc.,PANEL MOD JACK TT 2OPENING BLACK,0,0,"2.59200","0","10","TT93","Active","Module Insert","Phone, 0.173"" Dia","Hardware"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT510.jpg,TT510-ND,TT510,Switchcraft Inc.,JACK PANEL HOLE PLUG BLACK,0,0,"2.84800","0","100","-","Active","Plug, Sealing","Phone, 0.173"" Dia","-"
-,-,QPPLC24-ND,QPPLC24,Panduit Corp,LABEL KIT FOR 24 PORT QN PATCH P,0,0,"5.11000","0","1","-","Active","-","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=211,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20JP9942.jpg,JP9942-ND,JP9942,Switchcraft Inc.,CONN JACK MOD INSERT W/4OPENINGS,0,0,"5.13400","0","10","-","Active","Module Insert","1/4"" Phone Jack (Not Provided)","Hardware"
http://www.switchcraft.com/Documents/EDG4.pdf#page=221,-,TT93002-ND,TT93002,Switchcraft Inc.,PANEL MOD JACK TT BLANK BLACK,0,0,"5.61200","0","10","TT93","Active","Module Insert","Phone, 0.173"" Dia","Hardware"
http://www.switchcraft.com/Documents/EDG4.pdf#page=242,-,DS312-ND,DS312,Switchcraft Inc.,COVER USED WITH DS311,0,0,"5.69400","0","25","Kwik-Change®","Active","Designation Strip Kit","-","Cover"
http://www.switchcraft.com/Documents/EDG4.pdf#page=211,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20JP9922.jpg,JP9922-ND,JP9922,Switchcraft Inc.,CONN JACK MOD INSERT W/2OPENINGS,0,0,"6.08000","0","50","-","Active","Module Insert","1/4"" Phone Jack (Not Provided)","Hardware"
-,-,C6PPLK1-24-ND,C6PPLK1-24,Panduit Corp,REPLACEMENT LABEL KIT FOR M6 STY,0,0,"6.22000","0","1","-","Active","-","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,DS303-ND,DS303,Switchcraft Inc.,MARKING STRIP SHEET DS301/DS316,0,0,"6.25960","0","25","Kwik-Change®","Active","Marking Strip","-","-"
-,-,P2352-ND,P2352,Switchcraft Inc.,DESIGNATION STRIP,0,0,"7.22500","0","10","-","Active","Designation Strip Kit","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,DS316-ND,DS316,Switchcraft Inc.,COVERS & 1-MARKING STRIP SHEET,0,0,"8.13600","0","25","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Marking Strip"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/FI3001013CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_FAPB.jpg,FAPB-ND,FAPB,HellermannTyton,BLANK MOD ADAPT PANEL,0,0,"8.21000","0","1","-","Active","Blank Panel","-","-"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/853-20082.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_PP110C5EA1.jpg,PP110C5EA1-ND,PP110C5EA1,HellermannTyton,CATEGORY 5E RPLCMNT MOD 6PK,0,0,"8.32000","0","1","-","Active","Replacement Module","Cat5e","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=211,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20JP9902.jpg,JP9902-ND,JP9902,Switchcraft Inc.,CONN JACK MOD INSERT W/O HOLES,0,0,"8.36000","0","10","-","Active","Module Insert","1/4"" Phone Jack (Not Provided)","Hardware"
-,-,DPLK24-ND,DPLK24,Panduit Corp,LABEL KIT FOR DATA PATCH 24 PORT,0,0,"8.58000","0","1","-","Active","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XMI-RWD023CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_PP110C6G1.jpg,PP110C6G1-ND,PP110C6G1,HellermannTyton,CAT 6 SING RPLCMNT MOD,0,0,"9.06000","0","1","-","Active","Replacement Module","Cat6","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,DS317-ND,DS317,Switchcraft Inc.,MARKING STRIP SHEET FOR DS318,0,0,"9.91800","0","25","Kwik-Change®","Active","Marking Strip","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=242,-,TT516-ND,TT516,Switchcraft Inc.,KIT DESIGNATION STRIP DBL HEIGHT,0,0,"10.16250","0","100","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Strip"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT5152%20or%20TT206.jpg,TT206-ND,TT206,Switchcraft Inc.,PHONE PLUG DUMMY 3-COND GRAY,0,0,"10.71680","0","50","-","Active","Dummy Plug","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,TT501-ND,TT501,Switchcraft Inc.,KIT DESIGNATION STRIP SGL HEIGHT,0,0,"10.92500","0","200","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Strip"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT203.jpg,TT203-ND,TT203,Switchcraft Inc.,PHONE PLUG TERMINATING 3-COND,0,0,"11.41040","0","50","-","Active","Terminating Plug","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,DS307-ND,DS307,Switchcraft Inc.,COVERS & 1-MARKING STRIP SHEET,0,0,"11.41200","0","25","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Marking Strip"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,TT504-ND,TT504,Switchcraft Inc.,KIT DESIGNATION STRIP SGL HEIGHT,0,0,"13.00000","0","200","Kwik-Change®","Active","Designation Strip Kit","-","Hardware, Marking Strip, Mounting Strip"
"//media.digikey.com/PDF/Data%20Sheets/Switchcraft%20PDFs/Miniature,%20Dummy%20Plugs,Hole%20Plugs.pdf",-,TT204-ND,TT204,Switchcraft Inc.,PHONE PLUG TERMINATING 3-COND,0,0,"13.65000","0","50","-","Active","Terminating Plug","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=216,-,TT505-ND,TT505,Switchcraft Inc.,INSERT PANEL W/O JACK 24HOLES,0,0,"13.82500","0","100","-","Active","Panel, Filler","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=243,-,DS321X-ND,DS321X,Switchcraft Inc.,KIT X-WIDE DESIGN STRIP VERT,0,0,"15.22960","0","25","X-Wide®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Bracket"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/DPLK48%20Drawing.pdf,-,DPLK48-ND,DPLK48,Panduit Corp,KIT LABEL,0,0,"15.84000","0","1","-","Active","Marking Strip","-","-"
-,-,R110MB-ND,R110MB,HellermannTyton,110 BLOCK MOUNTING BRACKET,0,0,"16.28260","0","100","-","Active","Mounting Brackets","110 Block","-"
http://www.switchcraft.com/Drawings/TT210_CD.PDF,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20TT210.jpg,TT210-ND,TT210,Switchcraft Inc.,PHONE TWIN LOOP PLUG 3COND WHITE,0,0,"16.51260","0","50","-","Active","Dummy Plug, Twin","Phone, 0.173"" Dia","-"
http://www.switchcraft.com/Documents/Micro%20Video%20(580).pdf,-,K6006L-ND,K6006L,Switchcraft Inc.,COLOR CHIPS MMVP BLUE,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
http://www.switchcraft.com/Documents/Micro%20Video%20(580).pdf,-,K6002D-ND,K6002D,Switchcraft Inc.,COLOR CHIPS MMVP RED,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
http://www.switchcraft.com/Documents/Micro%20Video%20(580).pdf,-,K6003B-ND,K6003B,Switchcraft Inc.,COLOR CHIPS MMVP ORANGE,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
http://www.switchcraft.com/Documents/Micro%20Video%20(580).pdf,-,K6004B-ND,K6004B,Switchcraft Inc.,COLOR CHIPS MMVP YELLOW,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
http://www.switchcraft.com/Documents/Micro%20Video%20(580).pdf,-,K6005N-ND,K6005N,Switchcraft Inc.,COLOR CHIPS MMVP GREEN,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
-,-,K6009B-ND,K6009B,Switchcraft Inc.,COLOR CHIPS MMVP WHITE,0,0,"16.99000","0","1","MMVP","Active","Color Chips","-","50 pieces"
http://www.switchcraft.com/Documents/EDG4.pdf#page=242,-,DS311X-ND,DS311X,Switchcraft Inc.,KWIK-CHG DESIGNATION STRIPS DBL,0,0,"19.84520","0","25","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Strip"
http://www.switchcraft.com/Documents/EDG4.pdf#page=243,-,DS322X-ND,DS322X,Switchcraft Inc.,KIT X-WIDE DESIGN STRIP VERT,0,0,"19.84520","0","25","X-Wide®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Bracket"
-,-,K600-ND,K600,Switchcraft Inc.,COLOR CHIPS MMVP MULT,0,0,"20.36000","0","1","MMVP","Active","Color Chips","-","50 pieces"
-,-,DS367-ND,DS367,Switchcraft Inc.,DESIGNATION STRIP KI,0,0,"22.96000","0","25","-","Active","Designation Strip Kit","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=240,-,DS301X-ND,DS301X,Switchcraft Inc.,KWIK-CHG DESIGNATION STRIP SGL,0,0,"22.96000","0","25","Kwik-Change®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Strip"
-,-,DS368-ND,DS368,Switchcraft Inc.,DESIGNATION STRIP KI,0,0,"22.96000","0","25","-","Active","Designation Strip Kit","-","-"
-,-,DS370-ND,DS370,Switchcraft Inc.,DESIGNATION STRIP KI,0,0,"24.72760","0","25","-","Active","Designation Strip Kit","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XMI-HTD005CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_TRCMA.jpg,TRCMA-ND,TRCMA,HellermannTyton,ALPHASNAP REAR CABLE MANAGER,0,0,"30.19000","0","1","AlphaSnap®","Active","Cable Management Bracket","110 Block","-"
-,-,DS369-ND,DS369,Switchcraft Inc.,DESIGNATION STRIP KI,0,0,"32.03900","0","10","-","Active","Designation Strip Kit","-","-"
-,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_PP110C5E6.jpg,PP110C5E6-ND,PP110C5E6,HellermannTyton,CAT 5E RPLCMNT MOD 6PK,0,0,"32.65000","0","1","-","Active","Replacement Module","Cat5e","-"
-,-,DS371-ND,DS371,Switchcraft Inc.,DESIGNATION STRIP KI,0,0,"38.46520","0","25","-","Active","Designation Strip Kit","-","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=242,-,DS323X-ND,DS323X,Switchcraft Inc.,KIT X-WIDE DESIGN STRIP VERT,0,0,"38.46520","0","25","X-Wide®","Active","Designation Strip Kit","-","Cover, Hardware, Marking Strip, Mounting Bracket"
http://www.panduit.com/heiler/PartDrawings/C-RKPZBPPB--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PZBPPB.jpg,PZBPPB-ND,PZBPPB,Panduit Corp,CABLING PATCH PANEL BRACKET,0,0,"41.00000","0","1","PanZone®","Active","Mounting Brackets","-","Hardware"
-,-,PP110C66-ND,PP110C66,HellermannTyton,CAT 6 REPLACE MOD 6PK,0,0,"44.32000","0","1","-","Active","Replacement Module","Cat6","-"
http://www.panduit.com/heiler/PartDrawings/C-COSRBPPQBRKT--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_SRBPPQBRKT.jpg,SRBPPQBRKT-ND,SRBPPQBRKT,Panduit Corp,PATCH STRAIN RELIEF BAR W/QUICK,0,0,"44.87000","0","1","NetKey®","Active","Strain Relief","-","-"
-,-,8423BK-BKT-ND,8423BK-BKT,3M,23"" RACK MOUNTING KIT,0,0,"51.77000","0","1","8400","Active","Mounting Brackets","Rack Mount","-"
-,-,1933098-1-ND,1933098-1,TE Connectivity AMP Connectors,"AMPTRAC SENSOR,PCB,8 PORT HP",0,0,"53.24000","0","1","AMPTrac","Active","PCB Sensor Strip","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1435685&DocType=Customer+Drawing&DocLang=English,-,1435685-1-ND,1435685-1,TE Connectivity AMP Connectors,RFIT KIT/6 SC DUP A PL/CASSETT,0,0,"60.38000","0","1","AMPTrac","Active","Retrofit Kit","-","Hardware, Mounting Brackets, Spacer"
-,//media.digikey.com/Photos/3M%20Photos/MFG_8423-BKT.jpg,8423-BKT-ND,8423-BKT,3M,23"" RACK MOUNTING KIT,0,0,"62.48000","0","1","8400","Active","Mounting Brackets","-","-"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/854-10048.pdf,-,APA-BP1USC-ND,APA-BP1USC,HellermannTyton,ANGLED PANEL BLANK 1U,0,0,"62.69000","0","1","-","Active","Blank Panel","Rack Mount","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-0374-001-CSU.pdf,-,APA-COVERLP-ND,APA-COVERLP,HellermannTyton,ANGLED PATCH PANEL COVER,0,0,"68.94000","0","1","-","Active","Cover","Rack Mount","-"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/854-10051.pdf,-,APA-BP2USC-ND,APA-BP2USC,HellermannTyton,ANGLED PANEL BLANK 2U,0,0,"82.88000","0","1","-","Active","Blank Panel","Rack Mount","-"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/854-44289.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_T3PPB.jpg,T3PPB-ND,T3PPB,HellermannTyton,2U WLL MNT PTCH PNL BRCKT,0,0,"84.15000","0","1","-","Active","Mounting Brackets","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-0355-001-CSU.pdf,-,APABP1USC-ND,APABP1USC,HellermannTyton,ANGLED PATCH PANEL BLANK,0,0,"92.50000","0","1","-","Active","Blank Panel","Rack Mount","Hardware"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-0354-001-CSU.pdf,-,APA-COVER1USC-ND,APA-COVER1USC,HellermannTyton,ANGLED PATCH PANEL COVER,0,0,"92.67000","0","1","-","Active","Cover","Rack Mount","-"
