Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Container Type","Size / Dimension","Height","Area (L x W)","Design","Material","Color","Thickness","Features","Ratings","Material Flammability Rating"
http://www.budind.com/pdf/hb3650.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/HP-3650-B.JPG,377-1650-ND,HP-3650-B,Bud Industries,BOX ABS BLACK 2.65""L X 2.61""W,4227,4450,"2.40000","0","1","Style 2","Active","Box","2.647"" L x 2.607"" W (67.23mm x 66.22mm)","1.098"" (27.89mm)","6.90in² (44.5cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","0.115"" (2.92mm)","PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1551HFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551HFLBK.JPG,HM1066-ND,1551HFLBK,Hammond Manufacturing,BOX ABS BLACK 2.36""L X 1.38""W,3424,17295,"2.46000","0","1","1551FL","Active","Box","2.362"" L x 1.378"" W (59.99mm x 35.00mm)","0.787"" (19.99mm)","3.25in² (21.0cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551H.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551HBK.jpg,HM376-ND,1551HBK,Hammond Manufacturing,BOX ABS BLACK 2.36""L X 1.38""W,2273,27305,"2.46000","0","1","1551","Active","Box","2.362"" L x 1.378"" W (59.99mm x 35.00mm)","0.787"" (19.99mm)","3.25in² (21.0cm²)","Hand Held, Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551PFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551PFLBK.JPG,HM1060-ND,1551PFLBK,Hammond Manufacturing,BOX ABS BLACK 1.58""L X 1.58""W,2159,4926,"2.48000","0","1","1551FL","Active","Box","1.575"" L x 1.575"" W (40.00mm x 40.00mm)","0.787"" (19.99mm)","2.48in² (16.0cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551K.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551KBK.jpg,HM377-ND,1551KBK,Hammond Manufacturing,BOX ABS BLACK 3.15""L X 1.58""W,9191,15366,"2.58000","0","1","1551","Active","Box","3.150"" L x 1.575"" W (80.00mm x 40.00mm)","0.787"" (19.99mm)","4.96in² (32.0cm²)","Hand Held, Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551K.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551KGY.jpg,HM380-ND,1551KGY,Hammond Manufacturing,BOX ABS GRAY 3.15""L X 1.58""W,1601,4260,"2.58000","0","1","1551","Active","Box","3.150"" L x 1.575"" W (80.00mm x 40.00mm)","0.787"" (19.99mm)","4.96in² (32.0cm²)","Hand Held, Cover Included","Plastic, ABS","Gray","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551G.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551GBK.jpg,HM375-ND,1551GBK,Hammond Manufacturing,BOX ABS BLACK 1.97""L X 1.38""W,3743,16227,"2.62000","0","1","1551","Active","Box","1.969"" L x 1.378"" W (50.00mm x 35.00mm)","0.787"" (19.99mm)","2.71in² (17.5cm²)","Hand Held, Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551GFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551GFLBK.JPG,HM1063-ND,1551GFLBK,Hammond Manufacturing,BOX ABS BLACK 1.97""L X 1.38""W,1971,16759,"2.62000","0","1","1551FL","Active","Box","1.969"" L x 1.378"" W (50.00mm x 35.00mm)","0.787"" (19.99mm)","2.71in² (17.5cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","UL94 HB"
http://www.budind.com/pdf/hb1874.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/CU-1874-B.jpg,377-1165-ND,CU-1874-B,Bud Industries,BOX ABS BLACK 5.31""L X 2.94""W,3430,0,"3.00000","0","1","Utilibox Style F","Active","Box","5.308"" L x 2.942"" W (134.82mm x 74.73mm)","1.959"" (49.76mm)","15.6in² (101cm²)","Cover Included","Plastic, ABS","Black","0.108"" (2.74mm)","Card Guides, PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593J.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593JBK.jpg,HM860-ND,1593JBK,Hammond Manufacturing,BOX ABS BLACK 2.61""L X 2.61""W,1797,2140,"3.34000","0","1","1593","Active","Box","2.608"" L x 2.608"" W (66.24mm x 66.24mm)","1.083"" (27.51mm)","6.80in² (43.9cm²)","Hand Held, Cover Included","Plastic, ABS","Black","-","PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593K.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593KBK.jpg,HM355-ND,1593KBK,Hammond Manufacturing,BOX ABS BLACK 2.65""L X 2.61""W,3580,11388,"3.68000","0","1","1593","Active","Box","2.647"" L x 2.607"" W (67.23mm x 66.22mm)","1.102"" (27.99mm)","6.90in² (44.5cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593K.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593KGY.jpg,HM356-ND,1593KGY,Hammond Manufacturing,BOX ABS GRAY 2.65""L X 2.61""W,1751,4513,"3.68000","0","1","1593","Active","Box","2.647"" L x 2.607"" W (67.23mm x 66.22mm)","1.102"" (27.99mm)","6.90in² (44.5cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Gray","-","PCB Supports","-","UL94 HB"
http://www.budind.com/pdf/hb789.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/CU-789.jpg,377-1938-ND,CU-789,Bud Industries,BOX ABS BLACK 3.05""L X 2.05""W,2132,1369,"3.70000","0","1","Utilibox Style E","Active","Box","3.047"" L x 2.047"" W (77.39mm x 51.99mm)","0.900"" (22.86mm)","6.24in² (40.3cm²)","Cover Included","Plastic, ABS","Black","0.070"" (1.78mm)","PCB Supports","-","UL94 V-0"
http://www.hammondmfg.com/pdf/1591A.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591ASBK.jpg,HM102-ND,1591ASBK,Hammond Manufacturing,BOX PLASTIC BLACK 3.94""LX1.97""W,3310,4877,"4.35000","0","1","1591S","Active","Box","3.937"" L x 1.969"" W (100.00mm x 50.00mm)","0.977"" (24.82mm)","7.75in² (50.0cm²)","Cover Included","Plastic, Non Specified","Black","0.079"" (2.01mm)","Card Guides","IP54","-"
http://www.hammondmfg.com/pdf/1591XXASFL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1591XXAFLBK.jpg,HM1539-ND,1591XXASFLBK,Hammond Manufacturing,BOX PLASTIC BLK 3.97""L X 2.02""W,2137,3187,"4.35000","0","1","1591XXSFL","Active","Box","3.972"" L x 2.023"" W (100.89mm x 51.38mm)","1.053"" (26.75mm)","8.04in² (51.9cm²)","Cover Included","Plastic, Non Specified","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","-"
http://www.hammondmfg.com/pdf/1591XXMSFL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1591XXMSFLBK.JPG,HM1544-ND,1591XXMSFLBK,Hammond Manufacturing,BOX PLASTIC BLACK 3.4""L X 2.25""W,1239,6903,"4.35000","0","1","1591XXSFL","Active","Box","3.395"" L x 2.246"" W (86.23mm x 57.05mm)","1.063"" (27.00mm)","7.62in² (49.2cm²)","Cover Included","Plastic, Non Specified","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","-"
http://www.budind.com/pdf/hb1931.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/CU-1931MB.jpg,377-1755-ND,CU-1931-MB,Bud Industries,BOX ABS BLACK 3.12""L X 2.1""W,1927,878,"4.40000","0","1","Utilibox Style L","Active","Box","3.120"" L x 2.100"" W (79.25mm x 53.34mm)","1.080"" (27.43mm)","6.55in² (42.3cm²)","Cover Included","Plastic, ABS","Black","-","Mounting Flange, PCB Supports","-","UL94 V-0"
http://www.budind.com/pdf/hb4770.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/DMB-4770.jpg,377-1807-ND,DMB-4770,Bud Industries,BOX ABS/PC GRAY 1.43""L X 3.55""W,1675,0,"4.50000","0","1","DMB","Active","Box","1.429"" L x 3.551"" W (36.30mm x 90.20mm)","2.264"" (57.51mm)","5.07in² (32.7cm²)","Cover Included","Plastic, ABS/PC Blend","Gray","-","DIN Rail Mount","-","UL94 V-0"
http://www.hammondmfg.com/pdf/1591B.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591BSBK.jpg,HM103-ND,1591BSBK,Hammond Manufacturing,BOX PLASTIC BLK 4.41""L X 2.44""W,1505,3908,"4.99000","0","1","1591S","Active","Box","4.409"" L x 2.441"" W (111.99mm x 62.00mm)","1.213"" (30.81mm)","10.7in² (69cm²)","Cover Included","Plastic, Non Specified","Black","0.079"" (2.01mm)","Card Guides","IP54","-"
http://www.hammondmfg.com/pdf/1591MFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591MFLBK.jpg,HM848-ND,1591MFLBK,Hammond Manufacturing,BOX ABS BLACK 3.34""L X 2.21""W,2542,9348,"5.00000","0","1","1591FL","Active","Box","3.339"" L x 2.205"" W (84.80mm x 56.00mm)","1.023"" (25.98mm)","7.36in² (47.5cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant, Mounting Flange","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591AFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591AFLBK.jpg,HM858-ND,1591AFLBK,Hammond Manufacturing,BOX ABS BLACK 3.94""L X 1.97""W,1331,4485,"5.00000","0","1","1591FL","Active","Box","3.937"" L x 1.969"" W (100.00mm x 50.00mm)","0.977"" (24.82mm)","7.75in² (50.0cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant, Mounting Flange","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/RM2015S.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RM2015S.JPG,HM1093-ND,RM2015S,Hammond Manufacturing,BOX ABS GRAY 5.12""L X 3.94""W,1168,181,"5.06000","0","1","RM","Active","Box","5.118"" L x 3.937"" W (130.00mm x 100.00mm)","1.213"" (30.81mm)","20.1in² (130cm²)","Split Sides and End Panel(s)","Plastic, ABS","Gray","-","PCB Supports","IP43","UL94 HB"
http://www.hammondmfg.com/pdf/1593Q.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593QBK.jpg,HM359-ND,1593QBK,Hammond Manufacturing,BOX ABS BLACK 4.41""L X 2.62""W,448,2774,"5.16000","0","1","1593","Active","Box","4.409"" L x 2.618"" W (111.99mm x 66.50mm)","1.102"" (27.99mm)","11.5in² (74cm²)","Hand Held, End Panel and Cover","Plastic, ABS","Black","-","Battery Door, PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593P.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593PBK.jpg,HM357-ND,1593PBK,Hammond Manufacturing,BOX ABS BLACK 3.62""L X 2.62""W,976,1895,"5.27000","0","1","1593","Active","Box","3.622"" L x 2.618"" W (92.00mm x 66.50mm)","1.098"" (27.89mm)","9.48in² (61.2cm²)","Hand Held, End Panel and Cover","Plastic, ABS","Black","-","Battery Door, PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593L.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593LBK.jpg,HM962-ND,1593LBK,Hammond Manufacturing,BOX ABS BLACK 3.63""L X 2.61""W,1033,8310,"5.29000","0","1","1593","Active","Box","3.631"" L x 2.607"" W (92.23mm x 66.22mm)","1.102"" (27.99mm)","9.47in² (61.1cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593N.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593NBK.jpg,HM963-ND,1593NBK,Hammond Manufacturing,BOX ABS BLACK 4.38""L X 2.95""W,1624,8099,"5.45000","0","1","1593","Active","Box","4.380"" L x 2.953"" W (111.25mm x 75.00mm)","0.992"" (25.20mm)","12.9in² (83cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","-","UL94 HB"
http://www.budind.com/pdf/hb4771.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/DMB-4771.jpg,377-1808-ND,DMB-4771,Bud Industries,BOX ABS/PC GRAY 2.1""L X 3.55""W,9118,4037,"5.50000","0","1","DMB","Active","Box","2.098"" L x 3.551"" W (53.29mm x 90.20mm)","2.264"" (57.51mm)","7.45in² (48.1cm²)","Cover Included","Plastic, ABS/PC Blend","Gray","-","DIN Rail Mount","-","UL94 V-0"
http://www.hammondmfg.com/pdf/1591XXB.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591XXBBK.JPG,HM1038-ND,1591XXBBK,Hammond Manufacturing,BOX ABS BLACK 4.48""L X 2.49""W,2953,6741,"5.56000","0","1","1591XX","Active","Box","4.481"" L x 2.493"" W (113.82mm x 63.32mm)","1.289"" (32.74mm)","11.2in² (72cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Flame Retardant, PCB Supports","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591L.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591LBK.jpg,HM113-ND,1591LBK,Hammond Manufacturing,BOX ABS BLACK 3.35""L X 2.21""W,2442,5062,"5.56000","0","1","1591","Active","Box","3.346"" L x 2.205"" W (85.00mm x 56.00mm)","1.535"" (38.99mm)","7.38in² (47.6cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591BFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591BFLBK.jpg,HM850-ND,1591BFLBK,Hammond Manufacturing,BOX ABS BLACK 4.41""L X 2.44""W,2087,1887,"5.56000","0","1","1591FL","Active","Box","4.409"" L x 2.441"" W (111.99mm x 62.00mm)","1.213"" (30.81mm)","10.7in² (69cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant, Mounting Flange","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591XXL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591XXLBK.JPG,HM1168-ND,1591XXLBK,Hammond Manufacturing,BOX ABS BLACK 3.43""L X 2.28""W,1322,4946,"5.56000","0","1","1591XX","Active","Box","3.427"" L x 2.279"" W (87.05mm x 57.89mm)","1.604"" (40.75mm)","7.81in² (50.4cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Flame Retardant, PCB Supports","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591B.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591BBK.jpg,HM115-ND,1591BBK,Hammond Manufacturing,BOX ABS BLACK 4.41""L X 2.44""W,430,7508,"5.56000","0","1","1591","Active","Box","4.409"" L x 2.441"" W (111.99mm x 62.00mm)","1.213"" (30.81mm)","10.7in² (69cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591XXBFL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1591XXBFLBK.jpg,HM2025-ND,1591XXBFLBK,Hammond Manufacturing,BOX ABS BLACK 4.48""L X 2.49""W,265,4152,"5.56000","0","1","1591XXFL","Active","Box","4.481"" L x 2.493"" W (113.82mm x 63.32mm)","1.289"" (32.74mm)","11.2in² (72cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Flame Retardant, Mounting Flange, PCB Supports","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1593D.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1593DBK.jpg,HM861-ND,1593DBK,Hammond Manufacturing,BOX ABS BLACK 4.49""L X 1.41""W,399,565,"5.66000","0","1","1593","Active","Box","4.488"" L x 1.406"" W (114.00mm x 35.71mm)","1.016"" (25.81mm)","6.31in² (40.7cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","-","UL94 HB"
http://www.hammondmfg.com/pdf/1591C.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591CBK.jpg,HM116-ND,1591CBK,Hammond Manufacturing,BOX ABS BLACK 4.72""L X 2.56""W,1880,2682,"6.68000","0","1","1591","Active","Box","4.724"" L x 2.559"" W (120.00mm x 65.00mm)","1.567"" (39.80mm)","12.1in² (78cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591CFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591CFLBK%20.jpg,HM851-ND,1591CFLBK,Hammond Manufacturing,BOX ABS BLACK 4.72""L X 2.56""W,596,6139,"6.68000","0","1","1591FL","Active","Box","4.724"" L x 2.559"" W (120.00mm x 65.00mm)","1.567"" (39.80mm)","12.1in² (78cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Card Guides, Flame Retardant, Mounting Flange","IP54","UL94 V-0"
http://www.hammondmfg.com/pdf/1591D.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1591DSBK.jpg,HM105-ND,1591DSBK,Hammond Manufacturing,BOX PLASTIC BLACK 5.91""LX3.15""W,448,4283,"6.68000","0","1","1591S","Active","Box","5.906"" L x 3.150"" W (150.01mm x 80.01mm)","1.969"" (50.00mm)","18.6in² (120cm²)","Cover Included","Plastic, Non Specified","Black","0.079"" (2.01mm)","Card Guides","IP54","-"
http://www.hammondmfg.com/pdf/RP1065.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RP1065.JPG,HM1103-ND,RP1065,Hammond Manufacturing,BOX ABS GRAY 3.17""L X 3.37""W,1908,1326,"7.10000","0","1","RP","Active","Box","3.168"" L x 3.366"" W (80.47mm x 85.50mm)","2.165"" (55.00mm)","10.7in² (69cm²)","Cover Included","Plastic, ABS","Gray","0.108"" (2.74mm)","PCB Supports, Watertight","IP65","UL94 HB"
http://www.budind.com/pdf/hb388.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/CU-389-MB.jpg,377-1937-ND,CU-389-MB,Bud Industries,BOX ABS BLACK 5.07""L X 3.57""W,1257,1973,"7.10000","0","1","Utilibox Style G","Active","Box","5.072"" L x 3.572"" W (128.83mm x 90.73mm)","1.590"" (40.39mm)","18.1in² (117cm²)","Cover Included","Plastic, ABS","Black","0.080"" (2.03mm)","Mounting Flange, PCB Supports","-","UL94 V-0"
https://www.hammfg.com/files/parts/pdf/1590LBFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1590LBFL.jpg,HM570-ND,1590LBFL,Hammond Manufacturing,BOX ALUM UNPAINTED 1.99""LX1.99""W,1875,2363,"7.24000","0","1","1590FL","Active","Box","1.988"" L x 1.988"" W (50.50mm x 50.50mm)","1.217"" (30.91mm)","3.95in² (25.5cm²)","Cover Included","Metal, Aluminum","Unpainted","0.080"" (2.03mm)","-","IP54","-"
https://www.hammfg.com/files/parts/pdf/1590LB.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1590LB.jpg,HM157-ND,1590LB,Hammond Manufacturing,BOX ALUM UNPAINTED 1.99""LX1.99""W,1347,2395,"7.24000","0","1","1590","Active","Box","1.988"" L x 1.988"" W (50.50mm x 50.50mm)","1.220"" (30.99mm)","3.95in² (25.5cm²)","Cover Included","Metal, Aluminum","Unpainted","0.080"" (2.03mm)","EMI Shielded","IP54","-"
https://www.hammfg.com/files/parts/pdf/1590A.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1590A.jpg,HM150-ND,1590A,Hammond Manufacturing,BOX ALUM UNPAINTED 3.64""LX1.52""W,325,6152,"7.34000","0","1","1590","Active","Box","3.642"" L x 1.516"" W (92.51mm x 38.51mm)","1.220"" (30.99mm)","5.52in² (35.6cm²)","Cover Included","Metal, Aluminum","Unpainted","0.080"" (2.03mm)","EMI Shielded","IP54","-"
http://www.budind.com/pdf/hb1320mb.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/PN-1320-MB.jpg,377-1878-ND,PN-1320-MB,Bud Industries,BOX PLASTIC GRAY 2.52""L X 2.28""W,1458,3358,"7.40000","0","1","PN","Active","Box","2.520"" L x 2.283"" W (64.01mm x 57.99mm)","1.378"" (35.00mm)","5.75in² (37.1cm²)","Cover Included","Plastic, Polycarbonate","Gray","0.118"" (3.00mm)","Card Guides, Mounting Flange, PCB Supports","IP65, NEMA 1,2,4,4X,12,13, UL-508","UL94 HB"
http://www.hammondmfg.com/pdf/1599H.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1599HSGY.jpg,HM211-ND,1599HSGY,Hammond Manufacturing,BOX PLASTIC GRAY 8.66""L X 4.33""W,252,582,"7.64000","0","1","1599S","Active","Box","8.661"" L x 4.331"" W (219.99mm x 110.01mm)","1.762"" (44.75mm)","37.5in² (242cm²)","Hand Held, Split Sides","Plastic, Polystyrene","Gray","-","Card Guides, PCB Supports","IP54","-"
