Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Number of Units","Dimensions - Panel","Dimensions - Overall","Door","Features","Mounting Rails","Ventilation","Material","Color"
http://www.hammondmfg.com/pdf/RMCS190313.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/rmcs190313bk1.JPG,HM739-ND,RMCS190313BK1,Hammond Manufacturing,RACK ALUM 13X17X3.5 BLK,21,232,"111.00000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","2U","11.350"" L x 15.280"" W x 2.400"" H (288.29mm x 388.11mm x 60.96mm)","13.000"" L x 17.030"" W x 3.500"" H (330.20mm x 432.56mm x 88.90mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV190713.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV190713BK1.jpg,HM750-ND,RMCV190713BK1,Hammond Manufacturing,RACK ALUM 13X17X7 BLK,19,117,"149.59000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","4U","11.350"" L x 15.280"" W x 5.900"" H (288.29mm x 388.11mm x 149.86mm)","13.000"" L x 17.030"" W x 7.000"" H (330.20mm x 432.56mm x 177.80mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS191015.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS191015BK1.jpg,HM744-ND,RMCS191015BK1,Hammond Manufacturing,RACK ALUM 15X17X10.5 BLK,10,42,"179.16000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","6U","13.450"" L x 15.280"" W x 9.400"" H (341.63mm x 388.11mm x 238.76mm)","15.000"" L x 17.030"" W x 10.500"" H (381.00mm x 432.56mm x 266.70mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1901413BK1.jpg,HM630-ND,RCBS1901413BK1,Hammond Manufacturing,RACK STEEL 13X21X16 BLK,12,36,"203.70000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","8U","13.000"" L x 17.810"" W x 14.030"" H (330.20mm x 452.37mm x 356.36mm)","13.000"" L x 21.000"" W x 16.000"" H (330.20mm x 533.40mm x 406.40mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/RCHV_Series(Heavy_Duty).pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RCHS1902824BK1.jpg,HM5671-ND,RCHV1901024BK1,Hammond Manufacturing,RACK STEEL 24.5X21X12.5 BLK,13,20,"294.70000","0","1","RCHV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","6U","23.250"" L x 17.810"" W x 10.560"" H (590.55mm x 452.37mm x 268.22mm)","24.500"" L x 21.000"" W x 12.500"" H (622.30mm x 533.40mm x 317.50mm)","Doorless","Handles","Two Pair","Sides","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RCHS1901024.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCHS1901024BK1.jpg,HM656-ND,RCHS1901024BK1,Hammond Manufacturing,RACK STEEL 24.5X21X12.5 BLK,11,50,"294.70000","0","1","RCHS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","6U","23.250"" L x 17.810"" W x 10.560"" H (590.55mm x 452.37mm x 268.22mm)","24.500"" L x 21.000"" W x 12.500"" H (622.30mm x 533.40mm x 317.50mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RCHS1902817.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCHS1902817BK1.jpg,HM655-ND,RCHS1902817BK1,Hammond Manufacturing,RACK STEEL 17.5X21X30 BLK,25,10,"333.90000","0","1","RCHS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","16U","16.250"" L x 17.810"" W x 28.060"" H (412.75mm x 452.37mm x 712.72mm)","17.500"" L x 21.000"" W x 30.000"" H (444.50mm x 533.40mm x 762.00mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/RCHV_Series(Heavy_Duty).pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RCHV1901417BK1.jpg,HM5684-ND,RCHV1902831BK1,Hammond Manufacturing,RACK STEEL 31.5X21X30 BLK,3,26,"509.60000","0","1","RCHV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","16U","30.250"" L x 17.810"" W x 28.060"" H (768.35mm x 17.810mm x 712.72mm)","31.500"" L x 21.000"" W x 30.000"" H (800.10mm x 533.40mm x 762.00mm)","Doorless","Handles","Two Pair","Sides","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/REFK1905624.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_REDFP19035BK1.jpg,HM697-ND,REFK1905624BK1,Hammond Manufacturing,RACK STEEL 24.5X21.3X61.2 BLK,7,6,"637.00000","0","1","REFK","Active","Cabinet Rack","Enclosed, Bottom, Sides, Top","32U","23.000"" L x 17.810"" W x 56.000"" H (584.20mm x 452.37mm x 1422.40mm)","24.500"" L x 21.330"" W x 61.190"" H (622.30mm x 533.40mm x 1554.23mm)","Doorless","Front and Rear Access","One Pair","Non-Vented","Metal, Steel","Black"
https://assets.tripplite.com/product-pdfs/en/sr18ub.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SR18UB.jpg,TL1223-ND,SR18UB,Tripp Lite,18U RACK ENCL SERVER CABINET 33"",0,0,"754.51000","0","1","SmartRack™","Active","Cabinet Rack","Enclosed, Bottom, Front, Sides, Top","18U","32.500"" L x 31.500"" H (825.50mm x 800.10mm)","33.500"" L x 23.630"" W x 35.600"" H (850.90mm x 600.20mm x 904.24mm)","Steel","Cable Entry Systems, Locking, Removable Sides","Two Pair","Back, Front, Sides, Top","Metal, Steel","Black"
https://www.hammfg.com/dci/products/table-top/hdr.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_HDR8UBK.jpg,HM5458-ND,HDR8UBK,Hammond Manufacturing,DESK KNOCKDOWN RACK 16X20X11.5""D,10,28,"64.00000","0","1","HDR","Active","Open Rack","Open Rack, Single Frame","8U","11.496"" L x 17.795"" W x 14.016"" H (292.00mm x 452.00mm x 356.00mm)","11.496"" L x 19.921"" W x 15.748"" H (292.00mm x 506.00mm x 400.00mm)","Doorless","Slope, 10°","One Pair","-","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RMCS9038.PDF,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RMCS9038BK1.jpg,HM5769-ND,RMCS9038BK1,Hammond Manufacturing,RACK ALUM 8X8.5X3.5 BLK,2,25,"76.32000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","2U","6.350"" L x 6.780"" W x 2.400"" H (161.29mm x 172.21mm x 60.96mm)","8.000"" L x 8.500"" W x 3.500"" H (203.20mm x 215.90mm x 88.90mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV9018.PDF,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RMCV9018BK1.jpg,HM5771-ND,RMCV9018BK1,Hammond Manufacturing,RACK ALUM 8X8.5X1.75 BLK,10,11,"78.70000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","1U","6.350"" L x 6.780"" W x 1.560"" H (161.29mm x 172.21mm x 39.62mm)","8.000"" L x 8.500"" W x 1.750"" H (203.20mm x 215.90mm x 44.45mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV19038.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RMCV19038BK1.JPG,HM747-ND,RMCV19038BK1,Hammond Manufacturing,RACK ALUM 8X17X3.5 BLK,20,59,"96.66000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","2U","6.350"" L x 15.280"" W x 2.400"" H (161.29mm x 388.11mm x 60.96mm)","8.000"" L x 17.030"" W x 3.500"" H (203.20mm x 432.56mm x 88.90mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV190113.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RMCV190113BK1.JPG,HM746-ND,RMCV190113BK1,Hammond Manufacturing,RACK ALUM 13X17X1.75 BLK,4,32,"101.76000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","1U","11.350"" L x 15.280"" W x 1.560"" H (288.29mm x 388.11mm x 39.62mm)","13.000"" L x 17.030"" W x 1.750"" H (330.20mm x 432.56mm x 44.45mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/RRTT_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RRTT1921BK1.jpg,HM1606-ND,RRTT1921BK1,Hammond Manufacturing,RACK STEEL 12X20.4X24 BLK,9,52,"120.00000","0","1","RRTT","Active","Open Rack","Open Rack, Single Frame","12U","2.075"" L x 18.312"" W x 21.000"" H (52.71mm x 465.12mm x 533.40mm)","12.000"" L x 20.375"" W x 24.000"" H (304.80mm x 517.53mm x 609.60mm)","Doorless","-","One Pair","-","Metal, Steel","Black"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/RRTT_Series.pdf,-,HM5815-ND,RRTT1928BK1,Hammond Manufacturing,RACK STEEL 12X20.4X31 BLK,7,28,"129.75000","0","1","RRTT","Active","Open Rack","Open Rack, Single Frame","16U","2.075"" L x 18.312"" W x 28.000"" H (52.71mm x 465.12mm x 711.20mm)","12.000"" L x 20.375"" W x 31.000"" H (304.80mm x 517.53mm x 787.40mm)","Doorless","-","One Pair","-","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1900313BK1.jpg,HM624-ND,RCBS1900313BK1,Hammond Manufacturing,RACK STEEL 13X21X5.5 BLK,20,96,"139.50000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","2U","13.000"" L x 17.810"" W x 3.530"" H (330.20mm x 452.37mm x 89.66mm)","13.000"" L x 21.000"" W x 5.500"" H (330.20mm x 533.40mm x 139.70mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1900513BK1.jpg,HM625-ND,RCBS1900513BK1,Hammond Manufacturing,RACK STEEL 13X21X7.25 BLK,16,49,"140.25000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","3U","13.000"" L x 17.810"" W x 5.280"" H (330.20mm x 452.37mm x 134.11mm)","13.000"" L x 21.000"" W x 7.250"" H (330.20mm x 533.40mm x 184.15mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1900813BK1.jpg,HM627-ND,RCBS1900813BK1,Hammond Manufacturing,RACK STEEL 13X21X10.75 BLK,9,29,"142.80000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","5U","13.000"" L x 17.810"" W x 8.780"" H (330.20mm x 452.37mm x 223.01mm)","13.000"" L x 21.000"" W x 10.750"" H (330.20mm x 533.40mm x 273.05mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RCBS1900317BK1.jpg,HM2259-ND,RCBS1900317BK1,Hammond Manufacturing,RACK STEEL 17.5X21X5.5 BLK,9,33,"145.50000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","2U","17.500"" L x 17.810"" W x 3.530"" H (444.50mm x 452.37mm x 89.66mm)","17.500"" L x 21.000"" W x 5.500"" H (444.50mm x 533.40mm x 139.70mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1900713BK1.jpg,HM626-ND,RCBS1900713BK1,Hammond Manufacturing,RACK STEEL 13X21X9 BLK,5,65,"147.00000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","4U","13.000"" L x 17.810"" W x 7.030"" H (330.20mm x 452.37mm x 178.56mm)","13.000"" L x 21.000"" W x 9.000"" H (330.20mm x 533.40mm x 228.60mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RCBS1900324BK1.jpg,HM5651-ND,RCBS1900324BK1,Hammond Manufacturing,RACK STEEL 24.5X21X5.5 BLK,8,19,"152.60000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","2U","24.500"" L x 17.810"" W x 3.530"" H (622.30mm x 452.37mm x 89.66mm)","24.500"" L x 21.000"" W x 5.500"" H (622.30mm x 533.40mm x 139.70mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1900717BK1.jpg,HM632-ND,RCBS1900717BK1,Hammond Manufacturing,RACK STEEL 17.5X21X9 BLK,9,30,"162.40000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","4U","17.500"" L x 17.810"" W x 7.030"" H (444.50mm x 452.37mm x 178.56mm)","17.500"" L x 21.000"" W x 9.000"" H (444.50mm x 533.40mm x 228.60mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RMCV190813.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV190813BK1.jpg,HM751-ND,RMCV190813BK1,Hammond Manufacturing,RACK ALUM 13X17X8.75 BLK,15,81,"180.45000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","5U","11.350"" L x 15.280"" W x 7.650"" H (288.29mm x 388.11mm x 194.31mm)","13.000"" L x 17.030"" W x 8.750"" H (330.20mm x 432.56mm x 222.25mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS191013.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS191013BK1.jpg,HM743-ND,RMCS191013BK1,Hammond Manufacturing,RACK ALUM 13X17X10.5 BLK,2,23,"181.31000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","6U","11.350"" L x 15.280"" W x 9.400"" H (288.29mm x 388.11mm x 238.76mm)","13.000"" L x 17.030"" W x 10.500"" H (330.20mm x 432.56mm x 266.70mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RCBS1900724BK1.jpg,HM1593-ND,RCBS1900724BK1,Hammond Manufacturing,RACK STEEL 24.5X21X9 BLK,7,29,"195.30000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","4U","24.500"" L x 17.810"" W x 7.030"" H (622.30mm x 452.37mm x 178.56mm)","24.500"" L x 21.000"" W x 9.000"" H (622.30mm x 533.40mm x 228.60mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RMCV191015.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV191015BK1.jpg,HM753-ND,RMCV191015BK1,Hammond Manufacturing,RACK ALUM 15X17X10.5 BLK,4,65,"197.06000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","6U","13.450"" L x 15.280"" W x 9.400"" H (341.63mm x 388.11mm x 238.76mm)","15.000"" L x 17.030"" W x 10.500"" H (381.00mm x 432.56mm x 266.70mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV191013.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV191013BK1.jpg,HM752-ND,RMCV191013BK1,Hammond Manufacturing,RACK ALUM 13X17X10.5 BLK,7,18,"199.44000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","6U","11.350"" L x 15.280"" W x 9.400"" H (288.29mm x 388.11mm x 238.76mm)","13.000"" L x 17.030"" W x 10.500"" H (330.20mm x 432.56mm x 266.70mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCBS1901017BK1.jpg,HM634-ND,RCBS1901017BK1,Hammond Manufacturing,RACK STEEL 17.5X21X12.5 BLK,11,15,"205.10000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","6U","17.500"" L x 17.810"" W x 10.530"" H (444.50mm x 452.37mm x 267.46mm)","17.500"" L x 21.000"" W x 12.500"" H (444.50mm x 533.40mm x 317.50mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/dci/products/accessories/ras.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RCBS1900317BK1.jpg,HM636-ND,RCBS1901417BK1,Hammond Manufacturing,RACK STEEL 17.5X21X16 BLK,9,7,"229.60000","0","1","RCBS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","8U","17.500"" L x 17.810"" W x 14.030"" H (444.50mm x 452.37mm x 356.36mm)","17.500"" L x 21.000"" W x 16.000"" H (444.50mm x 533.40mm x 406.40mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
https://www.hammfg.com/files/parts/pdf/1459FBK1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1459FBK1.jpg,HM3226-ND,1459FBK1,Hammond Manufacturing,RACK STEEL 16.1X21.1X24.7 BLK,5,0,"238.00000","0","1","1459","Active","Cabinet Rack","Enclosed, Bottom, Top","13U","12.140"" L x 18.420"" W x 22.750"" H (308.36mm x 467.87mm x 577.85mm)","16.140"" L x 21.120"" W x 24.700"" H (409.96mm x 536.45mm x 627.38mm)","Doorless","Removable Top and Bottom","One Pair","Non-Vented","Metal, Steel","Black"
http://www.budind.com/pdf/hb1263.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_rack-rr-series.jpg,377-1407-ND,RR-1264-BT,Bud Industries,RACK OPEN RELAY 66.5"" X 19"" BLK,23,12,"240.45000","0","1","RR","Active","Open Rack","Open Rack, Single Frame","38U","3.000"" L x 17.938"" W x 66.500"" H (76.20mm x 455.63mm x 1689.10mm)","22.000"" L x 19.969"" W x 70.625"" H (558.80mm x 507.21mm x 1793.88mm)","Doorless","Mounting Brackets","One Pair","Non-Vented","Metal, Steel","Black"
http://www.hammondmfg.com/pdf/RCHS1901717.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RCHS1901717BK1.jpg,HM653-ND,RCHS1901717BK1,Hammond Manufacturing,RACK STEEL 17.5X21X19.5 BLK,4,22,"273.70000","0","1","RCHS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","10U","16.110"" L x 17.810"" W x 17.560"" H (409.19mm x 452.37mm x 446.02mm)","17.500"" L x 21.000"" W x 19.500"" H (444.50mm x 533.40mm x 495.30mm)","Doorless","Handles","Two Pair","Non-Vented","Metal, Steel","Black"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/RCHV_Series(Heavy_Duty).pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RCHV1901424BK1.jpg,HM5676-ND,RCHV1901717BK1,Hammond Manufacturing,RACK STEEL 17.5X21X19.5 BLK,3,7,"287.00000","0","1","RCHV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Sides, Top","10U","16.110"" L x 17.810"" W x 17.560"" H (409.19mm x 452.37mm x 446.02mm)","17.500"" L x 21.000"" W x 19.500"" H (444.50mm x 533.40mm x 495.30mm)","Doorless","Handles","Two Pair","Sides","Metal, Steel","Black"
