Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Utilized IC / Part","Interconnect System","Suggested Programming Environment","Included MCU/MPU Board(s)","Contents"
http://download.makeblock.com/mbot/mBot_V1.1_Blue_STD_Instruction_EN_D1.2.1_7.40.4100_Print.pdf,//media.digikey.com/Photos/Makeblock/MFG_90053.jpg,1890-1012-ND,90053,"Makeblock Co., LTD.",MBOT V1.1-BLUE(BLUETOOTH VERSION,6,0,"69.99000","0","1","mBot","Active","Wheeled","ATmega238","Makeblock Me","Arduino IDE, mBlock","mCore","Board(s), Cable(s), Chassis, Components, Hardware, Sensor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-14391_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-14391_View-1.jpg,1568-1717-ND,ROB-14391,SparkFun Electronics,PAN/TILT BRACKET KIT,46,0,"6.95000","0","1","-","Active","Pan/Tilt","-","-","-","-","Bracket(s), Hardware, Servo(s)"
https://github.com/Arduinolibrary/DFRobot_Insect_Robot_Hex/raw/master/KIT0090%20Insectbot.pdf,//media.digikey.com/photos/DFRobot/KIT0090.jpg,1738-1206-ND,KIT0090,DFRobot,INSECTBOT HEXA ROBOT KIT ARDUINO,9,0,"38.63000","0","1","-","Active","Servo Actuators","ATmega328P","Beetle","Arduino IDE","DFRobot Beetle BLE","Board(s), Components, Hardware, Servo(s)"
https://github.com/Arduinolibrary/DFRobot_Devastator_Tank_Mobile_Platform_Metal_motor_version/raw/master/Devastatoir%20Instruction%20Manual%20Metal%20Motor%20Versionen.pdf,//media.digikey.com/Photos/DFRobot/MFG_ROB0128.jpg,1738-1273-ND,ROB0128,DFRobot,DEVASTATOR TANK MOBILE ROBOT,11,0,"87.45000","0","1","Devastator","Active","Tank Tread","-","-","-","-","Chassis, Hardware, Motor(s), Treads, Wheel(s)"
http://download.makeblock.com/mbot/mBot_V1.1_Blue_STD_Instruction_EN_D1.2.1_7.40.4100_Print.pdf,//media.digikey.com/Photos/Makeblock/MFG_90058.jpg,1890-1013-ND,90058,"Makeblock Co., LTD.",MBOT V1.1-BLUE(2.4G VERSION),15,0,"99.99000","0","1","mBot","Not For New Designs","Wheeled","ATmega238","Makeblock Me","Arduino IDE, mBlock","mCore","Board(s), Cable(s), Chassis, Components, Hardware, Sensor(s), Wheel(s)"
https://www.parallax.com/sites/default/files/downloads/35000-BOE-Shield-Documentation-v1.2.pdf,//media.digikey.com/Photos/Parallax%20Photos/130-35000.JPG,130-35000-ND,130-35000,Parallax Inc.,KIT ROBOTICS ARDUINO SHIELD,4,0,"130.38000","0","1","-","Active","Wheeled","-","Arduino R3 Shield","-","-","Board(s), Chassis, Components, Hardware, Motor(s), Wheel(s)"
https://www.parallax.com/sites/default/files/downloads/28125-Robotics-With-The-Boe-Bot-v3.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/28832.jpg,28832-ND,28832,Parallax Inc.,KIT BOE-BOT (USB),7,0,"160.69000","0","1","Boe-Bot","Active","Wheeled","BASIC Stamp 2","-","BASIC Stamp Editor","Board of Education","Board(s), Chassis, Components, Hardware, Manual, Wheel(s)"
-,//media.digikey.com/Photos/Parallax%20Photos/572-28132.jpg,572-28132-ND,572-28132,Parallax Inc.,BOE-BOT ELEC COMPONENT KIT,35,0,"12.09000","0","1","-","Active","Robot Components","-","-","-","-","Components, LEDs, Wire(s)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1967_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1967.jpg,1528-1106-ND,1967,Adafruit Industries LLC,KIT MINI PAN-TILT MICRO SERVO,40,0,"18.95000","0","1","-","Active","Mini Pan/Tilt","-","-","-","-","Fully Assembled"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3216_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3216.jpg,1528-1739-ND,3216,Adafruit Industries LLC,MINI ROUND ROBOT CHASSIS KIT,76,0,"19.95000","0","1","-","Active","Robot Components","-","-","-","-","Chassis, Hardware, Motor(s), Wheel(s)"
https://www.parallax.com/sites/default/files/downloads/30055-Crawler-Assembly-Guide-RevB-V3.1.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_30055.jpg,30055-ND,30055,Parallax Inc.,KIT CRAWLER FOR BOE-BOT,6,0,"30.61000","0","1","-","Active","Hexapod","-","-","-","-","Arm(s), Chassis, Hardware, Leg(s)"
https://www.parallax.com/sites/default/files/downloads/28015-PING-Sensor-Product-Guide-v2.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/910-28015B.jpg,910-28015B-ND,910-28015B,Parallax Inc.,SENSOR ULTRASON PING W/STAND,8,0,"39.99000","0","1","PING)))™","Active","Sensors","-","-","-","-","Bracket(s), Cable(s), Hardware, Servo(s)"
http://www.globalspecialties.com/programmable-robotics/assembled-robots/download/1205_f64b65839b66dcf00c84c991a8c8a1ce.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_AAR.jpg,BKAAR-ND,AAR,Global Specialties,AAR EDUCATIONL ARDUINO ROBOT KIT,4,0,"79.00000","0","1","-","Active","Wheeled","ATmega328P","-","Arduino IDE","-","Fully Assembled"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/110060865_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_110060865.jpg,1597-1565-ND,110060865,"Seeed Technology Co., Ltd",ALPHABOT2 ROBOT RASPBERRYPI 3,18,0,"79.55000","0","1","AlphaBot2","Active","Wheeled","ST188, ITR20001, TB6612FNG, WS2812B","Raspberry Pi HAT (40 pin)","-","-","Board(s), Cable(s), Chassis, Components, Hardware, Sensor(s), Servo(s), Wheel(s)"
http://www.globalspecialties.com/programmable-robotics/arx-stem-video-based-curriculum/download/1454_db10495053553da594e002cc6fd7f16e.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_ARX.jpg,BKARX-ND,ARX,Global Specialties,ASURO EDU C-PRGRMMBL ROBOT KIT,3,0,"99.00000","0","1","-","Active","Wheeled","ATMEGA8L","-","WinAVR","-","Board, Cable, Wheels, Components, Hardware"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/RedBot_with_ShadowChassis_AssemblyGuide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12649_Contents.jpg,1568-1107-ND,ROB-12649,SparkFun Electronics,INVENTOR'S KIT FOR REDBOT,6,0,"125.95000","0","1","RedBot","Active","Wheeled","ATmega328","Arduino R3 Shield","Arduino IDE","SparkFun Redboard","Chassis, Main Board(s), Motor(s), Wheel(s)"
https://www.terasic.com.tw/cgi-bin/page/archive_download.pl?Language=English&No=1018&FID=f06f05e6f8000e7bc6067a99d344a74e,//media.digikey.com/Photos/Terasic%20Tech%20Photos/MFG_P0467.jpg,P0467-ND,P0467,Terasic Inc.,A-CUTE CAR ROBOTIC KITS,5,0,"156.25000","0","1","A-Cute","Active","Wheeled","EP4CE22F17C6N","-","-","-","Fully Assembled"
-,//media.digikey.com/Photos/Parallax%20Photos/MFG_32335.jpg,32335-ND,32335,Parallax Inc.,PARALLAX SHIELD ROBOT WITH ARD,3,0,"199.00000","0","1","-","Active","Wheeled","ATmega328P","Arduino R3 Shield","Arduino IDE","Arduino Uno R3","Board(s), Chassis, Components, Hardware, Manual, Wheel(s)"
https://globalspecialties.com/media/k2/attachments/R700_20150218_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_R700.jpg,BKR700-ND,R700,Global Specialties,VECTOR ROBOTIC ARM,10,0,"406.85000","0","1","-","Active","Arm","ATMEGA64","-","-","-","Fully Assembled"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2939_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/2939.jpg,2939-ND,2939,Adafruit Industries LLC,MINI ROBOT ROVER CHASSIS KIT,13,0,"24.95000","0","1","-","Active","Wheeled","-","-","-","-","Chassis, Hardware, Motor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3244_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/3244.JPG,1528-1831-ND,3244,Adafruit Industries LLC,MINI 3-LAYER ROUND ROBOT CHASSIS,7,0,"24.95000","0","1","-","Active","Robot Components","-","-","-","-","Chassis, Hardware, Motor(s), Wheel(s)"
http://cache.freescale.com/files/32bit/doc/quick_ref_guide/TWRMECHQSG.pdf,//media.digikey.com/Photos/Freescale%20Photos/TWR-MECH.jpg,TWR-MECH-ND,TWR-MECH,NXP USA Inc.,KIT TOWER ROBOT SENSOR MOTOR,3,0,"105.19000","0","1","ColdFire®","Active","Robot Components","MCF52259, MMA8451Q, MPR121","-","-","-","Board(s), Cable(s), Components, Hardware, Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/5624-BM_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_5624-BM.jpg,1927-1083-ND,5624-BM,Kitronik Ltd.,BUMPER ADD-ON FOR THE :MOVE MINI,74,0,"2.10000","0","1",":MOVE","Active","Robot Components","-","micro:bit","-","-","Bumper(s), Hardware"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1040001_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_P1040001.jpg,1890-1010-ND,P1040001,"Makeblock Co., LTD.",AIRBLOCKSPARE PARTS,31,0,"4.99000","0","1","Airblock","Active","Hexacopter Components","-","Airblock","Makeblock App","-","Propellers, Foot Pad(s)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/4TR_RBITSON_Web.pdf,//media.digikey.com/photos/Pimoroni%20Photos/MFG_4TR-RBITSON.jpg,1778-1202-ND,4TR-RBITSON,Pimoroni Ltd,ULTRASONIC DISTANCE SENSOR FOR R,28,0,"5.10000","0","1","-","Active","Sensors","-","-","-","-","Sensor(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1040007_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_P1040007.jpg,1890-1006-ND,P1040007,"Makeblock Co., LTD.",AIRBLOCK BATTERY,35,0,"19.99000","0","1","Airblock","Active","Hexacopter Components","-","Airblock","Makeblock App","-","Battery(s)"
https://cdn.sparkfun.com/assets/c/9/e/6/1/tenergy-odev-geo-salt-water-solar-powered-diy-robot-kit-datasheet.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14485.jpg,1568-1749-ND,KIT-14485,SparkFun Electronics,ODEV GEO ROBOT KIT,7,0,"21.88000","0","1","Odev","Active","Wheeled","-","-","-","-","Chassis, Components, Hardware, Motor(s), Solar Panel(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/98056_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_98056.jpg,1890-1003-ND,98056,"Makeblock Co., LTD.",MBOT ADD-ON PACK INTERACTIVE LIG,83,0,"24.99000","0","1","mBot","Active","Robot Components","-","Makeblock Me","-","-","Chassis, Components, Hardware"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/98052_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_98052.jpg,1890-1002-ND,98052,"Makeblock Co., LTD.",MBOT ADD-ON PACK-SERVO PACK,82,0,"24.99000","0","1","mBot","Active","Robot Components","-","Makeblock Me","-","-","Cable(s), Components, Hardware, Servo(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/98050_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_98050_View-4.jpg,1890-1001-ND,98050,"Makeblock Co., LTD.",MBOT ADD-ON PACK-SIX-LEGGED ROBO,59,0,"24.99000","0","1","mBot","Active","Robot Components","-","Makeblock Me","-","-","Chassis, Components, Hardware"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1020001_Web.pdf,-,1890-1117-ND,P1020001,"Makeblock Co., LTD.",MBOT & MBOT RANGER ADD-ON PACK V,9,0,"39.99000","0","1","-","Active","Robot Components","-","Makeblock Me","-","-","Bracket(s), Cable(s), Components, LED(s), Plate(s), Screw(s), Servo"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/4502_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_4502.jpg,4502-ND,4502,Kitronik Ltd.,MEARM ROBOT CLASSIC MAKER KIT,6,0,"43.56000","0","1","-","Active","Arm","-","-","-","-","Chassis, Components, Hardware, Servo(s), Tool(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/98062_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_98062.jpg,1890-1004-ND,98062,"Makeblock Co., LTD.",MBOT RANGER ADD-ON PACK LASER SW,16,0,"44.99000","0","1","mBot Ranger","Active","Robot Components","-","Makeblock Me","-","-","Cable(s), Chassis, Components, Hardware, Sensor(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/P1020002_Web.pdf,-,1890-1118-ND,P1020002,"Makeblock Co., LTD.",MBOT & MBOT RANGER ADD-ON PACK P,10,0,"49.99000","0","1","-","Active","Robot Components","-","Makeblock Me","-","-","Beam(s), Bracket(s), Cable(s), Components, LED(s), Motor, Plate(s), Screw(s), Sensor(s)"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/4TR_BITBOT_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_4TR-BITBOT.jpg,1778-1125-ND,4TR-BITBOT,Pimoroni Ltd,BIT:BOT,20,0,"51.76000","0","1","-","Active","Wheeled","-","-","-","-","Board(s), Chassis, Components, Hardware, Motor(s), Wheel(s)"
http://www.globalspecialties.com/media/k2/attachments/GSK-1110_manual.pdf,-,GSK-1110-ND,GSK-1110,Global Specialties,OBSTACLE AVOIDING ROBOT,9,0,"62.60000","0","1","-","Active","Robot Components","ATTINY2313","-","WinAVR","-","Board, Components, Manual, Motor, Sensor, Wheel"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/4506_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_4506.jpg,4506-KI-ND,4506,Kitronik Ltd.,MEARM ROBOT MICRO:BIT KIT - ORAN,7,0,"76.24000","0","1","-","Active","Arm","-","micro:bit","Javascript, Microsoft MakeCode, Python","-","Chassis, Components, Hardware, Servo(s), Tool(s)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/ROB0118_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_ROB0118.jpg,1738-1384-ND,ROB0118,DFRobot,TURTLE KIT: A 2WD DIY ARDUINO RO,24,0,"101.97000","0","1","-","Active","Wheeled","ATmega328P","Arduino R3 Shield, Gravity","Arduino IDE","DFRobot Romeo BLE","Board(s), Chassis, Components, Hardware, Motor(s), Servo(s), Wheel(s)"
https://github.com/joanna1122/MaxBot/raw/master/MaxBot%20Installation%20Manual-20180706.pdf,-,1738-1459-ND,ROB0147,DFRobot,MAX:BOT DIY PROGRAMMABLE ROBOT K,15,0,"122.57000","0","1","Max:Bot","Active","Wheeled","URM37","micro:bit","Microsoft MakeCode, Python","micro:bit","Board(s), Chassis, Components, Hardware, Motor(s), Sensor(s), Wheel(s)"
http://download.mikroe.com/documents/specials/educational/buggy/buggy-development-platform-manual-v102.pdf,//media.digikey.com/Photos/MikroElektronika/MFG_MIKROE-1749.jpg,1471-1644-ND,MIKROE-1749,MikroElektronika,BUGGY KIT FOR STM32,2,0,"162.18000","0","1","BUGGY","Active","Wheeled","STM32","mikroBUS™ Click™","-","-","BLE P Click Board(s), Buggy Kit, Clicker 2 Board(s)"
https://www.parallax.com/sites/default/files/downloads/32702-cyberbot-board-guide-v1.0.pdf,-,32700PAR-ND,32700,Parallax Inc.,CYBER:BOT ROBOT KIT W_MICRO:BIT,7,0,"187.50000","0","1","-","Active","Wheeled","-","micro:bit","Python","-","Board(s), Cable(s), Chassis, Components, Hardware, Servo(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/YetiBorg_V2_4WD_Robot_Kit_Web.pdf,-,1910-1119-ND,PIS-0938,Pi Supply,YETIBORG V2 4WD ROBOT KIT,5,0,"230.99000","0","1","YetiBorg","Active","Wheeled","BCM2835","Raspberry Pi pHAT","-","Raspberry Pi Zero","Board(s), Components, Hardware, Motor(s), Wheel(s), Wire(s)"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/DiddyBorg_V2_Robot_Kit_Purple_Web.pdf,-,1910-1118-ND,PIS-0937,Pi Supply,DIDDYBORG V2 ROBOT KIT PURPLE,5,0,"307.99000","0","1","DiddyBorg","Active","Wheeled","-","Raspberry Pi pHAT","-","-","Chassis, Components, Hardware, Motor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/PIS-0936_Web.pdf,-,1910-1117-ND,PIS-0936,Pi Supply,MONSTERBORG THE ULTIMATE RASPBER,4,0,"307.99000","0","1","MonsterBorg","Active","Wheeled","-","Raspberry Pi pHAT","-","-","Hardware, Motor(s), Screw(s), Wheel(s), Wire(s)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4205_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/4205.jpg,1528-2964-ND,4205,Adafruit Industries LLC,BLACK MULTI-HUB WHEEL FOR TT / L,60,0,"1.95000","0","1","-","Active","Wheeled","-","-","-","-","Motor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3796_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3796-07.jpg,1528-2610-ND,3796,Adafruit Industries LLC,PURPLE ALUMINUM CHASSIS,36,0,"14.95000","0","1","-","Active","Robot Components","-","-","-","-","Chassis"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/4TR_RBITBUG_Web.pdf,//media.digikey.com/photos/Pimoroni%20Photos/MFG_4TR-RBITBUG-PRIMARY.jpg,1778-1201-ND,4TR-RBITBUG,Pimoroni Ltd,ROBO:BIT MK2 - BUGGY FOR THE MIC,28,0,"32.79000","0","1","-","Obsolete","Wheeled","-","-","-","-","Chassis, Components, Hardware, Motor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/98000_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_98000.jpg,1890-1005-ND,98000,"Makeblock Co., LTD.",MAKEBLOCK ROBOTIC ARM ADD-ON PAC,2,0,"89.99000","0","1","-","Obsolete","Gripper","-","Makeblock Me","-","-","Beam(s), Components, Gripper(s), Hardware, Motor(s)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/110090161_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_110090161.jpg,1597-1597-ND,110090161,"Seeed Technology Co., Ltd",HICAT LIVERA ROBOT KIT,2,0,"126.23000","0","1","HICAT Livera","Active","Wheeled","ATmega32U4","Arduino R3 Shield","Arduino IDE","Livera","Board(s), Chassis, Components, Hardware, Manual, Motor(s), Wheel(s)"
http://www.ti.com/lit/pdf/spmu168,//media.digikey.com/Photos/Texas%20Instr%20Photos/EKS-EVALBOT.jpg,296-28322-ND,EKS-EVALBOT,Texas Instruments,KIT EVLBOT CODE COMPOSR LM3S9B92,2,0,"135.22000","0","1","Stellaris®","Obsolete","Robot Components","LM3S9B92","-","-","-","Board(s), Cable(s), Components, Hardware, Wheel(s)"
http://www.ti.com/lit/pdf/spmu167,//media.digikey.com/Photos/Texas%20Instr%20Photos/EKI-EVALBOT.jpg,296-28324-ND,EKI-EVALBOT,Texas Instruments,KIT EVALBOT W/IAR TOOLS LM3S9B92,2,0,"141.92000","0","1","Stellaris®","Obsolete","Robot Components","LM3S9B92","-","-","-","Board(s), Cable(s), Components, Hardware, Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/110090162_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_110090162.jpg,1597-1598-ND,110090162,"Seeed Technology Co., Ltd",ROBOBLOQ QOOPERS 6-IN-1 TRANSFOR,8,0,"183.59000","0","1","Qoopers","Active","Wheeled","ATmega2560","-","Arduino IDE","Qmind Plus","Board(s), Chassis, Components, Hardware, Motor(s), Wheel(s)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/ROB0148_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_ROB0148.jpg,1738-1454-ND,ROB0148,DFRobot,MICRO: MAQUEEN MICRO:BIT ROBOT P,0,0,"21.53000","0","1","-","Active","Wheeled","-","micro:bit","Microsoft MakeCode, Python","-","Fully Assembled"
https://www.parallax.com/sites/default/files/downloads/570-28015-Ping-Mounting-Bracket-Documentation-v2.0.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_570-28015.jpg,570-28015-ND,570-28015,Parallax Inc.,KIT MOUNTING BRACKET PING))),3,0,"23.26000","0","1","PING)))™","Active","Robot Components","-","-","-","-","Bracket(s), Cable(s), Hardware, Servo(s)"
https://www.parallax.com/sites/default/files/downloads/28106-Tank-Treads-Kit-Documentation-v2.1.pdf,//media.digikey.com/photos/Parallax%20Photos/MFG_28106.jpg,28106-ND,28106,Parallax Inc.,KIT TREAD FOR BOE-BOT TANK,3,0,"28.43000","0","1","-","Active","Robot Components","-","-","-","-","Hardware, Treads, Wheel(s)"
http://image.dfrobot.com/image/data/FIT0045/Pan-tilt--assembly-guide-v0.1.rar,//media.digikey.com/Photos/DFRobot/MFG_FIT0045.jpg,1738-1233-ND,FIT0045,DFRobot,DF05BB TILT/PAN KIT,1,0,"29.92000","0","1","-","Active","Pan/Tilt","-","-","-","-","Bracket(s), Hardware, Servo(s)"
https://www.parallax.com/sites/default/files/downloads/29321-36-Pos-Encoder-Set-v1.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/29321.jpg,29321-ND,29321,Parallax Inc.,36 POSITION QUAD ENCODER,3,0,"39.99000","0","1","-","Active","Robot Components","-","-","-","-","Cable(s), Encoder(s), Encoder Wheel(s), Hardware"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0046_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0046.jpg,1738-1234-ND,FIT0046,DFRobot,DF15MG TILT/PAN KIT,0,0,"40.22000","0","1","-","Active","Pan/Tilt","-","-","-","-","Bracket(s), Hardware, Servo(s)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/ROB0102_Web.pdf,//media.digikey.com/photos/DFRobot/ROB0102.jpg,1738-1211-ND,ROB0102,DFRobot,CHEROKEY 4WD MOBILE ROBOT,2,0,"51.40000","0","1","Cherokey","Active","Wheeled","-","Xbee","-","-","Board(s), Chassis, Hardware, Motor(s), Wheel(s)"
