Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Mounting Type","Package / Case","Supplier Device Package"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2401P+CT-ND,DS2401P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,20440,0,"1.93000","0","1","Cut Tape (CT)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2401P+DKR-ND,DS2401P+T&R,Maxim Integrated,IC SILICON SERIAL NUMBER 6TSOC,20440,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT223-3L.jpg,DS2401Z+T&RTR-ND,DS2401Z+T&R,Maxim Integrated,IC SILICON SER NUMBER SOT223-3,15000,17500,"0.96188","0","2500","Tape & Reel (TR)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-261-4, TO-261AA","SOT-223-3"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT223-3L.jpg,DS2401Z+T&RCT-ND,DS2401Z+T&R,Maxim Integrated,IC SILICON SER NUMBER SOT223-3,15453,17500,"2.16000","0","1","Cut Tape (CT)","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-261-4, TO-261AA","SOT-223-3"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT223-3L.jpg,DS2401Z+T&RDKR-ND,DS2401Z+T&R,Maxim Integrated,IC SILICON SER NUMBER SOT223-3,15453,17500,"Digi-Reel","0","1","Digi-Reel®","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Surface Mount","TO-261-4, TO-261AA","SOT-223-3"
https://datasheets.maximintegrated.com/en/ds/DS28E15.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS28E15P+TTR-ND,DS28E15P+T,Maxim Integrated,IC EEPROM 512 1WIRE 6TSOC,4000,0,"1.00980","0","4000","Tape & Reel (TR)","DeepCover®","Active","Authentication Chip","Authentication, Security","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS28E15.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS28E15P+TCT-ND,DS28E15P+T,Maxim Integrated,IC EEPROM 512 1WIRE 6TSOC,7823,0,"1.60000","0","1","Cut Tape (CT)","DeepCover®","Active","Authentication Chip","Authentication, Security","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS28E15.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS28E15P+TDKR-ND,DS28E15P+T,Maxim Integrated,IC EEPROM 512 1WIRE 6TSOC,7823,0,"Digi-Reel","0","1","Digi-Reel®","DeepCover®","Active","Authentication Chip","Authentication, Security","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS2413.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2413P+TR-ND,DS2413P+T&R,Maxim Integrated,IC ADDRESSABLE SWITCH 6TSOC,4000,0,"1.32668","0","4000","Tape & Reel (TR)","-","Active","Addressable Switch","Accessory ID and Control, Industrial Controllers, LED Control, System Monitoring","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS2413.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2413P+CT-ND,DS2413P+T&R,Maxim Integrated,IC ADDRESSABLE SWITCH 6TSOC,4596,0,"2.72000","0","1","Cut Tape (CT)","-","Active","Addressable Switch","Accessory ID and Control, Industrial Controllers, LED Control, System Monitoring","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/DS2413.pdf,//media.digikey.com/photos/Maxim%20Photos/406-6-TSOC.jpg,DS2413P+DKR-ND,DS2413P+T&R,Maxim Integrated,IC ADDRESSABLE SWITCH 6TSOC,4596,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Addressable Switch","Accessory ID and Control, Industrial Controllers, LED Control, System Monitoring","Surface Mount","6-LSOJ (0.148"", 3.76mm Width)","6-TSOC"
https://datasheets.maximintegrated.com/en/ds/MAX4505.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,MAX4505EUK+TTR-ND,MAX4505EUK+T,Maxim Integrated,IC OVERVOLTAGE PROT SOT23-5,2500,12500,"1.62992","0","2500","Tape & Reel (TR)","-","Active","Overvoltage Protection","Control Systems","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://datasheets.maximintegrated.com/en/ds/MAX4505.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,MAX4505EUK+TCT-ND,MAX4505EUK+T,Maxim Integrated,IC OVERVOLTAGE PROT SOT23-5,2742,12500,"3.49000","0","1","Cut Tape (CT)","-","Active","Overvoltage Protection","Control Systems","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://datasheets.maximintegrated.com/en/ds/MAX4505.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-5%20PKG.jpg,MAX4505EUK+TDKR-ND,MAX4505EUK+T,Maxim Integrated,IC OVERVOLTAGE PROT SOT23-5,2742,12500,"Digi-Reel","0","1","Digi-Reel®","-","Active","Overvoltage Protection","Control Systems","Surface Mount","SC-74A, SOT-753","SOT-23-5"
https://pdfserv.maximintegrated.com/en/ds/DS2401.pdf,//media.digikey.com/photos/Maxim%20Photos/406-TO-92.jpg,DS2401+-ND,DS2401+,Maxim Integrated,IC SILICON SERIAL NUMBER TO92-3,4478,0,"1.88000","0","1","Bulk","-","Active","Silicon Serial Number","PCB, Network Node, Equipment Identification/Registration","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8232.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-20-10;CP;20.jpg,AD8232ACPZ-R7TR-ND,AD8232ACPZ-R7,Analog Devices Inc.,IC ECG FRONT END 20LFCSP,3000,0,"1.92304","0","1500","Tape & Reel (TR)","-","Active","ECG Front End","Heart Rate Monitoring","Surface Mount","20-WFQFN Exposed Pad, CSP","20-LFCSP-WQ (4x4)"
