Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Features"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,080026ID-ND,080026ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,081026ID-ND,081026ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","200i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,080050ID-ND,080050ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,0LX4010D-ND,0LX4010D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_200i-400i%20WEB.jpg,080410ID-ND,080410ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,-,0PV4010D-ND,0PV4010D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400i PVC","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,-,0PV4013D-ND,0PV4013D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","400i PVC","Obsolete","Mobile Unit","120V","-"
-,-,080751D-ND,080751D,MENDA/EasyBraid,800 VOLUME CONTROL 230V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
-,-,080752D-ND,080752D,MENDA/EasyBraid,800 VOLUME CONTROL 120V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
-,-,080753D-ND,080753D,MENDA/EasyBraid,800 VACUUM CONTROL 230V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
-,-,080754D-ND,080754D,MENDA/EasyBraid,800 VACUUM CONTROL 120V,0,0,"Obsolete","0","1","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080502D-ND,080502D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080503D-ND,080503D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080505D-ND,080505D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080507D-ND,080507D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080500D-ND,080500D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080501D-ND,080501D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080504D-ND,080504D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_800i%20WEB.jpg,080506D-ND,080506D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","800i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,0LX1510D-ND,0LX1510D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","1500i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,0LX1511D-ND,0LX1511D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","1500i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,021820ID-ND,021820ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","1500i","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,021821ID-ND,021821ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","1500i","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,0LX2010D-ND,0LX2010D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 400V,0,0,"Obsolete","0","1","2000i","Obsolete","Mobile Unit","400V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,022120ID-ND,022120ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 400V,0,0,"Obsolete","0","1","2000i","Obsolete","Mobile Unit","400V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_1500i-2000i%20WEB.jpg,022121ID-ND,022121ID,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 220V,0,0,"Obsolete","0","1","2000i","Obsolete","Mobile Unit","220V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_5000i%20WEB.jpg,0LX5550D-ND,0LX5550D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 400V,0,0,"Obsolete","0","1","5000i","Obsolete","Mobile Unit","400V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_5000i%20WEB.jpg,044250D-ND,044250D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 400V,0,0,"Obsolete","0","1","5000i","Obsolete","Mobile Unit","400V","-"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_5000i%20WEB.jpg,044251D-ND,044251D,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 220V,0,0,"Obsolete","0","1","5000i","Obsolete","Mobile Unit","220V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL2102-ND,0AL2102,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","200","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL2103-ND,0AL2103,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","200","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL4136-ND,0AL4136,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_ALPHA%20WEB.jpg,0AL4137-ND,0AL4137,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","400","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_XBASE%20WEB.jpg,0AL2106-ND,0AL2106,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","Xbase","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_XBASE%20WEB.jpg,0AL2107-ND,0AL2107,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Xbase","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_XBASE%20WEB.jpg,0AL4104-ND,0AL4104,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","Xbase","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_FUMECUBE%20WEB.jpg,072067-ND,072067,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","FumeCube","Obsolete","Mobile Unit","120V","-"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_FUMECUBE%20MAX%20WEB.jpg,072115-HOSE-ND,072115 - HOSE,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","FumeCube MAX","Obsolete","Mobile Unit","230V","-"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_FUMECUBE%20MAX%20WEB.jpg,072116-HOSE-ND,072116 - HOSE,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","FumeCube MAX","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_072200.jpg,072200-ND,072200,MENDA/EasyBraid,FUME ABSRB MOBILE UNIT 120V/230V,0,0,"Obsolete","0","1","-","Obsolete","Mobile Unit","120V, 230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_072120.jpg,072120-ND,072120,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","-","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_FUMEBUSTER%20WEB.jpg,070362-ND,070362,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 230V,0,0,"Obsolete","0","1","FumeBuster","Obsolete","Mobile Unit","230V","-"
//media.digikey.com/pdf/Data%20Sheets/Easy%20Braid%20PDFs/Purex_Systems_Br.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_FUMECUBE%20WEB.jpg,072068-ND,072068,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","FumeCube","Obsolete","Mobile Unit","120V","-"
http://documents.desco.com/PDF/TB-4014.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35441.jpg,35441-ND,35441,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 220V,0,0,"Obsolete","0","1","Menda®","Obsolete","Mobile Unit","220V","-"
http://documents.desco.com/PDF/TB-4012.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35460.jpg,35460-ND,35460,MENDA/EasyBraid,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Menda®","Obsolete","Mobile Unit","120V","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/FumeExtractionBrochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_ZEROSMOG2KIT1.jpg,ZEROSMOG2KIT1-ND,ZEROSMOG2KIT1N,Apex Tool Group,FUME ABSORBER MOBILE UNIT 120V,0,0,"Obsolete","0","1","Zero Smog®","Obsolete","Mobile Unit","120V","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=130-1000-ESDN,-,130-1000-ESDN-ND,130-1000-ESDN,Apex Tool Group,FUME ABSORBER BENCH TOP 100-240V,0,0,"Active","0","0","Zero Smog®","Active","Bench Top","100 ~ 240V","-"
-,-,17701AS-ND,17701AS,Aven Tools,FUME ABSORBER BENCH TOP 120V,0,0,"Obsolete","0","1","-","Obsolete","Bench Top","120V","ESD Safe"
