Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Temperature","Tip - Type","Workstand","Power (Watts)","Voltage - Input","Features","Includes","For Use With/Related Products"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920499N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052920499.jpg,T0052920499N-ND,T0052920499N,Apex Tool Group,SOLDERING IRON 55W 12V,41,0,"233.00000","0","1","Weller®, WXMP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","RTW3-MS","WDH50","55W","12V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0051317299.jpg,T0051317299N-ND,T0051317299N,Apex Tool Group,DESOLDERING TWEEZERS 80W 12V,46,0,"303.00000","0","1","Weller®, WMRT","Active","Tweezers, Desoldering","-","RTW2","Not Included","80W","12V","Auto Off, ESD Safe, Standby","-","WR3M, WR3ME, WD""M"" Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052919099N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0052919099.jpg,T0052919099N-ND,T0052919099N,Apex Tool Group,SOLDERING IRON 55W 12V,39,0,"331.00000","0","1","Weller®, WMRP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","RT3","WDH50","55W","12V","ESD Safe","-","WD1M, WD2M, WR3M, WR3ME"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051317399N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0051317399.JPG,T0051317399N-ND,T0051317399N,Apex Tool Group,DESOLDERING TWEEZERS 80W 12V,33,0,"399.00000","0","1","Weller®, WMRT","Active","Tweezers, Desoldering","-","RTW2","WMRTH","80W","12V","Auto Off, ESD Safe, Standby","-","WR3M, WR3ME, WD""M"" Series"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/SP25NUS.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP25NUS.jpg,SP25NUS-ND,SP25NUS,Apex Tool Group,SOLDERING IRON 25W 120V,105,0,"19.10000","0","1","Weller®","Active","Iron","Up to 750°F (400°C)","MT1 (Conical)","Not Included","25W","120V","LED Light (3), Soft Grip","-","-"
https://www.hakkousa.com/files/index/download/id/15261/,//media.digikey.com/photos/Hakko/FM2027-02.jpg,1691-1051-ND,FM2027-02,"American Hakko Products, Inc.",DESOLDERING TOOL 70W 24V,73,0,"77.97000","0","1","-","Active","Tool, Desoldering","-","Not Included","Not Included","70W","24V","Locking Connector Assembly, Modular","Locking Connector Assembly","FM-206, FM-205, FM-204, FM-203, FM-202, FP-102, FX-952"
https://www.hakkousa.com/files/index/download/id/15261/,//media.digikey.com/Photos/Hakko/FM2027-01.jpg,1691-1050-ND,FM2027-01,"American Hakko Products, Inc.",DESOLDERING TOOL 70W 24V,88,0,"87.97000","0","1","-","Active","Handpiece","-","Not Included","Not Included","70W","24V","Locking Connector Assembly, Modular","Tip Removal Pad, Locking Connector Assembly","FM-206, FM-205, FM-204, FM-203, FM-202, FP-102, FX-951"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_PSI100C.jpg,PSI100C-ND,PSI100C,Apex Tool Group,SOLDERING IRON CORDLESS 125W,52,0,"88.00000","0","1","Weller®, Portasol®","Active","Iron, Cordless (Butane)","Up to 1076°F (580°C)","PSI7","Not Included","125W","-","Auto Off, Electronic Ignition, ESD Safe","Butane Cartridge","-"
-,//media.digikey.com/Photos/Hakko/MFG_FM2027-03.jpg,1691-1052-ND,FM2027-03,"American Hakko Products, Inc.",SOLDERING IRON,35,0,"120.37000","0","1","-","Active","Iron","-","Not Included","FH200-01","-","-","Locking Connector Assembly, Modular, Sleep Mode","Cable, Grip, Tip Removal Pad, Locking Connector Assembly, Tip Cleaner","FM-203, FM-204"
https://www.hakkousa.com/files/index/download/id/18376/,"//media.digikey.com/Photos/American%20Hakko%20Products,%20Inc/MFG_FR301-03%5EP.jpg",1691-1307-ND,FR301-03/P,"American Hakko Products, Inc.",PORTABLE DESOLDERING TOOL,70,0,"318.47000","0","1","-","Active","Gun, Desoldering","660°F ~ 930°F (350°C ~ 500°C)","Not Included","C5003","140W","120V","Ergonomic, Internal Air, Quick Change Tips, Solder Collection Chamber, Temperature Control","Case, Cleaning Pins, Filters, Holder, Manual, Wrench","-"
http://www.avenconnect.com/product_sheets/17521.pdf,//media.digikey.com/Photos/Aven%20Photos/17521.jpg,243-1267-ND,17521,Aven Tools,SOLDERING IRON 40W,203,0,"10.54000","0","1","-","Active","Iron","Up to 900°F (482°C)","Included, Not Specified","Not Included","40W","-","Non Slip, Soft Grip","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__main_nr=54323,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0058770715_View-1.jpg,T0058770715-ND,T0058770715,Apex Tool Group,SOLDERING IRON 70W 23V FOR WEP70,63,0,"58.00000","0","1","Weller® WE","Active","Iron","-","ETA","-","-","-","-","-","WE1010NA"
http://www.steinel.net/Customized/uploads/PDFs/TS_600_Data.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_72601.jpg,SDL1850-ND,110049876,Steinel America,SOLDERING IRON CORDLESS 30-125W,16,0,"86.79000","0","1","ThermaSolder™ 600","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","30W ~ 125W","-","Electric Ignition","Case, Protective Cap, Solder, Spare Orifice, Sponge","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052921399N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0052921399.jpg,T0052921399N-ND,T0052921399N,Apex Tool Group,HANDPIECE 55W 12V,12,0,"181.00000","0","1","Weller®, WXMP","Active","Handpiece","200°F ~ 850°F (100°C ~ 450°C)","Not Included","Not Included","55W","12V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051318099N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0051318099.jpg,T0051318099N-ND,T0051318099N,Apex Tool Group,DESOLDERING SOLDER IRON 80W 24V,5,0,"253.00000","0","1","Weller®, DXV","Active","Iron, Desoldering","200°F ~ 850°F (93°C ~ 454°C)","-","Not Included","80W","24V","Internal Collection Chamber, Vacuum Pump","-","WR Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053313399N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0053313399.jpg,T0053313399N-ND,T0053313399N,Apex Tool Group,DESOLDERING TWEEZERS 50W 24V,19,0,"263.00000","0","1","Weller®, WTA","Active","Tweezers, Desoldering","200°F ~ 850°F (100°C ~ 450°C)","WTA1","AK51","50W","24V","Dual Heating Elements, ESD Safe","-","WD, WR, WRS Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052921299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0052921299.jpg,T0052921299N-ND,T0052921299N,Apex Tool Group,SOLDERING IRON 65W 24V,21,0,"296.00000","0","1","Weller®, WXP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XNTA","WDH10","65W","24V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920299N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0052920299N.jpg,T0052920299N-ND,T0052920299N,Apex Tool Group,SOLDERING IRON 120W 24V,11,0,"303.00000","0","1","Weller®, WXP","Active","Iron","150°F ~ 850°F (50°C ~ 450°C)","XTB","WDH10T","120W","24V","-","-","WX1, WX2, WX1010, WX2020 Stations"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920699N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_0052920699.jpg,T0052920699N-ND,T0052920699N,Apex Tool Group,SOLDERING IRON 200W 24V,2,0,"315.00000","0","1","Weller®, WXP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XHTD","WDH31","200W","24V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14456_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14456.jpg,1568-1752-ND,TOL-14456,SparkFun Electronics,SOLDERING IRON - 60W (ADJUSTABLE,73,0,"12.95000","0","1","-","Active","Iron","536°F ~ 896°F (280°C ~ 480°C)","Included, Not Specified","Not Included","60W","110V","Adjustable Temperature","Cable","-"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1262%20Weller%20Cons%20Irons%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP25NKUS.jpg,SP25NKUS-ND,SP25NKUS,Apex Tool Group,SOLDERING IRON 25W 120V,16,0,"22.50000","0","1","Weller®","Active","Iron","Up to 750°F (400°C)","Mt1, MT2, MT3","Not Included","25W","120V","LED Light (3), Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/SP40NUS.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP40NUS.jpg,SP40NUS-ND,SP40NUS,Apex Tool Group,SOLDERING IRON 40W 120V,14,0,"22.50000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","MT10 (Chisel)","Not Included","40W","120V","LED Light (3), Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/SP40NKUS.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP40NKUS.jpg,SP40NKUS-ND,SP40NKUS,Apex Tool Group,SOLDERING IRON 40W 120V,66,0,"27.00000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","MT10, ST3, ST7","Included, Not Specified","40W","120V","LED Light (3), Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/SP80NUS.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_SP80NUS.jpg,SP80NUS-ND,SP80NUS,Apex Tool Group,SOLDERING IRON 80W 120V,43,0,"31.50000","0","1","Weller®","Active","Iron","Up to 900°F (482°C)","MTG20 (Chisel)","Not Included","80W","120V","LED Light (3), Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WM120.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/WM120.jpg,WM120-ND,WM120,Apex Tool Group,SOLDERING IRON 12W 120V,23,0,"50.00000","0","1","Weller®","Active","Iron","800°F (427°C)","MP131 (Conical)","Not Included","12W","120V","-","-","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_P2C.jpg,P2C-ND,P2C,Apex Tool Group,SOLDERING IRON CORDLESS 25-75W,84,0,"52.00000","0","1","Weller®, Portasol®","Active","Iron, Cordless (Butane)","Up to 850°F (454°C)","PPT6","Not Included","25~75W","-","Electronic Ignition, ESD Safe","Butane Cartridge","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/photos/Cooper%20Industries%20Photos/WP30.jpg,WP30-ND,WP30,Apex Tool Group,SOLDERING IRON 30W 120V,34,0,"53.00000","0","1","Weller®","Active","Iron","800°F (427°C)","ST3","Not Included","30W","120V","Soft Grip","-","-"
http://www.steinel.net/Customized/uploads/PDFs/TS_600_Data.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_72600.jpg,SDL1800-ND,110049875,Steinel America,SOLDERING IRON CORDLESS 30-125W,21,0,"58.21000","0","1","ThermaSolder™ 600","Active","Iron, Cordless (Butane)","Up to 2400°F (1316°C)","Included, Not Specified","Not Included","30W ~ 125W","-","Electric Ignition","Butane Cartridge, Case, Protective Cap, Spare Orifice, Sponge","-"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/photos/Cooper%20Industries%20Photos/WP35.jpg,WP35-ND,WP35,Apex Tool Group,SOLDERING IRON 35W 120V,41,0,"61.00000","0","1","Weller®","Active","Iron","Up to 850°F (454°C)","ST3","Not Included","35W","120V","Soft Grip","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/D550PK.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/D550PK.jpg,D550PK-ND,D550PK,Apex Tool Group,SOLDERING GUN 200W 260W 120V,19,0,"73.00000","0","1","Weller®","Active","Gun","Up to 1100°F (593°C)","6150, 6160, 7250","Not Included","200W, 260W","120V","LED Light","Case","-"
https://hakko-production-images.s3.amazonaws.com/production/digital_catalog/pub/Hakko_Catalog_2016_Web.pdf,//media.digikey.com/Photos/Hakko/MFG_FX8801-02.jpg,1691-1081-ND,FX8801-02,"American Hakko Products, Inc.",SOLDERING IRON 65W 26V,19,0,"78.77000","0","1","-","Active","Iron","-","T18-D16","Not Included","65W","26V","Ergonomic","-","FX-888D, FX-888"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/D650_IS.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/D650.jpg,D650-ND,D650,Apex Tool Group,SOLDERING GUN 200W 260W 120V,16,0,"88.00000","0","1","Weller®","Active","Gun","900°F/1100°F (482°C/593°C)","7250W","Not Included","200W, 300W","120V","Light","-","-"
https://www.hakkousa.com/files/index/download/id/17797/,//media.digikey.com/Photos/Hakko/MFG_FX600-05_v2.jpg,1691-1079-ND,FX600-05/P,"American Hakko Products, Inc.",SOLDERING IRON 74W 120V,6,0,"92.37000","0","1","-","Active","Iron","400°F ~ 932°F (200°C ~ 500°C)","T18-B","Not Included","74W","120V","Temperature Control","-","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_UT_100Si_UT-200Si_Manual.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/UT-100SI.JPG,MA1024-ND,UT-100SI,Master Appliance Co,SOLDERING IRON CORDLESS,6,0,"113.74000","0","1","Ultratorch®","Active","Iron, Cordless (Butane)","Up to 1228°F (664°C)","Included, Not Specified","Not Included","-","-","Switch Ignition","Butane Cartridge, Protective Cap","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_UT_100Si_UT-200Si_Manual.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/UT-100SIK.JPG,MA1022-ND,UT-100SIK,Master Appliance Co,SOLDERING IRON CORDLESS,7,0,"124.24000","0","1","Ultratorch®","Active","Iron, Cordless (Butane)","Up to 2500°F (1371°C)","70-01-02, 70-01-52, 70-01-55","Not Included","-","-","Switch Ignition","Butane Cartridge, Case, Sponge, Wrench","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_UT_100Si_UT-200Si_Manual.pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/UT-100SI-TC.JPG,MA1025-ND,UT-100SI-TC,Master Appliance Co,SOLDERING IRON CORDLESS,12,0,"171.78000","0","1","Ultratorch®","Active","Iron, Cordless (Butane)","Up to 1202°F (650°C)","70-01-02, 70-01-05, 70-01-11, 70-01-16, 70-01-52, 70-01-55","Not Included","-","-","Switch Ignition","Butane Cartridge, Case, Pliers, Protective Cap, Solder, Sponge, Wire Cutter, Wrench","-"
http://www.chipquik.com/datasheets/TV-100-PB.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/TV-100-PB.jpg,TV-100-PB-ND,TV-100-PB,Chip Quik Inc.,DESOLDERING TWEEZERS,7,0,"172.80000","0","1","Tweezer-Vac™","Active","Vacuum System, Tweezers","-","-","Not Included","8W","110V","Internal Air, Vacuum","-","-"
https://www.hakkousa.com/files/index/download/id/17434/,//media.digikey.com/Photos/Hakko/MFG_FM2032-52_cmyk.jpg,1691-1055-ND,FM2032-52,"American Hakko Products, Inc.",SOLDERING IRON 48W 24V,18,0,"173.67000","0","1","-","Active","Iron","400°F ~ 840°F (200°C ~ 450°C)","Not Included","FH200-51","48W","24V","Burn Resistant Cord, Cool Running, ESD Safe, Quick Change Tips","Cable, Tip Removal Pad","FX-951, FM-203, FM-206"
https://www.hakkousa.com/files/index/download/id/17251/,//media.digikey.com/Photos/Hakko/FX8804-02.jpg,1691-1082-ND,FX8804-02,"American Hakko Products, Inc.",DESOLDERING TWEEZERS 65W 26V,11,0,"186.47000","0","1","-","Active","Tweezers, Desoldering","392°F ~ 750°F (200°C ~ 400°C)","A1378","Not Included","65W","26V","Quick Change Tips","Tip Removal Pad","FX-888, FX-888D, FX-889"
https://www.hakkousa.com/files/index/download/id/17552/,//media.digikey.com/Photos/Hakko/FM2023-02.jpg,1691-1046-ND,FM2023-02,"American Hakko Products, Inc.",DESOLDERING TWEEZERS 140W 24V,14,0,"199.97000","0","1","Mini Hot","Active","Tweezers, Desoldering","400°F ~ 750°F (200°C ~ 400°C)","T9-I","Not Included","140W","24V","Dual Action","-","FM-202, FM-203, FM-206"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052917099N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0052917099.JPG,T0052917099N-ND,T0052917099N,Apex Tool Group,SOLDERING IRON 150W,9,0,"214.00000","0","1","Weller®, WSP","Active","Iron","200°F ~ 950°F (100°C ~ 500°C)","LHTF","Not Included","150W","-","ESD Safe","Wrench","WD2, WD""M"""
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052920599N,//media.digikey.com/Photos/Apex%20Tool%20Photos/0052920599.jpg,T0052920599N-ND,T0052920599N,Apex Tool Group,SOLDERING IRON 200W 24V,11,0,"238.00000","0","1","Weller®, WXP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XHTD","WDH31","200W","24V","ESD Safe","-","WX1, WX2, WXA2, WXD2"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051317999N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0051317999N.JPG,T0051317999N-ND,T0051317999N,Apex Tool Group,DESOLDERING TWEEZERS 80W 12V,3,0,"241.00000","0","1","Weller®, WXMT","Active","Tweezers, Desoldering","200°F ~ 850°F (100°C ~ 450°C)","-","Not Included","80W","12V","Motion Sensing","-","WX Series"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052922399N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_T0052922399.jpg,T0052922399N-ND,T0052922399N,Apex Tool Group,SOLDERING IRON 90W 24V,17,0,"248.00000","0","1","Weller®","Active","Iron","150°F ~ 850°F (50°C ~ 450°C)","Included, Not Specified","WSR200","90W","24V","-","-","WT1"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052919399N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0052919399.JPG,T0052919399N-ND,T0052919399N,Apex Tool Group,SOLDERING IRON 120W 24V,9,0,"256.00000","0","1","Weller®, WP","Active","Iron","200°F ~ 850°F (100°C ~ 450°C)","XTB","Not Included","120W","24V","ESD Safe","-","W2M, WD1M, WD2, WR"
https://www.hakkousa.com/files/index/download/id/17554/,//media.digikey.com/Photos/Hakko/MFG_FM2022-05.jpg,1691-1045-ND,FM2022-05,"American Hakko Products, Inc.",DESOLDERING TWEEZERS 140W 24V,12,0,"263.77000","0","1","-","Active","Tweezers, Desoldering","400°F ~ 750°F (200°C ~ 400°C)","Not Included","FH200-03","140W","24V","Sleep Mode","Cable, Tip Removal Pad, Sponge","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051319099N,//media.digikey.com/photos/Cooper%20Industries%20Photos/0051319099.JPG,T0051319099N-ND,T0051319099N,Apex Tool Group,DESOLDERING SOLDER IRON 120W 24V,6,0,"280.00000","0","1","Weller®, DXV","Active","Iron, Desoldering","200°F ~ 850°F (93°C ~ 454°C)","-","Not Included","80W","24V","Threadless Nozzles","-","WD, WR Series"
https://www.hakkousa.com/files/index/download/id/17688/,//media.digikey.com/Photos/Hakko/MFG_FM2023-05.jpg,1691-1047-ND,FM2023-05,"American Hakko Products, Inc.",DESOLDERING TWEEZERS 140W 24V,17,0,"302.47000","0","1","Mini Hot","Active","Tweezers, Desoldering","400°F ~ 750°F (200°C ~ 400°C)","T9-I","FH200-04","140W","24V","Dual Action","Component Bed, Tip Removal Pad, Sponge","FM-202, FM-203, FM-206"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052711999N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0052711999.jpg,T0052711999N-ND,T0052711999N,Apex Tool Group,SOLDERING IRON HOT AIR 200W 24V,2,0,"354.00000","0","1","Weller®, WXHAP200","Active","Iron, Hot Air","100°F ~ 1000°F (50°C ~ 550°C)","F, R, D, Q","-","200W","24V","Ergonomic, ESD Safe","-","WXA2"
http://www.chipquik.com/datasheets/TV-1000.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/TV-1000.jpg,TV-1000-ND,TV-1000,Chip Quik Inc.,DESOLDERING TWEEZERS,6,0,"363.00000","0","1","Tweezer-Vac™","Active","Vacuum System, Tweezers","-","-","Built In","8W","110V","ESD Safe, Internal Air, Vacuum","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051320599N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0051320599.jpg,T0051320599N-ND,T0051320599N,Apex Tool Group,DESOLDERING SOLDER IRON 120W 24V,8,0,"386.00000","0","1","Weller®, WXDV","Active","Iron, Desoldering","200°F ~ 850°F (93°C ~ 454°C)","-","WDH40","120W","24V","Internal Collection Chamber","-","WX Series"
-,"//media.digikey.com/Photos/American%20Hakko%20Products,%20Inc/MFG_503F-V12ED%5EP.jpg",1691-1002-ND,503F-V12ED/P,"American Hakko Products, Inc.",SOLDERING IRON 60W,34,0,"13.07000","0","1","RED 503","Active","Iron","-","ED6","Not Included","60W","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2163_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2163.jpg,1528-1684-ND,2163,Adafruit Industries LLC,SOLDERING IRON 50W 120V,50,0,"29.95000","0","1","ATTEN","Active","Iron","392°F ~ 932°F (200°C ~ 500°C)","Included, Not Specified","Included, Not Specified","50W","120V","Adjustable Temperature, Ceramic Heating Element","-","-"
