Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Wattage","Voltage - Input","Plug Type","Voltage - Output","Number of Channels","Control/Display Type","Includes","Base Unit","Supplied Iron, Tweezer, Handle","Supplied Tips/Nozzles","Workstand","Temperature Range","Features"
http://www.avenconnect.com/product_sheets/17401%20Solder%20-%20Desoleder%20Station_V2_0917.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17401.jpg,243-1326-ND,17401,Aven Tools,DESOLDER SOLDR STA 60W 2 CH 110V,52,0,"345.42000","0","1","-","Active","Desoldering, Soldering","60W","110V","Included, Not Specified","130V","2","Digital","Iron Holder","-","Included, Not Specified","Included, Not Specified","Included, Not Specified","320°F ~ 900°F (160°C ~ 480°C)","Temperature Control"
https://www.hakkousa.com/files/index/download/id/17372/,//media.digikey.com/Photos/Hakko/FM203-01.jpg,1691-1056-ND,FM203-01,"American Hakko Products, Inc.",SOLDERING STATION 140W 2 CH 120V,36,0,"549.97000","0","1","-","Active","Soldering","140W","120V","NEMA 5-15P","24V","2","Digital","Heat Resistant Pad, Iron Holder, Key Card, Tip Tray","FM-203","FM-2027-06","Sold Separately","FH200-01","-","Auto off, ESD Safe, LED in Handpiece, Low Temperature Alarm, Sleep Mode, Temperature Lockout"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX1012N,//media.digikey.com/Photos/Apex%20Tool%20Photos/WX1012.JPG,WX1012N-ND,WX1012N,Apex Tool Group,SOLDERING STATION 200W 1 CH 120V,35,0,"605.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","24V","1","Digital","Iron Holder","WX1","WXP65","XNT1","WDH50","200°F ~ 850°F (100°C ~ 450°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
https://www.hakkousa.com/files/index/download/id/17783/,//media.digikey.com/Photos/Hakko/MFG_FR810B-05.jpg,1691-1225-ND,FR810B-05,"American Hakko Products, Inc.",REWORK STATION 820W 1 CH 120V,38,0,"873.17000","0","1","-","Active","Rework (Hot Air)","820W","120V","NEMA 5-15P","-","1","Digital","Heat Resistant Pad, Iron Holder, Pads (6), Vacuum Pipe Knob","FR-810B","-","-","B5048","-","Auto Off, ESD Safe, Password Lockout, Programmable"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/17400.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_17400.jpg,243-1228-ND,17400,Aven Tools,SOLDER STATION 60W 1 CH 110-130V,34,0,"136.30000","0","1","400","Active","Soldering","60W","110 ~ 130V","Included, Not Specified","-","1","Digital","Iron Holder","-","Included, Not Specified","Included, Not Specified","Included, Not Specified","320°F ~ 900°F (160°C ~ 480°C)","ESD Safe, LCD Display, Temperature Control"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WES51%20Analog%20Soldering%20Station.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/WES51.jpg,WES51-120V-ND,WES51,Apex Tool Group,SOLDERING STATION 50W 1 CH 120V,215,0,"156.00000","0","1","Weller®, WES","Obsolete","Soldering","50W","120V","NEMA 5-15","24V","1","Analog","Iron Holder, Probe","WES51PU","PES51","ETA","PH50","350°F ~ 850°F (177°C ~454°C)","ESD Safe, Temperature Control"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WTCPT,//media.digikey.com/photos/Cooper%20Industries%20Photos/WTCPT.jpg,WTCPT-ND,WTCPT,Apex Tool Group,SOLDERING STATION 60W 1 CH 120V,36,0,"222.00000","0","1","Weller®","Obsolete","Soldering","60W","120V","NEMA 5-15","24V","1","None","Iron Holder","PU120T","TC201T","PTA7","PH1201ESD","600° ~ 800°F (316° ~ 427°C)","ESD Safe, Impact Resistant"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WESD51.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WESD51.jpg,WESD51-120V-ND,WESD51,Apex Tool Group,SOLDERING STATION 50W 1 CH 120V,153,0,"226.00000","0","1","Weller®, WES","Obsolete","Soldering","50W","120V","NEMA 5-15","24V","1","Digital","Iron Holder, Probe","WES51PU","PES51","ETA","PH50","350°F ~ 850°F (177°C ~454°C)","ESD Safe, Temperature Control"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0053411299N.jpg,T0053411299N-ND,T0053411299N,Apex Tool Group,SOLDER REWORK STA 160W 2 CH 120V,39,0,"487.00000","0","1","Weller®","Obsolete","Desoldering, Rework, Soldering","160W","120V","NEMA 5-15","24V","2","Digital","-","WD2M","-","Sold Separately","-","200°F ~ 950°F (100°C ~ 500°C)","Auto Off, ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1010N,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1010N.jpg,WT1010N-ND,WT1010N,Apex Tool Group,SOLDERING STATION 90W 1 CH 120V,22,0,"423.00000","0","1","Weller®, WT1","Active","Soldering","90W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1","WTP90","XNTA","WSR200","150°F ~ 850°F (50°C ~ 450°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1010HN,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1010HN.jpg,WT1010HN-ND,WT1010HN,Apex Tool Group,SOLDERING STATION 150W 1 CH 120V,19,0,"535.00000","0","1","Weller®, WT1","Active","Soldering","150W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1H","WP120","XTB","WSR201","150°F ~ 950°F (50°C ~ 550°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX1011N,//media.digikey.com/Photos/Apex%20Tool%20Photos/WX1011.JPG,WX1011N-ND,WX1011N,Apex Tool Group,SOLDERING STATION 200W 1 CH 120V,23,0,"640.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","24V","1","Digital","Iron Holder","WX1","WXMP","RT3","WDH50","200°F ~ 850°F (100°C ~ 450°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WX1010N,//media.digikey.com/Photos/Apex%20Tool%20Photos/WX1010.jpg,WX1010N-ND,WX1010N,Apex Tool Group,SOLDERING STATION 200W 1 CH 120V,18,0,"700.00000","0","1","Weller®, WX","Active","Soldering","200W","120V","NEMA 5-15","24V","1","Digital","Iron Holder","WX1","WXP120 (2)","XTB","WDH10","150°F ~ 850°F (66°C ~ 454°C)","Auto Off, ESD Safe, LCD Display, Touch Screen, USB Port"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/WHA900_USA_Manual.pdf,//media.digikey.com/photos/Cooper%20Industries%20Photos/MFG_WHA900.jpg,WHA900N-ND,WHA900N,Apex Tool Group,REWORK STATION 750W 1 CH 120V,21,0,"718.00000","0","1","Weller®, WHA","Not For New Designs","Rework (Hot Air)","750W","120V","NEMA 5-15","-","1","Analog","Handle","WHA900","-","Sold Separately","Included, Not Specified","100°F ~ 1000°F (38°C ~ 538°C)","Internal Air, LED Indicator, Temperature Control"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT2010M,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WT2010M.jpg,WT2010M-ND,WT2010M,Apex Tool Group,SOLDER REWORK STA 150W 2 CH 120V,5,0,"730.00000","0","1","WT","Active","Desoldering, Rework, Soldering","150W","120V","Included, Not Specified","-","2","Digital","-","WT2M","WTP90","Sold Separately","WSR200","122°F ~ 1022°F (50°C ~ 550°C)","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WHP200N,//media.digikey.com/photos/Cooper%20Industries%20Photos/MFG_WHP200.jpg,WHP200N-ND,WHP200N,Apex Tool Group,PREHEATING PLATE 200W 120V,20,0,"855.00000","0","1","Weller®, WHP","Active","Preheating Plate","200W","120V","NEMA 5-15","-","-","Digital","-","-","-","-","-","150°F ~ 850°F (50°C ~ 454°C)","ESD Safe, Infrared Elements"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT2021MS,//media.digikey.com/Photos/Apex%20Tool%20Photos/WT2021MS.jpg,WT2021MS-ND,WT2021MS,Apex Tool Group,SOLDER REWORK STA 150W 2 CH 120V,19,0,"1130.00000","0","1","WT","Active","Desoldering, Rework, Soldering","150W","120V","Included, Not Specified","-","2","Digital","-","WT2M","WMRP, WMRT","Sold Separately","WSR200","-","ESD Safe, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0053421699N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0053421699.jpg,T0053421699N-ND,T0053421699N,Apex Tool Group,SOLDERING STATION 200W 2 CH 230V,3,0,"1160.00000","0","1","Weller®, WX","Active","Soldering","200W","230V","NEMA 5-15","24V","2","Digital","Iron Holder (2)","WX2","WXP120 (2)","-","WDH10 (2)","150°F ~ 999°F (50°C ~ 550°C)","ESD Safe, LCD Display, Temperature Control, USB Port"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WXA2010N,//media.digikey.com/Photos/Apex%20Tool%20Photos/WXA2010.jpg,WXA2010N-ND,WXA2010N,Apex Tool Group,REWORK SOLDER STA 200W 2 CH 120V,14,0,"1410.00000","0","1","Weller®, WXA","Active","Rework (Hot Air), Soldering","200W","120V","NEMA 5-15","24V","2","Digital","Iron Holder","WXA2","WXA210","-","WDH30","200°F ~ 999°F (50°C ~ 550°C)","Airflow Control, ESD Safe, USB Port"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/ATG-1712%20Weller%20Rework%20Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/WR2000X.jpg,WR2000XN-ND,WR2000XN,Apex Tool Group,DESOLDER STATION 300W 2 CH 120V,3,0,"1410.00000","0","1","Weller®, WR","Active","Desoldering","300W","120V","NEMA 5-15","24V","2","Digital","Iron Holder","WR2","DXV80","DX112","WDH40","200°F ~ 850°F (93°C ~ 454°C)","ESD Safe, Internal Air, LCD Display, Programmable, Vacuum"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WXR3001N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WXR3001.jpg,WXR3001N-ND,WXR3001N,Apex Tool Group,SOLDER REWORK STA 600W 3 CH 120V,15,0,"2610.00000","0","1","Weller®, WXR","Active","Desoldering, Rework, Soldering","600W","120V","Included, Not Specified","24V","3","Digital","Iron Holders (3), Tips (4)","WXR3","WXDP120, WXHAP200, WXP65","RO4, RO6, XDS3, XDS5, XTNA","WDH10, WDH30, WDH70","999°F (550°C) (Max)","ESD Safe, USB Interface, Vacuum"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WXR3002N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WXR3002.jpg,WXR3002N-ND,WXR3002N,Apex Tool Group,SOLDER REWORK STA 600W 3 CH 120V,17,0,"2660.00000","0","1","Weller®, WXR","Active","Desoldering, Rework, Soldering","600W","120V","Included, Not Specified","24V","3","Digital","Iron Holders (3), Tips (4)","WXR3","WXDP120, WXHAP200, WXP120","RO4, RO6, XDS3, XDS5, XTB","WDH10, WDH30, WDH70","999°F (550°C) (Max)","ESD Safe, USB Interface, Vacuum"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WR3000MN,//media.digikey.com/photos/Cooper%20Industries%20Photos/MFG_WR3000M.jpg,WR3000MN-ND,WR3000MN,Apex Tool Group,SOLDER REWORK STA 400W 3 CH 120V,25,0,"2670.00000","0","1","Weller®, WR3","Active","Desoldering, Rework (Hot Air), Soldering","400W","120V","NEMA 5-15","12V, 24V","3","Digital","Iron Holder (3)","WR3M","DXV80, HAP200, WP80, WVP","DX112, DX113, LBT, R04, R06","WDH10T, WDH30, WDH40","200°F ~ 850°F (93°C ~ 454°C)","ESD Safe, Internal Air, LCD Display, PC Connectivity, Programmable"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Lead_Free_Solder_Pots.pdf,//media.digikey.com/Photos/Aven%20Photos/17100-200.jpg,243-1251-ND,17100-200,Aven Tools,SOLDER POT 200W 110-130V,50,0,"37.32000","0","1","-","Active","Solder Pot","200W","110 ~ 130V","Included, Not Specified","-","-","Analog","Crucible Pot","-","-","-","-","392°F ~ 752°F (200°C ~ 400°C)","On/Off Switch"
//media.digikey.com/PDF/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/WTCPTD.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_WTCPTD.jpg,WTCPTD-ND,WTCPTD,Apex Tool Group,SOLDERING STATION 60W 1 CH 240V,12,0,"225.00000","0","1","Weller®","Not For New Designs","Soldering","60W","240V","Included, Not Specified","24V","1","None","Iron Holder","PU240T","TC201T","PTA7","PH1201ESD","600° ~ 800°F (316° ~ 427°C)","ESD Safe, Impact Resistant"
https://www.hakkousa.com/files/index/download/id/16148/,//media.digikey.com/Photos/Hakko/MFG_FX300-03.jpg,1691-1077-ND,FX300-03,"American Hakko Products, Inc.",SOLDER POT 280W 100-240V,17,0,"333.37000","0","1","-","Active","Solder Pot","280W","100 ~ 240V","NEMA 5-15P","-","-","Analog","Crucible Pot, Spatula, Waste Collector, Wrench","FX-300","-","-","-","400°F ~ 840°F (200°C ~ 450°C)","-"
https://www.hakkousa.com/files/index/download/id/17039/,//media.digikey.com/Photos/Hakko/MFG_FR830-02.jpg,1691-1068-ND,FR830-02,"American Hakko Products, Inc.",PREHEATING PLATE 470W 120V,16,0,"343.37000","0","1","-","Active","Preheating Plate","470W","120V","NEMA 5-15P","-","-","Analog","-","FR-830","-","-","-","302°F ~ 572°F (150°C ~ 300°C)","ESD Safe, Overheat Protection"
https://www.hakkousa.com/files/index/download/id/17514/,//media.digikey.com/photos/Hakko/FX100-04.jpg,1691-1232-ND,FX100-04,"American Hakko Products, Inc.",SOLDERING STATION 50W 1 CH 120V,11,0,"579.97000","0","1","-","Active","Soldering","50W","120V","Included, Not Specified","-","1","Analog","Iron Holder, Soldering Pencil","FX-100","FX-1001","-","FH-800","-","Auto Off, LCD Display"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0052702999N,//media.digikey.com/Photos/Apex%20Tool%20Photos/T0052702999.jpg,T0052702999N-ND,T0052702999N,Apex Tool Group,PREHEATING PLATE 120W 1 CH 24V,12,0,"590.00000","0","1","Weller®","Active","Preheating Plate","120W","24V","Included, Not Specified","-","1","None","-","WXHP120","-","-","-","122°F ~ 392°F (50°C ~ 200°C)","ESD Safe"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=WT1011HN,//media.digikey.com/photos/Apex%20Tool%20Photos/MFG_WT1011HN.jpg,WT1011HN-ND,WT1011HN,Apex Tool Group,SOLDERING STATION 150W 1 CH 120V,10,0,"590.00000","0","1","Weller®, WT1","Active","Soldering","150W","120V","Included, Not Specified","-","1","Digital","Soldering Pencil","WT1H","WP200","XHTD","WSR202","150°F ~ 950°F (50°C ~ 550°C)","ESD Safe, LCD Display"
https://www.hakkousa.com/files/index/download/id/17375/,//media.digikey.com/Photos/Hakko/MFG_FM203-HD.jpg,1691-1058-ND,FM203-HD,"American Hakko Products, Inc.",SOLDERING STATION 140W 2 CH 120V,8,0,"596.27000","0","1","-","Active","Soldering","140W","120V","NEMA 5-15P","24V","2","Digital","Heat Resistant Pad, Iron Holder, Key Card, Tip Tray","FM-203","FM-2030-01","Sold Separately","FH200-01","-","Auto off, ESD Safe, LED in Handpiece, Low Temperature Alarm, Sleep Mode, Temperature Lockout"
https://www.hakkousa.com/files/index/download/id/17373/,//media.digikey.com/Photos/Hakko/MFG_FM203-DP.jpg,1691-1057-ND,FM203-DP,"American Hakko Products, Inc.",SOLDERING STATION 140W 2 CH 120V,3,0,"596.27000","0","1","-","Active","Soldering","140W","120V","NEMA 5-15P","24V","2","Digital","Heat Resistant Pad, Iron Holder, Key Card, Tip Tray","FM-203","FM-2027-03, FM2027-06","Sold Separately","FH200-01 (2)","-","Auto off, ESD Safe, LED in Handpiece, Low Temperature Alarm, Sleep Mode, Temperature Lockout"
https://www.hakkousa.com/files/index/download/id/16253/,//media.digikey.com/Photos/Hakko/MFG_FX-301B.jpg,1691-1078-ND,FX301B-03,"American Hakko Products, Inc.",SOLDER POT 215W 100-240V,12,0,"625.07000","0","1","-","Active","Solder Pot","215W","100 ~ 240V","NEMA 5-15P","-","-","Digital","Crucible Pot, Spatula, Waste Collector, Wrench","FX-301B","-","-","-","400°F ~ 840°F (200°C ~ 450°C)","-"
https://www.hakkousa.com/files/index/download/id/14863/,//media.digikey.com/Photos/Hakko/MFG_851-station.jpg,1691-1010-ND,851-2,"American Hakko Products, Inc.",REWORK STATION 85W 1 CH 120V,6,0,"690.67000","0","1","-","Active","Rework (Hot Air)","85W","120V","Included, Not Specified","-","1","Analog","Iron Holder, Nozzle Holder","851-2","Included, Not Specified","A1065, A1066, A1067","B1190","212°F ~ 1004°F (100°C ~ 540°C)","Air Volume Sensor, Ceramic Heater, ESD Safe, Internal Air"
