Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Product Type","Type","ESD Protection","Color","Width","Length","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
https://www.chemtronics.com/content/msds/TDS_Cwik.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/7-25L.jpg,CW7-25-ND,7-25L,Chemtronics,DESOLDER BRAID ROSIN 0.075"" 25',183,0,"17.80000","0","1","Chem-Wik®","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Green","0.075"" (1.91mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/50-2-25.jpg,50-2-25-ND,50-2-25,Chemtronics,DESOLDER BRAID ROSIN 0.06"" 25',316,0,"19.02000","0","1","Soder-Wick® SW 50","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Yellow","0.060"" (1.52mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_Cwik.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/10-25L.jpg,CW10-25-ND,10-25L,Chemtronics,DESOLDER BRAID ROSIN 0.1"" 25',505,0,"19.04000","0","1","Chem-Wik®","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Blue","0.100"" (2.54mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/50-3-25.jpg,50-3-25-ND,50-3-25,Chemtronics,DESOLDER BRAID ROSIN 0.08"" 25',173,0,"19.58000","0","1","Soder-Wick® SW 50","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Green","0.080"" (2.03mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/50-4-25.jpg,50-4-25-ND,50-4-25,Chemtronics,DESOLDER BRAID ROSIN 0.11"" 25',183,0,"21.58000","0","1","Soder-Wick® SW 50","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Blue","0.110"" (2.79mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/DP-200.jpg,K414-ND,DP-200,Jonard Tools,DESOLDER PUMP WITH TIP LEAD FREE,217,0,"23.99000","0","1","-","Active","Pump With Tip","Lead Free","ESD Safe","-","-","-","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/50-6-25.jpg,50-6-25-ND,50-6-25,Chemtronics,DESOLDER BRAID ROSIN 0.21"" 25',172,0,"25.72000","0","1","Soder-Wick® SW 50","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","Red","0.210"" (5.33mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
http://www.mgchemicals.com/downloads/appguide/appguide0805.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_423.jpg,473-1060-ND,423,MG Chemicals,DESOLDER BRAID ROSIN 0.03"" 5',296,0,"3.42000","0","1","SuperWick, 400","Active","Braid/Wick","Rosin, Mildly Activated (RMA), Lead Free","Static Dissipative (SD)","White","0.030"" (0.76mm)","5' (1.524m)","-","-","72°F ~ 81°F (22°C ~ 27°C)"
http://www.mgchemicals.com/downloads/appguide/appguide0805.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_424.jpg,473-1061-ND,424,MG Chemicals,DESOLDER BRAID ROSIN 0.05"" 5',281,0,"3.42000","0","1","SuperWick, 400","Active","Braid/Wick","Rosin, Mildly Activated (RMA), Lead Free","Static Dissipative (SD)","Yellow","0.050"" (1.27mm)","5' (1.524m)","-","-","72°F ~ 81°F (22°C ~ 27°C)"
http://documents.easybraidco.com/PDF/Sea-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S-A-5AS.jpg,EB1170-ND,S-A-5AS,MENDA/EasyBraid,DESOLDER BRAID UNFLUXD 0.025"" 5',136,0,"3.62000","0","1","Sea Braid™","Active","Braid/Wick","Unfluxed","Static Dissipative (SD)","Silver","0.025"" (0.63mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Sea-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/S-D-5AS.jpg,EB1179-ND,S-D-5AS,MENDA/EasyBraid,DESOLDER BRAID UNFLUXED 0.1"" 5',111,0,"3.62000","0","1","Sea Braid™","Active","Braid/Wick","Unfluxed","Static Dissipative (SD)","Blue","0.100"" (2.54mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-C-5AS.jpg,EB1090-ND,Q-C-5AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.075"" 5',2532,0,"3.66000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Green","0.075"" (1.91mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-D-5AS.jpg,EB1093-ND,Q-D-5AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.1"" 5',473,0,"3.66000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Blue","0.100"" (2.54mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-E-5AS.jpg,EB1096-ND,Q-E-5AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.125"" 5',295,0,"3.66000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Brown","0.125"" (3.18mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-A-5AS.jpg,EB1084-ND,Q-A-5AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.025"" 5',101,0,"3.66000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Silver","0.025"" (0.63mm)","5' (1.524m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_Cwik.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/2-5L.jpg,CW2-5-ND,2-5L,Chemtronics,DESOLDER BRAID ROSIN 0.03"" 5',481,0,"3.98000","0","1","Chem-Wik®","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","White","0.030"" (0.76mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
http://www.mgchemicals.com/downloads/appguide/appguide0805.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_427.jpg,473-1064-ND,427,MG Chemicals,DESOLDER BRAID ROSIN 0.125"" 5',440,0,"4.26000","0","1","SuperWick, 400","Active","Braid/Wick","Rosin, Mildly Activated (RMA), Lead Free","Static Dissipative (SD)","Brown","0.125"" (3.18mm)","5' (1.524m)","-","-","72°F ~ 81°F (22°C ~ 27°C)"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/OS-A-5AS.jpg,EB1099-ND,OS-A-5AS,MENDA/EasyBraid,DESOLDER BRAID NO-CLN 0.025"" 5',159,0,"4.28000","0","1","One Step, OS™","Active","Braid/Wick","No Clean, Rosin, Mildly Activated (RMA)","Static Dissipative (SD)","Silver","0.025"" (0.63mm)","5' (1.524m)","-","-","-"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/OS-B-5AS.jpg,EB1102-ND,OS-B-5AS,MENDA/EasyBraid,DESOLDER BRAID NO-CLN 0.05"" 5',144,0,"4.28000","0","1","One Step, OS™","Active","Braid/Wick","No Clean, Rosin, Mildly Activated (RMA)","Static Dissipative (SD)","Gold","0.050"" (1.27mm)","5' (1.524m)","-","-","-"
https://www.techspray.com/content/msds/TS-1814-1825_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1809-10F.JPG,1873-1058-ND,1821-5F,Techspray,DESOLDER BRAID NO-CLN 0.055"" 5',156,0,"4.57000","0","1","-","Active","Braid/Wick","No Clean","Static Dissipative (SD)","Yellow","0.055"" (1.40mm)","5' (1.524m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWPBFree.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/40-2-5.JPG,40-2-5-ND,40-2-5,Chemtronics,DESOLDER BRAID ROSIN 0.06"" 5',1152,0,"4.76000","0","1","Soder-Wick® LF","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Yellow","0.060"" (1.52mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-2-5.jpg,60-2-5-ND,60-2-5,Chemtronics,DESOLDER BRAID NO-CLN 0.06"" 5',196,0,"4.76000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Yellow","0.060"" (1.52mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-3-5.jpg,60-3-5-ND,60-3-5,Chemtronics,DESOLDER BRAID NO-CLN 0.08"" 5',357,0,"4.94000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Green","0.080"" (2.03mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWPBFree.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/40-3-5.jpg,40-3-5-ND,40-3-5,Chemtronics,DESOLDER BRAID ROSIN 0.08"" 5',358,0,"4.98000","0","1","Soder-Wick® LF","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Green","0.080"" (2.03mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/80-5-5.jpg,80-5-5-ND,80-5-5,Chemtronics,DESOLDER BRAID ROSIN 0.145"" 5',356,0,"5.68000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Brown","0.145"" (3.68mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-4-5.jpg,60-4-5-ND,60-4-5,Chemtronics,DESOLDER BRAID NO-CLN 0.11"" 5',140,0,"5.68000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Blue","0.110"" (2.79mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/80-6-5.jpg,80-6-5-ND,80-6-5,Chemtronics,DESOLDER BRAID ROSIN 0.21"" 5',277,0,"5.96000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Red","0.210"" (5.33mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
https://www.techspray.com/Content/msds/18301833_eng_usa_tds.pdf,-,1873-1070-ND,1830-10F,Techspray,DESOLDER BRAID UNFLUX 0.035"" 10',261,0,"6.17000","0","1","-","Active","Braid/Wick","Unfluxed","Static Dissipative (SD)","White","0.035"" (0.90mm)","10' (3.048m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-5-5.jpg,60-5-5-ND,60-5-5,Chemtronics,DESOLDER BRAID NO-CLN 0.145"" 5',183,0,"6.18000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Brown","0.145"" (3.68mm)","5' (1.524m)","24 Months","Date of Manufacture","-"
http://documents.easybraidco.com/PDF/Sea-Braid-Desoldering-Braid.pdf,//media.digikey.com/Photos/Easy%20Braid%20Photos/S-C-10AS.JPG,EB1177-ND,S-C-10AS,MENDA/EasyBraid,DESOLDER BRAID UNFLUX 0.075"" 10',109,0,"6.19000","0","1","Sea Braid™","Active","Braid/Wick","Unfluxed","Static Dissipative (SD)","Green","0.075"" (1.91mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-D-10AS.jpg,EB1094-ND,Q-D-10AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.1"" 10',414,0,"6.23000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Blue","0.100"" (2.54mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-B-10AS.jpg,EB1088-ND,Q-B-10AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.05"" 10',287,0,"6.23000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Gold","0.050"" (1.27mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Quick-Braid-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/Q-C-10AS.JPG,EB1091-ND,Q-C-10AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.075"" 10',111,0,"6.23000","0","1","Quick Braid™","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Green","0.075"" (1.91mm)","10' (3.048m)","-","-","-"
https://www.techspray.com/content/msds/TS-1801-1813_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1809-10F.JPG,1873-1028-ND,1809-10F,Techspray,DESOLDER BRAID ROSIN 0.055"" 10',125,0,"6.78000","0","1","Pro Wick","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Yellow","0.055"" (1.40mm)","10' (3.048m)","-","-","-"
https://www.techspray.com/content/msds/TS-1801-1813_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1810-10F.JPG,1873-1032-ND,1810-10F,Techspray,DESOLDER BRAID ROSIN 0.075"" 10',166,0,"6.88000","0","1","Pro Wick","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Green","0.075"" (1.90mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/OS-B-10AS.JPG,EB1103-ND,OS-B-10AS,MENDA/EasyBraid,DESOLDER BRAID NO-CLN 0.05"" 10',436,0,"7.47000","0","1","One Step, OS™","Active","Braid/Wick","No Clean, Rosin, Mildly Activated (RMA)","Static Dissipative (SD)","Gold","0.050"" (1.27mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/OS-C-10AS.JPG,EB1106-ND,OS-C-10AS,MENDA/EasyBraid,DESOLDER BRAID NO-CLN 0.075"" 10',425,0,"7.47000","0","1","One Step, OS™","Active","Braid/Wick","No Clean, Rosin, Mildly Activated (RMA)","Static Dissipative (SD)","Green","0.075"" (1.91mm)","10' (3.048m)","-","-","-"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/OS-A-10AS.JPG,EB1100-ND,OS-A-10AS,MENDA/EasyBraid,DESOLDER BRAID NO-CLN 0.025"" 10',143,0,"7.47000","0","1","One Step, OS™","Active","Braid/Wick","No Clean, Rosin, Mildly Activated (RMA)","Static Dissipative (SD)","Silver","0.025"" (0.63mm)","10' (3.048m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/Photos/Chemtronics/MFG_80-1-10.jpg,80-1-10-ND,80-1-10,Chemtronics,DESOLDER BRAID ROSIN 0.03"" 10',174,0,"7.64000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","White","0.030"" (0.76mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.techspray.com/content/msds/TS-1814-1825_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1820-10F.jpg,1873-1052-ND,1820-10F,Techspray,DESOLDER BRAID NO-CLN 0.035"" 10',129,0,"8.30000","0","1","-","Active","Braid/Wick","No Clean","Static Dissipative (SD)","White","0.035"" (0.90mm)","10' (3.048m)","-","-","-"
https://www.techspray.com/content/msds/TS-1814-1825_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1821-10F.JPG,1873-1055-ND,1821-10F,Techspray,DESOLDER BRAID NO-CLN 0.055"" 10',121,0,"8.30000","0","1","-","Active","Braid/Wick","No Clean","Static Dissipative (SD)","Yellow","0.055"" (1.40mm)","10' (3.048m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-1-10.jpg,60-1-10-ND,60-1-10,Chemtronics,DESOLDER BRAID NO-CLN 0.03"" 10',249,0,"8.52000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","White","0.030"" (0.76mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-2-10.jpg,60-2-10-ND,60-2-10,Chemtronics,DESOLDER BRAID NO-CLN 0.06"" 10',199,0,"8.52000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Yellow","0.060"" (1.52mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
http://documents.easybraidco.com/PDF/Lead-Free-Desoldering-Braid.pdf,//media.digikey.com/photos/Easy%20Braid%20Photos/LF-A-10AS.JPG,EB1193-ND,LF-A-10AS,MENDA/EasyBraid,DESOLDER BRAID ROSIN 0.025"" 10',281,0,"8.57000","0","1","One Step, LF™","Active","Braid/Wick","Rosin, Mildly Activated (RMA), Lead Free","Static Dissipative (SD)","Silver","0.025"" (0.63mm)","10' (3.048m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWPBFree.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/40-3-10.jpg,40-3-10-ND,40-3-10,Chemtronics,DESOLDER BRAID ROSIN 0.08"" 10',130,0,"9.02000","0","1","Soder-Wick® LF","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Green","0.080"" (2.03mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/Photos/ITW%20Chemtronics%20Photos/80-4-x.jpg,80-4-10-ND,80-4-10,Chemtronics,DESOLDER BRAID ROSIN 0.11"" 10',243,0,"9.04000","0","1","Soder-Wick® SW 80","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Blue","0.110"" (2.79mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.techspray.com/content/msds/TS-1814-1825_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1823-10F.JPG,1873-1064-ND,1823-10F,Techspray,DESOLDER BRAID NO-CLN 0.098"" 10',317,0,"9.16000","0","1","-","Active","Braid/Wick","No Clean","Static Dissipative (SD)","Blue","0.098"" (2.50mm)","10' (3.048m)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWPBFree.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/40-4-10.jpg,40-4-10-ND,40-4-10,Chemtronics,DESOLDER BRAID ROSIN 0.11"" 10',183,0,"9.82000","0","1","Soder-Wick® LF","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","Static Dissipative (SD)","Blue","0.110"" (2.79mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.chemtronics.com/content/msds/TDS_SWNoClean.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/60-4-10.jpg,60-4-10-ND,60-4-10,Chemtronics,DESOLDER BRAID NO-CLN 0.11"" 10',297,0,"10.10000","0","1","Soder-Wick® SW 60","Active","Braid/Wick","No Clean, Rosin, Non Activated (R), Lead Free","-","Blue","0.110"" (2.79mm)","10' (3.048m)","24 Months","Date of Manufacture","-"
https://www.techspray.com/content/msds/TS-1801-1813_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1811-25F.jpg,1873-1037-ND,1811-25F,Techspray,DESOLDER BRAID ROSIN 0.098"" 25',917,0,"16.80000","0","1","Pro Wick","Active","Braid/Wick","Rosin, Non Activated (R)","Static Dissipative (SD)","Blue","0.098"" (2.50mm)","25' (7.62m)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1597_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1597.jpg,1528-2156-ND,1597,Adafruit Industries LLC,DESOLDER PUMP WITH TIP 8.1"",398,0,"17.50000","0","1","-","Active","Pump With Tip","-","-","Silver","-","8.100"" (205.74mm)","-","-","-"
https://www.chemtronics.com/content/msds/TDS_SWRosin.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/50-1-25.jpg,50-1-25-ND,50-1-25,Chemtronics,DESOLDER BRAID ROSIN 0.03"" 25',141,0,"19.02000","0","1","Soder-Wick® SW 50","Active","Braid/Wick","Rosin, Non Activated (R), Lead Free","-","White","0.030"" (0.76mm)","25' (7.62m)","24 Months","Date of Manufacture","-"
