Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Outline L x W x H","Qmax @ Th","Delta Tmax @ Th","Current - Max","Voltage - Max","Resistance","Operating Temperature","Features"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP10-127-05-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/56460-500.JPG,926-1245-ND,56460-500,"Laird Thermal Systems, Inc.","PELTIER CP10,127,05,L1,EP,W4.5",173,0,"26.46000","0","1","CP","Active","29.72mm x 29.72mm x 3.20mm","34.3W @ 25°C","67°C @ 25°C","3.9A","14.4V","3.36 Ohms","80°C","Lead Wires, Sealed - Epoxy"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC12-6.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_RC12-6-01LS.jpg,1681-1055-ND,RC12-6-01LS,"Marlow Industries, Inc.",TEM 40.13X40.13X3.97MM,371,0,"27.68000","0","1","RC12-6","Active","44.70mm x 40.13mm x 3.91mm","54.0W @ 27°C","66°C @ 27°C","5.6A","14.7V","2.20 Ohms","85°C","Lead Wires, Lapped, Sealed"
"https://assets.lairdtech.com/home/brandworld/files/THR-DS-CP14,127,045,L1,W4.5.pdf",//media.digikey.com/Photos/Laird%20Tech%20Photos/430082-502.jpg,926-1255-ND,430082-502,"Laird Thermal Systems, Inc.","PELTIER CP14,127,045,L1,EP,W4.5",659,0,"29.66000","0","1","CP","Active","39.88mm x 39.88mm x 3.33mm","72.0W @ 25°C","67°C @ 25°C","8.5A","14.5V","1.55 Ohms","80°C","Lead Wires, Sealed - Epoxy"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC12-8.pdf,//media.digikey.com/photos/Marlow-Industries/RC12-8-01LS.JPG,1681-1056-ND,RC12-8-01LS,"Marlow Industries, Inc.",TEM 40.13X40.13X3.53MM,334,0,"31.35000","0","1","RC12-8","Active","44.70mm x 40.13mm x 3.53mm","71.0W @ 27°C","66°C @ 27°C","7.4A","14.7V","1.60 Ohms","85°C","Lead Wires, Lapped, Sealed"
"https://assets.lairdtech.com/home/brandworld/files/THR-DS-HT4,6,F2,2143,11,W6-0509.pdf",//media.digikey.com/Photos/Laird%20Tech%20Photos/430028-509.jpg,926-1169-ND,430028-509,"Laird Thermal Systems, Inc.","PELTIER MOD HT4,6,F2,2143,TA,W6",242,0,"31.50000","0","1","ThermaTEC™","Active","43.20mm x 20.60mm x 3.81mm","16.4W @ 25°C","64°C @ 25°C","3.8A","7.2V","1.73 Ohms","175°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP08-63-06-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_71036-505.jpg,926-1017-ND,71036-505,"Laird Thermal Systems, Inc.","PELTIER CP08,63,06,L1,W4.5",1989,0,"35.73000","0","1","CP","Active","24.56mm x 12.29mm x 3.40mm","9.0W @ 25°C","67°C @ 25°C","2.1A","7.6V","3.13 Ohms","80°C","Lead Wires, Non-Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/NL1023T.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_NL1023T-01AC.jpg,1681-1031-ND,NL1023T-01AC,"Marlow Industries, Inc.",TEM 13.16X13.16X2.16MM,178,0,"37.28000","0","1","NL1023T","Active","13.16mm x 13.16mm x 2.16mm","9.2W @ 27°C","64°C @ 27°C","1.8A","8.0V","3.86 Ohms","85°C","Exterior Metallization (Both Sides), Lead Wires"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP08-127-06-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_66195-505.jpg,926-1015-ND,66195-505,"Laird Thermal Systems, Inc.","PELTIER CP08,127,06,L1,W4.5",157,0,"38.02000","0","1","CP","Active","24.64mm x 24.64mm x 3.40mm","18.1W @ 25°C","67°C @ 25°C","2.1A","14.4V","6.31 Ohms","80°C","Lead Wires, Non-Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/TG12-8.pdf,//media.digikey.com/photos/Marlow-Industries/TG12-8-01LS.JPG,1681-1072-ND,TG12-8-01LS,"Marlow Industries, Inc.",TEM GENERATOR 40.13X40.13X3.53MM,142,0,"38.10000","0","1","TG12-8","Active","44.70mm x 40.13mm x 3.53mm","1.2W @ 50°C","-","1.5A","1.9V","2.90 Ohms","200°C","Lead Wires, Lapped, Sealed"
http://assets.lairdtech.com/home/brandworld/files/THR-DS-PC516F14040TAW6_092215.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_108161050002.jpg,1487-1009-ND,108161050002,"Laird Thermal Systems, Inc.","PC5,161,F1,4040,TA,RT,W6",285,0,"44.20000","0","1","Power-Cycling","Active","40.00mm x 40.00mm x 3.71mm","53.2W @ 25°C","67°C @ 25°C","4.8A","18.3V","3.40 Ohms","120°C","Lead Wires, Sealed - Silicone RTV"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-ZT-Series-ZT5-16-F1-4040-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/7945002-601.jpg,926-1186-ND,7945002-601,"Laird Thermal Systems, Inc.","PELTIER MOD ZT5,16,F1,4040,TA,W8",186,0,"45.41000","0","1","ZT","Active","40.00mm x 40.00mm x 3.71mm","62.3W @ 25°C","74°C @ 25°C","5.0A","20.0V","3.33 Ohms","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-ZT-Series-ZT4-12-F1-4040-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/7950004-601.jpg,926-1184-ND,7950004-601,"Laird Thermal Systems, Inc.","PELTIER MOD ZT4,12,F1,4040,TA,W8",251,0,"45.67000","0","1","ZT","Active","40.00mm x 40.00mm x 4.80mm","37.0W @ 25°C","74°C @ 25°C","3.9A","15.4V","3.40 Ohms","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-UltraTEC-Series-UT8-12-F2-2525-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430745-510.jpg,926-1179-ND,430745-510,"Laird Thermal Systems, Inc.","PELTIER MOD UT8,12,F2,2525,TA,W6",238,0,"49.31000","0","1","UltraTEC™","Active","26.92mm x 24.56mm x 1.96mm","69.0W @ 25°C","69°C @ 25°C","7.9A","14.4V","1.68 Ohms","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/TH-DS-UT619F14040.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430874-301.jpg,926-1298-ND,430874-301,"Laird Thermal Systems, Inc.","PELTIER UT6,19,F1,4040,TA,W6",277,0,"49.56000","0","1","UltraTEC™","Active","40.00mm x 40.00mm x 3.91mm","93.0W @ 25°C","74°C @ 25°C","6.0A","24.6V","-","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-UltraTEC-Series-UT11-12-F2-3030-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430759-512.jpg,926-1286-ND,430759-512,"Laird Thermal Systems, Inc.","PELTIER UT11,12,F2,3030,TA,RT,W6",102,0,"49.91000","0","1","UltraTEC™","Active","34.00mm x 30.00mm x 2.41mm","95.4W @ 25°C","67°C @ 25°C","11.1A","14.5V","1.20 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/XLT2427.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_XLT2427-03AC.jpg,1681-1083-ND,XLT2427-03AC,"Marlow Industries, Inc.",TEM THERMOCYCLER 16X72X2.67MM,359,0,"83.89000","0","1","-","Active","76.68mm x 16.76mm x 2.67mm","76.5W @ 27°C","53°C @ 27°C","7.5A","15.8V","1.66 Ohms","150°C","Lead Wires, Lapped"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-UltraTEC-Series-UT15-200-F2-4040-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430856-501.JPG,926-1288-ND,430856-501,"Laird Thermal Systems, Inc.","PELTIER UT15,200,F2,4040,TA,RTW6",141,0,"89.69000","0","1","UltraTEC™","Active","40.00mm x 40.00mm x 3.30mm","236.6W @ 25°C","68°C @ 25°C","15.4A","25.0V","1.37 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cpm-2f.pdf,//media.digikey.com/Photos/CUI%20Photos/CPM-2F.JPG,102-1738-ND,CPM-2F,CUI Inc.,PELTIER MOD 70 X 27MM 6.0A INP,74,0,"94.79000","0","1","-","Active","70.00mm x 70.00mm x 27.00mm","46.0W @ 50°C","73°C @ 50°C","6.0A","12.0V","2.10 Ohms","35°C","Lead Wires, Sealed - Epoxy"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/XLT2423.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_XLT2423-31AC.jpg,1681-1082-ND,XLT2423-31AC,"Marlow Industries, Inc.",TEM THERMOCYCLER 36.4X50.24X3MM,329,0,"115.25000","0","1","-","Active","54.41mm x 36.40mm x 3.05mm","95.0W @ 27°C","58°C @ 27°C","19.0A","7.7V","340 mOhms","130°C","-"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-UltraTEC-Series-UT15-288-F2-5252-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430857-500.jpg,926-1178-ND,430857-500,"Laird Thermal Systems, Inc.","PELTIER UT15,288,F2,5252,TA,W6",1697,0,"115.73000","0","1","UltraTEC™","Active","52.00mm x 52.00mm x 3.30mm","340.6W @ 25°C","68°C @ 25°C","15.4A","36.0V","1.97 Ohms","80°C","Lead Wires, Non-Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-UltraTEC-Series-UT15-288-F2-5252-Data-Sheet.pdf,//media.digikey.com/photos/Laird%20Tech%20Photos/430857-501.JPG,926-1289-ND,430857-501,"Laird Thermal Systems, Inc.","PELTIER UT15,288,F2,5252,TA,RTW6",159,0,"133.68000","0","1","UltraTEC™","Active","52.00mm x 52.00mm x 3.30mm","340.6W @ 25°C","68°C @ 25°C","15.4A","36.0V","1.97 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/XLT2393.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_XLT2393-01LS.jpg,1681-1076-ND,XLT2393-01LS,"Marlow Industries, Inc.",TEM THERMOCYCLER 40X38X2.41MM,27,0,"153.37000","0","1","-","Active","40.00mm x 40.00mm x 2.62mm","187.0W @ 27°C","58°C @ 27°C","13.4A","21.4V","1.33 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/CM23-1.9.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_CM23-1.9-05AC.jpg,1681-1001-ND,CM23-1.9-05AC,"Marlow Industries, Inc.",TEM 8.18X6.02X1.65MM,364,0,"11.08000","0","1","CM23-1.9","Active","8.18mm x 6.02mm x 1.65mm","3.4W @ 27°C","71°C @ 27°C","1.9A","2.8V","1.23 Ohms","85°C","Exterior Metallization (Both Sides Pre-Tinned), Lead Wires"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/CP60140.JPG,102-1675-ND,CP60140,CUI Inc.,PELTIER MOD 15 X 4MM 6.0A INP,364,0,"14.10000","0","1","CP60","Active","15.00mm x 15.00mm x 3.99mm","7.1W @ 27°C","68°C @ 27°C","6.0A","2.1V","290 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp30.pdf,//media.digikey.com/Photos/CUI%20Photos/CP30138.JPG,102-1666-ND,CP30138,CUI Inc.,PELTIER MOD 15 X 3.8MM 3.0A INP,303,0,"15.80000","0","1","CP30","Active","15.00mm x 15.00mm x 3.80mm","6.5W @ 27°C","66°C @ 27°C","3.0A","3.8V","1.00 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp40.pdf,//media.digikey.com/Photos/CUI%20Photos/CP40136.JPG,102-1669-ND,CP40136,CUI Inc.,PELTIER MOD 15 X 3.6MM 4.0A INP,145,0,"15.80000","0","1","CP40","Active","15.00mm x 15.00mm x 3.58mm","8.1W @ 27°C","66°C @ 27°C","4.0A","3.8V","800 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp20.pdf,//media.digikey.com/Photos/CUI%20Photos/CP20251.JPG,102-1664-ND,CP20251,CUI Inc.,PELTIER MOD 20 X 5.1MM 2.0A INP,108,0,"16.94000","0","1","CP20","Active","20.00mm x 20.00mm x 5.10mm","8.5W @ 27°C","66°C @ 27°C","2.0A","8.6V","3.70 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp20h.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CP20H.jpg,102-4042-ND,CP20147H,CUI Inc.,"PELTIER, 15 X 15 X 4.7 MM, 2 A,",157,0,"17.59000","0","1","CP20H","Active","15.00mm x 15.00mm x 4.70mm","4.4W @ 27°C","70°C @ 27°C","2.0A","3.8V","1.65 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp85.pdf,//media.digikey.com/Photos/CUI%20Photos/CP85338.JPG,102-1681-ND,CP85338,CUI Inc.,PELTIER MOD 30 X 3.8MM 8.5A INP,955,0,"17.75000","0","1","CP85","Active","30.00mm x 30.00mm x 3.80mm","42.0W @ 27°C","68°C @ 27°C","8.5A","8.6V","900 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC3-6.pdf,//media.digikey.com/photos/Marlow-Industries/RC3-6-01LS.jpg,1681-1061-ND,RC3-6-01LS,"Marlow Industries, Inc.",TEM 20.1X20.1X3.91MM,826,0,"18.11000","0","1","RC3-6","Active","24.60mm x 20.10mm x 3.91mm","13.0W @ 27°C","65°C @ 27°C","5.6A","3.6V","500 mOhms","85°C","Lead Wires, Lapped, Sealed"
https://www.cui.com/product/resource/digikeypdf/cp60.pdf,//media.digikey.com/Photos/CUI%20Photos/CP60340.JPG,102-1677-ND,CP60340,CUI Inc.,PELTIER MOD 30 X 4MM 6.0A INP,310,0,"19.62000","0","1","CP60","Active","30.00mm x 30.00mm x 4.00mm","29.0W @ 27°C","68°C @ 27°C","6.0A","8.6V","1.21 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://www.cui.com/product/resource/digikeypdf/cp60h.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CP60H.jpg,102-4048-ND,CP60231H,CUI Inc.,"PELTIER, 20 X 20 X 3.1 MM, 6 A,",176,0,"20.17000","0","1","CP60H","Active","20.00mm x 20.00mm x 3.10mm","29.7W @ 27°C","70°C @ 27°C","6.0A","8.8V","1.05 Ohms","80°C","Lead Wires, Sealed - Silicone RTV"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/NL1025T.pdf,//media.digikey.com/photos/Marlow-Industries/NL1025T-01AC.jpg,1681-1032-ND,NL1025T-01AC,"Marlow Industries, Inc.",TEM 8.79X10.67X2.16MM,244,0,"20.71000","0","1","NL1025T","Active","10.97mm x 8.79mm x 2.16mm","5.2W @ 27°C","64°C @ 27°C","1.8A","4.4V","2.10 Ohms","85°C","Exterior Metallization (Both Sides), Lead Wires"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/CM29-1.9.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_CM29-1.9-04AC.jpg,1681-1005-ND,CM29-1.9-04AC,"Marlow Industries, Inc.",TEM 10.2X6.02X1.68MM,787,0,"21.03000","0","1","CM29-1.9","Active","10.20mm x 6.02mm x 1.68mm","4.3W @ 27°C","71°C @ 27°C","1.9A","3.5V","1.54 Ohms","85°C","Exterior Metallization (Both Sides Pre-Tinned), Lead Wires"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/TG12-4.pdf,//media.digikey.com/photos/Marlow-Industries/TG12-4-01LS.jpg,1681-1070-ND,TG12-4-01LS,"Marlow Industries, Inc.",TEM GENERATOR 30X30X3.33MM,107,0,"22.36000","0","1","TG12-4","Active","34.00mm x 30.00mm x 3.33mm","0.6W @ 50°C","-","0.8A","1.9V","5.72 Ohms","200°C","Lead Wires, Lapped, Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP14-71-045-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/430032-502.jpg,926-1036-ND,56890-503,"Laird Thermal Systems, Inc.","PELTIER MOD CP14,71,045,L1,W4.5",167,0,"23.36000","0","1","CP","Active","29.72mm x 29.72mm x 3.33mm","41.3W @ 25°C","67°C @ 25°C","8.5A","8.0V","870 mOhms","80°C","Lead Wires, Non-Sealed"
https://cdn2.hubspot.net/hubfs/547732/Data_Sheets/RC6-6.pdf,//media.digikey.com/Photos/Marlow-Industries/MFG_RC6-6-01LS.jpg,1681-1065-ND,RC6-6-01LS,"Marlow Industries, Inc.",TEM 30X30X3.91MM,183,0,"23.59000","0","1","RC6-6","Active","34.01mm x 30.00mm x 3.91mm","30.0W @ 27°C","66°C @ 27°C","5.6A","8.2V","1.20 Ohms","85°C","Lead Wires, Lapped, Sealed"
https://assets.lairdtech.com/home/brandworld/files/Laird-ETS-CP-Series-CP2-31-06-Data-Sheet.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_45125-521.jpg,926-1270-ND,45125-521,"Laird Thermal Systems, Inc.","PELTIER CP2,31,06,L1,RT,W4.5",490,0,"25.93000","0","1","CP","Active","62.00mm x 62.00mm x 4.57mm","29.3W @ 25°C","68°C @ 25°C","14.0A","3.5V","84 mOhms","80°C","Lead Wires, Sealed - Silicone RTV"
