Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Usage","Contents"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14683_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-14683.jpg,1568-1921-ND,TOL-14683,SparkFun Electronics,SPARKFUN TOOL BAG KIT,13,0,"77.50000","0","1","-","Active","General Purpose","-"
-,-,1742-1413-ND,92906,"Klein Tools, Inc.",APPRENTICE TOOL KIT 6 PC,3,0,"121.89000","0","1","-","Active","Electrical, Industrial","6 Pieces - Plier, Screwdriver, Wire Stripper"
-,//media.digikey.com/Photos/Klein-Tools/MFG_80006.jpg,80006-ND,80006,"Klein Tools, Inc.",6-PC TRIM-OUT SET,2,0,"122.76000","0","1","-","Active","Electrical, Industrial","-"
https://www.jonard.com/~/media/D0D52C9309B448F0993EE36B0AC4A667.pdf,-,K716-ND,TK-78,Jonard Tools,COAX TOOL KIT W/ 360 COMP TOOL,5,0,"150.24000","0","1","TK","Active","Audio/Video, CATV, Satellite","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV026-831.JPG,1742-1191-ND,VDV026-831,"Klein Tools, Inc.",VDV PROTECH DATA KIT,3,0,"156.35000","0","1","VDV Pro Tech™","Active","Datacom, Networking, Telecom","-"
-,-,CMHTHTB-ND,CMHTHTB,Apex Tool Group,CRESCENT HEX AND TORX BIT ASSORT,13,0,"179.25000","0","1","-","Active","-","-"
http://download.flukenetworks.com/Download/Asset/7001259-a-en.pdf?nvb=20190207162901&nva=20190207164901&token=01329bb8db0c97d536d82,-,1986-1016-ND,11293000,Fluke Networks,PROTOOL KIT IS60,5,0,"189.00000","0","1","-","Active","Datacom, Networking, Telecom","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV011-832.JPG,1742-1207-ND,VDV011-832,"Klein Tools, Inc.",VDV PROTECH COAXIAL KIT,4,0,"234.39000","0","1","VDV Pro Tech™","Active","Datacom, Networking, Telecom","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_99SM.jpg,99SMN-ND,99SMN,Apex Tool Group,TOOL SET 23PC SERVICE MASTER ROL,9,0,"240.00000","0","1","Xcelite®","Active","Industrial Applications","23 Pieces - Bit, Blades, Cutter, Handle, Plier, Pouch, Wrench"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ToolSets.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_92003.jpg,92003-ND,92003,"Klein Tools, Inc.",12-PC ELECTRICIAN TOOL SET,2,0,"265.50000","0","1","-","Active","Electrical, Industrial","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-11805_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_TOL-11805.jpg,1568-1919-ND,TOL-11805,SparkFun Electronics,SPARKFUN DELUXE TOOL KIT,6,0,"275.00000","0","1","-","Active","General Purpose","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ToolSets.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_5300.jpg,5300KT-ND,5300,"Klein Tools, Inc.",ELECTRICIAN'S TOOL SET,2,0,"278.41000","0","1","-","Active","Electrical, Industrial","-"
-,//media.digikey.com/Photos/TE%20Connectivity/725929.jpg,A127642-ND,725929,TE Connectivity AMP Connectors,KFZ REPAIR KIT,7,0,"278.71000","0","1","-","Active","Crimping","Case, Crimper, Terminals and Wire Splices"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV001-833.JPG,1742-1214-ND,VDV001-833,"Klein Tools, Inc.",VDV PROTECH DATA & COAXIAL KIT,4,0,"333.79000","0","1","VDV Pro Tech™","Active","Datacom, Networking, Telecom","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1920000000_DS.pdf,//media.digikey.com/photos/Weidmuller/MFG_1920000000.jpg,281-3448-ND,1920000000,Weidmüller,KIT CABLE GLAND W/CASE,5,8,"392.60000","0","1","Screwty","Active","Industrial Applications","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_ToolSets.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_80028.jpg,1742-1345-ND,80028,"Klein Tools, Inc.",28-PC ELECTRICIAN TOOL SET,2,0,"453.27000","0","1","-","Active","Electrical, Industrial","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_33526.jpg,33526-ND,33526,"Klein Tools, Inc.","BASIC INSULATED TOOL KIT, 8 PC",2,0,"525.35000","0","1","-","Active","Electrical, Industrial","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_33529.jpg,33529-ND,33529,"Klein Tools, Inc.","PREMIUM INSULATED TOOL KIT, 8 PC",2,0,"550.05000","0","1","-","Active","Electrical, Industrial","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_33525SC.jpg,33525SC-ND,33525SC,"Klein Tools, Inc.",UTILITY INSULATED TOOL KIT 13 PC,2,0,"756.28000","0","1","-","Active","Electrical, Industrial","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_33525.jpg,33525-ND,33525,"Klein Tools, Inc.","UTILITY INSULATED TOOL KIT, 13 P",2,0,"895.57000","0","1","-","Active","Electrical, Industrial","-"
-,-,CMHT12-ND,CMHT12,Apex Tool Group,CRESCENT 1/2"" DRIVE ASSORTMENT,4,0,"900.58000","0","1","-","Active","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_InsulatedTools.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_33527.jpg,33527-ND,33527,"Klein Tools, Inc.",GENERAL PURPOSE INSULATED TOOL K,2,0,"1309.31000","0","1","-","Active","Electrical, Industrial","-"
http://v.fastcdn.co/u/7e4e9c2d/12104938-0-Xcelite-Catalog-5506.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_TCMB100STW.jpg,TCMB100STWN-ND,TCMB100STWN,Apex Tool Group,TOOL KIT 3-PANEL 2-PLT WHEELED B,2,0,"1350.00000","0","1","Xcelite®","Active","Industrial Applications","86 Pieces - Assorted Hand Tools"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_57060.jpg,57060-ND,57060,"Klein Tools, Inc.",MASTER ELECTRICIANS TORQUE KIT 2,2,0,"1667.95000","0","1","-","Active","Electrical, Industrial","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV012-811.JPG,1742-1148-ND,VDV012-811,"Klein Tools, Inc.",COAX INSTALLER STARTER KIT- F-CO,6,0,"75.14000","0","1","-","Obsolete","Datacom, Networking, Telecom","-"
https://cdn.wihatoolsus.com/pdfs/WihaESDCatalog.pdf,-,431-27397-ND,27397,Wiha,SMARTPHONE SCREWDRIVER SET,6,0,"76.47000","0","1","-","Active","Mobile, PC Repair","-"
-,-,431-32647-ND,32647,Wiha,SOFT GRIP PLIERS & CUTTERS 4 PC.,5,0,"82.95000","0","1","*","Active","-","-"
-,-,431-30965-ND,30965,Wiha,INDUSTRIAL SOFTGRIP PLIERS/CUTTE,5,0,"89.99000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dremel%20PDFs/2290_Web.pdf,-,2017-1008-ND,2290,Dremel,"MAKER KIT - 3 TOOL KIT (200, 290",4,0,"98.99000","0","1","-","Active","-","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32872.jpg,431-1691-ND,32872,Wiha,HAND TOOLS,4,0,"102.46000","0","1","-","Active","Electrical","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32864.JPG,431-2153-ND,32864,Wiha,INSULATED PLIERS & CUTTERS 3 PC.,5,0,"114.96000","0","1","-","Active","General Purpose","Combination Linemans Plier, Cutter, Plier"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32985.jpg,431-1696-ND,32985,Wiha,"PLIERS, DRIVERS INSULATED SET",7,0,"133.20000","0","1","-","Active","Industrial Applications","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32865.JPG,431-2154-ND,32865,Wiha,INSULATED SLIMLINE BLADES & PLIE,5,0,"143.46000","0","1","-","Active","General Purpose","Blades, Plier"
http://greenlee.ebizcdn.com/d7f5e210cb454115a9b4b7c33a99bcc7,//media.digikey.com/Photos/Greenlee%20Communications/MFG_46602.jpg,46602-ND,46602,Greenlee Communications,PRO COAX TOOL KIT-SHORT,3,0,"150.00000","0","1","-","Discontinued at Digi-Key","Audio/Video, CATV, Satellite","Belt Clip, Cable Stripper, Crimper, Cutter, Flashlight, Multi-Tool, Pouch, Torque Wrench"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/32875.jpg,431-2535-ND,32875,Wiha,INSULATED PLIERS/CUTTERS DRIVERS,3,0,"153.70000","0","1","-","Active","Electrical, Industrial","-"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32986.jpg,431-1697-ND,32986,Wiha,"PLIERS, DRIVER INSULATED SET",2,0,"198.80000","0","1","-","Active","Industrial Applications","-"
https://cdn.wihatoolsus.com/pdfs/WihaESDCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_26970.jpg,431-26970-ND,26970,Wiha,DRIVE LOC 4 SET W/TWEEZERS,5,0,"204.96000","0","1","SoftFinish®","Active","Electrical","-"
https://cdn.wihatoolsus.com/pdfs/WihaPliersCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_30998.jpg,431-1630-ND,30998,Wiha,HAND TOOLS,3,0,"212.96000","0","1","-","Active","General Purpose","-"
-,//media.digikey.com/Photos/Wiha/MFG_32934.jpg,431-32934-ND,32934,Wiha,INSULATED APPRENTICE TOOL SET 16,2,0,"216.89000","0","1","*","Active","-","-"
https://greenlee-cdn.ebizcdn.com/media/2015%20Communications.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/MFG_901081.jpg,PA901081-ND,PA901081,Greenlee Communications,KIT COAX DELUXE,15,0,"231.41000","0","1","CoaxReady","Discontinued at Digi-Key","Broadcast Applications","Cable Stripper, Cable Tester, Case, Crimper, Cutter, Die Sets"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/901053.jpg,PA901053-ND,PA901053,Greenlee Communications,DATAREADY KIT CAT5 DATACOMM 7PC,4,0,"256.39000","0","1","DataReady™, SurePunch®, SureStrip™","Discontinued at Digi-Key","Cat5 Datacommunication","All-In-One Crimper, Cutter, Modular Connectors, Punchdown, Patch-Check™ Tester"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32878.jpg,431-2493-ND,32878,Wiha,PLIER/CUTTER/DRIVER 13PC W/BOX,2,0,"286.96000","0","1","-","Active","Electrical","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/32999.jpg,431-1550-ND,32999,Wiha,INSULATED PLIERS/CUTTERS 9 PC. S,3,0,"299.96000","0","1","-","Active","Electrical, Industrial","-"
https://www.jonard.com/~/media/C208B912E3AF4600A11765E060BA2D19.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_TK-450M.jpg,K778-ND,TK-450M,Jonard Tools,COAX TOOL KIT,3,0,"302.14000","0","1","TK","Obsolete","Audio/Video, CATV, Satellite","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers,%20High%20Visibility%20Comfort%20Grip.pdf",//media.digikey.com/Photos/Wiha/MFG_32895.jpg,431-1059-ND,32895,Wiha,PLIER/SCRWDRVR INSUL 14PC W/CASE,4,0,"307.46000","0","1","-","Active","General Purpose","Case, Cutter, Plier, Screwdriver"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers,%20High%20Visibility%20Comfort%20Grip.pdf",//media.digikey.com/Photos/Wiha/MFG_32889.jpg,431-1577-ND,32889,Wiha,PLIER/CUTTER INSUL 8PC W/POUCH,3,0,"307.46000","0","1","-","Active","Electrical","Cutter, Knife, Plier, Pouch, Wire Stripper"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/32869.jpg,431-1690-ND,32869,Wiha,INSULATED PLIERS/SLIMLINE 14 PC.,2,0,"409.96000","0","1","-","Active","Electrical, Industrial","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers%20-%20Comfort%20Grip%20Handle.pdf,//media.digikey.com/Photos/Wiha/32879.jpg,431-1070-ND,32879,Wiha,MASTER ELECT INSUTATED SET 25PC,2,0,"481.70000","0","1","-","Active","Electrical","-"
-,-,431-32937-ND,32937,Wiha,INSULATED MASTER ELECTRICIAN'S S,2,0,"539.30000","0","1","*","Active","-","-"
//media.digikey.com/pdf/Data Sheets/Paladin PDFs/Communications Brochure.pdf,//media.digikey.com/photos/Paladin%20Tools%20Photos/901039.jpg,PA901039-ND,PA901039,Greenlee Communications,PREMISE SERVICE KIT 13PC,2,0,"582.71000","0","1","Premise","Discontinued at Digi-Key","Twisted Pair and Coaxial Cable Installation","Adapters, Cable Check, Case, Crimper Frame, Die Sets, LAN Tester, Punchdown, Wire Cutter, Wire Stripper"
-,-,431-32935-ND,32935,Wiha,TOOL SET JOURNEYMAN 30 PC,5,0,"587.96000","0","1","-","Active","Electrical, Industrial","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Pliers%20-%20Comfort%20Grip%20Handle.pdf,//media.digikey.com/Photos/Wiha/32896.jpg,431-1067-ND,32896,Wiha,MASTER ELECTRICIAN 31PC SET,2,0,"614.96000","0","1","-","Active","Electrical","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%203-8ths%20in.%20Sockets%20&%20Sets%20p102.pdf,//media.digikey.com/Photos/Wiha/31495.jpg,431-1084-ND,31495,Wiha,SOCKET SET INSULATED W/BOX 24PC,11,0,"789.20000","0","1","-","Active","Industrial Applications","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%203-8ths%20in.%20Sockets%20&%20Sets%20p102.pdf,//media.digikey.com/Photos/Wiha/MFG_31592.jpg,431-1676-ND,31592,Wiha,INSULATED 24PC SOCKET SET IN BOX,2,0,"789.20000","0","1","-","Active","Industrial Applications","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Half-in.%20Sockets%20&%20Sets.pdf,//media.digikey.com/Photos/Wiha/MFG_31790.jpg,431-1854-ND,31790,Wiha,INSULATED 24PC COMBO SET IN BOX,2,0,"819.96000","0","1","-","Active","General Purpose","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32876.jpg,431-1692-ND,32876,Wiha,TOOL SET INSUL 66PC IN TOOL BOX,3,0,"1537.47000","0","1","-","Active","Electrical","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32877.jpg,431-1693-ND,32877,Wiha,TOOL SET INSUL 80PC IN TOOL BOX,2,0,"1742.47000","0","1","-","Active","Electrical","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/32390.pdf,//media.digikey.com/Photos/Wiha/MFG_32390.jpg,431-1080-ND,32390,Wiha,TOOLS PROTURN INSUL 11PC W/BAG,13,0,"216.24000","0","1","Proturn®","Obsolete","Electrical","-"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/ProPliersCutters&Crimpers_catVer2-1-12.pdf#Page=27,//media.digikey.com/Photos/Wiha/MFG_30991.jpg,431-1849-ND,30991,Wiha,HAND TOOLS,5,0,"235.58000","0","1","-","Obsolete","General Purpose","-"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/IFIX_EU145307%E2%80%904_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_IFIX-EU145307-4.jpg,1778-1182-ND,IFIX EU145307-4,Pimoroni Ltd,IFIXIT PRO TECH TOOLKIT,0,0,"78.18000","0","1","iFixit","Active","Mobile, PC Repair","84 Pieces - Assorted Hand Tools"
https://www.jonard.com/~/media/BEEDC8EEB136498BAC5AAA90A4F587F4.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/TK-AT5.JPG,K513-ND,TK-AT5,Jonard Tools,TOOL KIT ALIGNMENT 5PCS,25,0,"11.26000","0","1","TK","Active","Adjustment, Alignment","-"
https://www.jonard.com/~/media/7287BA747A4E4D17BBF6805475EC11C7.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_TK-19.jpg,K597-ND,TK-19,Jonard Tools,TOOL KIT PHONE/TABLET REPAIR,11,0,"16.67000","0","1","TK","Active","Mobile, PC Repair","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1044971,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1044971.jpg,277-17731-ND,1044971,Phoenix Contact,TOOL-BAG CRIMPFOX DUO 10 SET,1,0,"360.00000","0","1","CRIMPFOX, CUTFOX, WIREFOX","Active","Crimping","-"
https://cdn.wihatoolsus.com/pdfs/WihaInsulatedCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_32801_VIEW-1.jpg,431-1869-ND,32801,Wiha,INSULATED 112 PC SET IN ROLLING,0,0,"2999.97000","0","1","-","Active","Electrical, Industrial","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3445_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3445.jpg,1528-2274-ND,3445,Adafruit Industries LLC,IFIXIT ESSENTIAL ELECTRONICS TOO,0,0,"19.95000","0","1","iFixit","Active","Electrical","-"
