Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Current","DC Resistance (DCR) (Max)","Operating Temperature","Insertion Loss","Temperature Coefficient","Ratings","Mounting Type","Package / Case","Size / Dimension","Height (Max)","Thread Size"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1A3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-6980-2-ND,NFM21PC105B1A3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 10V 0805,312000,0,"0.09860","0","4000","Tape & Reel (TR)","EMIFIL®, NFM21","Active","1µF","±20%","10V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1A3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-6980-1-ND,NFM21PC105B1A3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 10V 0805,317347,0,"0.22000","0","1","Cut Tape (CT)","EMIFIL®, NFM21","Active","1µF","±20%","10V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1A3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-6980-6-ND,NFM21PC105B1A3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 10V 0805,317347,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM21","Active","1µF","±20%","10V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC474R0J3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6973-2-ND,NFM18PC474R0J3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 6.3V 0603,48000,0,"0.10013","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","0.47µF","±20%","6.3V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC474R0J3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6973-1-ND,NFM18PC474R0J3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 6.3V 0603,49318,0,"0.23000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","0.47µF","±20%","6.3V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC474R0J3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6973-6-ND,NFM18PC474R0J3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 6.3V 0603,49318,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","0.47µF","±20%","6.3V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-3912-2-ND,NFM21PC105B1C3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 16V 0805,76000,0,"0.10659","0","4000","Tape & Reel (TR)","EMIFIL®, NFM21","Active","1µF","±20%","16V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-3912-1-ND,NFM21PC105B1C3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 16V 0805,77812,0,"0.24000","0","1","Cut Tape (CT)","EMIFIL®, NFM21","Active","1µF","±20%","16V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC105B1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-3912-6-ND,NFM21PC105B1C3D,Murata Electronics North America,CAP FEEDTHRU 1UF 20% 16V 0805,77812,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM21","Active","1µF","±20%","16V","4A","20mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC474R1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2537-2-ND,NFM21PC474R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 20% 16V 0805,240000,0,"0.10897","0","4000","Tape & Reel (TR)","EMIFIL®, NFM21","Active","0.47µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC474R1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2537-1-ND,NFM21PC474R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 20% 16V 0805,245792,0,"0.25000","0","1","Cut Tape (CT)","EMIFIL®, NFM21","Active","0.47µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM21PC474R1C3-01.pdf,//media.digikey.com/Renders/Murata%20Renders/NFM21C%20Series%200805.jpg,490-2537-6-ND,NFM21PC474R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.47UF 20% 16V 0805,245792,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM21","Active","0.47µF","±20%","16V","2A","30mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0805 (2012 Metric), 3 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)","-"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_yff-p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805%20CKD%20Series.jpg,445-3027-2-ND,YFF21PC1A105MT000N,TDK Corporation,CAP FEEDTHRU 1UF 20% 10V 0805,20000,0,"0.12375","0","4000","Tape & Reel (TR)","YFF-P","Active","1µF","±20%","10V","4A","12mOhm","-55°C ~ 85°C","40dB @ 700kHz ~ 1GHz","-","-","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_yff-p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805%20CKD%20Series.jpg,445-3027-1-ND,YFF21PC1A105MT000N,TDK Corporation,CAP FEEDTHRU 1UF 20% 10V 0805,23032,0,"0.55000","0","1","Cut Tape (CT)","YFF-P","Active","1µF","±20%","10V","4A","12mOhm","-55°C ~ 85°C","40dB @ 700kHz ~ 1GHz","-","-","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_yff-p_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805%20CKD%20Series.jpg,445-3027-6-ND,YFF21PC1A105MT000N,TDK Corporation,CAP FEEDTHRU 1UF 20% 10V 0805,23032,0,"Digi-Reel","0","1","Digi-Reel®","YFF-P","Active","1µF","±20%","10V","4A","12mOhm","-55°C ~ 85°C","40dB @ 700kHz ~ 1GHz","-","-","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.039"" (1.00mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC223R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6966-2-ND,NFM18CC223R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.022UF 16V 0603,112000,0,"0.12410","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","0.022µF","±20%","16V","1A","50mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC223R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6966-1-ND,NFM18CC223R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.022UF 16V 0603,115082,0,"0.28000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","0.022µF","±20%","16V","1A","50mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC223R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6966-6-ND,NFM18CC223R1C3D,Murata Electronics North America,CAP FEEDTHRU 0.022UF 16V 0603,116082,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","0.022µF","±20%","16V","1A","50mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC222R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6965-2-ND,NFM18CC222R1C3D,Murata Electronics North America,CAP FEEDTHRU 2200PF 20% 16V 0603,4000,0,"0.12410","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","2200pF","±20%","16V","700mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC222R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6965-1-ND,NFM18CC222R1C3D,Murata Electronics North America,CAP FEEDTHRU 2200PF 20% 16V 0603,7681,0,"0.28000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","2200pF","±20%","16V","700mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC222R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6965-6-ND,NFM18CC222R1C3D,Murata Electronics North America,CAP FEEDTHRU 2200PF 20% 16V 0603,7681,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","2200pF","±20%","16V","700mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC471R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6968-2-ND,NFM18CC471R1C3D,Murata Electronics North America,CAP FEEDTHRU 470PF 20% 16V 0603,72000,0,"0.13073","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","470pF","±20%","16V","500mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC471R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6968-1-ND,NFM18CC471R1C3D,Murata Electronics North America,CAP FEEDTHRU 470PF 20% 16V 0603,74875,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","470pF","±20%","16V","500mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18CC471R1C3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6968-6-ND,NFM18CC471R1C3D,Murata Electronics North America,CAP FEEDTHRU 470PF 20% 16V 0603,74875,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","470pF","±20%","16V","500mA","300mOhm","-55°C ~ 125°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC225B1A3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6972-2-ND,NFM18PC225B1A3D,Murata Electronics North America,CAP FEEDTHRU 2.2UF 20% 10V 0603,192000,0,"0.13260","0","4000","Tape & Reel (TR)","EMIFIL®, NFM18","Active","2.2µF","±20%","10V","4A","10mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC225B1A3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6972-1-ND,NFM18PC225B1A3D,Murata Electronics North America,CAP FEEDTHRU 2.2UF 20% 10V 0603,198638,0,"0.30000","0","1","Cut Tape (CT)","EMIFIL®, NFM18","Active","2.2µF","±20%","10V","4A","10mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC225B1A3-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0603-(1608-Metric),-3-PC-Pad.jpg",490-6972-6-ND,NFM18PC225B1A3D,Murata Electronics North America,CAP FEEDTHRU 2.2UF 20% 10V 0603,198638,0,"Digi-Reel","0","1","Digi-Reel®","EMIFIL®, NFM18","Active","2.2µF","±20%","10V","4A","10mOhm","-40°C ~ 85°C","-","-","-","Surface Mount","0603 (1608 Metric), 3 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)","-"
http://datasheets.avx.com/AVX-Auto-W2FW3F.pdf,"//media.digikey.com/Renders/AVX%20Renders/W2F,%20W3F%20Series%200805.jpg",478-2236-2-ND,W2F15C2238AT1F,AVX Corporation,CAP FEEDTHRU 0.022UF 50V 0805,18000,0,"0.13988","0","1000","Tape & Reel (TR)","W2F","Active","0.022µF","-20%, +50%","50V","300mA","600mOhm","-55°C ~ 125°C","-","X7R","AEC-Q200","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.045"" (1.14mm)","-"
http://datasheets.avx.com/AVX-Auto-W2FW3F.pdf,"//media.digikey.com/Renders/AVX%20Renders/W2F,%20W3F%20Series%200805.jpg",478-2236-1-ND,W2F15C2238AT1F,AVX Corporation,CAP FEEDTHRU 0.022UF 50V 0805,18530,0,"0.75000","0","1","Cut Tape (CT)","W2F","Active","0.022µF","-20%, +50%","50V","300mA","600mOhm","-55°C ~ 125°C","-","X7R","AEC-Q200","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.045"" (1.14mm)","-"
http://datasheets.avx.com/AVX-Auto-W2FW3F.pdf,"//media.digikey.com/Renders/AVX%20Renders/W2F,%20W3F%20Series%200805.jpg",478-2236-6-ND,W2F15C2238AT1F,AVX Corporation,CAP FEEDTHRU 0.022UF 50V 0805,18530,0,"Digi-Reel","0","1","Digi-Reel®","W2F","Active","0.022µF","-20%, +50%","50V","300mA","600mOhm","-55°C ~ 125°C","-","X7R","AEC-Q200","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.045"" (1.14mm)","-"
http://datasheets.avx.com/AVX-Auto-W2FW3F.pdf,//media.digikey.com/Renders/AVX%20Renders/W2H-W3H%20Series%200805.jpg,478-5473-2-ND,W2H11A4718AT1F,AVX Corporation,CAP FEEDTHRU 470PF 100V 0805,27000,42000,"0.14511","0","1000","Tape & Reel (TR)","W2H","Active","470pF","-20%, +50%","100V","500mA","150mOhm","-55°C ~ 125°C","-","C0G, NP0","-","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.045"" (1.14mm)","-"
http://datasheets.avx.com/AVX-Auto-W2FW3F.pdf,//media.digikey.com/Renders/AVX%20Renders/W2H-W3H%20Series%200805.jpg,478-5473-1-ND,W2H11A4718AT1F,AVX Corporation,CAP FEEDTHRU 470PF 100V 0805,27733,42000,"0.57000","0","1","Cut Tape (CT)","W2H","Active","470pF","-20%, +50%","100V","500mA","150mOhm","-55°C ~ 125°C","-","C0G, NP0","-","Surface Mount","0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","0.045"" (1.14mm)","-"
