Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency - Center","Bandwidth","Insertion Loss","Ratings","Applications","Mounting Type","Package / Case","Height (Max)","Size / Dimension"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A26-915.00-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12062-1-ND,AFS14A26-915.00-T3,Abracon LLC,FILTER SAW 915MHZ 5SMD,8745,0,"0.95000","0","1","Cut Tape (CT)","-","Active","915MHz","26MHz","2.5dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A26-915.00-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12062-6-ND,AFS14A26-915.00-T3,Abracon LLC,FILTER SAW 915MHZ 5SMD,8745,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","915MHz","26MHz","2.5dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39162B9416K610.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-3911-2-ND,B39162B9416K610S 5,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 1.575GHZ 5SMD,15000,0,"0.49335","0","5000","Tape & Reel (TR)","-","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39162B9416K610.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-3911-1-ND,B39162B9416K610S 5,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 1.575GHZ 5SMD,16915,0,"1.18000","0","1","Cut Tape (CT)","-","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39162B9416K610.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-3911-6-ND,B39162B9416K610S 5,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 1.575GHZ 5SMD,16915,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.575GHz","2MHz","0.9dB","-","GPS","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A04-1575.42-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12060-2-ND,AFS14A04-1575.42-T3,Abracon LLC,FILTER SAW 1.575GHZ 5SMD,24000,0,"0.54000","0","3000","Tape & Reel (TR)","-","Active","1.575GHz","40MHz","0.9dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A04-1575.42-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12060-1-ND,AFS14A04-1575.42-T3,Abracon LLC,FILTER SAW 1.575GHZ 5SMD,27542,0,"1.23000","0","1","Cut Tape (CT)","-","Active","1.575GHz","40MHz","0.9dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://abracon.com/Filters/SAW%20FILTERS/AFS14A04-1575.42-T3.pdf,"//media.digikey.com/Renders/Abracon%20Renders/5-SMD,%20No%20Lead.jpg",535-12060-6-ND,AFS14A04-1575.42-T3,Abracon LLC,FILTER SAW 1.575GHZ 5SMD,27542,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.575GHz","40MHz","0.9dB","-","General Purpose","Surface Mount","5-SMD, No Lead","0.028"" (0.70mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/CSR%20PDFs/B39242B8857L210.pdf,-,B39242B8857L210TR-ND,B39242B8857L210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 2.442GHZ 5SMD,10000,0,"0.64350","0","5000","Tape & Reel (TR)","B8857","Active","2.442GHz","79MHz","1.6dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.028"" (0.71mm)","0.043"" L x 0.035"" W (1.09mm x 0.89mm)"
//media.digikey.com/pdf/Data%20Sheets/CSR%20PDFs/B39242B8857L210.pdf,-,B39242B8857L210CT-ND,B39242B8857L210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 2.442GHZ 5SMD,14647,0,"1.53000","0","1","Cut Tape (CT)","B8857","Active","2.442GHz","79MHz","1.6dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.028"" (0.71mm)","0.043"" L x 0.035"" W (1.09mm x 0.89mm)"
//media.digikey.com/pdf/Data%20Sheets/CSR%20PDFs/B39242B8857L210.pdf,-,B39242B8857L210DKR-ND,B39242B8857L210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 2.442GHZ 5SMD,14647,0,"Digi-Reel","0","1","Digi-Reel®","B8857","Active","2.442GHz","79MHz","1.6dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.028"" (0.71mm)","0.043"" L x 0.035"" W (1.09mm x 0.89mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39242B8328P810.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39242B8328P810.JPG,495-7019-2-ND,B39242B8328P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,20000,0,"0.71500","0","5000","Tape & Reel (TR)","B8328","Active","2.442GHz","79MHz","1.1dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.018"" (0.45mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39242B8328P810.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39242B8328P810.JPG,495-7019-1-ND,B39242B8328P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 2.442GHZ 5SMD,25061,0,"1.71000","0","1","Cut Tape (CT)","B8328","Active","2.442GHz","79MHz","1.1dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.018"" (0.45mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/B39242B8328P810.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B39242B8328P810.JPG,495-7019-6-ND,B39242B8328P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,25061,0,"Digi-Reel","0","1","Digi-Reel®","B8328","Active","2.442GHz","79MHz","1.1dB","-","Bluetooth, WLAN","Surface Mount","5-SMD, No Lead","0.018"" (0.45mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://wireless.murata.com/RFM/data/sf2049e.pdf,//media.digikey.com/Renders/Murata%20Renders/6-SMD.jpg,583-1199-2-ND,SF2049E,Murata Electronics North America,FILTER SAW 915MHZ 6SMD,6500,0,"0.72150","0","500","Tape & Reel (TR)","-","Active","915MHz","26MHz","2.2dB","-","ISM","Surface Mount","6-SMD, No Lead","0.054"" (1.38mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://wireless.murata.com/RFM/data/sf2049e.pdf,//media.digikey.com/Renders/Murata%20Renders/6-SMD.jpg,583-1199-1-ND,SF2049E,Murata Electronics North America,FILTER SAW 915MHZ 6SMD,7169,0,"1.33000","0","1","Cut Tape (CT)","-","Active","915MHz","26MHz","2.2dB","-","ISM","Surface Mount","6-SMD, No Lead","0.054"" (1.38mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://wireless.murata.com/RFM/data/sf2049e.pdf,//media.digikey.com/Renders/Murata%20Renders/6-SMD.jpg,583-1199-6-ND,SF2049E,Murata Electronics North America,FILTER SAW 915MHZ 6SMD,7169,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","915MHz","26MHz","2.2dB","-","ISM","Surface Mount","6-SMD, No Lead","0.054"" (1.38mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3710.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1870-2-ND,B39431B3710U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,9000,0,"0.73502","0","9000","Tape & Reel (TR)","-","Active","433.92MHz","1.7MHz","2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3710.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1870-1-ND,B39431B3710U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,15438,0,"1.75000","0","1","Cut Tape (CT)","-","Active","433.92MHz","1.7MHz","2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3710.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1870-6-ND,B39431B3710U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,15438,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","433.92MHz","1.7MHz","2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3728.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7429-2-ND,B39921B3728U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,18000,0,"0.77177","0","9000","Tape & Reel (TR)","-","Active","915MHz","26MHz","2.2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3728.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7429-1-ND,B39921B3728U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,22618,0,"1.84000","0","1","Cut Tape (CT)","-","Active","915MHz","26MHz","2.2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3728.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7429-6-ND,B39921B3728U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,22618,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","915MHz","26MHz","2.2dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4301.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,B39921B4301F210TR-ND,B39921B4301F210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 5SMD,20000,0,"0.83083","0","5000","Tape & Reel (TR)","-","Active","915MHz","26MHz","1.5dB","AEC-Q200","Remote Control","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4301.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,B39921B4301F210CT-ND,B39921B4301F210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 5SMD,24137,0,"1.98000","0","1","Cut Tape (CT)","B4301","Active","915MHz","-","1.5dB","AEC-Q200","Remote Control","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.09mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4301.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,B39921B4301F210DKR-ND,B39921B4301F210,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 5SMD,24137,0,"Digi-Reel","0","1","Digi-Reel®","B4301","Active","915MHz","-","1.5dB","AEC-Q200","Remote Control","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.09mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4327.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-7424-2-ND,B39162B4327P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,15000,0,"0.83083","0","5000","Tape & Reel (TR)","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4327.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-7424-1-ND,B39162B4327P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,17734,0,"1.98000","0","1","Cut Tape (CT)","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
https://en.rf360jv.com/inf/40/ds/ae/B4327.pdf,//media.digikey.com/Renders/Epcos%20Renders/B7839%20Series.jpg,495-7424-6-ND,B39162B4327P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 5SMD,17734,0,"Digi-Reel","0","1","Digi-Reel®","*","Active","-","-","-","-","-","Surface Mount","5-SMD, No Lead","0.016"" (0.40mm)","0.055"" L x 0.043"" W (1.40mm x 1.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Qualcomm%20PDFs/B39921B3588U410.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1674-2-ND,B39921B3588U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,81000,0,"0.87237","0","9000","Tape & Reel (TR)","-","Active","915MHz","26MHz","2.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Qualcomm%20PDFs/B39921B3588U410.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1674-1-ND,B39921B3588U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,86769,0,"2.08000","0","1","Cut Tape (CT)","-","Active","915MHz","26MHz","2.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Qualcomm%20PDFs/B39921B3588U410.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-1674-6-ND,B39921B3588U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 915MHZ 6SMD,86769,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","915MHz","26MHz","2.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3743.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-4368-2-ND,B39431B3743H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,27000,0,"0.87237","0","9000","Tape & Reel (TR)","-","Active","433.92MHz","340kHz","1.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3743.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-4368-1-ND,B39431B3743H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,34467,0,"2.08000","0","1","Cut Tape (CT)","-","Active","433.92MHz","340kHz","1.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3743.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-4368-6-ND,B39431B3743H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 433.92MHZ 6SMD,34467,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","433.92MHz","340kHz","1.9dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3741.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7425-2-ND,B39321B3741H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 315MHZ 6SMD,18000,0,"0.87237","0","9000","Tape & Reel (TR)","-","Active","315MHz","360kHz","2.1dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3741.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7425-1-ND,B39321B3741H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 315MHZ 6SMD,18241,0,"2.08000","0","1","Cut Tape (CT)","-","Active","315MHz","360kHz","2.1dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3741.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7425-6-ND,B39321B3741H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 315MHZ 6SMD,18241,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","315MHz","360kHz","2.1dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3744.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7427-2-ND,B39871B3744H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 868.3MHZ 6SMD,18000,0,"0.87237","0","9000","Tape & Reel (TR)","-","Active","868.3MHz","600kHz","3dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3744.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7427-1-ND,B39871B3744H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 868.3MHZ 6SMD,21917,0,"2.08000","0","1","Cut Tape (CT)","-","Active","868.3MHz","600kHz","3dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3744.pdf,"//media.digikey.com/Photos/Epcos%20Photos/6-SMD,-No-Lead.jpg",495-7427-6-ND,B39871B3744H110,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 868.3MHZ 6SMD,21917,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","868.3MHz","600kHz","3dB","AEC-Q200","Remote Control","Surface Mount","6-SMD, No Lead","0.039"" (1.00mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
https://en.rf360jv.com/inf/40/ds/ae/B3913.pdf,-,B39162B3913U410TR-ND,B39162B3913U410,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),FILTER SAW 1.588GHZ 6SMD,18000,0,"0.87237","0","9000","Tape & Reel (TR)","-","Active","1.588GHz","56MHz","2dB","AEC-Q200","GPS","Surface Mount","6-SMD, No Lead","0.043"" (1.10mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)"
