Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Input Type","Output Type","Mounting Type"
-,-,Z-300LS-T-ND,Z-300LS-T,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-300PJ-ND,Z-300PJ,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-300TJ-STG-ND,Z-300TJ-STG,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-300WS-EW-ND,Z-300WS-EW,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-301LS-ND,Z-301LS,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-321NF-A-ND,Z-321NF-A,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/Z-321NFW-50.pdf,-,Z-321NFW-50-ND,Z-321NFW-50,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-321NFW-MS-ND,Z-321NFW-MS,Pulse Electronics Network,IC CHIP,0,0,"Active","0","0","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/Z-321P2J.pdf,-,Z-321P2J-ND,Z-321P2J,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330CWA-ND,Z-330CWA,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330P2J-ST-ND,Z-330P2J-ST,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/Z-330PJ.pdf,-,Z-330PJ-ND,Z-330PJ,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330TJA-A-ND,Z-330TJA-A,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330TJA-ST-ND,Z-330TJA-ST,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330W-ND,Z-330W,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-330WS-ND,Z-330WS,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/Z-369LS.pdf,-,Z-369LS-ND,Z-369LS,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/Z-369P2J.pdf,-,Z-369P2J-ND,Z-369P2J,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-470P2J-ND,Z-470P2J,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z-505P2J-ND,Z-505P2J,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,Z59X8-57EX2F-ND,Z59X8-57EX2F,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11264-ND,ZE11264,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11267-ND,ZE11267,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11326-ND,ZE11326,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11328-ND,ZE11328,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11329-ND,ZE11329,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11330-ND,ZE11330,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11899-XXX-ND,ZE11899-XXX,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE11906-ND,ZE11906,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZE12076-ND,ZE12076,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZEBR-002-01PH-L-ND,ZEBR-002-01PH-L,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZXE004209146-ND,ZXE004209146,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
-,-,ZXE004220713-ND,ZXE004220713,Pulse Electronics Network,IC CHIP,0,0,"Obsolete","0","0","-","Obsolete","-","-","-"
https://www.bourns.com/docs/product-datasheets/3610v3.pdf,-,3610V3-ND,3610V3,Bourns Inc.,POTS SPLITTER STUD MOUNT,0,0,"Preliminary","0","0","*","Preliminary","Single-Line","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/361xV2_Series.pdf,-,3610V2-ND,3610V2,Bourns Inc.,POTS SPLITTER STUD MOUNT,0,0,"Obsolete","0","0","*","Obsolete","Single-Line","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/361xV2_Series.pdf,-,3611V2-ND,3611V2,Bourns Inc.,POTS SPLITTER PRESS MOUNT,0,0,"Obsolete","0","0","*","Obsolete","Single-Line","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/361xV2_Series.pdf,-,3612V2-ND,3612V2,Bourns Inc.,POTS SPLITTER BUS MOUNT,0,0,"Obsolete","0","0","*","Obsolete","Single-Line","-","-"
https://www.bourns.com/docs/product-datasheets/361xa2.pdf,-,3611A2-ND,3611A2,Bourns Inc.,POTS SPLITTER PRESS MOUNT,0,0,"Last Time Buy","0","0","*","Last Time Buy","Single-Line","-","-"
https://www.bourns.com/docs/product-datasheets/361xa2.pdf,-,3612A2-ND,3612A2,Bourns Inc.,POTS SPLITTER BUS MOUNT,0,0,"Obsolete","0","0","*","Obsolete","Single-Line","-","-"
