Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Number of Conductors","Pitch","Cable Length","Cable Width","Jacket (Insulation) Material","Jacket (Insulation) Thickness","Conductor Material","Conductor Plating","Ratings","Features"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-08.jpg,AE08-500-ND,PSR1636-08,Parlex USA LLC,CABLE FLAT FLEX 8COND 0.050"",13,0,"267.00000","0","1","PSR1636","Active","8","0.050"" (1.27mm)","500' (152.4m)","0.45"" (11.43mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-05.jpg,AF05-500-ND,PSR1635-05,Parlex USA LLC,CABLE FLAT FLEX 5COND 0.100"",13,0,"311.50000","0","1","PSR1635","Active","5","0.100"" (2.54mm)","500' (152.4m)","0.60"" (15.10mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-08.jpg,AF08-500-ND,PSR1635-08,Parlex USA LLC,CABLE FLAT FLEX 8COND 0.100"",25,0,"356.00000","0","1","PSR1635","Active","8","0.100"" (2.54mm)","500' (152.4m)","0.90"" (22.86mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-12.jpg,AE12-500-ND,PSR1636-12,Parlex USA LLC,CABLE FLAT FLEX 12COND 0.050"",11,0,"400.50000","0","1","PSR1636","Active","12","0.050"" (1.27mm)","500' (152.4m)","0.65"" (16.51mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-20.jpg,AF20-500-ND,PSR1635-20,Parlex USA LLC,CABLE FLAT FLEX 20COND 0.100"",14,0,"620.00000","0","1","PSR1635","Active","20","0.100"" (2.54mm)","500' (152.4m)","2.10"" (53.34mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-03.jpg,AF03-500-ND,PSR1635-03,Parlex USA LLC,CABLE FLAT FLEX 3COND 0.100"",2,0,"267.00000","0","1","PSR1635","Active","3","0.100"" (2.54mm)","500' (152.4m)","0.40"" (10.16mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-06.jpg,AF06-500-ND,PSR1635-06,Parlex USA LLC,CABLE FLAT FLEX 6COND 0.100"",15,0,"311.50000","0","1","PSR1635","Active","6","0.100"" (2.54mm)","500' (152.4m)","0.70"" (17.78mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-09.jpg,AF09-500-ND,PSR1635-09,Parlex USA LLC,CABLE FLAT FLEX 9COND 0.100"",12,0,"400.50000","0","1","PSR1635","Active","9","0.100"" (2.54mm)","500' (152.4m)","1.00"" (25.40mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-14.jpg,AF14-500-ND,PSR1635-14,Parlex USA LLC,CABLE FLAT FLEX 14COND 0.100"",18,0,"465.00000","0","1","PSR1635","Active","14","0.100"" (2.54mm)","500' (152.4m)","1.50"" (38.10mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-13.jpg,AF13-500-ND,PSR1635-13,Parlex USA LLC,CABLE FLAT FLEX 13COND 0.100"",5,0,"426.25000","0","1","PSR1635","Active","13","0.100"" (2.54mm)","500' (152.4m)","1.40"" (35.56mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-11.jpg,AF11-500-ND,PSR1635-11,Parlex USA LLC,CABLE FLAT FLEX 11COND 0.100"",6,0,"445.00000","0","1","PSR1635","Active","11","0.100"" (2.54mm)","500' (152.4m)","1.20"" (30.48mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-15.jpg,AF15-500-ND,PSR1635-15,Parlex USA LLC,CABLE FLAT FLEX 15COND 0.100"",4,0,"465.00000","0","1","PSR1635","Active","15","0.100"" (2.54mm)","500' (152.4m)","1.60"" (40.64mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-25.jpg,AE25-500-ND,PSR1636-25,Parlex USA LLC,CABLE FLAT FLEX 25COND 0.050"",4,0,"620.00000","0","1","PSR1636","Active","25","0.050"" (1.27mm)","500' (152.4m)","1.30"" (33.02mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-07.jpg,AE07-500-ND,PSR1636-07,Parlex USA LLC,CABLE FLAT FLEX 7COND 0.050"",3,0,"267.00000","0","1","PSR1636","Active","7","0.050"" (1.27mm)","500' (152.4m)","0.40"" (10.16mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-17.jpg,AE17-500-ND,PSR1636-17,Parlex USA LLC,CABLE FLAT FLEX 17COND 0.050"",6,0,"426.25000","0","1","PSR1636","Active","17","0.050"" (1.27mm)","500' (152.4m)","0.90"" (22.86mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/Photos/Parlex%20Photos/PSR1635-14-300.jpg,PSR1635-14-300-ND,PSR1635-14-300,Parlex USA LLC,CABLE FLAT FLEX 14COND 0.100"",6,0,"341.76000","0","1","PSR1635","Active","14","0.100"" (2.54mm)","300' (91.4m)","1.50"" (38.10mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-22.jpg,AE22-500-ND,PSR1636-22,Parlex USA LLC,CABLE FLAT FLEX 22COND 0.050"",11,0,"542.50000","0","1","PSR1636","Active","22","0.050"" (1.27mm)","500' (152.4m)","1.15"" (29.21mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-09-ND,PSR1636-09,Parlex USA LLC,CABLE FLAT FLEX 9COND 0.050"",0,0,"1.00450","0","1500","PSR1636","Active","9","0.050"" (1.27mm)","500' (152.4m)","0.50"" (12.70mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-11-ND,PSR1636-11,Parlex USA LLC,CABLE FLAT FLEX 11COND 0.050"",0,0,"1.14800","0","1500","PSR1636","Active","11","0.050"" (1.27mm)","500' (152.4m)","0.60"" (15.10mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-07-ND,PSR1635-07,Parlex USA LLC,CABLE FLAT FLEX 7COND 0.100"",0,0,"1.14800","0","1500","PSR1635","Active","7","0.100"" (2.54mm)","500' (152.4m)","0.80"" (20.32mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PS-1636-13-ND,PSR1636-13,Parlex USA LLC,CABLE FLAT FLEX 13COND 0.050"",0,0,"1.29150","0","1500","PSR1636","Active","13","0.050"" (1.27mm)","500' (152.4m)","0.70"" (17.78mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PS-1636-15-ND,PSR1636-15,Parlex USA LLC,CABLE FLAT FLEX 15COND 0.050"",0,0,"1.43500","0","1500","PSR1636","Active","15","0.050"" (1.27mm)","500' (152.4m)","0.80"" (20.32mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-16-ND,PSR1636-16,Parlex USA LLC,CABLE FLAT FLEX 16COND 0.050"",0,0,"1.43500","0","1500","PSR1636","Active","16","0.050"" (1.27mm)","500' (152.4m)","0.85"" (21.59mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-14-ND,PSR1636-14,Parlex USA LLC,CABLE FLAT FLEX 14COND 0.050"",0,0,"1.43500","0","1500","PSR1636","Active","14","0.050"" (1.27mm)","500' (152.4m)","0.75"" (19.05mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-19-ND,PSR1636-19,Parlex USA LLC,CABLE FLAT FLEX 19COND 0.050"",0,0,"1.72200","0","1500","PSR1636","Active","19","0.050"" (1.27mm)","500' (152.4m)","1.00"" (25.40mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-18-ND,PSR1636-18,Parlex USA LLC,CABLE FLAT FLEX 18COND 0.050"",0,0,"1.72200","0","1500","PSR1636","Active","18","0.050"" (1.27mm)","500' (152.4m)","0.95"" (24.13mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-21-ND,PSR1636-21,Parlex USA LLC,CABLE FLAT FLEX 21COND 0.050"",0,0,"1.86550","0","1500","PSR1636","Active","21","0.050"" (1.27mm)","500' (152.4m)","1.10"" (27.94mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-23-ND,PSR1636-23,Parlex USA LLC,CABLE FLAT FLEX 23COND 0.050"",0,0,"1.89000","0","1500","PSR1636","Active","23","0.050"" (1.27mm)","500' (152.4m)","1.20"" (30.48mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-19-ND,PSR1635-19,Parlex USA LLC,CABLE FLAT FLEX 19COND 0.100"",0,0,"1.89000","0","1500","PSR1635","Active","19","0.100"" (2.54mm)","500' (152.4m)","2.00"" (50.80mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-17-ND,PSR1635-17,Parlex USA LLC,CABLE FLAT FLEX 17COND 0.100"",0,0,"2.00900","0","1500","PSR1635","Active","17","0.100"" (2.54mm)","500' (152.4m)","1.80"" (45.72mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-24-ND,PSR1636-24,Parlex USA LLC,CABLE FLAT FLEX 24COND 0.050"",0,0,"2.01600","0","1500","PSR1636","Active","24","0.050"" (1.27mm)","500' (152.4m)","1.25"" (31.75mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-26-ND,PSR1636-26,Parlex USA LLC,CABLE FLAT FLEX 26COND 0.050"",0,0,"2.14200","0","1500","PSR1636","Active","26","0.050"" (1.27mm)","500' (152.4m)","1.35"" (34.29mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-27-ND,PSR1636-27,Parlex USA LLC,CABLE FLAT FLEX 27COND 0.050"",0,0,"2.14200","0","1500","PSR1636","Active","27","0.050"" (1.27mm)","500' (152.4m)","1.40"" (35.56mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-22-ND,PSR1635-22,Parlex USA LLC,CABLE FLAT FLEX 22COND 0.100"",0,0,"2.14200","0","1500","PSR1635","Active","22","0.100"" (2.54mm)","500' (152.4m)","2.30"" (58.42mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-21-ND,PSR1635-21,Parlex USA LLC,CABLE FLAT FLEX 21COND 0.100"",0,0,"2.14200","0","1500","PSR1635","Active","21","0.100"" (2.54mm)","500' (152.4m)","2.20"" (55.88mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PSR1636-28-ND,PSR1636-28,Parlex USA LLC,CABLE FLAT FLEX 28COND 0.050"",0,0,"2.26800","0","1500","PSR1636","Active","28","0.050"" (1.27mm)","500' (152.4m)","1.45"" (36.83mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-23-ND,PSR1635-23,Parlex USA LLC,CABLE FLAT FLEX 23COND 0.100"",0,0,"2.26800","0","1500","PSR1635","Active","23","0.100"" (2.54mm)","500' (152.4m)","2.40"" (61.00mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,-,PS-1636-30-ND,PSR1636-30,Parlex USA LLC,CABLE FLAT FLEX 30COND 0.050"",0,0,"2.39000","0","1500","PSR1636","Active","30","0.050"" (1.27mm)","500' (152.4m)","1.55"" (39.37mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-28-ND,PSR1635-28,Parlex USA LLC,CABLE FLAT FLEX 28COND 0.100"",0,0,"2.39000","0","1500","PSR1635","Active","28","0.100"" (2.54mm)","500' (152.4m)","2.90"" (73.66mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-27-ND,PSR1635-27,Parlex USA LLC,CABLE FLAT FLEX 27COND 0.100"",0,0,"2.39000","0","1500","PSR1635","Active","27","0.100"" (2.54mm)","500' (152.4m)","2.80"" (71.12mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,-,PSR1635-26-ND,PSR1635-26,Parlex USA LLC,CABLE FLAT FLEX 26COND 0.100"",0,0,"2.39000","0","1500","PSR1635","Active","26","0.100"" (2.54mm)","500' (152.4m)","2.70"" (68.58mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
