Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Wire Gauge","Conductor Diameter","Length","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Conductor Material","Conductor Plating","Jacket Color","Ratings","Features"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/W28-6xx.pdf,//media.digikey.com/photos/Vector%20Photos/W28-6BU.jpg,V1086-ND,W28-6BU,Vector Electronics,WIRE WW 28AWG ETFE RED 150',106,0,"83.19000","0","1","Spool","Slit-N-Wrap®","Active","28 AWG","0.013"" (0.32mm)","150' (45.72m)","Ethylene Tetrafluoroethylene (ETFE)","0.023"" (0.58mm)","Copper, Bare","Silver","Red","UL Style 1516/1523","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30R-0100.JPG,K395-ND,R30R-0100,Jonard Tools,WIRE WW 30AWG PVDF RED 100',57,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R30W-0100.JPG,K397-ND,R30W-0100,Jonard Tools,WIRE WW 30AWG PVDF WHITE 100',54,0,"13.53000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","White","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/EF90CC602DB9402588F13855E8BC9979.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R24BLK-0100.JPG,K516-ND,R24BLK-0100,Jonard Tools,WIRE WW 24AWG PVDF BLACK 100',56,0,"23.84000","0","1","Roll","-","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Black","UL Style 1422","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30BLK-0100.JPG,K625-ND,R30BLK-1000,Jonard Tools,WIRE WW 30AWG PVDF BLACK 1000',20,0,"74.84000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Black","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_R30W-1000.jpg,K628-ND,R30W-1000,Jonard Tools,WIRE WW 30AWG PVDF WHITE 1000',10,0,"74.84000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","White","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-W-50-010,%20020,%20030,%20040,%20050,%20060.jpg",W3-ND,30-W-50-010,Jonard Tools,WIRE WW 30AWG PVDF WHITE 3"" 50PC,51,0,"9.60000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.250' (76.20mm, 3.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","White","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-R-50-010,%20020,%20030,%20040,%20050,%20060.JPG",R5-ND,30-R-50-030,Jonard Tools,WIRE WW 30AWG PVDF RED 5"" 50PC,95,0,"10.76000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.417' (127.00mm, 5.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-Y-50-010,%20020,%20030,%20040,%20050,%20060.jpg",Y5-ND,30-Y-50-030,Jonard Tools,WIRE WW 30AWG PVDF YELLW 5"" 50PC,83,0,"10.76000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.417' (127.00mm, 5.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-B-50-010,%20020,%20030,%20050,%20060.jpg",B5-ND,30-B-50-030,Jonard Tools,WIRE WW 30AWG PVDF BLUE 5"" 50PC,87,0,"10.76000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.417' (127.00mm, 5.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-B-50-010,%20020,%20030,%20050,%20060.jpg",B7-ND,30-B-50-050,Jonard Tools,WIRE WW 30AWG PVDF BLUE 7"" 50PC,73,0,"10.76000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.583' (177.70mm, 7.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-W-50-010,%20020,%20030,%20040,%20050,%20060.jpg",W5-ND,30-W-50-030,Jonard Tools,WIRE WW 30AWG PVDF WHITE 5"" 50PC,82,0,"10.76000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.417' (127.00mm, 5.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","White","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/D7BF658415F14624A951C1718DC0B122.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R28Y-0100.JPG,K392-ND,R28Y-0100,Jonard Tools,WIRE WW 28AWG PVDF YELLOW 100',50,0,"15.25000","0","1","Roll","-","Active","28 AWG","0.013"" (0.32mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.023"" (0.58mm)","Copper, Bare","Silver","Yellow","UL Style 1422","-"
https://www.jonard.com/~/media/D7BF658415F14624A951C1718DC0B122.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R28BLK-0100.JPG,K390-ND,R28BLK-0100,Jonard Tools,WIRE WW 28AWG PVDF BLACK 100',37,0,"15.25000","0","1","Roll","-","Active","28 AWG","0.013"" (0.32mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.023"" (0.58mm)","Copper, Bare","Silver","Black","UL Style 1422","-"
https://www.jonard.com/~/media/3497177228F044D98D3C8925171FEA60.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R26W-0100.JPG,K389-ND,R26W-0100,Jonard Tools,WIRE WW 26AWG PVDF WHITE 100',76,0,"17.42000","0","1","Roll","-","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","White","UL Style 1422","-"
https://www.jonard.com/~/media/3497177228F044D98D3C8925171FEA60.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R26Y-0100.JPG,K388-ND,R26Y-0100,Jonard Tools,WIRE WW 26AWG PVDF YELLOW 100',64,0,"17.42000","0","1","Roll","-","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","Yellow","UL Style 1422","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R-30-TRI.jpg,K228-ND,R-30-TRI,Jonard Tools,WIRE WW 30AWG PVDF MULTIPLE 50',16,0,"20.35000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Multiple","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/WD-30-W.jpg,K225-ND,WD-30-W,Jonard Tools,WIRE WW 30AWG PVDF WHITE 50',11,0,"22.83000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","White","UL Style 1423, VW-1","With Dispenser"
https://www.jonard.com/~/media/F6D9E83C168D4390AEAB11D670F6EBBF.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/WD-30-B.jpg,K223-ND,WD-30-B,Jonard Tools,WIRE WW 30AWG PVDF BLUE 50',10,0,"22.83000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","With Dispenser"
https://www.jonard.com/~/media/CC361F826EA2484BBC742A36299718FC.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/WD-30-Y.jpg,K224-ND,WD-30-Y,Jonard Tools,WIRE WW 30AWG PVDF YELLOW 50',8,0,"22.83000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423, VW-1","With Dispenser"
https://www.jonard.com/~/media/EF90CC602DB9402588F13855E8BC9979.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R24B-0100.JPG,K515-ND,R24B-0100,Jonard Tools,WIRE WW 24AWG PVDF BLUE 100',22,0,"23.84000","0","1","Roll","-","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Blue","UL Style 1422","-"
https://www.jonard.com/~/media/EF90CC602DB9402588F13855E8BC9979.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R24R-0100.JPG,K517-ND,R24R-0100,Jonard Tools,WIRE WW 24AWG PVDF RED 100',17,0,"23.84000","0","1","Roll","-","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Red","UL Style 1422","-"
https://www.jonard.com/~/media/EF90CC602DB9402588F13855E8BC9979.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R24W-0100.jpg,K519-ND,R24W-0100,Jonard Tools,WIRE WW 24AWG PVDF WHITE 100',15,0,"23.84000","0","1","Roll","-","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","White","UL Style 1422","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/KSW-BLUE%20SERIES.JPG,K329-ND,KSW30B-0100,Jonard Tools,WIRE WW 30AWG PVDF BLUE 100',18,0,"25.91000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/KSW-BLACK%20SERIES.JPG,K445-ND,KSW30BLK-0100,Jonard Tools,WIRE WW 30AWG PVDF BLACK 100',16,0,"25.91000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Black","UL Style 1423","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/KSW-RED%20SERIES.JPG,K444-ND,KSW30R-0100,Jonard Tools,WIRE WW 30AWG PVDF RED 100',12,0,"25.91000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW30G-0100.jpg,K656-ND,KSW30G-0100,Jonard Tools,WIRE 30AWG GREEN 100 FT CSW,10,0,"25.91000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Green","UL Style 1423","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/KSW-YELLOW%20SERIES.JPG,K520-ND,KSW30Y-0100,Jonard Tools,WIRE WW 30AWG PVDF YELLOW 100',6,0,"25.91000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423","-"
http://www.jonard.com/~/media/BBCCAAAEC818493FAF3DA0D62532B7E6.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW24B-0100.jpg,K651-ND,KSW24B-0100,Jonard Tools,WIRE 24 AWG BLUE 100 FT CSW,12,0,"28.18000","0","1","Roll","KSW","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Blue","UL Style 1422","-"
http://www.jonard.com/~/media/BBCCAAAEC818493FAF3DA0D62532B7E6.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW24W-0100.jpg,K654-ND,KSW24W-0100,Jonard Tools,WIRE 24AWG WHITE 100 FT CSW,8,0,"28.18000","0","1","Roll","KSW","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","White","UL Style 1422","-"
http://www.jonard.com/~/media/517FAF1C6EAD49D5977B8C1723C46329.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW26W-0100.jpg,K748-ND,KSW26W-0100,Jonard Tools,WIRE 26AWG WHITE 100 FT CSW,15,0,"28.38000","0","1","Roll","KSW","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","White","UL Style 1422","-"
http://www.jonard.com/~/media/517FAF1C6EAD49D5977B8C1723C46329.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/R30B-0100,%20KSW26B-0100,%20KSW30B-0100,%20R26B-0100,%20R28B-0100.jpg",K622-ND,KSW26B-0100,Jonard Tools,WIRE WW 26AWG PVDF BLUE 100',12,0,"28.38000","0","1","Roll","KSW","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","Blue","UL Style 1422","-"
http://www.jonard.com/~/media/517FAF1C6EAD49D5977B8C1723C46329.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW26R-0100.jpg,K747-ND,KSW26R-0100,Jonard Tools,WIRE 26AWG RED 100 FT CSW,11,0,"28.38000","0","1","Roll","KSW","Active","26 AWG","0.016"" (0.40mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.027"" (0.69mm)","Copper, Bare","Silver","Red","UL Style 1422","-"
http://www.jonard.com/~/media/BBCCAAAEC818493FAF3DA0D62532B7E6.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW24R-0100.jpg,K653-ND,KSW24R-0100,Jonard Tools,WIRE 24 AWG RED 100 FT CSW,20,0,"29.44000","0","1","Roll","KSW","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Red","UL Style 1422","-"
http://www.jonard.com/~/media/BBCCAAAEC818493FAF3DA0D62532B7E6.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_KSW24BLK-0100.jpg,K652-ND,KSW24BLK-0100,Jonard Tools,WIRE 24 AWG BLACK 100 FT CSW,11,0,"29.44000","0","1","Roll","KSW","Active","24 AWG","0.019"" (0.50mm)","100' (30.5m)","Polyvinylidene Fluoride (PVDF)","0.030"" (0.76mm)","Copper, Bare","Silver","Black","UL Style 1422","-"
https://www.jonard.com/~/media/00B5BA7B05884D019AC30F7285300FD7.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/WD-30-TRI.jpg,K227-ND,WD-30-TRI,Jonard Tools,WIRE WW 30AWG PVDF MULTIPLE 50',28,0,"37.77000","0","1","Roll","WD-30","Active","30 AWG","0.010"" (0.25mm)","50' (15.24m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Multiple","UL Style 1423, VW-1","With Dispenser"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30B-0100.JPG,K624-ND,R30B-1000,Jonard Tools,WIRE WW 30AWG PVDF BLUE 1000',39,0,"74.84000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Blue","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/R30R-0100.JPG,K627-ND,R30R-1000,Jonard Tools,WIRE WW 30AWG PVDF RED 1000',30,0,"74.84000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/6FBBD0F360D948FE8021C4C2CAB63025.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_R30G-1000.jpg,K626-ND,R30G-1000,Jonard Tools,WIRE WW 30AWG PVDF GREEN 1000',23,0,"74.84000","0","1","Roll","-","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.020"" (0.51mm)","Copper, Bare","Silver","Green","UL Style 1423, VW-1","-"
http://www.jonard.com/~/media/3EDC4CF521CA46B58BB68B1DB2282CD2.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/KSW-RED%20SERIES.JPG,K534-ND,KSW30R-1000,Jonard Tools,WIRE WW 30AWG PVDF RED 1000',21,0,"104.64000","0","1","Roll","KSW","Active","30 AWG","0.010"" (0.25mm)","1000' (304.80m)","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1446_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1446.jpg,1528-2005-ND,1446,Adafruit Industries LLC,WIRE WRAP THIN PROTOTYPING & REP,56,0,"7.50000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-R-50-010,%20020,%20030,%20040,%20050,%20060.JPG",R3-ND,30-R-50-010,Jonard Tools,WIRE WW 30AWG PVDF RED 3"" 50PC,29,0,"9.60000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.250' (76.20mm, 3.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Red","UL Style 1423, VW-1","-"
https://www.jonard.com/~/media/C75C34D9F44240AA99F64F81BCFABE64.pdf,"//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/30-Y-50-010,%20020,%20030,%20040,%20050,%20060.jpg",Y3-ND,30-Y-50-010,Jonard Tools,WIRE WW 30AWG PVDF YELLW 3"" 50PC,29,0,"9.60000","0","1","50 per Pkg","-","Active","30 AWG","0.010"" (0.25mm)","0.250' (76.20mm, 3.00"")","Polyvinylidene Fluoride (PVDF)","0.019"" (0.50mm)","Copper, Bare","Silver","Yellow","UL Style 1423, VW-1","-"
