Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Actuator Type","Operating Pressure","Orifice Diameter","Fluid Type","Connection Method","For Use With/Related Products","Mounting Type","Features"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81504025.jpg,966-1019-ND,81504025,Crouzet,SENSOR LOGIC NOT SUB-BASE MOUNT,8,0,"29.88000","0","1","-","Active","Sensor, Pressure Decay","LOGIC NOT","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513200.jpg,966-1023-ND,81513200,Crouzet,CONTROL VALVE 4/2 SUBBASE MNT,10,0,"38.27000","0","1","-","Active","Control Valve, Momentary","4/2","-","44 ~ 116PSI (3 ~ 8 bar)","0.118"" (3.00mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/Crouzet-Control_Pneumatics_EN.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81546001.JPG,966-1299-ND,81546001,Crouzet,SOLENOID VALVE 2/2 NC CHASSIS MT,14,0,"51.85000","0","1","-","Active","Solenoid Valve","2/2 Normally Closed","-","15 ~ 116PSI (1 ~ 8 bar)","0.032"" (0.80mm)","Air, Inert Gas, Liquid","Threaded M5","-","Chassis Mount","Supply Voltage 24VDC"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921707.JPG,966-1075-ND,81921707,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,7,0,"59.22000","0","1","Miniature","Active","Position Detector","3/2 Normally Closed","Lever, Roller","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/photos/Crouzet%20Photos/81513552.JPG,966-1015-ND,81513552,Crouzet,SWITCH PRESSURE OPERATED DIN RL,15,0,"65.49000","0","1","-","Active","Pressure Switch","Pressure Operated","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas, Liquid","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","DIN Rail","Electrical Output, Manual Override"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81523201.JPG,966-1280-ND,81523201,Crouzet,MEMORY ELEMENT 4/2 SUB-BASE MNT,18,0,"113.15000","0","1","-","Active","Memory Element","4/2","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81550001.jpg,966-1032-ND,81550001,Crouzet,SEQUENCER SUB-BASE MOUNT,14,0,"115.31000","0","1","-","Active","Sequencer","-","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81503710.jpg,966-1063-ND,81503710,Crouzet,TIMER ON-DELAY SUB-BASE MOUNT,13,0,"155.14000","0","1","-","Active","Timer, Adjustable","On-Delay","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Delay Time 0.1 ~ 15sec"
http://cdn.crouzet-control.com/assets/library/Crouzet-Control_Pneumatics_EN.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81580101.jpg,966-1014-ND,81580101,Crouzet,CONTROL RELAY ONEWAY SUBBASE MNT,3,0,"182.79000","0","1","-","Active","Control Relay","One-Way","-","30 ~ 116PSI (2 ~ 8 bar)","0.098"" (2.50mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/111990004_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_111990004.jpg,1597-1478-ND,111990004,"Seeed Technology Co., Ltd",SOLENOID VALVE ONE-WAY PANEL MNT,27,0,"8.67000","0","1","-","Active","Solenoid Valve","2/2 Normally Closed","-","2.9 ~ 116.03 PSI (0.2 ~ 8 bar)","-","Liquid","Threaded 1/2"" BSP","-","Panel Mount","Supply Voltage 12VDC"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81521501.jpg,966-1026-ND,81521501,Crouzet,LOGIC OR ELEMENT SUB-BASE MOUNT,35,0,"14.36000","0","1","-","Active","Logic Element","LOGIC OR","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81522501.jpg,966-1027-ND,81522501,Crouzet,LOGIC AND ELEMENT SUB-BASE MOUNT,27,0,"18.01000","0","1","-","Active","Logic Element","LOGIC AND","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513060.JPG,966-1138-ND,81513060,Crouzet,SUB-BASE DIN RAIL,14,0,"19.16000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Control Valve","DIN Rail","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81529003.jpg,966-1066-ND,81529003,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,21,0,"27.89000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.012"" (0.30mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81529006.jpg,966-1071-ND,81529006,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,21,0,"27.89000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.024"" (0.60mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81529004.jpg,966-1069-ND,81529004,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,11,0,"27.89000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.016"" (0.40mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81529007.jpg,966-1284-ND,81529007,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,6,0,"27.89000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.028"" (0.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81532102.JPG,966-1288-ND,81532102,Crouzet,SUB-BASE DIN RAIL,39,0,"33.87000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Logic Element","DIN Rail","Rotatable Connector"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81280010.JPG,966-1068-ND,81280010,Crouzet,POSITION DETECTOR 3/2 NO ROD MNT,11,0,"33.93000","0","1","Microvalve","Active","Position Detector","3/2 Normally Open","Round (Pin Plunger)","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Rod Mount","Operating Force 15N"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81280510.jpg,966-1831-ND,81280510,Crouzet,POSITION DETECTOR 3/2 NC ROD MNT,29,0,"34.40000","0","1","Microvalve","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Rod Mount","Operating Force 15N"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81551101.JPG,966-1306-ND,81551101,Crouzet,SUB-BASE DIN RAIL,11,0,"35.94000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Sequencer","DIN Rail","Pressure Indicator, Rotatable Connector"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921501.JPG,966-1033-ND,81921501,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,10,0,"36.54000","0","1","Miniature","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513011.jpg,966-1128-ND,81513011,Crouzet,SUB-BASE END DIN RAIL,5,0,"38.66000","0","1","-","Active","Sub-Base, End","-","-","-","-","-","Push-In Connection for Tubing 6.00mm Dia","Control Valve","DIN Rail","-"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81519632.jpg,966-1025-ND,81519632,Crouzet,SOLENOID VALVE 3/2 NC SUBBASE MT,29,0,"39.11000","0","1","-","Active","Solenoid Valve","3/2 Normally Closed","-","15 ~ 116PSI (1 ~ 8 bar)","0.032"" (0.80mm)","Air, Inert Gas","-","-","Sub-Base Mount","Manual Override, Rotatable Connector, Supply Voltage 24VDC"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81545005.JPG,966-1298-ND,81545005,Crouzet,VAC GEN PRES OPERATED FREE HANG,19,0,"39.35000","0","1","-","Active","Vacuum Generator","Pressure Operated","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas","Push-In Connection for Tubing 6.00mm Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/photos/Crouzet%20Photos/81529025.JPG,966-1286-ND,81529025,Crouzet,FLOW RESTRICT ONE-WAY FREE HANG,11,0,"40.29000","0","1","-","Active","Flow Restrictor, Fixed","One-Way","-","15 ~ 116PSI (1 ~ 8 bar)","0.010"" (0.25mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81503025.jpg,966-1114-ND,81503025,Crouzet,LOGIC YES ELEMENT SUB-BASE MOUNT,19,0,"40.72000","0","1","-","Active","Logic Element","LOGIC YES","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","Pressure Indicator"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81281502.JPG,966-1111-ND,81281502,Crouzet,POSITION DETECTOR 3/2 NC ROD MNT,7,0,"44.08000","0","1","Microvalve","Active","Position Detector","3/2 Normally Closed","Lever, Straight","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Rod Mount","Operating Force 15N"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81290001.jpg,966-1016-ND,81290001,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,57,0,"45.71000","0","1","-","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","44 ~ 116PSI (3 ~ 8 bar)","0.079"" (2.00mm)","Air, Inert Gas","Barbed Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 0.5N"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81290501.jpg,966-1017-ND,81290501,Crouzet,POSITION DETECT 3/2 NO CHAS MNT,50,0,"50.66000","0","1","-","Active","Position Detector","3/2 Normally Open","Round (Pin Plunger)","44 ~ 116PSI (3 ~ 8 bar)","0.079"" (2.00mm)","Air, Inert Gas","Barbed Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 0.5N"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/Logic%20Elements.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81540004.jpg,966-1292-ND,81540004,Crouzet,LOGIC OR ELEMENT FREE HANGING,21,0,"56.75000","0","1","-","Active","Logic Element","LOGIC OR","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","-"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/electro-pneumatic-valves.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81516200.JPG,966-1142-ND,81516200,Crouzet,CONTROL VALVE 4/2 SUBBASE MNT,10,0,"59.02000","0","1","-","Active","Control Valve, Maintained","4/2","-","51 ~ 116PSI (3.5 ~ 8 bar)","0.157"" (4.00mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81923001.jpg,966-1195-ND,81923001,Crouzet,POS DETECT 3/2 NC FREE HANGING,8,0,"59.76000","0","1","Adjustable Stop","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","1 ~ 116PSI (0.1 ~ 8 bar)","0.079"" (2.00mm)","Air, Inert Gas","Barbed Connection for Tubing 5/32"" (4.00mm) Dia","-","Free Hanging (In-Line)","Operating Force 16N"
http://innovistasensors.crouzet-control.s3.amazonaws.com/assets/library/pneumatics/Man-Machine-interface-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81735011.jpg,966-1184-ND,81735011,Crouzet,CONTROL VALVE 3/2 NO ROD MOUNT,32,0,"62.86000","0","1","-","Active","Control Valve, Momentary","3/2 Normally Open","Pushbutton","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Rod Mount","Operating Force 8 ~ 18N"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921505.JPG,966-1319-ND,81921505,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,24,0,"71.66000","0","1","Adjustable Stop","Active","Position Detector","3/2 Normally Closed","Round (Pin Plunger)","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 16N"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81502435.JPG,966-1113-ND,81502435,Crouzet,POS DET REL POSITIVE OUT SUBBASE,12,0,"72.56000","0","1","-","Active","Position Detector Relay","Positive Output","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81542002.JPG,966-1172-ND,81542002,Crouzet,SUB-BASE DIN RAIL,10,0,"73.04000","0","1","-","Active","Sub-Base","-","-","-","-","-","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","Logic Element","DIN Rail","Rotatable Connector"
//media.digikey.com/PDF/Data%20Sheets/Crouzet%20PDFs/Pneumatics_Overview.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81513509.JPG,966-1140-ND,81513509,Crouzet,SWITCH PRESSURE OPERATED DIN RL,37,0,"74.11000","0","1","-","Active","Pressure Switch","Pressure Operated","-","30 ~ 116PSI (2 ~ 8 bar)","-","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","DIN Rail","Pressure Indicator"
http://cdn.crouzet-control.com/assets/library/pneumatics/pressure-switches-vacuum.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81509080.jpg,966-1124-ND,81509080,Crouzet,SWITCH PRES OPERATED SUB-BASE MT,4,0,"94.09000","0","1","-","Active","Pressure Switch","Pressure Operated","-","20PSI (1.4 bar)","-","Air, Inert Gas, Liquid","-","-","Sub-Base Mount","-"
http://cdn.crouzet-control.com/assets/library/pneumatics/position-detectors.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81921911.JPG,966-1324-ND,81921911,Crouzet,POSITION DETECT 3/2 NC CHAS MNT,3,0,"101.16000","0","1","-","Active","Position Detector","3/2 Normally Closed","Lever, Roller","1 ~ 116PSI (0.1 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","Push-In Connection for Tubing 5/32"" (4.00mm) Dia","-","Chassis Mount","Operating Force 18N"
-,//media.digikey.com/Photos/Crouzet%20Photos/81513535.JPG,966-1253-ND,81513535,Crouzet,PNEUM PRESSURE SWTCH 3-8BAR BASE,2,0,"101.74000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-"
http://cdn.crouzet-control.com.s3.amazonaws.com/assets/library/pneumatics/pneumatic-logic-components.pdf,//media.digikey.com/Photos/Crouzet%20Photos/81550201.JPG,966-1146-ND,81550201,Crouzet,SEQUENCER SUB-BASE MOUNT,9,0,"105.78000","0","1","-","Active","Sequencer","-","-","30 ~ 116PSI (2 ~ 8 bar)","0.106"" (2.70mm)","Air, Inert Gas","-","-","Sub-Base Mount","-"
