Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Type","Memory Size","Speed","Package / Case"
https://swissbit.com/wp-content/uploads/2018/02/Swissbit_Product_Guide.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI4096J1AB1TO-I-GS-2A1-STD.jpg,1052-1269-ND,SFUI032GJ1AB2TO-I-GS-2A1-STD,Swissbit,MODULE FLASH NAND MLC 32GB,67,0,"56.13000","0","1","U-45","Active","FLASH - NAND (MLC)","32GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW12P7218BLK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW12P7218BLK0M-%28front%29.jpg,AW12P7218BLK0M-ND,AW12P7218BLK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 4GB 204SODIMM,22,0,"73.10000","0","1","-","Active","DDR3L SDRAM","4GB","1600MT/s","204-SODIMM"
https://www.swissbit.com/data/view.php?q=U-400/U-400_fact_sheet.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI016GJ1AB1TO-I-QT-211-STD.jpg,1052-1267-ND,SFUI8192J1AB2TO-I-MS-211-STD,Swissbit,MODULE FLASH NAND SLC 8GB,6,0,"118.15000","0","1","U-400","Active","FLASH - NAND (SLC)","8GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW24P7228BLK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW24P7228BLK0M-%28front%29.jpg,AW24P7228BLK0M-ND,AW24P7228BLK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 8GB 204SODIMM,18,0,"195.00000","0","1","-","Active","DDR3L SDRAM","8GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AW56P7218BKK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AW12P7218BLK0M-%28front%29.jpg,AW56P7218BKK0M-ND,AW56P7218BKK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 2GB 204SODIMM,18,0,"44.41000","0","1","-","Active","DDR3L SDRAM","2GB","1600MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4F04QD8BLPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4F08QD8BNPBSE-%28front%29.jpg,A4F04QD8BLPBSE-ND,A4F04QD8BLPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 4GB 260SODIMM,5,0,"100.30000","0","1","-","Active","DDR4 SDRAM","4GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP_Industrial_Grade_DRAM_Modules.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4B08QG8BNPBSE-%28front%29.jpg,A4B08QG8BNPBSE-ND,A4B08QG8BNPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 4GB 288-RDIMM,23,0,"136.64000","0","1","-","Active","DDR4 SDRAM","4GB","2133MT/s","288-RDIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/AL24P72L8BLK0M.pdf,//media.digikey.com/Photos/ATP%20Electronics/AL24P72L8BLK0M-%28front%29.jpg,AL24P72L8BLK0M-ND,AL24P72L8BLK0M,"ATP Electronics, Inc.",MODULE DDR3L SDRAM 8GB 240RDIMM,5,0,"147.90000","0","1","-","Active","DDR3L SDRAM","8GB","1600MT/s","240-RDIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/A4G08QA8BNPBSE.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4G04QA8BLPBSE-%28front%29.jpg,A4G08QA8BNPBSE-ND,A4G08QA8BNPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 8GB 260SODIMM,17,0,"150.62000","0","1","-","Active","DDR4 SDRAM","8GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/ATP_Industrial_Grade_DRAM_Modules.pdf,//media.digikey.com/Photos/ATP%20Electronics/A4B16QF4BNPBSE.JPG,A4B16QF4BNPBSE-ND,A4B16QF4BNPBSE,"ATP Electronics, Inc.",MODULE DDR 4 SDRAM 16GB 288RDIMM,6,0,"319.50000","0","1","-","Active","DDR4 SDRAM","16GB","2133MT/s","288-RDIMM"
https://www.micron.com/~/media/documents/products/data-sheet/modules/parity_rdimm/ksf36c2gx72pz.pdf,//media.digikey.com/Photos/Micron%20Photos/MT36KSF2G72PZ-1G6P1.JPG,557-1746-ND,MT36KSF2G72PZ-1G6P1,Micron Technology Inc.,MODULE DDR3L SDRAM 16GB 240RDIMM,2,0,"334.13000","0","1","-","Active","DDR3L SDRAM","16GB","1600MT/s","240-RDIMM"
https://www.micron.com/~/media/documents/products/data-sheet/modules/unbuffered_dimm/ktf8c128_256_512x64az.pdf,//media.digikey.com/Photos/Micron%20Photos/MT8KTF51264AZ-1G9P1.JPG,557-1766-ND,MT8KTF51264AZ-1G9P1,Micron Technology Inc.,MODULE DDR3L SDRAM 4GB 240UDIMM,89,0,"72.21000","0","1","-","Active","DDR3L SDRAM","4GB","1866MT/s","240-UDIMM"
http://wfcache.advantech.com/www/certified-peripherals/documents/aqd-d4u8gn24-he_datasheet.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/MFG_AQD-D4U8GN24-HE.jpg,AQD-D4U8GN24-HE-ND,AQD-D4U8GN24-HE,Advantech Corp,MODULE DDR4 SDRAM 8GB 288-UDIMM,2,0,"130.30000","0","1","-","Active","DDR4 SDRAM","8GB","2400MT/s","288-UDIMM"
http://www.ia.omron.com/data_pdf/cat/nsj_v406-e1_7_5_csm2192.pdf,//media.digikey.com/Photos/Omron%20Auto/HMC-EF283.jpg,Z9647-ND,HMC-EF283,Omron Automation and Safety,MODULE FLASH 256MB,2,0,"466.99000","0","1","-","Active","FLASH","256MB","-","-"
http://wfcache.advantech.com/www/certified-peripherals/documents/AQD-SD3L2GN16-SQ_datasheet.pdf,-,AQD-SD3L2GN16-SQ-ND,AQD-SD3L2GN16-SQ,Advantech Corp,MODULE DDR3L SDRAM 2GB 204SODIMM,25,0,"30.72000","0","1","-","Active","DDR3L SDRAM","2GB","1600Mb/s","204-SODIMM"
https://swissbit.com/wp-content/uploads/2018/02/Swissbit_Product_Guide.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/MFG_SFUI4096J1AB1TO-I-GS-2A1-STD.jpg,1052-1270-ND,SFUI4096J1AB1TO-I-GS-2A1-STD,Swissbit,MODULE FLASH NAND MLC 4GB,6,0,"34.41000","0","1","U-45","Not For New Designs","FLASH - NAND (MLC)","4GB","-","Module"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/VRFDUC3(L)zzzzYxx(3)(M)xx.pdf,-,1803-1051-ND,VRFDUC3L4096YIH3V1,Viking Technology,FLASH DUC TYPE3L 4GB 3V3 ROHS IN,8,0,"51.80000","0","1","-","Active","FLASH - NAND (SLC)","4GB","35MB/s Read, 23MB/s Write","Module"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS7PUxx6498zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,1803-1026-ND,VR7PU566498GBFMKT,Viking Technology,MODULE DDR3L SDRAM 2GB 204SODIMM,6,0,"53.09000","0","1","-","Active","DDR3L SDRAM","2GB","1600MT/s","204-SODIMM"
http://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,-,1803-1059-ND,VR7PU566458GBASF,Viking Technology,MODULE DDR3 SDRAM 2GB 204-SODIMM,19,0,"54.19000","0","1","-","Active","DDR3 SDRAM","2GB","1066MT/s","204-SODIMM"
http://www.vikingtechnology.com/wp-content/uploads/2017/07/DRAM_ProductBrief.pdf,-,1803-1055-ND,VR7EU127298HBFSE,Viking Technology,DDR3 240PIN UDIMM 4GB 1600MT/S,12,0,"78.87000","0","1","-","Active","DDR3 SDRAM","4GB","1600MT/s","240-UDIMM"
-,//media.digikey.com/photos/Micron%20Photos/MFG_MT%20SODIMM%20SERIES.jpg,557-1136-ND,MT9VDDT3272HG-40BG2,Micron Technology Inc.,MODULE DDR SDRAM 256MB 200SODIMM,52,0,"79.10000","0","1","-","Active","DDR SDRAM","256MB","200MHz","200-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/VRFDUC3(L)zzzzAxx(3)(M)xx.pdf,//media.digikey.com/Photos/Viking%20Technology/VRFDUC38192AIRZ1.jpg,1803-1049-ND,VRFDUC38192AIRZ1,Viking Technology,"FLASH DUC TYPE3, 8GB 5V INDUSTRI",10,0,"84.47000","0","1","-","Active","FLASH - NAND (SLC)","8GB","33MB/s Read, 28MB/s Write","Module"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/VRFDUC3(L)zzzzAxx(3)(M)xx.pdf,//media.digikey.com/Photos/Viking%20Technology/VRFDUC3L8192AIR3V1.jpg,1803-1050-ND,VRFDUC3L8192AIR3V1,Viking Technology,FLASH DUC TYPE3L 8GB 3V3 ROHS IN,10,0,"84.47000","0","1","-","Active","FLASH - NAND (SLC)","8GB","33MB/s Read, 28MB/s Write","Module"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS7PUxx6498zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PU126498GBFMKT.JPG,1803-1021-ND,VR7PU126498GBFMKT,Viking Technology,MODULE DDR3L SDRAM 4GB 204SODIMM,18,0,"89.78000","0","1","-","Active","DDR3L SDRAM","4GB","1600MT/s","204-SODIMM"
http://www.vikingtechnology.com/wp-content/uploads/2017/07/VIKING_DRAM_PART_NO_BOOKLET.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,1803-1020-ND,VR7PU126458HBAMPT,Viking Technology,MODULE DDR3 SDRAM 4GB 204-SODIMM,18,0,"90.43000","0","1","-","Active","DDR3 SDRAM","4GB","1066MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS7PUxx7298zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PU127298HBDMET.JPG,1803-1022-ND,VR7PU127298HBDMET,Viking Technology,MODULE DDR3 SDRAM 4GB 204-SODIMM,14,0,"90.62000","0","1","-","Active","DDR3 SDRAM","4GB","1333MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/VR7PAxx7258xBx_Web.pdf,//media.digikey.com/Photos/Viking%20Technology/VR7PA127258GBDMKT.JPG,1803-1019-ND,VR7PA127258GBDMKT,Viking Technology,MODULE DDR3 SDRAM 4GB 204-SODIMM,19,0,"106.37000","0","1","-","Active","DDR3 SDRAM","4GB","1333MT/s","204-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9FUxx64x8zzz.pdf,//media.digikey.com/photos/Viking%20Technology/VR9FU1G6428JBHMBT.jpg,1803-1028-ND,VR9FU1G6428JBHMBT,Viking Technology,MODULE DDR4 SDRAM 8GB 260-SODIMM,15,0,"138.88000","0","1","-","Active","DDR4 SDRAM","8GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/VRFDUC3(L)zzzzAxx(3)(M)xx.pdf,//media.digikey.com/Photos/Viking%20Technology/VRFDUC3016GAIRB1.jpg,1803-1048-ND,VRFDUC3016GAIRB1,Viking Technology,FLASH DUC TYPE3 16GB 5V INDUSTRI,10,0,"145.38000","0","1","-","Active","FLASH - NAND (SLC)","16GB","33MB/s Read, 28MB/s Write","Module"
-,//media.digikey.com/photos/Wintec/W9Q316727KD-222K.jpg,385-1005-ND,W9Q316727KD-222K,Wintec Industries,MODULE SDRAM 128MB 168DIMM,6,0,"147.54000","0","1","-","Obsolete","SDRAM","128MB","100MHz","168-DIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MUxx72x8zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VP9MU2G7228JBHSB.JPG,1803-1007-ND,VP9MU2G7228JBHSB,Viking Technology,MODULE DDR4 SDRAM 16GB 288-UDIMM,12,0,"188.53000","0","1","-","Active","DDR4 SDRAM","16GB","2133MT/s","288-UDIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9FUxx64x8zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VR9FU2G6428JBHMBT.JPG,1803-1029-ND,VR9FU2G6428JBHMBT,Viking Technology,MODULE DDR4 SDRAM 16GB 260SODIMM,18,0,"213.33000","0","1","-","Active","DDR4 SDRAM","16GB","2133MT/s","260-SODIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9FRxx72x8xxx_Rev.E_3_7_2018_DS.pdf,-,1803-1056-ND,VR9FR2G7228JBKSBD4,Viking Technology,DDR4 260PIN SODIMM REG 2G X72 26,8,0,"296.46000","0","1","-","Active","DDR4 SDRAM","16GB","1.333GHz","260-SORDIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MRxx72x4zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VP9MR4G7224JBJSB.JPG,1803-1004-ND,VP9MR4G7224JBJSB,Viking Technology,MODULE DDR4 SDRAM 32GB 288-RDIMM,2,0,"344.83000","0","1","-","Active","DDR4 SDRAM","32GB","2400MT/s","288-RDIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MLxx72x4zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VP9ML4G7224JBJSB.JPG,1803-1002-ND,VP9ML4G7224JBJSB,Viking Technology,MODULE DDR4 SDRAM 32GB 288LRDIMM,3,0,"384.83000","0","1","-","Active","DDR4 SDRAM","32GB","2400MT/s","288-LRDIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MLxx72x4zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VP9ML8G7224JEJSB.JPG,1803-1003-ND,VP9ML8G7224JEJSB,Viking Technology,MODULE DDR4 SDRAM 64GB 288LRDIMM,8,0,"751.64000","0","1","-","Active","DDR4 SDRAM","64GB","2400MT/s","288-LRDIMM"
//media.digikey.com/pdf/Data%20Sheets/Viking%20PDFs/PS9MRxx72x4zzz.pdf,//media.digikey.com/Photos/Viking%20Technology/VP9MR8G7224JLLSB.JPG,1803-1005-ND,VP9MR8G7224JLLSB,Viking Technology,MODULE DDR4 SDRAM 64GB 288-RDIMM,5,0,"826.81000","0","1","-","Active","DDR4 SDRAM","64GB","2400MT/s","288-RDIMM"
"//media.digikey.com/pdf/Data%20Sheets/Qimonda%20PDFs/HYS72T(64,128,256)zzzHR-(3S,3.7,5)-B.pdf",//media.digikey.com/photos/Quimonda%20Photos/HYS72T128000HR-3S-B.jpg,675-1028-ND,HYS72T128000HR-3S-B,Qimonda,MODULE DDR2 SDRAM 1GB 240DIMM,14,0,"165.00000","0","1","-","Discontinued at Digi-Key","DDR2 SDRAM","1GB","333MHz","240-DIMM"
