Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Gauge","Conductor Material","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Length - Approximate","Ratings"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600222.JPG,1175-1687-ND,600222,CNC Tech,MW35-C HY 22AWG 1KG/2.2LBS SPOOL,44,0,"97.50000","0","1","-","Active","22 AWG","Copper, Annealed Bare","Polyamide","0.028"" (0.71mm)","1136.2' (346.4m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600224.JPG,1175-1688-ND,600224,CNC Tech,MW35-C HY 24AWG 1KG/2.2LBS SPOOL,54,0,"99.45000","0","1","-","Active","24 AWG","Copper, Annealed Bare","Polyamide","0.023"" (0.58mm)","1799.1' (548.5m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8051_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1979-ND,8051,Belden Inc.,MW-28C SL 22AWG,11,0,"64.16000","0","1","-","Active","22 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.027"" (0.69mm)","254.0' (77m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8052_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1980-ND,8052,Belden Inc.,MW-28C SL 24AWG,6,0,"67.90000","0","1","-","Active","24 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.022"" (0.55mm)","404.0' (123m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8073_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1987-ND,8073,Belden Inc.,MW-35C HY 14AWG,8,0,"81.25000","0","1","-","Active","14 AWG","Copper, Annealed Bare","Polyamide","0.068"" (1.73mm)","80.0' (24m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8054_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1982-ND,8054,Belden Inc.,MW-28C SL 28AWG,21,0,"81.35000","0","1","-","Active","28 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.014"" (0.36mm)","1020.0' (311m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8053_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1981-ND,8053,Belden Inc.,MW-28C SL 26AWG,54,0,"84.62000","0","1","-","Active","26 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.017"" (0.43mm)","645.0' (197m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600234.JPG,1175-1693-ND,600234,CNC Tech,MW35-C HY 34AWG 1KG/2.2LBS SPOOL,37,0,"89.65000","0","1","-","Active","34 AWG","Copper, Annealed Bare","Polyamide","0.008"" (0.20mm)","18350.3' (5594.6m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1714-ND,610230,CNC Tech,MW-28C SL 30AWG 1KG/2.2LBS,31,0,"91.16000","0","1","-","Active","30 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.011"" (0.28mm)","7281.3' (2219.9m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1712-ND,610226,CNC Tech,MW-28C SL 26AWG 1KG/2.2LBS,7,0,"93.22000","0","1","-","Active","26 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.017"" (0.43mm)","2878.2' (877.5m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1713-ND,610228,CNC Tech,MW-28C SL 28AWG 1KG/2.2LBS,28,0,"94.12000","0","1","-","Active","28 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.014"" (0.36mm)","4587.4' (1398.6m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600226.JPG,1175-1689-ND,600226,CNC Tech,MW35-C HY 26AWG 1KG/2.2LBS SPOOL,27,0,"94.12000","0","1","-","Active","26 AWG","Copper, Annealed Bare","Polyamide","0.018"" (0.46mm)","2878.2' (877.5m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/610216.jpg,1175-1798-ND,610216,CNC Tech,MW-28C SL 16AWG 1KG/2.2LBS,23,0,"96.82000","0","1","-","Active","16 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.053"" (1.35mm)","282.4' (86.1m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/6102xx.JPG,1175-1710-ND,610222,CNC Tech,MW-28C SL 22AWG 1KG/2.2LBS,29,0,"97.50000","0","1","-","Active","22 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.027"" (0.69mm)","1136.2' (346.4m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8057_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1985-ND,8057,Belden Inc.,MW-28C SL 34AWG,16,0,"98.37000","0","1","-","Active","34 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.001"" (0.03mm)","4060.0' (1237m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600216.JPG,1175-1684-ND,600216,CNC Tech,MW35-C HY 16AWG 1KG/2.2LBS SPOOL,57,0,"98.88000","0","1","-","Active","16 AWG","Copper, Annealed Bare","Polyamide","0.054"" (1.37mm)","282.4' (86.1m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/610218.JPG,1175-1708-ND,610218,CNC Tech,MW-28C SL 18AWG 1KG/2.2LBS,19,0,"99.36000","0","1","-","Active","18 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.042"" (1.07mm)","448' (136.6m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/photos/CnC%20Tech/6102xx.JPG,1175-1711-ND,610224,CNC Tech,MW-28C SL 24AWG 1KG/2.2LBS,30,0,"99.45000","0","1","-","Active","24 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.022"" (0.55mm)","1799.1' (548.5m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600220.JPG,1175-1686-ND,600220,CNC Tech,MW35-C HY 20AWG 1KG/2.2LBS SPOOL,44,0,"100.94000","0","1","-","Active","20 AWG","Copper, Annealed Bare","Polyamide","0.035"" (0.89mm)","710.8' (216.7m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/6102xx.JPG,1175-1709-ND,610220,CNC Tech,MW-28C SL 20AWG 1KG/2.2LBS,29,0,"100.94000","0","1","-","Active","20 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.034"" (0.86mm)","710.8' (216.7m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW-28C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600214.JPG,1175-1797-ND,610214,CNC Tech,MW-28C SL 14AWG 1KG/2.2LBS,10,0,"101.66000","0","1","-","Active","14 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.067"" (1.70mm)","177.1' (54m)","MW 28-C SL"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/MW35C_Spec.pdf,//media.digikey.com/Photos/CnC%20Tech/600214.JPG,1175-1683-ND,600214,CNC Tech,MW35-C HY 14AWG 1KG/2.2LBS SPOOL,35,0,"106.08000","0","1","-","Active","14 AWG","Copper, Annealed Bare","Polyamide","0.068"" (1.73mm)","177.1' (54m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8076_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1990-ND,8076,Belden Inc.,MW-35C HY 20AWG,6,0,"106.96000","0","1","-","Active","20 AWG","Copper, Annealed Bare","Polyamide","0.035"" (0.89mm)","315.0' (96m)","MW 35-C HY"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3522_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3522.jpg,1528-2336-ND,3522,Adafruit Industries LLC,ENAMELED COPPER MAGNET WIRE 11,692,0,"0.95000","0","1","-","Active","38 AWG","Copper, Annealed Bare","-","0.004"" (0.11mm)","37.5' (11.5m)","-"
https://catalog.belden.com/techdata/EN/8050_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1978-ND,8050,Belden Inc.,MW-28C SL 20AWG,11,0,"102.14000","0","1","-","Active","20 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.034"" (0.86mm)","160.0' (49m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8077_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1991-ND,8077,Belden Inc.,MW-35C HY 22AWG,14,0,"106.53000","0","1","-","Active","22 AWG","Copper, Annealed Bare","Polyamide","0.028"" (0.71mm)","501.0' (153m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8078_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1992-ND,8078,Belden Inc.,MW-35C HY 24AWG,10,0,"111.99000","0","1","-","Active","24 AWG","Copper, Annealed Bare","Polyamide","0.023"" (0.58mm)","793.0' (242m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8079_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1993-ND,8079,Belden Inc.,MW-35C HY 26AWG,3,0,"143.08000","0","1","-","Active","26 AWG","Copper, Annealed Bare","Polyamide","0.018"" (0.46mm)","1260.0' (384m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8080_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1994-ND,8080,Belden Inc.,MW-35C HY 28AWG,3,0,"152.29000","0","1","-","Active","28 AWG","Copper, Annealed Bare","Polyamide","0.015"" (0.38mm)","1990.0' (607m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8081_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1995-ND,8081,Belden Inc.,MW-35C HY 30AWG,3,0,"164.12000","0","1","-","Active","30 AWG","Copper, Annealed Bare","Polyamide","1.189"" (30.20mm)","3140.0' (957m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8083_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL3526-ND,8083,Belden Inc.,MW-35-C HVY 34AWG,3,0,"172.41000","0","1","-","Active","34 AWG","Copper, Annealed Bare","Polyamide","0.008"" (0.20mm)","25787.4' (7860m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8075_techdata.pdf,//media.digikey.com/photos/Belden/8075.JPG,BEL1989-ND,8075,Belden Inc.,MW-35C HY 18AWG,15,0,"195.81000","0","1","-","Active","18 AWG","Copper, Annealed Bare","Polyamide","0.044"" (1.12mm)","190.0' (58m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,1175-1879-ND,600218-15,CNC Tech,MW35-C HY 18AWG 15KG/33LBS,2,0,"1026.91000","0","1","-","Active","18 AWG","Copper, Annealed Bare","Polyamide","0.043"" (1.09mm)","6722.4' (2049m)","MW 35-C HY"
https://catalog.belden.com/techdata/EN/8049_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1977-ND,8049,Belden Inc.,MW-28C SL 18AWG,0,0,"64.89000","0","1","-","Active","18 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.042"" (1.07mm)","100.0' (30m)","MW 28-C SL"
https://catalog.belden.com/techdata/EN/8055_techdata.pdf,//media.digikey.com/Photos/Belden/8056.jpg,BEL1983-ND,8055,Belden Inc.,MW-28C SL 30AWG,1,0,"91.10000","0","1","-","Active","30 AWG","Copper, Annealed Bare","Polyurethane (PU)","0.011"" (0.28mm)","1615.0' (492m)","MW 28-C SL"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,1175-1877-ND,600214-15,CNC Tech,MW35-C HY 14AWG 15KG/33LBS,1,0,"1018.44000","0","1","-","Active","14 AWG","Copper, Annealed Bare","Polyamide","0.068"" (1.73mm)","2657.5' (810m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,1175-1880-ND,600220-15,CNC Tech,MW35-C HY 20AWG 15KG/33LBS,1,0,"1041.58000","0","1","-","Active","20 AWG","Copper, Annealed Bare","Polyamide","0.035"" (0.89mm)","10664.4' (3250.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,1175-1878-ND,600216-15,CNC Tech,MW35-C HY 16AWG 15KG/33LBS,0,0,"1083.60000","0","1","-","Active","16 AWG","Copper, Annealed Bare","Polyamide","0.054"" (1.37mm)","4237.2' (1291.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600214-3-ND,600214-3,CNC Tech,MW35-C HY 14AWG 3KG/6.6LBS SPOOL,0,0,"292.50000","0","4","-","Active","14 AWG","Copper, Annealed Bare","Polyamide","0.068"" (1.73mm)","531.5' (162.0m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600232-15-ND,600232-15,CNC Tech,MW35-C HY 32AWG 15KG/33LBS,0,0,"889.20000","0","1","-","Active","32 AWG","Copper, Annealed Bare","Polyamide","0.010"" (0.25mm)","171038.4' (52132.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600228-15-ND,600228-15,CNC Tech,MW35-C HY 28AWG 15KG/33LBS,0,0,"905.77000","0","1","-","Active","28 AWG","Copper, Annealed Bare","Polyamide","0.015"" (0.38mm)","68828.7' (20979m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600230-15-ND,600230-15,CNC Tech,MW35-C HY 30AWG 15KG/33LBS,0,0,"905.77000","0","1","-","Active","30 AWG","Copper, Annealed Bare","Polyamide","0.012"" (0.31mm)","109247' (33298.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600224-15-ND,600224-15,CNC Tech,MW35-C HY 24AWG 15KG/33LBS,0,0,"939.51000","0","1","-","Active","24 AWG","Copper, Annealed Bare","Polyamide","0.023"" (0.58mm)","26993.1' (8227.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600226-15-ND,600226-15,CNC Tech,MW35-C HY 26AWG 15KG/33LBS,0,0,"939.51000","0","1","-","Active","26 AWG","Copper, Annealed Bare","Polyamide","0.018"" (0.46mm)","43184' (13162.5m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600222-15-ND,600222-15,CNC Tech,MW35-C HY 22AWG 15KG/33LBS,0,0,"964.89000","0","1","-","Active","22 AWG","Copper, Annealed Bare","Polyamide","0.028"" (0.71mm)","17047.2' (5196m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600212-30-ND,600212-30,CNC Tech,MW35-C HY 12AWG 30KG/66.1LBS,0,0,"Active","0","0","-","Active","12 AWG","Copper, Annealed Bare","Polyamide","0.083"" (2.11mm)","3345.6' (1020m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600234-10-ND,600234-10,CNC Tech,MW35-C HY 34AWG 15KG/33LBS,0,0,"Active","0","0","-","Active","34 AWG","Copper, Annealed Bare","Polyamide","0.008"" (0.20mm)","183549.9' (55946m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600237-30-ND,600237-30,CNC Tech,MW35-C HY 37AWG 30KG/66.1LBS,0,0,"Obsolete","0","1","-","Obsolete","37 AWG","Copper, Annealed Bare","Polyamide","0.006"" (0.16mm)","1084738.0' (330612m)","MW 35-C HY"
http://www.cnctech.us/pdfs/MW-Specification-sheet.pdf,-,600238-30-ND,600238-30,CNC Tech,MW35-C HY 38AWG 30KG/66.1LBS,0,0,"Obsolete","0","1","-","Obsolete","38 AWG","Copper, Annealed Bare","Polyamide","0.005"" (0.13mm)","1354987.4' (412980m)","MW 35-C HY"
