Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Function","Motor Type","Voltage - Rated","RPM","Torque - Rated (oz-in / mNm)","Power - Rated","Encoder Type","Size / Dimension","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Features","Gear Reduction Ratio","Torque - Max Momentary (oz-in / mNm)","Operating Temperature"
http://www.vibration-motor.com/products/download/C1034B018F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1034B018F.jpg,1670-1009-ND,C1034B018F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,1948,0,"2.88000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z6SCAB0061141.pdf,//media.digikey.com/Photos/Jinlong/Z6SCAB0061141.jpg,1670-1021-ND,Z6SCAB0061141,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V PIN,378,0,"2.88000","0","1","Z6S","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.268"" Dia (6.80mm)","-","0.161"" (4.10mm)","-","PC Pin","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/C1030Q002F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1030Q002F.jpg,1670-1008-ND,C1030Q002F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 2V SMD,1250,0,"2.97000","0","1","-","Active","DC Motor","Vibration, ERM","-","2VDC","12000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/C0720B001F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C0720B001F_FRONT.jpg,1670-1000-ND,C0720B001F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V FLEX,13039,0,"3.54000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/C0720B015F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C0720B015F.jpg,1670-1030-ND,C0720B015F,"Jinlong Machinery & Electronics, Inc.",COIN VIBRATION MOTOR 7MM WIRE LE,2185,0,"3.54000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z7AL2B1692082.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z7AL2B1692082.jpg,1670-1023-ND,Z7AL2B1692082,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V WIRE,3521,0,"3.74000","0","1","Z7A","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.347"" Dia (8.80mm)","-","-","-","Wire Leads","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/SER0043_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_SER0043.jpg,1738-1300-ND,SER0043,DFRobot,SERVOMOTOR 4.8-6VDC,261,0,"4.12000","0","1","-","Active","DC Motor","Servomotor, RC (Hobby)","Continuous Rotation","4.8 ~ 6VDC","-","-","-","-","Rectangular - 0.480"" x 1.268"" (12.20mm x 32.20mm)","-","0.126"" (3.20mm)","-","Wire Leads with Connector","-","-","-","-30°C ~ 60°C"
https://www.parallax.com/sites/default/files/downloads/28821-Flat-Coin-Vibration-Motor-Documentation.pdf,//media.digikey.com/Photos/Parallax%20Photos/28821.JPG,28821-ND,28821,Parallax Inc.,VIBRATION MOTOR 9000 RPM 3VDC,1866,0,"4.50000","0","1","C1026B","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PAN14_.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PAN14EE12AA1.jpg,P14346-ND,PAN14EE12AA1,NMB Technologies Corporation,STANDARD MOTOR 12850 RPM 12VDC,5346,0,"4.66000","0","1","PAN14","Active","DC Motor","Standard","Brushed","12VDC","12850 RPM","0.69 / 4.9","-","-","Round - 0.953"" Dia (24.20mm)","0.059"" (1.50mm)","0.453"" (11.50mm)","-","Connector","-","-","-","-"
https://www.parallax.com/sites/default/files/downloads/28822-Vibration-Motor-Capsule-Documentation.pdf,//media.digikey.com/photos/Parallax%20Photos/28822.JPG,28822-ND,28822,Parallax Inc.,VIBRATION MOTOR 12000 RPM 3VDC,1662,0,"4.99000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C"
https://www.tdk-electronics.tdk.com/inf/20/10/ds/0909H011V060.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_PowerHap-7G-Type.jpg,495-76129-ND,Z63000Z2910Z 1Z 2,EPCOS (TDK),VIB PIEZO HAPTIC MOTOR 2.5G 60V,381,0,"30.19000","0","1","PowerHap™","Active","-","Vibration (Piezo)","-","0 ~ 60 V","-","-","-","-","Square - 0.354"" x 0.354"" (9.00mm x 9.00mm)","-","-","-","Solder Pad","-","-","-","-40°C ~ 85°C"
https://www.nidec-copal-electronics.com/e/catalog/dc-geared-motor/mg16b.pdf,//media.digikey.com/Photos/Copal%20Photos/Series-MG16B.jpg,563-2088-ND,MG16B-300-AA-00,Nidec Copal Electronics,DC6V 34RPM METAL PLANETARY GEAR,521,0,"37.03000","0","1","MG16B","Active","DC Motor","Gearmotor","-","6VDC","34 RPM","22.7 / 160","-","-","Round - 0.629"" Dia (16.00mm)","0.118"" (3.00mm)","0.394"" (10.00mm)","0.433"" (11.00mm)","Wire Leads","-","300","33.99 / 240","-"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qbl4208%2F_datasheet%2FQBL4208_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QBL4208-41-04-006.jpg,1460-1086-ND,QBL4208-41-04-006,Trinamic Motion Control GmbH,STANDARD MOTOR 4000 RPM 24VDC,133,0,"86.06000","0","1","QMot QBL4208","Active","DC Motor","Standard","Brushless (BLDC)","24VDC","4000 RPM","8.85 / 62.5","26.2W","-","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","0.197"" (5.00mm)","0.866"" (22.00mm)","1.417"" (36.00mm)","Wire Leads","-","-","26.91 / 190","-20°C ~ 40°C"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qbl4208%2F_datasheet%2FQBL4208_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QBL4208-61-04-013.jpg,1460-1087-ND,QBL4208-61-04-013,Trinamic Motion Control GmbH,STANDARD MOTOR 4000 RPM 24VDC,45,0,"108.71000","0","1","QMot QBL4208","Active","DC Motor","Standard","Brushless (BLDC)","24VDC","4000 RPM","17.7 / 125","52.4W","-","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","0.197"" (5.00mm)","0.866"" (22.00mm)","1.417"" (36.00mm)","Wire Leads","-","-","53.82 / 380","-20°C ~ 40°C"
http://cdn.crouzet-motors.com.s3.amazonaws.com/assets/library/Datasheets-and-3D/EN_FT_89890011.pdf,//media.digikey.com/Photos/Crouzet%20Photos/PH_89890.JPG,966-1695-ND,89890011,Crouzet,MOTOR DC 898900 24V 3800RPM,109,0,"221.96000","0","1","DCmind, 89890","Active","DC Motor","Standard","Brushed","24VDC","3430 RPM","41.07 / 290","104W","-","Round - 2.488"" Dia (63.20mm)","0.315"" (8.00mm)","0.984"" (25.00mm)","-","Wire Leads","-","-","-","-30°C ~ 70°C"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MSMD082G1S.jpg,1110-3038-ND,MSMD082G1S,Panasonic Industrial Automation Sales,SERVOMOTOR 3000 RPM 200VAC,30,0,"642.20000","0","1","MINAS A5","Active","AC Motor","Servomotor","-","200VAC","3000 RPM","339.9 / 2400","750W","Incremental","Square - 3.150"" x 3.150"" (80.00mm x 80.00mm)","0.748"" (19.00mm)","1.378"" (35.00mm)","3.543"" (90.00mm)","Wire Leads","Key","-","1005 / 7100","0°C ~ 40°C"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/1020-15-003-001_Spec.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_316040001.jpg,1597-1244-ND,316040001,"Seeed Technology Co., Ltd",VIBRATION MOTOR 3VDC,3975,0,"1.22000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","-","-","-","-","-","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/1027_Spec.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_316040004.jpg,1597-1245-ND,316040004,"Seeed Technology Co., Ltd",VIBRATION MOTOR 10000 RPM 3VDC,3248,0,"1.22000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1201_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1201.JPG,1528-1177-ND,1201,Adafruit Industries LLC,VIBRATION MOTOR 11000 RPM 5VDC,4897,0,"1.95000","0","1","-","Active","DC Motor","Vibration, ERM","-","5VDC","11000 RPM","-","-","-","-","-","-","-","Wire Leads","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/711_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_711.jpg,1528-1150-ND,711,Adafruit Industries LLC,STANDARD MOTOR 9100 RPM 6VDC,1485,0,"1.95000","0","1","-","Active","DC Motor","Standard","-","6VDC","9100 RPM","0.14 / 0.98","-","-","Round - 0.787"" Dia (20.00mm)","0.079"" (2.00mm)","0.315"" (8.00mm)","-","Wire Leads","-","-","-","-10°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z30C1B839981.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1B839981A.jpg,1670-1048-2-ND,Z30C1B839981A,"Jinlong Machinery & Electronics, Inc.",SMD MID-MOUNT VIBRATION MOTOR LO,1000,0,"2.22813","0","1000","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.181"" Dia (4.60mm)","-","-","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z30C1B839981.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1B839981A.jpg,1670-1048-1-ND,Z30C1B839981A,"Jinlong Machinery & Electronics, Inc.",SMD MID-MOUNT VIBRATION MOTOR LO,1744,0,"3.73000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.181"" Dia (4.60mm)","-","-","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z30C1B839981.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z30C1B839981A.jpg,1670-1048-6-ND,Z30C1B839981A,"Jinlong Machinery & Electronics, Inc.",SMD MID-MOUNT VIBRATION MOTOR LO,1744,0,"Digi-Reel","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.181"" Dia (4.60mm)","-","-","-","J Lead","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4KH2B0470652.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4KH2B0470652.jpg,1670-1013-ND,Z4KH2B0470652,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,3753,0,"2.88000","0","1","Z4KH","Active","DC Motor","Vibration, ERM","-","3VDC","11000 RPM","-","-","-","Round - 0.234"" Dia (5.95mm)","-","0.146"" (3.70mm)","-","Pressure Contact","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4KL2B0030471.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4KL2B0030471.jpg,1670-1014-ND,Z4KL2B0030471,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V WIRE,1700,0,"2.88000","0","1","Z4KL","Active","DC Motor","Vibration, ERM","-","3VDC","10500 RPM","-","-","-","Rectangular - 0.197"" x 0.205"" (5.00mm x 5.20mm)","-","-","-","Wire Leads","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4TH5B1241992.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4TH5B1241992.jpg,1670-1015-ND,Z4TH5B1241992,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,796,0,"2.88000","0","1","Z4TH","Active","DC Motor","Vibration, ERM","-","3VDC","13500 RPM","-","-","-","Rectangular - 0.181"" x 0.193"" (4.60mm x 4.90mm)","-","0.130"" (3.30mm)","-","Pressure Contact","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z4KC1B1051202.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4KC1B1051202.jpg,1670-1012-ND,Z4KC1B1051202,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V PIN,631,0,"2.88000","0","1","Z4K","Active","DC Motor","Vibration, ERM","-","3VDC","14000 RPM","-","-","-","Round - 0.177"" Dia (4.50mm)","-","0.146"" (3.70mm)","-","PC Pin","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/Z6DCBB0735091.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z6DCBB0735091.jpg,1670-1018-ND,Z6DCBB0735091,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V PIN,480,0,"2.88000","0","1","Z6D","Active","DC Motor","Vibration, ERM","-","3VDC","7000 RPM","-","-","-","Round - 0.268"" Dia (6.80mm)","-","-","-","PC Pin","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/C1020B217F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1020B217_FRONT.jpg,1670-1004-ND,C1020B217F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V FLEX,220,0,"2.88000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Solder Tab","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z4TL2B124064X.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z4TL2B124064X.jpg,1670-1016-ND,Z4TL2B124064X,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V WIRE,189,0,"2.88000","0","1","Z4TL","Active","DC Motor","Vibration, ERM","-","3VDC","15000 RPM","-","-","-","Round - 0.181"" Dia (4.60mm)","-","0.150"" (3.80mm)","-","Wire Leads","-","-","-","-30°C ~ 70°C"
http://www.vibration-motor.com/products/download/C1020K001F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1020K001F_FRONT.jpg,1670-1007-ND,C1020K001F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 2V SMD,15314,0,"2.97000","0","1","-","Active","DC Motor","Vibration, ERM","-","2VDC","9000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/C1030Q001F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C1030Q001F.jpg,1670-1054-ND,C1030Q001F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 2V SMD,384,0,"2.97000","0","1","-","Active","DC Motor","Vibration, ERM","-","2VDC","12000 RPM","-","-","-","Round - 0.394"" Dia (10.00mm)","-","-","-","Pressure Contact","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z6SH1B0060711.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z6SH1B0060711.jpg,1670-1022-ND,Z6SH1B0060711,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V SMD,923,0,"3.12000","0","1","Z6S","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.268"" Dia (6.80mm)","-","0.161"" (4.10mm)","-","Pressure Contact","-","-","-","-30°C ~ 70°C"
-,//media.digikey.com/Photos/Jinlong/MFG_G0832022D.jpg,1670-1075-ND,G0832022D,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN LRA Z-AXIS,928,0,"3.17000","0","1","-","Active","AC Motor","Vibration, LRA","-","2VAC","-","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 70°C"
http://www.vibration-motor.com/products/download/C0820B006F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C0820B006F.jpg,1670-1001-ND,C0820B006F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,1802,0,"3.28000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","10000 RPM","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/C0825B002F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C0825B002F.jpg,1670-1002-ND,C0825B002F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,1223,0,"3.28000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/M1N10.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/M1N10FB11G.jpg,P14354-ND,M1N10FB11G,NMB Technologies Corporation,STANDARD MOTOR 13850 RPM 5VDC,1185,0,"3.28000","0","1","M1N10","Active","DC Motor","Standard","Brushed","5VDC","13850 RPM","0.04 / 0.3","-","-","Round - 0.472"" Dia (12.00mm)","0.039"" (1.00mm)","0.366"" (9.30mm)","0.335"" (8.50mm)","Solder Tab","-","-","-","-"
http://www.vibration-motor.com/products/download/C0834B011F.pdf,//media.digikey.com/Photos/Jinlong/MFG_C0834B011F.jpg,1670-1003-ND,C0834B011F,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR COIN 3V WIRE,1159,0,"3.28000","0","1","-","Active","DC Motor","Vibration, ERM","-","3VDC","12000 RPM","-","-","-","Round - 0.315"" Dia (8.00mm)","-","-","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Q4SL2BQ280001.pdf,//media.digikey.com/Photos/Jinlong/MFG_Q4_MICRO-MOTOR.jpg,1670-1041-ND,Q4SL2BQ280001,"Jinlong Machinery & Electronics, Inc.",MICRO MOTOR,225,0,"3.36000","0","1","-","Active","DC Motor","Standard","-","3VDC","18799 RPM","0.003 / 0.022","-","-","Round - 0.158"" Dia (4.00mm)","0.028"" (0.70mm)","0.150"" (3.80mm)","-","Wire Leads","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PPN13.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PPN13PB11C2.jpg,P14356-ND,PPN13PB11C2,NMB Technologies Corporation,STANDARD MOTOR 7473 RPM 7.4VDC,994,0,"3.57000","0","1","PPN13","Active","DC Motor","Standard","Brushed","7.4VDC","7473 RPM","0.01 / 0.1","-","-","Round - 0.634"" Dia (16.10mm)","0.059"" (1.50mm)","0.433"" (11.00mm)","0.394"" (10.00mm)","Solder Tab","-","-","-","-"
http://www.vibration-motor.com/products/download/Q4TL2BQ360003.pdf,//media.digikey.com/Photos/Jinlong/MFG_Q4_MICRO-MOTOR.jpg,1670-1040-ND,Q4TL2BQ360003,"Jinlong Machinery & Electronics, Inc.",MICRO MOTOR,318,0,"3.58000","0","1","-","Active","DC Motor","Standard","-","3VDC","25595 RPM","0.002 / 0.014","-","-","Round - 0.158"" Dia (4.00mm)","0.024"" (0.60mm)","0.157"" (4.00mm)","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Q6SL2BQ180002.pdf,//media.digikey.com/Photos/Jinlong/MFG_Q6-MICRO-MOTOR.jpg,1670-1044-ND,Q6SL2BQ180002,"Jinlong Machinery & Electronics, Inc.",MICRO MOTOR,309,0,"3.58000","0","1","-","Active","DC Motor","Standard","-","3VDC","13392 RPM","0.006 / 0.039","-","-","Round - 0.236"" Dia (6.00mm)","0.031"" (0.80mm)","0.146"" (3.70mm)","-","Wire Leads","-","-","-","-20°C ~ 60°C"
http://www.vibration-motor.com/products/download/Z6DL2B0055211.pdf,//media.digikey.com/Photos/Jinlong/MFG_Z6DL2B0055211.jpg,1670-1020-ND,Z6DL2B0055211,"Jinlong Machinery & Electronics, Inc.",VIBRATION MOTOR CYL 3V WIRE,804,0,"3.61000","0","1","Z6D","Active","DC Motor","Vibration, ERM","-","3VDC","11000 RPM","-","-","-","Round - 0.276"" Dia (7.00mm)","-","-","-","Wire Leads","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PKN7EB105C1_Spec.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PKN7EB105C1.jpg,P14352-ND,PKN7EB105C7,NMB Technologies Corporation,STANDARD MOTOR 12130 RPM 3VDC,1545,0,"3.76000","0","1","PKN7","Active","DC Motor","Standard","Brushed","3VDC","12130 RPM","0.03 / 0.2","-","-","Round - 0.394"" Dia (10.00mm)","0.039"" (1.00mm)","0.331"" (8.40mm)","0.283"" (7.20mm)","Solder Tab","-","-","-","-"
