Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Motor Type","Control / Drive Type","Number of Motors","Voltage - Load","Current - Output","Wattage - Load","Voltage - Supply","Interface","Mounting Type","Operating Temperature","Features","For Use With/Related Products"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-6110_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-6110.jpg,1460-1035-ND,TMCM-6110,Trinamic Motion Control GmbH,STEPPER DRIVER 1.1A 7-34V LOAD,107,0,"265.99000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","6","7 ~ 34V","1.1A","-","12 ~ 34VDC","CAN, RS-485","Chassis Mount","-40°C ~ 70°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3110_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-3110-TMCL.jpg,1460-1034-ND,TMCM-3110-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 9-52.8V,75,0,"374.34000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","9 ~ 52.8V","2.8A","-","24 ~ 48VDC","RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-6212_6213_hardware_manual_V091.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-6210-TMCL.jpg,1460-1189-ND,TMCM-6212-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 1.1A 11V-35V,46,0,"444.90000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","6","11V ~ 35V","1.1A","-","24VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MBDHT2510E.jpg,1110-2980-ND,MBDHT2510E,Panasonic Industrial Automation Sales,SERVO DRIVER 15A 240V LOAD,33,0,"590.00000","0","1","MINAS A5E","Active","Module","Servo","Servo AC","1","240V","15A","400W","200 ~ 240VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MCDHT3520.jpg,1110-2986-ND,MCDHT3520,Panasonic Industrial Automation Sales,SERVO DRIVER 30A 240V LOAD,35,0,"770.00000","0","1","MINAS A5","Active","Module","Servo","Servo AC","1","240V","30A","750W","200 ~ 240VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1043_Short_Manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1043.jpg,1460-1061-ND,TMCM-1043,Trinamic Motion Control GmbH,STEPPER DRIVER 1.1A 9-28V LOAD,356,0,"39.00000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","9 ~ 28V","1.1A","-","9 ~ 28VDC","Step / Direction","Chassis Mount","-30°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1240_CANopen_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1240.JPG,1460-1259-ND,TMCM-1240-CANOPEN,Trinamic Motion Control GmbH,STEPPER CONTROLLER/DRIVER 2A 10-,28,0,"188.90000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","-","2A","-","10 ~ 30VDC","CAN, USB","Chassis Mount","-30°C ~ 60°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-343_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-343-H.JPG,1460-1199-ND,TMCM-343-H,Trinamic Motion Control GmbH,STEPPER DRIVER 1.1A,103,0,"214.20000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","-","1.1A","-","12 ~ 28VDC","RS-485, UART","Chassis Mount","-40°C ~ 80°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1270_hardware_manual_Hw1.00_Rev1.20.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1270-TMCL.jpg,1460-1202-ND,TMCM-1270-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 1.2A,71,0,"91.38000","0","1","TMCM","Active","Module","Stepper","Stepper, Bipolar","1","-","1.2A","-","24VDC","CAN","Chassis Mount","-30°C ~ 40°C","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2963598_2982090.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2982090.jpg,277-5112-ND,2982090,Phoenix Contact,REVERSING RELAY 6A 10-30V LOAD,36,146,"253.34000","0","1","ELR","Active","Module","Brushed DC","Reversing Relay","1","10 ~ 30V","6A","-","24VDC","-","DIN Rail","-20°C ~ 60°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-6212_6213_hardware_manual_V091.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-6210-TMCL.jpg,1460-1188-ND,TMCM-6212-CANOPEN,Trinamic Motion Control GmbH,STEPPER DRIVER 1.1A 11V-35V,29,0,"425.40000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","6","11V ~ 35V","1.1A","-","24VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MADKT1507.jpg,1110-3785-ND,MADKT1107,Panasonic Industrial Automation Sales,SERVO DRIVER 10A 120V LOAD,26,0,"650.00000","0","1","MINAS A5II","Active","Module","Servo","Servo AC","1","120V","10A","200W","100 ~ 120VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2906062.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2903922.jpg,277-16291-ND,2906062,Phoenix Contact,MOTOR STARTER REV 2.4A 42-550V,57,0,"188.95000","0","1","ELR","Active","Module","AC Motor","Motor Starter, Reversible","3","42 ~ 550V","2.4A","4.1W","24VDC","-","DIN Rail","5°C ~ 70°C","-","-"
https://www.apexanalog.com/resources/products/msa240u.pdf,//media.digikey.com/photos/Cirrus%20Logic%20Photos/MSA240KC.JPG,598-1416-ND,MSA240KC,Apex Microtechnology,BRUSHED DRIVER 20A 3-100V LOAD,26,0,"195.01000","0","1","Apex Precision Power®","Active","Board","Brushed DC","Brushed","1","3 ~ 100V","20A","250W","14 ~ 16VDC","-","Chassis Mount","-40°C ~ 85°C","-","-"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MBDDT2210.JPG,1110-4021-ND,MADDT1205,Panasonic Industrial Automation Sales,SERVO DRIVER 10A 240V LOAD,30,0,"493.65000","0","1","MINAS A4","Obsolete","Module","Servo","Servo AC","1","240V","10A","200W","200 ~ 240VAC","RS-232, RS-485","Chassis Mount","0°C ~ 55°C","-","MINAS A4 Series"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1161_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1161.jpg,1460-1019-ND,TMCM-1161,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 10-30V LOAD,22,0,"150.90000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","10 ~ 30V","2.8A","-","24VDC","RS-232, RS-485, USB","Chassis Mount","-35°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1640_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1640.jpg,1460-1030-ND,TMCM-1640,Trinamic Motion Control GmbH,BRUSHLESS DRIVE 5A 12-28.5V LOAD,15,0,"155.76000","0","1","TMCM","Active","Board","Brushless (BLDC)","Brushless","1","12 ~ 28.5V","5A","-","24VDC","RS-485, USB","Chassis Mount","-","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1630_hardware_manual_Hw1.1_Rev1.05.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1630-2C.jpg,1460-1028-ND,TMCM-1630-2C,Trinamic Motion Control GmbH,BRUSHLESS DRIVER 10A 12-48V LOAD,18,0,"202.30000","0","1","TMCM","Active","Board","Brushless (BLDC)","Brushless","1","12 ~ 48V","10A","-","12 ~ 48VDC","CAN, RS-232","Chassis Mount","-25°C ~ 60°C","-","BB-163X"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3230_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-3230-TMCL.jpg,1460-1234-ND,TMCM-3230-TMCL,Trinamic Motion Control GmbH,BOARD CONTROL STEPPER MOTOR,5,0,"206.40000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","12 ~ 24V","1A","-","12 ~ 24VDC","CAN, SPI, UART","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1260_hardware_manual_V120.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1260-CANOPEN.JPG,1460-1279-ND,TMCM-1260-CANOPEN,Trinamic Motion Control GmbH,STEPPER CONTROLLER/DRIVER 6A 12-,8,0,"208.20000","0","1","TMCM","Active","Module","Stepper","Stepper, Bipolar","2","-","6A","-","12 ~ 54VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1311_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1311-V1.jpg,1460-1025-ND,TMCM-1311 V1.2,Trinamic Motion Control GmbH,STEPPER DRIVER 3A 10-52.5V LOAD,19,0,"269.58000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","10 ~ 52.5V","3A","-","10 ~ 52.5VDC","CAN, RS-485, USB","Chassis Mount","0°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-351_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-351-E-TMCL.JPG,1460-1227-ND,TMCM-351-E-TMCL,Trinamic Motion Control GmbH,MODULE STEPPER MOTOR DRIVER CONT,9,0,"384.43000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","7 ~ 28.5V","2.8A","-","24VDC","CAN, RS-232, RS-485, SPI, USB","Chassis Mount","-20°C ~ 40°C","-","-"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1180%2F_documentation%2FPD-1180_TMCL_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1180-TMCL.jpg,1460-1023-ND,TMCM-1180-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 5.5A 18-55V LOAD,18,0,"396.30000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","18 ~ 55V","5.5A","-","24 ~ 48VDC","RS-232, RS-485, Step / Direction, USB","Chassis Mount","-20°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3212_TMCL-firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-3212.jpg,1460-1168-ND,TMCM-3212-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 9-52.8V,20,0,"447.00000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","9 ~ 52.8V","2.8A","-","24 ~ 48VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3312_3313_hardware_manual_Hw1.00_Rev0.94.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-3312-TMCL.jpg,1460-1195-ND,TMCM-3312-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 3A 9-52.8V LOAD,14,0,"560.04000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","9 ~ 52.8V","3A","-","12 ~ 48VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 40°C","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MBDKT2110.jpg,1110-3787-ND,MBDKT2110,Panasonic Industrial Automation Sales,SERVO DRIVER 15A 120V LOAD,9,0,"650.00000","0","1","MINAS A5II","Active","Module","Servo","Servo AC","1","120V","15A","400W","100 ~ 120VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MBDHT2510.jpg,1110-2979-ND,MBDHT2510,Panasonic Industrial Automation Sales,SERVO DRIVER 15A 240V LOAD,11,0,"660.00000","0","1","MINAS A5","Active","Module","Servo","Servo AC","1","240V","15A","400W","200 ~ 240VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MCDHT3520E.jpg,1110-2987-ND,MCDHT3520E,Panasonic Industrial Automation Sales,SERVO DRIVER 30A 240V LOAD,9,0,"690.00000","0","1","MINAS A5E","Active","Module","Servo","Servo AC","1","240V","30A","750W","200 ~ 240VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A5 Series"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3214_3215_hardware_manual_V091.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-3214-TMCL.JPG,1460-1192-ND,TMCM-3214-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 6.5A 9-52.8V,12,0,"709.32000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","3","9 ~ 52.8V","6.5A","-","24 ~ 48VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 50°C","-","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a6_ctlg_e.pdf,//media.digikey.com/photos/Panasonic%20Photos/MBDLT21SF.JPG,1110-4107-ND,MBDLT21SF,Panasonic Industrial Automation Sales,SERVO DRIVE A6 RS485 12A 100V W/,15,0,"750.00000","0","1","MINAS A6","Active","Module","Servo","Servo AC","1","100V","12A","200W","100VAC","RS-232, RS-485, USB","Chassis Mount","0°C ~ 55°C","-","MINAS A6 Series"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,-,1110-4049-ND,MGSDB2,Panasonic Industrial Automation Sales,SPEED CNTL 220V OUT FOR AC MOTOR,33,0,"48.07000","0","1","MGSD","Active","Module","AC Motor","Variable Frequency Drive (VFD)","1","200 ~ 240V","1A","90W","200 ~ 240VAC","-","Socketable","-","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MGSDA1.jpg,1110-4059-ND,MGSDA1,Panasonic Industrial Automation Sales,SPEED CNTL 115V OUT FOR AC MOTOR,12,0,"50.29000","0","1","MGSD","Active","Module","AC Motor","Variable Frequency Drive (VFD)","1","100 ~ 120V","1A","40W","100 ~ 120VAC","-","Socketable","-","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1270_hardware_manual_Hw1.00_Rev1.20.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1270-CANOPEN.jpg,1460-1203-ND,TMCM-1270-CANOPEN,Trinamic Motion Control GmbH,STEPPER DRIVER 1.2A,24,0,"91.38000","0","1","TMCM","Active","Module","Stepper","Stepper, Bipolar","1","-","1.2A","-","24VDC","CAN","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1210_TMCL_firmware_manual_Fw1.10_Rev1.00.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1210.JPG,1460-1233-ND,TMCM-1210,Trinamic Motion Control GmbH,BOARD CONTROLLER DRIVER STEPPER,15,0,"103.63000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","12 ~ 24V","0.6A","-","12 ~ 24VDC","RS-485","Chassis Mount","-30°C ~ 40°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1241_hardware_manual_v100.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1241-TMCL.jpg,1460-1305-ND,TMCM-1241-TMCL,Trinamic Motion Control GmbH,STEPPER DRIVER 3A 10-30V,13,0,"173.75000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","-","3A","-","10 ~ 30VDC","CAN, RS-485, USB","Chassis Mount","-30°C ~ 60°C","-","-"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmodules%2Ftmcm-1140%2F_documentation%2FTMCM-1140_CANopen_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1140-CANOPEN.jpg,1460-1012-ND,TMCM-1140-CANOPEN,Trinamic Motion Control GmbH,STEPPER DRIVER 2.8A 9-28V LOAD,16,0,"176.12000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","9 ~ 28V","2.8A","-","12 ~ 24VDC","CAN, RS-485, Step / Direction, USB","Chassis Mount","-30°C ~ 50°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1633_CANopen_firmware_manual_Fw2.10_Rev1.01.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1633.jpg,1460-1231-ND,TMCM-1633-CANOPEN,Trinamic Motion Control GmbH,BOARD CONTROLLER DRIVER BLDC CAN,5,0,"203.30000","0","1","TMCM","Active","Board","Brushless (BLDC)","Brushless","1","14.5 ~ 50V","10A","-","14 ~ 50VDC","CAN, RS-232","Chassis Mount","-25°C ~ 60°C","-","BB-163X"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1211_TMCL_firmware_manual_Hw1.10_Fw1.10_Rev1.00.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1211-STEPROCKER.jpg,1460-1343-ND,TMCM-1211 STEPROCKER,Trinamic Motion Control GmbH,"STEPPER DRIVER 1.2A, 3.1A, 6.0A,",11,0,"232.58000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","-","5.7A","-","10 ~ 30VDC","RS-485, USB","Chassis Mount","-25°C ~ 50°C","-","-"
https://www.apexanalog.com/resources/products/msa260u.pdf,//media.digikey.com/photos/Cirrus%20Logic%20Photos/MSA260KC.JPG,598-1417-ND,MSA260KC,Apex Microtechnology,BRUSHED DRIVER 20A 5-450V LOAD,9,0,"232.95000","0","1","Apex Precision Power®","Active","Board","Brushed DC","Brushed","1","5 ~ 450V","20A","250W","14 ~ 16VDC","-","Chassis Mount","-40°C ~ 85°C","-","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1181_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/MFG_TMCM-1181.jpg,1460-1197-ND,TMCM-1181,Trinamic Motion Control GmbH,STEPPER DRIVER 6.5A,13,0,"243.20000","0","1","TMCM","Active","Board","Stepper","Stepper, Bipolar","1","-","6.5A","-","24VDC","USB, RS-485","Chassis Mount","-30°C ~ 60°C","-","-"
http://www.crydom.com/en/products/catalog/dr_a4d.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DRA4D.jpg,CC2080-ND,DRA4D100E12,Sensata-Crydom,RELAY CONTACT H-BRG 100VDC 12A,2,0,"270.73000","0","1","DRA4D","Active","Module","Brushed DC","Reversing Relay","1","1 ~ 100V","12A","-","15 ~ 32 VDC","-","DIN Rail","-30°C ~ 60°C","-","DRA Series"
