Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Coil Type","Voltage - Rated","Current Rating (Amps)","Steps per Revolution","Step Angle","Accuracy","Torque - Holding (oz-in / mNm)","Size / Dimension","NEMA Frame Size","Diameter - Shaft","Length - Shaft and Bearing","Mounting Hole Spacing","Termination Style","Operating Temperature","Coil Resistance","Features"
http://www.portescap.com/sites/default/files/20dam_l_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/20DAM10D2U-L.JPG,403-1030-ND,20DAM10D2U-L,Portescap,STEPPER MOTOR PM LINEAR ACT 12V,237,0,"46.78000","0","1","20DAM-L","Active","Permanent Magnet Linear Actuator","Unipolar","12VDC","100mA","24","15°","-","-","Round - 0.807"" Dia (20.50mm)","-","0.135"" (3.43mm)","3.150"" (80.00mm)","1.030"" (26.16mm)","Wire Leads","-20°C ~ 70°C","115.2 Ohms","Threaded Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh6018%2F_datasheet%2FQSH6018_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH6018-86-28-310.jpg,1460-1084-ND,QSH6018-86-28-310,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 4.17V,57,0,"120.79000","0","1","QMot QSH6018","Active","Hybrid","Bipolar","4.17VDC","2.8A","200","1.8°","±5%","438.99 / 3100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads","-20°C ~ 50°C","1.5 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1021%2F_datasheet%2FPD-1021_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD28-1-1021.jpg,1460-1097-ND,PD28-1-1021-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,44,0,"168.35000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","700mA","200","1.8°","-","8.49 / 60","Square - 1.100"" x 1.100"" (28.00mm x 28.00mm)","11","0.197"" (5.00mm)","0.787"" (20.00mm)","0.906"" (23.00mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1021%2F_datasheet%2FPD-1021_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD28-3-1021.jpg,1460-1098-ND,PD28-3-1021-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,38,0,"178.11000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","700mA","200","1.8°","-","16.99 / 120","Square - 1.100"" x 1.100"" (28.00mm x 28.00mm)","11","0.197"" (5.00mm)","0.787"" (20.00mm)","0.906"" (23.00mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1141%2F_datasheet%2FPD-1141_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD42-3-1141.jpg,1460-1109-ND,PD42-3-1141,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,27,0,"178.11000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2A","200","1.8°","±5%","69.39 / 490","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","-","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1161%2F_datasheet%2FPD-1161_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD57-2-1161.jpg,1460-1119-ND,PD57-2-1161,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,37,0,"208.61000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2.8A","200","1.8°","-","143.05 / 1010","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.250"" (6.35mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1140%2F_datasheet%2FPD-1140_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD42-1-1140-TMCL.jpg,1460-1099-ND,PD42-1-1140-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,190,0,"236.66000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2A","200","1.8°","±5%","31.2 / 220","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","-","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1161%2F_datasheet%2FPD-1161_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD60-3-1161.jpg,1460-1120-ND,PD60-3-1161,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,65,0,"248.86000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2.8A","200","1.8°","-","297.38 / 2100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1161%2F_datasheet%2FPD-1161_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD60-4-1161.jpg,1460-1121-ND,PD60-4-1161,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,36,0,"268.39000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2.8A","200","1.8°","-","438.99 / 3100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1160%2F_datasheet%2FPD-1160_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD60-3-1160-TMCL.jpg,1460-1112-ND,PD60-3-1160-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 48V,34,0,"317.17000","0","1","PANdrive™","Active","Hybrid","Bipolar","48VDC","2.8A","200","1.8°","-","297.38 / 2100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1180%2F_documentation%2FPD-1180_TMCL_firmware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD86-3-1180-TMCL.jpg,1460-1122-ND,PD86-3-1180-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 48V,29,0,"651.44000","0","1","PANdrive™","Active","Hybrid","Bipolar","48VDC","5.5A","200","1.8°","-","991.28 / 7000","Square - 3.382"" x 3.382"" (85.90mm x 85.90mm)","34","0.500"" (12.70mm)","1.310"" (33.27mm)","2.740"" (69.60mm)","Wire Leads with Connector","-","0.45 Ohms","Integrated Controller, Flatted Shaft"
https://cdn-shop.adafruit.com/product-files/324/C140-A+datasheet.jpg,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/324.jpg,1528-1062-ND,324,Adafruit Industries LLC,STEPPER MOTOR HYBRID BIPOLAR 12V,381,0,"14.00000","0","1","-","Active","Hybrid","Bipolar","12VDC","350mA","200","1.8°","-","28 / 197","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","1.220"" (30.99mm)","Wire Leads","0°C ~ 50°C","35 Ohms","Flatted Shaft"
http://www.portescap.com/sites/default/files/26m048b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/26M048B1B.jpg,403-1005-ND,26M048B1B,Portescap,STEPPER MOTOR PM BIPOLAR 5V,124,0,"23.16000","0","1","26M","Active","Permanent Magnet","Bipolar","5VDC","250mA","48","7.5°","±15%","1.5 / 10.6","Round - 1.030"" Dia (26.16mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.370"" (34.90mm)","Wire Leads","-20°C ~ 70°C","19.8 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/20m020d_specifications.pdf,//media.digikey.com/Photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35L048B2U.jpg,403-1001-ND,20M020D1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,151,0,"24.21000","0","1","20M","Active","Permanent Magnet","Unipolar","5VDC","100mA","20","18°","±12%","1.1 / 7.77","Round - 0.807"" Dia (20.50mm)","-","0.059"" (1.50mm)","0.335"" (8.50mm)","0.984"" (25.00mm)","Wire Leads","-20°C ~ 70°C","115.2 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/Portescap%20Danaher%20PDFs/44M100D.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/44M100D1B.JPG,403-1014-ND,44M100D1B,Portescap,STEPPER MOTOR PM BIPOLAR 5V,143,0,"25.56000","0","1","44M","Active","Permanent Magnet","Bipolar","5VDC","-","100","3.6°","±11%","5.5 / 38.8","Round - 1.732"" Dia (44.00mm)","-","0.118"" (3.00mm)","0.450"" (11.43mm)","1.950"" (49.48mm)","Wire Leads","0°C ~ 60°C","12.5 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/42m048c_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/42M048C2U.jpg,403-1010-ND,42M048C2U,Portescap,STEPPER MOTOR PM UNIPOLAR 12V,256,0,"26.62000","0","1","42M","Active","Permanent Magnet","Unipolar","12VDC","230mA","48","7.5°","±15%","9.4 / 66.2","Round - 1.650"" Dia (42.00mm)","-","0.118"" (3.00mm)","0.450"" (11.43mm)","1.950"" (49.48mm)","Wire Leads","-20°C ~ 70°C","52.4 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/35l048b_specifications.pdf,//media.digikey.com/Photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35L048B2U.jpg,403-1007-ND,35L048B2U,Portescap,STEPPER MOTOR PM UNIPOLAR 12V,551,0,"26.98000","0","1","35L","Active","Permanent Magnet","Unipolar","12VDC","190mA","48","7.5°","±15%","3.5 / 25","Round - 1.420"" Dia (35.94mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.650"" (42.00mm)","Wire Leads","-20°C ~ 70°C","64 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/42M100B%20Specification%20Sheet.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/42M100B1B.jpg,403-1012-ND,42M100B1B,Portescap,STEPPER MOTOR PM BIPOLAR 5V,138,0,"29.60000","0","1","42M","Active","Permanent Magnet","Bipolar","5VDC","400mA","100","3.6°","±11%","7 / 49.4","Round - 1.650"" Dia (42.00mm)","-","0.118"" (3.00mm)","0.450"" (11.43mm)","1.950"" (49.48mm)","Wire Leads","-20°C ~ 70°C","12.5 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/Portescap%20Danaher%20PDFs/26M048B.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/26M048B2U-V31.JPG,403-1026-ND,26M048B2U-V31,Portescap,STEPPER MOTOR PM GEARED UNI 12V,331,0,"40.60000","0","1","26M-V","Active","Permanent Magnet Gear Motor","Unipolar","12VDC","110mA","1440","0.25°","-","1.3 / 9.2","Round - 1.030"" Dia (26.16mm)","-","0.125"" (3.18mm)","0.432"" (10.97mm)","1.180"" (29.87mm)","Wire Leads","-20°C ~ 70°C","110 Ohms","Round Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fmotors%2Fqmot-qsh6018%2F_datasheet%2FQSH6018_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/QSH6018-65-28-210.jpg,1460-1083-ND,QSH6018-65-28-210,Trinamic Motion Control GmbH,STEP MOTOR HYBRID BIPOLAR 3.36V,44,0,"86.06000","0","1","QMot QSH6018","Active","Hybrid","Bipolar","3.36VDC","2.8A","200","1.8°","±5%","297.38 / 2100","Square - 2.362"" x 2.362"" (60.00mm x 60.00mm)","24","0.315"" (8.00mm)","0.945"" (24.00mm)","1.856"" (47.14mm)","Wire Leads","-20°C ~ 50°C","1.2 Ohms","Flatted Shaft"
https://www.trinamic.com/_scripts/download.php?file=_articles%2Fproducts%2Fpandrives%2Fpd-1140%2F_datasheet%2FPD-1140_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/PD42-4-1140-TMCL.jpg,1460-1102-ND,PD42-4-1140-TMCL,Trinamic Motion Control GmbH,STEPPER MOTOR HYBRID BIPOLAR 24V,34,0,"246.43000","0","1","PANdrive™","Active","Hybrid","Bipolar","24VDC","2A","200","1.8°","±5%","99.1 / 700","Square - 1.654"" x 1.654"" (42.00mm x 42.00mm)","17","0.197"" (5.00mm)","0.945"" (24.00mm)","-","Wire Leads with Connector","-","-","Integrated Controller, Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/858_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/858.JPG,1528-1366-ND,858,Adafruit Industries LLC,STEPPER MOTOR PM GEARED UNI 5V,239,0,"4.95000","0","1","-","Active","Permanent Magnet Gear Motor","Unipolar","5VDC","-","513","0.702°","-","2 / 14","Round - 1.100"" Dia (28.00mm)","-","0.197"" (5.00mm)","0.394"" (10.00mm)","1.378"" (35.00mm)","Wire Leads with Connector","-","42 Ohms","Flatted Shaft"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/918_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_918.jpg,1528-1367-ND,918,Adafruit Industries LLC,STEPPER MOTOR PM GEARED UNI 12V,128,0,"4.95000","0","1","-","Active","Permanent Magnet Gear Motor","Unipolar","12VDC","-","513","11.25°","-","3.5 / 25","Round - 1.100"" Dia (28.00mm)","-","0.197"" (5.00mm)","0.394"" (10.00mm)","1.378"" (35.00mm)","Wire Leads with Connector","-","42 Ohms","Flatted Shaft"
http://www.portescap.com/sites/default/files/26m024d_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/26M024D1U.JPG,403-1020-ND,26M024D1U,Portescap,STEPPER MOTOR PM UNIPOLAR 5V,212,0,"24.21000","0","1","26M","Active","Permanent Magnet","Unipolar","5VDC","260mA","24","15°","±15%","1.35 / 9.5","Round - 1.030"" Dia (26.16mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.370"" (34.90mm)","Wire Leads","-20°C ~ 70°C","19.6 Ohms","Round Shaft"
http://www.portescap.com/sites/default/files/35l048b_specifications.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/35L048B1B.JPG,403-1006-ND,35L048B1B,Portescap,STEPPER MOTOR PM BIPOLAR 5V,105,0,"24.66000","0","1","35L","Active","Permanent Magnet","Bipolar","5VDC","450mA","48","7.5°","±15%","4 / 28","Round - 1.420"" Dia (35.94mm)","-","0.079"" (2.00mm)","0.445"" (11.30mm)","1.650"" (42.00mm)","Wire Leads","-20°C ~ 70°C","11 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/PM20L-020-HHC3.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/PM20L-020-HHC3.jpg,P14337-ND,PM20L-020-HHC3,NMB Technologies Corporation,STEPPER MOTOR PM BIPOLAR 24V,117,0,"33.33000","0","1","PM","Active","Permanent Magnet","Bipolar","24VDC","400mA","20","18°","-","2.1 / 15","Round - 0.787"" Dia (20.00mm)","-","0.059"" (1.50mm)","0.315"" (8.00mm)","1.100"" (28.00mm)","Wire Leads","-","13 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/Portescap%20Danaher%20PDFs/CanStack%20Motor%20Part%20Numbering.pdf,//media.digikey.com/photos/Portescap%20Danaher%20Motion%20US%20LLC%20Photos/42M048C2B-R21.JPG,403-1028-ND,42M048C2B-R21,Portescap,STEP MOTOR PM GEARED BIPOLAR 12V,171,0,"50.80000","0","1","42M-R","Active","Permanent Magnet Gear Motor","Bipolar","12VDC","550mA","480","0.75°","-","11.9 / 84","Round - 1.650"" Dia (42.00mm)","-","0.093"" (2.36mm)","0.469"" (11.92mm)","1.880"" (47.63mm)","Wire Leads","-20°C ~ 70°C","9.1 Ohms","Round Shaft"
//media.digikey.com/pdf/Data%20Sheets/NMB-MAT/23KM-K.pdf,//media.digikey.com/Photos/NMB%20Tech%20Photos/23KM-K748-00V.jpg,P14291-ND,23KM-K748-00V,NMB Technologies Corporation,STEP MOTOR HYBRID UNIPOLAR 24V,29,0,"79.48000","0","1","23KM","Active","Hybrid","Unipolar","24VDC","2A","200","1.8°","±5%","198.28 / 1400","Square - 2.220"" x 2.220"" (56.40mm x 56.40mm)","23","0.250"" (6.35mm)","0.984"" (25.00mm)","1.856"" (47.14mm)","Wire Leads with Connector","-10°C ~ 50°C","2.3 Ohms","Flatted Shaft"
