Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Usage","Specifications"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1640_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1640-CABLE.jpg,1460-1031-ND,TMCM-1640-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1640,53,0,"11.01000","0","1","-","Active","Cable Assembly","TMCM-1640 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1161_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1161-CABLE.jpg,1460-1020-ND,TMCM-1161-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1161,56,0,"13.09000","0","1","-","Active","Cable Assembly","TMCM-1161 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-6110_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-6110-CABLE.jpg,1460-1036-ND,TMCM-6110-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-6110,40,0,"18.70000","0","1","-","Active","Cable Assembly","TMCM-6110 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3110_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-3110-CABLE.jpg,1460-1032-ND,TMCM-3110-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-3110,33,0,"18.70000","0","1","-","Active","Cable Assembly","TMCM-3110 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-3214_3215_hardware_manual_V091.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-G4-CABLE_primary.jpg,1460-1183-ND,TMCM-G4-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-G4-SERIES,14,0,"41.25000","0","1","-","Active","Cable Assembly","TMCM-32, TMCM-33, TMCM-62","Motor","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCA00xxxEED.jpg,1110-3007-ND,MFMCA0050EED,Panasonic Industrial Automation Sales,5M 50W 750W POWER CABLE,21,0,"79.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","5 Meters"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P2990.JPG,1110-3059-ND,DV0P2990,Panasonic Industrial Automation Sales,BATTERY FOR ABSOLUTE ENCODER,13,0,"84.00000","0","1","-","Active","Battery","MINAS A5 Series","-","Lithium, 3.6V"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFECA00xxxEAM.jpg,1110-3000-ND,MFECA0050EAM,Panasonic Industrial Automation Sales,5M 50W 750W INCREMENTAL ENCODER,16,0,"101.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor with Encoder","5 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFECA00xxxEAM.jpg,1110-3622-ND,MFECA0030EAD,Panasonic Industrial Automation Sales,INCREMENTAL ENCODER,6,0,"153.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4360.jpg,1110-3061-ND,DV0P4360,Panasonic Industrial Automation Sales,INTERFACE CONN CABLE,13,0,"214.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor Driver","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0030EAE.jpg,1110-3623-ND,MFECA0030EAE,Panasonic Industrial Automation Sales,3M 50W 750W ABSOLUTE ENCODER,5,0,"214.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4420.jpg,1110-3063-ND,DV0P4420,Panasonic Industrial Automation Sales,CONSOLE,4,0,"221.00000","0","1","-","Active","Display, Operator Panel","MINAS A4 Series","-","-"
-,//media.digikey.com/photos/Panasonic%20Photos/MFECA0030MJD.jpg,1110-2999-ND,MFECA0030MJD,Panasonic Industrial Automation Sales,20BIT INC ENCODER FOR SMALL,5,0,"290.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
-,//media.digikey.com/Photos/Crouzet%20Photos/79265119.jpg,966-1766-ND,79265119,Crouzet,BRUSH FOR MOTORS 82 80X XXX AND,26,0,"18.72000","0","1","792651","Active","Brush","828000, 828100 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1180_hardware_manual.pdf,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/TMCM-1180-CABLE.jpg,1460-1021-ND,TMCM-1180-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1181,9,0,"21.80000","0","1","-","Active","Cable Assembly","TMCM-1181 Series","Motor","-"
https://www.trinamic.com/fileadmin/assets/Products/Modules_Documents/TMCM-1311_hardware_manual.pdf,//media.digikey.com/Photos/Trinamic%20Motion%20Control%20Photos/TMCM-1311-CABLE.jpg,1460-1066-ND,TMCM-1311-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR TMCM-1311,7,0,"21.80000","0","1","-","Active","Cable Assembly","TMCM-1311 Series","Motor","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0PM20026.jpg,1110-2957-ND,DV0PM20026,Panasonic Industrial Automation Sales,A5 EXTERNAL SCALE CONN KIT,14,0,"32.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P0770.jpg,1110-3056-ND,DV0P0770,Panasonic Industrial Automation Sales,CONN KIT FOR EXTERNAL EQUIPMENT,10,0,"32.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","Motor","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCB0030GET.jpg,1110-3069-ND,MFMCB0030GET,Panasonic Industrial Automation Sales,3M 50W - 750W BRAKE CABLE,8,0,"36.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Brake","3 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0PM20040.JPG,1110-3585-ND,DV0PM20040,Panasonic Industrial Automation Sales,A5 BRAKE CONN KIT,7,0,"85.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,//media.digikey.com/photos/Panasonic%20Photos/MZ9G9BU.jpg,1110-4054-ND,MZ9G9BU,Panasonic Industrial Automation Sales,GEARHEAD 90MM 9-1 RATIO FOR AC M,9,0,"85.76000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/9 Ratio"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0P4280.jpg,1110-3567-ND,DV0P4280,Panasonic Industrial Automation Sales,25W / 50 OHM EXTERNAL REGEN RES,7,0,"90.00000","0","1","-","Active","Braking Resistor","MINAS A4 Series","-","50Ohm, 10W"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4190.jpg,1110-2953-ND,DV0P4190,Panasonic Industrial Automation Sales,SINGLE PHASE 100V SURGE ABSORBER,6,0,"95.00000","0","1","-","Active","Surge Absorber","MINAS A5 Series","-","100V"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,-,1110-4063-ND,MZ9G15B,Panasonic Industrial Automation Sales,GEARHEAD 90MM 15-1 RATIO FOR AC,10,0,"96.66000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/15 Ratio"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P0800.jpg,1110-3057-ND,DV0P0800,Panasonic Industrial Automation Sales,INTERFACE CABLE,21,0,"130.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor Driver","2 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFMCA0030RJD.jpg,1110-3643-ND,MFMCA0030RJD,Panasonic Industrial Automation Sales,3M MOTOR CABLE,17,0,"140.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","3 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA00x0WJD.jpg,1110-3620-ND,MFECA0010WJD,Panasonic Industrial Automation Sales,ENCODER CABLE 20-BIT INCREMENTAL,4,0,"140.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","1 Meter"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA00x0WJD.jpg,1110-3621-ND,MFECA0020WJD,Panasonic Industrial Automation Sales,ENCODER CABLE 2M,4,0,"150.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","2 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFECA00xxxEAM.jpg,1110-3003-ND,MFECA0100EAM,Panasonic Industrial Automation Sales,10M 50W 750W INCREMENTAL,4,0,"159.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor with Encoder","10 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFMCA0050RJD.jpg,1110-3647-ND,MFMCA0050RJD,Panasonic Industrial Automation Sales,5M MOTOR CABLE,7,0,"160.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","5 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0030TJD.jpg,1110-3792-ND,MFECA0030TJD,Panasonic Industrial Automation Sales,3M 50W-750W MSME IP67 MTR 20BIT,4,0,"160.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCA00xxxEED.jpg,1110-3011-ND,MFMCA0100EED,Panasonic Industrial Automation Sales,10M 50W 750W POWER CABLE,6,0,"164.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","10 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCB0030PJT.jpg,1110-3012-ND,MFMCB0030PJT,Panasonic Industrial Automation Sales,BRAKE CABLE 3M FOR MSME 50W 750W,2,0,"170.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Brake","3 Meters"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4460.jpg,1110-3226-ND,DV0P4460,Panasonic Industrial Automation Sales,PNSNC SRV RS232C COMM SFTWR,4,0,"187.00000","0","1","-","Active","Software","MINAS A4 Series","-","PANATERM®"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050TJD.jpg,1110-3640-ND,MFECA0050TJD,Panasonic Industrial Automation Sales,5M ENCODER CABLE,4,0,"230.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050GJE.jpg,1110-3637-ND,MFECA0050GJE,Panasonic Industrial Automation Sales,ABSOLUTE ENCODER,2,0,"235.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050EAE.jpg,1110-3633-ND,MFECA0050EAE,Panasonic Industrial Automation Sales,5M 50W 750W ABSOLUTE ENCODER,2,0,"257.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFECA00xxxESD.jpg,1110-2997-ND,MFECA0030ESD,Panasonic Industrial Automation Sales,3M 1.0KW 5.0KW INCREMENTAL,3,0,"301.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor with Encoder","3 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCD00xxxECD.jpg,1110-3013-ND,MFMCD0032ECD,Panasonic Industrial Automation Sales,3M 1.0KW 1.5KW POWER CABLE,10,0,"330.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","3 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050ESD.jpg,1110-3634-ND,MFECA0050ESD,Panasonic Industrial Automation Sales,5M 1.0KW 5.0KW INCREMENTAL,7,0,"344.00000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor with Encoder","5 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0030MJE.jpg,1110-3629-ND,MFECA0030MJE,Panasonic Industrial Automation Sales,17BIT ABSO ENCODER FOR SMALL,6,0,"360.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050MJD.jpg,1110-3002-ND,MFECA0050MJD,Panasonic Industrial Automation Sales,20BIT INC ENCODER FOR SMALL,6,0,"360.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFMCA0050NJD.jpg,1110-3008-ND,MFMCA0050NJD,Panasonic Industrial Automation Sales,MOTOR CABLE 5M FOR MSME 50W 750W,4,0,"360.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","5 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/photos/Panasonic%20Photos/MFMCD00xxxECD.jpg,1110-3014-ND,MFMCD0052ECD,Panasonic Industrial Automation Sales,5M 1.0KW 2.0KW POWER CABLE,4,0,"389.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","5 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050MJE.jpg,1110-3639-ND,MFECA0050MJE,Panasonic Industrial Automation Sales,17BIT ABSO ENCODER FOR SMALL,7,0,"450.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0030ETE.jpg,1110-3625-ND,MFECA0030ETE,Panasonic Industrial Automation Sales,17BIT ABSO ENCODER FOR BIG MOTOR,5,0,"490.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
-,//media.digikey.com/photos/Panasonic%20Photos/MFECA00xxETD.jpg,1110-2998-ND,MFECA0030ETD,Panasonic Industrial Automation Sales,20BIT INC ENCODER FOR BIG,3,0,"490.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050ETE.jpg,1110-3636-ND,MFECA0050ETE,Panasonic Industrial Automation Sales,17BIT ABSO ENCODER FOR BIG,3,0,"560.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
-,//media.digikey.com/photos/Trinamic%20Motion%20Control%20Photos/PD-1270-CABLE.jpg,1460-1211-ND,PD-1270-CABLE,Trinamic Motion Control GmbH,CABLE LOOM FOR PD42-X-1270,50,0,"2.66000","0","1","-","Active","Cable Assembly","PD42-X-1270 Series","Motor","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0PM20044.JPG,1110-3588-ND,DV0PM20044,Panasonic Industrial Automation Sales,A5 POWER SUPPLY CONN 200V,6,0,"55.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","-","-"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MX9G12.5BU.jpg,1110-4050-ND,MX9G12.5BU,Panasonic Industrial Automation Sales,GEARHEAD 90MM 12.5-1 RATIO FOR A,6,0,"70.99000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/12.5 Ratio"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MZ9G9B.jpg,1110-4062-ND,MZ9G9B,Panasonic Industrial Automation Sales,GEARHEAD 90MM 9-1 RATIO FOR AC M,3,0,"82.12000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/9 Ratio"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,-,1110-4061-ND,MZ9G5BU,Panasonic Industrial Automation Sales,GEARHEAD 90MM 5-1 RATIO FOR AC M,4,0,"85.76000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/5 Ratio"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/gr/shin-G_ctlg_e_201604.pdf,//media.digikey.com/photos/Panasonic%20Photos/MX9G180BU.jpg,1110-4060-ND,MX9G180BU,Panasonic Industrial Automation Sales,GEARHEAD 90MM 180-1 RATIO FOR AC,10,0,"87.21000","0","1","-","Active","Gearbox","MINAS-BL GP Series","Motor","1/180 Ratio"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0P1460.jpg,1110-3565-ND,DV0P1460,Panasonic Industrial Automation Sales,NOISE FILTER FOR SIGNAL WIRE,5,0,"99.00000","0","1","-","Active","Noise Filter","MINAS A5 Series","-","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0PM20033.JPG,1110-3580-ND,DV0PM20033,Panasonic Industrial Automation Sales,A5 POWER SUPPLY CONN DOUBLE,5,0,"120.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","-","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA00x0WJD.jpg,1110-3627-ND,MFECA0030GTD,Panasonic Industrial Automation Sales,ENCODER CABLE 3M,2,0,"120.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050GTD.jpg,1110-3638-ND,MFECA0050GTD,Panasonic Industrial Automation Sales,ENCODER CABLE 5M,2,0,"130.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA00x0WJD.jpg,1110-3631-ND,MFECA0030WJD,Panasonic Industrial Automation Sales,ENCODER CABLE 3M,2,0,"155.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","3 Meters"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA00x0WJD.jpg,1110-3642-ND,MFECA0050WJD,Panasonic Industrial Automation Sales,ENCODER CABLE 20-BIT INCREMENTAL,3,0,"170.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Inustrial/MINAS_A4_Series.pdf,//media.digikey.com/photos/Panasonic%20Photos/DV0P4510.jpg,1110-3064-ND,DV0P4510,Panasonic Industrial Automation Sales,INTERFACE CONN CABLE,15,0,"196.45000","0","1","-","Active","Cable Assembly","MINAS A4 Series","Motor Driver","-"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0P4330.jpg,1110-3573-ND,DV0P4330,Panasonic Industrial Automation Sales,1.0KW-2.0KW CONN KIT W BRAKE,2,0,"225.00000","0","1","-","Active","Connector Kit","MINAS A4 Series","-","-"
-,//media.digikey.com/Photos/Panasonic%20Photos/MFECA0050GTD.jpg,1110-3641-ND,MFECA0050TJE,Panasonic Industrial Automation Sales,ENCODER CABLE 5M,2,0,"239.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor with Encoder","5 Meters"
https://industrial.panasonic.com/content/data/MT/PDF/catalog/en/acs/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/MFMCD0032ECT.jpg,1110-3649-ND,MFMCD0032ECT,Panasonic Industrial Automation Sales,3M 2.0KW POWER CABLE W/OUT BRAKE,4,0,"308.00000","0","1","-","Active","Cable Assembly","MINAS A5 Series","Motor","3 Meters"
https://www3.panasonic.biz/ac/e_download/motor/fa-motor/ac-servo/catalog/minas-a5-2_ctlg_e_201504.pdf,//media.digikey.com/Photos/Panasonic%20Photos/DV0PM20035.jpg,1110-3582-ND,DV0PM20035,Panasonic Industrial Automation Sales,A5 MOTOR & ENCODER CONN KIT,5,0,"320.00000","0","1","-","Active","Connector Kit","MINAS A5 Series","-","-"
