Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Isolated Power","Number of Channels","Inputs - Side 1/Side 2","Channel Type","Voltage - Isolation","Common Mode Transient Immunity (Min)","Data Rate","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-2374-ND,SI8710BC-B-IS,Silicon Labs,DGTL ISO 3.75KV GEN PURP 8SOIC,3229,0,"1.00000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","3750Vrms","35kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si8410_20_21_Rev_1.5.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-1755-5-ND,SI8421AB-D-IS,Silicon Labs,DGTL ISO 2.5KV GEN PURP 8SOIC,15004,0,"1.06000","0","1","Tube","-","Not For New Designs","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs (Typ)","1Mbps","35ns, 35ns","25ns","3.8ns, 2.8ns","2.7V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,336-4211-2-ND,SI8710AD-B-ISR,Silicon Labs,DGTL ISO 5KV 1CH GEN PURP 6DIPGW,2000,0,"1.12500","0","1000","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","5000Vrms","20kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,336-4211-1-ND,SI8710AD-B-ISR,Silicon Labs,DGTL ISO 5KV 1CH GEN PURP 6DIPGW,2779,0,"1.31000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","5000Vrms","20kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,336-4211-6-ND,SI8710AD-B-ISR,Silicon Labs,DGTL ISO 5KV 1CH GEN PURP 6DIPGW,2779,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","5000Vrms","20kV/µs","15Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si87xx.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/SI8710AD-B-IS.JPG,336-2363-ND,SI8710CD-B-IS,Silicon Labs,DGTL ISO 5KV 1CH GEN PURP 6DIPGW,1015,0,"1.16000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","1","1/0","Unidirectional","5000Vrms","20kV/µs","1Mbps","60ns, 60ns","20ns","15ns, 5ns","3V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21955-2-ND,ISO7221ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,42500,10000,"1.16235","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21955-1-ND,ISO7221ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,48183,10001,"2.62000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21955-6-ND,ISO7221ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,48183,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7420,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38564-2-ND,ISO7421DR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,25000,10000,"1.16235","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","14ns, 14ns","3.7ns","1ns, 1ns","3.15V ~ 3.45V, 4.75V ~ 5.25V","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7420,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38564-1-ND,ISO7421DR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,26469,10001,"2.62000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","14ns, 14ns","3.7ns","1ns, 1ns","3.15V ~ 3.45V, 4.75V ~ 5.25V","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7420,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38564-6-ND,ISO7421DR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,26469,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","1Mbps","14ns, 14ns","3.7ns","1ns, 1ns","3.15V ~ 3.45V, 4.75V ~ 5.25V","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21952-2-ND,ISO7220ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,17500,10000,"1.16235","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21952-1-ND,ISO7220ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,23692,10001,"2.62000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-21952-6-ND,ISO7220ADR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,23692,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","1Mbps","475ns, 475ns","14ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42102-2-ND,ISO7321CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,25000,10000,"1.24740","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42102-1-ND,ISO7321CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,26808,10001,"2.81000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42102-6-ND,ISO7321CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,26808,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42100-2-ND,ISO7320CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,5000,10000,"1.24740","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42100-1-ND,ISO7320CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,6925,10001,"2.81000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7320c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-42100-6-ND,ISO7320CDR,Texas Instruments,DGTL ISO 3KV 2CH GEN PURP 8SOIC,6925,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","3000Vrms","25kV/µs","25Mbps","57ns, 57ns","4ns","2.4ns, 2.1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/Si80xx-1kV.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/16-QSOP.jpg,336-3021-ND,SI8035AA-B-IU,Silicon Labs,DGTL ISO 1KV 3CH GEN PURP 16QSOP,1583,0,"1.28000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","3","3/0","Unidirectional","1000Vrms","35kV/µs","10Mbps","65ns, 65ns","30ns","2.5ns, 2.5ns","3.15V ~ 5.5V","-40°C ~ 125°C","Surface Mount","16-SSOP (0.154"", 3.90mm Width)","16-QSOP"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-41276-2-ND,ISO7220BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,17500,10000,"1.29870","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-41276-1-ND,ISO7220BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,19016,10001,"2.92000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-41276-6-ND,ISO7220BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,19016,10001,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","2/0","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38965-2-ND,ISO7221BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,10000,0,"1.29870","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38965-1-ND,ISO7221BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,11065,0,"2.92000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7220a,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040047-3;D;8.jpg,296-38965-6-ND,ISO7221BDR,Texas Instruments,DGTL ISO 2.5KV GEN PURP 8SOIC,11065,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","2500Vrms","25kV/µs","5Mbps","70ns, 70ns","3ns","1ns, 1ns","3V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,SI8631AB-B-IS1-ND,SI8631AB-B-IS1,Silicon Labs,DGTL ISO 2.5KV GEN PURP 16SOIC,1952,0,"1.40000","0","1","Tube","-","Active","Capacitive Coupling","General Purpose","No","3","2/1","Unidirectional","2500Vrms","35kV/µs","1Mbps","35ns, 35ns","25ns","2.5ns, 2.5ns","2.5V ~ 5.5V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso7520c,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;4040000-2;DW;16.jpg,296-27757-2-ND,ISO7521CDWR,Texas Instruments,DGTL ISO 4.243KV GEN PURP 16SOIC,42000,10000,"1.41379","0","2000","Tape & Reel (TR)","-","Active","Capacitive Coupling","General Purpose","No","2","1/1","Unidirectional","4243Vrms","25kV/µs","1Mbps","14ns, 14ns","3.7ns","1ns, 1ns","3.15V ~ 3.45V, 4.75V ~ 5.25V","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC"
