Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Number of Channels","Voltage - Isolation","Common Mode Transient Immunity (Min)","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Current - Output High, Low","Current - Peak Output","Voltage - Forward (Vf) (Typ)","Current - DC Forward (If) (Max)","Voltage - Output Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Approvals"
https://www.infineon.com/dgdl/Infineon-1EDI60N12AF-DS-v02_00-EN.pdf?fileId=db3a3043427ac3e201428e5da08f372a,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI60N12AFXUMA1CT-ND,1EDI60N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,4744,0,"2.33000","0","1","Cut Tape (CT)","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
https://www.infineon.com/dgdl/Infineon-1EDI60N12AF-DS-v02_00-EN.pdf?fileId=db3a3043427ac3e201428e5da08f372a,//media.digikey.com/Renders/Infineon%20Renders/8-SOIC.jpg,1EDI60N12AFXUMA1DKR-ND,1EDI60N12AFXUMA1,Infineon Technologies,IC IGBT DVR 1200V DSO8,4744,0,"Digi-Reel","0","1","Digi-Reel®","EiceDriver™","Active","Magnetic Coupling","1","-","-","-","-","10ns, 9ns","-","-","-","-","10V ~ 35V","-40°C ~ 150°C (TJ)","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","PG-DSO-8-51","-"
https://docs.broadcom.com/docs/AV02-0164EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1584-2-ND,HCPL-3150-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,2000,0,"1.13878","0","1000","Tape & Reel (TR)","-","Active","Optical Coupling","1","3750Vrms","15kV/µs","500ns, 500ns","300ns","100ns, 100ns","500mA, 500mA","600mA","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-0164EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1584-1-ND,HCPL-3150-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,3184,0,"3.19000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","3750Vrms","15kV/µs","500ns, 500ns","300ns","100ns, 100ns","500mA, 500mA","600mA","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-0164EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1584-6-ND,HCPL-3150-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,3184,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","3750Vrms","15kV/µs","500ns, 500ns","300ns","100ns, 100ns","500mA, 500mA","600mA","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://www.silabs.com/documents/public/data-sheets/Si8751-2.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3797-2-ND,SI8751AB-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,10000,0,"1.25431","0","2500","Tape & Reel (TR)","-","Active","Capacitive Coupling","1","2500Vrms","20kV/µs","-","-","-","-","-","-","-","-","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si8751-2.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3797-1-ND,SI8751AB-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,11976,0,"3.31000","0","1","Cut Tape (CT)","-","Active","Capacitive Coupling","1","2500Vrms","20kV/µs","-","-","-","-","-","-","-","-","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si8751-2.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3797-6-ND,SI8751AB-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,11976,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Capacitive Coupling","1","2500Vrms","20kV/µs","-","-","-","-","-","-","-","-","-40°C ~ 105°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1789-2-ND,HCPL-3120-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,12000,0,"1.27765","0","1000","Tape & Reel (TR)","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1789-1-ND,HCPL-3120-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,12280,0,"3.06000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-1789-6-ND,HCPL-3120-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,12280,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.5V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, UR"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,SI8261BAC-C-IS-ND,SI8261BAC-C-IS,Silicon Labs,DGTL ISO 3.75KV GATE DRVR 8SOIC,7413,0,"1.46000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","3750Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","500mA, 1.2A","4A","2.8V (Max)","30mA","6.5V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-2420-5-ND,SI8261BCC-C-IS,Silicon Labs,DGTL ISO 3.75KV GATE DRVR 8SOIC,2820,0,"1.46000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","3750Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","500mA, 1.2A","4A","2.8V (Max)","30mA","13.5V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,SI8261BBC-C-IS-ND,SI8261BBC-C-IS,Silicon Labs,DGTL ISO 3.75KV GATE DRVR 8SOIC,1509,0,"1.46000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","3750Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","500mA, 1.2A","4A","2.8V (Max)","30mA","9.4V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4350-2-ND,SI8231BB-D-IS1R,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,2500,0,"1.48031","0","2500","Tape & Reel (TR)","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","20ns, 20ns (Max)","250mA, 500mA","500mA","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4350-1-ND,SI8231BB-D-IS1R,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,2818,0,"4.29000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","20ns, 20ns (Max)","250mA, 500mA","500mA","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4350-6-ND,SI8231BB-D-IS1R,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,2818,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","20ns, 20ns (Max)","250mA, 500mA","500mA","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","CQC, CSA, UR, VDE"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-3006-2-ND,HCPL-J312-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,3000,0,"1.50450","0","1000","Tape & Reel (TR)","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.6V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, IEC/EN/DIN, UR"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-3006-1-ND,HCPL-J312-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,3804,0,"3.73000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.6V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, IEC/EN/DIN, UR"
https://docs.broadcom.com/docs/AV02-0161EN,//media.digikey.com/Renders/Silicon%20Labs%20Renders/8-SMD.jpg,516-3006-6-ND,HCPL-J312-500E,Broadcom Limited,OPTOISO 3.75KV GATE DRVR 8DIP GW,3804,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","3750Vrms","25kV/µs","500ns, 500ns","300ns","100ns, 100ns","2A, 2A","2.5A","1.6V","25mA","15V ~ 30V","-40°C ~ 100°C","Surface Mount","8-SMD, Gull Wing","8-DIP Gull Wing","CSA, IEC/EN/DIN, UR"
https://www.silabs.com/Support%20Documents/TechnicalDocs/Si8220-21.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3043-ND,SI8220DB-D-IS,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,6343,0,"1.57000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","2500Vrms","30kV/µs (Typ)","60ns, 40ns","-","20ns, 20ns (Max)","1.5A, 2.5A","2.5A","2.5V (Max)","30mA","14.8V ~ 24V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si827x.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3532-5-ND,SI8271DB-IS,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,3961,0,"1.71000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","2500Vrms","150kV/µs","60ns, 60ns","8ns","10.5ns, 13.3ns","1.8A, 4A","4A","-","-","9.6V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si827x.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/8-SOIC.jpg,336-3533-5-ND,SI8271GB-IS,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 8SOIC,2607,0,"1.71000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","2500Vrms","150kV/µs","60ns, 60ns","8ns","10.5ns, 13.3ns","1.8A, 4A","4A","-","-","4.2V ~ 30V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","CQC, CSA, UR, VDE"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,336-2422-5-ND,SI8261ACD-C-IS,Silicon Labs,DGTL ISO 5KV 1CH GATE DRVR 6SDIP,3199,0,"1.77000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","5000Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","400mA, 600mA","600mA","2.8V (Max)","30mA","13.5V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing","CQC, CSA, UR, VDE"
https://docs.broadcom.com/docs/AV02-2928EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/ACPL-P480-000E.jpg,516-3143-2-ND,ACPL-P343-500E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DRVR 6SO,16000,0,"1.88465","0","1000","Tape & Reel (TR)","-","Active","Optical Coupling","1","3750Vrms","35kV/µs","200ns, 200ns","70ns","43ns, 40ns","3A, 3A","4A","1.55V","25mA","15V ~ 30V","-40°C ~ 105°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SO Stretched","CSA, UR"
https://docs.broadcom.com/docs/AV02-2928EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/ACPL-P480-000E.jpg,516-3143-1-ND,ACPL-P343-500E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DRVR 6SO,16117,0,"4.67000","0","1","Cut Tape (CT)","-","Active","Optical Coupling","1","3750Vrms","35kV/µs","200ns, 200ns","70ns","43ns, 40ns","3A, 3A","4A","1.55V","25mA","15V ~ 30V","-40°C ~ 105°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SO Stretched","CSA, UR"
https://docs.broadcom.com/docs/AV02-2928EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/ACPL-P480-000E.jpg,516-3143-6-ND,ACPL-P343-500E,Broadcom Limited,OPTOISO 3.75KV 1CH GATE DRVR 6SO,16117,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Optical Coupling","1","3750Vrms","35kV/µs","200ns, 200ns","70ns","43ns, 40ns","3A, 3A","4A","1.55V","25mA","15V ~ 30V","-40°C ~ 105°C","Surface Mount","6-SOIC (0.268"", 6.80mm Width)","6-SO Stretched","CSA, UR"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4907-2-ND,SI8233BB-D-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,1250,0,"1.92102","0","1250","Tape & Reel (TR)","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","12ns, 12ns (Max)","2A, 4A","4A","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4907-1-ND,SI8233BB-D-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,1477,0,"6.41000","0","1","Cut Tape (CT)","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","12ns, 12ns (Max)","2A, 4A","4A","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_336;-16SOIC-7.5;-S;-16.jpg,336-4907-6-ND,SI8233BB-D-ISR,Silicon Labs,DGTL ISO 2.5KV GATE DRVR 16SOIC,1477,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","12ns, 12ns (Max)","2A, 4A","4A","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","CQC, CSA, UR, VDE"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,336-2418-5-ND,SI8261BCD-C-IS,Silicon Labs,DGTL ISO 5KV 1CH GATE DRVR 6SDIP,7269,0,"1.95000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","5000Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","500mA, 1.2A","4A","2.8V (Max)","30mA","13.5V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing","CQC, CSA, UR, VDE"
//media.digikey.com/pdf/Data%20Sheets/Silicon%20Laboratories%20PDFs/Si826x_Rev2015.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/336;6SDIP-GW-7.5;M;6.JPG,SI8261BAD-C-IS-ND,SI8261BAD-C-IS,Silicon Labs,DGTL ISO 5KV 1CH GATE DRVR 6SDIP,857,0,"1.95000","0","1","Tube","Automotive, AEC-Q100","Active","Capacitive Coupling","1","5000Vrms","35kV/µs","60ns, 50ns","28ns","5.5ns, 8.5ns","500mA, 1.2A","4A","2.8V (Max)","30mA","6.5V ~ 30V","-40°C ~ 125°C","Surface Mount","6-SOIC (0.295"", 7.50mm Width)","6-SDIP Gull Wing","CQC, CSA, UR, VDE"
https://www.silabs.com/documents/public/data-sheets/Si823x.pdf,//media.digikey.com/Renders/Silicon%20Labs%20Renders/14-LGA.jpg,336-5204-2-ND,SI8234BB-D-IMR,Silicon Labs,DGTL ISO 2.5KV GATE DRIVER 14LGA,7500,0,"2.05659","0","2500","Tape & Reel (TR)","Automotive, AEC-Q100","Active","Capacitive Coupling","2","2500Vrms","20kV/µs","60ns, 60ns","5.6ns","12ns, 12ns (Max)","2A, 4A","4A","-","-","9.4V ~ 24V","-40°C ~ 125°C","Surface Mount","14-VFLGA","14-LGA (5x5)","CQC, CSA, UR, VDE"
