Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Card Reader Type","Interface","Card Read/Write Type and Tracks","Card Reading Direction","Card Standard","Card Speed","Supply Voltage"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/V4KF%20Series%20Hardware%20RevD.pdf,-,V4KF-01JF-001-ND,V4KF-01JF-001,Omron Electronics Inc-EMC Div,CARD READER MAG SMCARD RS232 SQR,0,0,"Obsolete","0","1","V4KF","Obsolete","Magnetic, Smart Card (IC)","RS-232","Read Tracks 1, 2, 3, R/W Smart Card","Insertion/Ejection","ISO 1, ISO 2, ISO 3, JIS II","-","12V"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/V4KU%20Series%20Hardware%20RevA.pdf,-,V4KU-01JS-001-ND,V4KU-01JS-001,Omron Electronics Inc-EMC Div,CARD READER MAG SMCARD USB RND,0,0,"Obsolete","0","1","V4KU","Obsolete","Magnetic, Smart Card (IC)","USB","Read Tracks 1, 2, 3, R/W Smart Card","Insertion/Ejection","ISO 1, ISO 2, ISO 3, JIS II","-","12V"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/V4KF%20Series%20Hardware%20RevD.pdf,-,V4KF-01JS-002-ND,V4KF-01JS-002,Omron Electronics Inc-EMC Div,CARD READER MAG SMCARD USB RND,0,0,"Obsolete","0","1","V4KF","Obsolete","Magnetic, Smart Card (IC)","RS-232","Read Tracks 1, 2, 3, R/W Smart Card","Insertion/Ejection","ISO 1, ISO 2, ISO 3, JIS II","-","12V"
https://www.parallax.com/sites/default/files/downloads/32320-Smart-Card-Reader-v1.0.pdf,//media.digikey.com/Photos/Parallax%20Photos/32320.JPG,32320-ND,32320,Parallax Inc.,SMART CARD READER,0,0,"Obsolete","0","1","-","Obsolete","Smart Card (IC) - Motor Driven","-","Smart Card - R/W","Swipe (Both Directions)","-","-","2.7V ~ 5.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M112.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M1121S1.jpg,PCR100-ND,ZU-M1121S1,Panasonic - ATG,CARD READER SNG TRACK MAN SWIPE,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","-","Read Tracks 2","Swipe (Single Direction)","ISO 2","8 ~ 150 cm/s","4.5V ~ 5.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M1242.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M1242S1.jpg,PCR102-ND,ZU-M1242S1,Panasonic - ATG,CARD READER DBL TRACK MAN SWIPE,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","-","Read Tracks 1, 2","Swipe (Single Direction)","ISO 1, ISO 2","10 ~ 150 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MA5T5.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MA5T5.jpg,PCR107-ND,ZU-1870MA5T5,Panasonic - ATG,CARD READER FULL INSERT DBL TRK,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","-","Read Tracks 1, 2","Ejection","ISO 1, ISO 2","10 ~ 100 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M112.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M1121L1.JPG,PCR224-ND,ZU-M1121L1,Panasonic - ATG,CARD READER 1 TRACK SWIPE LL HD,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","-","Read Tracks 2","Swipe (Single Direction)","ISO 2","8 ~ 150 cm/s","4.5V ~ 5.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MA4T4.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MA4T4.JPG,PCR109-ND,ZU-1870MA4T4,Panasonic - ATG,CARD READER FULL INSERT 2 TRACK,0,0,"Obsolete","0","60","-","Obsolete","Magnetic - Swipe","-","Read Tracks 1, 2","Ejection","ISO 1, ISO 2","10 ~ 100 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Sensors%20PDFs/ZU-M1242.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M1242L4DK.jpg,PCR108-ND,ZU-M1242L4DK,Panasonic - ATG,CARD READER 2 TRACK SWIPE RS232,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Swipe","RS-232","Read Tracks 1, 2","Swipe (Single Direction)","ISO 7810, ISO 7811","10 ~ 150 cm/s","4.75V ~ 5.25V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1890M.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1890M.jpg,PCR111-ND,ZU-1890M,Panasonic - ATG,CARD READER FULL INSERT 2 TRACK,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","TTL","Read Tracks 1, 2","Ejection","ISO 7810, ISO 7811","10 ~ 150 cm/s","4.5V ~ 5.5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1870MA6T2.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1870MA6T2.jpg,PCR113-ND,ZU-1870MA6T2,Panasonic - ATG,CARD READER FULL INSERT 2 TRACK,0,0,"Obsolete","0","60","-","Obsolete","Magnetic - Push/Pull","TTL","-","Ejection","ISO 1, ISO 2, ISO 7810, ISO 7811","10 ~ 100 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-1890MR02.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-1890MR02.jpg,PCR114-ND,ZU-1890MR02,Panasonic - ATG,CARD READER FULL INSERT RS-232,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","RS-232","Read Tracks 1, 2","Ejection","ISO 1, ISO 2","10 ~ 120 cm/s","5V"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/ZU-M2121S21.pdf,//media.digikey.com/photos/Panasonic%20Photos/ZU-M2121S21.JPG,PCR115-ND,ZU-M2121S21,Panasonic - ATG,CARD READER HALF INSERT 1 TRACK,0,0,"Obsolete","0","200","-","Obsolete","Magnetic - Push/Pull","TTL","-","Insertion","ISO 2","10 ~ 120 cm/s","4.5V ~ 5.5V"
