Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Technology","Frequency","Memory Type","Writable Memory","Standards","Operating Temperature","Size / Dimension"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-806u7-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-806u7.jpg,1543-1011-ND,600560,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,41141,0,"0.58000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","16.00mm x 16.00mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-172u7-datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-172u7.jpg,1543-1002-ND,600526,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,24192,0,"0.58000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","22.00mm x 12.50mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-321r6-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_600xxx.JPG,1543-1059-ND,600600,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,18530,0,"0.58000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","ISO 18000-6, EPC","-40°C ~ 85°C","1.634"" L x 0.630"" W (41.50mm x 16.00mm)"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/uhf-smd/media-datasheets/hf%20magicstrap%20lxms33hcnk_171%20datasheet%20160121%20v1.ashx,//media.digikey.com/photos/Murata%20Photos/LXMS33HCNK-171.JPG,490-14392-2-ND,LXMS33HCNK-171,Murata Electronics North America,RFID TAG R/W 13.56MHZ ENCAP,6000,0,"0.62337","0","6000","MAGICSTRAP®","Active","Encapsulated","Passive","13.56MHz","Read/Write","384b (User)","ISO 14443","-40°C ~ 85°C","0.126"" L x 0.126"" W (3.20mm x 3.20mm)"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/uhf-smd/media-datasheets/hf%20magicstrap%20lxms33hcnk_171%20datasheet%20160121%20v1.ashx,//media.digikey.com/photos/Murata%20Photos/LXMS33HCNK-171.JPG,490-14392-1-ND,LXMS33HCNK-171,Murata Electronics North America,RFID TAG R/W 13.56MHZ ENCAP,7633,0,"1.60000","0","1","MAGICSTRAP®","Active","Encapsulated","Passive","13.56MHz","Read/Write","384b (User)","ISO 14443","-40°C ~ 85°C","0.126"" L x 0.126"" W (3.20mm x 3.20mm)"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/uhf-smd/media-datasheets/hf%20magicstrap%20lxms33hcnk_171%20datasheet%20160121%20v1.ashx,//media.digikey.com/photos/Murata%20Photos/LXMS33HCNK-171.JPG,490-14392-6-ND,LXMS33HCNK-171,Murata Electronics North America,RFID TAG R/W 13.56MHZ ENCAP,7633,0,"Digi-Reel","0","1","MAGICSTRAP®","Active","Encapsulated","Passive","13.56MHz","Read/Write","384b (User)","ISO 14443","-40°C ~ 85°C","0.126"" L x 0.126"" W (3.20mm x 3.20mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-661r6-Datasheet-v1.pdf,//media.digikey.com/photos/Avery%20Dennison/MFG_AD-661r6.JPG,1543-1051-ND,600570,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,9657,0,"0.65000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","90.00mm x 19.00mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-160u7-datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-160u7.jpg,1543-1019-ND,100286,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,9336,0,"0.67000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","60.00mm x 4.00mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-721-NFC-Datasheet-v1.pdf,//media.digikey.com/photos/Avery%20Dennison/MFG_AD-721.JPG,1543-1067-ND,700069,Avery Dennison RFID,RFID TAG R/W 13.56MHZ INLAY,13977,0,"0.77000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","ISO 14443","-40°C ~ 70°C","21.00mm Dia"
//media.digikey.com/pdf/Data%20Sheets/Avery%20Dennison%20PDFs/AD-750.pdf,-,1543-1066-ND,700073,Avery Dennison RFID,RFID TAG R/W 13.56MHZ INLAY,14112,0,"0.81000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","ISO 14443","-25°C ~ 50°C","0.709"" L x 0.315"" W (18.00mm x 8.00mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-740-NFC-Datasheet-v1.pdf,//media.digikey.com/photos/Avery%20Dennison/MFG_AD-740.JPG,1543-1055-ND,700072,Avery Dennison RFID,RFID TAG R/W 13.56MHZ INLAY,2492,0,"0.82000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","384b (User)","ISO 14443","-20°C ~ 50°C","38.00mm x 22.50mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-730x-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-730x.jpg,1543-1053-ND,700062,Avery Dennison RFID,RFID TAG 13.56MHZ INLAY,20207,0,"0.88000","0","1","-","Active","Inlay","Passive","13.56MHz","-","-","ISO 15693, ISO 18000-3","-40°C ~ 85°C","31.00mm x 14.00mm"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/uhf-smd/media-datasheets/hf%20magicstrap%20lxmsapha17_176%20datesheet%20151201%20v1_2.ashx,//media.digikey.com/Photos/Murata%20Photos/LXMSAPHA17-176.jpg,490-16280-2-ND,LXMSAPHA17-176,Murata Electronics North America,RFID TAG R/W 13.56MHZ INLAY,2500,0,"1.84484","0","2500","MAGICSTRAP®","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","ISO 14443, NFC","-40°C ~ 70°C","0.327"" L x 0.327"" W (8.30mm x 8.30mm)"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/uhf-smd/media-datasheets/hf%20magicstrap%20lxmsapha17_176%20datesheet%20151201%20v1_2.ashx,//media.digikey.com/Photos/Murata%20Photos/LXMSAPHA17-176.jpg,490-16280-1-ND,LXMSAPHA17-176,Murata Electronics North America,RFID TAG R/W 13.56MHZ INLAY,3722,0,"4.00000","0","1","MAGICSTRAP®","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","ISO 14443, NFC","-40°C ~ 70°C","0.327"" L x 0.327"" W (8.30mm x 8.30mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/WRL-14151_Web.pdf,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_WRL-14151.jpg,1568-1517-ND,WRL-14151,SparkFun Electronics,RFID TAG R/W 860-960MZ INLAY SET,360,0,"1.95000","0","1","-","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","512b (User)","EPC","-","-"
https://www.parallax.com/sites/default/files/downloads/28445-RFID-12.4mm-Round-Tag-Datasheet.pdf,//media.digikey.com/Photos/Parallax%20Photos/MFG_28445.jpg,28445-ND,28445,Parallax Inc.,RFID TAG 125KHZ COIN,41,0,"2.49000","0","1","-","Active","Coin","Passive","125kHz","-","-","-","-25°C ~ 85°C","-"
https://www.nxp.com/docs/en/data-sheet/SL3S1003_1013.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-13256-2-ND,"SL3S1013FTB0,115",NXP USA Inc.,RFID TAG R/W 840-960MHZ INLAY,5000,0,"0.15244","0","5000","-","Active","Inlay","Passive","840MHz ~ 960MHz","Read/Write","256b (EPC)","EPC","-40°C ~ 85°C","0.057"" L x 0.039"" W (1.45mm x 1.00mm)"
https://www.nxp.com/docs/en/data-sheet/SL3S1003_1013.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-13256-1-ND,"SL3S1013FTB0,115",NXP USA Inc.,RFID TAG R/W 840-960MHZ INLAY,8776,0,"0.42000","0","1","-","Active","Inlay","Passive","840MHz ~ 960MHz","Read/Write","256b (EPC)","EPC","-40°C ~ 85°C","0.057"" L x 0.039"" W (1.45mm x 1.00mm)"
https://www.nxp.com/docs/en/data-sheet/SL3S1003_1013.pdf,//media.digikey.com/renders/NXP%20Semi%20Renders/6-XSON_SOT886%20Pkg.jpg,568-13256-6-ND,"SL3S1013FTB0,115",NXP USA Inc.,RFID TAG R/W 840-960MHZ INLAY,8776,0,"Digi-Reel","0","1","-","Active","Inlay","Passive","840MHz ~ 960MHz","Read/Write","256b (EPC)","EPC","-40°C ~ 85°C","0.057"" L x 0.039"" W (1.45mm x 1.00mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-383u7-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-383u7.jpg,1543-1043-ND,600465,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,16579,0,"0.52000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","50.00mm x 30.00mm"
-,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-226iM.jpg,1543-1003-ND,600456,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,13132,0,"0.58000","0","1","-","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","256b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","95.00mm x 8.15mm"
"//media.digikey.com/pdf/Data%20Sheets/Avery%20Dennison%20PDFs/600591,%20600592,%20600593.pdf",//media.digikey.com/Photos/Avery%20Dennison/MFG_60059x.JPG,1543-1056-ND,600592,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,58288,0,"0.59000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","ISO 18000-6, EPC","-40°C ~ 85°C","3.740"" L x 0.310"" W (95.00mm x 7.88mm)"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-370u7-Datasheet-v1.pdf,//media.digikey.com/photos/Avery%20Dennison/MFG_AD-370u7.jpg,1543-1036-ND,600544,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,4290,0,"0.61000","0","1","NXP UCODE 7","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","19.00mm x 53.00mm"
http://rfid.averydennison.com/content/dam/averydennison/rfid/Global/Documents/datasheets/AD-550m5-Datasheet-v1.pdf,//media.digikey.com/Photos/Avery%20Dennison/MFG_AD-550m5.jpg,1543-1010-ND,600382,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,7574,0,"0.65000","0","1","Impinj® Monza® 5","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","128b (EPC)","EPC, ISO 18000-6","-40°C ~ 85°C","38.00mm x 76.00mm"
"//media.digikey.com/pdf/Data%20Sheets/Avery%20Dennison%20PDFs/600575,%20600576%20Datasheet.pdf",//media.digikey.com/Photos/Avery%20Dennison/MFG_60057x.JPG,1543-1060-ND,600576,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,5661,0,"0.65000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","ISO 18000-6, EPC","-40°C ~ 85°C","1.969"" L x 1.969"" W (50.00mm x 50.00mm)"
"//media.digikey.com/pdf/Data%20Sheets/Avery%20Dennison%20PDFs/600591,%20600592,%20600593.pdf",//media.digikey.com/Photos/Avery%20Dennison/MFG_60059x.JPG,1543-1057-ND,600593,Avery Dennison RFID,RFID TAG R/W 860-960MHZ INLAY,145730,0,"0.68000","0","1","Impinj® Monza® R6","Active","Inlay","Passive","860MHz ~ 960MHz","Read/Write","96b (EPC)","ISO 18000-6, EPC","-40°C ~ 85°C","3.740"" L x 0.310"" W (95.00mm x 7.88mm)"
//media.digikey.com/pdf/Data%20Sheets/MikroElektronika%20PDFs/RFiD_Tag_Web.pdf,//media.digikey.com/Photos/MikroElektronika/MIKROE-1475.jpg,1471-1125-ND,MIKROE-1475,MikroElektronika,RFID TAG R/W 13.56MHZ KEY FOB,145,0,"2.04000","0","1","RFID click™","Active","Key Fob","Passive","13.56MHz","Read/Write","-","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/359_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/359.JPG,1528-1129-ND,359,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ CARD,461,0,"2.50000","0","1","-","Active","Card","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/361_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/361.JPG,1528-1131-ND,361,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ COIN,387,0,"2.50000","0","1","-","Active","Coin","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/360_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/360.jpg,1528-1130-ND,360,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ COIN,318,0,"2.50000","0","1","-","Active","Coin","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/362_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_362.jpg,1528-1132-ND,362,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ INLAY,279,0,"2.50000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/884_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_884.jpg,1528-1166-ND,884,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ CARD,111,0,"2.50000","0","1","-","Active","Card","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2800_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2800.jpg,1528-1591-ND,2800,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ INLAY,373,0,"2.95000","0","1","-","Active","Inlay","Passive","13.56MHz","Read/Write","144B (User)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1483_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1483.jpg,1528-2155-ND,1483,Adafruit Industries LLC,RFID TAG R/W 13.56MHZ NAIL,159,0,"2.95000","0","1","-","Active","Nail","Passive","13.56MHz","Read/Write","1kB (User)","ISO 14443","-","-"
https://abracon.com/RFID-Tags-and-IC/ART915X25275YZ25-IC.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ART915X25275YZ25-IC.jpg,535-13561-ND,ART915X25275YZ25-IC,Abracon LLC,RFID TAG R/W 902-928MHZ ENCAP,120,0,"6.46000","0","1","-","Active","Encapsulated","Passive","902MHz ~ 928MHz","Read/Write","512b (User)","ISO 18000-6, EPC","-30°C ~ 85°C","25.00mm x 25.00mm x 2.75mm"
https://abracon.com/RFID-Tags-and-IC/ART923X1015YZ10-IC.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ART923X1015YZ10-IC.jpg,535-13566-ND,ART923X1015YZ10-IC,Abracon LLC,RFID TAG R/W 902-928MHZ ENCAP,343,0,"6.61000","0","1","-","Active","Encapsulated","Passive","902MHz ~ 928MHz","Read/Write","512b (User)","ISO 18000-6, EPC","-30°C ~ 85°C","-"
https://abracon.com/RFID-Tags-and-IC/ART915X130930TX13-IC.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ART915X130930TX13-IC.jpg,535-13565-ND,ART915X130930TX13-IC,Abracon LLC,RFID TAG R/W 902-928MHZ ENCAP,247,0,"6.67000","0","1","-","Active","Encapsulated","Passive","902MHz ~ 928MHz","Read/Write","512b (User)","ISO 18000-6, EPC","-30°C ~ 85°C","-"
https://abracon.com/RFID-Tags-and-IC/ART915X100202TO-IC_datasheet.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ART915X100202TO-IC.jpg,535-13600-ND,ART915X100202TO-IC,Abracon LLC,RFID TAG R/W 902-928MHZ ENCAP,369,0,"7.40000","0","1","-","Active","Encapsulated","Passive","866MHz ~ 868MHz, 902MHz ~ 928MHz","Read/Write","512b (User)","EPC, ISO 18000-6","-40°C ~ 85°C","0.394"" L x 0.098"" W (10.00mm x 2.50mm)"
https://abracon.com/RFID-Tags-and-IC/ART915X252503MA-IC_datasheet.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ART915X252503MA-IC.jpg,535-13603-ND,ART915X252503MA-IC,Abracon LLC,RFID TAG R/W 902-928MHZ ENCAP,206,0,"11.26000","0","1","-","Active","Encapsulated","Passive","866MHz ~ 868MHz, 902MHz ~ 928MHz","Read/Write","512b (User)","EPC, ISO 18000-6","-40°C ~ 85°C","0.984"" L x 0.984"" W (25.00mm x 25.00mm)"
https://www.nxp.com/docs/en/data-sheet/HTSICH56_48_SDS.pdf,"//media.digikey.com/Photos/NXP%20Semi%20Photos/HTSH5601ETK,118.JPG",568-8621-2-ND,"HTSH5601ETK,118",NXP USA Inc.,RFID TAG R/W 100-150KHZ ENCAP,6000,0,"0.21976","0","3000","-","Active","Encapsulated","Passive","100kHz ~ 150kHz","Read/Write","256b (User)","ISO 11784, ISO 11785","-","3.00mm x 2.00mm x 0.85mm"
https://www.nxp.com/docs/en/data-sheet/HTSICH56_48_SDS.pdf,"//media.digikey.com/Photos/NXP%20Semi%20Photos/HTSH5601ETK,118.JPG",568-8621-1-ND,"HTSH5601ETK,118",NXP USA Inc.,RFID TAG R/W 100-150KHZ ENCAP,6194,0,"0.58000","0","1","-","Active","Encapsulated","Passive","100kHz ~ 150kHz","Read/Write","256b (User)","ISO 11784, ISO 11785","-","3.00mm x 2.00mm x 0.85mm"
