Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Inductance","Tolerance","Q @ Freq","Mounting Type","Package / Case","Size / Dimension","Height"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/mc120.pdf,//media.digikey.com/Photos/Toko%20Photos/E526HNA-100314.jpg,TK2714-ND,E526HNA-100314,Toko America Inc.,INDUCTOR ADJUST 130NH THRU HOLE,238,0,"0.30000","0","1","Bulk","MC120","Obsolete","130nH","±2%","110 @ 100MHz","Through Hole","Radial","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.512"" (13.00mm)"
-,//media.digikey.com/Photos/Toko%20Photos/E540SN-08001.JPG,E540SN-08001-ND,E540SN-08001,Toko America Inc.,INDUCTOR ADJUSTABLE THRU HOLE,264,0,"0.71000","0","1","Bulk","MC134","Obsolete","-","-","-","Through Hole","Radial","0.287"" L x 0.287"" W (7.30mm x 7.30mm)","0.512"" (13.00mm)"
-,//media.digikey.com/Photos/Toko%20Photos/E540SNA-14002.JPG,TK3005-ND,E540SNA-14002,Toko America Inc.,INDUCTOR ADJUST 383NH THRU HOLE,56,0,"0.74000","0","1","Bulk","MC134","Obsolete","383nH","-","55 @ 50MHz","Through Hole","Radial","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.287"" (7.30mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/mc120.pdf,//media.digikey.com/Photos/Toko%20Photos/E526HNA-100300.jpg,TK2707-ND,E526HNA-100300,Toko America Inc.,INDUCTOR ADJUST 240NH THRU HOLE,867,0,"0.86000","0","1","Bulk","MC120","Obsolete","240nH","±3%","80 @ 50MHz","Through Hole","Radial","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.512"" (13.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5CCD_Series.pdf,//media.digikey.com/Photos/Toko%20Photos/614AN-9820Z=P3.jpg,TKS2265CT-ND,614AN-9820Z=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 82UH SMD,109,0,"0.98000","0","1","Cut Tape (CT)","5CCD","Obsolete","82µH","±5%","30 @ 2.52MHz","Surface Mount","Nonstandard","0.244"" L x 0.240"" W (6.20mm x 6.10mm)","0.217"" (5.50mm)"
-,//media.digikey.com/Photos/Toko%20Photos/%23292KNAS-T1028Z.jpg,#292KNAS-T1028Z-ND,#292KNAS-T1028Z,Toko America Inc.,INDUCTOR ADJUST 100NH THRU HOLE,184,0,"1.06000","0","1","Bulk","7KMM","Discontinued at Digi-Key","100nH","±6%","35 @ 50MHz","Through Hole","Radial","0.307"" L x 0.307"" W (7.80mm x 7.80mm)","0.512"" (13.00mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/variablecoils/m_5cceg.ashx,//media.digikey.com/photos/Murata%20Photos/%23A1313AN-0001GGH=P3.JPG,490-14346-2-ND,#A1313AN-0001GGH=P3,Murata Electronics North America,VARIABLE INDUCTORS 11.4PF Q= 72,0,0,"0.84864","0","750","Tape & Reel (TR)","-","Active","50nH","±3%","72 @ 100MHz","Surface Mount","Nonstandard","0.220"" L x 0.220"" W (5.60mm x 5.60mm)","0.224"" (5.70mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/variablecoils/m_5cceg.ashx,//media.digikey.com/photos/Murata%20Photos/%23A1313AN-0001GGH=P3.JPG,490-14346-1-ND,#A1313AN-0001GGH=P3,Murata Electronics North America,VARIABLE INDUCTORS 11.4PF Q= 72,315,0,"1.87000","0","1","Cut Tape (CT)","-","Active","50nH","±3%","72 @ 100MHz","Surface Mount","Nonstandard","0.220"" L x 0.220"" W (5.60mm x 5.60mm)","0.224"" (5.70mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/variablecoils/m_5cceg.ashx,//media.digikey.com/photos/Murata%20Photos/%23A1313AN-0001GGH=P3.JPG,490-14346-6-ND,#A1313AN-0001GGH=P3,Murata Electronics North America,VARIABLE INDUCTORS 11.4PF Q= 72,315,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","50nH","±3%","72 @ 100MHz","Surface Mount","Nonstandard","0.220"" L x 0.220"" W (5.60mm x 5.60mm)","0.224"" (5.70mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/variable/fsdva_reference.ashx,-,490-16640-2-ND,N1342DEA-0008BQE=P3,Murata Electronics North America,ADJUSTABLE INDUCTOR 2.5MH SMD,0,0,"0.86800","0","1000","Tape & Reel (TR)","FSDVA","Active","2.5mH","±5%","25 @ 252kHz","Surface Mount","Nonstandard","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.217"" (5.50mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/variable/fsdva_reference.ashx,-,490-16640-1-ND,N1342DEA-0008BQE=P3,Murata Electronics North America,ADJUSTABLE INDUCTOR 2.5MH SMD,231,0,"2.09000","0","1","Cut Tape (CT)","FSDVA","Active","2.5mH","±5%","25 @ 252kHz","Surface Mount","Nonstandard","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.217"" (5.50mm)"
https://www.murata.com/~/media/webrenewal/products/inductor/variable/fsdva_reference.ashx,-,490-16640-6-ND,N1342DEA-0008BQE=P3,Murata Electronics North America,ADJUSTABLE INDUCTOR 2.5MH SMD,231,0,"Digi-Reel","0","1","Digi-Reel®","FSDVA","Active","2.5mH","±5%","25 @ 252kHz","Surface Mount","Nonstandard","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.217"" (5.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC02E030TRSM-ND,VTC02E030TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 2 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC03E048TRSM-ND,VTC03E048TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 3 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC04E065TRSM-ND,VTC04E065TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 4 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC05E088TRSM-ND,VTC05E088TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 5 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC06E110TRSM-ND,VTC06E110TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 6 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRSM_RevA.pdf,-,VTC07E130TRSM-ND,VTC07E130TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 7 TU",0,0,"4.30100","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTC09E160TRSMA.pdf,-,VTC09E160TRSM-ND,VTC09E160TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 9 TU",0,0,"4.43700","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC02E030TVSM-ND,VTC02E030TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 2 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC03E048TVSM-ND,VTC03E048TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 3 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC04E065TVSM-ND,VTC04E065TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 4 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC05E088TVSM-ND,VTC05E088TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 5 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC06E110TVSM-ND,VTC06E110TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 6 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVSM_RevA.pdf,-,VTC07E130TVSM-ND,VTC07E130TVSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 7 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC02E030TVPC-ND,VTC02E030TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 2 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC03E048TVPC-ND,VTC03E048TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 3 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC04E065TVPC-ND,VTC04E065TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 4 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC05E088TVPC-ND,VTC05E088TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 5 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC06E110TVPC-ND,VTC06E110TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 6 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTCxxEyyyTRVPC_RevA.pdf,-,VTC07E130TVPC-ND,VTC07E130TVPC,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 7 TU",0,0,"4.52200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTC13E250TRSM.pdf,-,VTC13E250TRSM-ND,VTC13E250TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 13 T",0,0,"4.55600","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Voltronics/VTC19E375TRSM.pdf,-,VTC19E375TRSM-ND,VTC19E375TRSM,Knowles Voltronics,"VARIABLE INDUCTOR, NON-MAG, 19 T",0,0,"4.69200","0","200","-","-","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/7P%20(Variable%20Coils).pdf,//media.digikey.com/photos/Toko%20Photos/TOKO%20AMERICA%20INC-%20SERIES-%20A7BRS-T.jpg,TK2417-ND,A7BRS-T1040Z,Toko America Inc.,INDUCTOR ADJUST 100UH THRU HOLE,0,0,"Obsolete","0","1000","Bulk","7P","Obsolete","100µH","±10%","80 @ 796kHz","Through Hole","Radial, Can","0.295"" L x 0.295"" W (7.50mm x 7.50mm)","0.472"" (12.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/mc120.pdf,//media.digikey.com/Photos/Toko%20Photos/E526HN-100302.jpg,TK2715-ND,E526HN-100302,Toko America Inc.,INDUCTOR ADJUST 40NH THRU HOLE,0,0,"Obsolete","0","1000","Bulk","MC120","Obsolete","40nH","±3%","120 @ 100MHz","Through Hole","Radial","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","0.512"" (13.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5K_5KM.pdf,//media.digikey.com/Photos/Toko%20Photos/294SN-T1011Z.jpg,TK5004-ND,294SN-T1011Z,Toko America Inc.,INDUCTOR ADJUST 220NH THRU HOLE,0,0,"Obsolete","0","1","Bulk","5K","Obsolete","220nH","±6%","45 @ 45MHz","Through Hole","Radial, Horizontal, 4 Leads","0.232"" L x 0.232"" W (5.90mm x 5.90mm)","0.244"" (6.20mm)"
"//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/5P,5PA%20Variable%20Coils%20T10zzZ.pdf",//media.digikey.com/Photos/Toko%20Photos/5PNR-T1018Z.jpg,TK5123-ND,5PNR-T1018Z,Toko America Inc.,INDUCTOR ADJUST 390UH THRU HOLE,0,0,"Obsolete","0","1000","Bulk","5P","Obsolete","390µH","±5%","40 @ 796kHz","Through Hole","Radial, Horizontal, 4 Leads","0.236"" L x 0.236"" W (6.00mm x 6.00mm)","0.244"" (6.20mm)"
-,//media.digikey.com/Photos/Toko%20Photos/E526HNSA-100059.jpg,TK2729-ND,E526HNSA-100059,Toko America Inc.,INDUCTOR ADJUST 375NH THRU HOLE,0,0,"Obsolete","0","1000","Bulk","MC120","Obsolete","375nH","-","-","Through Hole","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4903JW-ND,4903,Bourns Inc.,INDUCTOR ADJUST 103NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","103nH","-","133 @ 75MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/MC152.pdf,//media.digikey.com/Photos/Toko%20Photos/E558CN-100020=P3.jpg,TKS2700TR-ND,E558CN-100020=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 32NH SMD,0,0,"Obsolete","0","1500","Tape & Reel (TR)","MC152","Obsolete","32nH","±2%","90 @ 100MHz","Surface Mount","Nonstandard","0.276"" L x 0.217"" W (7.00mm x 5.50mm)","0.205"" (5.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Toko%20PDFs/MC152.pdf,//media.digikey.com/Photos/Toko%20Photos/E558CN-100020=P3.jpg,TKS2700CT-ND,E558CN-100020=P3,Toko America Inc.,INDUCTOR ADJUSTABLE 32NH SMD,0,0,"Obsolete","0","1","Cut Tape (CT)","MC152","Obsolete","32nH","±2%","90 @ 100MHz","Surface Mount","Nonstandard","0.276"" L x 0.217"" W (7.00mm x 5.50mm)","0.205"" (5.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/9050%20Series.pdf,-,9062-ND,9062,Bourns Inc.,INDUCTOR ADJUST 15MH THRU HOLE,0,0,"Obsolete","0","100","Bulk","9050","Obsolete","15mH","-","40 @ 79kHz","Through Hole","Radial","0.539"" L x 0.539"" W (13.69mm x 13.69mm)","0.655"" (16.64mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4901JW-ND,4901,Bourns Inc.,INDUCTOR ADJUST 41NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","41nH","-","136 @ 80MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4902JW-ND,4902,Bourns Inc.,INDUCTOR ADJUST 70NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","70nH","-","139 @ 75MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4904JW-ND,4904,Bourns Inc.,INDUCTOR ADJUST 148NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","148nH","-","162 @ 50MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4906JW-ND,4906,Bourns Inc.,INDUCTOR ADJUST 238NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","238nH","-","122 @ 45MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4907JW-ND,4907,Bourns Inc.,INDUCTOR ADJUST 286NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","286nH","-","105 @ 45MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4908JW-ND,4908,Bourns Inc.,INDUCTOR ADJUST 339NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","339nH","-","89 @ 45MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4905JW-ND,4905,Bourns Inc.,INDUCTOR ADJUST 193NH THRU HOLE,0,0,"Obsolete","0","1500","Bulk","4900","Obsolete","193nH","-","142 @ 45MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
//media.digikey.com/pdf/Data%20Sheets/JW%20Miller%20PDFs/4900%20Series.pdf,-,4901-S-ND,4901-S,Bourns Inc.,INDUCTOR ADJUST 37NH THRU HOLE,0,0,"Obsolete","0","300","Bulk","4900","Obsolete","37nH","-","85 @ 80MHz","Through Hole","Radial","0.400"" L x 0.400"" W (10.16mm x 10.16mm)","0.562"" (14.27mm)"
