Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Topology","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output","Current - Output (Max)","Power (Watts)","Dimming","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension"
https://www.xppower.com/Portals/0/pdfs/SF_LDU08-48.pdf,//media.digikey.com/Photos/XP%20Power/MFG_LDU48.jpg,1470-2166-5-ND,LDU4860S350,XP Power,LED SUPPLY CC BUCK 2-57V 350MA,156,0,"19.00000","0","1","LDU48","Active","Constant Current","Buck","1","7V","60V","2 ~ 57V","350mA","20W","Analog, PWM","Remote On/Off, SCP","-40°C ~ 85°C","97%","Through Hole","23-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.49"" H (31.8mm x 20.3mm x 12.5mm)"
http://www.linear.com/docs/29820,//media.digikey.com/Renders/Linear%20Tech%20Renders/56-LGA.jpg,LTM8042EV-1#PBF-ND,LTM8042EV-1#PBF,Linear Technology/Analog Devices,LED SUPP CC BST BUK 2-32V 350MA,170,170,"16.97000","0","1","µModule®","Active","Constant Current","Boost, Buck, Buck-Boost","1","3V","30V","2 ~ 32V","350mA","11W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 125°C","-","Surface Mount","77-BLGA","0.59"" L x 0.35"" W x 0.11"" H (15.0mm x 9.0mm x 2.8mm)"
http://www.luxdrive.com/content/3021-BuckPuck.pdf,//media.digikey.com/Photos/LEDdynamics/BuckPuck%203021.jpg,788-1097-ND,3021-D-I-500,LEDdynamics Inc.,LED SUPP CC BUCK 32V 500MA 7SIP,107,0,"16.99000","0","1","BuckPuck™ 3021","Active","Constant Current","Buck","1","7V","32V","32V (Max)","500mA","16W","Analog","Remote On/Off, SCP","-40°C ~ 80°C","95%","Through Hole","7-SIP Module, 6 Leads","0.83"" L x 0.83"" W x 0.43"" H (21.0mm x 21.0mm x 11.0mm)"
http://www.linear.com/docs/29820,//media.digikey.com/Renders/Linear%20Tech%20Renders/56-LGA.jpg,LTM8042IV-1#PBF-ND,LTM8042IV-1#PBF,Linear Technology/Analog Devices,LED SUPP CC BST BUK 2-32V 350MA,115,2380,"18.16000","0","1","µModule®","Active","Constant Current","Boost, Buck, Buck-Boost","1","3V","30V","2 ~ 32V","350mA","11W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 125°C","-","Surface Mount","77-BLGA","0.59"" L x 0.35"" W x 0.11"" H (15.0mm x 9.0mm x 2.8mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1650-2-ND,RCD-24-0.35/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 350MA,400,0,"9.30000","0","400","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","350mA","12W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1650-1-ND,RCD-24-0.35/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 350MA,770,14,"12.77000","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","350mA","12W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1650-6-ND,RCD-24-0.35/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 350MA,770,14,"Digi-Reel","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","350mA","12W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1649-2-ND,RCD-24-0.70/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,400,0,"10.23000","0","400","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 75°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1649-1-ND,RCD-24-0.70/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,400,0,"14.05000","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 75°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1649-6-ND,RCD-24-0.70/PL/A-R,Recom Power,LED SUPPLY CC BUCK 2-35V 700MA,400,0,"Digi-Reel","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","700mA","25W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 75°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.recom-power.com/pdf/Lightline/RCD-24PL.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RCD-24PL.jpg,945-1813-5-ND,RCD-24-0.50/PL/B,Recom Power,LED SUPPLY CC BUCK 2-35V 500MA,103,0,"13.16000","0","1","LIGHTLINE RCD-24-PL","Active","Constant Current","Buck","1","4.5V","36V","2 ~ 35V","500mA","18W","Analog, PWM","Remote On/Off, OTP, SCP","-40°C ~ 80°C","96%","Surface Mount","6-SMD","1.22"" L x 0.45"" W x 0.26"" H (31.0mm x 11.4mm x 6.6mm)"
https://www.meanwell.com/Upload/PDF/LDD-L/LDD-L-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxL.jpg,1866-3105-ND,LDD-300L,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-32V 300MA,485,0,"4.37000","0","1","LDD-L","Active","Constant Current","Buck","1","9V","36V","2 ~ 32V","300mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","95%","Through Hole","6-DIP Module, 5 Leads","0.89"" L x 0.39"" W x 0.35"" H (22.6mm x 9.9mm x 8.9mm)"
https://www.meanwell.com/Upload/PDF/LDD-L/LDD-L-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxL.jpg,1866-3113-ND,LDD-500L,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-32V 500MA,470,0,"4.37000","0","1","LDD-L","Active","Constant Current","Buck","1","9V","36V","2 ~ 32V","500mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","95%","Through Hole","6-DIP Module, 5 Leads","0.89"" L x 0.39"" W x 0.35"" H (22.6mm x 9.9mm x 8.9mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxH.jpg,1866-3111-ND,LDD-500H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-52V 500MA,951,0,"6.46000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","56V","2 ~ 52V","500mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxH.jpg,1866-3103-ND,LDD-300H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-52V 300MA,782,0,"6.46000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","56V","2 ~ 52V","300mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
https://www.meanwell.com/Upload/PDF/LDD-H/LDD-H-SPEC.PDF,//media.digikey.com/Photos/Mean-Well-USA-Inc/MFG_LDD-xxxH.jpg,1866-3115-ND,LDD-600H,MEAN WELL USA Inc.,LED DRIVER CC BUCK 2-52V 600MA,749,0,"6.46000","0","1","LDD-H","Active","Constant Current","Buck","1","9V","56V","2 ~ 52V","600mA","-","PWM","Remote On/Off, OTP, SCP","-40°C ~ 85°C","97%","Through Hole","24-DIP Module, 9 Leads","1.25"" L x 0.80"" W x 0.48"" H (31.8mm x 20.3mm x 12.2mm)"
