Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shell Size - Insert","Features","Color","Material","Large Diameter Supplied","Large Diameter Recovered","Small Diameter Supplied","Small Diameter Recovered","Large Recovered Length","Small Recovered Length","Total Length Supplied","Total Length Recovered"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PD-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/PD-CAP-1%5E4-0.JPG,PDC014K-ND,PD-CAP-1/4-0,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 1/4"",27675,0,"0.19000","0","1","PD","Active","Cap","-","Abrasion Resistant, Encapsulant Lined, Flex Resistant, Moisture Resistant, Splash Resistant, Vibration Resistant","Black","Polyolefin (PO), Semi-Rigid","0.250"" (6.35mm)","0.080"" (2.03mm)","-","-","-","-","1.118"" (28.40mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.1-C1-0-35MM.JPG,ESC35K-ND,ES-CAP-NO.1-C1-0-35MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 5.7MM,11408,0,"0.19000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.225"" (5.72mm)","0.050"" (1.27mm)","-","-","-","-","1.380"" (35.05mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.2-B9-0-30MM.JPG,ESB30K-ND,ES-CAP-NO.2-B9-0-30MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 7.4MM,76618,0,"0.21000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.293"" (7.44mm)","0.065"" (1.65mm)","-","-","-","-","1.180"" (29.97mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PD-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/PD-CAP-3%5E8-0.jpg,PDC038K-ND,PD-CAP-3/8-0,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 3/8"",11731,0,"0.34000","0","1","PD","Active","Cap","-","Abrasion Resistant, Encapsulant Lined, Flex Resistant, Moisture Resistant, Splash Resistant, Vibration Resistant","Black","Polyolefin (PO), Semi-Rigid","0.375"" (9.53mm)","0.090"" (2.29mm)","-","-","-","-","1.252"" (31.80mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Raychem%20Photos/ES-CAP-NO.3-B8-0-40MM.JPG,ESB40K-ND,ES-CAP-NO.3-B8-0-40MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 10.85MM,28259,0,"0.43000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.427"" (10.85mm)","0.095"" (2.41mm)","-","-","-","-","1.575"" (40.01mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TC-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/TC-CAPS-White.jpg,TC-CAPS-4001-9-ND,TC-CAPS-4001-9,TE Connectivity Raychem Cable Protection,HEATSHRINK CAP WHITE 1.6MM,7029,0,"0.47000","0","1","TC","Active","Cap","-","Abrasion Resistant, Flame Retardant, Flex Resistant, Vibration Resistant","White","Polyolefin (PO), Semi-Rigid","0.063"" (1.60mm)","0.030"" (0.76mm)","-","-","-","-","0.752"" (19.10mm)","0.400"" (10.16mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.3-B8-0-50MM.JPG,ESB50K-ND,ES-CAP-NO.3-B8-0-50MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 10.85MM,1717,0,"0.52000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.427"" (10.85mm)","0.095"" (2.41mm)","-","-","-","-","1.970"" (50.04mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TC-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/TC-CAPS-4003-2.JPG,TC-CAPS-4003-2-ND,TC-CAPS-4003-2,TE Connectivity Raychem Cable Protection,HEATSHRINK CAP RED 3.2MM,2676,0,"0.58000","0","1","TC","Active","Cap","-","Abrasion Resistant, Flame Retardant, Flex Resistant, Vibration Resistant","Red","Polyolefin (PO), Semi-Rigid","0.125"" (3.18mm)","0.050"" (1.27mm)","-","-","-","-","1.000"" (25.40mm)","0.550"" (13.97mm)"
http://multimedia.3m.com/mws/media/23079O/heavy-duty-ske-end-caps.pdf,//media.digikey.com/Photos/3M%20Photos/SKE-15%5E40.JPG,3M155882-ND,SKE-15/40,3M,HEATSHRINK CAP BLACK 0.59-1.26"",124,0,"7.23000","0","1","SKE","Active","Cap","-","Adhesive Coating, Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","1.571"" (39.90mm)","0.591"" (15.00mm)","-","-","-","-","-","3.539"" (89.89mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=204W511&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D83327-000.JPG,A104854-ND,204W511-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK,188,0,"9.66000","0","1","Thermofit 204W5","Active","Boot","11","-","Black","Elastomer, Semi-Rigid","0.941"" (23.90mm)","0.362"" (9.19mm)","0.630"" (16.00mm)","0.110"" (2.79mm)","0.830"" (21.08mm)","0.394"" (10.01mm)","-","1.496"" (38.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/202K111_Dwg.pdf,//media.digikey.com/Photos/TE%20Connectivity/396040-000.JPG,A104743-ND,202K111-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK,179,0,"10.98000","0","1","Thermofit 202K1","Active","Boot","11","Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","0.670"" (17.02mm)","0.272"" (6.91mm)","0.670"" (17.02mm)","0.118"" (3.00mm)","0.941"" (23.90mm)","0.425"" (10.80mm)","-","1.540"" (39.12mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=223W601&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/223W601-25-0.JPG,A101515-ND,223W601-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ1 BLACK,570,0,"11.46000","0","1","Thermofit 223W6","Active","Boot - 90°","1","Abrasion Resistant, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","0.394"" (10.01mm)","0.250"" (6.35mm)","0.236"" (5.99mm)","0.080"" (2.03mm)","0.453"" (11.51mm)","0.236"" (5.99mm)","-","0.492"" (12.50mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806786-000.JPG,A125884-ND,202A111-3/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK,159,0,"12.20000","0","1","Thermofit 202A1","Active","Boot","11","Adhesive Coating, Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","0.650"" (16.51mm)","0.311"" (7.90mm)","0.650"" (16.51mm)","0.150"" (3.81mm)","0.559"" (14.20mm)","-","-","1.000"" (25.40mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K121-25-0.JPG,A101246-ND,202K121-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK W/LIP,208,0,"16.36000","0","1","Thermofit 202K1","Active","Boot","21","Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","0.941"" (23.90mm)","0.409"" (10.39mm)","0.941"" (23.90mm)","0.220"" (5.59mm)","0.830"" (21.08mm)","0.512"" (13.00mm)","-","1.496"" (38.00mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=301A011thru048&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/823277-000.JPG,301A011-4/42-0-ND,301A011-4/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 T SZ11,555,0,"18.35000","0","1","Thermofit 301A0","Active","Boot, Transition - Breakout, 2:1 (T)","11","Adhesive Coating, Flame Retardant, Fluid Resistant, Heat Resistant, Strain Resistant","Black","Polyolefin (PO), Flexible, Irradiated","0.260"" (6.60mm)","0.142"" (3.61mm)","0.260"" (6.60mm)","0.142"" (3.61mm)","0.594"" (15.09mm)","0.579"" (14.71mm)","-","1.169"" (29.69mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806698-000.JPG,A125888-ND,202A142-25/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ42 BLACK,108,0,"18.98000","0","1","Thermofit 202A1","Active","Boot","42","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","1.220"" (30.99mm)","0.701"" (17.81mm)","1.220"" (30.99mm)","0.291"" (7.39mm)","1.402"" (35.61mm)","0.870"" (22.10mm)","-","2.630"" (66.80mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/823748-000.JPG,A132259-ND,382A012-4/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,182,0,"19.64000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","-","Black","Polyolefin (PO), Flexible","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/202K142-25_225-0.JPG,A101249-ND,202K142-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ42 BLACK W/LIP,106,0,"20.96000","0","1","Thermofit 202K1","Active","Boot","42","Adhesive Coating, Fluid Resistant, Lip","Black","Elastomer, Semi-Rigid","1.220"" (30.99mm)","0.710"" (18.03mm)","1.220"" (30.99mm)","0.280"" (7.11mm)","1.380"" (35.05mm)","0.984"" (24.99mm)","-","2.640"" (67.06mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202K1XX-100&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/631516-000.jpg,202K121-100/180-0-ND,202K121-100/180-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,169,0,"20.97000","0","1","Thermofit 202K1","Active","Boot","21","Adhesive Coating, Lip","Black","Polyolefin (PO), Semi-Flexible, Halogen Free","0.941"" (23.90mm)","0.409"" (10.39mm)","0.551"" (14.00mm)","0.220"" (5.59mm)","0.830"" (21.08mm)","0.512"" (13.00mm)","-","1.496"" (38.00mm)"
http://multimedia.3m.com/mws/media/23069O/heat-shrink-heavy-duty-breakout-4-way-outlet.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HDBB-4%20SERIES.jpg,3M155942-ND,HDBB-405-1-250,3M,HEATSHRINK BOOT BREAKOUT 4:1 BLK,241,0,"21.43000","0","1","HDBB","Active","Boot, Transition - Breakout, 4:1","-","Adhesive Coating, Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","0.900"" (22.86mm)","0.430"" (10.92mm)","0.280"" (7.11mm)","0.110"" (2.79mm)","-","0.750"" (19.05mm)","-","2.750"" (69.85mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=222D921thru963&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/806806-000.JPG,222D932-25-0-ND,222D932-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT R/A SZ32 BLACK,157,0,"24.55000","0","1","Thermofit 222D9","Active","Boot - 90°","32","Abrasion Resistant, Chemical Resistant, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","1.030"" (26.16mm)","0.752"" (19.10mm)","0.300"" (7.62mm)","0.102"" (2.59mm)","0.710"" (18.03mm)","1.150"" (29.21mm)","-","2.650"" (67.31mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A012-3%5E42-0.JPG,A101262-ND,382A012-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,435,0,"24.67000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","-","Black","Polyolefin (PO), Semi-Rigid","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
http://multimedia.3m.com/mws/media/23069O/heat-shrink-heavy-duty-breakout-4-way-outlet.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_HDBB-4%20SERIES.jpg,3M156582-ND,HDBB-410-1-250,3M,HEATSHRINK BOOT BREAKOUT 4:1 BLK,140,0,"26.01000","0","1","HDBB","Active","Boot, Transition - Breakout, 4:1","-","Adhesive Coating, Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","1.250"" (31.75mm)","0.800"" (20.32mm)","0.500"" (12.70mm)","0.190"" (4.83mm)","-","1.000"" (25.40mm)","-","3.300"" (83.82mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A023-342-0.JPG,A125954-ND,382A023-100-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ23,147,0,"28.58000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","23","-","Black","Polyolefin (PO), Semi-Flexible","1.060"" (26.92mm)","0.488"" (12.40mm)","0.520"" (13.21mm)","0.240"" (6.10mm)","1.500"" (38.10mm)","1.700"" (43.18mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=381A301thru304&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/381A3-1.JPG,381A302-71/42-0-ND,381A302-71/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT BRKOUT 2:1 Y SZ2,163,0,"40.72000","0","1","Thermofit 381A3","Active","Boot, Transition - Breakout, 2:1 (Y)","2","Adhesive Coating","Black","Polyolefin (PO), Flexible","1.350"" (34.29mm)","0.449"" (11.40mm)","0.902"" (22.91mm)","0.449"" (11.40mm)","2.480"" (62.99mm)","2.480"" (62.99mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.3-B8-X-50MM.JPG,ESB50C-ND,ES-CAP-NO.3-B8-X-50MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP CLEAR 10.85MM,1714,0,"0.52000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Fluid Resistant, Moisture Resistant, Strain Resistant","Clear","Polyolefin (PO), Semi-Rigid","0.427"" (10.85mm)","0.095"" (2.41mm)","-","-","-","-","1.970"" (50.04mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TC-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/TC-CAPS-4005-8.JPG,TC-CAPS-4005-8-ND,TC-CAPS-4005-8,TE Connectivity Raychem Cable Protection,HEATSHRINK CAP GRAY 6.4MM,1179,0,"0.91000","0","1","TC","Active","Cap","-","Abrasion Resistant, Flame Retardant, Flex Resistant, Vibration Resistant","Gray","Polyolefin (PO), Semi-Rigid","0.250"" (6.35mm)","0.100"" (2.54mm)","-","-","-","-","1.125"" (28.58mm)","0.550"" (13.97mm)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/CAP21?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/CAP21-BK078.jpg,CAP21BK078-ND,CAP21 BK078,Alpha Wire,HEATSHRINK CAP 2:1 SR-PO,304,0,"3.83000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://multimedia.3m.com/mws/media/23079O/heavy-duty-ske-end-caps.pdf,//media.digikey.com/Photos/3M%20Photos/SKE-4%5E10.JPG,3M15552-ND,SKE-4/10,3M,HEATSHRINK CAP BLACK 0.16-0.31"",601,0,"4.18000","0","1","SKE","Active","Cap","-","Adhesive Coating, Flame Retardant","Black","Polyolefin (PO), Semi-Rigid","0.390"" (9.91mm)","0.161"" (4.09mm)","-","-","-","-","-","1.319"" (33.50mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=204W221&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/204W221-25-0.JPG,A101513-ND,204W221-25-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,404,0,"7.58000","0","1","Thermofit 204W2","Active","Boot","21","Abrasion Resistant, Chemical Resistant, Fluid Resistant, Heat Resistant, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","0.433"" (11.00mm)","0.366"" (9.30mm)","0.433"" (11.00mm)","0.083"" (2.11mm)","0.256"" (6.50mm)","0.260"" (6.60mm)","-","0.748"" (19.00mm)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/CAP23?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/CAP23-BK078.jpg,CAP23BK078-ND,CAP23 BK078,Alpha Wire,HEATSHRINK CAP 2:1 SR-PO,115,3,"8.08000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=204W221&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/C65070-000.JPG,A104847-ND,204W221-25-G03-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,232,0,"8.67000","0","1","Thermofit 204W2","Active","Boot","21","Abrasion Resistant, Chemical Resistant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Elastomer, Semi-Rigid, Irradiated","-","-","-","-","-","-","-","-"
